ERR1913279.29__1.29	363265__G6AYV3__HMPREF0673_01814
ERR1913279.6583__1.6583	817__D1JRG3__M076_0507
ERR1913279.6651__1.6651	1262929__R6F053__BN691_00334
ERR1913279.6706__1.6706	165179__D1P9T6__PREVCOP_04016
ERR1913279.6774__1.6774	817__D1JTT8__M117_2630
ERR1913279.6844__1.6844	74426__thrZ
ERR1913279.7077__1.7077	572010__nrdD
ERR1913279.7103__1.7103	39492__D4JVT0__EUBSIR_00059
ERR1913279.7132__1.7132	46228__V8C4T8__RUMLAC_02058
ERR1913279.7145__1.7145	28117__B0MXD0__ALIPUT_01669
ERR1913279.7218__1.7218	28117__B0MVL5__BHV66_01660
ERR1913279.7512__1.7512	39491__A0A395V1Y4__DXB99_08035
ERR1913279.7638__1.7638	214856__A0A174FW22__ERS852447_02437
ERR1913279.8020__1.8020	165179__D1PE06__DXC61_05975
ERR1913279.8027__1.8027	28117__R7JIY2__BHV66_06465
ERR1913279.8043__1.8043	357276__A0A076IN21__BSEG_03078
ERR1913279.8069__1.8069	853__A0A2A7B9I6__DW855_13690
ERR1913279.8528__1.8528	1680__A0A174BEE7__BSTER_1311
ERR1913279.8684__1.8684	214856__R6Z4Q8__ERS852447_00885
ERR1913279.8789__1.8789	28116__A0A1Y4PWN5__M088_3731
ERR1913279.8902__1.8902	165179__A0A229I1J2__DXB80_03950
ERR1913279.8972__1.8972	1550024__G9RY06__TQ39_00225
ERR1913279.9108__1.9108	1550024__A0A0D8J259__TQ39_04100
ERR1913279.9130__1.9130	239935__A0A2N8IZ16__CXT84_05850
ERR1913279.9222__1.9222	2108523__A0A2P2F586__LAWASA_1166
ERR1913279.9332__1.9332	817__D1JR15__M117_0303
ERR1913279.9472__1.9472	28116__A0A1Y4PIA6__BACOV975_04529
ERR1913279.9783__1.9783	1739394__A0A1F1DVV4__HMPREF2890_06445
ERR1913279.9927__1.9927	817__Q8VST0__M115_3890
ERR1913279.10242__1.10242	1472761__GCA_002159295.1_01926
ERR1913279.10267__1.10267	39492__D4JSA4__ERS852540_00596
ERR1913279.10446__1.10446	626929__F3PKG7__SAMN05444376_0720
ERR1913279.10627__1.10627	1965631__A0A1Y4A7Z5__B5F90_10000
ERR1913279.10943__1.10943	40518__R5DQD6__DXD83_09060
ERR1913279.10952__1.10952	28117__B0MWP2__ALIPUT_01468
ERR1913279.11220__1.11220	214856__I3YK71__ERS852559_02472
ERR1913279.11305__1.11305	1262989__R6YRY7__BN815_00276
ERR1913279.11347__1.11347	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913279.11451__1.11451	1160721__R6U5L6__RBI_I01802
ERR1913279.11474__1.11474	214856__I3YPN9__ERS852447_01389
ERR1913279.11779__1.11779	820__A0A374Q351__DXD40_05850
ERR1913279.11886__1.11886	28117__B0MZ50__ALIPUT_02424
ERR1913279.11916__1.11916	363265__R7H219__HMPREF0673_01818
ERR1913279.12075__1.12075	818__A0A3E5HN72__C799_03359
ERR1913279.12325__1.12325	28117__B0MTS2__ALIPUT_00159
ERR1913279.12467__1.12467	820__A0A174GK47__ERS852421_00200
ERR1913279.12489__1.12489	820__A7VAR9__ERS852421_00197
ERR1913279.12655__1.12655	216816__D6DD25__APC1482_1109
ERR1913279.12882__1.12882	147206__GCF_000156215.1_01772
ERR1913279.13011__1.13011	328813__A0A1Y3QZ64__B5G41_14235
ERR1913279.13017__1.13017	328814__GCA_004558275.1_01000
ERR1913279.13169__1.13169	1463165__A0A1D3KNE1__CI665_22925
ERR1913279.13286__1.13286	39492__D4JS46__EUBSIR_02553
ERR1913279.13322__1.13322	853__A0A173YYY4__DWZ04_09420
ERR1913279.13406__1.13406	28116__D6D0T8__DXA80_14760
ERR1913279.13527__1.13527	214856__R6Y7P0__ERS852447_00307
ERR1913279.13636__1.13636	40518__R5DUG7__sbcC
ERR1913279.13662__1.13662	1262929__R6EW63__BN691_01045
ERR1913279.13761__1.13761	820__A0A174FUG6__DXC91_11265
ERR1913279.13818__1.13818	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913279.13854__1.13854	328814__GCA_004558275.1_00036
ERR1913279.13877__1.13877	357276__I8WAB8__B5F00_08100
ERR1913279.13973__1.13973	165179__R6CNX7__DXB80_02200
ERR1913279.13985__1.13985	40518__R5DRG6__ylbJ
ERR1913279.14081__1.14081	39491__C4ZCV5__DXB99_11855
ERR1913279.14471__1.14471	1262736__R5Y8Z5__BN496_01182
ERR1913279.14548__1.14548	214856__R6XUN2__rcsC_1
ERR1913279.14602__1.14602	28117__B0MTH2__ALIPUT_00061
ERR1913279.14640__1.14640	239935__A0A2N8HB50__CXU17_02615
ERR1913279.14666__1.14666	823__A0A174GGT1__queG
ERR1913279.14712__1.14712	410072__A0A173YNZ0__ERS852481_00766
ERR1913279.14735__1.14735	1262740__R7D0K4__BN666_00352
ERR1913279.14737__1.14737	214856__I3YPQ8__ERS852447_01371
ERR1913279.15043__1.15043	853__A0A2A7B1Y7__C7K05_11930
ERR1913279.15180__1.15180	357276__I8WPR6__EL88_06675
ERR1913279.15236__1.15236	46228__V8CE24__thiD
ERR1913279.15524__1.15524	374840__GeneID:2546403
ERR1913279.15633__1.15633	823__A0A069SAX6__ERS852380_00710
ERR1913279.15642__1.15642	214856__A0A174ZER9__ERS852559_00614
ERR1913279.15670__1.15670	820__A0A3E4W6P0__gmhA
ERR1913279.15958__1.15958	214856__I3YPP9__Alfi_2707
ERR1913279.15992__1.15992	214856__A0A174ZEF7__mboIIM_1
ERR1913279.16250__1.16250	1235835__R9LCU2__C814_02677
ERR1913279.16228__1.16228	357276__A0A076IXE0__HMPREF1064_04364
ERR1913279.16376__1.16376	214856__A0A174FWM7__ERS852559_00590
ERR1913279.16436__1.16436	410072__A0A173S248__ERS852525_02992
ERR1913279.16533__1.16533	61171__B9Y5T9__HOLDEFILI_01171
ERR1913279.16443__1.16443	1680__R5GRA4__ERS852382_01548
ERR1913279.16555__1.16555	113107__E7S9F5__HMPREF9421_0595
ERR1913279.16556__1.16556	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913279.16570__1.16570	1262882__R5MKW1__BN519_00390
ERR1913279.16623__1.16623	28052__A0A174MGP2__lyc_2
ERR1913279.16699__1.16699	1262911__R6GZX7__BN557_00838
ERR1913279.16812__1.16812	28117__B0MY40__BHV66_05170
ERR1913279.16952__1.16952	820__A0A174DZ97__SAMN05444418_101240
ERR1913279.17403__1.17403	39491__A0A174EQV2__DXB69_10230
ERR1913279.17415__1.17415	374840__GeneID:2546403
ERR1913279.17424__1.17424	823__A0A355XN36__DXB14_02385
ERR1913279.17500__1.17500	33039__D4M6R8__bglB_8
ERR1913279.17767__1.17767	46228__V8C484__HMPREF1202_01707
ERR1913279.17859__1.17859	357276__A0A076IN30__DXD47_09350
ERR1913279.17975__1.17975	39491__A0A396FQV7__T1815_10751
ERR1913279.18097__1.18097	853__A8SGX8__C4N21_08625
ERR1913279.18696__1.18696	214856__A0A174A1J3__ERS852447_01000
ERR1913279.18796__1.18796	671232__W1TTP4__CYK09_09425
ERR1913279.18876__1.18876	626940__E8LDL8__BHW43_02060
ERR1913279.19016__1.19016	10742__GeneID:1262491
ERR1913279.19022__1.19022	39492__D4JVT0__EUBSIR_00059
ERR1913279.19054__1.19054	853__A0A173SUU8__CGS54_06840
ERR1913279.19348__1.19348	820__A0A3E4G2R7__DXC07_00510
ERR1913279.19351__1.19351	820__A0A173YYG4__evgS_3
ERR1913279.19409__1.19409	387661__K5ZPK6__HMPREF1077_00748
ERR1913279.19520__1.19520	74426__purC
ERR1913279.19658__1.19658	214856__A0A174G1M7__ERS852559_00594
ERR1913279.19873__1.19873	28117__B0MWC6__BHV66_00965
ERR1913279.19799__1.19799	1150298__A0A174QSP7__ERS852406_03088
ERR1913279.20005__1.20005	745368__A0A1T4XV62__SAMN02745178_02335
ERR1913279.20036__1.20036	28117__R7JQW0__ALIPUT_01453
ERR1913279.20046__1.20046	165179__A0A3E5E920__DXB80_11625
ERR1913279.20078__1.20078	28116__R6K4H5__NCTC11153_04693
ERR1913279.20084__1.20084	28117__R7JJM9__ALIPUT_00662
ERR1913279.20515__1.20515	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913279.20616__1.20616	853__A0A174BA00__DW905_01145
ERR1913279.20573__1.20573	1680__A0A087DLC6__C8077_00815
ERR1913279.20702__1.20702	28117__B0MXW9__ALIPUT_01981
ERR1913279.20834__1.20834	214856__A0A174ZEW0__ERS852447_00985
ERR1913279.20936__1.20936	214856__A0A174ZED5__ERS852559_00591
ERR1913279.20870__1.20870	626932__G5H523__HMPREF9450_00033
ERR1913279.21042__1.21042	40518__R5DV58__htrA
ERR1913279.21430__1.21430	214856__A0A174A1J3__ERS852447_01000
ERR1913279.21457__1.21457	28117__B0MY40__BHV66_05170
ERR1913279.21488__1.21488	214856__A0A173ZZ16__umuC_2
ERR1913279.21496__1.21496	33038__A0A396G729__RUMGNA_01796
ERR1913279.21730__1.21730	46228__V8C6B2__DXD17_09805
ERR1913279.21854__1.21854	301301__A0A174ENJ9__RHOM_05945
ERR1913279.22011__1.22011	821__A0A3E4WAR6__DXD64_10735
ERR1913279.22099__1.22099	818__A0A139JW76__BJP75_002555
ERR1913279.22113__1.22113	28117__B0MY40__BHV66_05170
ERR1913279.22319__1.22319	360807__A0A174F8N1__ERS852444_00648
ERR1913279.22581__1.22581	47678__A5ZEA3__ERS852558_00257
ERR1913279.22631__1.22631	147206__GCF_000156215.1_01777
ERR1913279.22983__1.22983	39492__A0A174ZP27__EUBSIR_00033
ERR1913279.23023__1.23023	1150298__A0A174S911__ERS852406_01972
ERR1913279.23067__1.23067	39492__D4MMN2__EUBSIR_00964
ERR1913279.23179__1.23179	214856__A0A174FWM7__ERS852559_00590
ERR1913279.23318__1.23318	28117__B0MY40__BHV66_05170
ERR1913279.23686__1.23686	1680__A0A1X3A951__AL0462_1583
ERR1913279.23687__1.23687	216816__C2GV16__APC1504_1666
ERR1913279.23965__1.23965	729__F0ER27__DPV94_10175
ERR1913279.24192__1.24192	214856__A0A174ZEW0__ERS852447_00985
ERR1913279.24414__1.24414	239935__A0A2N8IEP3__CXT84_03735
ERR1913279.24496__1.24496	28117__B0MXR4__BHV66_08025
ERR1913279.24524__1.24524	820__A0A1T4IYF4__mprA_1
ERR1913279.24598__1.24598	28116__A7LS06__HMPREF2532_04668
ERR1913279.24839__1.24839	239935__R6IZU4__CXT87_08085
ERR1913279.24882__1.24882	39492__A0A174ZG93__EUBSIR_00254
ERR1913279.24977__1.24977	28117__R7JPX7__BHV66_00900
ERR1913279.24983__1.24983	1262743__R5C054__BN727_01980
ERR1913279.25066__1.25066	1150298__R7JTY5__ERS852406_02079
ERR1913279.25092__1.25092	1550024__G9RXA8__TQ39_17870
ERR1913279.25166__1.25166	1262741__R6CGN4__BN697_00056
ERR1913279.25389__1.25389	28117__B0MXL6__ALIPUT_01851
ERR1913279.25533__1.25533	820__A0A374Q1D8__SAMN05444418_112114
ERR1913279.25556__1.25556	1262882__R5N1N6__BN519_00968
ERR1913279.25859__1.25859	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913279.26079__1.26079	246787__A0A3D6AXG0__BACCELL_01743
ERR1913279.26209__1.26209	39486__B0G542__DXB36_08545
ERR1913279.26315__1.26315	216816__Q8G5T7__HMPREF0175_0394
ERR1913279.26381__1.26381	28117__B0MWC6__BHV66_00965
ERR1913279.26762__1.26762	28117__B0N007__BHV66_10275
ERR1913279.27051__1.27051	626940__R6WNR3__DCQ00_05790
ERR1913279.27134__1.27134	28116__R6DIL2__DXD69_10970
ERR1913279.27084__1.27084	1393034__GCA_001552785.1_00514
ERR1913279.27093__1.27093	1680__A0A076JNS9__BIFADO_02309
ERR1913279.27252__1.27252	28117__B0MYW5__ALIPUT_02334
ERR1913279.27276__1.27276	39492__D4JS88__ERS852540_00578
ERR1913279.27330__1.27330	818__Q8A0R7__ERS852461_00039
ERR1913279.27478__1.27478	823__A6L930__DDY96_14995
ERR1913279.27593__1.27593	10680__GeneID:1261099
ERR1913279.27677__1.27677	28117__B0MUX7__ALIPUT_00918
ERR1913279.27663__1.27663	1262929__R6F4H4__BN691_01187
ERR1913279.27721__1.27721	33039__D4M378__cysL_1
ERR1913279.27755__1.27755	410072__A0A3E4GT65__ERS852574_02325
ERR1913279.27756__1.27756	74426__rpoC
ERR1913279.27828__1.27828	40518__R5DX31__DXD86_09775
ERR1913279.27970__1.27970	28117__B0MT73__ALIPUT_00412
ERR1913279.27893__1.27893	28117__B0MU76__ALIPUT_00202
ERR1913279.28263__1.28263	823__A6LB63__M095_1847
ERR1913279.28536__1.28536	33039__D4M6I1__nadB_2
ERR1913279.28540__1.28540	28117__B0MTY2__BHV66_06485
ERR1913279.28614__1.28614	46228__B5CR74__HMPREF1202_02190
ERR1913279.28869__1.28869	214856__A0A174ZB00__ERS852559_00631
ERR1913279.28939__1.28939	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913279.28949__1.28949	28117__B0MTW8__ALIPUT_00502
ERR1913279.29046__1.29046	40518__R5DZB3__RB5AMG_01719
ERR1913279.29070__1.29070	1263030__R5CXA0__BN705_00395
ERR1913279.29113__1.29113	671232__T1ZFT9__ANG_0261
ERR1913279.29148__1.29148	1550024__A0A0D8IY45__ASJ35_05575
ERR1913279.29235__1.29235	33039__R6P284__spoIIIE
ERR1913279.29337__1.29337	820__A7V470__HMPREF1072_02076
ERR1913279.29515__1.29515	823__A0A355XEX9__ERS852560_03521
ERR1913279.29690__1.29690	165179__D1PGU8__PREVCOP_06463
ERR1913279.30086__1.30086	28117__B0MY40__BHV66_05170
ERR1913279.30255__1.30255	28052__R7NEM3__fabD
ERR1913279.30383__1.30383	1680__A0A1V8QAM8__BIFADO_02272
ERR1913279.30465__1.30465	1965537__A0A1Y4WHL4__B5E42_10190
ERR1913279.30576__1.30576	214851__D1PS97__SUBVAR_07280
ERR1913279.30591__1.30591	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913279.30676__1.30676	387661__K5YXK8__PRABACTJOHN_01437
ERR1913279.30822__1.30822	214856__A0A174H3U9__ERS852559_00612
ERR1913279.30951__1.30951	1262924__R7HKP8__BN585_01113
ERR1913279.31052__1.31052	46228__V8C6B2__DXD17_09805
ERR1913279.31108__1.31108	360807__A0A1Q6T6N0__RIL183_24191
ERR1913279.31403__1.31403	1550024__A0A0W7TVR8__ASJ35_01140
ERR1913279.31493__1.31493	214856__R6XNE7__ERS852447_02267
ERR1913279.31502__1.31502	214856__A0A174ZB00__ERS852559_00631
ERR1913279.31671__1.31671	1680__A1A0V3__C8077_03025
ERR1913279.31874__1.31874	1262929__R6ETQ6__BN691_00919
ERR1913279.31959__1.31959	363265__R7H5Q7__HMPREF0673_02307
ERR1913279.32013__1.32013	1680__A0A174BEE7__BSTER_1311
ERR1913279.32074__1.32074	387661__K5ZBP7__HMPREF1077_02500
ERR1913279.32168__1.32168	1263006__R6MLL2__BN515_00946
ERR1913279.32209__1.32209	216816__A0A395XZB7__DXD37_04075
ERR1913279.32210__1.32210	1680__A0A174BEE7__BSTER_1311
ERR1913279.32290__1.32290	28117__B0MY40__BHV66_05170
ERR1913279.32362__1.32362	214856__A0A173W3Y5__ERS852559_02032
ERR1913279.32404__1.32404	74426__purL
ERR1913279.32520__1.32520	214856__A0A174ZB00__ERS852559_00631
ERR1913279.32657__1.32657	360807__A0A173V2S2__phoR_7
ERR1913279.32585__1.32585	40518__R5DR39__mreB_2
ERR1913279.32730__1.32730	39492__D4JVG7__ERS852540_00946
ERR1913279.32987__1.32987	292800__G9YMV4__HMPREF0372_00826
ERR1913279.33116__1.33116	74426__rpoB
ERR1913279.33159__1.33159	823__A0A073I5R7__cloSI
ERR1913279.33164__1.33164	1262911__R6GZX7__BN557_00838
ERR1913279.33425__1.33425	40518__R5DUU0__DXD93_03985
ERR1913279.33459__1.33459	2108523__A0A2P2F6E4__LAWASA_1598
ERR1913279.33665__1.33665	39492__D4JTI2__ERS852540_00694
ERR1913279.33761__1.33761	74426__groL
ERR1913279.33691__1.33691	214856__I3YPP3__Alfi_2701
ERR1913279.33828__1.33828	239935__A0A2N8HAQ1__DEF40_05290
ERR1913279.33846__1.33846	1680__A0A0B5BME4__DXD63_05015
ERR1913279.33885__1.33885	28117__B0MZ50__ALIPUT_02424
ERR1913279.34470__1.34470	1680__R5GZJ8__BSTER_1195
ERR1913279.34580__1.34580	1262929__R6F4H4__BN691_01187
ERR1913279.34490__1.34490	1680__A0A0B5BHY4__DXD63_03525
ERR1913279.34513__1.34513	820__A0A174FUG6__DXC91_11265
ERR1913279.34758__1.34758	214856__A0A174CRY5__ERS852559_01060
ERR1913279.34825__1.34825	40518__R5DTH7__DXD83_02405
ERR1913279.34890__1.34890	823__D7IW29__DXD05_13365
ERR1913279.34975__1.34975	820__A0A139KJ23__celCCA
ERR1913279.35010__1.35010	39491__C4ZC33__DXC13_11585
ERR1913279.35012__1.35012	214856__A0A174FY71__ERS852559_01033
ERR1913279.35029__1.35029	214856__A0A175A6T5__ERS852447_02658
ERR1913279.35177__1.35177	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913279.35187__1.35187	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913279.35346__1.35346	244366__A0A0B7GCL1__sucC
ERR1913279.35378__1.35378	33039__D4M149__ERS852390_03118
ERR1913279.35433__1.35433	817__A0A0E2SZV3__M087_0730
ERR1913279.35474__1.35474	39492__D4JRL2__ERS852540_01608
ERR1913279.35477__1.35477	357276__A0A0K2HJA6__DXD47_07320
ERR1913279.35573__1.35573	820__R7E9Z4__DXC68_06065
ERR1913279.35661__1.35661	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913279.35682__1.35682	820__A0A139K0J1__HMPREF2141_03205
ERR1913279.35721__1.35721	216816__B3DNW2__BL171B_07980
ERR1913279.35780__1.35780	28117__B0MT84__ALIPUT_00402
ERR1913279.35846__1.35846	28117__B0MTS2__ALIPUT_00159
ERR1913279.35872__1.35872	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913279.36099__1.36099	1680__A0A087DHN0__AL0462_1532
ERR1913279.36124__1.36124	820__A0A139JRS5__HMPREF1073_04025
ERR1913279.36253__1.36253	1262911__R6H174__BN557_01246
ERR1913279.36522__1.36522	28117__B0MUL5__ALIPUT_00722
ERR1913279.36593__1.36593	387661__K5ZCY3__B5F96_06960
ERR1913279.36617__1.36617	1550024__A0A3B9WEL2__TQ39_11090
ERR1913279.36625__1.36625	47678__A5ZB44__C5Z00_17730
ERR1913279.36964__1.36964	28117__B0MUR5__BHV66_03900
ERR1913279.37008__1.37008	357276__I8WPR6__EL88_06675
ERR1913279.37042__1.37042	147206__GCF_000156215.1_01773
ERR1913279.37136__1.37136	214856__A0A174ZEW0__ERS852447_00985
ERR1913279.37138__1.37138	1628085__A0A1C6D825__C7386_1061
ERR1913279.37401__1.37401	214856__A0A174A1J3__ERS852447_01000
ERR1913279.37586__1.37586	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913279.37567__1.37567	40518__R5E282__DXD86_08940
ERR1913279.37623__1.37623	1262924__R7HNA9__BN585_00137
ERR1913279.37860__1.37860	165179__D1PE06__DXC61_05975
ERR1913279.37897__1.37897	216816__A0A1V8RHV4__DXD44_06445
ERR1913279.37949__1.37949	165179__A0A3E5DX15__DXC61_00345
ERR1913279.38101__1.38101	28117__R7JPX7__BHV66_00900
ERR1913279.38178__1.38178	214856__R6Y2Y4__ERS852447_01086
ERR1913279.38453__1.38453	214856__A0A174FW22__ERS852447_02437
ERR1913279.38503__1.38503	626932__G5H6U8__HMPREF9450_00658
ERR1913279.38586__1.38586	671232__A0A0E2J836__Q615_SPAC00113G0300
ERR1913279.38735__1.38735	328814__GCA_004558275.1_00035
ERR1913279.38772__1.38772	46228__V8CCX0__HMPREF1202_00620
ERR1913279.38891__1.38891	820__A0A3E4XM43__DXC91_13960
ERR1913279.38915__1.38915	74426__pflB_2
ERR1913279.38941__1.38941	820__A0A139KH21__DXC80_01780
ERR1913279.39083__1.39083	28117__B0MXR4__BHV66_08025
ERR1913279.39103__1.39103	823__K6AMD2__B5F32_04565
ERR1913279.39184__1.39184	28117__B0MXW9__ALIPUT_01981
ERR1913279.39278__1.39278	47678__R5UT79__ERS852558_03890
ERR1913279.39395__1.39395	28117__B0MSS9__BHV66_06085
ERR1913279.39476__1.39476	39491__C4Z9Y3__ERS852417_01808
ERR1913279.39550__1.39550	214856__A0A174A257__ERS852447_01007
ERR1913279.39590__1.39590	1550024__G9RVD5__ASJ35_04350
ERR1913279.39854__1.39854	1160721__R6SW95__BHW50_08895
ERR1913279.39886__1.39886	28117__B0MXJ1__BHV66_08445
ERR1913279.40045__1.40045	40518__R5DME2__DXD86_07315
ERR1913279.40077__1.40077	357276__B6VYT9__HMPREF1063_05030
ERR1913279.40081__1.40081	1633__C2EU32__HMPREF0549_0968
ERR1913279.40134__1.40134	374840__GeneID:2546403
ERR1913279.40248__1.40248	357276__A0A076IXE0__HMPREF1064_04364
ERR1913279.40442__1.40442	165179__A0A3E5EB26__CFT61_02800
ERR1913279.40527__1.40527	357276__A0A076IXE0__HMPREF1064_04364
ERR1913279.40619__1.40619	410072__A0A174D6E7__ERS852574_01257
ERR1913279.40702__1.40702	1262988__R7N0Q0__BN816_00945
ERR1913279.40737__1.40737	410072__C0BAZ4__ERS852574_02324
ERR1913279.40916__1.40916	33039__D4M398__ERS852530_00575
ERR1913279.41146__1.41146	239935__A0A2N8HPS5__Amuc_0950
ERR1913279.41183__1.41183	1262929__R6F7M1__BN691_00234
ERR1913279.41289__1.41289	818__C6IIW4__dapH_1
ERR1913279.41383__1.41383	39491__A0A396FKI6__mltF
ERR1913279.41542__1.41542	46228__V8BMA2__DXD17_11785
ERR1913279.41543__1.41543	1550024__A0A0W7TTP8__TQ39_06385
ERR1913279.41587__1.41587	147207__adhE_1
ERR1913279.41728__1.41728	28117__B0MU58__BHV66_05630
ERR1913279.42060__1.42060	47678__R5U2W6__CGC64_03455
ERR1913279.42019__1.42019	371601__C3R2J2__ERS852396_04353
ERR1913279.42109__1.42109	820__A0A139KJR5__M093_4469
ERR1913279.42151__1.42151	1262924__R7HNL2__BN585_01068
ERR1913279.42169__1.42169	820__A0A374QGD2__ERS852421_02382
ERR1913279.42185__1.42185	1735__B7CCE4__EUBIFOR_01871
ERR1913279.42257__1.42257	671232__F5U0A1__C6A26_01825
ERR1913279.42259__1.42259	820__A0A174TRB5__DXD40_11305
ERR1913279.42266__1.42266	270498__A0A0M2NBT9__CHK_2743
ERR1913279.42445__1.42445	1150298__R7JNQ8__ERS852406_00857
ERR1913279.42449__1.42449	1262740__R7CUE1__BN666_00943
ERR1913279.42413__1.42413	239935__A0A139TMD2__CXU18_02250
ERR1913279.42568__1.42568	1262743__R5C054__BN727_01980
ERR1913279.42835__1.42835	820__A7V9F9__B5G17_14640
ERR1913279.42857__1.42857	216816__A0A396FVC5__BL71B_00290
ERR1913279.42952__1.42952	214856__A0A175A6T5__ERS852447_02658
ERR1913279.43078__1.43078	817__A0A1C0WGE4__DXB09_19970
ERR1913279.43162__1.43162	820__A0A139JRH8__HMPREF2141_04326
ERR1913279.43203__1.43203	487174__K0WXG8__DIT83_09300
ERR1913279.43969__1.43969	1262740__R7D2F7__BN666_00773
ERR1913279.43972__1.43972	745368__A0A1T4XUU0__SAMN02745178_02347
ERR1913279.44105__1.44105	74426__group_4823
ERR1913279.44083__1.44083	40518__R5E2F3__artQ
ERR1913279.44509__1.44509	301302__A0A0M6X0D2__cpsB_2
ERR1913279.44633__1.44633	39486__B0G7K1__HMPREF9457_01526
