ERR1912985.39__1.39	820__A7V092__hldE
ERR1912985.7699__1.7699	28117__B0MWZ9__ALIPUT_01735
ERR1912985.7707__1.7707	246787__A0A3D6ARE5__HMPREF1062_01788
ERR1912985.7752__1.7752	301301__A0A395V4X8__ERS852391_01546
ERR1912985.7848__1.7848	28118__R6F7E0__SAMEA44545918_02355
ERR1912985.7859__1.7859	246787__A0A3D6AQP8__AA416_04153
ERR1912985.7916__1.7916	46228__V8C6B2__DXD17_09805
ERR1912985.8160__1.8160	820__A7VAR9__ERS852421_00197
ERR1912985.8189__1.8189	818__A0A3E5HGN6__Btheta7330_00798
ERR1912985.8227__1.8227	1160721__W0U309__BHW50_02320
ERR1912985.8342__1.8342	1150298__A0A174M3Q0__kynB
ERR1912985.8480__1.8480	310297__B5CUZ5__BACPLE_00521
ERR1912985.8617__1.8617	310297__B5CTT3__DXC17_00385
ERR1912985.8693__1.8693	818__A0A3E5GY47__SAMN02910322_02002
ERR1912985.8884__1.8884	46228__B5CPX5__RUMLAC_01520
ERR1912985.8937__1.8937	28117__B0MYW7__ALIPUT_02336
ERR1912985.8978__1.8978	328814__GCA_004558275.1_01004
ERR1912985.8992__1.8992	328814__GCA_004558275.1_00236
ERR1912985.9137__1.9137	310297__B5D433__DXC17_02005
ERR1912985.9167__1.9167	239935__A0A2N8IEP3__CXT84_03735
ERR1912985.9181__1.9181	1150298__R7JTW4__yvhJ
ERR1912985.9284__1.9284	246787__R6LGB3__BcellWH2_02361
ERR1912985.9495__1.9495	745368__A0A1T4Y437__SAMN02745178_02934
ERR1912985.9510__1.9510	820__A0A3E4VZT7__DXB48_16145
ERR1912985.9545__1.9545	246787__A0A0P0FV02__AA416_03728
ERR1912985.9571__1.9571	853__A0A173TAZ8__DWZ46_14590
ERR1912985.9628__1.9628	1318__I1ZK58__CYK20_05565
ERR1912985.9999__1.9999	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1912985.10042__1.10042	1263000__R5EGY6__BN466_00973
ERR1912985.10082__1.10082	46228__V8BYC1__RUMLAC_00426
ERR1912985.10123__1.10123	216816__C5E8I1__yciB
ERR1912985.10220__1.10220	310297__B5CXJ7__DXB87_06645
ERR1912985.10552__1.10552	2108523__A0A2P2F8A7__LAWASA_2275
ERR1912985.10563__1.10563	1263006__R6LUR7__BN515_01572
ERR1912985.10578__1.10578	246787__R6KK25__HMPREF1062_01860
ERR1912985.10786__1.10786	487174__K0X1V7__DIT83_03020
ERR1912985.10821__1.10821	820__A0A174M9V5__M093_0237
ERR1912985.10870__1.10870	246787__R6KM92__AA416_01456
ERR1912985.10916__1.10916	246787__A0A0P0GM17__BACCELL_03224
ERR1912985.10947__1.10947	410072__A0A174K1W4__apxIB
ERR1912985.10966__1.10966	818__A0A0N7IB36__BJP75_006465
ERR1912985.11094__1.11094	301301__G2T207__cph2_5
ERR1912985.11337__1.11337	39488__A0A174D9D0__EUBHAL_02073
ERR1912985.11385__1.11385	820__A0A139K5E7__DXC68_09550
ERR1912985.11434__1.11434	820__A0A139K4T0__ERS852510_03146
ERR1912985.11510__1.11510	823__A6LHK0__M090_1297
ERR1912985.11543__1.11543	820__A0A3E4W984__pssA
ERR1912985.11556__1.11556	357276__D1JZM4__HMPREF1065_01278
ERR1912985.11635__1.11635	310297__B5CZI0__BACPLE_02145
ERR1912985.12005__1.12005	1262761__R6QTF1__BN606_01445
ERR1912985.12019__1.12019	46506__B0NSD0__HMPREF1181_00408
ERR1912985.12059__1.12059	329854__R5LZK1__DXD27_00590
ERR1912985.12302__1.12302	310297__B5CWI6__DXB87_12520
ERR1912985.12345__1.12345	310297__B5D433__DXC17_02005
ERR1912985.12477__1.12477	28117__R7JN92__BHV66_00550
ERR1912985.12478__1.12478	1262927__R7F2S7__BN677_00396
ERR1912985.12863__1.12863	820__A0A174CG08__DXB62_13215
ERR1912985.12935__1.12935	818__A0A139K1T6__SAMN05216253_11033
ERR1912985.13028__1.13028	46506__R6LDN0__HMPREF1181_03103
ERR1912985.13153__1.13153	1304__A0A1W5ZCY0__CKU37_03270
ERR1912985.13241__1.13241	823__E1YQ32__DXC05_04185
ERR1912985.13383__1.13383	301301__A0A395VFD3__ERS852391_02492
ERR1912985.13431__1.13431	39486__R6SE83__DXD82_03080
ERR1912985.13533__1.13533	1262761__R6QWS5__BN606_02019
ERR1912985.13569__1.13569	544645__A0A3E4TA59__DXC42_07760
ERR1912985.13542__1.13542	1150298__A0A174PC05__ERS852498_00682
ERR1912985.13749__1.13749	46506__R6AEP1__HMPREF1181_01415
ERR1912985.13793__1.13793	47678__R5UET0__BACCAC_02656
ERR1912985.13909__1.13909	46506__B0NM94__HMPREF1181_03250
ERR1912985.14264__1.14264	310297__R5VL46__BACPLE_00694
ERR1912985.14491__1.14491	28116__C3R0H4__DXD69_00155
ERR1912985.14809__1.14809	46506__R6LDN0__HMPREF1181_03103
ERR1912985.14884__1.14884	46506__B0NRL5__DXC34_10445
ERR1912985.14972__1.14972	1160721__R6TAA3__BHW50_03385
ERR1912985.15015__1.15015	46228__B5CLQ5__RUMLAC_00379
ERR1912985.15226__1.15226	239935__A0A2N8I3G2__CXT89_00720
ERR1912985.15206__1.15206	28116__A7M617__SAMN05192582_105025
ERR1912985.15214__1.15214	853__A0A173YYY4__DWZ04_09420
ERR1912985.15350__1.15350	387090__S0F7Y3__BACCOPRO_02028
ERR1912985.15849__1.15849	1262783__R6D3T1__BN558_02203
ERR1912985.15879__1.15879	33025__A0A395J947__C8D73_11315
ERR1912985.15940__1.15940	853__A0A173YYY4__DWZ04_09420
ERR1912985.15902__1.15902	39496__A5Z5I2__EUBVEN_00963
ERR1912985.15951__1.15951	357276__B6W5Q9__HMPREF1063_03125
ERR1912985.16027__1.16027	1263109__GCA_000438135.1_00931
ERR1912985.15989__1.15989	310297__B5D2R6__DXB87_15610
ERR1912985.16080__1.16080	301301__A0A395VD41__RHOM_11540
ERR1912985.16166__1.16166	28117__B0MWP2__ALIPUT_01468
ERR1912985.16197__1.16197	310297__R5V778__BACPLE_02189
ERR1912985.16231__1.16231	1262761__R6QH71__BN606_00371
ERR1912985.16413__1.16413	28117__B0MYZ8__BHV66_04535
ERR1912985.16481__1.16481	357276__A0A076J8D4__HMPREF1064_00553
ERR1912985.16486__1.16486	357276__A0A0M1W9N4__GV66_05135
ERR1912985.16602__1.16602	357276__B6W1J2__BACDOR_03380
ERR1912985.16986__1.16986	1263006__R6LV21__BN515_00171
ERR1912985.17058__1.17058	820__A0A139JY23__B5G17_06330
ERR1912985.17081__1.17081	301301__A0A395VD41__RHOM_11540
ERR1912985.17138__1.17138	301301__A0A395V7X3__RHOM_05050
ERR1912985.17161__1.17161	301301__A0A395VAJ9__RHOM_06125
ERR1912985.17164__1.17164	301301__G2T207__cph2_5
ERR1912985.17185__1.17185	33025__A0A395JAA6__C8D73_10641
ERR1912985.17328__1.17328	371601__D7J5N6__HMPREF1074_04460
ERR1912985.17381__1.17381	820__A0A174CG08__DXB62_13215
ERR1912985.17423__1.17423	301301__A0A395V978__RHOM_08905
ERR1912985.17573__1.17573	1262927__R7EXD0__BN677_01416
ERR1912985.17594__1.17594	1262783__R6CM93__BN558_01270
ERR1912985.17721__1.17721	1262927__R7EW56__BN677_01279
ERR1912985.17829__1.17829	1304__A0A1W5ZCY0__CKU37_03270
ERR1912985.17906__1.17906	301301__G2T5S1__gsiA_1
ERR1912985.17961__1.17961	820__R9I3N4__M093_0061
ERR1912985.17976__1.17976	246787__R6LGB3__BcellWH2_02361
ERR1912985.18033__1.18033	1262992__R5DCV6__BN795_00412
ERR1912985.18257__1.18257	357276__A6L053__ABI39_04450
ERR1912985.18299__1.18299	166486__A0A173V5I7__ERS852572_02640
ERR1912985.18430__1.18430	357276__B6W1Y5__IY41_11405
ERR1912985.18412__1.18412	310297__R5VE57__BACPLE_03332
ERR1912985.18508__1.18508	106588__A6NUL8__BACCAP_01900
ERR1912985.18514__1.18514	310297__B5CV97__DXD04_03850
ERR1912985.18588__1.18588	74426__nifJ
ERR1912985.18594__1.18594	246787__A0A108T1Y3__fepA_8
ERR1912985.18638__1.18638	246787__R6LCL3__AA416_03522
ERR1912985.18841__1.18841	28118__R6F6C0__Odosp_0731
ERR1912985.18836__1.18836	46506__B0NP81__SAMN05444283_10688
ERR1912985.18928__1.18928	410072__C0BC02__ERS852481_00783
ERR1912985.18929__1.18929	820__A7VAS1__HMPREF2141_03259
ERR1912985.19035__1.19035	301301__A0A395V3C0__mcpC_6
ERR1912985.19109__1.19109	310297__B5CZW4__BACPLE_02283
ERR1912985.19193__1.19193	1897011__A0A1Q6RJY0__BHW41_00040
ERR1912985.19238__1.19238	820__A0A3E4XM43__DXC91_13960
ERR1912985.19322__1.19322	39491__A0A395UWA3__DXB69_11805
ERR1912985.19355__1.19355	1263000__R5EDV4__BN466_01097
ERR1912985.19370__1.19370	301301__G2T0P1__RHOM_03005
ERR1912985.19550__1.19550	310297__B5CVZ7__DXB87_08345
ERR1912985.19603__1.19603	1304__A0A1W5ZCY0__CKU37_03270
ERR1912985.19632__1.19632	1263107__GCA_000436995.1_00165
ERR1912985.19648__1.19648	1897011__A0A1Q6RE67__BHW41_04635
ERR1912985.19661__1.19661	1150298__A0A174HG99__ERS852498_00387
ERR1912985.19693__1.19693	1263000__R5EXT3__BN466_02213
ERR1912985.19714__1.19714	1897011__A0A1Q6RE67__BHW41_04635
ERR1912985.19767__1.19767	820__A0A374Q854__HMPREF1073_03281
ERR1912985.19734__1.19734	310297__B5CZ21__DXB87_00235
ERR1912985.19751__1.19751	239935__B2UQP8__CXU15_01110
ERR1912985.19884__1.19884	239935__R6JD78__CXU05_09250
ERR1912985.20100__1.20100	1160721__W0U811__RBI_II00162
ERR1912985.20108__1.20108	46506__A0A108TCU0__etk
ERR1912985.20456__1.20456	46228__V8BLW9__DXD17_14090
ERR1912985.20684__1.20684	1160721__R6TBU4__BHW50_04080
ERR1912985.20845__1.20845	357276__A0A1Y4PPG2__B5F95_02305
ERR1912985.20853__1.20853	239935__A0A2N8HUU6__CXT90_06150
ERR1912985.20990__1.20990	1304__T0UNZ5__SSALIVM18_09507
ERR1912985.21131__1.21131	329854__R7E733__DXD57_00120
ERR1912985.21206__1.21206	166486__D4L1H8__ERS852572_02204
ERR1912985.21142__1.21142	820__A0A3E4XDK3__ERS852554_03650
ERR1912985.21380__1.21380	246787__A0A108T429__BACCELL_00192
ERR1912985.21400__1.21400	246787__A0A3D6AZF8__BACCELL_02529
ERR1912985.21635__1.21635	1263006__R6LR21__BN515_00462
ERR1912985.21708__1.21708	47678__R5UST1__ERS852558_03505
ERR1912985.21880__1.21880	818__A0A3E5HN72__C799_03359
ERR1912985.22011__1.22011	328814__GCA_004558275.1_01621
ERR1912985.22017__1.22017	1981510__A0A2K9P4Q3__B9O19_01643
ERR1912985.22055__1.22055	47678__R5U2W6__CGC64_03455
ERR1912985.22076__1.22076	328814__GCA_004558275.1_01621
ERR1912985.22111__1.22111	46506__B0NRL4__HMPREF1181_00205
ERR1912985.22236__1.22236	1262761__R6QKZ0__BN606_00913
ERR1912985.22440__1.22440	1263006__R6LYS1__BN515_01485
ERR1912985.22632__1.22632	28118__R6FCY1__DER54_07335
ERR1912985.22609__1.22609	1263006__R6LWN3__BN515_00808
ERR1912985.22734__1.22734	820__A0A3E4WCC2__lptB_1
ERR1912985.22748__1.22748	28117__B0MVL5__BHV66_01660
ERR1912985.22796__1.22796	239935__A0A2N8I390__CXU16_10675
ERR1912985.22862__1.22862	46506__A0A108TBL0__BACSTE_01998
ERR1912985.23032__1.23032	46506__A0A108T991__AA415_01433
ERR1912985.23044__1.23044	818__A0A0N7I9C8__BT_2965
ERR1912985.23055__1.23055	820__A7VAR9__ERS852421_00197
ERR1912985.23166__1.23166	310297__R5VWM0__DXB87_05840
ERR1912985.23189__1.23189	310297__B5CZW4__BACPLE_02283
ERR1912985.23345__1.23345	1263006__R6M2H0__BN515_00628
ERR1912985.23381__1.23381	410072__A0A173YNZ0__ERS852481_00766
ERR1912985.23416__1.23416	46506__B0NM94__HMPREF1181_03250
ERR1912985.23505__1.23505	46228__B5CPX5__RUMLAC_01520
ERR1912985.23550__1.23550	310297__B5CTT3__DXC17_00385
ERR1912985.23851__1.23851	46506__S3YVT5__BACSTE_02352
ERR1912985.23827__1.23827	46506__B0NRL7__arlS
ERR1912985.23864__1.23864	46506__R6ALX0__HMPREF1181_01042
ERR1912985.23894__1.23894	301301__A0A395VA97__RHOM_13930
ERR1912985.23883__1.23883	46506__B0NM94__HMPREF1181_03250
ERR1912985.23886__1.23886	1262761__R6RU22__BN606_01110
ERR1912985.23946__1.23946	28117__B0MY34__BHV66_05195
ERR1912985.24034__1.24034	820__A0A3E4W4Y7__B5G17_02055
ERR1912985.24191__1.24191	28117__B0MYW7__ALIPUT_02336
ERR1912985.24234__1.24234	1262927__R7F1Y8__BN677_00346
ERR1912985.24300__1.24300	1262927__R7EYW3__BN677_01163
ERR1912985.24448__1.24448	853__A0A173YYY4__DWZ04_09420
ERR1912985.24469__1.24469	28117__B0MUR5__BHV66_03900
ERR1912985.24532__1.24532	39485__C4Z355__ERS852490_01971
ERR1912985.24604__1.24604	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1912985.24685__1.24685	847__C3X7B4__BRW83_2163
ERR1912985.24729__1.24729	28117__B0MXG8__ALIPUT_01814
ERR1912985.24744__1.24744	46506__R6AEM4__DXC41_06545
ERR1912985.24753__1.24753	39491__A0A396FTE5__ERS852417_01346
ERR1912985.24721__1.24721	310297__R5V778__BACPLE_02189
ERR1912985.24773__1.24773	1235835__R9LCU2__C814_02677
ERR1912985.24820__1.24820	301301__A0A395VAV8__ERS852391_02437
ERR1912985.24844__1.24844	1263006__R6M176__BN515_00274
ERR1912985.24937__1.24937	28116__R6JIR4__DXA80_14190
ERR1912985.24939__1.24939	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1912985.25309__1.25309	310297__B5CWI6__DXB87_12520
ERR1912985.25318__1.25318	39485__C4Z0T2__ykvU
ERR1912985.25343__1.25343	387090__S0F8B2__BACCOPRO_02129
ERR1912985.25446__1.25446	310297__B5CZI0__BACPLE_02145
ERR1912985.25469__1.25469	1897011__A0A1Q6RG85__BHW41_02670
ERR1912985.25497__1.25497	301301__A0A395V5B0__ERS852391_02078
ERR1912985.25527__1.25527	46506__B0NP81__SAMN05444283_10688
ERR1912985.25697__1.25697	357276__A0A076IYG1__B5F95_22465
ERR1912985.25844__1.25844	28117__B0MXU0__BHV66_07550
ERR1912985.25865__1.25865	246787__A0A3D6AZF8__BACCELL_02529
ERR1912985.25891__1.25891	1160721__W0U4W5__BHW50_05260
ERR1912985.25951__1.25951	46506__A0A108TAK3__fepA_3
ERR1912985.25954__1.25954	487174__K0WRZ5__HMPREF9448_02826
ERR1912985.25996__1.25996	310297__R5VRF5__DXD04_01865
ERR1912985.26141__1.26141	487174__K0WV96__HMPREF9448_01901
ERR1912985.26158__1.26158	394340__rplK
ERR1912985.26245__1.26245	820__A0A139K5A6__DXB48_12175
ERR1912985.26384__1.26384	328814__GCA_004558275.1_00075
ERR1912985.26391__1.26391	218538__C9LPM9__GCWU000321_01509
ERR1912985.26397__1.26397	1262986__R5ZUP0__BN492_01284
ERR1912985.26403__1.26403	487174__K0WZN5__HMPREF9448_01108
ERR1912985.26485__1.26485	301301__A0A395VDE4__ERS852391_00518
ERR1912985.26491__1.26491	239935__A0A2N8ITX2__CXT86_11265
ERR1912985.26753__1.26753	246787__R6KBH9__HMPREF1062_04676
ERR1912985.26842__1.26842	853__A0A174CVG7__CGS58_09335
ERR1912985.26940__1.26940	410072__A0A173Y4Y6__ERS852389_02300
ERR1912985.27065__1.27065	39492__D4JVT0__EUBSIR_00059
ERR1912985.27122__1.27122	820__A0A396EUV1__B5G17_06465
ERR1912985.27096__1.27096	310297__B5D2V1__DXC17_04215
ERR1912985.27100__1.27100	357276__B6W5Q7__DXD47_13945
ERR1912985.27250__1.27250	1262761__R6QJJ2__BN606_00358
ERR1912985.27266__1.27266	1262963__R6C7W6__BN718_00713
ERR1912985.27421__1.27421	1965576__A0A1Y4LEN9__B5F19_09660
ERR1912985.27672__1.27672	818__A0A139K9H8__C5Z03_23905
ERR1912985.27706__1.27706	301301__G2SZZ9__RHOM_02605
ERR1912985.27799__1.27799	820__A0A174QLF0__SAMN05444418_109151
ERR1912985.27856__1.27856	1262761__R6RNL8__BN606_00387
ERR1912985.27979__1.27979	246787__R6LCL3__AA416_03522
ERR1912985.27952__1.27952	47678__A5ZHL2__DXB67_12495
ERR1912985.28096__1.28096	1308__V8LRT0__DV947_08035
ERR1912985.28172__1.28172	1262911__R6H1B2__BN557_00840
ERR1912985.28175__1.28175	39496__A5Z5I2__EUBVEN_00963
ERR1912985.28383__1.28383	1263000__R5EDV4__BN466_01097
ERR1912985.28462__1.28462	820__R7E9Z4__DXC68_06065
ERR1912985.28470__1.28470	1262761__R6RU22__BN606_01110
ERR1912985.28481__1.28481	301301__A0A395V700__RHOM_03405
ERR1912985.28513__1.28513	28117__B0N007__BHV66_10275
ERR1912985.28690__1.28690	47678__R5UA58__ERS852558_01431
ERR1912985.28870__1.28870	239935__A0A2N8HUU6__CXT90_06150
ERR1912985.28875__1.28875	310297__R5VT57__BACPLE_00602
ERR1912985.28996__1.28996	487174__K0WRZ5__HMPREF9448_02826
ERR1912985.29025__1.29025	357276__D1K3K9__EL88_23995
ERR1912985.29106__1.29106	246787__R6KIG0__BcellWH2_02358
ERR1912985.29078__1.29078	239935__A0A2N8ITW6__CXT91_06265
ERR1912985.29356__1.29356	310297__B5D3X5__BHV76_01155
ERR1912985.29377__1.29377	310297__B5D0X9__BACPLE_02656
ERR1912985.29403__1.29403	853__A0A174BA00__DW905_01145
ERR1912985.29493__1.29493	39491__A0A173U130__ERE_16110
ERR1912985.29430__1.29430	310297__B5CV97__DXD04_03850
ERR1912985.29630__1.29630	39485__C4Z0F4__ERS852490_00945
ERR1912985.29700__1.29700	28117__B0MXG8__ALIPUT_01814
ERR1912985.29873__1.29873	46228__V8CE19__DXD17_01950
ERR1912985.29878__1.29878	1262886__R6QJJ7__BN563_01219
ERR1912985.29955__1.29955	46506__R6AEP1__HMPREF1181_01415
ERR1912985.29992__1.29992	1160721__W0U2T9__BHW50_11050
ERR1912985.30090__1.30090	28117__B0MTV0__BHV66_06395
ERR1912985.30115__1.30115	40520__D4LXF6__RUMOBE_00717
ERR1912985.30184__1.30184	357276__I8WEZ6__BACDOR_02323
ERR1912985.30221__1.30221	820__A0A3E4W4Y7__B5G17_02055
ERR1912985.30212__1.30212	39491__A0A395ZEN3__DXD95_12655
ERR1912985.30288__1.30288	817__Q8VST0__M115_3890
ERR1912985.30339__1.30339	46506__A0A108TAK3__fepA_3
ERR1912985.30606__1.30606	46506__B0NT08__BACSTE_02624
ERR1912985.30711__1.30711	1160721__W0U429__RBI_I00578
ERR1912985.30778__1.30778	301301__A0A395V7G5__RHOM_16755
ERR1912985.30910__1.30910	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1912985.30939__1.30939	28116__A0A139KS89__HMPREF2532_04387
ERR1912985.31051__1.31051	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1912985.31123__1.31123	820__A0A3E4W4Y7__B5G17_02055
ERR1912985.31226__1.31226	28117__B0MWX3__BHV66_03010
ERR1912985.31236__1.31236	46506__A0A108TDB0__DXC34_12240
ERR1912985.31346__1.31346	246787__A0A0P0GCR8__xynD_3
ERR1912985.31604__1.31604	1897011__A0A1Q6REW8__BHW41_04435
ERR1912985.31665__1.31665	1263006__R6LMV9__BN515_01406
ERR1912985.31903__1.31903	823__A0A395YRW4__DD466_15895
ERR1912985.31915__1.31915	820__A0A396CMY7__HMPREF1072_03009
ERR1912985.32175__1.32175	357276__C3REQ8__GV66_09740
ERR1912985.32178__1.32178	1262886__R6QBD4__BN563_01170
ERR1912985.32288__1.32288	2173__A0A1D2WY02__BK798_00680
ERR1912985.32399__1.32399	28117__B0MSQ3__ALIPUT_00347
ERR1912985.32404__1.32404	1150298__R7JPI7__cotI
