ERR1913264.104__1.104	487174__K0X079__DIT83_00640
ERR1913264.19365__1.19365	28117__B0MWC6__BHV66_00965
ERR1913264.19915__1.19915	39491__A0A173TAZ5__DXB99_09520
ERR1913264.20201__1.20201	1262922__R6EEP0__BN487_01314
ERR1913264.20843__1.20843	301301__A0A395V7C8__RHOM_02390
ERR1913264.21034__1.21034	1262922__R6EEB5__BN487_01228
ERR1913264.21143__1.21143	39491__A0A174K1W6__DXB99_15020
ERR1913264.21231__1.21231	39491__A0A396FMF1__EUR_28700
ERR1913264.21188__1.21188	39491__C4ZCH3__EUR_17560
ERR1913264.21310__1.21310	1465754__A0A1H4FRT8__SAMN05444145_11254
ERR1913264.21501__1.21501	1262933__R7P8Q6__BN736_01257
ERR1913264.21710__1.21710	823__A0A173TL14__M095_0764
ERR1913264.21728__1.21728	1262920__R5KD76__BN467_01465
ERR1913264.21738__1.21738	1262922__R6E9C2__BN487_00401
ERR1913264.21890__1.21890	1262922__R6EVQ0__BN487_00762
ERR1913264.22025__1.22025	1262922__R6EAK5__BN487_00566
ERR1913264.22326__1.22326	39491__D4JMW8__ERS852497_01971
ERR1913264.22355__1.22355	28117__B0MXL6__ALIPUT_01851
ERR1913264.22403__1.22403	820__A0A374Q4X1__HMPREF2141_02370
ERR1913264.22507__1.22507	39491__A0A396FRK0__ERS852417_00541
ERR1913264.22809__1.22809	39485__A0A174ZG70__ERS852492_00929
ERR1913264.22833__1.22833	216816__A0A0A6VPB9__B624_1780
ERR1913264.22857__1.22857	487174__K0X0F6__HMPREF9448_01444
ERR1913264.23259__1.23259	39486__R6SE83__DXD82_03080
ERR1913264.23591__1.23591	106588__A6NUL8__BACCAP_01900
ERR1913264.23993__1.23993	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913264.24022__1.24022	823__A0A395YRW4__DD466_15895
ERR1913264.24016__1.24016	823__A0A355XLQ9__DXC05_02185
ERR1913264.24047__1.24047	823__K6ACX1__ERS852513_00266
ERR1913264.24183__1.24183	853__E2ZGD9__C7J97_11715
ERR1913264.24278__1.24278	1550024__G9RPC6__TQ39_05630
ERR1913264.24395__1.24395	853__A8S882__C4N23_07600
ERR1913264.24456__1.24456	821__A0A395US34__C5Z04_18975
ERR1913264.24636__1.24636	821__I9R3W6__DXC16_12455
ERR1913264.24645__1.24645	28117__B0MSS1__ALIPUT_00273
ERR1913264.24822__1.24822	28117__B0MST6__BHV66_06090
ERR1913264.24955__1.24955	1263000__R5F0P4__BN466_00308
ERR1913264.24947__1.24947	28117__B0MXR4__BHV66_08025
ERR1913264.25035__1.25035	39491__A0A396FJJ9__DXB76_11995
ERR1913264.25044__1.25044	820__A0A173YYG4__evgS_3
ERR1913264.25155__1.25155	39491__A0A396FM36__DXB99_00820
ERR1913264.25260__1.25260	39491__A0A395ZEN3__DXD95_12655
ERR1913264.25341__1.25341	823__A0A355WYX8__CF162_07950
ERR1913264.25479__1.25479	39491__A0A396FNY7__LD38_16155
ERR1913264.25513__1.25513	1262922__R6EYJ3__BN487_01212
ERR1913264.25662__1.25662	821__A0A0P0LFP6__C5Z04_13890
ERR1913264.25702__1.25702	823__A0A355XLQ9__DXC05_02185
ERR1913264.25737__1.25737	28117__B0MY40__BHV66_05170
ERR1913264.25777__1.25777	39491__A0A396FP46__cobD_2
ERR1913264.26049__1.26049	2137880__A0A316NUD0__DBY21_06900
ERR1913264.26377__1.26377	39491__A0A395UZL1__DXB76_05950
ERR1913264.26485__1.26485	39491__A0A395ZE48__DXB76_02395
ERR1913264.26486__1.26486	39491__A0A395V0X2__EUBREC_3007
ERR1913264.26730__1.26730	39491__R6TNE7__T1815_09811
ERR1913264.27572__1.27572	291645__I8WZT8__HMPREF1068_04327
ERR1913264.27606__1.27606	1262933__R7PF86__BN736_00896
ERR1913264.27673__1.27673	823__A0A174KUS4__araC_7
ERR1913264.27794__1.27794	33039__R6PAH6__ERS852577_01830
ERR1913264.27995__1.27995	328814__GCA_004558275.1_00059
ERR1913264.27998__1.27998	39491__C4Z872__LD38_07250
ERR1913264.28171__1.28171	1262922__R6EEH5__BN487_01593
ERR1913264.28261__1.28261	1262980__R5C0H7__BN814_00054
ERR1913264.28282__1.28282	820__A0A3E4G8F8__ERS852421_01645
ERR1913264.28248__1.28248	28117__B0MT73__ALIPUT_00412
ERR1913264.28480__1.28480	1262922__R6DZZ7__BN487_00771
ERR1913264.28573__1.28573	544645__A0A3E4SW24__DXC42_17195
ERR1913264.28626__1.28626	1262922__R6ECX9__BN487_01332
ERR1913264.28730__1.28730	28117__B0N028__BHV66_05935
ERR1913264.28785__1.28785	39491__A0A395ZF49__DXB69_05290
ERR1913264.29082__1.29082	1262922__R6EVJ0__BN487_00736
ERR1913264.29299__1.29299	1262922__R6E8K7__BN487_01739
ERR1913264.29341__1.29341	239935__A0A3F3K9J9__DEF40_00940
ERR1913264.29523__1.29523	1965537__A0A1Y4WLK0__B5E42_08175
ERR1913264.29773__1.29773	160404__R6Q0J9__SAMN02745138_03459
ERR1913264.29847__1.29847	214856__I3YK71__ERS852559_02472
ERR1913264.29984__1.29984	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913264.30302__1.30302	40518__R5E4X1__DXD93_05270
ERR1913264.30469__1.30469	39491__A0A395UZZ5__htpG_1
ERR1913264.30471__1.30471	39485__A0A174YMD0__EUBELI_01093
ERR1913264.30627__1.30627	823__A0A355WYX8__CF162_07950
ERR1913264.30793__1.30793	39496__A5Z5I2__EUBVEN_00963
ERR1913264.30807__1.30807	823__E1YT73__NCTC11152_02675
ERR1913264.30998__1.30998	1262922__R6E9J4__BN487_00738
ERR1913264.31033__1.31033	172901__A0A2U1B7T8__C8D82_10572
ERR1913264.31095__1.31095	328814__GCA_004558275.1_00058
ERR1913264.31305__1.31305	1262989__R6ZJ45__BN815_01698
ERR1913264.31375__1.31375	39491__A0A396FBR6__DXC13_08575
ERR1913264.31589__1.31589	1150298__A0A174DQT6__ERS852498_00506
ERR1913264.31554__1.31554	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913264.31880__1.31880	1262922__R6EAM2__BN487_00919
ERR1913264.31980__1.31980	2108523__A0A2P2FDC5__LAWASA_4082
ERR1913264.32045__1.32045	1965660__A0A1Y3SSG6__B5G34_01735
ERR1913264.32120__1.32120	487174__K0WUM9__HMPREF9448_02608
ERR1913264.32059__1.32059	39491__A0A395V0E5__ERE_31370
ERR1913264.32246__1.32246	39491__A0A395ZGU6__ERS852417_01456
ERR1913264.32275__1.32275	1262933__R7PAB6__BN736_01773
ERR1913264.32336__1.32336	1262922__R6E8V3__BN487_01763
ERR1913264.32376__1.32376	39491__A0A395UYA6__EUBREC_0408
ERR1913264.32414__1.32414	214856__I3YK71__ERS852559_02472
ERR1913264.32543__1.32543	39485__A0A175A403__EUBELI_20577
ERR1913264.32565__1.32565	1965537__A0A1Y4WPV9__B5E42_01160
ERR1913264.32827__1.32827	214856__A0A174EJT5__mnmA
ERR1913264.32878__1.32878	28117__B0MYI9__BHV66_05415
ERR1913264.32991__1.32991	1099853__G9S433__NSB1T_07535
ERR1913264.33357__1.33357	28117__B0MVL2__BHV66_01645
ERR1913264.33791__1.33791	1150298__A0A174PZ15__lytA
ERR1913264.33926__1.33926	1550024__G9RVD5__ASJ35_04350
ERR1913264.34064__1.34064	418240__A0A174SJB0__toxA_3
ERR1913264.34092__1.34092	1262922__R6E219__BN487_00678
ERR1913264.34148__1.34148	39485__C4Z538__EUBELI_00734
ERR1913264.34225__1.34225	39491__C4Z9J5__DXB69_02495
ERR1913264.34350__1.34350	823__A0A355XF06__B5F32_11480
ERR1913264.34651__1.34651	1262922__R6EYJ3__BN487_01212
ERR1913264.34834__1.34834	853__A8SCP3__C4N26_07960
ERR1913264.35072__1.35072	328812__A0A0F5JJR6__ACM15_05600
ERR1913264.35122__1.35122	1262922__R6E219__BN487_00678
ERR1913264.35213__1.35213	823__A0A174WTX5__DD466_11965
ERR1913264.35283__1.35283	39491__A0A174IJH1__DXB76_01865
ERR1913264.36336__1.36336	1263005__R6F312__BN497_01291
ERR1913264.36433__1.36433	28117__R7JH62__BHV66_05735
ERR1913264.36851__1.36851	853__D4JY61__C4N21_10560
ERR1913264.36963__1.36963	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913264.37351__1.37351	28117__B0MZ50__ALIPUT_02424
ERR1913264.37331__1.37331	1262945__R6ZXV9__BN600_01599
ERR1913264.37527__1.37527	46228__V8BPD3__HMPREF1202_02498
ERR1913264.37595__1.37595	39485__C4Z6K2__ERS852490_00407
ERR1913264.37983__1.37983	39491__C4ZCV5__DXB99_11855
ERR1913264.37993__1.37993	820__A0A139KG60__M094_2679
ERR1913264.38012__1.38012	39491__R6UMS6__DXD13_07035
ERR1913264.38205__1.38205	1099853__R7DMJ2__NSB1T_12820
ERR1913264.38270__1.38270	821__A0A174WBC9__ERS852556_03145
ERR1913264.38435__1.38435	39491__A0A395V5R3__EUBREC_1883
ERR1913264.38498__1.38498	33039__D4M5R9__ERS852502_01774
ERR1913264.38500__1.38500	818__Q8A3A6__Btheta7330_00071
ERR1913264.38889__1.38889	487174__K0WX28__HMPREF9448_02178
ERR1913264.38970__1.38970	2108523__A0A2P2FDC5__LAWASA_4082
ERR1913264.39143__1.39143	410072__A0A174L0Z1__ERS852525_00863
ERR1913264.39235__1.39235	1262922__R6E5H3__BN487_01250
ERR1913264.39391__1.39391	39491__D6E408__EUBREC_1466
ERR1913264.39870__1.39870	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913264.40148__1.40148	1262933__R7P835__BN736_01586
ERR1913264.40421__1.40421	1262922__R6E9C2__BN487_00401
ERR1913264.40607__1.40607	328812__A0A0F5JKM7__C803_03045
ERR1913264.40685__1.40685	1262922__R6E4W9__BN487_01554
ERR1913264.40773__1.40773	39491__A0A396FSR4__ERS852580_02287
ERR1913264.41008__1.41008	821__E5UY21__C800_02204
ERR1913264.40983__1.40983	853__A0A3E2U7E6__ERS852582_01640
ERR1913264.41224__1.41224	39491__D6E4H2__DXB99_00485
ERR1913264.41392__1.41392	1263000__R5EIH8__BN466_01210
ERR1913264.41453__1.41453	1262922__R6EEP0__BN487_01314
ERR1913264.41517__1.41517	556259__E5CFC5__BSGG_4148
ERR1913264.41596__1.41596	820__A0A174A6K0__M093_0079
ERR1913264.41825__1.41825	28117__B0MWH8__BHV66_01330
ERR1913264.41889__1.41889	1262980__R5C0H7__BN814_00054
ERR1913264.42025__1.42025	649756__D4MTV5__sorC
ERR1913264.42094__1.42094	1660__J3J5H4__CYJ22_07000
ERR1913264.42164__1.42164	1262792__R6ZDV9__BN593_01150
ERR1913264.42230__1.42230	28117__B0MY40__BHV66_05170
ERR1913264.42256__1.42256	853__A0A2A7A4A9__C4N21_14870
ERR1913264.42390__1.42390	823__D0TAX5__HMPREF1075_01064
ERR1913264.42603__1.42603	823__A0A173W404__DHP27_04905
ERR1913264.43153__1.43153	39491__A0A395ZDC6__addB
ERR1913264.43479__1.43479	301301__A0A395VAM3__yfiN_2
ERR1913264.43513__1.43513	2108523__A0A2P2FDA1__LAWASA_4052
ERR1913264.43556__1.43556	651822__GCA_000210715.1_00753
ERR1913264.43887__1.43887	1501391__GCA_000786575.1_00115
ERR1913264.44056__1.44056	853__A0A2A7B1Y7__C7K05_11930
ERR1913264.44071__1.44071	2108523__A0A2P2FCT7__LAWASA_3851
ERR1913264.44160__1.44160	39491__A0A395UXH0__EUBREC_0021
ERR1913264.44284__1.44284	1262933__R7PE73__BN736_00490
ERR1913264.44363__1.44363	1501391__GCA_000786575.1_00134
ERR1913264.44848__1.44848	823__A0A395Z066__M091_0663
ERR1913264.45349__1.45349	46503__K5ZK07__PARMER_03787
ERR1913264.45361__1.45361	28117__B0MXX2__ALIPUT_01984
ERR1913264.45332__1.45332	1262933__R7PEZ3__BN736_00729
ERR1913264.45312__1.45312	1965588__A0A1Y4HAD7__B5F36_01590
ERR1913264.45384__1.45384	1262922__R6EEP0__BN487_01314
ERR1913264.45462__1.45462	28117__B0MXU0__BHV66_07550
ERR1913264.45514__1.45514	39491__A0A395ZDC6__addB
ERR1913264.45677__1.45677	1262922__R6F3P6__BN487_01980
ERR1913264.45713__1.45713	28118__F9ZCN9__DHW44_07820
ERR1913264.45747__1.45747	1262922__R6E290__BN487_01114
ERR1913264.45971__1.45971	28116__A0A1Y4Q112__evgS_13
ERR1913264.46261__1.46261	821__A0A395VMG0__DXC44_18080
ERR1913264.46556__1.46556	39491__C4ZF05__vpr
ERR1913264.46635__1.46635	1262922__R6E195__BN487_00989
ERR1913264.46697__1.46697	823__A0A174DZM1__DDY96_10310
ERR1913264.46799__1.46799	1262945__R6YFE7__BN600_01049
ERR1913264.46839__1.46839	39491__D4JMW8__ERS852497_01971
ERR1913264.46876__1.46876	40518__R5E2R8__nnr_2
ERR1913264.46888__1.46888	823__A0A173TL14__M095_0764
ERR1913264.47029__1.47029	2137880__A0A316NV06__DBY21_04265
ERR1913264.47083__1.47083	39485__R5ZRT8__gmr_6
ERR1913264.47250__1.47250	39491__A0A395V0H6__ERS852580_02570
ERR1913264.47597__1.47597	626933__H1DGX0__HMPREF9449_01506
ERR1913264.47664__1.47664	28117__B0MTY2__BHV66_06485
ERR1913264.47864__1.47864	46228__B5CSA1__HMPREF1202_00678
ERR1913264.47874__1.47874	823__A6LEP0__M091_1976
ERR1913264.47902__1.47902	106588__A6NVP7__BACCAP_02290
ERR1913264.48415__1.48415	39491__A0A0M6WLC7__ERS852497_00640
ERR1913264.48604__1.48604	39491__A0A173TFQ1__rsmF
ERR1913264.48898__1.48898	301302__A0A0M6W9I4__M72_19871
ERR1913264.48912__1.48912	28117__B0MY40__BHV66_05170
ERR1913264.49044__1.49044	39485__R5ZPP8__EUBELI_20334
ERR1913264.49056__1.49056	160404__R6Q5S4__B5G26_01780
ERR1913264.49173__1.49173	649756__B0NZZ8__DO83_09740
ERR1913264.49261__1.49261	1262933__R7PBI9__BN736_01430
ERR1913264.49204__1.49204	1160721__W0U330__BHW50_08125
ERR1913264.49206__1.49206	823__A0A174XJM9__CEQ22_007230
ERR1913264.49311__1.49311	821__A0A174NSU0__BVU_3144
ERR1913264.49529__1.49529	39491__C4Z9K0__DXD95_07445
ERR1913264.49773__1.49773	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913264.49895__1.49895	1262933__R7P7D6__BN736_01401
ERR1913264.50001__1.50001	28117__B0MVL5__BHV66_01660
ERR1913264.50163__1.50163	1550024__A0A0D8J084__TQ39_06930
ERR1913264.50551__1.50551	1262933__R7PE73__BN736_00490
ERR1913264.50748__1.50748	357276__I9QBT7__BSEG_03340
ERR1913264.50771__1.50771	39485__A0A174YTF7__ERS852490_01271
ERR1913264.50827__1.50827	821__A0A174V2F3__NCTC10583_01474
ERR1913264.50877__1.50877	1150298__A0A174MFD0__degA_1
ERR1913264.50894__1.50894	820__A0A174DZ97__SAMN05444418_101240
ERR1913264.50984__1.50984	291645__I8WZT8__HMPREF1068_04327
ERR1913264.51090__1.51090	39491__C4ZEW3__T1815_18241
ERR1913264.51301__1.51301	1262922__R6ECX9__BN487_01332
ERR1913264.51463__1.51463	28117__R7JJM9__ALIPUT_00662
ERR1913264.51611__1.51611	39491__A0A174G6M3__DXD13_14470
ERR1913264.51709__1.51709	1262922__R6EXU8__BN487_01099
ERR1913264.51661__1.51661	1262922__R6EEB5__BN487_01228
ERR1913264.52001__1.52001	39491__A0A396FJJ9__DXB76_11995
ERR1913264.52055__1.52055	823__A0A174WTX5__DD466_11965
ERR1913264.52128__1.52128	821__R7P1Q7__M099_2990
ERR1913264.52280__1.52280	39491__A0A395ZDC6__addB
ERR1913264.52440__1.52440	160404__A0A1M6VQ66__B5G26_10310
ERR1913264.52743__1.52743	1262922__R6E290__BN487_01114
ERR1913264.52882__1.52882	214856__I3YMN6__Alfi_1938
ERR1913264.52901__1.52901	39496__A5ZA25__EUBVEN_02572
ERR1913264.53102__1.53102	39491__C4ZF05__vpr
ERR1913264.53149__1.53149	1262933__R7PBM6__BN736_01468
ERR1913264.53164__1.53164	1262933__R7PAV0__BN736_01209
ERR1913264.53173__1.53173	823__A0A174KUS4__araC_7
ERR1913264.53284__1.53284	745368__A0A1T4Y7V7__SAMN02745178_02833
ERR1913264.53217__1.53217	823__A0A173W404__DHP27_04905
ERR1913264.53227__1.53227	1262922__R6E6U3__BN487_00260
ERR1913264.53372__1.53372	1262922__R6DXH2__BN487_00387
ERR1913264.53347__1.53347	39491__C4Z872__LD38_07250
ERR1913264.53425__1.53425	28117__B0MTH2__ALIPUT_00061
ERR1913264.53495__1.53495	853__A0A2A7B1Y7__C7K05_11930
ERR1913264.53481__1.53481	853__A0A174UDE9__C4N25_12775
ERR1913264.53590__1.53590	39491__A0A395UYA6__EUBREC_0408
ERR1913264.53606__1.53606	1965537__A0A1Y4WQD4__B5E42_02755
ERR1913264.53812__1.53812	823__A0A173UDF6__CEQ22_003270
ERR1913264.54123__1.54123	1262922__R6E9J4__BN487_00738
ERR1913264.54086__1.54086	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913264.54322__1.54322	487174__K0WT65__HMPREF9448_02407
ERR1913264.54401__1.54401	39491__A0A395ZKJ0__DXD13_11010
