ERR1913293.45__1.45	216816__B3DQ11__APC1466_1528
ERR1913293.21387__1.21387	2033406__A0A2L2WRP4__PvtlMGM2_0430
ERR1913293.21551__1.21551	39491__A0A173QT73__alaS_2
ERR1913293.21686__1.21686	1263030__R5CRU4__BN705_01490
ERR1913293.21770__1.21770	214856__E4MF20__Alfi_0697
ERR1913293.21942__1.21942	1897011__A0A1Q6RC30__BHW41_06700
ERR1913293.21945__1.21945	1263044__GCA_000433375.1_01145
ERR1913293.21979__1.21979	39491__A0A396FRE7__EUR_27520
ERR1913293.22094__1.22094	1897011__A0A1Q6RI77__BHW41_01180
ERR1913293.22274__1.22274	28118__R6FBE6__DHW44_11635
ERR1913293.22346__1.22346	45851__D4S0F7__BUTYVIB_01576
ERR1913293.22366__1.22366	1263000__R5EET9__BN466_01245
ERR1913293.22423__1.22423	1262992__R5DC96__BN795_01524
ERR1913293.22516__1.22516	1897011__A0A1Q6RIN7__BHW41_00540
ERR1913293.22887__1.22887	239935__A0A2N8ITG2__Amuc_0335
ERR1913293.22929__1.22929	28118__F9Z5D8__DHW44_13785
ERR1913293.23320__1.23320	1263000__R5EMC1__BN466_00539
ERR1913293.23661__1.23661	1262736__R5YX38__BN496_01145
ERR1913293.23800__1.23800	39491__A0A396FPV7__ERS852580_01177
ERR1913293.23766__1.23766	1262917__R5ASX8__BN456_01240
ERR1913293.23998__1.23998	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913293.24037__1.24037	1897011__A0A1Q6RC34__BHW41_06455
ERR1913293.24344__1.24344	1262917__R5ASI0__BN456_01125
ERR1913293.24450__1.24450	1263000__R5EHB0__BN466_01647
ERR1913293.24549__1.24549	214856__A0A173ZUI6__ERS852447_00955
ERR1913293.24637__1.24637	1262917__R5ALK4__BN456_02039
ERR1913293.24981__1.24981	820__A0A139KJR5__M093_4469
ERR1913293.24999__1.24999	1262917__R5AP34__BN456_00216
ERR1913293.25241__1.25241	39485__C4Z0B2__EUBELI_01024
ERR1913293.25367__1.25367	1263000__R5EHI3__BN466_01684
ERR1913293.25912__1.25912	1628085__A0A1C6EZ64__C7386_10588
ERR1913293.25924__1.25924	1263000__R5EKR4__BN466_01609
ERR1913293.26320__1.26320	820__A0A173YYG4__evgS_3
ERR1913293.26452__1.26452	1796613__A0A1C7GYD6__A4V03_03700
ERR1913293.26464__1.26464	1263000__R5F0L3__BN466_00284
ERR1913293.26576__1.26576	40518__R5DY98__mepA_5
ERR1913293.26610__1.26610	39491__A0A395V1R3__T1815_08181
ERR1913293.27169__1.27169	310297__R5VDA5__DXD04_03930
ERR1913293.27299__1.27299	1262917__R5AM07__BN456_02175
ERR1913293.27521__1.27521	458033__GCA_001482755.1_02203
ERR1913293.27636__1.27636	1262917__R5AWQ2__BN456_01907
ERR1913293.27807__1.27807	901__B6WXF1__DESPIGER_1660
ERR1913293.27933__1.27933	820__A0A139K4W1__M093_0353
ERR1913293.28138__1.28138	853__A0A173XRA8__CGS56_09290
ERR1913293.28147__1.28147	1263000__R5EMZ8__BN466_00707
ERR1913293.28207__1.28207	1263000__R5EVY6__BN466_01709
ERR1913293.28359__1.28359	1628085__A0A2U1B7S9__C7386_11634
ERR1913293.28644__1.28644	674529__A0A174PUY5__SAMN05444400_103201
ERR1913293.28734__1.28734	33043__A0A174DSP1__essC_2
ERR1913293.28834__1.28834	649756__B0P4Q3__ERS852425_01640
ERR1913293.28946__1.28946	1262917__R5ATC3__BN456_01418
ERR1913293.28971__1.28971	820__A0A139JUD3__DXC91_19380
ERR1913293.29293__1.29293	1263000__R5EBB0__BN466_00463
ERR1913293.29526__1.29526	820__R9HP61__DXC91_01090
ERR1913293.29632__1.29632	1550024__A0A3B9WGK5__TQ39_08450
ERR1913293.29840__1.29840	853__A0A173XRA8__CGS56_09290
ERR1913293.29964__1.29964	1262917__R5B0J7__BN456_01197
ERR1913293.29935__1.29935	1263000__R5EGP9__BN466_01419
ERR1913293.30154__1.30154	1262917__R5AK62__BN456_00212
ERR1913293.30270__1.30270	239935__A0A2N8IMC3__CXT96_03840
ERR1913293.30377__1.30377	1262911__R6GP42__BN557_00222
ERR1913293.30626__1.30626	310298__B3JNF3__BACCOP_03465
ERR1913293.30697__1.30697	820__A7V470__HMPREF1072_02076
ERR1913293.30745__1.30745	310298__B3JQJ5__BACCOP_04231
ERR1913293.30845__1.30845	1150298__A0A174KML4__hisK
ERR1913293.31041__1.31041	46228__V8C4T8__RUMLAC_02058
ERR1913293.31226__1.31226	1262917__R5AM67__BN456_00686
ERR1913293.31198__1.31198	1262917__R5ATC3__BN456_01418
ERR1913293.31274__1.31274	310298__B3JLC6__BACCOP_02712
ERR1913293.31394__1.31394	1262917__R5AYV2__BN456_00612
ERR1913293.31602__1.31602	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913293.32540__1.32540	820__A0A174KKV6__DXC07_02635
ERR1913293.32803__1.32803	1263000__R5EI35__BN466_01649
ERR1913293.33034__1.33034	1263000__R5EMZ8__BN466_00707
ERR1913293.33126__1.33126	1897011__A0A1Q6RH35__BHW41_01705
ERR1913293.33358__1.33358	1262917__R5AJI0__BN456_01803
ERR1913293.33375__1.33375	39485__R5ZRT8__gmr_6
ERR1913293.33498__1.33498	1262917__R5B074__BN456_00067
ERR1913293.33542__1.33542	301301__A0A395VDQ5__RHOM_08975
ERR1913293.33870__1.33870	818__A0A0N7I9H8__ERS852461_00040
ERR1913293.33883__1.33883	901__B6WVR2__DESPIGER_2124
ERR1913293.33986__1.33986	239935__A0A2N8IJI1__B5G29_04615
ERR1913293.34153__1.34153	39485__A0A174ZA72__glgB_1
ERR1913293.34089__1.34089	944036__A0A196S998__AV274_5769
ERR1913293.34166__1.34166	40518__R5DT16__ysdC_2
ERR1913293.34691__1.34691	626932__G5H6Y6__HMPREF9450_00829
ERR1913293.34747__1.34747	1262917__R5AMI0__BN456_01476
ERR1913293.34749__1.34749	1262917__R5AKS2__BN456_02142
ERR1913293.35018__1.35018	33043__D5HH62__ERS852575_00121
ERR1913293.35025__1.35025	820__A0A139KIL9__DXC68_05945
ERR1913293.35057__1.35057	674529__A0A174I0V6__DXB21_05415
ERR1913293.35159__1.35159	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913293.35242__1.35242	1262917__R5AWQ2__BN456_01907
ERR1913293.35287__1.35287	1262917__R5AXP5__BN456_02173
ERR1913293.35546__1.35546	853__A0A2A7B1Y7__C7K05_11930
ERR1913293.35669__1.35669	1262917__R5AJI3__BN456_01440
ERR1913293.35711__1.35711	33043__A8SWM2__ERS852575_01910
ERR1913293.35787__1.35787	1262917__R5AX10__BN456_00253
ERR1913293.35939__1.35939	39490__A0A173S8F7__ERS852448_00834
ERR1913293.36057__1.36057	1897011__A0A1Q6RE67__BHW41_04635
ERR1913293.36082__1.36082	1262917__R5AKS2__BN456_02142
ERR1913293.36370__1.36370	116085__D4J6K8__DW747_07970
ERR1913293.36497__1.36497	1262917__R5AS64__BN456_00169
ERR1913293.36568__1.36568	820__A0A174M9V5__M093_0237
ERR1913293.36621__1.36621	46503__R6Y9P8__evgS_3
ERR1913293.36867__1.36867	1262911__R6GMD8__BN557_01647
ERR1913293.37087__1.37087	1628085__A0A1C5ZVV6__C7386_11323
ERR1913293.38037__1.38037	39491__A0A174EQV2__DXB69_10230
ERR1913293.38108__1.38108	1262917__R5ATB0__BN456_01403
ERR1913293.38519__1.38519	376805__F0R8B1__Bacsa_3573
ERR1913293.38762__1.38762	1262736__R5YLP8__BN496_00010
ERR1913293.38801__1.38801	1263107__GCA_000436995.1_00075
ERR1913293.39230__1.39230	820__A0A3E4GA19__SAMN05444418_10562
ERR1913293.39352__1.39352	853__A8S882__C4N23_07600
ERR1913293.39598__1.39598	1262917__R5ALZ5__BN456_00616
ERR1913293.39910__1.39910	1897011__A0A1Q6RE83__BHW41_04925
ERR1913293.40095__1.40095	40518__R5DVL2__penA
ERR1913293.40176__1.40176	45851__D4RXA4__BUTYVIB_00455
ERR1913293.40340__1.40340	821__R7P1Q7__M099_2990
ERR1913293.40460__1.40460	246787__A0A0P0FSC0__cytR_2
ERR1913293.40540__1.40540	820__A0A3E4QZJ7__C801_01798
ERR1913293.40743__1.40743	1262992__R5CXM8__BN795_01024
ERR1913293.40693__1.40693	39491__A0A396FJV5__ERS852417_00035
ERR1913293.40709__1.40709	1262917__R5APN9__BN456_02126
ERR1913293.40676__1.40676	901__B6WXX4__DESPIGER_1515
ERR1913293.40871__1.40871	28116__A0A3E5HUC8__DHW41_21025
ERR1913293.40973__1.40973	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913293.41117__1.41117	28118__R6FI57__DF785_14020
ERR1913293.41188__1.41188	29361__B6FKH5__CLONEX_00621
ERR1913293.41203__1.41203	1262917__R5AX10__BN456_00253
ERR1913293.41391__1.41391	1628085__A0A374VLY7__C7386_10688
ERR1913293.41525__1.41525	820__A0A174G065__DXB62_08975
ERR1913293.41539__1.41539	301301__A0A395V6Z6__ERS852391_00966
ERR1913293.41588__1.41588	820__A7V9F9__B5G17_14640
ERR1913293.42086__1.42086	944036__A0A196S8S8__AV274_5932
ERR1913293.42097__1.42097	1262917__R5AVJ4__BN456_00135
ERR1913293.42526__1.42526	901__B6WUN6__DHV46_11020
ERR1913293.42588__1.42588	821__A0A3E4HP25__SAMN04487923_102450
ERR1913293.42650__1.42650	1262917__R5AJ42__BN456_01672
ERR1913293.42815__1.42815	239935__A0A139TLF5__CXU18_06685
ERR1913293.42946__1.42946	1263000__R5EAZ0__BN466_00537
ERR1913293.43141__1.43141	1262917__R5AXP5__BN456_02173
ERR1913293.43144__1.43144	1262917__R5AYV2__BN456_00612
ERR1913293.43290__1.43290	1263000__R5EHB0__BN466_01647
ERR1913293.43317__1.43317	39491__A0A395ZBW8__DXC13_08840
ERR1913293.43402__1.43402	853__A0A174C5M1__CGS58_04460
ERR1913293.43545__1.43545	820__A0A374Q854__HMPREF1073_03281
ERR1913293.43925__1.43925	1262917__R5ATC3__BN456_01418
ERR1913293.43968__1.43968	301301__A0A395V957__RHOM_14115
ERR1913293.44090__1.44090	39491__A0A173RA59__EUR_24800
ERR1913293.44164__1.44164	1262917__R5AK62__BN456_00212
ERR1913293.44205__1.44205	821__A0A174AYT0__DXC02_03530
ERR1913293.44490__1.44490	1262917__R5AVM2__BN456_01598
ERR1913293.44958__1.44958	458033__GCA_001482755.1_02203
ERR1913293.45214__1.45214	820__A0A396EUU8__luxQ_3
ERR1913293.45564__1.45564	853__C7H7F5__DWZ46_01780
ERR1913293.45810__1.45810	1263044__GCA_000433375.1_01150
ERR1913293.45814__1.45814	1263000__R5EFA7__BN466_01197
ERR1913293.46208__1.46208	384638__B7APR0__BACPEC_00666
ERR1913293.46380__1.46380	1262911__R6H212__BN557_01031
ERR1913293.46493__1.46493	116085__D4J7P1__DW747_15085
ERR1913293.46591__1.46591	1262917__R5AP22__BN456_00201
ERR1913293.47026__1.47026	1897011__A0A1Q6RGB6__BHW41_02790
ERR1913293.47097__1.47097	1262736__R5Y1K8__BN496_00775
ERR1913293.47257__1.47257	853__A0A2A7B9I6__DW855_13690
ERR1913293.47463__1.47463	310298__B3JED9__BACCOP_00230
ERR1913293.47482__1.47482	310298__B3JFK6__BACCOP_00656
ERR1913293.47575__1.47575	301301__G2SXB0__RHOM_09565
ERR1913293.47751__1.47751	820__A0A396EUU8__luxQ_3
ERR1913293.47716__1.47716	40518__R5E6K4__RB5AMG_02070
ERR1913293.47859__1.47859	1262917__R5B074__BN456_00067
ERR1913293.47968__1.47968	357276__B6W5Q7__DXD47_13945
ERR1913293.47974__1.47974	552398__T5S086__HMPREF0866_01580
ERR1913293.48321__1.48321	1608898__F0ER52__HMPREF3279_00195
ERR1913293.48460__1.48460	116085__D4J8Q3__DW747_08750
ERR1913293.48465__1.48465	853__A0A2A7B9I6__DW855_13690
ERR1913293.48501__1.48501	820__A0A3E4VZT7__DXB48_16145
ERR1913293.48549__1.48549	820__A0A139K1Y6__DXB48_02610
ERR1913293.48574__1.48574	28117__B0MY82__BHV66_04755
ERR1913293.48646__1.48646	1262917__R5ATC3__BN456_01418
ERR1913293.49021__1.49021	384638__B7APR0__BACPEC_00666
ERR1913293.49029__1.49029	820__A0A374Q854__HMPREF1073_03281
ERR1913293.49048__1.49048	820__A0A3E4W984__pssA
ERR1913293.49360__1.49360	1263000__R5EHB0__BN466_01647
ERR1913293.49673__1.49673	820__A0A3E4RUC4__DHU98_02635
ERR1913293.49969__1.49969	1262917__R5AS71__BN456_00179
ERR1913293.50352__1.50352	1897011__A0A1Q6RF71__BHW41_03215
ERR1913293.50442__1.50442	853__R6QDR1__C4N27_08170
ERR1913293.50487__1.50487	820__R9HP61__DXC91_01090
ERR1913293.50955__1.50955	40518__A0A1Q6S5M1__DXD83_09325
ERR1913293.51006__1.51006	1262917__R5ANE3__BN456_01111
ERR1913293.51012__1.51012	1262917__R5AS64__BN456_00169
ERR1913293.51029__1.51029	1262917__R5AX17__BN456_01972
ERR1913293.51130__1.51130	446660__GCA_003428235.1_01663
ERR1913293.51215__1.51215	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913293.51420__1.51420	454155__F3QUP7__HMPREF9442_01920
ERR1913293.52080__1.52080	310298__B3JGJ2__BACCOP_00994
ERR1913293.52111__1.52111	28118__R6F5X8__DF785_07935
ERR1913293.52300__1.52300	39491__C4ZCV7__ERE_23110
ERR1913293.52323__1.52323	1263000__R5EMZ8__BN466_00707
ERR1913293.52618__1.52618	853__A0A173YYY4__DWZ04_09420
ERR1913293.52707__1.52707	1897011__A0A1Q6RE59__BHW41_04605
ERR1913293.52731__1.52731	40518__R5DQD6__DXD83_09060
ERR1913293.52775__1.52775	1262917__R5AR72__BN456_01614
ERR1913293.52888__1.52888	39491__A0A396FFW0__ERE_10580
ERR1913293.52917__1.52917	384638__B7APR0__BACPEC_00666
ERR1913293.53180__1.53180	1263000__R5EGY6__BN466_00973
ERR1913293.53193__1.53193	1262917__R5ARG0__BN456_01693
ERR1913293.53345__1.53345	901__B6WUN9__DESPIGER_1850
ERR1913293.53465__1.53465	1262736__R5Y4P7__BN496_00298
ERR1913293.53754__1.53754	823__A0A355XGQ3__prmC
ERR1913293.53916__1.53916	1262917__R5AWQ2__BN456_01907
ERR1913293.54126__1.54126	1263011__R6DUC0__BN553_01945
ERR1913293.54136__1.54136	40518__R5DVL2__penA
ERR1913293.54506__1.54506	454155__F3QTG9__HMPREF9442_01487
ERR1913293.54583__1.54583	1263000__R5EGY6__BN466_00973
ERR1913293.55831__1.55831	1262917__R5AJ42__BN456_01672
ERR1913293.55943__1.55943	487174__K0X1H0__DDY40_11080
ERR1913293.56005__1.56005	1262917__R5AZ23__BN456_00687
ERR1913293.56115__1.56115	649756__A0A1Q2C724__CL2_20160
ERR1913293.56419__1.56419	820__A0A3E4VXP2__yesR
ERR1913293.56682__1.56682	454155__F3QX41__HMPREF9442_02775
ERR1913293.56731__1.56731	28118__F9Z750__Odosp_3044
ERR1913293.56900__1.56900	1262911__R6H2J2__BN557_01228
ERR1913293.57009__1.57009	1263000__R5EXF8__BN466_01942
ERR1913293.57215__1.57215	165179__A0A174UTZ7__DXC61_06705
ERR1913293.57231__1.57231	1897011__A0A1Q6RG85__BHW41_02670
ERR1913293.57266__1.57266	1262917__R5ATI8__BN456_00325
ERR1913293.57396__1.57396	384638__B7APR0__BACPEC_00666
ERR1913293.57464__1.57464	1262917__R5ASX8__BN456_01240
ERR1913293.57625__1.57625	214856__A0A173ZUI6__ERS852447_00955
ERR1913293.57653__1.57653	1262736__R5Y4P7__BN496_00298
ERR1913293.57601__1.57601	1262917__R5AX17__BN456_01972
ERR1913293.57760__1.57760	1262917__R5AMT3__BN456_00047
ERR1913293.57921__1.57921	74426__rpoB
ERR1913293.58030__1.58030	338188__R6RT73__HMPREF1057_02828
ERR1913293.58117__1.58117	1262917__R5AJ42__BN456_01672
ERR1913293.58050__1.58050	1262917__R5AXK0__BN456_02133
ERR1913293.58144__1.58144	1628085__A0A3E2XRQ2__C7386_10552
ERR1913293.58148__1.58148	74426__group_4823
ERR1913293.58437__1.58437	1262917__R5ARD5__BN456_00140
ERR1913293.58623__1.58623	1263000__R5EIH8__BN466_01210
ERR1913293.58674__1.58674	853__A0A2A7B9I6__DW855_13690
ERR1913293.58830__1.58830	1628085__A0A2U1BCH3__C7386_10746
ERR1913293.59218__1.59218	147206__GCF_000156215.1_01108
ERR1913293.59227__1.59227	39491__A0A395ZKJ0__DXD13_11010
ERR1913293.59382__1.59382	1262917__R5AKQ6__BN456_02122
ERR1913293.59750__1.59750	1263107__GCA_000436995.1_00176
ERR1913293.59855__1.59855	1262917__R5B074__BN456_00067
ERR1913293.60142__1.60142	820__A0A139K4T0__ERS852510_03146
ERR1913293.60376__1.60376	1262911__R6GKS1__BN557_00184
ERR1913293.60607__1.60607	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913293.60726__1.60726	45851__D4RWC6__BHV86_07010
ERR1913293.60782__1.60782	1262917__R5APL3__BN456_01119
ERR1913293.60815__1.60815	821__A0A3E4XY72__NCTC10583_01067
ERR1913293.61227__1.61227	1262917__R5AP58__BN456_01384
ERR1913293.61188__1.61188	1262917__R5B101__BN456_01330
ERR1913293.61414__1.61414	901__B6WXN9__DESPIGER_1568
ERR1913293.61421__1.61421	2108523__A0A2P2F3W3__LAWASA_692
ERR1913293.61924__1.61924	820__A0A139K0K1__DXB37_05460
ERR1913293.62047__1.62047	40518__R5DTJ1__DXD86_03635
ERR1913293.62218__1.62218	301301__G2T1C2__RHOM_06165
ERR1913293.62483__1.62483	394340__gyrB
ERR1913293.62774__1.62774	1263000__R5EXT3__BN466_02213
ERR1913293.62781__1.62781	1897011__A0A1Q6RI45__BHW41_00970
ERR1913293.63159__1.63159	1897011__A0A1Q6RD70__BHW41_05845
ERR1913293.63196__1.63196	1262917__R5AQ15__BN456_01259
ERR1913293.63264__1.63264	1262917__R5AP22__BN456_00201
ERR1913293.63365__1.63365	1262911__R6H212__BN557_01031
ERR1913293.63435__1.63435	1262736__R5YCL7__BN496_00384
ERR1913293.63483__1.63483	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913293.63825__1.63825	1263000__R5EAZ0__BN466_00537
ERR1913293.63834__1.63834	39491__A0A174LTW7__DXD13_08720
