ERR1913222.220__1.220	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913222.15729__1.15729	2022527__A0A264Y976__CHL74_04130
ERR1913222.16074__1.16074	39485__A0A174ZG70__ERS852492_00929
ERR1913222.16367__1.16367	45851__D4RW43__BUTYVIB_00173
ERR1913222.16473__1.16473	1262911__R6H2J2__BN557_01228
ERR1913222.16764__1.16764	45851__D4S1R9__BHV86_08150
ERR1913222.17021__1.17021	45851__D4RZD5__BUTYVIB_01201
ERR1913222.17029__1.17029	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913222.17133__1.17133	1262959__R5Y7B4__BN680_01714
ERR1913222.17151__1.17151	458033__GCA_001482755.1_02203
ERR1913222.17311__1.17311	39485__A0A175A023__yhhT
ERR1913222.17601__1.17601	410072__A0A173ZGJ2__ERS852389_01316
ERR1913222.17724__1.17724	853__A0A173T6P2__DWZ46_14595
ERR1913222.17847__1.17847	2173__A0A1D2WTZ3__frhB
ERR1913222.17993__1.17993	45851__D4RYK6__BHV86_00465
ERR1913222.18107__1.18107	2173__A0A1D2WRS4__METSMIALI_00521
ERR1913222.18560__1.18560	1263006__R6LR21__BN515_00462
ERR1913222.18780__1.18780	1262882__R5MFY4__BN519_00529
ERR1913222.18786__1.18786	28125__I4Z7F4__HMPREF3218_0201500
ERR1913222.18726__1.18726	1262961__R6DVR1__BN710_01699
ERR1913222.18810__1.18810	39485__C4Z6K2__ERS852490_00407
ERR1913222.18913__1.18913	39485__C4Z434__tilS
ERR1913222.19030__1.19030	39485__A0A174ZNW9__luxQ_1
ERR1913222.19114__1.19114	39485__C4Z434__tilS
ERR1913222.19240__1.19240	1262761__R6QZS1__BN606_01236
ERR1913222.19363__1.19363	1680__A0A174BEE7__BSTER_1311
ERR1913222.19409__1.19409	45851__D4RWN7__BHV86_06150
ERR1913222.19874__1.19874	2173__A0A1D2WT18__METSMIALI_00395
ERR1913222.19908__1.19908	45851__D4S288__BHV86_04325
ERR1913222.20280__1.20280	1262760__R5LX27__BN758_02135
ERR1913222.20237__1.20237	1263107__GCA_000436995.1_00136
ERR1913222.20442__1.20442	1262761__R6QS33__BN606_00308
ERR1913222.20579__1.20579	45851__D4RWN6__BUTYVIB_00072
ERR1913222.20589__1.20589	45851__D4S247__BUTYVIB_02169
ERR1913222.20950__1.20950	45851__D4S1R7__BUTYVIB_02039
ERR1913222.21104__1.21104	39485__C4Z6B7__EUBELI_20364
ERR1913222.21178__1.21178	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913222.21352__1.21352	1680__A0A173W5Z2__DXC53_01290
ERR1913222.22128__1.22128	45851__D4S247__BUTYVIB_02169
ERR1913222.22171__1.22171	100886__E2NQ04__CATMIT_00655
ERR1913222.22268__1.22268	165179__A0A174W369__PREVCOP_04548
ERR1913222.22433__1.22433	853__A0A2A7B1Y7__C7K05_11930
ERR1913222.22678__1.22678	360807__A0A0M6WHH1__RIL183_16811
ERR1913222.22685__1.22685	39485__A0A174YYW2__benM
ERR1913222.22713__1.22713	853__A0A173TAZ8__DWZ46_14590
ERR1913222.23017__1.23017	45851__D4S330__BHV86_03650
ERR1913222.23527__1.23527	39485__A0A1Q6PG30__ERS852492_00010
ERR1913222.23915__1.23915	821__A0A174V2F3__NCTC10583_01474
ERR1913222.24187__1.24187	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913222.24665__1.24665	1150298__A0A174APS6__kinA
ERR1913222.24714__1.24714	2022527__A0A264Y9X6__CHL74_02935
ERR1913222.25080__1.25080	88431__A6BFJ3__ERS852408_01680
ERR1913222.25115__1.25115	45851__D4S0F7__BUTYVIB_01576
ERR1913222.25139__1.25139	1262924__R7HM98__BN585_01697
ERR1913222.25153__1.25153	45851__R5LYR7__BHV86_03710
ERR1913222.25167__1.25167	1262911__R6H2J2__BN557_01228
ERR1913222.25449__1.25449	1262882__R5ML49__BN519_01361
ERR1913222.25459__1.25459	45851__D4RWS3__BUTYVIB_00110
ERR1913222.25638__1.25638	1262761__R6QZS1__BN606_01236
ERR1913222.26211__1.26211	165179__A0A3E5DX15__DXC61_00345
ERR1913222.26764__1.26764	39485__A0A174YTF8__EUBELI_20448
ERR1913222.27112__1.27112	45851__D4S247__BUTYVIB_02169
ERR1913222.27278__1.27278	1262761__R6R8B3__BN606_01478
ERR1913222.27381__1.27381	33043__A0A174B5C6__acm_3
ERR1913222.27577__1.27577	1262886__R6Q6Q1__BN563_00546
ERR1913222.27898__1.27898	1262961__R6EK01__BN710_00862
ERR1913222.28368__1.28368	1262882__R5N3H1__BN519_01121
ERR1913222.28734__1.28734	39488__C0EWC5__EHLA_2843
ERR1913222.28762__1.28762	39485__A0A174ZBK4__ERS852490_01585
ERR1913222.28834__1.28834	649756__R5Z9G3__ERS852571_02234
ERR1913222.29208__1.29208	28123__F4KN52__Poras_0436
ERR1913222.29407__1.29407	45851__R5LYV2__BHV86_00590
ERR1913222.29420__1.29420	853__A0A173XRA8__CGS56_09290
ERR1913222.29424__1.29424	1547597__A0A0C3RG42__IE90_08180
ERR1913222.29440__1.29440	165179__A0A3E5A5E5__DXC61_13965
ERR1913222.29637__1.29637	1262961__R6E1C5__BN710_01058
ERR1913222.29794__1.29794	28125__I4Z8P7__HMPREF3218_0200296
ERR1913222.29865__1.29865	1262959__R5YCY8__BN680_00151
ERR1913222.29917__1.29917	165179__D1PGJ6__DXC61_07300
ERR1913222.30543__1.30543	418240__C6J9W6__ERS852523_00370
ERR1913222.30638__1.30638	2173__A5UK74__pyrP
ERR1913222.30642__1.30642	45851__D4RWJ0__BHV86_05915
ERR1913222.30942__1.30942	1262961__R6E0C8__BN710_00049
ERR1913222.31100__1.31100	1263006__R6LPZ5__BN515_02090
ERR1913222.31114__1.31114	45851__D4RW69__BUTYVIB_00200
ERR1913222.31442__1.31442	1262882__R5MND9__BN519_00831
ERR1913222.31727__1.31727	39485__C4Z6J7__ERS852492_02047
ERR1913222.31791__1.31791	1262825__R5ECD0__BN724_02208
ERR1913222.31941__1.31941	45851__D4RWG7__BUTYVIB_00298
ERR1913222.31923__1.31923	301302__A0A0M6WJW1__ERS852420_02245
ERR1913222.32019__1.32019	165179__A0A3E5A554__DXB80_13805
ERR1913222.32153__1.32153	39485__A0A174YSU1__ERS852492_00576
ERR1913222.32225__1.32225	45851__D4RYS4__BHV86_05460
ERR1913222.32585__1.32585	45851__D4RZC9__BUTYVIB_01195
ERR1913222.32701__1.32701	166486__D4KZ14__inlA_1
ERR1913222.34269__1.34269	39485__C4Z069__EUBELI_00981
ERR1913222.34673__1.34673	1897011__A0A1Q6RFQ8__BHW41_03470
ERR1913222.34663__1.34663	45851__D4RWG7__BUTYVIB_00298
ERR1913222.34704__1.34704	39485__R5ZRT8__gmr_6
ERR1913222.34748__1.34748	39485__A0A174YR79__EUBELI_20418
ERR1913222.34779__1.34779	39488__A0A173SKK4__ERS852578_01024
ERR1913222.34939__1.34939	1262760__R5LA92__BN758_01569
ERR1913222.35182__1.35182	853__A0A2A7B1Y7__C7K05_11930
ERR1913222.35231__1.35231	853__A0A173YYY4__DWZ04_09420
ERR1913222.35318__1.35318	45851__D4RYI3__BHV86_01630
ERR1913222.35540__1.35540	39491__A0A173VYV1__DXC13_02710
ERR1913222.36061__1.36061	151539__GeneID:920473
ERR1913222.36105__1.36105	418240__A0A173XCL4__ERS852523_02725
ERR1913222.36351__1.36351	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913222.36382__1.36382	39496__A5Z8J4__EUBVEN_02036
ERR1913222.36404__1.36404	165179__D1PHV2__PREVCOP_06822
ERR1913222.36578__1.36578	1042156__F7V3A8__HipB
ERR1913222.36933__1.36933	1735__B7CDA5__EUBIFOR_02186
ERR1913222.37243__1.37243	100886__E2NP90__ERS852383_05246
ERR1913222.37466__1.37466	1262760__R5LSJ2__BN758_01510
ERR1913222.37817__1.37817	1262825__R5E8D2__BN724_02151
ERR1913222.37653__1.37653	45851__D4S200__BHV86_07815
ERR1913222.37870__1.37870	39485__A0A174YMD0__EUBELI_01093
ERR1913222.37930__1.37930	39491__A0A0M6WNS5__DXC13_02015
ERR1913222.38198__1.38198	165179__A0A3E5AI09__DXC61_05815
ERR1913222.38236__1.38236	165179__R6PU83__CFT61_14275
ERR1913222.38443__1.38443	45851__D4S013__BHV86_10590
ERR1913222.38581__1.38581	39485__A0A174ZPH7__ERS852490_01992
ERR1913222.38635__1.38635	40520__A0A3E5EGR0__DXC87_08980
ERR1913222.39118__1.39118	853__C7H7F5__DWZ46_01780
ERR1913222.39151__1.39151	1263006__R6LPZ5__BN515_02090
ERR1913222.39203__1.39203	45851__D4RWN6__BUTYVIB_00072
ERR1913222.39429__1.39429	1735__B7CB88__EUBIFOR_01463
ERR1913222.40050__1.40050	166486__D4L0Q4__ERS852572_03675
ERR1913222.40103__1.40103	1262825__R5EBR2__BN724_01996
ERR1913222.40627__1.40627	165179__A0A3E5DWZ6__DXC61_10880
ERR1913222.41020__1.41020	47678__R5U325__HMPREF1061_03209
ERR1913222.41132__1.41132	45851__D4S317__BUTYVIB_02469
ERR1913222.41211__1.41211	45851__D4RYI3__BHV86_01630
ERR1913222.41257__1.41257	33039__A0A3D0EY88__ERS852390_03120
ERR1913222.41611__1.41611	45851__D4RYU3__BUTYVIB_01007
ERR1913222.41693__1.41693	39485__A0A174ZBK4__ERS852490_01585
ERR1913222.41623__1.41623	384639__GCA_003096855.1_00975
ERR1913222.41670__1.41670	39485__A0A175A2T1__EUBELI_02034
ERR1913222.42192__1.42192	45851__D4RYU0__BHV86_05340
ERR1913222.42287__1.42287	1263006__R6LXG0__BN515_01067
ERR1913222.42360__1.42360	1150298__A0A174SLE6__mlc_1
ERR1913222.42420__1.42420	39485__A0A175A403__EUBELI_20577
ERR1913222.42770__1.42770	39485__C4Z389__ERS852490_01920
ERR1913222.43118__1.43118	29361__B6FKH5__CLONEX_00621
ERR1913222.43752__1.43752	1262886__R6QIL5__BN563_00897
ERR1913222.44017__1.44017	418240__A0A174NZX7__tagF_1
ERR1913222.44242__1.44242	165179__A0A174IYW3__DXC61_01235
ERR1913222.44742__1.44742	45851__R5LRK0__BUTYVIB_00520
ERR1913222.45323__1.45323	189722__E0NQU7__HMPREF0658_0548
ERR1913222.45304__1.45304	39496__A5Z5I2__EUBVEN_00963
ERR1913222.45360__1.45360	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913222.45393__1.45393	165179__D1PDJ4__DXB80_08505
ERR1913222.45529__1.45529	556259__E5C690__BSGG_1431
ERR1913222.45554__1.45554	853__E2ZJT1__C4N23_03535
ERR1913222.46057__1.46057	853__A0A173RZ39__C4N22_01650
ERR1913222.46107__1.46107	106588__A6P303__BACCAP_04887
ERR1913222.46322__1.46322	1262761__R6RY17__BN606_01538
ERR1913222.46499__1.46499	1262911__R6H2J2__BN557_01228
ERR1913222.46798__1.46798	1262761__R6QHZ3__BN606_00478
ERR1913222.47069__1.47069	1262816__R6BWP4__BN687_00210
ERR1913222.47108__1.47108	39486__R6S7Q3__DXD84_03220
ERR1913222.47119__1.47119	1897011__A0A1Q6RE83__BHW41_04925
ERR1913222.47638__1.47638	45851__D4S247__BUTYVIB_02169
ERR1913222.47812__1.47812	1262911__R6GPB5__BN557_00842
ERR1913222.47972__1.47972	33043__D5HFA1__ERS852400_02183
ERR1913222.47923__1.47923	1262882__R5MFR3__BN519_00473
ERR1913222.48043__1.48043	45851__D4RWN7__BHV86_06150
ERR1913222.48134__1.48134	1262760__R5LQQ5__BN758_01244
ERR1913222.48167__1.48167	33043__A0A173YPE0__thiD
ERR1913222.48911__1.48911	45851__D4S2J5__BUTYVIB_02317
ERR1913222.49059__1.49059	39496__A5Z9X3__EUBVEN_02520
ERR1913222.49284__1.49284	1262825__R5EDF8__BN724_01499
ERR1913222.49358__1.49358	1263006__R6LXG0__BN515_01067
ERR1913222.49756__1.49756	45851__D4RYB8__BHV86_01965
ERR1913222.50135__1.50135	39485__A0A174ZQT9__EUBELI_20278
ERR1913222.50150__1.50150	45851__D4RYZ4__BHV86_03155
ERR1913222.50162__1.50162	45851__D4S1R9__BHV86_08150
ERR1913222.50260__1.50260	45851__D4S1R9__BHV86_08150
ERR1913222.50383__1.50383	45851__D4RWC5__BHV86_07005
ERR1913222.50575__1.50575	39485__A0A1Q6PGI7__pehX_3
ERR1913222.50764__1.50764	45851__D4RWI9__BHV86_05910
ERR1913222.51017__1.51017	45851__D4RYQ1__BHV86_00310
ERR1913222.51150__1.51150	45851__D4S1I1__BHV86_08605
ERR1913222.51189__1.51189	2022527__A0A264Y4Z2__CHL74_12125
ERR1913222.51392__1.51392	45851__D4RYK6__BHV86_00465
ERR1913222.51640__1.51640	45851__R5LVD9__BHV86_05140
ERR1913222.51667__1.51667	853__A0A174C5M1__CGS58_04460
ERR1913222.52093__1.52093	1262961__R6EP07__BN710_01333
ERR1913222.52309__1.52309	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913222.52342__1.52342	45851__R5LGC3__BHV86_03695
ERR1913222.52600__1.52600	1262886__R6Q805__BN563_00926
ERR1913222.52763__1.52763	853__A0A174C5M1__CGS58_04460
ERR1913222.52766__1.52766	1262760__R5LA93__BN758_01520
ERR1913222.52905__1.52905	165179__D1PEW8__DXB80_13775
ERR1913222.53063__1.53063	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913222.53171__1.53171	1262825__R5E272__BN724_01381
ERR1913222.53560__1.53560	1262882__R5MND9__BN519_00831
ERR1913222.53690__1.53690	45851__D4RYS8__BUTYVIB_00989
ERR1913222.54342__1.54342	853__A0A2A7B9I6__DW855_13690
ERR1913222.54611__1.54611	165179__D1P8K1__DXB80_06045
ERR1913222.54619__1.54619	45851__D4RYR7__BHV86_05495
ERR1913222.54658__1.54658	2022527__A0A264Y7Y1__CHL74_09300
ERR1913222.54692__1.54692	1262825__R5E9W7__BN724_00536
ERR1913222.54844__1.54844	1262886__R6QHD5__BN563_00547
ERR1913222.55318__1.55318	360807__A0A1Q6T6D8__yehT_5
ERR1913222.55551__1.55551	45851__D4RWN6__BUTYVIB_00072
ERR1913222.55647__1.55647	1262760__R5L4T1__BN758_00546
ERR1913222.55734__1.55734	2173__A0A1D2WSN7__Msm_1465
ERR1913222.55861__1.55861	45851__D4RY78__BUTYVIB_00783
ERR1913222.55948__1.55948	45851__D4RZ82__BHV86_03550
ERR1913222.56523__1.56523	100886__E2NSF9__rpoB
ERR1913222.56653__1.56653	45851__D4RW73__BHV86_06745
ERR1913222.57032__1.57032	45851__R5LHP6__BUTYVIB_00994
ERR1913222.57272__1.57272	165179__A0A174IPI3__CFT61_10940
ERR1913222.57323__1.57323	39491__A0A395ZIT8__EUR_13460
ERR1913222.57487__1.57487	2173__A0A1D2WW40__BK798_07930
ERR1913222.57569__1.57569	1262961__R6DSH9__BN710_01201
ERR1913222.58087__1.58087	45851__D4RWC1__BHV86_06985
ERR1913222.58182__1.58182	1262961__R6EK01__BN710_00862
ERR1913222.58554__1.58554	45851__D4S330__BHV86_03650
ERR1913222.58541__1.58541	1263000__R5EXT3__BN466_02213
ERR1913222.59030__1.59030	45851__D4RWC5__BHV86_07005
ERR1913222.59466__1.59466	39485__A0A174YR79__EUBELI_20418
ERR1913222.59556__1.59556	1262886__R6QNM3__BN563_00033
ERR1913222.59638__1.59638	1262992__R5CXM8__BN795_01024
ERR1913222.59825__1.59825	165179__A0A3E5E3D6__DXC61_05750
ERR1913222.59837__1.59837	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913222.60152__1.60152	45851__D4RWN6__BUTYVIB_00072
ERR1913222.60185__1.60185	45851__D4RYU3__BUTYVIB_01007
ERR1913222.60367__1.60367	45851__D4S0D7__BUTYVIB_01556
ERR1913222.60824__1.60824	410072__A0A174JCL9__tee6
ERR1913222.61036__1.61036	45851__D4RWS6__BHV86_06350
ERR1913222.61047__1.61047	45851__D4S013__BHV86_10590
ERR1913222.61128__1.61128	1262825__R5EER7__BN724_00148
ERR1913222.61302__1.61302	45851__D4RXA5__BHV86_02525
ERR1913222.61597__1.61597	45851__D4RWG7__BUTYVIB_00298
ERR1913222.61886__1.61886	39485__C4Z6I9__ERS852492_02038
ERR1913222.61950__1.61950	39485__R5ZSH7__EUBELI_00953
ERR1913222.62098__1.62098	45851__D4RYS4__BHV86_05460
ERR1913222.62283__1.62283	33043__D5HFX2__ERS852445_02161
ERR1913222.62331__1.62331	39485__A0A175A023__yhhT
ERR1913222.62584__1.62584	40520__A0A174IJ62__DXC87_06795
ERR1913222.62612__1.62612	410072__A0A173XQG6__ERS852574_01620
ERR1913222.62741__1.62741	165179__D1P9T6__PREVCOP_04016
ERR1913222.62744__1.62744	1262816__R6BVP2__BN687_02481
ERR1913222.62963__1.62963	74426__rpoC
ERR1913222.62937__1.62937	2022527__A0A264YAY9__CHL74_01555
ERR1913222.63087__1.63087	45851__D4S2J5__BUTYVIB_02317
ERR1913222.63098__1.63098	88431__A0A174G8Q6__ERS852526_02711
ERR1913222.63025__1.63025	165179__A0A3E5AI09__DXC61_05815
ERR1913222.63237__1.63237	39485__C4Z0F4__ERS852490_00945
ERR1913222.63262__1.63262	39485__A0A174ZPH7__ERS852490_01992
ERR1913222.63410__1.63410	418240__A0A173YKG4__ycjO_4
ERR1913222.63664__1.63664	39491__A0A395V1R3__T1815_08181
ERR1913222.63799__1.63799	1263000__R5EXT3__BN466_02213
ERR1913222.64330__1.64330	1262882__R5MLE6__BN519_01423
ERR1913222.64409__1.64409	39491__C4ZF05__vpr
ERR1913222.64775__1.64775	853__A0A2A7B9I6__DW855_13690
ERR1913222.65003__1.65003	45851__D4S1E0__BUTYVIB_01910
ERR1913222.65180__1.65180	45851__D4S0Q4__lepB
ERR1913222.65363__1.65363	88431__A0A174GCE2__ERS852423_01397
ERR1913222.65489__1.65489	2173__A0A1D2WRI4__BK798_01325
ERR1913222.65449__1.65449	309120__E4L8H4__HMPREF9220_1158
ERR1913222.65536__1.65536	39485__C4Z6Z5__EUBELI_20593
ERR1913222.65598__1.65598	33043__A8SWI7__bcrC
ERR1913222.65621__1.65621	1262992__R5CXM8__BN795_01024
ERR1913222.65790__1.65790	1520815__A0A1I3NSK6__SAMN02910435_01393
ERR1913222.65924__1.65924	2022527__A0A264YBA9__CHL74_00250
ERR1913222.66015__1.66015	45851__D4S1B2__BHV86_08920
ERR1913222.66170__1.66170	45851__D4S069__spoIVA
ERR1913222.66718__1.66718	100886__A0A174LEG5__ERS852383_05606
ERR1913222.67727__1.67727	39485__C4Z058__ERS852492_00130
ERR1913222.67772__1.67772	45851__R5LYV2__BHV86_00590
ERR1913222.67805__1.67805	45851__D4RZ27__BHV86_03325
ERR1913222.67985__1.67985	853__A0A173YYY4__DWZ04_09420
ERR1913222.68122__1.68122	39491__A0A395UWA3__DXB69_11805
ERR1913222.68129__1.68129	39485__C4Z6V1__ERS852492_02640
ERR1913222.68191__1.68191	1150298__A0A173ZI89__ERS852498_03535
ERR1913222.68249__1.68249	39485__A0A174ZNW9__luxQ_1
ERR1913222.68387__1.68387	39485__A0A174ZQ05__EUBELI_01606
ERR1913222.68421__1.68421	45851__D4S2F2__BHV86_00830
ERR1913222.68551__1.68551	45851__D4RZK8__BUTYVIB_01274
ERR1913222.68631__1.68631	39485__A0A174Z1A6__EUBELI_00220
ERR1913222.68687__1.68687	1262760__R5LA23__BN758_00598
ERR1913222.68673__1.68673	40519__U2M083__RUMCAL_01686
ERR1913222.68716__1.68716	45851__D4RWC1__BHV86_06985
ERR1913222.68727__1.68727	45851__D4RZ40__BHV86_03390
ERR1913222.69893__1.69893	1262958__R7GZN2__BN645_01716
ERR1913222.70115__1.70115	39485__R6A1W2__ERS852490_01584
ERR1913222.70527__1.70527	1262992__R5CXM8__BN795_01024
ERR1913222.70693__1.70693	39485__C4Z6V7__walK
ERR1913222.71096__1.71096	45851__D4RWI2__BHV86_07325
ERR1913222.71184__1.71184	2293125__A0A374CHN9__DW917_02240
ERR1913222.71274__1.71274	100886__E2NW15__CATMIT_02805
ERR1913222.71558__1.71558	552398__F4XCR9__HMPREF0866_01636
ERR1913222.71828__1.71828	45851__D4RY55__BHV86_05010
ERR1913222.71910__1.71910	45851__R5LL35__BUTYVIB_01928
ERR1913222.72004__1.72004	301302__R5VE56__M72_25941
ERR1913222.72051__1.72051	100886__E2NWG2__CATMIT_02957
ERR1913222.72411__1.72411	2173__A0A1D2WT40__METSMIALI_00302
ERR1913222.72413__1.72413	1262760__R5LYI8__BN758_00227
ERR1913222.72491__1.72491	33043__A0A173YEP6__ERS852575_00888
ERR1913222.72611__1.72611	45851__D4S1B2__BHV86_08920
ERR1913222.72967__1.72967	45851__D4RYS8__BUTYVIB_00989
ERR1913222.72980__1.72980	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913222.73008__1.73008	2173__A0A1D2WTF2__METSMIALI_00289
ERR1913222.73061__1.73061	1262825__R5EMY8__BN724_00542
ERR1913222.73066__1.73066	45851__D4RWC1__BHV86_06985
ERR1913222.73398__1.73398	1150298__R7JU97__ERS852498_02579
ERR1913222.73509__1.73509	143393__X8K4K1__HMPREF9092_0152
ERR1913222.73598__1.73598	45851__D4RYD2__BUTYVIB_00837
ERR1913222.73975__1.73975	1263006__R6LMV9__BN515_01406
ERR1913222.74264__1.74264	45851__D4S0T7__BHV86_09275
ERR1913222.74424__1.74424	33043__A0A174AEP1__apr
ERR1913222.74422__1.74422	28111__R5K5Y3__BACEGG_03205
ERR1913222.74830__1.74830	45851__D4RZC9__BUTYVIB_01195
ERR1913222.75293__1.75293	39491__C4ZC33__DXC13_11585
ERR1913222.75405__1.75405	853__A0A173YYY4__DWZ04_09420
ERR1913222.75450__1.75450	45851__D4RXA4__BUTYVIB_00455
ERR1913222.75479__1.75479	165179__D1PDG7__DXB80_11180
ERR1913222.75762__1.75762	116085__D4J9D8__dprA
ERR1913222.75786__1.75786	45851__D4RZC9__BUTYVIB_01195
ERR1913222.76025__1.76025	45851__D4RYC5__BHV86_01930
ERR1913222.76043__1.76043	28118__F9Z4Q7__DER54_08070
ERR1913222.76611__1.76611	301302__A0A173QV75__M72_03601
ERR1913222.76663__1.76663	1262961__R6DN84__BN710_00209
ERR1913222.76831__1.76831	853__A0A174C5M1__CGS58_04460
ERR1913222.77106__1.77106	33043__A0A173YUV6__ERS852386_00507
ERR1913222.77272__1.77272	45851__D4RYG8__BUTYVIB_00874
ERR1913222.77460__1.77460	1263006__R6LU28__BN515_01365
ERR1913222.77996__1.77996	165179__A0A174SA26__PREVCOP_05758
