ERR1913162.17__1.17	239935__R6JD78__CXU05_09250
ERR1913162.18156__1.18156	552398__F4XCR9__HMPREF0866_01636
ERR1913162.18231__1.18231	410072__C0BB27__ERS852525_01089
ERR1913162.18324__1.18324	821__A0A174WBC9__ERS852556_03145
ERR1913162.18369__1.18369	28118__F9Z750__Odosp_3044
ERR1913162.18592__1.18592	1263030__R5CX12__BN705_00275
ERR1913162.18596__1.18596	1262882__R5N3T7__BN519_01188
ERR1913162.18668__1.18668	39492__D4JTB5__EUBSIR_01720
ERR1913162.18906__1.18906	28118__R6FC74__DHW44_13330
ERR1913162.19036__1.19036	214856__A0A173YE57__ERS852559_00126
ERR1913162.19016__1.19016	214856__R6XKW1__ERS852559_01141
ERR1913162.19445__1.19445	239935__A0A139TPU7__CXT91_06575
ERR1913162.19652__1.19652	28117__B0MUR5__BHV66_03900
ERR1913162.19765__1.19765	165179__A0A3E5AER8__DXB80_07075
ERR1913162.19818__1.19818	328814__GCA_004558275.1_00075
ERR1913162.19851__1.19851	239935__A0A2N8HT44__CXT84_11035
ERR1913162.19854__1.19854	1550024__A0A0D8J179__ASJ35_09245
ERR1913162.19964__1.19964	1262869__R7CMJ2__BN625_01158
ERR1913162.20104__1.20104	239935__A0A2N8I6R6__CXU04_04335
ERR1913162.20151__1.20151	328814__GCA_004558275.1_00296
ERR1913162.20271__1.20271	1262869__R7CU85__BN625_00422
ERR1913162.20408__1.20408	1262882__R5MHQ8__BN519_00707
ERR1913162.20663__1.20663	487175__R5E3X8__HMPREF9439_02794
ERR1913162.20945__1.20945	823__D0TC25__B5F32_04575
ERR1913162.21343__1.21343	821__A0A173XDD3__DXB82_17180
ERR1913162.21248__1.21248	1262869__R7CTX9__BN625_00495
ERR1913162.21481__1.21481	1262882__R5N4D8__BN519_01497
ERR1913162.21485__1.21485	239935__A0A2N8ITX2__CXT86_11265
ERR1913162.21599__1.21599	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913162.21715__1.21715	47678__R5U3A7__ERS852494_02965
ERR1913162.21771__1.21771	1160721__W0U5X6__RBI_I01796
ERR1913162.21942__1.21942	165179__A0A229I7F5__DXB80_02650
ERR1913162.21927__1.21927	1897011__A0A1Q6REW8__BHW41_04435
ERR1913162.22096__1.22096	239935__A0A2N8HQR1__Amuc_0287
ERR1913162.22175__1.22175	239935__A0A2N8I9P4__CXT85_05050
ERR1913162.22323__1.22323	328814__GCA_004558275.1_02030
ERR1913162.22544__1.22544	544645__A0A373UZ25__DXC42_17170
ERR1913162.22782__1.22782	1262882__R5MND9__BN519_00831
ERR1913162.22761__1.22761	671267__R9I7B5__C802_04018
ERR1913162.22893__1.22893	214856__R6XS46__ERS852559_00812
ERR1913162.22924__1.22924	1262869__R7CR03__BN625_01769
ERR1913162.23145__1.23145	357276__A0A076IRZ5__BACDOR_00630
ERR1913162.23178__1.23178	1262869__R7CTL8__BN625_00218
ERR1913162.23469__1.23469	823__A0A174LWY0__lepB
ERR1913162.23512__1.23512	820__A0A3E4G826__C801_01612
ERR1913162.23756__1.23756	1235835__R9LCU2__C814_02677
ERR1913162.24215__1.24215	239935__A0A2N8I9N0__CXT97_09915
ERR1913162.24526__1.24526	214856__A0A174Z9Y8__ERS852559_00247
ERR1913162.24535__1.24535	1393034__GCA_001552785.1_00728
ERR1913162.24653__1.24653	214856__A0A173XU24__ERS852559_00240
ERR1913162.24682__1.24682	328814__GCA_004558275.1_00292
ERR1913162.24760__1.24760	2293125__A0A374BMX7__DW917_15775
ERR1913162.24812__1.24812	47678__A5ZBL9__C5Z00_18710
ERR1913162.24847__1.24847	1262882__R5MKI3__BN519_00334
ERR1913162.24922__1.24922	1263000__R5EKG2__BN466_02040
ERR1913162.25048__1.25048	246787__R6K7I2__BcellWH2_03256
ERR1913162.25027__1.25027	239935__R7DVL7__CXT93_01180
ERR1913162.25159__1.25159	2173__A0A1D2WWU1__METSMIALI_01068
ERR1913162.25213__1.25213	239935__A0A2N8IEP3__CXT84_03735
ERR1913162.25270__1.25270	301301__A0A395V8E1__RHOM_11160
ERR1913162.25415__1.25415	46503__R6XCJ0__PARMER_01847
ERR1913162.25416__1.25416	820__A0A3E4W9D9__B5G17_12400
ERR1913162.25605__1.25605	1262882__R5MRS7__BN519_01490
ERR1913162.25659__1.25659	1262882__R5MSQ8__BN519_01647
ERR1913162.26111__1.26111	1262869__R7CVG8__BN625_00795
ERR1913162.26322__1.26322	1262882__R5MLP0__BN519_01597
ERR1913162.26391__1.26391	1262929__R6EW44__BN691_01010
ERR1913162.26410__1.26410	328814__GCA_004558275.1_02028
ERR1913162.26707__1.26707	1550024__G9RWR2__TQ39_04385
ERR1913162.26776__1.26776	239935__A0A2N8HHB6__B5G29_11500
ERR1913162.26839__1.26839	671267__R9IEN1__C802_02405
ERR1913162.26889__1.26889	387090__S0F8B2__BACCOPRO_02129
ERR1913162.27108__1.27108	47678__A5ZG68__ERS852494_02968
ERR1913162.27235__1.27235	39496__A5Z5I2__EUBVEN_00963
ERR1913162.27333__1.27333	239935__R6JAS2__CXU02_10725
ERR1913162.27361__1.27361	1965576__A0A1Y4LPM5__B5F19_07170
ERR1913162.27463__1.27463	823__A6LER2__ERS852513_00365
ERR1913162.27486__1.27486	884684__GCA_002892425.1_01416
ERR1913162.27618__1.27618	1262882__R5MRS7__BN519_01490
ERR1913162.27869__1.27869	239935__R6J5N6__CXT99_10770
ERR1913162.27910__1.27910	328814__GCA_004558275.1_02028
ERR1913162.27956__1.27956	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913162.28026__1.28026	820__A0A396EUU8__luxQ_3
ERR1913162.28125__1.28125	371601__F7MC81__BN890_8450
ERR1913162.28239__1.28239	821__A0A3E4HP25__SAMN04487923_102450
ERR1913162.28575__1.28575	1034346__A0A2V2F1J9__DBX92_15490
ERR1913162.28614__1.28614	1262869__R7CLS0__BN625_01160
ERR1913162.28767__1.28767	214856__I3YPP3__Alfi_2701
ERR1913162.28876__1.28876	1262924__R7HQB7__BN585_02057
ERR1913162.28957__1.28957	357276__I9QWD4__DXD47_15075
ERR1913162.29115__1.29115	47678__R5UER2__CGC64_00710
ERR1913162.29125__1.29125	1683__C4FH23__BBAG_0228
ERR1913162.29266__1.29266	1262911__R6GTG0__BN557_01247
ERR1913162.29235__1.29235	239935__A0A2N8HB50__CXU17_02615
ERR1913162.29324__1.29324	165179__A0A3E5DWZ6__DXC61_10880
ERR1913162.29372__1.29372	1262882__R5N1T9__BN519_00804
ERR1913162.29479__1.29479	1034346__A0A2V2FGP4__DBX92_05415
ERR1913162.29532__1.29532	626929__F3PLK3__SAMN05444376_0455
ERR1913162.29644__1.29644	1262882__R5MFR3__BN519_00473
ERR1913162.29835__1.29835	1034346__A0A3C0DD09__DBX92_08235
ERR1913162.29844__1.29844	357276__A0A076ITH2__BSEG_03273
ERR1913162.29853__1.29853	1262882__R5MIY9__BN519_01097
ERR1913162.29858__1.29858	214856__R6YC22__ERS852447_01215
ERR1913162.30111__1.30111	39492__D4JTI2__ERS852540_00694
ERR1913162.30119__1.30119	1262882__R5N587__BN519_01643
ERR1913162.30366__1.30366	823__A0A174GGT1__queG
ERR1913162.30395__1.30395	39488__C0EY66__prkC_1
ERR1913162.30374__1.30374	1262869__R7CNL6__BN625_01290
ERR1913162.30378__1.30378	1262869__R7CNU1__BN625_01324
ERR1913162.30856__1.30856	1262746__R5S771__BN750_00769
ERR1913162.30955__1.30955	28117__B0MUX7__ALIPUT_00918
ERR1913162.30959__1.30959	1550024__G9RVD5__ASJ35_04350
ERR1913162.31020__1.31020	239935__A0A2N8INK7__Amuc_0521
ERR1913162.31274__1.31274	357276__I8W1E1__B5F00_10785
ERR1913162.31317__1.31317	214856__A0A174FW22__ERS852447_02437
ERR1913162.31529__1.31529	487175__D9Y4T2__HMPREF9439_02784
ERR1913162.31681__1.31681	821__A0A174ALF2__BvMPK_3016
ERR1913162.31683__1.31683	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913162.31791__1.31791	239935__A0A2N8HT44__CXT84_11035
ERR1913162.31797__1.31797	214856__A0A173XWQ7__hyaD_1
ERR1913162.31960__1.31960	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913162.32026__1.32026	1262882__R5MGS8__BN519_00565
ERR1913162.32115__1.32115	626933__H1DGX0__HMPREF9449_01506
ERR1913162.32160__1.32160	239935__A0A2N8INK7__Amuc_0521
ERR1913162.32400__1.32400	47678__R5V127__HMPREF1061_04334
ERR1913162.32647__1.32647	823__A0A174GGT1__queG
ERR1913162.32749__1.32749	821__C3RB94__DXC03_15585
ERR1913162.33009__1.33009	1683__A0A087BF97__Bang102_002885
ERR1913162.33060__1.33060	1262869__R7CTX9__BN625_00495
ERR1913162.33080__1.33080	216816__A0A083X5W4__HMPREF0177_01593
ERR1913162.33306__1.33306	239935__A0A2N8IVR0__CXT87_07115
ERR1913162.33393__1.33393	29361__B6FKH5__CLONEX_00621
ERR1913162.33452__1.33452	239935__A0A2N8HPS5__Amuc_0950
ERR1913162.33699__1.33699	2173__R7PV46__BK798_00245
ERR1913162.33869__1.33869	214856__R6YC22__ERS852447_01215
ERR1913162.33904__1.33904	1262882__R5MM90__BN519_01721
ERR1913162.34000__1.34000	410072__A0A173YQW3__dtpT_1
ERR1913162.34118__1.34118	1262882__R5N1N6__BN519_00968
ERR1913162.34158__1.34158	1262882__A0A356PSJ4__BN519_01180
ERR1913162.34303__1.34303	1262882__R5N1R4__BN519_00788
ERR1913162.34615__1.34615	556259__E5C8N0__BSGG_2981
ERR1913162.34629__1.34629	239935__A0A2N8IRL2__CXU06_01170
ERR1913162.34867__1.34867	239935__A0A2N8IV82__CXT99_06735
ERR1913162.34967__1.34967	1262882__R5MQ68__BN519_01178
ERR1913162.34980__1.34980	1160721__W0U436__BHW50_10710
ERR1913162.34990__1.34990	649756__D4MX84__ERS852520_02352
ERR1913162.35253__1.35253	239935__A0A2N8HPS5__Amuc_0950
ERR1913162.35312__1.35312	78345__C4FEI1__BMERY_0183
ERR1913162.35490__1.35490	328814__GCA_004558275.1_00007
ERR1913162.35566__1.35566	1263005__R6EN45__BN497_01437
ERR1913162.35597__1.35597	40518__R5DT16__ysdC_2
ERR1913162.35610__1.35610	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913162.35760__1.35760	1550024__G9RWG1__ASJ35_03770
ERR1913162.35930__1.35930	1160721__A0A1C6CMR2__BHW50_00085
ERR1913162.36034__1.36034	1262882__R5MJ49__BN519_01124
ERR1913162.36119__1.36119	552398__F4XHU2__HMPREF0866_03196
ERR1913162.36120__1.36120	214856__I3YMC8__ERS852447_02666
ERR1913162.36134__1.36134	2107999__A0A1Y0E4P5__LJCM5343_16100
ERR1913162.36238__1.36238	310298__B3JL94__BACCOP_02749
ERR1913162.36350__1.36350	1150298__R7JUW7__ERS852406_02089
ERR1913162.36501__1.36501	1262992__R5DCV6__BN795_00412
ERR1913162.36565__1.36565	28117__B0MY40__BHV66_05170
ERR1913162.36846__1.36846	1262746__R5SRY0__BN750_01341
ERR1913162.36856__1.36856	239935__A0A139TPU7__CXT91_06575
ERR1913162.36938__1.36938	301301__G2SZZ9__RHOM_02605
ERR1913162.37065__1.37065	357276__A0A0M1W1I8__ABI39_13620
ERR1913162.37119__1.37119	2173__A0A1D2WXL3__Msm_1788
ERR1913162.37121__1.37121	2173__A0A1D2WTP5__BK798_02785
ERR1913162.37549__1.37549	818__A0A0P0FWH4__Btheta7330_05099
ERR1913162.37752__1.37752	1262882__R5MND9__BN519_00831
ERR1913162.37836__1.37836	1262882__R5MLP0__BN519_01597
ERR1913162.37851__1.37851	328814__GCA_004558275.1_00236
ERR1913162.37891__1.37891	239935__A0A2N8HL50__CXT98_09135
ERR1913162.38002__1.38002	1550024__G9RZ38__ASJ35_12765
ERR1913162.38197__1.38197	239935__A0A139TPG3__CXT86_08810
ERR1913162.38354__1.38354	1262882__R5N5C3__BN519_01664
ERR1913162.38498__1.38498	446660__GCA_003428235.1_01320
ERR1913162.38719__1.38719	1262882__R5N5S3__BN519_00085
ERR1913162.38858__1.38858	239935__A0A2N8IRH4__CXT92_05605
ERR1913162.38939__1.38939	214856__I3YPQ0__ERS852447_01379
ERR1913162.39123__1.39123	47678__R5UES3__CGC64_00760
ERR1913162.39341__1.39341	1685__W6EXB4__B31L_1221
ERR1913162.39456__1.39456	1550024__G9RUG5__ASJ35_14060
ERR1913162.39671__1.39671	1262869__R7CR66__BN625_01456
ERR1913162.39826__1.39826	239935__A0A2N8J2P6__ADH72_06730
ERR1913162.40065__1.40065	1262882__R5MHQ8__BN519_00707
ERR1913162.40280__1.40280	2173__A0A1D2WRA5__METSMIALI_00279
ERR1913162.40610__1.40610	1262882__R5MND9__BN519_00831
ERR1913162.40864__1.40864	1262992__R5D8P4__BN795_00650
ERR1913162.41132__1.41132	239935__A0A2N8HDT1__CXT94_05270
ERR1913162.41270__1.41270	1262882__R5MSX6__BN519_01697
ERR1913162.41336__1.41336	239935__A0A2N8I1R3__CXU05_06075
ERR1913162.41357__1.41357	239935__A0A2N8IVR0__CXT87_07115
ERR1913162.41750__1.41750	239935__A0A2N8IJI1__B5G29_04615
ERR1913162.42081__1.42081	1550024__G9RTW4__TQ39_08265
ERR1913162.42087__1.42087	1262882__R5MYP8__BN519_00439
ERR1913162.42289__1.42289	28117__R7JH62__BHV66_05735
ERR1913162.42298__1.42298	820__A7V470__HMPREF1072_02076
ERR1913162.42331__1.42331	46503__R6Y2Q2__DCY29_15375
ERR1913162.42596__1.42596	239935__A0A2N8HB50__CXU17_02615
ERR1913162.43062__1.43062	328814__GCA_004558275.1_00296
ERR1913162.43196__1.43196	823__A6L9D3__ERS852560_03374
ERR1913162.43156__1.43156	239935__A0A2N8IIB9__CXU04_01970
ERR1913162.43213__1.43213	487175__D9Y2B5__HMPREF9439_00822
ERR1913162.43239__1.43239	1262869__R7CNL6__BN625_01290
ERR1913162.43278__1.43278	357276__A0A076IS26__EL88_15950
ERR1913162.43500__1.43500	1262882__R5N1N6__BN519_00968
ERR1913162.43783__1.43783	1262869__R7CPP0__BN625_01332
ERR1913162.44194__1.44194	214856__A0A173YE57__ERS852559_00126
ERR1913162.44255__1.44255	360807__A0A174EGV9__ROSEINA2194_01773
ERR1913162.44319__1.44319	1235835__R9LCU2__C814_02677
ERR1913162.44359__1.44359	1263006__R6LU28__BN515_01365
ERR1913162.44418__1.44418	387090__S0F7Y3__BACCOPRO_02028
ERR1913162.44956__1.44956	1262882__R5MH81__BN519_00748
ERR1913162.45240__1.45240	28118__F9Z410__NCTC10826_01196
ERR1913162.45297__1.45297	1262882__R5N532__BN519_01420
ERR1913162.45364__1.45364	328814__GCA_004558275.1_02023
ERR1913162.45581__1.45581	1262869__R7CUK0__BN625_00521
ERR1913162.45823__1.45823	10680__GeneID:1261099
ERR1913162.45842__1.45842	820__A0A374QGD2__ERS852421_02382
ERR1913162.45972__1.45972	1262882__R5MYP8__BN519_00439
ERR1913162.46179__1.46179	239935__R6J776__CXU07_02355
ERR1913162.46204__1.46204	246787__A0A0P0GCR8__xynD_3
ERR1913162.46250__1.46250	823__A0A395YY84__DXC05_19515
ERR1913162.46595__1.46595	1262882__R5ML49__BN519_01361
ERR1913162.46751__1.46751	823__D7ILK2__ERS852380_00031
ERR1913162.46843__1.46843	823__D7IKW8__DXD05_10310
ERR1913162.46867__1.46867	214856__I3YPR5__ERS852447_01364
ERR1913162.46889__1.46889	1262882__R5MFA5__BN519_00331
ERR1913162.46821__1.46821	1147152__GeneID:14181982
ERR1913162.46833__1.46833	384638__B7APN3__BACPEC_00639
ERR1913162.46967__1.46967	1262882__R5MQ63__BN519_01173
ERR1913162.47098__1.47098	357276__B6VT86__IY41_22515
ERR1913162.47114__1.47114	821__A0A174NM17__lacZ_6
ERR1913162.47189__1.47189	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913162.47516__1.47516	239935__R7E524__CXT91_06180
ERR1913162.47557__1.47557	28116__F7M1Q5__CUY_1584
ERR1913162.48051__1.48051	544645__A0A3D2DXH3__DXC42_17300
ERR1913162.48232__1.48232	1262882__R5MLP5__BN519_01602
ERR1913162.48206__1.48206	239935__A0A2N8IJI1__B5G29_04615
ERR1913162.48214__1.48214	214856__I3YMC8__ERS852447_02666
ERR1913162.48369__1.48369	28117__B0MWZ3__BHV66_03240
ERR1913162.48665__1.48665	2292352__A0A374UNZ9__DXC23_01520
ERR1913162.48619__1.48619	1262882__R5N5D7__BN519_01676
ERR1913162.48824__1.48824	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913162.49037__1.49037	1262869__R7CSE4__BN625_00586
ERR1913162.48986__1.48986	1550024__G9RPG8__TQ39_05515
ERR1913162.49026__1.49026	818__D7I7V5__BJP75_001030
ERR1913162.49028__1.49028	239935__A0A2N8IG27__CXT85_07805
ERR1913162.49232__1.49232	1262869__R7CN64__BN625_01154
ERR1913162.49343__1.49343	1262869__R7CQA4__BN625_01547
ERR1913162.49450__1.49450	239935__A0A2N8HDT1__CXT94_05270
ERR1913162.49606__1.49606	39485__C4Z6J7__ERS852492_02047
ERR1913162.49822__1.49822	28117__B0MY82__BHV66_04755
ERR1913162.50175__1.50175	1160721__R6U304__BHW50_05725
ERR1913162.50355__1.50355	1262882__R5N532__BN519_01420
ERR1913162.50407__1.50407	1262986__R6AQW4__BN492_00061
ERR1913162.50815__1.50815	239935__A0A2N8I1R3__CXU05_06075
ERR1913162.51047__1.51047	1550024__A0A0D8IWM4__TQ39_15635
ERR1913162.51048__1.51048	1262869__R7CV70__BN625_00699
ERR1913162.51080__1.51080	1263000__R5EXT3__BN466_02213
ERR1913162.51212__1.51212	239935__A0A139TPU7__CXT91_06575
ERR1913162.51316__1.51316	1262882__R5MGX3__BN519_00046
ERR1913162.51335__1.51335	239935__A0A2N8IQU3__CXU22_05890
ERR1913162.51500__1.51500	1550024__A0A3B9WKW6__TQ39_07780
ERR1913162.51706__1.51706	820__A0A173YYG4__evgS_3
ERR1913162.51843__1.51843	39492__D4JT68__spoIIIE
ERR1913162.52047__1.52047	239935__A0A2N8IIB9__CXU04_01970
ERR1913162.52276__1.52276	28118__R6FGS2__DER54_04485
ERR1913162.52360__1.52360	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913162.52470__1.52470	371601__R6KBI9__SAMN05216250_110102
ERR1913162.52582__1.52582	239935__A0A2N8IU45__DEF40_02365
ERR1913162.52595__1.52595	239935__A0A2N8IKW7__pstA
ERR1913162.52896__1.52896	1262882__R5N3H1__BN519_01121
ERR1913162.53073__1.53073	239935__A0A2N8I7W6__CXT90_04245
ERR1913162.53258__1.53258	214856__I3YPQ6__Alfi_2714
ERR1913162.53355__1.53355	821__A0A396ER29__ERS852457_02298
ERR1913162.53330__1.53330	820__I9A4U7__DHU98_12785
ERR1913162.53950__1.53950	301301__A0A395V3C0__mcpC_6
