ERR1913014.505__1.505	487174__K0WU53__DDY40_07650
ERR1913014.5653__1.5653	820__A7V470__HMPREF1072_02076
ERR1913014.5656__1.5656	820__I9A4U7__DHU98_12785
ERR1913014.5804__1.5804	239935__A0A2N8HX65__CXU17_02540
ERR1913014.5846__1.5846	239935__A0A2N8HS88__CXU19_12255
ERR1913014.5856__1.5856	239935__A0A2N8IDR5__CXU13_04315
ERR1913014.5996__1.5996	239935__A0A139TPD8__CXU12_11015
ERR1913014.6017__1.6017	239935__A0A2N8IVT6__CXU13_08520
ERR1913014.6051__1.6051	28117__B0MTY2__BHV66_06485
ERR1913014.6217__1.6217	1547__G9R144__DW242_01665
ERR1913014.6289__1.6289	154046__A0A174MST2__DXC88_16885
ERR1913014.6679__1.6679	818__A0A174TXD9__C799_03229
ERR1913014.6705__1.6705	487174__K0WX70__DDY40_01710
ERR1913014.6708__1.6708	820__A0A3E4HWJ4__DXD40_05945
ERR1913014.6759__1.6759	33025__A0A395JBB5__C8D73_107104
ERR1913014.6794__1.6794	1501391__GCA_000786575.1_00050
ERR1913014.6801__1.6801	820__A0A374QGD2__ERS852421_02382
ERR1913014.6871__1.6871	820__A0A3E4G2R7__DXC07_00510
ERR1913014.6963__1.6963	292800__A0A173ZLU6__A4U99_17975
ERR1913014.7056__1.7056	818__A0A174VV39__BT_3492
ERR1913014.7155__1.7155	1262756__R5X2Y1__BN568_00846
ERR1913014.7217__1.7217	820__A0A396EUU8__luxQ_3
ERR1913014.7264__1.7264	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913014.7377__1.7377	1099853__U5CKV1__NSB1T_12505
ERR1913014.7416__1.7416	1262989__R6YEN7__BN815_00483
ERR1913014.7478__1.7478	823__A6LEF3__ERS852560_01356
ERR1913014.7581__1.7581	821__A6L0C7__ERS852556_03520
ERR1913014.7701__1.7701	820__A0A139K4T0__ERS852510_03146
ERR1913014.7732__1.7732	818__A0A174N1L6__ERS852511_02039
ERR1913014.7777__1.7777	820__R9HP61__DXC91_01090
ERR1913014.7801__1.7801	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913014.7812__1.7812	246787__A0A3D6AZF7__BcellWH2_04504
ERR1913014.7887__1.7887	239935__A0A2N8HB50__CXU17_02615
ERR1913014.7889__1.7889	246787__A0A3D6AQP8__AA416_04153
ERR1913014.7906__1.7906	820__A0A3E4VZF8__C801_00319
ERR1913014.7941__1.7941	1501391__GCA_000786575.1_00065
ERR1913014.8073__1.8073	1522__G1VRD7__DXA38_04205
ERR1913014.8241__1.8241	239935__R6IYQ1__CXU15_06450
ERR1913014.8470__1.8470	333367__C0D4L1__CLOSTASPAR_04206
ERR1913014.8650__1.8650	821__A0A174RA14__M099_1655
ERR1913014.8718__1.8718	823__A6LB63__M095_1847
ERR1913014.8745__1.8745	820__A0A374Q8T2__DXB64_16190
ERR1913014.8904__1.8904	28117__R7JJM9__ALIPUT_00662
ERR1913014.8908__1.8908	1262700__R5XCN1__BN695_01554
ERR1913014.9020__1.9020	214856__A0A174G1M7__ERS852559_00594
ERR1913014.9000__1.9000	552398__F4XHU2__HMPREF0866_03196
ERR1913014.9215__1.9215	28117__B0MWP2__ALIPUT_01468
ERR1913014.9228__1.9228	820__A0A3E4PYB0__yejM
ERR1913014.9403__1.9403	821__A0A174WBC9__ERS852556_03145
ERR1913014.9516__1.9516	239935__A0A2N8IQX1__dnaA
ERR1913014.9592__1.9592	820__A0A139KIL9__DXC68_05945
ERR1913014.9602__1.9602	33025__A0A395J8T7__C8D73_1129
ERR1913014.9688__1.9688	239935__A0A2N8HB50__CXU17_02615
ERR1913014.9799__1.9799	820__A0A139JUD3__DXC91_19380
ERR1913014.9899__1.9899	818__A0A3E5GY47__SAMN02910322_02002
ERR1913014.9935__1.9935	1522__G1VR36__SAMN04487929_104289
ERR1913014.9924__1.9924	1262989__R6YP31__BN815_01593
ERR1913014.10126__1.10126	47678__I9ECI0__HMPREF1061_03742
ERR1913014.10153__1.10153	821__A0A396EVC9__DXB90_03525
ERR1913014.10277__1.10277	1099853__G9S0P5__NSB1T_11890
ERR1913014.10299__1.10299	239935__A0A139TLF5__CXU18_06685
ERR1913014.10428__1.10428	487174__R5FJY1__DDY40_07045
ERR1913014.10473__1.10473	239935__A0A139TLF5__CXU18_06685
ERR1913014.10546__1.10546	39492__D4JT67__EUBSIR_01784
ERR1913014.10574__1.10574	246787__A0A108T429__BACCELL_00192
ERR1913014.10605__1.10605	1653434__A0A3E3K139__DW871_08445
ERR1913014.10609__1.10609	820__A7V470__HMPREF1072_02076
ERR1913014.10618__1.10618	84112__C8WIE0__Elen_1916
ERR1913014.10675__1.10675	239935__A0A2N8HB50__CXU17_02615
ERR1913014.10821__1.10821	820__A0A3E4G826__C801_01612
ERR1913014.10940__1.10940	818__A0A0P0F7K1__ERS852461_02719
ERR1913014.10995__1.10995	1262700__R5YA16__BN695_01668
ERR1913014.11039__1.11039	28118__F9Z4Q2__Odosp_2759
ERR1913014.11099__1.11099	1501391__GCA_000786575.1_00025
ERR1913014.11198__1.11198	821__A0A3E4HP25__SAMN04487923_102450
ERR1913014.11259__1.11259	246787__A0A3D6AQP8__AA416_04153
ERR1913014.11327__1.11327	239935__A0A2N8IDX4__CXU20_07380
ERR1913014.11450__1.11450	333367__C0D6P1__CLOSTASPAR_04938
ERR1913014.11736__1.11736	820__A0A173W419__DXC68_17760
ERR1913014.11798__1.11798	239935__A0A2N8IAZ5__xseA
ERR1913014.11813__1.11813	821__A0A396F598__CUU_3259
ERR1913014.11860__1.11860	28117__B0MWZ9__ALIPUT_01735
ERR1913014.11883__1.11883	1262989__R6ZEW9__BN815_01033
ERR1913014.11892__1.11892	239935__A0A2N8IDX4__CXU20_07380
ERR1913014.12056__1.12056	1263005__R6ES59__BN497_00143
ERR1913014.12071__1.12071	820__A0A174B4N2__M093_2531
ERR1913014.12087__1.12087	246787__A0A0P0GDM7__BcellWH2_03148
ERR1913014.12226__1.12226	556259__I0PXW0__BSGG_5187
ERR1913014.12165__1.12165	1263044__GCA_000433375.1_01409
ERR1913014.12301__1.12301	820__A0A173YYG4__evgS_3
ERR1913014.12609__1.12609	471189__GCA_003340385.1_00061
ERR1913014.12809__1.12809	40518__R5DXI4__DXD86_07420
ERR1913014.12756__1.12756	357276__I9QBT7__BSEG_03340
ERR1913014.12836__1.12836	239935__R7E4Y3__CXU15_13135
ERR1913014.12962__1.12962	818__D7I8A4__C799_02600
ERR1913014.13159__1.13159	821__A6L0C7__ERS852556_03520
ERR1913014.13213__1.13213	818__A0A3E5HVB7__Btheta7330_02386
ERR1913014.13231__1.13231	246787__A0A0P0GET5__AA416_04410
ERR1913014.13238__1.13238	820__A0A173W419__DXC68_17760
ERR1913014.13438__1.13438	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913014.13635__1.13635	28117__B0MWP2__ALIPUT_01468
ERR1913014.13643__1.13643	853__A0A174C5M1__CGS58_04460
ERR1913014.13714__1.13714	820__A0A3E4G8F8__ERS852421_01645
ERR1913014.13818__1.13818	1262700__R5X8Q0__BN695_00340
ERR1913014.13833__1.13833	47678__R5U3A7__ERS852494_02965
ERR1913014.13844__1.13844	818__A0A3E5HY51__rpfC_2
ERR1913014.14065__1.14065	818__A0A139L1D5__BT_2967
ERR1913014.14163__1.14163	487174__K0WX10__DIT83_10030
ERR1913014.14173__1.14173	246787__R6K7I2__BcellWH2_03256
ERR1913014.14266__1.14266	239935__A0A2N8IUW6__Amuc_1525
ERR1913014.14414__1.14414	189722__E0NQU7__HMPREF0658_0548
ERR1913014.14459__1.14459	820__A0A139K426__B5G17_09115
ERR1913014.14521__1.14521	821__A0A3E4WAR6__DXD64_10735
ERR1913014.14572__1.14572	1262743__R5C054__BN727_01980
ERR1913014.14705__1.14705	820__A7VAR9__ERS852421_00197
ERR1913014.14721__1.14721	239935__A0A2N8HWS3__CXU19_10285
ERR1913014.14793__1.14793	2049039__A0A316SG69__DBY32_08730
ERR1913014.14888__1.14888	239935__B2UQP8__CXU15_01110
ERR1913014.14939__1.14939	239935__A0A139TPD8__CXU12_11015
ERR1913014.14988__1.14988	246787__A0A3D6AWM8__BACCELL_01963
ERR1913014.15162__1.15162	338188__A0A174EU88__BACFIN_08820
ERR1913014.15201__1.15201	292800__H1C6M9__ERS852518_00105
ERR1913014.15317__1.15317	239935__A0A2N8IQ67__CXU20_08505
ERR1913014.15380__1.15380	820__A0A1T4IYF4__mprA_1
ERR1913014.15408__1.15408	1522__G1VQX9__CIAN88_03465
ERR1913014.15443__1.15443	820__A7UYX8__DXD40_11635
ERR1913014.15478__1.15478	189722__E0NQU7__HMPREF0658_0548
ERR1913014.15546__1.15546	1262954__R7FEE7__BN611_00341
ERR1913014.15627__1.15627	2049039__A0A316SG69__DBY32_08730
ERR1913014.15636__1.15636	820__A7V9F9__B5G17_14640
ERR1913014.15730__1.15730	208479__A8RGZ1__CLOBOL_00267
ERR1913014.15754__1.15754	823__A0A355XKQ8__DHP27_04010
ERR1913014.15788__1.15788	208479__R5F0L7__HMPREF1097_01430
ERR1913014.15931__1.15931	1796613__A0A1C7H1N7__A4V03_09065
ERR1913014.16068__1.16068	818__A0A3E5HHE1__Btheta7330_00796
ERR1913014.16074__1.16074	821__D4VD59__BHV80_04260
ERR1913014.16154__1.16154	818__A0A139KMR0__Btheta7330_03958
ERR1913014.16178__1.16178	239935__A0A2N8HL91__holA
ERR1913014.16196__1.16196	823__D7IUM6__M091_1082
ERR1913014.16250__1.16250	239935__A0A2N8HZZ2__CXU19_04895
ERR1913014.16251__1.16251	820__A0A174F696__macB_13
ERR1913014.16264__1.16264	853__A0A173TAZ8__DWZ46_14590
ERR1913014.16407__1.16407	818__A0A396EBF0__ERS852430_00820
ERR1913014.16473__1.16473	820__A0A3E4G3J9__ERS852459_02265
ERR1913014.16486__1.16486	189722__E0NQU7__HMPREF0658_0548
ERR1913014.16516__1.16516	820__A0A3E4PYB0__yejM
ERR1913014.16521__1.16521	40518__R5E2F3__artQ
ERR1913014.16670__1.16670	820__R9I3Q7__HMPREF1072_01668
ERR1913014.16767__1.16767	47678__R5UET0__BACCAC_02656
ERR1913014.16776__1.16776	357276__A0A076INK2__BSEG_04225
ERR1913014.16832__1.16832	239935__A0A2N8HZZ2__CXU19_04895
ERR1913014.16802__1.16802	1099853__U5CKR3__NSB1T_08705
ERR1913014.16812__1.16812	47678__R5U2H9__DXB67_10685
ERR1913014.16868__1.16868	820__A0A139K8N1__ERS852554_00951
ERR1913014.16940__1.16940	1099853__G9S0L2__NSB1T_05115
ERR1913014.17147__1.17147	820__A0A174R952__DXB48_02570
ERR1913014.17343__1.17343	1262700__R5XJI9__BN695_00813
ERR1913014.17403__1.17403	820__A7UYX8__DXD40_11635
ERR1913014.17444__1.17444	154046__A0A174DM15__gsiA_6
ERR1913014.17433__1.17433	821__A0A174JYD3__ERS852457_02610
ERR1913014.17486__1.17486	821__A0A395UNT8__DXD64_15275
ERR1913014.17585__1.17585	1472761__GCA_002159295.1_00731
ERR1913014.17561__1.17561	239935__A0A2N8HCF5__CXU15_05660
ERR1913014.17651__1.17651	818__A0A3E5HN77__HMPREF2534_00072
ERR1913014.17699__1.17699	357276__A0A0K2HJA6__DXD47_07320
ERR1913014.17724__1.17724	239935__B2URL9__CXU12_02290
ERR1913014.17757__1.17757	487175__D9Y311__HMPREF9439_01466
ERR1913014.17897__1.17897	189722__E0NQU7__HMPREF0658_0548
ERR1913014.17937__1.17937	818__C6IIW4__dapH_1
ERR1913014.17923__1.17923	818__A0A3E5HDS4__BJP75_002620
ERR1913014.18085__1.18085	2108523__A0A2P2F214__LAWASA_27
ERR1913014.18125__1.18125	821__A0A3E4HP25__SAMN04487923_102450
ERR1913014.18196__1.18196	61171__B9Y3G3__HOLDEFILI_00338
ERR1913014.18247__1.18247	1099853__U5CAL0__NSB1T_10360
ERR1913014.18405__1.18405	820__A0A374Q854__HMPREF1073_03281
ERR1913014.18413__1.18413	821__E5UMZ6__BVU_1450
ERR1913014.18482__1.18482	39492__D4JQP0__ypeB
ERR1913014.18604__1.18604	239935__A0A2N8IUU3__CXU18_08060
ERR1913014.18692__1.18692	821__A6L0C7__ERS852556_03520
ERR1913014.18701__1.18701	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913014.18828__1.18828	818__A0A2J6AED2__C5Z03_02940
ERR1913014.18849__1.18849	292800__A0A174X5U4__B5F52_18190
ERR1913014.18768__1.18768	357276__I9QBT7__BSEG_03340
ERR1913014.18872__1.18872	853__A0A2A7A4A9__C4N21_14870
ERR1913014.18874__1.18874	821__I9R3W6__DXC16_12455
ERR1913014.18920__1.18920	823__A0A174VHT1__DHP27_04775
ERR1913014.19101__1.19101	821__A6L0C7__ERS852556_03520
ERR1913014.19110__1.19110	1262989__R6YC95__BN815_00996
ERR1913014.19122__1.19122	818__Q89ZX6__ERS852511_03600
ERR1913014.19143__1.19143	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913014.19286__1.19286	28117__B0MWX3__BHV66_03010
ERR1913014.19372__1.19372	239935__A0A2N8HZZ2__CXU19_04895
ERR1913014.19393__1.19393	820__A0A374QGD2__ERS852421_02382
ERR1913014.19399__1.19399	28117__B0MYZ8__BHV66_04535
ERR1913014.19450__1.19450	47678__R5U9Z0__HMPREF1061_03210
ERR1913014.19465__1.19465	818__A0A139K9H8__C5Z03_23905
ERR1913014.19501__1.19501	246787__A0A0P0G254__axeA1_2
ERR1913014.19844__1.19844	1653434__A0A150Y762__DW871_08715
ERR1913014.19871__1.19871	47678__R5U3D5__DW706_05635
ERR1913014.19909__1.19909	239935__R6J776__CXU07_02355
ERR1913014.19960__1.19960	47678__R5UER2__CGC64_00710
ERR1913014.19966__1.19966	820__A0A3E4RUC4__DHU98_02635
ERR1913014.20029__1.20029	239935__A0A2N8I375__menA
ERR1913014.20004__1.20004	47678__A5ZHJ2__DXB67_12405
ERR1913014.20140__1.20140	239935__A0A2N8IQX1__dnaA
ERR1913014.20331__1.20331	239935__A0A2N8I375__menA
ERR1913014.20402__1.20402	1099853__G9S8H2__NSB1T_13060
ERR1913014.20412__1.20412	820__A0A3E4WCX3__C801_02709
ERR1913014.20517__1.20517	820__A0A173WZS4__DXD90_10250
ERR1913014.20595__1.20595	214856__A0A174ZER9__ERS852559_00614
ERR1913014.20653__1.20653	333367__C0D628__CLOSTASPAR_04724
ERR1913014.20783__1.20783	246787__A0A0P0GCR8__xynD_3
ERR1913014.20851__1.20851	2049039__A0A316SG69__DBY32_08730
ERR1913014.20874__1.20874	821__A6L0C7__ERS852556_03520
ERR1913014.21028__1.21028	818__A0A3E5H650__C799_01514
ERR1913014.21051__1.21051	821__R9HFW2__DXD01_00365
ERR1913014.21074__1.21074	818__Q8A3R2__C799_03293
ERR1913014.21111__1.21111	39492__D4JQP0__ypeB
ERR1913014.21166__1.21166	821__A0A0P0L952__M097_4235
ERR1913014.21169__1.21169	239935__R6IYQ1__CXU15_06450
ERR1913014.21173__1.21173	823__A6LEP0__M091_1976
ERR1913014.21188__1.21188	820__A0A174DZ97__SAMN05444418_101240
ERR1913014.21361__1.21361	820__A0A139KHX1__HMPREF2141_00289
ERR1913014.21408__1.21408	1547__H1ANU7__frlR
ERR1913014.21423__1.21423	818__A0A0N7IAB5__SAMN05216253_10880
ERR1913014.21536__1.21536	487175__D9Y601__HMPREF9439_02635
ERR1913014.21610__1.21610	100884__E7GEK6__DXB30_07715
ERR1913014.21611__1.21611	821__D4VD59__BHV80_04260
ERR1913014.21620__1.21620	818__Q8A3A6__Btheta7330_00071
ERR1913014.21713__1.21713	820__A0A3E4VZY4__ERS852554_01211
ERR1913014.21762__1.21762	239935__A0A2N8HAQ1__DEF40_05290
ERR1913014.21792__1.21792	1099853__U5CE08__NSB1T_14190
ERR1913014.21825__1.21825	820__A0A3E4RUC4__DHU98_02635
ERR1913014.21917__1.21917	239935__A0A2N8IAY7__CXU13_02935
ERR1913014.21989__1.21989	820__A7VAR9__ERS852421_00197
ERR1913014.22093__1.22093	2049039__A0A316SG69__DBY32_08730
ERR1913014.22219__1.22219	2049039__A0A316S5S8__DBY32_08720
ERR1913014.22430__1.22430	292800__A0A174W622__ADH75_01915
ERR1913014.22465__1.22465	246787__A0A3D6AWM8__BACCELL_01963
ERR1913014.22524__1.22524	239935__A0A2N8HWS3__CXU19_10285
ERR1913014.22574__1.22574	1550024__A0A3B9WJX7__ASJ35_07080
ERR1913014.22581__1.22581	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913014.22674__1.22674	818__Q8A3I3__HMPREF2534_00068
ERR1913014.22922__1.22922	28118__F9Z6F1__DER54_08365
ERR1913014.22923__1.22923	189722__E0NQU7__HMPREF0658_0548
ERR1913014.23091__1.23091	818__A0A174T624__HMPREF2534_01176
ERR1913014.23117__1.23117	357276__A0A0K2HDP3__IY41_00705
ERR1913014.23213__1.23213	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913014.23345__1.23345	113107__E7SC12__hsdS
ERR1913014.23469__1.23469	1263005__R6EZM8__BN497_01947
ERR1913014.23524__1.23524	239935__A0A2N8IDX4__CXU20_07380
ERR1913014.23501__1.23501	39492__D4JVX0__udk
ERR1913014.23564__1.23564	820__A0A174EV88__HMPREF1072_01427
ERR1913014.23543__1.23543	821__E5UY21__C800_02204
ERR1913014.23766__1.23766	40518__R5DV58__htrA
ERR1913014.23726__1.23726	214856__A0A174EJT5__mnmA
ERR1913014.23789__1.23789	820__A0A174M9V5__M093_0237
ERR1913014.23808__1.23808	310298__B3JII2__BACCOP_01694
ERR1913014.23902__1.23902	820__R9I3Q7__HMPREF1072_01668
ERR1913014.23911__1.23911	818__Q8A3I3__HMPREF2534_00068
ERR1913014.23946__1.23946	239935__A0A2N8HT44__CXT84_11035
ERR1913014.23991__1.23991	333367__C0CTA0__dndD
ERR1913014.24057__1.24057	1099853__G9S127__NSB1T_01845
ERR1913014.24221__1.24221	239935__A0A2N8HB50__CXU17_02615
ERR1913014.24274__1.24274	820__A7V9F9__B5G17_14640
ERR1913014.24329__1.24329	820__A0A174B4N2__M093_2531
ERR1913014.24332__1.24332	1547__H1AGG8__DW242_10500
ERR1913014.24355__1.24355	239935__A0A2N8HMQ8__pgsA
ERR1913014.24379__1.24379	820__A0A3E4VZT7__DXB48_16145
ERR1913014.24438__1.24438	487175__D9Y403__HMPREF9439_02204
ERR1913014.24443__1.24443	33025__A0A395JEP7__C8D73_10844
ERR1913014.24518__1.24518	671267__R9IB12__C802_00696
ERR1913014.24603__1.24603	1501391__GCA_000786575.1_00080
ERR1913014.24679__1.24679	100884__E7G9D1__DXB30_14780
ERR1913014.24765__1.24765	1262700__R5Y7V8__BN695_00991
ERR1913014.24836__1.24836	310298__B3JII2__BACCOP_01694
ERR1913014.24860__1.24860	853__A0A3E2U7E6__ERS852582_01640
ERR1913014.25062__1.25062	33025__A0A395JB30__C8D73_1034
ERR1913014.25084__1.25084	487174__K0X694__DIT83_09060
ERR1913014.25200__1.25200	246787__A0A3D6AV26__BcellWH2_02579
ERR1913014.25280__1.25280	1262700__R5Y881__BN695_01083
ERR1913014.25382__1.25382	626931__K9DZ63__DXB65_22780
ERR1913014.25589__1.25589	47678__R5U2F6__HMPREF1061_00767
ERR1913014.25652__1.25652	818__A0A139JVX2__ERS852557_01101
ERR1913014.25804__1.25804	820__A0A3E4W7J3__DXC07_00330
ERR1913014.25815__1.25815	33025__A0A395J947__C8D73_11315
ERR1913014.25885__1.25885	821__D4VD59__BHV80_04260
ERR1913014.26127__1.26127	239935__A0A2N8HWQ2__CXU13_01775
ERR1913014.26184__1.26184	239935__A0A2N8I1R3__CXU05_06075
ERR1913014.26218__1.26218	820__A0A174R952__DXB48_02570
ERR1913014.26132__1.26132	821__A0A174NM17__lacZ_6
ERR1913014.26228__1.26228	208479__A8RGY7__HMPREF1095_00117
ERR1913014.26392__1.26392	823__A0A355XF06__B5F32_11480
ERR1913014.26393__1.26393	820__A7VAR9__ERS852421_00197
ERR1913014.26518__1.26518	820__A0A174CK74__DXB48_07060
ERR1913014.26507__1.26507	239935__A0A2N8IDX4__CXU20_07380
ERR1913014.26570__1.26570	823__D7ILK2__ERS852380_00031
ERR1913014.26635__1.26635	2049039__A0A316S5S8__DBY32_08720
ERR1913014.26681__1.26681	671267__R9IB12__C802_00696
ERR1913014.26656__1.26656	28118__R6F0X5__NCTC10826_02952
ERR1913014.26731__1.26731	1547__H1ARK1__DXB93_05365
ERR1913014.26816__1.26816	487174__K0XH97__HMPREF9448_01909
ERR1913014.26821__1.26821	1547__H1AM84__DXB93_15135
ERR1913014.26871__1.26871	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913014.26934__1.26934	1547__H1AI54__DXB93_10690
ERR1913014.27096__1.27096	1501391__GCA_000786575.1_00020
ERR1913014.27165__1.27165	818__A0A0P0FLN9__NCTC13706_01794
ERR1913014.27500__1.27500	820__A0A174F696__macB_13
ERR1913014.27621__1.27621	239935__A0A139TPD8__CXU12_11015
ERR1913014.27604__1.27604	1547__H1ALZ7__DXB93_01260
ERR1913014.27635__1.27635	1262700__R5X9S4__BN695_00717
ERR1913014.27746__1.27746	1099853__G9S6S5__NSB1T_01700
ERR1913014.27748__1.27748	820__A0A173YYG4__evgS_3
ERR1913014.27833__1.27833	821__A0A174RA14__M099_1655
ERR1913014.27870__1.27870	1262743__R5C054__BN727_01980
ERR1913014.27962__1.27962	333367__C0CXJ9__CLOSTASPAR_01723
ERR1913014.28107__1.28107	1262989__R6ZHL9__BN815_01323
ERR1913014.28453__1.28453	821__A0A3E4WAR6__DXD64_10735
ERR1913014.28461__1.28461	820__A0A139K8N1__ERS852554_00951
ERR1913014.28432__1.28432	821__A0A0P0M405__DXC02_15075
ERR1913014.28541__1.28541	820__A0A3E4G493__ERS417307_00253
ERR1913014.28689__1.28689	2049043__A0A316NHC0__DBY37_01435
ERR1913014.28697__1.28697	239935__A0A2N8HB50__CXU17_02615
ERR1913014.28799__1.28799	40518__R5DU28__DXD86_07960
ERR1913014.28908__1.28908	818__A0A0P0F2P7__BT_1771
ERR1913014.28930__1.28930	818__Q8A335__HMPREF2534_01154
ERR1913014.29014__1.29014	818__D7I7V5__BJP75_001030
ERR1913014.29427__1.29427	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913014.29616__1.29616	47678__A5ZBL9__C5Z00_18710
ERR1913014.29715__1.29715	357276__A0A0P0M2G3__BACDOR_03913
ERR1913014.29704__1.29704	820__A0A3E4VZT7__DXB48_16145
ERR1913014.29669__1.29669	820__A0A174CK74__DXB48_07060
ERR1913014.29730__1.29730	626932__G5H705__HMPREF9450_00848
ERR1913014.29878__1.29878	853__A0A173XRA8__CGS56_09290
ERR1913014.29977__1.29977	239935__A0A139TSG7__CXU17_09600
ERR1913014.30039__1.30039	823__A0A355XIK0__CEQ22_011965
ERR1913014.30187__1.30187	853__E2ZJT1__C4N23_03535
ERR1913014.30217__1.30217	246787__I8V2S2__BACCELL_02524
ERR1913014.30222__1.30222	821__A0A396ER29__ERS852457_02298
