ERR1913147.60__1.60	28117__B0MTV5__BHV66_06415
ERR1913147.11503__1.11503	28116__C3QMW4__BACOVA_04147
ERR1913147.11559__1.11559	46503__A7AG59__ERS852463_00349
ERR1913147.11661__1.11661	28116__A0A078Q7C2__DHW41_14520
ERR1913147.12079__1.12079	39485__C4Z434__tilS
ERR1913147.12144__1.12144	1262869__R7CSY3__BN625_00523
ERR1913147.12439__1.12439	239935__A0A2N8IEP3__CXT84_03735
ERR1913147.12590__1.12590	239935__A0A139TPG3__CXT86_08810
ERR1913147.12661__1.12661	46503__K5ZBF7__DD461_15285
ERR1913147.12902__1.12902	2292352__A0A374ULV9__DXC23_07855
ERR1913147.12945__1.12945	214856__A0A175A1E9__ERS852559_02611
ERR1913147.13133__1.13133	310298__B3JQJ5__BACCOP_04231
ERR1913147.13528__1.13528	745368__A0A1T4Y443__SAMN02745178_02724
ERR1913147.13792__1.13792	820__A0A3E4XM43__DXC91_13960
ERR1913147.13878__1.13878	823__C7XA51__BDI_0499
ERR1913147.13938__1.13938	418240__C6JFK4__ERS852523_01172
ERR1913147.14179__1.14179	292800__A0A1C7FI72__ERS852504_01815
ERR1913147.14221__1.14221	820__A0A3E4VXP2__yesR
ERR1913147.14273__1.14273	214856__R5UN64__ERS852447_02669
ERR1913147.14482__1.14482	239935__A0A2N8HUU6__CXT90_06150
ERR1913147.14726__1.14726	1520815__A0A1I3QWI4__SAMN02910435_01917
ERR1913147.15155__1.15155	239935__R6JCH3__CXT95_08205
ERR1913147.15193__1.15193	1150298__R7JRC8__ERS852535_02456
ERR1913147.15342__1.15342	820__A0A174KKV6__DXC07_02635
ERR1913147.15450__1.15450	214856__A0A174EJT5__mnmA
ERR1913147.15483__1.15483	166486__C7GCP5__ROSINTL182_07683
ERR1913147.15618__1.15618	820__A7V9F9__B5G17_14640
ERR1913147.15890__1.15890	239935__B2UQB8__CXT86_01740
ERR1913147.16059__1.16059	239935__R6J9N8__CXT96_07990
ERR1913147.16263__1.16263	1150298__R7JTX5__ERS852535_01291
ERR1913147.16329__1.16329	28117__B0MTV3__BHV66_06405
ERR1913147.16333__1.16333	28117__R7JIJ8__BHV66_01635
ERR1913147.16393__1.16393	39492__D4JQL8__ywpJ
ERR1913147.16839__1.16839	328814__GCA_004558275.1_00056
ERR1913147.16886__1.16886	1308__V8LTD7__DIS31_06390
ERR1913147.16864__1.16864	820__A0A3E4G826__C801_01612
ERR1913147.16932__1.16932	239935__A0A2N8IRW0__A4V05_11620
ERR1913147.17199__1.17199	214856__R6XUN2__rcsC_1
ERR1913147.17325__1.17325	39496__A5ZAD6__EUBVEN_02683
ERR1913147.17487__1.17487	28117__B0MVL5__BHV66_01660
ERR1913147.17510__1.17510	239935__A0A2N8I3Z7__CXU05_10555
ERR1913147.17550__1.17550	239935__A0A2N8HEH9__CXU07_11710
ERR1913147.17642__1.17642	1263006__R6LKC6__BN515_02058
ERR1913147.17832__1.17832	214856__A0A175A1E9__ERS852559_02611
ERR1913147.17885__1.17885	28117__B0MUY3__BHV66_00515
ERR1913147.17931__1.17931	239935__A0A2N8IU14__ADH72_05655
ERR1913147.17948__1.17948	823__A6LER2__ERS852513_00365
ERR1913147.18355__1.18355	239935__A0A139TPD4__CXT86_06450
ERR1913147.18485__1.18485	46503__A7AG59__ERS852463_00349
ERR1913147.18817__1.18817	239935__A0A2N8HAQ1__DEF40_05290
ERR1913147.18924__1.18924	1150298__A0A174DQT6__ERS852498_00506
ERR1913147.18934__1.18934	166486__D4KZ45__ROSINTL182_05738
ERR1913147.18941__1.18941	28117__B0MXG7__BHV66_08620
ERR1913147.19070__1.19070	410072__A0A174LWU8__ERS852481_03155
ERR1913147.19016__1.19016	214856__A0A174AYS4__ERS852447_01192
ERR1913147.18999__1.18999	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913147.19114__1.19114	239935__A0A2N8HAQ1__DEF40_05290
ERR1913147.19151__1.19151	39488__A0A173UQ83__mutY
ERR1913147.19153__1.19153	820__A0A174EV88__HMPREF1072_01427
ERR1913147.19156__1.19156	301302__A0A173TWC1__phoR_7
ERR1913147.19285__1.19285	39485__A0A174ZQT9__EUBELI_20278
ERR1913147.19849__1.19849	820__A0A374Q8T2__DXB64_16190
ERR1913147.19972__1.19972	239935__R7DVL7__CXT93_01180
ERR1913147.20187__1.20187	239935__A0A2N8IL82__CXU02_11740
ERR1913147.20225__1.20225	239935__A0A2N8HTZ8__CXU09_01270
ERR1913147.20231__1.20231	28116__A7LS06__HMPREF2532_04668
ERR1913147.20331__1.20331	28117__B0MZ14__ALIPUT_02383
ERR1913147.20510__1.20510	39485__C4Z6F3__EUBELI_20400
ERR1913147.20671__1.20671	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913147.20988__1.20988	1160721__W0U7T4__BHW50_09645
ERR1913147.21138__1.21138	239935__A0A2N8I1R3__CXU05_06075
ERR1913147.21289__1.21289	28116__A0A3D2LPA1__CUY_3388
ERR1913147.21361__1.21361	239935__A0A2N8I5A2__DEF40_08455
ERR1913147.21367__1.21367	239935__A0A2N8ILG3__CXT93_10135
ERR1913147.21301__1.21301	371601__I9UUB0__SAMN04487924_11836
ERR1913147.21470__1.21470	823__A0A395YQ63__B5F32_15335
ERR1913147.21683__1.21683	239935__A0A2N8IXN0__CXT95_01765
ERR1913147.21817__1.21817	239935__A0A2N8I390__CXU16_10675
ERR1913147.21833__1.21833	239935__A0A2N8IRL2__CXU06_01170
ERR1913147.22106__1.22106	28116__A0A3D2LPA1__CUY_3388
ERR1913147.22255__1.22255	39491__A0A395ZDC6__addB
ERR1913147.22441__1.22441	28118__F9Z7B3__SAMEA44545918_00670
ERR1913147.22454__1.22454	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913147.22528__1.22528	239935__A0A139TMG9__CXU07_10650
ERR1913147.22762__1.22762	46503__R6X6Y1__DCY29_15600
ERR1913147.22772__1.22772	853__A0A2A7A628__CGS57_13755
ERR1913147.22836__1.22836	239935__A0A139TMY7__CXU13_02020
ERR1913147.23066__1.23066	28118__F9Z4U0__B5F99_17595
ERR1913147.23125__1.23125	28116__F7L4X5__M089_2857
ERR1913147.23336__1.23336	239935__A0A2N8IVK9__CXU08_03750
ERR1913147.23426__1.23426	46503__R6X5I4__ERS852463_01136
ERR1913147.23615__1.23615	239935__A0A2N8HEH9__CXU07_11710
ERR1913147.23796__1.23796	371601__I9UUB0__SAMN04487924_11836
ERR1913147.23970__1.23970	239935__A0A2N8IYM5__CXT84_05130
ERR1913147.24110__1.24110	46503__K5ZKR1__dnaB
ERR1913147.24268__1.24268	820__A0A173YYG4__evgS_3
ERR1913147.24376__1.24376	301302__A0A173SCU7__M72_12871
ERR1913147.24467__1.24467	1262869__R7CTU1__BN625_00702
ERR1913147.24509__1.24509	328814__GCA_004558275.1_00293
ERR1913147.24537__1.24537	239935__A0A2N8IHY1__CXU06_00035
ERR1913147.24589__1.24589	28117__B0MTI4__ALIPUT_00084
ERR1913147.24831__1.24831	820__A0A3E4G493__ERS417307_00253
ERR1913147.24842__1.24842	1150298__R7JSM7__ERS852535_02465
ERR1913147.24862__1.24862	556259__I0PXW0__BSGG_5187
ERR1913147.24877__1.24877	239935__A0A2N8HB50__CXU17_02615
ERR1913147.24930__1.24930	28116__E5C458__BACOV975_02730
ERR1913147.24980__1.24980	1262869__R7CTX9__BN625_00495
ERR1913147.24986__1.24986	1262911__R6HJV5__BN557_00309
ERR1913147.25062__1.25062	239935__A0A2N8HL14__CXT98_09285
ERR1913147.25097__1.25097	88431__A0A3D0EZN6__DORLON_02944
ERR1913147.25078__1.25078	1150298__A0A174HHW8__yhbU_1
ERR1913147.25083__1.25083	239935__A0A2N8I1R3__CXU05_06075
ERR1913147.25243__1.25243	239935__R6IZU4__CXT87_08085
ERR1913147.25266__1.25266	116085__D4J841__DW747_06300
ERR1913147.25315__1.25315	1150298__A0A174DU21__toxA_3
ERR1913147.25488__1.25488	28116__D4WLZ3__C5Z02_24105
ERR1913147.25555__1.25555	239935__A0A2N8HHY4__DEF40_10850
ERR1913147.25603__1.25603	410072__A0A174D6E7__ERS852574_01257
ERR1913147.25700__1.25700	239935__A0A139TMG9__CXU07_10650
ERR1913147.25952__1.25952	823__A0A174VBJ5__M091_5021
ERR1913147.26190__1.26190	28116__F7L4X5__M089_2857
ERR1913147.26211__1.26211	216816__A0A087BBV6__BFS26_06210
ERR1913147.26309__1.26309	166486__A0A1Q6S852__ERS852572_03466
ERR1913147.26317__1.26317	28118__F9Z5M4__B5F93_14995
ERR1913147.26375__1.26375	1150298__A0A174BC67__ERS852498_00837
ERR1913147.26796__1.26796	410072__A0A173Y4Y6__ERS852389_02300
ERR1913147.26814__1.26814	166486__D4KXK8__xynB_1
ERR1913147.26836__1.26836	853__A0A173SUU8__CGS54_06840
ERR1913147.26917__1.26917	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913147.26927__1.26927	239935__A0A2N8ITG2__Amuc_0335
ERR1913147.27009__1.27009	820__A0A396EUU8__luxQ_3
ERR1913147.26970__1.26970	39491__A0A174LTW7__DXD13_08720
ERR1913147.27093__1.27093	820__A0A396EWL3__ERS417307_03868
ERR1913147.27251__1.27251	239935__A0A2N8I694__CXU04_06245
ERR1913147.27259__1.27259	239935__A0A139TVJ4__CXT86_02020
ERR1913147.27508__1.27508	239935__A0A2N8IKW7__pstA
ERR1913147.27594__1.27594	847__C3XAR7__hdaH_2
ERR1913147.27781__1.27781	28117__B0MXG8__ALIPUT_01814
ERR1913147.27764__1.27764	458033__GCA_001482755.1_02203
ERR1913147.27804__1.27804	823__A6L930__DDY96_14995
ERR1913147.27935__1.27935	39488__A0A374NU13__mtnK_2
ERR1913147.28064__1.28064	820__A7V470__HMPREF1072_02076
ERR1913147.28077__1.28077	28117__B0MTI4__ALIPUT_00084
ERR1913147.28162__1.28162	239935__A0A2N8I7W6__CXT90_04245
ERR1913147.28166__1.28166	820__A0A174KKV6__DXC07_02635
ERR1913147.28216__1.28216	387661__B7B704__B5F96_16210
ERR1913147.28555__1.28555	239935__A0A2N8ITG2__Amuc_0335
ERR1913147.28611__1.28611	46503__A7AG53__DD461_14240
ERR1913147.28663__1.28663	820__A0A396EXA7__DXB37_15530
ERR1913147.28705__1.28705	46503__A7AG53__DD461_14240
ERR1913147.28859__1.28859	823__A0A395YY84__DXC05_19515
ERR1913147.28961__1.28961	2292352__A0A374UM14__DXC23_07860
ERR1913147.29041__1.29041	239935__A0A139TQT9__Amuc_1197
ERR1913147.29297__1.29297	1550024__A0A3B9WG56__TQ39_01145
ERR1913147.29347__1.29347	1262869__R7CQJ4__BN625_01587
ERR1913147.29431__1.29431	820__A0A3E4G493__ERS417307_00253
ERR1913147.29440__1.29440	40520__R7D3Q2__RUMOBE_04140
ERR1913147.29491__1.29491	820__A0A139K024__B5G17_02060
ERR1913147.29671__1.29671	239935__A0A2N8INZ4__CXU08_03560
ERR1913147.29837__1.29837	820__A0A139JUD3__DXC91_19380
ERR1913147.29846__1.29846	46503__K5ZM81__DCY29_16460
ERR1913147.29867__1.29867	410072__A0A173RMJ4__ydfH_1
ERR1913147.30071__1.30071	823__A0A395YZG9__M092_4358
ERR1913147.30555__1.30555	821__A0A396ER29__ERS852457_02298
ERR1913147.30746__1.30746	301302__R5UNJ6__M72_26701
ERR1913147.30751__1.30751	239935__B2UQB8__CXT86_01740
ERR1913147.30884__1.30884	820__A0A3E4G3J9__ERS852459_02265
ERR1913147.30892__1.30892	28117__R7JIJ8__BHV66_01635
ERR1913147.31064__1.31064	239935__A0A139TMD2__CXU18_02250
ERR1913147.31124__1.31124	28116__A7M018__M089_5540
ERR1913147.31210__1.31210	239935__A0A2N8ITX2__CXT86_11265
ERR1913147.31228__1.31228	1263107__GCA_000436995.1_00229
ERR1913147.31271__1.31271	239935__A0A2N8IVR0__CXT87_07115
ERR1913147.31340__1.31340	28117__B0MZ14__ALIPUT_02383
ERR1913147.31805__1.31805	239935__A0A2N8INK7__Amuc_0521
ERR1913147.31847__1.31847	328814__GCA_004558275.1_00063
ERR1913147.31955__1.31955	239935__R6JAS2__CXU02_10725
ERR1913147.31982__1.31982	172901__A0A2U1BAB8__C8D82_102181
ERR1913147.32134__1.32134	239935__A0A2N8IVK9__CXU08_03750
ERR1913147.32090__1.32090	239935__A0A2N8IU14__ADH72_05655
ERR1913147.32235__1.32235	46503__R6WYJ8__DXB85_13825
ERR1913147.32243__1.32243	172901__A0A2U1BBM3__C8D82_101264
ERR1913147.32290__1.32290	46503__R6X6Y7__ERS852463_01453
ERR1913147.32325__1.32325	136841__Q9I6U6__CAY95_19175
ERR1913147.32430__1.32430	820__A0A3E4IBC1__M094_0628
ERR1913147.32508__1.32508	214856__A0A174AYS4__ERS852447_01192
ERR1913147.32628__1.32628	820__A0A139K1Y6__DXB48_02610
ERR1913147.32567__1.32567	40520__U2ENY9__C4886_17680
ERR1913147.32751__1.32751	239935__A0A2N8HDT1__CXT94_05270
ERR1913147.32838__1.32838	28117__B0MXR1__BHV66_08035
ERR1913147.32924__1.32924	239935__B2URG6__CXU02_00030
ERR1913147.32978__1.32978	1150298__A0A174DSD1__dacB_3
ERR1913147.33211__1.33211	36343__GeneID:1261150
ERR1913147.33411__1.33411	239935__A0A139TPG3__CXT86_08810
ERR1913147.33615__1.33615	820__A0A3E4G826__C801_01612
ERR1913147.33642__1.33642	28117__B0MWX3__BHV66_03010
ERR1913147.33795__1.33795	239935__R6JWJ7__CXT94_02580
ERR1913147.33943__1.33943	40520__R7D800__DXB81_00095
ERR1913147.33959__1.33959	820__A0A3E4W084__BACUNI_04042
ERR1913147.34043__1.34043	239935__A0A2N8HPS5__Amuc_0950
ERR1913147.34167__1.34167	239935__A0A2N8ITG2__Amuc_0335
ERR1913147.34231__1.34231	28116__A0A395W017__HMPREF1017_03721
ERR1913147.34482__1.34482	387661__K5ZQY6__B5F96_11410
ERR1913147.34518__1.34518	239935__R6IZT7__CXU18_11710
ERR1913147.34916__1.34916	40520__R7D3V1__RUMOBE_00518
ERR1913147.34877__1.34877	239935__A0A2N8IRL2__CXU06_01170
ERR1913147.35312__1.35312	239935__A0A2N8HQR1__Amuc_0287
ERR1913147.35498__1.35498	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913147.35592__1.35592	410072__A0A3E4GT98__ERS852574_02351
ERR1913147.35579__1.35579	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913147.35639__1.35639	1262986__R5EI06__BN492_00739
ERR1913147.35701__1.35701	46503__R6WUV4__DD461_04535
ERR1913147.35913__1.35913	1262882__R5MHZ2__BN519_00742
ERR1913147.36004__1.36004	1262869__R7CQK4__BN625_01693
ERR1913147.36021__1.36021	214856__A0A173YJN8__ERS852447_00664
ERR1913147.36183__1.36183	820__R9I2U8__DXC68_09590
ERR1913147.36343__1.36343	310298__B3JQJ5__BACCOP_04231
ERR1913147.36358__1.36358	853__A0A2J4JL53__CRH10_10795
ERR1913147.36495__1.36495	214856__A0A175A6T5__ERS852447_02658
ERR1913147.36484__1.36484	328814__GCA_004558275.1_00076
ERR1913147.36572__1.36572	33039__R6P9Z4__ERS852502_00114
ERR1913147.36621__1.36621	239935__A0A2N8IRW0__A4V05_11620
ERR1913147.36666__1.36666	820__A0A174G065__DXB62_08975
ERR1913147.36781__1.36781	239935__A0A139TPG3__CXT86_08810
ERR1913147.36807__1.36807	239935__A0A2N8IMC9__CXU09_02095
ERR1913147.36944__1.36944	239935__A0A2N8HBM4__CXT85_06270
ERR1913147.37010__1.37010	28116__E5CEE4__SAMN05444282_12363
ERR1913147.37015__1.37015	88431__A0A174EMW0__thiD_1
ERR1913147.37026__1.37026	552398__F4XHU2__HMPREF0866_03196
ERR1913147.37086__1.37086	239935__A0A2N8IRH4__CXT92_05605
ERR1913147.37234__1.37234	239935__A0A2N8HEH9__CXU07_11710
ERR1913147.37279__1.37279	28117__R7JPX7__BHV66_00900
ERR1913147.37466__1.37466	46503__K5ZAK9__NCTC13052_03308
ERR1913147.37654__1.37654	820__A0A396EWL3__ERS417307_03868
ERR1913147.37657__1.37657	239935__A0A2N8HPX2__CXT90_09930
ERR1913147.37719__1.37719	239935__A0A139TQT9__Amuc_1197
ERR1913147.37834__1.37834	28117__B0MWX3__BHV66_03010
ERR1913147.37835__1.37835	239935__R7E524__CXT91_06180
ERR1913147.37925__1.37925	1680__A0A174BEE7__BSTER_1311
ERR1913147.38018__1.38018	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913147.38230__1.38230	1150298__A0A174MDL5__ERS852406_00648
ERR1913147.38222__1.38222	1263107__GCA_000436995.1_00188
ERR1913147.38390__1.38390	239935__A0A2N8ITX2__CXT86_11265
ERR1913147.38397__1.38397	239935__A0A2N8IUW6__Amuc_1525
ERR1913147.38466__1.38466	172901__A0A2U1B4R0__C8D82_10832
ERR1913147.38439__1.38439	239935__A0A2N8IHY1__CXU06_00035
ERR1913147.38626__1.38626	820__A0A374Q1D8__SAMN05444418_112114
ERR1913147.38852__1.38852	239935__A0A2N8HQR1__Amuc_0287
ERR1913147.38865__1.38865	46503__R6WWC9__PARMER_03215
ERR1913147.38843__1.38843	384638__B7ASI3__BACPEC_02038
ERR1913147.39001__1.39001	46503__R6XDP9__ERS852463_01752
ERR1913147.39327__1.39327	28116__I9AKR7__DXA80_22960
ERR1913147.39332__1.39332	239935__A0A2N8IEP3__CXT84_03735
ERR1913147.39393__1.39393	1262869__R7CLK0__BN625_01124
ERR1913147.39422__1.39422	384638__B7APR0__BACPEC_00666
ERR1913147.39452__1.39452	1150298__R7JSE8__coaX_1
ERR1913147.39485__1.39485	28116__F7L4X5__M089_2857
ERR1913147.39455__1.39455	847__C3XB33__BRW83_0667
ERR1913147.40129__1.40129	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913147.40186__1.40186	820__A0A3E4G826__C801_01612
ERR1913147.40385__1.40385	239935__A0A3F3K9J9__DEF40_00940
ERR1913147.40568__1.40568	46503__R6WSB3__DCY29_07745
ERR1913147.40578__1.40578	28116__E5C5U2__HMPREF2532_02418
ERR1913147.40705__1.40705	39485__A0A175A403__EUBELI_20577
ERR1913147.40753__1.40753	239935__A0A2N8INK7__Amuc_0521
ERR1913147.40834__1.40834	239935__A0A2N8IVK9__CXU08_03750
ERR1913147.40844__1.40844	46503__R6X6Y1__DCY29_15600
ERR1913147.41188__1.41188	216816__E8MW20__DD674_07905
ERR1913147.41195__1.41195	820__A7V8C2__ERS852554_01338
ERR1913147.41261__1.41261	820__A0A139K024__B5G17_02060
ERR1913147.41317__1.41317	820__A0A3E4G826__C801_01612
ERR1913147.41284__1.41284	40520__A0A3E5A422__RUMOBE_00654
ERR1913147.41519__1.41519	823__A0A395YQ63__B5F32_15335
ERR1913147.41639__1.41639	387661__K5XZJ0__B5F96_07555
ERR1913147.41653__1.41653	239935__A0A2N8HEH9__CXU07_11710
ERR1913147.41661__1.41661	239935__A0A2N8I694__CXU04_06245
ERR1913147.41752__1.41752	1262744__R6FST0__BN744_00381
ERR1913147.41926__1.41926	46503__R6X6Y7__ERS852463_01453
ERR1913147.41933__1.41933	674529__A0A174UNM4__DXB21_18930
ERR1913147.42029__1.42029	2292352__A0A374UNM0__DXC23_01660
ERR1913147.42117__1.42117	820__A0A396CMY7__HMPREF1072_03009
ERR1913147.42129__1.42129	820__A7V470__HMPREF1072_02076
ERR1913147.42146__1.42146	820__A0A3E4G2R7__DXC07_00510
ERR1913147.42258__1.42258	820__A0A174QLF0__SAMN05444418_109151
ERR1913147.42370__1.42370	40520__R7D6X9__DXB81_05355
ERR1913147.42394__1.42394	39488__A0A285PVA5__ERS852450_01472
ERR1913147.42409__1.42409	239935__A0A2N8I9I3__CXU19_12035
ERR1913147.42580__1.42580	46503__R6WYJ8__DXB85_13825
ERR1913147.42547__1.42547	1150298__R7JNQ8__ERS852406_00857
ERR1913147.42731__1.42731	28116__R6JLW4__DHW41_14880
ERR1913147.42796__1.42796	214856__A0A174EJT5__mnmA
ERR1913147.43071__1.43071	820__R9I3Q7__HMPREF1072_01668
ERR1913147.43159__1.43159	1262869__R7CPN9__BN625_01440
ERR1913147.43162__1.43162	28117__B0MXG8__ALIPUT_01814
ERR1913147.43426__1.43426	39491__A0A395V464__EUBREC_1509
ERR1913147.43876__1.43876	28117__B0MY36__BHV66_05185
ERR1913147.43950__1.43950	1099853__U5C8M9__NSB1T_02745
