ERR1913190.25__1.25	39491__C4ZC33__DXC13_11585
ERR1913190.8052__1.8052	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1913190.8242__1.8242	165179__A0A3E5E2C8__folA
ERR1913190.8252__1.8252	214856__A0A174G1M7__ERS852559_00594
ERR1913190.8319__1.8319	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913190.8347__1.8347	1262882__R5MEN2__BN519_00200
ERR1913190.8530__1.8530	301302__R5UK77__M72_08681
ERR1913190.8570__1.8570	165179__A0A229I1J2__DXB80_03950
ERR1913190.8650__1.8650	853__A0A3E2U7E6__ERS852582_01640
ERR1913190.8709__1.8709	165179__A0A3E5E189__PREVCOP_06699
ERR1913190.9165__1.9165	1262911__R6H0U7__BN557_01104
ERR1913190.9187__1.9187	165179__D1PES9__DXB80_11585
ERR1913190.9295__1.9295	1262882__R5MLP5__BN519_01602
ERR1913190.9297__1.9297	1262882__R5MND9__BN519_00831
ERR1913190.9477__1.9477	1680__A1A0V3__C8077_03025
ERR1913190.9553__1.9553	28116__A0A395VSP8__ERS852555_02642
ERR1913190.9607__1.9607	28117__B0MU58__BHV66_05630
ERR1913190.10055__1.10055	487174__K0WV96__HMPREF9448_01901
ERR1913190.10148__1.10148	410072__R6LKC9__ERS852525_01807
ERR1913190.10324__1.10324	626932__G5H7W1__HMPREF9450_00764
ERR1913190.10761__1.10761	1263000__R5EET9__BN466_01245
ERR1913190.10806__1.10806	165179__D1P8K1__DXB80_06045
ERR1913190.10939__1.10939	301301__A0A395VEZ0__mcp4_1
ERR1913190.11158__1.11158	165179__A0A229I9X5__CFT61_01205
ERR1913190.11210__1.11210	246787__A0A0P0GIS1__BcellWH2_02680
ERR1913190.11281__1.11281	820__A0A078STJ8__DXC68_04690
ERR1913190.11292__1.11292	165179__A0A174W369__PREVCOP_04548
ERR1913190.11312__1.11312	165179__R6C3A5__DXC61_11820
ERR1913190.11345__1.11345	165179__D1PGJ6__DXC61_07300
ERR1913190.11528__1.11528	1501391__GCA_000786575.1_00018
ERR1913190.11559__1.11559	1262992__R5DCG2__BN795_00315
ERR1913190.11790__1.11790	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913190.11817__1.11817	1262992__R5D1X3__BN795_00176
ERR1913190.11897__1.11897	165179__A0A3E5EBQ2__DXC61_01930
ERR1913190.11909__1.11909	165179__A0A3E5AER8__DXB80_07075
ERR1913190.11992__1.11992	165179__A0A3E5E2S3__DXB80_03455
ERR1913190.12037__1.12037	39496__A5Z5I2__EUBVEN_00963
ERR1913190.12051__1.12051	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.12262__1.12262	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913190.12339__1.12339	1262992__R5D4S4__BN795_00634
ERR1913190.12356__1.12356	165179__R6CNX7__DXB80_02200
ERR1913190.12371__1.12371	1262911__R6GI18__BN557_01377
ERR1913190.12420__1.12420	39485__C4Z6R3__mcp2_1
ERR1913190.12490__1.12490	1263000__R5EHB0__BN466_01647
ERR1913190.12546__1.12546	301301__G2SZM0__ERS852391_00594
ERR1913190.12620__1.12620	1262882__R5N5S3__BN519_00085
ERR1913190.12568__1.12568	1262882__R5MXW0__BN519_00317
ERR1913190.12747__1.12747	1262882__R5MGX3__BN519_00046
ERR1913190.13059__1.13059	165179__A0A3E5A832__DXC61_13685
ERR1913190.13184__1.13184	165179__A0A174K816__DXB80_12000
ERR1913190.13218__1.13218	1262992__R5CXL4__BN795_01001
ERR1913190.13699__1.13699	33025__A0A395JBU5__C8D73_10423
ERR1913190.13791__1.13791	28117__B0MTV5__BHV66_06415
ERR1913190.13864__1.13864	1263000__R5EKR4__BN466_01609
ERR1913190.13878__1.13878	46228__B5CPT7__HMPREF1202_00616
ERR1913190.13891__1.13891	165179__D1P9T6__PREVCOP_04016
ERR1913190.13893__1.13893	39485__C4Z355__ERS852490_01971
ERR1913190.14185__1.14185	39485__A0A174ZLN0__EUBELI_00120
ERR1913190.14214__1.14214	165179__R6C3K4__PREVCOP_05795
ERR1913190.14296__1.14296	1520815__A0A1I3QW11__SAMN02910435_01890
ERR1913190.14271__1.14271	1262882__R5MNC1__BN519_00818
ERR1913190.14349__1.14349	357276__A0A076IXE0__HMPREF1064_04364
ERR1913190.14484__1.14484	165179__A0A229I1J2__DXB80_03950
ERR1913190.14924__1.14924	165179__R6XIF8__DXC61_07265
ERR1913190.15003__1.15003	28117__B0MYM2__BHV66_04910
ERR1913190.15564__1.15564	47678__R5UZM4__DW706_15680
ERR1913190.15643__1.15643	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913190.15816__1.15816	1262882__R5N587__BN519_01643
ERR1913190.15855__1.15855	165179__A0A3E5EBM5__DXC61_02170
ERR1913190.15872__1.15872	1262882__R5MYX5__BN519_00333
ERR1913190.15927__1.15927	165179__A0A3E5DRF6__DXC61_00200
ERR1913190.15901__1.15901	33025__A0A395J8P0__C8D73_1144
ERR1913190.15910__1.15910	1263006__R6LYW4__BN515_01529
ERR1913190.16010__1.16010	1262882__R5MHZ2__BN519_00742
ERR1913190.16023__1.16023	1263000__R5EI35__BN466_01649
ERR1913190.16415__1.16415	410072__A0A3E4GPD6__DXD67_10205
ERR1913190.16491__1.16491	1262882__R5MZ06__BN519_00492
ERR1913190.16586__1.16586	1897011__A0A1Q6RC19__BHW41_06415
ERR1913190.16592__1.16592	371601__D6CXF8__DXD80_06045
ERR1913190.16781__1.16781	360807__C0FVL1__ERS852392_00394
ERR1913190.16814__1.16814	1263000__R5EI35__BN466_01649
ERR1913190.16887__1.16887	28117__B0MU76__ALIPUT_00202
ERR1913190.16891__1.16891	1263000__R5ECL2__BN466_00920
ERR1913190.17024__1.17024	28116__F7L4N5__BACOVA_00137
ERR1913190.17033__1.17033	301301__A0A395VBY5__yfiN_1
ERR1913190.17152__1.17152	165179__A0A3E5AE59__DXC61_12885
ERR1913190.17529__1.17529	301301__A0A395VA63__sbcC
ERR1913190.17508__1.17508	820__A0A396EXA7__DXB37_15530
ERR1913190.17601__1.17601	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913190.17579__1.17579	165179__A0A3E5AG99__DXB80_04390
ERR1913190.17658__1.17658	165179__A0A3E5EB26__CFT61_02800
ERR1913190.17702__1.17702	165179__R6CNX7__DXB80_02200
ERR1913190.17736__1.17736	214856__A0A174G0N0__ERS852447_02436
ERR1913190.17751__1.17751	1263000__R5EFJ5__BN466_01372
ERR1913190.17707__1.17707	165179__A0A174W369__PREVCOP_04548
ERR1913190.18044__1.18044	1262882__R5MEI8__BN519_00283
ERR1913190.18068__1.18068	1263000__R5EMW8__BN466_00256
ERR1913190.18086__1.18086	214856__A0A174CRY5__ERS852559_01060
ERR1913190.18142__1.18142	1897011__A0A1Q6RDN9__BHW41_05070
ERR1913190.18174__1.18174	165179__A0A3E5EB26__CFT61_02800
ERR1913190.18280__1.18280	410072__A0A3E4GLJ0__ERS852481_02689
ERR1913190.18402__1.18402	214856__A0A173YXX1__ERS852559_01651
ERR1913190.18536__1.18536	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.18544__1.18544	1897011__A0A1Q6RI94__BHW41_01260
ERR1913190.18507__1.18507	487174__K0X068__DDY40_07105
ERR1913190.18803__1.18803	165179__A0A3E5A5E5__DXC61_13965
ERR1913190.18953__1.18953	1263000__R5EQI3__BN466_00125
ERR1913190.18992__1.18992	446660__GCA_003428235.1_00831
ERR1913190.19240__1.19240	544645__A0A1U7LA11__folK
ERR1913190.19313__1.19313	77917__A0A2P8EHG9__NCTC13121_01886
ERR1913190.19324__1.19324	626932__G5H523__HMPREF9450_00033
ERR1913190.19422__1.19422	165179__A0A3E4SID1__DXB80_01945
ERR1913190.19505__1.19505	165179__R6CNX7__DXB80_02200
ERR1913190.19442__1.19442	47678__A5ZBL9__C5Z00_18710
ERR1913190.19807__1.19807	165179__D1PCT4__DXB80_09470
ERR1913190.19880__1.19880	165179__D1PAJ7__PREVCOP_04222
ERR1913190.19950__1.19950	1263000__R5EC87__BN466_00713
ERR1913190.20020__1.20020	820__A0A139K1Y6__DXB48_02610
ERR1913190.20117__1.20117	1262882__R5N4D8__BN519_01497
ERR1913190.20093__1.20093	1262882__R5MZ41__BN519_00356
ERR1913190.20201__1.20201	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913190.20387__1.20387	165179__A0A3E5EDS1__DXC61_03115
ERR1913190.20691__1.20691	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913190.20704__1.20704	301302__A0A0M6W9I4__M72_19871
ERR1913190.20931__1.20931	301301__A0A395VCJ3__cbiT
ERR1913190.21080__1.21080	165179__A0A174WGF6__PREVCOP_04095
ERR1913190.21157__1.21157	165179__A0A3E5E4T9__DXB80_08030
ERR1913190.21225__1.21225	1628085__A0A396MGZ2__C7386_12111
ERR1913190.21338__1.21338	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913190.21353__1.21353	165179__D1PEW8__DXB80_13775
ERR1913190.21621__1.21621	47678__A5ZJ80__BACCAC_02965
ERR1913190.21650__1.21650	165179__A0A3E5EA83__DXC61_07750
ERR1913190.21836__1.21836	46228__B5CSZ6__HMPREF1202_01560
ERR1913190.21860__1.21860	214856__R6XTZ7__ERS852447_02314
ERR1913190.22007__1.22007	626932__G5HAR7__HMPREF9450_01732
ERR1913190.22461__1.22461	1628085__A0A2U1BD76__C7386_10691
ERR1913190.22462__1.22462	1263000__R5EFA7__BN466_01197
ERR1913190.22571__1.22571	1263000__R5ES99__BN466_01121
ERR1913190.22697__1.22697	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913190.23048__1.23048	1262882__R5MRS7__BN519_01490
ERR1913190.23201__1.23201	165179__A0A3E4SB95__DXC61_13455
ERR1913190.23364__1.23364	1262882__R5MKL9__BN519_00353
ERR1913190.23415__1.23415	301301__A0A395VBJ2__ERS852391_02160
ERR1913190.23450__1.23450	39492__D4JT67__EUBSIR_01784
ERR1913190.23637__1.23637	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913190.23868__1.23868	165179__A0A3E5DZ45__DXC61_02820
ERR1913190.23949__1.23949	1262942__R7R029__BN520_02116
ERR1913190.24321__1.24321	165179__A0A174W369__PREVCOP_04548
ERR1913190.24340__1.24340	1897011__A0A1Q6REW8__BHW41_04435
ERR1913190.24704__1.24704	214856__R6YC22__ERS852447_01215
ERR1913190.24793__1.24793	165179__A0A3E4SB80__DXC61_12880
ERR1913190.24881__1.24881	165179__R6CNX7__DXB80_02200
ERR1913190.25017__1.25017	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913190.25072__1.25072	1262882__R5N1T9__BN519_00804
ERR1913190.25188__1.25188	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.25195__1.25195	301302__R5UNJ6__M72_26701
ERR1913190.25107__1.25107	165179__D1PDJ4__DXB80_08505
ERR1913190.25119__1.25119	745368__A0A1T4XUU0__SAMN02745178_02347
ERR1913190.25483__1.25483	1262882__R5MZF2__BN519_00592
ERR1913190.25781__1.25781	46228__B5CQI6__RUMLAC_01732
ERR1913190.25985__1.25985	214856__R6XS46__ERS852559_00812
ERR1913190.26066__1.26066	1262736__R5Y4N0__BN496_00283
ERR1913190.26201__1.26201	1680__A0A3E4SB79__BAD_1517
ERR1913190.26164__1.26164	820__R9I3N4__M093_0061
ERR1913190.26282__1.26282	1262882__R5MM90__BN519_01721
ERR1913190.26776__1.26776	165179__A0A3E5AG99__DXB80_04390
ERR1913190.26814__1.26814	552398__F4XCQ4__HMPREF0866_01621
ERR1913190.26823__1.26823	165179__A0A3E5DR10__DXC61_03505
ERR1913190.26836__1.26836	33025__A0A395JCA1__C8D73_102219
ERR1913190.26932__1.26932	1262882__R5MLA4__BN519_01536
ERR1913190.27056__1.27056	28117__B0MXU0__BHV66_07550
ERR1913190.27114__1.27114	165179__A0A229I443__DXB80_10950
ERR1913190.27501__1.27501	1263000__R5EH44__BN466_01492
ERR1913190.27714__1.27714	1262882__R5MZ06__BN519_00492
ERR1913190.27731__1.27731	39485__A0A174YMC1__recN
ERR1913190.27949__1.27949	204516__U6R9E7__HMPREF1534_03313
ERR1913190.28117__1.28117	39485__A0A174ZA72__glgB_1
ERR1913190.28498__1.28498	1897011__A0A1Q6RHD3__BHW41_02220
ERR1913190.28505__1.28505	40519__U2KZ37__RUMCAL_00168
ERR1913190.28468__1.28468	853__A0A2A7B9I6__DW855_13690
ERR1913190.28798__1.28798	1628085__A0A3E2XXJ5__C7386_10966
ERR1913190.29151__1.29151	1263000__R5EKR4__BN466_01609
ERR1913190.29345__1.29345	33025__A0A395J8P0__C8D73_1144
ERR1913190.29502__1.29502	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913190.29659__1.29659	1263000__R5EQI3__BN466_00125
ERR1913190.29741__1.29741	28116__R6DIL2__DXD69_10970
ERR1913190.29862__1.29862	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913190.29878__1.29878	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913190.30018__1.30018	165179__A0A229I4J4__proA
ERR1913190.30239__1.30239	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913190.30296__1.30296	1262942__R7QW43__BN520_01080
ERR1913190.30297__1.30297	301301__A0A395VAR4__yieL
ERR1913190.30504__1.30504	39496__A5Z5I2__EUBVEN_00963
ERR1913190.30629__1.30629	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913190.30672__1.30672	1501391__GCA_000786575.1_00122
ERR1913190.31169__1.31169	165179__D1PAV8__DXB80_13055
ERR1913190.31179__1.31179	884684__GCA_002892425.1_01416
ERR1913190.31257__1.31257	1897011__A0A1Q6RGG6__BHW41_02770
ERR1913190.31662__1.31662	301302__R5UK77__M72_08681
ERR1913190.31616__1.31616	33025__A0A395J9R3__C8D73_10817
ERR1913190.31710__1.31710	1262992__R5CWT5__BN795_00747
ERR1913190.31734__1.31734	165179__A0A3E5DZD8__DXB80_09150
ERR1913190.31920__1.31920	1262882__R5MM69__BN519_00075
ERR1913190.31937__1.31937	301301__A0A395VDE1__ERS852391_03099
ERR1913190.32400__1.32400	1263000__R5F0H8__BN466_00254
ERR1913190.32425__1.32425	1262736__R5YXD5__BN496_01230
ERR1913190.32571__1.32571	47678__R5U7T0__CGC64_00755
ERR1913190.32725__1.32725	165179__D1PEW8__DXB80_13775
ERR1913190.32849__1.32849	165179__A0A229I1J2__DXB80_03950
ERR1913190.33197__1.33197	301301__A0A395VG51__RHOM_05870
ERR1913190.33350__1.33350	1501391__GCA_000786575.1_00112
ERR1913190.33482__1.33482	853__A8SB03__C4Q21_07960
ERR1913190.33639__1.33639	33025__A0A395JCS6__C8D73_101239
ERR1913190.33662__1.33662	1263000__R5EGY6__BN466_00973
ERR1913190.33667__1.33667	165179__D1PGU8__PREVCOP_06463
ERR1913190.33817__1.33817	165179__D1PDJ4__DXB80_08505
ERR1913190.34059__1.34059	1965660__A0A1Y3SSG6__B5G34_01735
ERR1913190.34102__1.34102	165179__A0A3E5EB26__CFT61_02800
ERR1913190.34139__1.34139	165179__D1PCY7__DXB80_02765
ERR1913190.34148__1.34148	301302__R5UKF2__M72_19701
ERR1913190.34190__1.34190	165179__R6CNX7__DXB80_02200
ERR1913190.34302__1.34302	28117__B0MT73__ALIPUT_00412
ERR1913190.34539__1.34539	1263030__R5CX12__BN705_00275
ERR1913190.34688__1.34688	487174__K0XRP0__DDY40_09260
ERR1913190.34740__1.34740	47678__R5V127__HMPREF1061_04334
ERR1913190.34776__1.34776	165179__R6CJG8__DXC61_09290
ERR1913190.34897__1.34897	1897011__A0A1Q6RJW7__BHW41_00060
ERR1913190.35059__1.35059	28116__I9ST00__M088_5588
ERR1913190.35253__1.35253	1262992__R5DDC9__BN795_00492
ERR1913190.35550__1.35550	1262882__R5MHQ8__BN519_00707
ERR1913190.35668__1.35668	165179__R6PU83__CFT61_14275
ERR1913190.36177__1.36177	165179__R6C3K4__PREVCOP_05795
ERR1913190.36314__1.36314	1628085__A0A3E2XUX9__C7386_10290
ERR1913190.36467__1.36467	39485__A0A174ZG70__ERS852492_00929
ERR1913190.36485__1.36485	39485__A0A175A403__EUBELI_20577
ERR1913190.36530__1.36530	301301__A0A395VA63__sbcC
ERR1913190.36713__1.36713	1262882__R5N678__BN519_01604
ERR1913190.36755__1.36755	46503__A7AB27__DXB85_00430
ERR1913190.36829__1.36829	1262882__R5MRS7__BN519_01490
ERR1913190.36899__1.36899	357276__A0A0K2HDP3__IY41_00705
ERR1913190.36932__1.36932	165179__A0A3E5E2B6__DXB80_02820
ERR1913190.36981__1.36981	165179__D1PCY7__DXB80_02765
ERR1913190.37073__1.37073	1262992__R5D6J2__BN795_00288
ERR1913190.37087__1.37087	47678__R5U3U1__BACCAC_03593
ERR1913190.37297__1.37297	328814__GCA_004558275.1_01743
ERR1913190.37334__1.37334	1263000__R5EU91__BN466_01432
ERR1913190.37404__1.37404	165179__A0A174IHQ2__PREVCOP_05478
ERR1913190.37706__1.37706	301301__G2T3Q2__ERS852391_00522
ERR1913190.37871__1.37871	1263000__R5EI35__BN466_01649
ERR1913190.38064__1.38064	1262882__R5MKV8__BN519_01281
ERR1913190.38156__1.38156	1262882__R5MGS8__BN519_00565
ERR1913190.38254__1.38254	214856__R6Z186__ERS852447_00718
ERR1913190.38265__1.38265	165179__A0A174IHQ2__PREVCOP_05478
ERR1913190.38390__1.38390	165179__D1PHD6__DXC61_03380
ERR1913190.38349__1.38349	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913190.38554__1.38554	214856__R6XYY8__ERS852447_01722
ERR1913190.38622__1.38622	165179__A0A174W369__PREVCOP_04548
ERR1913190.38751__1.38751	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913190.38828__1.38828	165179__D1P9T6__PREVCOP_04016
ERR1913190.38788__1.38788	214856__A0A174G1M7__ERS852559_00594
ERR1913190.38905__1.38905	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913190.38996__1.38996	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913190.39147__1.39147	1262882__R5MSX6__BN519_01697
ERR1913190.39402__1.39402	1262882__R5MIC9__BN519_00834
ERR1913190.39607__1.39607	165179__D1PEW8__DXB80_13775
ERR1913190.39730__1.39730	165179__A0A3E5DZ45__DXC61_02820
ERR1913190.39977__1.39977	1262882__R5N532__BN519_01420
ERR1913190.40010__1.40010	46503__R6WX12__DXB85_11560
ERR1913190.40031__1.40031	1262882__R5MGX3__BN519_00046
ERR1913190.40067__1.40067	820__A0A139KIL9__DXC68_05945
ERR1913190.40177__1.40177	1897011__A0A1Q6RC92__BHW41_06320
ERR1913190.40273__1.40273	626932__G5H5D9__HMPREF9450_00149
ERR1913190.40462__1.40462	853__A0A173YYY4__DWZ04_09420
ERR1913190.40526__1.40526	626932__G5H776__HMPREF9450_00919
ERR1913190.40528__1.40528	165179__A0A174UTZ7__DXC61_06705
ERR1913190.40574__1.40574	35833__E5Y6S3__HMPREF0179_01886
ERR1913190.40608__1.40608	165179__R6C3K4__PREVCOP_05795
ERR1913190.40619__1.40619	165179__A0A3E5DZ45__DXC61_02820
ERR1913190.40860__1.40860	820__I9A4U7__DHU98_12785
ERR1913190.41121__1.41121	165179__R6CNX7__DXB80_02200
ERR1913190.41165__1.41165	1262882__R5MGI7__BN519_00643
ERR1913190.41289__1.41289	40520__A5ZSF0__DXC87_15965
ERR1913190.41358__1.41358	1263000__R5EXF8__BN466_01942
ERR1913190.41383__1.41383	1263000__R5EEL2__BN466_01100
ERR1913190.41467__1.41467	301301__A0A395V5S1__ERS852391_01890
ERR1913190.41576__1.41576	165179__D1PCT4__DXB80_09470
ERR1913190.41555__1.41555	165179__A0A229I1J2__DXB80_03950
ERR1913190.41621__1.41621	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913190.41630__1.41630	1263000__R5ETU4__BN466_01378
ERR1913190.41912__1.41912	301301__A0A395V8E1__RHOM_11160
ERR1913190.42084__1.42084	165179__A0A229I1J2__DXB80_03950
ERR1913190.42135__1.42135	371601__C3R2J2__ERS852396_04353
ERR1913190.42155__1.42155	1262882__R5MHQ8__BN519_00707
ERR1913190.42162__1.42162	1897011__A0A1Q6RDN9__BHW41_05070
ERR1913190.42240__1.42240	39492__D4JUJ6__ssuB_2
ERR1913190.42312__1.42312	1501391__GCA_000786575.1_00084
ERR1913190.42363__1.42363	301302__A0A0M6WCT0__M72_03221
ERR1913190.42691__1.42691	1501391__GCA_000786575.1_00042
ERR1913190.42679__1.42679	1262882__R5MYX5__BN519_00333
ERR1913190.42927__1.42927	165179__A0A229I2W6__PREVCOP_04332
ERR1913190.43117__1.43117	1263000__R5EH44__BN466_01492
ERR1913190.43128__1.43128	28117__B0MXR4__BHV66_08025
ERR1913190.43289__1.43289	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913190.43502__1.43502	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913190.43596__1.43596	1897011__A0A1Q6RH85__BHW41_01750
ERR1913190.44054__1.44054	46503__R6X0L4__DXB61_05325
ERR1913190.44163__1.44163	1262882__R5MQ68__BN519_01178
ERR1913190.44282__1.44282	1262882__R5N1L4__BN519_00757
ERR1913190.44339__1.44339	1262882__R5MT42__BN519_01729
ERR1913190.44340__1.44340	165179__A0A174MTF2__DXC61_13200
ERR1913190.44551__1.44551	165179__A0A3E5DZ85__PREVCOP_04238
ERR1913190.44564__1.44564	1897011__A0A1Q6RG59__BHW41_02475
ERR1913190.44640__1.44640	46228__V8CE24__thiD
ERR1913190.44808__1.44808	39485__A0A174Z551__glnL
ERR1913190.44910__1.44910	1263000__R5EMW8__BN466_00256
ERR1913190.44954__1.44954	1262911__R6GLG2__BN557_01501
ERR1913190.45047__1.45047	1263000__R5EGY6__BN466_00973
ERR1913190.45009__1.45009	1263000__R5EMU9__BN466_00667
ERR1913190.45089__1.45089	1263006__R6LYW4__BN515_01529
ERR1913190.45091__1.45091	165179__A0A3E5A554__DXB80_13805
ERR1913190.45396__1.45396	301302__R5UNJ6__M72_26701
ERR1913190.45567__1.45567	1501391__GCA_000786575.1_00077
ERR1913190.45571__1.45571	817__A0A015ZG63__M138_3555
ERR1913190.45608__1.45608	1263000__R5EQI3__BN466_00125
ERR1913190.45710__1.45710	552398__F4XCR9__HMPREF0866_01636
ERR1913190.45770__1.45770	165179__R6BQP4__DXC61_02015
ERR1913190.45782__1.45782	820__R9I3N4__M093_0061
ERR1913190.45961__1.45961	165179__A0A3E5AGH1__DXB80_05820
ERR1913190.46163__1.46163	1263000__R5EMM7__BN466_00616
ERR1913190.46220__1.46220	410072__C0B733__ERS852525_00482
ERR1913190.46288__1.46288	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913190.46335__1.46335	487174__R5EP60__DIT83_09045
ERR1913190.46395__1.46395	106588__A6NUL8__BACCAP_01900
ERR1913190.46497__1.46497	817__A0A149N485__HMPREF1056_02940
ERR1913190.46624__1.46624	28117__B0MUY3__BHV66_00515
ERR1913190.46806__1.46806	1897011__A0A1Q6RFG3__BHW41_03700
ERR1913190.46739__1.46739	1262992__R5CXM7__BN795_01016
ERR1913190.47239__1.47239	626932__G5H5F7__HMPREF9450_00167
ERR1913190.47423__1.47423	39485__C4Z355__ERS852490_01971
ERR1913190.47552__1.47552	165179__D1PCT4__DXB80_09470
ERR1913190.47638__1.47638	1262882__R5N0J9__BN519_00773
ERR1913190.47685__1.47685	1262882__R5MXW0__BN519_00317
ERR1913190.47694__1.47694	301302__R5V5V1__M72_08471
