ERR1912978.144__1.144	1297617__A0A0S2W8P7__BIV19_11120
ERR1912978.11574__1.11574	649756__A0A173TB83__HMPREF0369_01758
ERR1912978.11698__1.11698	821__A0A0P0M2J4__DXD46_10295
ERR1912978.11824__1.11824	2292352__A0A374UNM1__DXC23_01675
ERR1912978.11835__1.11835	29361__B6FJ25__CLONEX_00110
ERR1912978.11939__1.11939	820__A0A173YYG4__evgS_3
ERR1912978.11969__1.11969	1512__E7GIM6__CLOSYM_01032
ERR1912978.12036__1.12036	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912978.12076__1.12076	501571__R8W595__B5F15_00840
ERR1912978.12110__1.12110	33038__A7AZT7__RUMGNA_00811
ERR1912978.12383__1.12383	821__A0A3E4WAR6__DXD64_10735
ERR1912978.12353__1.12353	28116__A0A0J9IIV5__M089_5519
ERR1912978.12415__1.12415	33038__A7B7G7__CDL25_12200
ERR1912978.12567__1.12567	301301__G2T1N2__ERS852391_00344
ERR1912978.12637__1.12637	329854__R5MDC5__DXD57_08415
ERR1912978.12695__1.12695	821__A0A174MBW9__SAMN04487923_10272
ERR1912978.12792__1.12792	102684__A0A135YVK2__AU079_05665
ERR1912978.12955__1.12955	820__A0A174CG08__DXB62_13215
ERR1912978.12975__1.12975	329854__R5LT45__DXD57_14270
ERR1912978.13008__1.13008	33038__A0A396G851__tig
ERR1912978.13105__1.13105	817__Q64PG5__M084_3388
ERR1912978.13205__1.13205	28052__A0A174M9U3__ERS852451_02548
ERR1912978.13208__1.13208	33038__A0A2N5NXH5__CDL27_14300
ERR1912978.13222__1.13222	329854__B3CEI8__DXD57_08440
ERR1912978.13315__1.13315	2292352__A0A374UNU9__DXC23_01235
ERR1912978.13443__1.13443	487175__R5E1Y3__HMPREF9439_02586
ERR1912978.13540__1.13540	33038__A0A2N5NRJ3__CDL20_13245
ERR1912978.13614__1.13614	39485__R5ZSI4__ERS852492_00875
ERR1912978.13620__1.13620	292800__A0A174P641__tap_4
ERR1912978.13768__1.13768	820__A7VAS1__HMPREF2141_03259
ERR1912978.13938__1.13938	2292352__A0A374UKZ5__DXC23_11285
ERR1912978.14111__1.14111	821__A0A395UNT8__DXD64_15275
ERR1912978.14180__1.14180	1897011__A0A1Q6RFC7__BHW41_03540
ERR1912978.14269__1.14269	28052__R7NBF2__ERS852451_02191
ERR1912978.14452__1.14452	871324__A0A1M6AB95__SAMN05444350_101158
ERR1912978.14528__1.14528	821__A0A174WBC9__ERS852556_03145
ERR1912978.14633__1.14633	33038__A0A2N5PPH4__DXD36_06695
ERR1912978.14622__1.14622	29361__B6FQ81__CLONEX_02300
ERR1912978.14823__1.14823	33038__A7B5U7__CDL18_11280
ERR1912978.14915__1.14915	216816__C2GSX7__DD678_03555
ERR1912978.15021__1.15021	1263000__R5EI35__BN466_01649
ERR1912978.15199__1.15199	1897011__A0A1Q6RC34__BHW41_06455
ERR1912978.15252__1.15252	1160721__R6SUP4__vanY3
ERR1912978.15294__1.15294	821__A6L0C7__ERS852556_03520
ERR1912978.15548__1.15548	1263006__R6MQA3__BN515_02104
ERR1912978.15639__1.15639	28052__A0A174MKP3__ERS852451_02483
ERR1912978.15746__1.15746	246787__A0A0P0GM08__BcellWH2_01845
ERR1912978.15790__1.15790	150055__S5QW78__KE3_0557
ERR1912978.15852__1.15852	33038__A0A2N5P263__CDL19_07490
ERR1912978.15869__1.15869	33038__A7B8N9__CDL21_10000
ERR1912978.16062__1.16062	384639__GCA_003096855.1_00253
ERR1912978.16338__1.16338	487174__K0WZN5__HMPREF9448_01108
ERR1912978.16305__1.16305	1896974__A0A1Q6H7S4__BHV77_07555
ERR1912978.16379__1.16379	706562__GCA_900112995.1_00651
ERR1912978.16415__1.16415	329854__A0A3E4KRK8__DXK01_03500
ERR1912978.16403__1.16403	165179__D1PEQ5__PREVCOP_05711
ERR1912978.16585__1.16585	39485__C4Z6V7__walK
ERR1912978.16588__1.16588	33038__A0A2N5P318__HMPREF1201_01171
ERR1912978.16665__1.16665	1262921__R5M9E5__BN473_02191
ERR1912978.16772__1.16772	821__A0A174T998__DXB82_10860
ERR1912978.16870__1.16870	33038__A0A2N5NXH5__CDL27_14300
ERR1912978.16987__1.16987	357276__I9QBT7__BSEG_03340
ERR1912978.17190__1.17190	1160721__W0U2T9__BHW50_11050
ERR1912978.17249__1.17249	33038__F7JUE7__CDL26_12120
ERR1912978.17359__1.17359	820__A0A139KJ23__celCCA
ERR1912978.17506__1.17506	1150298__A0A174QRU8__ERS852498_00962
ERR1912978.17632__1.17632	39485__C4Z467__ERS852490_01684
ERR1912978.17642__1.17642	28052__R7NBF1__yycG_1
ERR1912978.17695__1.17695	33038__A7B7G7__CDL25_12200
ERR1912978.17678__1.17678	239935__A0A2N8HQY4__CXT99_03170
ERR1912978.17995__1.17995	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.17974__1.17974	28052__A0A174JFU5__yhbU_1
ERR1912978.18192__1.18192	360807__A0A1Q6TCY9__ERS852444_01883
ERR1912978.18606__1.18606	1318__W1VLP5__HMPREF1195_01494
ERR1912978.18610__1.18610	820__A7V9F9__B5G17_14640
ERR1912978.18899__1.18899	501571__R8VV23__B5F15_14165
ERR1912978.18979__1.18979	487174__K0WWT0__DIT83_10190
ERR1912978.18996__1.18996	328814__GCA_004558275.1_00007
ERR1912978.19160__1.19160	165179__D1PEQ5__PREVCOP_05711
ERR1912978.19195__1.19195	301301__A0A395VDE4__ERS852391_00518
ERR1912978.19460__1.19460	28116__A7M617__SAMN05192582_105025
ERR1912978.19522__1.19522	329854__R5M2W2__DXD57_07845
ERR1912978.19483__1.19483	28052__A0A174GK20__ERS852451_00454
ERR1912978.19580__1.19580	820__A0A3E4W980__M093_3873
ERR1912978.19628__1.19628	39485__C4Z389__ERS852490_01920
ERR1912978.20007__1.20007	39492__D4JQS6__ykoD
ERR1912978.20045__1.20045	1262988__R7N1D5__BN816_01360
ERR1912978.20024__1.20024	329854__R5M856__DXD27_09575
ERR1912978.20157__1.20157	821__C6Z087__DXB90_00750
ERR1912978.20163__1.20163	28052__A0A174NY34__ERS852499_02326
ERR1912978.20166__1.20166	28116__A0A078Q626__HMPREF1070_02735
ERR1912978.20142__1.20142	820__A0A174CG08__DXB62_13215
ERR1912978.20238__1.20238	1550024__G9RYR1__TQ39_01725
ERR1912978.20593__1.20593	1547__H1AGY5__DW242_02230
ERR1912978.20579__1.20579	28116__A0A1G6G396__DXD69_22115
ERR1912978.20637__1.20637	33038__A0A2N5P0V0__CDL19_10970
ERR1912978.20647__1.20647	33038__F7JT04__CDL21_01120
ERR1912978.20671__1.20671	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1912978.20733__1.20733	371601__F7M533__ERS852396_01023
ERR1912978.20738__1.20738	2173__A0A1D2WW38__METSMIF1_03111
ERR1912978.20860__1.20860	823__D7IUM6__M091_1082
ERR1912978.20936__1.20936	1262911__R6GLA5__BN557_01456
ERR1912978.21441__1.21441	33038__A0A2N5P082__CDL24_08780
ERR1912978.21452__1.21452	33038__A7B7G7__CDL25_12200
ERR1912978.21590__1.21590	39485__C4Z1S0__ERS852492_00886
ERR1912978.21617__1.21617	301302__R5UVE7__ERS852420_01292
ERR1912978.21656__1.21656	301302__A0A0M6X0D2__cpsB_2
ERR1912978.21718__1.21718	33038__A0A2N5PDA1__C5Y99_06180
ERR1912978.21832__1.21832	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912978.21882__1.21882	28117__B0MTY2__BHV66_06485
ERR1912978.22001__1.22001	487174__K0X3L3__DDY40_11345
ERR1912978.22141__1.22141	165179__A0A3E5E189__PREVCOP_06699
ERR1912978.22189__1.22189	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912978.22299__1.22299	328814__GCA_004558275.1_00293
ERR1912978.22388__1.22388	328814__GCA_004558275.1_00034
ERR1912978.22606__1.22606	246787__R6KIG0__BcellWH2_02358
ERR1912978.22726__1.22726	329854__A0A3E4KRU8__BACINT_02500
ERR1912978.22751__1.22751	165179__A0A3E4SID1__DXB80_01945
ERR1912978.22803__1.22803	204516__U6RAM4__HMPREF1534_03439
ERR1912978.22950__1.22950	821__A6L0C7__ERS852556_03520
ERR1912978.23029__1.23029	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.23190__1.23190	820__A0A139JV05__B5G17_18125
ERR1912978.23328__1.23328	165179__D1PGU8__PREVCOP_06463
ERR1912978.23600__1.23600	487174__K0XES7__HMPREF9448_00566
ERR1912978.23634__1.23634	246787__A0A0P0FYF1__HMPREF1062_05374
ERR1912978.23941__1.23941	28116__F7L8I3__M089_1421
ERR1912978.23958__1.23958	821__A0A3E4HP25__SAMN04487923_102450
ERR1912978.24026__1.24026	329854__A0A3E4KRG9__DXK01_03510
ERR1912978.24144__1.24144	33038__A0A2N5NRJ3__CDL20_13245
ERR1912978.24206__1.24206	28052__A0A174Z0G5__ERS852499_01843
ERR1912978.24342__1.24342	39485__A0A174YSS6__trxB_2
ERR1912978.24435__1.24435	214856__A0A174ZEW0__ERS852447_00985
ERR1912978.24546__1.24546	28052__A0A174M4Z9__blaR1
ERR1912978.24688__1.24688	487174__K0XRA9__HMPREF9448_00572
ERR1912978.24771__1.24771	328814__GCA_004558275.1_00078
ERR1912978.24819__1.24819	357276__A0A0K2HF54__HMPREF1063_03537
ERR1912978.24931__1.24931	28117__B0MUL5__ALIPUT_00722
ERR1912978.25038__1.25038	556259__I0PXW0__BSGG_5187
ERR1912978.25052__1.25052	39485__C4Z6R3__mcp2_1
ERR1912978.25487__1.25487	1160721__W0U4W5__BHW50_05260
ERR1912978.25664__1.25664	28052__A0A174M9U3__ERS852451_02548
ERR1912978.25737__1.25737	1263076__GCA_000437615.1_00174
ERR1912978.25768__1.25768	1304__A0A2I1TK21__TZ99_00611
ERR1912978.25835__1.25835	33038__A0A396G7D8__asnB
ERR1912978.25922__1.25922	329854__R5M2W6__DXD57_07830
ERR1912978.25995__1.25995	821__A0A174K302__CUU_3129
ERR1912978.26130__1.26130	39485__A0A174YNW2__cph2_3
ERR1912978.26219__1.26219	28052__R7NCD4__ERS852451_00170
ERR1912978.26222__1.26222	823__K6ACX1__ERS852513_00266
ERR1912978.26263__1.26263	820__A0A3E4G2R7__DXC07_00510
ERR1912978.26355__1.26355	820__A0A3E4FZM1__adaA_2
ERR1912978.26394__1.26394	1262988__R7N3B2__BN816_01997
ERR1912978.26568__1.26568	360807__C0FZM4__RIL183_06871
ERR1912978.26795__1.26795	39485__C4Z2I5__ERS852492_02214
ERR1912978.26809__1.26809	28116__A0A3E5HUC8__DHW41_21025
ERR1912978.26975__1.26975	39492__D4JUJ6__ssuB_2
ERR1912978.27053__1.27053	329854__R5M7D1__BACINT_04632
ERR1912978.27101__1.27101	821__A6L0C7__ERS852556_03520
ERR1912978.27268__1.27268	28052__A0A174P635__ERS852499_02418
ERR1912978.27287__1.27287	88431__A0A3D0EYE9__rafA
ERR1912978.27340__1.27340	821__R6F3Y1__SAMN04487923_104318
ERR1912978.27398__1.27398	820__A0A3E4WA06__ERS852554_03404
ERR1912978.27514__1.27514	39492__D4JQL8__ywpJ
ERR1912978.27661__1.27661	1160721__W0U532__RBI_I00944
ERR1912978.27828__1.27828	39485__R5ZT20__ERS852490_00975
ERR1912978.28100__1.28100	821__A0A173WG51__BVU_2549
ERR1912978.28227__1.28227	1897011__A0A1Q6RE52__BHW41_04690
ERR1912978.28328__1.28328	2173__A0A1D2WST6__METSMIALI_00213
ERR1912978.28446__1.28446	384638__B7AT21__BACPEC_01289
ERR1912978.28471__1.28471	33038__A7B8N9__CDL21_10000
ERR1912978.28542__1.28542	239935__A0A139TVJ4__CXT86_02020
ERR1912978.28550__1.28550	820__A0A374QGD2__ERS852421_02382
ERR1912978.28812__1.28812	239935__A0A2N8HSC0__CXU06_05505
ERR1912978.28867__1.28867	33038__A0A2N5PXI0__C5Y99_10810
ERR1912978.28904__1.28904	360807__C0FPW0__ROSEINA2194_00763
ERR1912978.28945__1.28945	214856__A0A174A1J3__ERS852447_01000
ERR1912978.28991__1.28991	39485__C4Z0B2__EUBELI_01024
ERR1912978.29352__1.29352	821__E5UY21__C800_02204
ERR1912978.29423__1.29423	28052__R7NDB2__ERS852451_01735
ERR1912978.29442__1.29442	39485__A0A174YVS4__EUBELI_00620
ERR1912978.29458__1.29458	246787__R6KUE5__BcellWH2_01117
ERR1912978.29784__1.29784	329854__R5ML94__DXD57_11235
ERR1912978.29817__1.29817	242750__D1PVG9__HMPREF0645_0954
ERR1912978.29827__1.29827	28116__A0A1G8H1M8__DXF98_11065
ERR1912978.29874__1.29874	821__A0A3E4WAR6__DXD64_10735
ERR1912978.29998__1.29998	487174__K0WZU9__HMPREF9448_01159
ERR1912978.30041__1.30041	28116__A0A139LD88__CUY_2408
ERR1912978.30061__1.30061	820__A0A173YYG4__evgS_3
ERR1912978.30113__1.30113	1262988__R7N413__BN816_01539
ERR1912978.30130__1.30130	649756__A0A173RRC5__DO83_12885
ERR1912978.30159__1.30159	301302__A0A0M6WVU2__M72_13551
ERR1912978.30343__1.30343	28052__A0A174HXG0__galK_3
ERR1912978.30411__1.30411	33038__A0A396G7U5__CDL21_03845
ERR1912978.30561__1.30561	821__A0A0P0LFP6__C5Z04_13890
ERR1912978.30638__1.30638	821__A0A174NM17__lacZ_6
ERR1912978.30758__1.30758	1160721__R6T2A6__RBI_I00395
ERR1912978.30791__1.30791	29361__B6FRT6__CLONEX_02860
ERR1912978.30894__1.30894	487174__R5EXS5__HMPREF9448_02541
ERR1912978.30982__1.30982	821__D4VD59__BHV80_04260
ERR1912978.31043__1.31043	338188__A0A174ETX3__ERS852397_01955
ERR1912978.31071__1.31071	39492__D4JTG7__EUBSIR_00572
ERR1912978.31114__1.31114	39485__C4Z0S8__hisK
ERR1912978.31168__1.31168	2108523__A0A2P2F214__LAWASA_27
ERR1912978.31207__1.31207	39485__A0A174Z4K7__dosC_2
ERR1912978.31257__1.31257	292800__A0A1C7FKU8__B5F52_03705
ERR1912978.31594__1.31594	28052__R7NCN8__ERS852499_00866
ERR1912978.31832__1.31832	33038__A7B256__CDL19_05130
ERR1912978.31890__1.31890	328814__GCA_004558275.1_01745
ERR1912978.32265__1.32265	28116__A0A1G8H1M8__DXF98_11065
ERR1912978.32344__1.32344	1160721__W0U3P8__RBI_I00386
ERR1912978.32480__1.32480	165179__D1PES9__DXB80_11585
ERR1912978.32538__1.32538	33038__A0A2N5NXH5__CDL27_14300
ERR1912978.32645__1.32645	817__Q64UC5__M139_2208
ERR1912978.32793__1.32793	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.32820__1.32820	487174__K0X7X4__DIT83_09125
ERR1912978.32855__1.32855	33038__A0A2N5PB54__CDL25_13710
ERR1912978.32901__1.32901	292800__A0A1C7FP14__ERS852518_04317
ERR1912978.33153__1.33153	28052__R7NDB2__ERS852451_01735
ERR1912978.33188__1.33188	214856__A0A174ZED5__ERS852559_00591
ERR1912978.33224__1.33224	33038__A0A2N5Q375__RUMGNA_00645
ERR1912978.33445__1.33445	820__A0A173YYG4__evgS_3
ERR1912978.33820__1.33820	2292352__A0A374UKA6__DXC23_10805
ERR1912978.34107__1.34107	821__I9R3W6__DXC16_12455
ERR1912978.34330__1.34330	39485__C4Z2I5__ERS852492_02214
ERR1912978.34350__1.34350	329854__A0A3E4IFR4__DXD27_22685
ERR1912978.34436__1.34436	301301__A0A395V396__RHOM_09170
ERR1912978.34511__1.34511	487174__K0X694__DIT83_09060
ERR1912978.34532__1.34532	501571__R8VWS0__B5F17_04865
ERR1912978.34536__1.34536	1262945__R6YM76__BN600_01248
ERR1912978.34560__1.34560	360807__A0A173R6V5__ROSEINA2194_00471
ERR1912978.34627__1.34627	821__A0A174NM17__lacZ_6
ERR1912978.34650__1.34650	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.34725__1.34725	33038__A0A396G387__HMPREF1201_01180
ERR1912978.34768__1.34768	821__A0A395VIK7__BVU_1225
ERR1912978.35403__1.35403	39485__A0A174YR79__EUBELI_20418
ERR1912978.35407__1.35407	301301__A0A395VAZ8__RHOM_11660
ERR1912978.35437__1.35437	39485__C4Z0I4__ERS852492_00258
ERR1912978.35445__1.35445	2292352__A0A374UKA6__DXC23_10805
ERR1912978.35457__1.35457	1160721__W0U839__pheB
ERR1912978.35517__1.35517	2292352__A0A374UKA6__DXC23_10805
ERR1912978.35806__1.35806	1262921__R5M951__BN473_02141
ERR1912978.35930__1.35930	329854__R5LW55__DXD57_21020
ERR1912978.36419__1.36419	357276__A0A0K2HFA1__HMPREF1065_02962
ERR1912978.36469__1.36469	40519__U2MCQ8__RUMCAL_00556
ERR1912978.36527__1.36527	1262988__R7N2E1__BN816_02359
ERR1912978.36625__1.36625	28116__A0A1Y4Q1S9__DHW41_02535
ERR1912978.36697__1.36697	1160721__R6SW95__BHW50_08895
ERR1912978.36689__1.36689	384639__GCA_003096855.1_01625
ERR1912978.36729__1.36729	821__A0A174NM17__lacZ_6
ERR1912978.36878__1.36878	820__A0A173YYG4__evgS_3
ERR1912978.37166__1.37166	649756__B0P2G4__HMPREF0369_01300
ERR1912978.37422__1.37422	329854__R5LT45__DXD57_14270
ERR1912978.37460__1.37460	487174__K0WTV8__DIT83_04385
ERR1912978.37926__1.37926	35833__E5YBS9__HMPREF0179_03653
ERR1912978.38099__1.38099	301301__A0A395V8T7__ERS852391_01243
ERR1912978.38065__1.38065	487174__K0WU53__DDY40_07650
ERR1912978.38074__1.38074	1897011__A0A1Q6RDN9__BHW41_05070
ERR1912978.38377__1.38377	39485__C4Z6J9__ERS852492_02049
ERR1912978.38473__1.38473	165179__R6XLJ7__CFT61_06250
ERR1912978.38532__1.38532	1262988__R7N397__BN816_01278
ERR1912978.38781__1.38781	821__A0A173XDD3__DXB82_17180
ERR1912978.38800__1.38800	487174__K0X6A4__HMPREF9448_00105
ERR1912978.38880__1.38880	214856__I3YMC8__ERS852447_02666
ERR1912978.38897__1.38897	33038__F7JV68__C5Y99_05575
ERR1912978.39044__1.39044	820__A0A173YYG4__evgS_3
ERR1912978.39059__1.39059	28052__R7N8I1__pimB_4
ERR1912978.39225__1.39225	1262986__R5ZTC2__BN492_01087
ERR1912978.39308__1.39308	1432052__A0A1I3E558__BEI60_31955
ERR1912978.39436__1.39436	820__A0A139KH21__DXC80_01780
ERR1912978.39595__1.39595	821__A0A3E4KIM1__M097_3660
ERR1912978.39737__1.39737	165179__A0A3E5ED28__PREVCOP_06655
ERR1912978.39903__1.39903	33038__A0A2N5NRJ3__CDL20_13245
ERR1912978.39936__1.39936	871324__A0A1M6AB95__SAMN05444350_101158
ERR1912978.39997__1.39997	33038__A7B1B0__HMPREF1201_01657
ERR1912978.40051__1.40051	821__A0A0P0L952__M097_4235
ERR1912978.40027__1.40027	292800__A0A174N232__ADH75_10840
ERR1912978.40121__1.40121	1776045__A0A0U5J7K7__BN3456_00132
ERR1912978.40096__1.40096	706562__GCA_900112995.1_01429
ERR1912978.40426__1.40426	501571__R8VS41__B5F15_04060
ERR1912978.40460__1.40460	39485__C4Z6U7__EUBELI_20545
ERR1912978.40720__1.40720	1262911__R6GTZ0__BN557_01437
ERR1912978.40793__1.40793	360807__C0FNY7__ERS852392_01257
ERR1912978.40948__1.40948	487174__K0WTQ3__HMPREF9448_02140
ERR1912978.41051__1.41051	301301__A0A395VG51__RHOM_05870
ERR1912978.41035__1.41035	239935__A0A2N8HPX2__CXT90_09930
ERR1912978.41181__1.41181	33038__A0A396G7U5__CDL21_03845
ERR1912978.41336__1.41336	821__A0A0N7J7X2__SAMN04487923_101621
ERR1912978.41450__1.41450	487174__K0WT60__DDY40_05170
ERR1912978.41592__1.41592	1897011__A0A1Q6RC30__BHW41_06700
ERR1912978.41660__1.41660	384639__GCA_003096855.1_01173
ERR1912978.41736__1.41736	239935__B2UNC5__B5G29_07685
ERR1912978.41822__1.41822	46503__A7AHD3__DXB85_00810
ERR1912978.41881__1.41881	384638__B7APN3__BACPEC_00639
ERR1912978.41837__1.41837	33038__A0A2N5NXH5__CDL27_14300
ERR1912978.41950__1.41950	28052__A0A174J1L8__ERS852451_00926
