ERR1913157.902__1.902	239935__A0A2N8IRW0__A4V05_11620
ERR1913157.10930__1.10930	823__A6L930__DDY96_14995
ERR1913157.11010__1.11010	1262961__R6DW08__BN710_00228
ERR1913157.11561__1.11561	944036__A0A196SBX7__AV274_3863
ERR1913157.12173__1.12173	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913157.12196__1.12196	820__A0A174VD39__DXD90_12235
ERR1913157.12485__1.12485	74426__sugC
ERR1913157.12659__1.12659	944036__A0A196SFU8__AV274_2407
ERR1913157.12737__1.12737	165179__A0A3E5A554__DXB80_13805
ERR1913157.13006__1.13006	853__A0A2A7A628__CGS57_13755
ERR1913157.13176__1.13176	853__A0A3E2U7E6__ERS852582_01640
ERR1913157.13367__1.13367	1263000__R5EEL2__BN466_01100
ERR1913157.13472__1.13472	1263000__R5EKG2__BN466_02040
ERR1913157.13499__1.13499	216816__C5E9A6__mutT4
ERR1913157.13642__1.13642	901__B6WRB3__DESPIGER_0300
ERR1913157.14013__1.14013	74426__rpoB
ERR1913157.14127__1.14127	1262961__R6DV64__BN710_01224
ERR1913157.14314__1.14314	239935__R7DVL7__CXT93_01180
ERR1913157.14488__1.14488	216816__A0A061M1M5__HMPREF0177_01046
ERR1913157.14639__1.14639	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913157.14598__1.14598	1161942__celE_2
ERR1913157.14711__1.14711	214856__R6Z288__ERS852447_00734
ERR1913157.14838__1.14838	1262986__R5ZUC3__BN492_00941
ERR1913157.15050__1.15050	165179__R6BQP4__DXC61_02015
ERR1913157.15383__1.15383	944036__A0A196SM47__AV274_1284
ERR1913157.15899__1.15899	28117__B0MTY2__BHV66_06485
ERR1913157.15920__1.15920	74426__groL
ERR1913157.15983__1.15983	1150298__A0A174MSM0__toxA_2
ERR1913157.16214__1.16214	39485__C4Z6K2__ERS852490_00407
ERR1913157.16401__1.16401	1262761__R6QR72__BN606_01181
ERR1913157.16413__1.16413	28117__B0MY36__BHV66_05185
ERR1913157.16475__1.16475	239935__A0A139TMG9__CXU07_10650
ERR1913157.17055__1.17055	239935__A0A139TPG3__CXT86_08810
ERR1913157.17059__1.17059	239935__A0A2N8IHY1__CXU06_00035
ERR1913157.17141__1.17141	1262761__R6R4V4__BN606_00113
ERR1913157.17291__1.17291	239935__R7E524__CXT91_06180
ERR1913157.17323__1.17323	1262986__R5ZUQ8__BN492_00981
ERR1913157.17615__1.17615	853__A0A174C5M1__CGS58_04460
ERR1913157.17780__1.17780	239935__R6JAS2__CXU02_10725
ERR1913157.17957__1.17957	1897011__A0A1Q6RG59__BHW41_02475
ERR1913157.19018__1.19018	853__A0A174C5M1__CGS58_04460
ERR1913157.19038__1.19038	1105031__J1H3W2__HMPREF1141_2783
ERR1913157.19235__1.19235	39492__D4JQS7__ERS852540_01645
ERR1913157.19281__1.19281	292800__H1C6M9__ERS852518_00105
ERR1913157.19424__1.19424	301301__A0A395V4X8__ERS852391_01546
ERR1913157.19908__1.19908	39485__A0A174YNW2__cph2_3
ERR1913157.20201__1.20201	33043__D5HED4__ERS852575_01589
ERR1913157.20126__1.20126	1263000__R5ESM1__BN466_01440
ERR1913157.20296__1.20296	74426__rpoC
ERR1913157.20398__1.20398	823__D7IT19__DHP27_03495
ERR1913157.20614__1.20614	165179__R6C3K4__PREVCOP_05795
ERR1913157.20780__1.20780	901__B6WW26__DESPIG_02294
ERR1913157.21361__1.21361	165179__A0A229I1J2__DXB80_03950
ERR1913157.21589__1.21589	239935__A0A2N8IRL2__CXU06_01170
ERR1913157.22025__1.22025	1680__A0A3E4SB79__BAD_1517
ERR1913157.22178__1.22178	216816__B7GPE8__I118_0062
ERR1913157.22269__1.22269	944036__A0A196SFK2__AV274_3371
ERR1913157.22446__1.22446	1262761__R6RUC6__BN606_00092
ERR1913157.22991__1.22991	1535__G9RWN9__CH238_11575
ERR1913157.23077__1.23077	39485__C4Z2I5__ERS852492_02214
ERR1913157.23234__1.23234	1262761__R6QJJ2__BN606_00358
ERR1913157.23350__1.23350	901__B6WW58__DHV46_03340
ERR1913157.23598__1.23598	454155__F3QX11__HMPREF9442_02745
ERR1913157.23704__1.23704	1161942__adk
ERR1913157.23916__1.23916	853__A0A3E2U7E6__ERS852582_01640
ERR1913157.24224__1.24224	552398__F4XCQ4__HMPREF0866_01621
ERR1913157.24325__1.24325	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913157.24998__1.24998	384638__B7APN3__BACPEC_00639
ERR1913157.25164__1.25164	239935__A0A2N8HPS5__Amuc_0950
ERR1913157.25268__1.25268	28118__R6FAT1__DHW44_00720
ERR1913157.25366__1.25366	39486__R6SE83__DXD82_03080
ERR1913157.25410__1.25410	1263000__R5F0H8__BN466_00254
ERR1913157.25903__1.25903	1681__A0A292FUY6__DD684_00535
ERR1913157.26138__1.26138	901__A0A1K1LF78__DESPIGER_1556
ERR1913157.26359__1.26359	1262761__R6RU22__BN606_01110
ERR1913157.27121__1.27121	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913157.27579__1.27579	40520__A0A396A315__DXB81_12480
ERR1913157.27652__1.27652	944036__A0A196SN80__AV274_0940
ERR1913157.27842__1.27842	239935__A0A139TPG3__CXT86_08810
ERR1913157.27852__1.27852	944036__A0A196SIU9__AV274_2183
ERR1913157.28132__1.28132	239935__R7E524__CXT91_06180
ERR1913157.28179__1.28179	1262915__R6IBT6__BN574_01572
ERR1913157.28500__1.28500	853__A0A3E2V168__FAEPRAM212_00929
ERR1913157.28627__1.28627	239935__A0A2N8IKW7__pstA
ERR1913157.28571__1.28571	1262761__R6QWS5__BN606_02019
ERR1913157.28885__1.28885	487175__R5EIB6__HMPREF9439_01345
ERR1913157.28920__1.28920	239935__A0A2N8HB50__CXU17_02615
ERR1913157.28971__1.28971	33043__A0A174D8D4__ERS852386_02537
ERR1913157.29268__1.29268	901__B6WUN6__DHV46_11020
ERR1913157.29405__1.29405	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913157.29646__1.29646	33043__A0A174DAG8__dapF
ERR1913157.29964__1.29964	1680__A0A0C2YNK5__BADO_0780
ERR1913157.30104__1.30104	239935__A0A139TQT9__Amuc_1197
ERR1913157.30477__1.30477	239935__A0A2N8I3Z7__CXU05_10555
ERR1913157.30537__1.30537	1161942__corC_1
ERR1913157.30600__1.30600	853__A8SB03__C4Q21_07960
ERR1913157.30758__1.30758	853__A0A329UEG4__CHR60_00585
ERR1913157.30798__1.30798	1262961__R6E1W4__BN710_00924
ERR1913157.30942__1.30942	165179__A0A3E5E4T9__DXB80_08030
ERR1913157.31128__1.31128	944036__A0A196S587__AV274_6063
ERR1913157.31100__1.31100	239935__A0A3F3K9J9__DEF40_00940
ERR1913157.31084__1.31084	39492__D4MM10__EUBSIR_01460
ERR1913157.31161__1.31161	901__B6WXD6__DHV46_02215
ERR1913157.31469__1.31469	239935__R6JD78__CXU05_09250
ERR1913157.31841__1.31841	1161942__ackA
ERR1913157.31870__1.31870	239935__A0A2N8IFA0__CXT92_02050
ERR1913157.31949__1.31949	28117__B0MTY2__BHV66_06485
ERR1913157.32402__1.32402	821__A0A396F598__CUU_3259
ERR1913157.32549__1.32549	1263027__R6ZKH6__BN699_02129
ERR1913157.32623__1.32623	1263027__R6ZKH6__BN699_02129
ERR1913157.32721__1.32721	901__B6WXD6__DHV46_02215
ERR1913157.32790__1.32790	1161942__coaX
ERR1913157.32840__1.32840	1686__B6XTW8__B5782_0877
ERR1913157.33534__1.33534	301302__R5UKE6__M72_05651
ERR1913157.33690__1.33690	239935__A0A2N8HZW2__A4V05_11120
ERR1913157.33741__1.33741	1262992__R5DA07__BN795_01576
ERR1913157.34005__1.34005	1897011__A0A1Q6RG37__BHW41_02405
ERR1913157.34085__1.34085	1263030__R5CVV7__BN705_01519
ERR1913157.34140__1.34140	853__A0A2A7B1Y7__C7K05_11930
ERR1913157.34227__1.34227	1262761__R6RP35__BN606_00461
ERR1913157.34777__1.34777	165179__D1PCT4__DXB80_09470
ERR1913157.34957__1.34957	901__B6WQH5__DESPIG_00299
ERR1913157.35337__1.35337	39496__A5Z5I2__EUBVEN_00963
ERR1913157.35449__1.35449	1262911__R6GT99__BN557_01335
ERR1913157.35663__1.35663	454155__G5SRL5__HMPREF9442_00515
ERR1913157.35983__1.35983	165179__D1PGD2__DXC61_10875
ERR1913157.36516__1.36516	853__A0A2A7B9I6__DW855_13690
ERR1913157.36528__1.36528	1263000__R5EU91__BN466_01432
ERR1913157.36602__1.36602	310297__B5CXJ7__DXB87_06645
ERR1913157.36567__1.36567	1263000__R5EF60__BN466_01316
ERR1913157.36620__1.36620	165179__D1PHM6__DXC61_06700
ERR1913157.36695__1.36695	853__A0A2A7B9I6__DW855_13690
ERR1913157.36786__1.36786	1262761__R6R1G2__BN606_01397
ERR1913157.36849__1.36849	1262936__R7J2C7__BN799_01984
ERR1913157.37430__1.37430	165179__D1PES9__DXB80_11585
ERR1913157.37625__1.37625	1680__A0A087DHN0__AL0462_1532
ERR1913157.37644__1.37644	106588__A6NUL8__BACCAP_01900
ERR1913157.37902__1.37902	1235835__R9LCU2__C814_02677
ERR1913157.38630__1.38630	239935__A0A139TPG3__CXT86_08810
ERR1913157.38677__1.38677	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913157.39022__1.39022	239935__A0A2N8I9N0__CXT97_09915
ERR1913157.39122__1.39122	39488__A0A174CH59__DXD91_12625
ERR1913157.39214__1.39214	239935__A0A2N8I7W6__CXT90_04245
ERR1913157.39446__1.39446	239935__A0A2N8ILG3__CXT93_10135
ERR1913157.39553__1.39553	1235835__R9LCU2__C814_02677
ERR1913157.39674__1.39674	1680__A0A174BEE7__BSTER_1311
ERR1913157.39874__1.39874	33043__A0A173WPI1__ERS852400_02100
ERR1913157.39979__1.39979	853__A0A174C5M1__CGS58_04460
ERR1913157.40024__1.40024	239935__A0A2N8IMD6__CXU03_05585
ERR1913157.40053__1.40053	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913157.40315__1.40315	301301__A0A395V6H4__ydfH_3
ERR1913157.40465__1.40465	1681__A0A0H2NPR5__BBBF_1287
ERR1913157.40679__1.40679	216816__A0A395XZB7__DXD37_04075
ERR1913157.41226__1.41226	1897011__A0A1Q6REU3__BHW41_04025
ERR1913157.41589__1.41589	853__A0A174BZY1__xerD_1
ERR1913157.41777__1.41777	1262915__R6HDZ3__BN574_00306
ERR1913157.41812__1.41812	45851__D4S1E0__BUTYVIB_01910
ERR1913157.41818__1.41818	853__A0A2A7B1Y7__C7K05_11930
ERR1913157.42332__1.42332	853__A0A174C5M1__CGS58_04460
ERR1913157.42617__1.42617	239935__A0A2N8IF99__lpdA
ERR1913157.43120__1.43120	1262869__R7CKB6__BN625_00834
ERR1913157.43264__1.43264	165179__A0A3E5EB26__CFT61_02800
ERR1913157.43307__1.43307	33043__D5HFA0__glfT2
ERR1913157.43608__1.43608	39496__A5Z5I2__EUBVEN_00963
ERR1913157.43740__1.43740	1680__R5GSL8__DXD60_03315
ERR1913157.43817__1.43817	239935__R7DVL7__CXT93_01180
ERR1913157.43775__1.43775	39496__A5Z5I2__EUBVEN_00963
ERR1913157.43876__1.43876	901__B6WRH4__DESPIGER_0368
ERR1913157.44047__1.44047	214856__I3YPI7__pepD_1
ERR1913157.44065__1.44065	33043__A0A174B5C6__acm_3
ERR1913157.44161__1.44161	239935__A0A2N8I7W6__CXT90_04245
ERR1913157.44129__1.44129	1897011__A0A1Q6RIQ1__BHW41_00490
ERR1913157.44135__1.44135	853__A0A2A7B9I6__DW855_13690
ERR1913157.44306__1.44306	28117__B0N028__BHV66_05935
ERR1913157.44651__1.44651	216816__C5EC66__tcrA
ERR1913157.44658__1.44658	820__A7V9F9__B5G17_14640
ERR1913157.44665__1.44665	820__A7V9F9__B5G17_14640
ERR1913157.44814__1.44814	1161942__asnB_1
ERR1913157.44874__1.44874	204516__U6RAM4__HMPREF1534_03439
ERR1913157.45181__1.45181	239935__A0A2N8IKW7__pstA
ERR1913157.45236__1.45236	853__E2ZGD9__C7J97_11715
ERR1913157.45647__1.45647	1262869__R7CT51__BN625_00231
ERR1913157.45720__1.45720	1897011__A0A1Q6RC54__BHW41_06555
ERR1913157.45738__1.45738	1263000__R5EF36__BN466_01303
ERR1913157.45784__1.45784	301301__A0A395VAR4__yieL
ERR1913157.45998__1.45998	239935__A0A2N8HAQ1__DEF40_05290
ERR1913157.46480__1.46480	74426__sigA
ERR1913157.46602__1.46602	901__B6WSB2__DESPIGER_0802
ERR1913157.47155__1.47155	328814__GCA_004558275.1_01004
ERR1913157.47530__1.47530	39485__A0A174ZA72__glgB_1
ERR1913157.47540__1.47540	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913157.47548__1.47548	165179__A0A3E5E189__PREVCOP_06699
ERR1913157.47630__1.47630	165179__A0A3E5AI09__DXC61_05815
ERR1913157.48080__1.48080	28117__B0MYP3__BHV66_04995
ERR1913157.48274__1.48274	28117__B0MXI8__BHV66_08505
ERR1913157.48557__1.48557	239935__A0A2N8IV82__CXT99_06735
ERR1913157.48619__1.48619	1262761__R6RXA7__BN606_01380
ERR1913157.48675__1.48675	239935__A0A2N8ITX2__CXT86_11265
ERR1913157.49054__1.49054	1304__J7SIV6__pspA_3
ERR1913157.49307__1.49307	853__A0A2A7B9I6__DW855_13690
ERR1913157.49581__1.49581	853__C7H7F5__DWZ46_01780
ERR1913157.49803__1.49803	33043__D5HI09__ERS852575_02656
ERR1913157.50096__1.50096	239935__A0A3F3K9J9__DEF40_00940
ERR1913157.50294__1.50294	1263027__R6ZE67__BN699_02172
ERR1913157.50366__1.50366	33043__A0A173R1J6__rpfG_1
ERR1913157.50417__1.50417	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913157.50513__1.50513	853__A0A174C5M1__CGS58_04460
ERR1913157.50534__1.50534	239935__R7E524__CXT91_06180
ERR1913157.50939__1.50939	239935__B2UQP8__CXU15_01110
ERR1913157.51179__1.51179	901__B6WXS9__pssA
ERR1913157.51246__1.51246	239935__A0A139TMG9__CXU07_10650
ERR1913157.51275__1.51275	239935__A0A2N8I1R3__CXU05_06075
ERR1913157.51534__1.51534	1262761__R6QND0__BN606_00112
ERR1913157.51830__1.51830	1628085__A0A2U1BEP3__C7386_1033
ERR1913157.52343__1.52343	572010__tufA
ERR1913157.52387__1.52387	1262761__R6RMH1__BN606_00005
ERR1913157.52477__1.52477	901__B6WTW8__DESPIGER_1202
ERR1913157.52701__1.52701	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913157.53226__1.53226	552398__F4XCQ4__HMPREF0866_01621
ERR1913157.53552__1.53552	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913157.53882__1.53882	33043__A0A374K1H3__ykoD_2
ERR1913157.53853__1.53853	1263027__R7AUM6__BN699_01826
ERR1913157.53911__1.53911	39485__R6A1W2__ERS852490_01584
ERR1913157.54380__1.54380	384638__B7APN3__BACPEC_00639
ERR1913157.54600__1.54600	1262961__R6DJT1__BN710_01906
ERR1913157.54893__1.54893	239935__B2UPZ6__CXU03_03800
ERR1913157.55178__1.55178	1680__A7A7Z9__AAX71_05385
ERR1913157.55255__1.55255	1161942__apeA
ERR1913157.55383__1.55383	853__A0A174C5M1__CGS58_04460
ERR1913157.56025__1.56025	216816__A0A395XZB7__DXD37_04075
ERR1913157.56676__1.56676	1235835__R9LCU2__C814_02677
ERR1913157.56963__1.56963	39492__D4MJF3__EUBSIR_02248
ERR1913157.56972__1.56972	1680__R5GR82__AD0028_0014
ERR1913157.57234__1.57234	853__A0A173T6P2__DWZ46_14595
ERR1913157.57664__1.57664	853__A0A174C5M1__CGS58_04460
ERR1913157.57680__1.57680	165179__A0A3E5E2S3__DXB80_03455
ERR1913157.57694__1.57694	1161942__comM
ERR1913157.57716__1.57716	745368__A0A1T4WDF4__SAMN02745178_00415
ERR1913157.58001__1.58001	1897011__A0A1Q6RIQ1__BHW41_00490
ERR1913157.58155__1.58155	1263000__R5EI35__BN466_01649
ERR1913157.58227__1.58227	1262911__R6GT99__BN557_01335
ERR1913157.58522__1.58522	1263027__R6ZEF0__BN699_02264
ERR1913157.58605__1.58605	28117__B0MU76__ALIPUT_00202
ERR1913157.58675__1.58675	33043__A0A173W4M0__dnaD
ERR1913157.59080__1.59080	165179__R6C3K4__PREVCOP_05795
ERR1913157.59105__1.59105	165179__D1PGD2__DXC61_10875
ERR1913157.59641__1.59641	745368__A0A1T4X373__SAMN02745178_01365
ERR1913157.59712__1.59712	944036__A0A196SH01__AV274_3021
ERR1913157.59841__1.59841	1263000__R5EIH8__BN466_01210
ERR1913157.59989__1.59989	74426__pta
ERR1913157.60090__1.60090	74426__group_4823
ERR1913157.60781__1.60781	1297617__A0A0S2W2I7__BIV19_00590
ERR1913157.60932__1.60932	1681__A0A151CB13__B0156_0656
ERR1913157.60936__1.60936	901__B6WUY7__DHV46_11425
ERR1913157.61240__1.61240	1680__A0A374QDL4__LMG18897_0432
ERR1913157.61357__1.61357	1262761__R6RB66__BN606_01964
ERR1913157.61822__1.61822	33043__D5HIL5__ERS852445_01761
ERR1913157.61941__1.61941	1263006__R6MQA3__BN515_02104
ERR1913157.62030__1.62030	901__B6WR15__DESPIGER_0142
ERR1913157.62486__1.62486	1897011__A0A1Q6RC92__BHW41_06320
ERR1913157.62751__1.62751	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913157.62766__1.62766	1897011__A0A1Q6RH12__BHW41_01505
ERR1913157.62837__1.62837	165179__A0A174IHQ2__PREVCOP_05478
ERR1913157.63268__1.63268	1681__A0A0M4LK35__LMG13200_0631
ERR1913157.63824__1.63824	1262869__R7CM75__BN625_00831
ERR1913157.63880__1.63880	1263000__R5EKR3__BN466_00099
ERR1913157.63955__1.63955	820__A0A374MMF0__HMPREF1073_03811
ERR1913157.64730__1.64730	165179__R6C3K4__PREVCOP_05795
ERR1913157.64989__1.64989	853__A0A173YYY4__DWZ04_09420
ERR1913157.65091__1.65091	1680__A0A174BEE7__BSTER_1311
ERR1913157.65660__1.65660	1263000__R5EIH8__BN466_01210
ERR1913157.66028__1.66028	239935__A0A2N8I368__CXT95_04550
ERR1913157.66055__1.66055	901__B6WUN9__DESPIGER_1850
ERR1913157.66295__1.66295	116085__D4J8D7__DW747_09195
ERR1913157.66314__1.66314	239935__R7E524__CXT91_06180
ERR1913157.66579__1.66579	1161942__argB
ERR1913157.66693__1.66693	1262869__R7CM75__BN625_00831
ERR1913157.66735__1.66735	1161942__adhR
ERR1913157.66857__1.66857	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913157.67346__1.67346	239935__A0A2N8IKW7__pstA
ERR1913157.67314__1.67314	944036__A0A196S587__AV274_6063
ERR1913157.67476__1.67476	1897011__A0A1Q6REU8__BHW41_04300
ERR1913157.67481__1.67481	301302__R5V6L8__M72_16121
ERR1913157.67659__1.67659	39491__A0A174EQV2__DXB69_10230
ERR1913157.67778__1.67778	853__A0A173T0Y8__CGS54_07215
ERR1913157.67929__1.67929	239935__A0A2N8IUU3__CXU18_08060
ERR1913157.67969__1.67969	74426__sigA
ERR1913157.68003__1.68003	301302__R5VE75__M72_12161
ERR1913157.68070__1.68070	338188__A0A1Q6HCN7__ptrA
ERR1913157.68353__1.68353	1263027__R6ZT42__BN699_02013
ERR1913157.68437__1.68437	901__B6WR60__DESPIGER_0223
ERR1913157.68422__1.68422	239935__A0A2N8I1R3__CXU05_06075
ERR1913157.68640__1.68640	1299998__GCA_001494635.1_00345
ERR1913157.68818__1.68818	33043__A0A174H1B6__ERS852575_02702
ERR1913157.69044__1.69044	214856__R6Y6H8__ERS852447_01719
ERR1913157.69055__1.69055	239935__A0A2N8IG27__CXT85_07805
ERR1913157.69268__1.69268	1262761__R6QWS5__BN606_02019
ERR1913157.69434__1.69434	74426__purL
ERR1913157.69485__1.69485	1161942__celS
ERR1913157.69798__1.69798	853__A8SCP3__C4N26_07960
ERR1913157.69978__1.69978	165179__R6XLJ7__CFT61_06250
ERR1913157.70127__1.70127	328814__GCA_004558275.1_01002
ERR1913157.70888__1.70888	239935__A0A2N8J1K0__CXT97_05765
ERR1913157.70944__1.70944	239935__A0A2N8I390__CXU16_10675
ERR1913157.71200__1.71200	165179__D1P9T6__PREVCOP_04016
ERR1913157.71601__1.71601	853__A0A3E2U7E6__ERS852582_01640
ERR1913157.71969__1.71969	239935__A0A2N8IFA0__CXT92_02050
ERR1913157.72152__1.72152	508460__GCF_000585335.1_00155
ERR1913157.72170__1.72170	1299998__GCA_001494635.1_00176
ERR1913157.72293__1.72293	944036__A0A196S587__AV274_6063
ERR1913157.72498__1.72498	216816__C2GV16__APC1504_1666
ERR1913157.72506__1.72506	239935__A0A2N8I9N0__CXT97_09915
ERR1913157.72679__1.72679	853__A0A173T0Y8__CGS54_07215
ERR1913157.72841__1.72841	239935__A0A139TQT9__Amuc_1197
ERR1913157.72954__1.72954	1680__R5GRA4__ERS852382_01548
ERR1913157.72919__1.72919	214856__A0A175A6T5__ERS852447_02658
ERR1913157.73422__1.73422	28117__B0MZ50__ALIPUT_02424
ERR1913157.73763__1.73763	853__A0A2A7B9I6__DW855_13690
ERR1913157.74129__1.74129	239935__A0A2N8IRH4__CXT92_05605
ERR1913157.74143__1.74143	1263000__R5ESM1__BN466_01440
ERR1913157.74856__1.74856	853__A0A2A7B9I6__DW855_13690
ERR1913157.74886__1.74886	853__D4JY61__C4N21_10560
ERR1913157.74923__1.74923	33043__D5HI09__ERS852575_02656
ERR1913157.74935__1.74935	1897011__A0A1Q6REX0__BHW41_04225
ERR1913157.75017__1.75017	1262761__R6QND7__BN606_00927
ERR1913157.75946__1.75946	39485__C4Z0G6__spoIVB
ERR1913157.75971__1.75971	328814__GCA_004558275.1_01621
ERR1913157.76230__1.76230	853__A0A3E2V168__FAEPRAM212_00929
ERR1913157.76541__1.76541	1150298__A0A174PXR1__ERS852406_02747
ERR1913157.76557__1.76557	1262961__R6EMW7__BN710_01172
ERR1913157.76594__1.76594	239935__A0A2N8I3G2__CXT89_00720
ERR1913157.76788__1.76788	1262761__R6RU22__BN606_01110
ERR1913157.76790__1.76790	28117__B0MTV3__BHV66_06405
ERR1913157.76835__1.76835	1235835__R9LCU2__C814_02677
ERR1913157.77032__1.77032	901__B6WYC9__DHV46_00060
ERR1913157.77355__1.77355	216816__C2GTH2__CE159_03580
ERR1913157.78146__1.78146	1262915__R6HP23__BN574_01084
ERR1913157.78201__1.78201	33043__A8SPT5__yfiN_2
ERR1913157.78823__1.78823	239935__A0A2N8HMQ8__pgsA
ERR1913157.78848__1.78848	239935__A0A2N8I7W6__CXT90_04245
ERR1913157.78876__1.78876	901__B6WQT1__DESPIG_00410
ERR1913157.78901__1.78901	1262911__R6GHG8__BN557_01301
ERR1913157.78948__1.78948	944036__A0A196S998__AV274_5769
ERR1913157.79190__1.79190	1161942__aroA_1
ERR1913157.79214__1.79214	328814__GCA_004558275.1_00992
ERR1913157.79277__1.79277	165179__A0A3E5EBQ2__DXC61_01930
ERR1913157.79320__1.79320	853__A0A2A7B1Y7__C7K05_11930
ERR1913157.79444__1.79444	28117__B0MY82__BHV66_04755
ERR1913157.80291__1.80291	1161942__araQ_2
ERR1913157.80444__1.80444	1680__R5GZJ8__BSTER_1195
ERR1913157.80553__1.80553	901__B6WR61__DESPIGER_0224
ERR1913157.80697__1.80697	33043__A0A173WXS1__ERS852445_00262
ERR1913157.80864__1.80864	165179__A0A3E5EB26__CFT61_02800
ERR1913157.81210__1.81210	165179__D1P8V8__DXC61_01940
ERR1913157.81266__1.81266	1262700__R5XC07__BN695_01332
ERR1913157.81432__1.81432	853__A0A2A7B9I6__DW855_13690
ERR1913157.81457__1.81457	853__E2ZGD9__C7J97_11715
ERR1913157.81482__1.81482	1262761__R6QZS1__BN606_01236
ERR1913157.81588__1.81588	239935__A0A139TMY7__CXU13_02020
ERR1913157.81733__1.81733	33043__D5HFX2__ERS852445_02161
ERR1913157.81930__1.81930	239935__A0A2N8I1R3__CXU05_06075
ERR1913157.82040__1.82040	239935__A0A2N8IVR0__CXT87_07115
ERR1913157.82404__1.82404	33043__A0A173WU55__ganB_2
ERR1913157.82422__1.82422	901__B6WXT8__DESPIGER_1543
ERR1913157.83364__1.83364	1897011__A0A1Q6REW8__BHW41_04435
