ERR1913140.348__1.348	1262882__R5N3T7__BN519_01188
ERR1913140.7876__1.7876	33043__A0A174CLG4__hemA
ERR1913140.7878__1.7878	39491__A0A173QT73__alaS_2
ERR1913140.7951__1.7951	39491__C4ZF05__vpr
ERR1913140.7988__1.7988	165179__A0A229I9X5__CFT61_01205
ERR1913140.7994__1.7994	563769__GeneID:6973141
ERR1913140.8072__1.8072	155148__GeneID:921005
ERR1913140.8093__1.8093	454155__F3QY50__HMPREF9442_03142
ERR1913140.8139__1.8139	328814__GCA_004558275.1_00987
ERR1913140.8152__1.8152	1262936__R7J3N4__BN799_00434
ERR1913140.8285__1.8285	1262936__R7IYH4__BN799_00795
ERR1913140.8368__1.8368	28116__A0A1Y4PWN5__M088_3731
ERR1913140.8607__1.8607	1262936__R7IZI0__BN799_01112
ERR1913140.8800__1.8800	39492__B0MP07__ERS852540_02083
ERR1913140.8925__1.8925	853__A0A173XRA8__CGS56_09290
ERR1913140.9017__1.9017	33039__D4M4L7__ripA
ERR1913140.9186__1.9186	905__D2RNV4__SAMN05216495_11852
ERR1913140.9196__1.9196	626940__E8LFE6__DCQ00_00370
ERR1913140.9402__1.9402	853__A0A329UEG4__CHR60_00585
ERR1913140.9362__1.9362	39492__D4JT87__clpC
ERR1913140.9451__1.9451	1262936__R7J2K7__BN799_00229
ERR1913140.9445__1.9445	33043__A0A174CV49__ERS852386_02395
ERR1913140.9514__1.9514	165179__R6C3A5__DXC61_11820
ERR1913140.9555__1.9555	1262936__R7J2G9__BN799_01824
ERR1913140.9782__1.9782	165179__A0A3E5E189__PREVCOP_06699
ERR1913140.9855__1.9855	905__D2RK10__SAMN02910455_00010
ERR1913140.9941__1.9941	1262911__R6GPM2__BN557_00937
ERR1913140.9928__1.9928	820__A0A174LJB2__HMPREF1072_04112
ERR1913140.10096__1.10096	166486__D4KZA5__ERS852572_03317
ERR1913140.10119__1.10119	1262886__R6QD55__BN563_01713
ERR1913140.10191__1.10191	901__B6WUN6__DHV46_11020
ERR1913140.10392__1.10392	165179__A0A174W369__PREVCOP_04548
ERR1913140.10511__1.10511	165179__A0A3E5DX33__PREVCOP_05190
ERR1913140.10529__1.10529	1262929__R6F0P0__BN691_00563
ERR1913140.10973__1.10973	1262959__R5XZ12__BN680_00834
ERR1913140.11086__1.11086	823__A6L9D3__ERS852560_03374
ERR1913140.11210__1.11210	821__A0A395VIK7__BVU_1225
ERR1913140.11544__1.11544	1262919__R5PMG4__BN465_00428
ERR1913140.11761__1.11761	39491__A0A0M6WLC7__ERS852497_00640
ERR1913140.11800__1.11800	165179__A0A3E5EAM5__DXC61_07785
ERR1913140.11775__1.11775	901__B6WVF5__DESPIGER_2047
ERR1913140.11845__1.11845	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913140.11907__1.11907	106588__A6NUL8__BACCAP_01900
ERR1913140.11865__1.11865	155148__GeneID:921005
ERR1913140.11874__1.11874	1263000__R5ESM1__BN466_01440
ERR1913140.12215__1.12215	2108523__A0A2P2F5J6__LAWASA_1285
ERR1913140.12333__1.12333	432201__GeneID:14182722
ERR1913140.12450__1.12450	116085__D4J9V4__DW747_03200
ERR1913140.12825__1.12825	357276__A0A0M1W657__HMPREF1064_04629
ERR1913140.12974__1.12974	39491__A0A395ZG74__licR
ERR1913140.13118__1.13118	28117__B0MY40__BHV66_05170
ERR1913140.13262__1.13262	563769__GeneID:6973141
ERR1913140.13430__1.13430	39491__A0A395UYL9__ERS852417_00624
ERR1913140.13395__1.13395	853__D4JY61__C4N21_10560
ERR1913140.13397__1.13397	1262959__R5Y383__BN680_00338
ERR1913140.13667__1.13667	166486__A0A173VSA0__ROSINTL182_06124
ERR1913140.13779__1.13779	821__A0A0P0M2J4__DXD46_10295
ERR1913140.13975__1.13975	165179__A0A174SR12__DXB80_04410
ERR1913140.13997__1.13997	562__A0A3F3QTB1__AML16_28280
ERR1913140.14136__1.14136	820__A0A139KG60__M094_2679
ERR1913140.14141__1.14141	1263107__GCA_000436995.1_00213
ERR1913140.14352__1.14352	853__A0A3E2U7E6__ERS852582_01640
ERR1913140.14416__1.14416	165179__A0A229I740__DXC61_10430
ERR1913140.14822__1.14822	2173__A5UL11__BK798_00645
ERR1913140.14874__1.14874	671232__E6IZ64__CYK11_03670
ERR1913140.14941__1.14941	360807__A0A396AIV6__RIL183_05461
ERR1913140.15119__1.15119	74426__sigA
ERR1913140.15191__1.15191	820__A0A174Q0F0__DXB48_08080
ERR1913140.15353__1.15353	432201__GeneID:14182722
ERR1913140.15395__1.15395	1147151__GeneID:14182075
ERR1913140.15422__1.15422	905__D2RMM4__Acfer_1976
ERR1913140.15526__1.15526	165179__D1PB89__DXC61_08425
ERR1913140.15669__1.15669	1262936__R7J6M0__BN799_00574
ERR1913140.15753__1.15753	165179__A0A3E5A554__DXB80_13805
ERR1913140.15810__1.15810	1262954__R7FEI8__BN611_00356
ERR1913140.16148__1.16148	310298__B3JFI7__BACCOP_00636
ERR1913140.16190__1.16190	820__A0A173YYG4__evgS_3
ERR1913140.16238__1.16238	166486__A0A1Q6SCR5__ROSINTL182_05686
ERR1913140.16474__1.16474	820__A0A139KIL9__DXC68_05945
ERR1913140.16697__1.16697	39492__D4JQS6__ykoD
ERR1913140.16780__1.16780	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913140.16798__1.16798	28117__B0MT73__ALIPUT_00412
ERR1913140.16931__1.16931	357276__I9R201__B5F00_01910
ERR1913140.17098__1.17098	39485__C4Z6N2__EUBELI_20479
ERR1913140.17324__1.17324	853__A0A2A7B1Y7__C7K05_11930
ERR1913140.17516__1.17516	1897011__A0A1Q6RJH2__BHW41_00235
ERR1913140.17519__1.17519	39491__A0A395V1Y4__DXB99_08035
ERR1913140.17529__1.17529	820__A0A3E4VZY4__ERS852554_01211
ERR1913140.17555__1.17555	166486__D4L1P5__ERS852572_00758
ERR1913140.17762__1.17762	1262959__R5XZZ3__BN680_01211
ERR1913140.17896__1.17896	165179__A0A3E5EBQ2__DXC61_01930
ERR1913140.17880__1.17880	1262936__R7J1I2__BN799_01776
ERR1913140.18228__1.18228	626940__E8LB62__BHW43_02905
ERR1913140.18555__1.18555	1262911__R6GR13__BN557_00618
ERR1913140.18504__1.18504	166486__D4KZ45__ROSINTL182_05738
ERR1913140.18608__1.18608	432198__GeneID:14182803
ERR1913140.18713__1.18713	165179__A0A3E5DRF6__DXC61_00200
ERR1913140.18795__1.18795	61171__B9YDB0__HOLDEFILI_03826
ERR1913140.18807__1.18807	165179__A0A174IHQ2__PREVCOP_05478
ERR1913140.18863__1.18863	1262911__R6GN33__BN557_00616
ERR1913140.18905__1.18905	165179__A0A229I443__DXB80_10950
ERR1913140.19084__1.19084	357276__D1K3K9__EL88_23995
ERR1913140.19131__1.19131	905__D2RM80__Acfer_1828
ERR1913140.19267__1.19267	626940__E8LFE6__DCQ00_00370
ERR1913140.19321__1.19321	1263000__R5EGP9__BN466_01419
ERR1913140.19376__1.19376	165179__D1PCT4__DXB80_09470
ERR1913140.19500__1.19500	39491__R6UMS6__DXD13_07035
ERR1913140.19425__1.19425	1262959__R5XX28__BN680_00745
ERR1913140.19772__1.19772	165179__A0A3E5DX33__PREVCOP_05190
ERR1913140.19873__1.19873	357276__D1JZM4__HMPREF1065_01278
ERR1913140.19909__1.19909	562__P0AFH7__oppC
ERR1913140.19962__1.19962	165179__A0A3E5EBM5__DXC61_02170
ERR1913140.19979__1.19979	165179__A0A229I9X5__CFT61_01205
ERR1913140.20107__1.20107	165179__A0A3E5E4P9__DXB80_07930
ERR1913140.20149__1.20149	165179__D1PES9__DXB80_11585
ERR1913140.20338__1.20338	166486__D4KJ39__ERS852572_02622
ERR1913140.20449__1.20449	853__A0A3E2U7E6__ERS852582_01640
ERR1913140.20451__1.20451	39491__D6DXZ8__DXB72_15035
ERR1913140.20526__1.20526	820__A0A396EUU8__luxQ_3
ERR1913140.20538__1.20538	165179__A0A174W369__PREVCOP_04548
ERR1913140.20637__1.20637	165179__A0A174K816__DXB80_12000
ERR1913140.20606__1.20606	820__A7V092__hldE
ERR1913140.20643__1.20643	204516__U6RFU0__HMPREF1534_02545
ERR1913140.20766__1.20766	2292352__A0A374UJE7__DXC23_11305
ERR1913140.20772__1.20772	360807__C0FTG2__RIL183_32211
ERR1913140.20864__1.20864	1262988__R7N3Z1__BN816_00044
ERR1913140.20937__1.20937	2292352__A0A374UML6__DXC23_09355
ERR1913140.20969__1.20969	901__B6WVE2__DHV46_05785
ERR1913140.21058__1.21058	328814__GCA_004558275.1_00292
ERR1913140.21111__1.21111	1262741__R6CPK1__BN697_00075
ERR1913140.21258__1.21258	328814__GCA_004558275.1_00060
ERR1913140.21310__1.21310	820__A0A139KEW8__DXB64_06405
ERR1913140.21311__1.21311	562__P23837__phoQ
ERR1913140.21359__1.21359	1262911__R6GUQ1__BN557_01356
ERR1913140.21420__1.21420	901__B6WUG8__DHV46_10540
ERR1913140.21432__1.21432	1124654__GeneID:14005780
ERR1913140.21574__1.21574	853__A0A2A7B9I6__DW855_13690
ERR1913140.21780__1.21780	33043__D5HIK4__ERS852400_01112
ERR1913140.21856__1.21856	1262959__R5YC14__BN680_01757
ERR1913140.21872__1.21872	1262936__R7J358__BN799_01390
ERR1913140.21953__1.21953	40519__U2KW56__RUMCAL_01316
ERR1913140.22303__1.22303	33039__A0A173VNF2__truB
ERR1913140.22323__1.22323	165179__A0A229I6N7__DXC61_06720
ERR1913140.22463__1.22463	1262746__R5SS80__BN750_02125
ERR1913140.22719__1.22719	626940__E8LBD1__BN587_01117
ERR1913140.22839__1.22839	853__C7H7F5__DWZ46_01780
ERR1913140.22851__1.22851	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913140.22872__1.22872	905__D2RN83__Acfer_0100
ERR1913140.23082__1.23082	853__A0A173TAZ8__DWZ46_14590
ERR1913140.23462__1.23462	39492__D4JS87__EUBSIR_02328
ERR1913140.23490__1.23490	33043__A0A173X520__ERS852575_01617
ERR1913140.23495__1.23495	907__A0A1M6T0V3__C6Y28_00180
ERR1913140.23725__1.23725	626940__E8LBD1__BN587_01117
ERR1913140.23919__1.23919	33043__A0A173YSY7__tilS
ERR1913140.23977__1.23977	33043__D5HEY0__ERS852386_01426
ERR1913140.24038__1.24038	544645__A0A3E4SZ64__DXC42_14790
ERR1913140.24006__1.24006	100886__R7GJP9__amiC
ERR1913140.24104__1.24104	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913140.24198__1.24198	39492__D4JS87__EUBSIR_02328
ERR1913140.24204__1.24204	820__A0A3E4RUC4__DHU98_02635
ERR1913140.24337__1.24337	165179__R6CNX7__DXB80_02200
ERR1913140.24544__1.24544	1262919__R5PUN6__BN465_00233
ERR1913140.24805__1.24805	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913140.24881__1.24881	165179__A0A3E5AG99__DXB80_04390
ERR1913140.24917__1.24917	28117__B0MTV0__BHV66_06395
ERR1913140.25063__1.25063	562__A0A376L0A6__CQA14_19985
ERR1913140.25085__1.25085	165179__A0A3E4SEG4__DXC61_11235
ERR1913140.25187__1.25187	1262889__R7HCA8__BN634_01668
ERR1913140.25221__1.25221	227940__GeneID:1260616
ERR1913140.25241__1.25241	2173__A0A1D2WU48__Msm_1454
ERR1913140.25272__1.25272	1262936__R7J1S4__BN799_01918
ERR1913140.25327__1.25327	165179__D1PER3__DXB80_11525
ERR1913140.25353__1.25353	33043__A0A374K1H3__ykoD_2
ERR1913140.25366__1.25366	46503__C9MKX5__HMPREF1078_01651
ERR1913140.25397__1.25397	1262882__R5MQ68__BN519_01178
ERR1913140.25484__1.25484	563769__GeneID:6973156
ERR1913140.25753__1.25753	165179__A0A3E5AGH1__DXB80_05820
ERR1913140.25767__1.25767	853__A0A173YYY4__DWZ04_09420
ERR1913140.25848__1.25848	165179__A0A3E5DZ45__DXC61_02820
ERR1913140.25901__1.25901	165179__A0A174WGF6__PREVCOP_04095
ERR1913140.26004__1.26004	1262936__R7J169__BN799_00083
ERR1913140.26291__1.26291	820__A7UYX8__DXD40_11635
ERR1913140.26308__1.26308	100886__E2NNV6__CATMIT_00217
ERR1913140.26371__1.26371	1262882__R5MEW7__BN519_00010
ERR1913140.26826__1.26826	1262886__R6RDI4__BN563_00643
ERR1913140.26856__1.26856	853__A0A2A7B9I6__DW855_13690
ERR1913140.26978__1.26978	33043__A0A174FIJ8__ERS852445_02217
ERR1913140.27079__1.27079	853__A0A3E2V168__FAEPRAM212_00929
ERR1913140.27262__1.27262	626940__E8LGM9__DCQ00_02420
ERR1913140.27332__1.27332	165179__D1PCU4__PREVCOP_05029
ERR1913140.27415__1.27415	166486__D4KJ39__ERS852572_02622
ERR1913140.27434__1.27434	562__P0A9K7__AUQ29_19530
ERR1913140.27718__1.27718	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913140.27748__1.27748	165179__A0A3E5A554__DXB80_13805
ERR1913140.27777__1.27777	823__A0A174JYU9__DER51_02115
ERR1913140.27907__1.27907	357276__I8WBQ9__HMPREF1065_03212
ERR1913140.28023__1.28023	1124654__GeneID:14005781
ERR1913140.28063__1.28063	1262959__R5YFN8__BN680_01122
ERR1913140.28113__1.28113	360807__A0A1Q6SXK5__RIL183_06541
ERR1913140.28764__1.28764	360807__A0A173WJE3__mcp4_4
ERR1913140.28972__1.28972	39491__A0A396FUZ3__phoR_1
ERR1913140.29000__1.29000	410072__C0B8G3__DXD67_01535
ERR1913140.29019__1.29019	165179__W1I4H6__DXB80_13655
ERR1913140.29234__1.29234	28117__B0MYW7__ALIPUT_02336
ERR1913140.29238__1.29238	1262959__R5Y2C7__BN680_01940
ERR1913140.29273__1.29273	905__D2RLU3__SAMN05216495_11025
ERR1913140.29426__1.29426	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913140.29461__1.29461	165179__A0A3E5AGH1__DXB80_05820
ERR1913140.29469__1.29469	1262911__R6GN99__BN557_01784
ERR1913140.29510__1.29510	853__A0A173T8T3__DW882_06555
ERR1913140.29526__1.29526	905__D2RLY8__SAMN02910455_00548
ERR1913140.29799__1.29799	1262882__R5N4P6__BN519_01346
ERR1913140.30009__1.30009	1262959__R5XXN2__BN680_00413
ERR1913140.30154__1.30154	1147145__GeneID:14181866
ERR1913140.30115__1.30115	1550024__A0A3B9WIW5__TQ39_04755
ERR1913140.30117__1.30117	165179__A0A174W369__PREVCOP_04548
ERR1913140.30178__1.30178	2292352__A0A374UMB7__DXC23_09370
ERR1913140.30184__1.30184	1262936__R7J049__BN799_01347
ERR1913140.30508__1.30508	907__R7MZS8__JY94_08580
ERR1913140.30681__1.30681	1262687__R7M243__BN701_00193
ERR1913140.30699__1.30699	562__A0A376L0A6__CQA14_19985
ERR1913140.30906__1.30906	165179__D1PCT4__DXB80_09470
ERR1913140.31054__1.31054	39491__D6E408__EUBREC_1466
ERR1913140.31098__1.31098	165179__A0A3E5E5H1__DXC61_07220
ERR1913140.31103__1.31103	165179__A0A3E5DWQ1__DXB80_06635
ERR1913140.31131__1.31131	626940__R6WN47__BHW43_00930
ERR1913140.31295__1.31295	33043__D5HFE3__lacR
ERR1913140.31352__1.31352	172901__A0A2U1AV19__C8D82_11898
ERR1913140.31491__1.31491	155148__GeneID:920967
ERR1913140.31522__1.31522	10680__GeneID:1261099
ERR1913140.31611__1.31611	1407493__GeneID:17503257
ERR1913140.31694__1.31694	214856__A0A174FWM7__ERS852559_00590
ERR1913140.31729__1.31729	214856__A0A174G0N0__ERS852447_02436
ERR1913140.31744__1.31744	33043__A0A173YLD4__ERS852575_00535
ERR1913140.31747__1.31747	1262936__R7IZD7__BN799_01020
ERR1913140.31758__1.31758	39491__A0A396FJA4__DXB99_05435
ERR1913140.31898__1.31898	338188__R6SW63__BACFIN_05400
ERR1913140.32087__1.32087	33039__D4M6I1__nadB_2
ERR1913140.32161__1.32161	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913140.32242__1.32242	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913140.32314__1.32314	28116__A0A3D2LPA1__CUY_3388
ERR1913140.32352__1.32352	165179__A0A3E5DZA5__DXB80_12550
ERR1913140.32675__1.32675	901__B6WX92__DESPIG_02718
ERR1913140.32687__1.32687	165179__D1PCT4__DXB80_09470
ERR1913140.32986__1.32986	28025__A0A0L7BUQ4__Balat_0268
ERR1913140.33078__1.33078	1262911__R6GZ01__BN557_00641
ERR1913140.33218__1.33218	853__A0A173T751__C4N24_10280
ERR1913140.33282__1.33282	907__G0VPA8__C6362_06980
ERR1913140.33369__1.33369	2292352__A0A374UIX0__DXC23_12260
ERR1913140.33511__1.33511	39485__A0A174Z1A6__EUBELI_00220
ERR1913140.33606__1.33606	301302__R5UK77__M72_08681
ERR1913140.33728__1.33728	166486__D4KY48__gmr_5
ERR1913140.33985__1.33985	1262936__R7IYI0__BN799_00800
ERR1913140.33956__1.33956	1147152__GeneID:14182018
ERR1913140.33958__1.33958	291644__I9T2X5__ERS852428_03729
ERR1913140.34170__1.34170	328814__GCA_004558275.1_01003
ERR1913140.34368__1.34368	1262959__R5YVE1__BN680_01582
ERR1913140.34801__1.34801	165179__D1PCL6__DXB80_13435
ERR1913140.34916__1.34916	33043__A0A173XM20__ERS852445_01573
ERR1913140.34971__1.34971	1147152__GeneID:14182018
ERR1913140.35091__1.35091	1357825__GeneID:17494398
ERR1913140.35396__1.35396	328814__GCA_004558275.1_01976
ERR1913140.35407__1.35407	1262911__R6HN81__BN557_00921
ERR1913140.35459__1.35459	165179__A0A3E5DZ45__DXC61_02820
ERR1913140.35603__1.35603	227940__GeneID:1260616
ERR1913140.35723__1.35723	905__D2RJ03__Acfer_0661
ERR1913140.35734__1.35734	1262882__R5MFA5__BN519_00331
ERR1913140.35821__1.35821	28117__B0MUY3__BHV66_00515
ERR1913140.35854__1.35854	39491__A0A0M6WWT1__dus_2
ERR1913140.35860__1.35860	33043__A0A173XM20__ERS852445_01573
ERR1913140.35870__1.35870	823__A0A395YZG9__M092_4358
ERR1913140.35950__1.35950	1262913__R7J3X1__BN646_00517
ERR1913140.36126__1.36126	1263000__R5EMZ8__BN466_00707
ERR1913140.36192__1.36192	626940__E8LER6__HMPREF9443_01350
ERR1913140.36168__1.36168	39491__A0A174LTW7__DXD13_08720
ERR1913140.36214__1.36214	410072__A0A3E4GPD6__DXD67_10205
ERR1913140.36308__1.36308	165179__D1PCU4__PREVCOP_05029
ERR1913140.36281__1.36281	820__R9HP61__DXC91_01090
ERR1913140.36292__1.36292	820__R9HUV5__HMPREF2141_02582
ERR1913140.36421__1.36421	821__A0A3E4KIM1__M097_3660
ERR1913140.36378__1.36378	563769__GeneID:6973156
ERR1913140.36486__1.36486	901__B6WVE0__DESPIG_02056
ERR1913140.36631__1.36631	905__D2RL94__Acfer_1487
ERR1913140.36757__1.36757	821__A0A0P0M5Z6__BVU_0429
ERR1913140.36869__1.36869	1262743__R5C054__BN727_01980
ERR1913140.36944__1.36944	165179__A0A3E5E5L1__DXB80_05980
ERR1913140.37059__1.37059	165179__A0A3E5AGH1__DXB80_05820
ERR1913140.37253__1.37253	165179__R6CJG8__DXC61_09290
ERR1913140.37227__1.37227	626940__R6XYY7__DCQ00_03935
ERR1913140.37347__1.37347	165179__A0A229I1J2__DXB80_03950
ERR1913140.37583__1.37583	165179__D1P9T6__PREVCOP_04016
ERR1913140.37623__1.37623	820__A0A139KG04__ERS852459_01249
ERR1913140.37715__1.37715	820__A0A3E4GA19__SAMN05444418_10562
ERR1913140.37843__1.37843	820__A0A3E4G3J9__ERS852459_02265
ERR1913140.37855__1.37855	39491__A0A395ZM93__DXD13_03490
ERR1913140.38017__1.38017	1263030__R5D0H4__BN705_01401
ERR1913140.38020__1.38020	33043__D5HHE4__ERS852445_02332
ERR1913140.38382__1.38382	1262936__R7J1X7__BN799_01807
ERR1913140.38407__1.38407	39491__A0A395UXH0__EUBREC_0021
ERR1913140.38522__1.38522	1897011__A0A1Q6RC30__BHW41_06700
ERR1913140.38647__1.38647	357276__B6VYT9__HMPREF1063_05030
ERR1913140.38659__1.38659	74426__group_1871
ERR1913140.38764__1.38764	39491__A0A396FQ67__DXB99_07505
ERR1913140.38885__1.38885	165179__A0A3E5AI09__DXC61_05815
ERR1913140.39052__1.39052	1262882__R5MGX3__BN519_00046
ERR1913140.39162__1.39162	204516__U6RFV1__HMPREF1534_02560
ERR1913140.39391__1.39391	1263006__R6LRF6__BN515_00540
ERR1913140.39602__1.39602	166486__D4KZP0__ERS852572_00486
ERR1913140.39736__1.39736	165179__A0A229I1J2__DXB80_03950
ERR1913140.39775__1.39775	1262936__R7IYY7__BN799_00701
ERR1913140.40027__1.40027	39491__C4Z9K7__EUBREC_0050
ERR1913140.40092__1.40092	1262959__R5YVJ9__BN680_01667
ERR1913140.40171__1.40171	165179__A0A3E5E3D6__DXC61_05750
ERR1913140.40420__1.40420	165179__A0A174IHQ2__PREVCOP_05478
ERR1913140.40486__1.40486	204516__U6RDD8__HMPREF1534_02559
ERR1913140.40551__1.40551	165179__D1PAJ7__PREVCOP_04222
ERR1913140.40624__1.40624	671267__R9IEN1__C802_02405
ERR1913140.40633__1.40633	39486__B0G2S4__DXD10_16540
ERR1913140.40634__1.40634	39491__C4ZC33__DXC13_11585
ERR1913140.40791__1.40791	820__A0A139KIL9__DXC68_05945
ERR1913140.41017__1.41017	165179__A0A3E5EAM5__DXC61_07785
ERR1913140.41265__1.41265	905__D2RIX9__SAMN05216495_103126
ERR1913140.41266__1.41266	165179__A0A3E5DY64__CFT61_10025
ERR1913140.41302__1.41302	165179__A0A3E5DZ45__DXC61_02820
ERR1913140.41745__1.41745	1262992__R5CXM7__BN795_01016
ERR1913140.41900__1.41900	165179__A0A229I1J2__DXB80_03950
ERR1913140.42594__1.42594	39491__A0A395V464__EUBREC_1509
ERR1913140.42638__1.42638	165179__A0A3E5EB26__CFT61_02800
ERR1913140.42738__1.42738	165179__A0A3E4SB80__DXC61_12880
ERR1913140.42872__1.42872	166486__D4KUM5__afr
ERR1913140.42914__1.42914	1262536__GeneID:16385454
ERR1913140.42953__1.42953	1262936__R7IZD7__BN799_01020
ERR1913140.42934__1.42934	1262959__A0A355KWK7__BN680_01208
ERR1913140.42943__1.42943	1262961__R6EP07__BN710_01333
ERR1913140.43001__1.43001	155148__GeneID:920998
ERR1913140.43187__1.43187	414970__GeneID:5204421
ERR1913140.43372__1.43372	821__A0A396F598__CUU_3259
ERR1913140.43490__1.43490	1262687__R7M3Q4__BN701_00293
ERR1913140.43596__1.43596	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913140.43637__1.43637	204516__U6RFV1__HMPREF1534_02560
ERR1913140.43761__1.43761	853__A0A3E2U7E6__ERS852582_01640
ERR1913140.43762__1.43762	175950__GeneID:955654
ERR1913140.43917__1.43917	1263109__GCA_000438135.1_01228
ERR1913140.43979__1.43979	165179__A0A3E5E7Z8__PREVCOP_06480
