ERR1913041.2__1.2	28116__F7LBW8__C5Z02_16055
ERR1913041.3227__1.3227	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3194__1.3194	310298__B3JH76__BACCOP_01230
ERR1913041.3251__1.3251	28118__R6F6F1__B5F93_10805
ERR1913041.3252__1.3252	820__A0A174CG08__DXB62_13215
ERR1913041.3316__1.3316	165179__A0A229I9X5__CFT61_01205
ERR1913041.3400__1.3400	310298__B3JH76__BACCOP_01230
ERR1913041.3453__1.3453	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3474__1.3474	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3519__1.3519	626933__H1DGX0__HMPREF9449_01506
ERR1913041.3537__1.3537	310298__B3JPY4__BACCOP_04016
ERR1913041.3596__1.3596	39485__A0A1Q6PH92__cbbX
ERR1913041.3627__1.3627	165179__A0A3E5EA43__DXC61_07775
ERR1913041.3645__1.3645	165179__A0A3E5AAM8__DXB80_10240
ERR1913041.3725__1.3725	69974__A0A090FEL8__MPL3365_630008
ERR1913041.3911__1.3911	28139__A0A379ND44__NCTC11190_02421
ERR1913041.3982__1.3982	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4021__1.4021	165179__A0A3E5EB26__CFT61_02800
ERR1913041.4149__1.4149	310298__B3JED9__BACCOP_00230
ERR1913041.4211__1.4211	310298__B3JN71__BACCOP_03383
ERR1913041.4317__1.4317	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4352__1.4352	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4379__1.4379	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4403__1.4403	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4498__1.4498	69974__A0A090FEL8__MPL3365_630008
ERR1913041.4482__1.4482	626933__H1DGX0__HMPREF9449_01506
ERR1913041.4595__1.4595	1262924__R7HPZ6__BN585_00681
ERR1913041.4727__1.4727	310298__B3JNG7__BACCOP_03480
ERR1913041.4701__1.4701	165179__A0A174IPI3__CFT61_10940
ERR1913041.4703__1.4703	2293125__A0A374CIC9__DW917_02045
ERR1913041.4854__1.4854	371601__F7M1V2__DXD80_13245
ERR1913041.4885__1.4885	216816__D6DCL7__BFS26_02835
ERR1913041.4937__1.4937	69974__A0A090FEL8__MPL3365_630008
ERR1913041.5006__1.5006	310298__B3JI31__BACCOP_01543
ERR1913041.5192__1.5192	853__A0A2A7B9I6__DW855_13690
ERR1913041.5194__1.5194	371601__E4VPR2__BXY_44130
ERR1913041.5276__1.5276	357276__B6W1J2__BACDOR_03380
ERR1913041.5369__1.5369	143393__X8K3T3__HMPREF9092_0955
ERR1913041.5375__1.5375	823__A0A355XIK0__CEQ22_011965
ERR1913041.5381__1.5381	310298__B3JEE8__BACCOP_00239
ERR1913041.5415__1.5415	69974__A0A090FEL8__MPL3365_630008
ERR1913041.5451__1.5451	69974__A0A090FEL8__MPL3365_630008
ERR1913041.5458__1.5458	165179__D1PHM6__DXC61_06700
ERR1913041.5534__1.5534	853__A0A2A6Z8X1__FPR_03410
ERR1913041.5569__1.5569	165179__A0A3E5EB26__CFT61_02800
ERR1913041.5648__1.5648	47678__A5ZL09__BACCAC_03608
ERR1913041.5803__1.5803	2292284__A0A374V9L1__DXC10_09375
ERR1913041.5953__1.5953	39491__A0A395UZL1__DXB76_05950
ERR1913041.5997__1.5997	69974__A0A090FEL8__MPL3365_630008
ERR1913041.6016__1.6016	820__A0A174FUF0__HMPREF1073_03308
ERR1913041.6098__1.6098	487173__H1D020__HMPREF9453_00958
ERR1913041.6168__1.6168	39485__C4Z5L8__ERS852490_00665
ERR1913041.6236__1.6236	39491__A0A395V0H3__ERS852417_01192
ERR1913041.6326__1.6326	69974__A0A090FEL8__MPL3365_630008
ERR1913041.6370__1.6370	2293125__A0A374CIC9__DW917_02045
ERR1913041.6384__1.6384	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913041.6537__1.6537	165179__A0A229I443__DXB80_10950
ERR1913041.6556__1.6556	410072__C0B8G3__DXD67_01535
ERR1913041.6557__1.6557	69974__A0A090FEL8__MPL3365_630008
ERR1913041.6682__1.6682	69974__A0A090FEL8__MPL3365_630008
ERR1913041.6798__1.6798	39491__D6E2U1__EUBREC_3278
ERR1913041.6814__1.6814	310298__B3JH76__BACCOP_01230
ERR1913041.6894__1.6894	28117__B0MU53__ALIPUT_00569
ERR1913041.6949__1.6949	1262924__R7HQL9__BN585_00607
ERR1913041.7032__1.7032	410072__A0A174HCW3__ERS852574_00529
ERR1913041.7101__1.7101	165179__A0A3E5EAM5__DXC61_07785
ERR1913041.7119__1.7119	28117__B0MUX7__ALIPUT_00918
ERR1913041.7209__1.7209	69974__A0A090FEL8__MPL3365_630008
ERR1913041.7305__1.7305	820__R7E9Z4__DXC68_06065
ERR1913041.7338__1.7338	165179__D1PHC0__PREVCOP_06640
ERR1913041.7358__1.7358	310298__B3JEE8__BACCOP_00239
ERR1913041.7445__1.7445	216816__C2GTV2__BLIF_0674
ERR1913041.7470__1.7470	1160721__W0U3P8__RBI_I00386
ERR1913041.7523__1.7523	28118__R6F3B7__B5F93_04425
ERR1913041.7563__1.7563	204516__U6RG10__HMPREF1534_02094
ERR1913041.7607__1.7607	487173__H1D1P5__HMPREF9453_01533
ERR1913041.7644__1.7644	820__A0A174P0L5__glcK_3
ERR1913041.7656__1.7656	1262924__R7HKP8__BN585_01113
ERR1913041.7695__1.7695	310298__B3JQR0__BACCOP_04272
ERR1913041.7759__1.7759	410072__A0A174B435__COPCOM_00497
ERR1913041.7880__1.7880	69974__A0A090FEL8__MPL3365_630008
ERR1913041.7846__1.7846	40518__R5DNY7__RBATCC27255_00367
ERR1913041.7855__1.7855	165179__A0A3E5E4T9__DXB80_08030
ERR1913041.7959__1.7959	1262924__R7HKP8__BN585_01113
ERR1913041.8165__1.8165	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8168__1.8168	626933__H1DGX0__HMPREF9449_01506
ERR1913041.8498__1.8498	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8507__1.8507	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8491__1.8491	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8736__1.8736	821__A0A396F1N0__M099_1553
ERR1913041.8863__1.8863	40518__R5DYU1__DXD86_01160
ERR1913041.8908__1.8908	204516__U6REI9__HMPREF1534_02357
ERR1913041.8947__1.8947	39492__D4JTG7__EUBSIR_00572
ERR1913041.8995__1.8995	310298__B3JN71__BACCOP_03383
ERR1913041.9108__1.9108	47678__R5U558__ERS852558_02232
ERR1913041.9149__1.9149	69974__A0A090FEL8__MPL3365_630008
ERR1913041.9177__1.9177	69974__A0A090FEL8__MPL3365_630008
ERR1913041.9186__1.9186	39491__A0A395ZHV7__ykvU
ERR1913041.9303__1.9303	165179__A0A3E5AAM8__DXB80_10240
ERR1913041.9397__1.9397	165179__D1PCL6__DXB80_13435
ERR1913041.9409__1.9409	28117__B0MTI4__ALIPUT_00084
ERR1913041.9448__1.9448	165179__A0A229I4J4__proA
ERR1913041.9550__1.9550	39491__D6E4H2__DXB99_00485
ERR1913041.9556__1.9556	69974__A0A090FEL8__MPL3365_630008
ERR1913041.9638__1.9638	853__A0A173XRA8__CGS56_09290
ERR1913041.9734__1.9734	853__C7H7F8__yccM_1
ERR1913041.9777__1.9777	116085__D4J6L8__DW747_08035
ERR1913041.9782__1.9782	69974__A0A090FEL8__MPL3365_630008
ERR1913041.9890__1.9890	69974__A0A090FEL8__MPL3365_630008
ERR1913041.9932__1.9932	165179__A0A3E5E8N5__DXC61_13460
ERR1913041.9944__1.9944	1160721__W0U1Y5__BHW50_01965
ERR1913041.10068__1.10068	853__A0A173YYY4__DWZ04_09420
ERR1913041.10136__1.10136	204516__U6R7Y8__HMPREF1534_03942
ERR1913041.10152__1.10152	1855325__A0A1I2LW17__SAMN05216383_10133
ERR1913041.10183__1.10183	33033__A8SJ22__DYJ31_01615
ERR1913041.10208__1.10208	418240__A0A173YKG4__ycjO_4
ERR1913041.10288__1.10288	165179__A0A3E5A554__DXB80_13805
ERR1913041.10294__1.10294	47678__A5ZG68__ERS852494_02968
ERR1913041.10336__1.10336	1262992__R5D733__BN795_00375
ERR1913041.10436__1.10436	2108523__A0A2P2F314__LAWASA_362
ERR1913041.10483__1.10483	310298__B3JFH4__BACCOP_00624
ERR1913041.10635__1.10635	40518__A0A1C6H8C4__DXD93_02535
ERR1913041.10692__1.10692	1262924__R7HRI6__BN585_00824
ERR1913041.10780__1.10780	69974__A0A090FEL8__MPL3365_630008
ERR1913041.10794__1.10794	261299__W1UJR2__SAMN02745147_2714
ERR1913041.10835__1.10835	47678__R5U6B9__BACCAC_01372
ERR1913041.10981__1.10981	820__A0A396EUV1__B5G17_06465
ERR1913041.10994__1.10994	301301__A0A395V3Q5__sufB
ERR1913041.11083__1.11083	28117__B0MUB4__BHV66_01895
ERR1913041.11089__1.11089	204516__U6RFU0__HMPREF1534_02545
ERR1913041.11176__1.11176	820__A0A078STJ8__DXC68_04690
ERR1913041.11260__1.11260	39485__R5ZHA7__ERS852490_00039
ERR1913041.11420__1.11420	165179__A0A3E5EA43__DXC61_07775
ERR1913041.11421__1.11421	821__A0A0P0M3U7__DXB90_14325
ERR1913041.11636__1.11636	371601__D7K8P3__SAMN05216250_10395
ERR1913041.11643__1.11643	39491__A0A395V1R3__T1815_08181
ERR1913041.11714__1.11714	1262924__R7HQB7__BN585_02057
ERR1913041.11745__1.11745	69974__A0A090FEL8__MPL3365_630008
ERR1913041.11798__1.11798	39485__A0A174ZAI7__outO
ERR1913041.11902__1.11902	69974__A0A090FEL8__MPL3365_630008
ERR1913041.11863__1.11863	39492__D4JRM9__bglB_2
ERR1913041.11983__1.11983	69974__A0A090FEL8__MPL3365_630008
ERR1913041.12059__1.12059	1262924__R7HQX0__BN585_00307
ERR1913041.12066__1.12066	69974__A0A090FEL8__MPL3365_630008
ERR1913041.12077__1.12077	821__A0A395VLM8__BvMPK_3650
ERR1913041.12119__1.12119	39492__D4JU79__EUBSIR_01975
ERR1913041.12207__1.12207	39488__A0A173RSC6__ERS852450_01530
ERR1913041.12296__1.12296	1262924__R7HRT1__BN585_00630
ERR1913041.12327__1.12327	28117__B0MWP2__ALIPUT_01468
ERR1913041.12435__1.12435	165179__D1PHC0__PREVCOP_06640
ERR1913041.12436__1.12436	301302__A0A173TTX1__M72_22141
ERR1913041.12443__1.12443	821__A0A0P0M2J4__DXD46_10295
ERR1913041.12449__1.12449	853__E2ZGD9__C7J97_11715
ERR1913041.12582__1.12582	69974__A0A090FEL8__MPL3365_630008
ERR1913041.12680__1.12680	1262924__R7HRJ9__BN585_00557
ERR1913041.12835__1.12835	39485__C4Z6B7__EUBELI_20364
ERR1913041.12979__1.12979	165179__D1PGU8__PREVCOP_06463
ERR1913041.13089__1.13089	165179__A0A229I443__DXB80_10950
ERR1913041.13348__1.13348	28117__B0MXR1__BHV66_08035
ERR1913041.13434__1.13434	28117__R7JN92__BHV66_00550
ERR1913041.13452__1.13452	853__A0A173YYY4__DWZ04_09420
ERR1913041.13515__1.13515	310298__B3JF96__BACCOP_00544
ERR1913041.13519__1.13519	310298__B3JK49__BACCOP_02273
ERR1913041.13539__1.13539	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.13767__1.13767	301302__A0A0M6W9I4__M72_19871
ERR1913041.13784__1.13784	1262924__R7HTA4__BN585_00391
ERR1913041.13865__1.13865	1897011__A0A1Q6RE47__BHW41_04715
ERR1913041.13888__1.13888	39485__A0A174Z851__cdaR_1
ERR1913041.13889__1.13889	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913041.14049__1.14049	544645__A0A3E4T7C6__DXC42_09005
ERR1913041.14225__1.14225	626933__H1DGX0__HMPREF9449_01506
ERR1913041.14544__1.14544	1628085__A0A3E2XXJ5__C7386_10966
ERR1913041.14567__1.14567	69974__A0A090FEL8__MPL3365_630008
ERR1913041.14584__1.14584	69974__A0A090FEL8__MPL3365_630008
ERR1913041.14621__1.14621	853__A0A329UEG4__CHR60_00585
ERR1913041.14671__1.14671	69974__A0A090FEL8__MPL3365_630008
ERR1913041.14717__1.14717	69974__A0A090FEL8__MPL3365_630008
ERR1913041.14789__1.14789	853__A0A173T6P2__DWZ46_14595
ERR1913041.14809__1.14809	410072__A0A173R660__ERS852389_00536
ERR1913041.14874__1.14874	1262924__R7HLK0__BN585_01496
ERR1913041.14922__1.14922	39488__A0A285PS10__ERS852578_00426
ERR1913041.15002__1.15002	69974__A0A090FEL8__MPL3365_630008
ERR1913041.15074__1.15074	1262924__R7HQS1__BN585_00657
ERR1913041.15135__1.15135	2292284__A0A374V9L1__DXC10_09375
ERR1913041.15178__1.15178	820__A0A3E4GA19__SAMN05444418_10562
ERR1913041.15746__1.15746	69974__A0A090FEL8__MPL3365_630008
ERR1913041.15805__1.15805	1263107__GCA_000436995.1_00069
ERR1913041.15818__1.15818	69974__A0A090FEL8__MPL3365_630008
ERR1913041.15891__1.15891	69974__A0A090FEL8__MPL3365_630008
ERR1913041.15921__1.15921	1262924__R7HQD9__BN585_00129
ERR1913041.16012__1.16012	33038__A0A2N5PKP1__CDL19_11275
ERR1913041.16061__1.16061	310298__B3JNR4__BACCOP_03579
ERR1913041.16336__1.16336	165179__A0A3E5DN34__DXC61_07865
ERR1913041.16338__1.16338	40518__R5DW64__RBL236_01394
ERR1913041.16475__1.16475	40518__R5DQJ0__DXD93_03790
ERR1913041.16486__1.16486	1262924__R7HQI4__BN585_00500
ERR1913041.16499__1.16499	69974__A0A090FEL8__MPL3365_630008
ERR1913041.16544__1.16544	28118__F9Z856__macA_2
ERR1913041.16606__1.16606	28117__R7JIY2__BHV66_06465
ERR1913041.16631__1.16631	165179__A0A3E5EAM5__DXC61_07785
ERR1913041.16713__1.16713	820__A0A3E5BMG9__DXD40_05130
ERR1913041.16725__1.16725	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913041.16893__1.16893	69974__A0A090FEL8__MPL3365_630008
ERR1913041.16902__1.16902	40518__R5DXH2__DXD83_10135
ERR1913041.16909__1.16909	165179__A0A229I6N7__DXC61_06720
ERR1913041.16911__1.16911	626933__H1DGX0__HMPREF9449_01506
ERR1913041.16949__1.16949	820__A0A078S4C2__ERS417307_00828
ERR1913041.16961__1.16961	69974__A0A090FEL8__MPL3365_630008
ERR1913041.16971__1.16971	69974__A0A090FEL8__MPL3365_630008
ERR1913041.16990__1.16990	410072__A0A174JCL9__tee6
ERR1913041.17060__1.17060	626933__H1DGX0__HMPREF9449_01506
ERR1913041.17250__1.17250	626933__H1DGX0__HMPREF9449_01506
ERR1913041.17263__1.17263	626933__H1DGX0__HMPREF9449_01506
ERR1913041.17337__1.17337	165179__A0A3E5EA43__DXC61_07775
ERR1913041.17445__1.17445	39488__C0ET55__tauA
ERR1913041.17564__1.17564	310298__B3JK97__BACCOP_02326
ERR1913041.17579__1.17579	69974__A0A090FEL8__MPL3365_630008
ERR1913041.17586__1.17586	410072__A0A173R660__ERS852389_00536
ERR1913041.17635__1.17635	69974__A0A090FEL8__MPL3365_630008
ERR1913041.17647__1.17647	28117__B0MT86__BHV66_02450
ERR1913041.17678__1.17678	28118__F9Z857__DER54_07670
ERR1913041.17739__1.17739	1262924__R7HTW2__BN585_00604
ERR1913041.17760__1.17760	165179__A0A3E5E920__DXB80_11625
ERR1913041.17969__1.17969	69974__A0A090FEL8__MPL3365_630008
ERR1913041.17989__1.17989	165179__A0A3E5DY64__CFT61_10025
ERR1913041.18034__1.18034	39485__C4Z685__EUBELI_20332
ERR1913041.18045__1.18045	487174__K0XRP0__DDY40_09260
ERR1913041.18162__1.18162	40518__R5DUU2__yvhJ_2
ERR1913041.18297__1.18297	820__A0A374Q854__HMPREF1073_03281
ERR1913041.18668__1.18668	39491__A0A0M6WNS5__DXC13_02015
ERR1913041.18694__1.18694	310298__B3JGL4__BACCOP_01016
ERR1913041.18700__1.18700	1262743__R5C054__BN727_01980
ERR1913041.18761__1.18761	820__A0A139KHD8__ERS417307_00569
ERR1913041.18794__1.18794	626933__H1DGX0__HMPREF9449_01506
ERR1913041.18828__1.18828	371601__D4WBK5__BN891_3970
ERR1913041.18928__1.18928	69974__A0A090FEL8__MPL3365_630008
ERR1913041.18917__1.18917	410072__A0A173YQW3__dtpT_1
ERR1913041.18953__1.18953	39491__A0A0M6WWT1__dus_2
ERR1913041.19079__1.19079	39491__A0A395ZDC6__addB
ERR1913041.19119__1.19119	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19130__1.19130	216816__A0A087BBV6__BFS26_06210
ERR1913041.19151__1.19151	626933__H1DGX0__HMPREF9449_01506
ERR1913041.19191__1.19191	487173__H1D2G6__HMPREF9453_01797
ERR1913041.19288__1.19288	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19291__1.19291	310298__B3JNH3__BACCOP_03486
ERR1913041.19295__1.19295	216816__A0A1S2VTC3__BLIC_e00847
ERR1913041.19534__1.19534	626933__H1DGX0__HMPREF9449_01506
ERR1913041.19591__1.19591	39491__A0A395ZKJ0__DXD13_11010
ERR1913041.19651__1.19651	487174__K0WV63__DIT83_11035
ERR1913041.19803__1.19803	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19820__1.19820	40518__R5E642__RBATCC27255_00729
ERR1913041.19822__1.19822	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19871__1.19871	39485__A0A174YNW2__cph2_3
ERR1913041.19908__1.19908	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.19955__1.19955	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19961__1.19961	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19999__1.19999	39491__A0A174EQV2__DXB69_10230
ERR1913041.20131__1.20131	418240__R7CJP2__cycB_1
ERR1913041.20323__1.20323	626933__H1DGX0__HMPREF9449_01506
ERR1913041.20440__1.20440	69974__A0A090FEL8__MPL3365_630008
ERR1913041.20478__1.20478	39485__C4Z6K2__ERS852490_00407
ERR1913041.20481__1.20481	39485__C4Z0T2__ykvU
ERR1913041.20487__1.20487	39491__C4ZCV5__DXB99_11855
ERR1913041.20673__1.20673	1680__A7A8N9__BBMN23_1271
ERR1913041.20702__1.20702	818__A0A139KDW2__HMPREF2534_02537
ERR1913041.20753__1.20753	69974__A0A090FEL8__MPL3365_630008
ERR1913041.20758__1.20758	165179__A0A3E5A554__DXB80_13805
ERR1913041.20849__1.20849	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913041.20904__1.20904	310298__B3JNG7__BACCOP_03480
ERR1913041.20908__1.20908	39485__A0A174ZA08__EUBELI_01019
ERR1913041.20924__1.20924	165179__D1PHC0__PREVCOP_06640
ERR1913041.20976__1.20976	821__A0A0P0M4G3__M099_3092
ERR1913041.21063__1.21063	410072__R6LKC9__ERS852525_01807
ERR1913041.21114__1.21114	204516__U6R7W5__HMPREF1534_03766
ERR1913041.21230__1.21230	1160721__W0U979__BHW50_09935
ERR1913041.21394__1.21394	626933__H1DGX0__HMPREF9449_01506
ERR1913041.21403__1.21403	69974__A0A090FEL8__MPL3365_630008
ERR1913041.21371__1.21371	28117__B0MTD2__ALIPUT_00428
ERR1913041.21457__1.21457	28117__R7JLL3__ALIPUT_02219
ERR1913041.21550__1.21550	39491__A0A395V397__EUR_09960
ERR1913041.21578__1.21578	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913041.21726__1.21726	853__A0A2A7B1Y7__C7K05_11930
ERR1913041.21733__1.21733	39485__C4Z069__EUBELI_00981
ERR1913041.21784__1.21784	165179__D1PHC0__PREVCOP_06640
ERR1913041.21800__1.21800	204516__U6RF58__HMPREF1534_02095
ERR1913041.21821__1.21821	204516__U6RFB2__HMPREF1534_01733
ERR1913041.21954__1.21954	40518__R5E7G3__DXD86_03405
ERR1913041.21966__1.21966	165179__A0A3E4SB95__DXC61_13455
ERR1913041.22025__1.22025	69974__A0A090FEL8__MPL3365_630008
ERR1913041.22006__1.22006	1160721__R6T5G2__RBI_II00076
ERR1913041.22044__1.22044	69974__A0A090FEL8__MPL3365_630008
ERR1913041.22089__1.22089	310298__B3JQL6__BACCOP_04252
ERR1913041.22114__1.22114	28116__C3QMW5__M089_4133
ERR1913041.22185__1.22185	820__A0A1Q6IDS8__chtA
ERR1913041.22202__1.22202	1323__A0A3E3E835__NCTC11087_00562
ERR1913041.22280__1.22280	1160721__W0U3Z9__RBI_I00543
ERR1913041.22335__1.22335	39491__A0A396FNP1__DXD95_06025
ERR1913041.22425__1.22425	39485__A0A174Z4K7__dosC_2
ERR1913041.22449__1.22449	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.22458__1.22458	165179__D1PGU8__PREVCOP_06463
ERR1913041.22589__1.22589	1150298__A0A174SLE6__mlc_1
ERR1913041.22615__1.22615	40518__R5E6Y7__DXD83_08230
ERR1913041.22621__1.22621	310298__B3JGL4__BACCOP_01016
ERR1913041.22668__1.22668	165179__D1PGU8__PREVCOP_06463
ERR1913041.22705__1.22705	165179__A0A3E5E8N5__DXC61_13460
ERR1913041.22763__1.22763	310298__B3JH76__BACCOP_01230
ERR1913041.22845__1.22845	69974__A0A090FEL8__MPL3365_630008
ERR1913041.22920__1.22920	165179__A0A3E5A5E5__DXC61_13965
ERR1913041.23011__1.23011	69974__A0A090FEL8__MPL3365_630008
ERR1913041.23125__1.23125	39485__A0A174Z4K7__dosC_2
ERR1913041.23338__1.23338	39485__C4Z1Y9__EUBELI_00143
ERR1913041.23525__1.23525	47678__A5ZBL9__C5Z00_18710
ERR1913041.23561__1.23561	69974__A0A090FEL8__MPL3365_630008
ERR1913041.23565__1.23565	301301__A0A395V6G4__ERS852391_00892
ERR1913041.23634__1.23634	40518__R5DZ88__DXD93_06320
ERR1913041.23605__1.23605	69974__A0A090FEL8__MPL3365_630008
ERR1913041.23703__1.23703	165179__D1PES9__DXB80_11585
ERR1913041.23688__1.23688	39492__D4MMN2__EUBSIR_00964
ERR1913041.23693__1.23693	28116__A0A1Y4PWN5__M088_3731
ERR1913041.23817__1.23817	69974__A0A090FEL8__MPL3365_630008
ERR1913041.23882__1.23882	69974__A0A090FEL8__MPL3365_630008
ERR1913041.23942__1.23942	165179__A0A174IPI3__CFT61_10940
ERR1913041.24008__1.24008	40518__R5E4X5__RB5AMG_01438
ERR1913041.24064__1.24064	626933__H1DGX0__HMPREF9449_01506
ERR1913041.24216__1.24216	820__A0A174Q0F0__DXB48_08080
ERR1913041.24230__1.24230	204516__U6R838__HMPREF1534_03867
ERR1913041.24306__1.24306	47678__R5U206__C5Z00_07065
ERR1913041.24325__1.24325	69974__A0A090FEL8__MPL3365_630008
ERR1913041.24367__1.24367	821__A0A174WBC9__ERS852556_03145
ERR1913041.24438__1.24438	1262924__R7HRF6__BN585_01735
ERR1913041.24514__1.24514	165179__D1PGU8__PREVCOP_06463
ERR1913041.24519__1.24519	853__A0A329UEG4__CHR60_00585
ERR1913041.24539__1.24539	69974__A0A090FEL8__MPL3365_630008
ERR1913041.24816__1.24816	40518__R5DZI2__DXD93_06940
ERR1913041.24853__1.24853	69974__A0A090FEL8__MPL3365_630008
ERR1913041.24929__1.24929	165179__A0A174SA26__PREVCOP_05758
ERR1913041.25035__1.25035	165179__D1PGU8__PREVCOP_06463
ERR1913041.25120__1.25120	310298__B3JFK6__BACCOP_00656
ERR1913041.25391__1.25391	69974__A0A090FEL8__MPL3365_630008
ERR1913041.25369__1.25369	165179__A0A3E5EA43__DXC61_07775
ERR1913041.25571__1.25571	821__A0A3E4KIM1__M097_3660
ERR1913041.25676__1.25676	310298__B3JFK6__BACCOP_00656
ERR1913041.25712__1.25712	40518__R5DWH8__DXD86_04530
ERR1913041.25738__1.25738	69974__A0A090FEL8__MPL3365_630008
ERR1913041.25801__1.25801	39488__A0A285PS10__ERS852578_00426
ERR1913041.25820__1.25820	626933__H1DGX0__HMPREF9449_01506
ERR1913041.25823__1.25823	165179__A0A3E5E8N5__DXC61_13460
ERR1913041.25847__1.25847	33038__A0A2N5Q1T9__ERS852409_01319
ERR1913041.25892__1.25892	69974__A0A090FEL8__MPL3365_630008
ERR1913041.25922__1.25922	69974__A0A090FEL8__MPL3365_630008
ERR1913041.25954__1.25954	1262992__R5CXM7__BN795_01016
ERR1913041.26002__1.26002	69974__A0A090FEL8__MPL3365_630008
ERR1913041.26107__1.26107	39485__R5ZSH7__EUBELI_00953
ERR1913041.26172__1.26172	216816__A0A0A6VPB9__B624_1780
ERR1913041.26221__1.26221	39485__C4Z0I4__ERS852492_00258
ERR1913041.26329__1.26329	204516__U6R9L2__HMPREF1534_03110
ERR1913041.26416__1.26416	301302__R5UKP4__cbiT
ERR1913041.26614__1.26614	40518__R5E4X5__RB5AMG_01438
ERR1913041.26660__1.26660	204516__U6R9E6__HMPREF1534_03149
ERR1913041.26675__1.26675	1262913__R7JJ84__BN646_02214
ERR1913041.26694__1.26694	310298__B3JFK6__BACCOP_00656
