ERR1913041.2__1.2	28116__F7LBW8__C5Z02_16055
ERR1913041.5648__1.5648	47678__A5ZL09__BACCAC_03608
ERR1913041.5752__1.5752	310298__B3JH75__BACCOP_01229
ERR1913041.5803__1.5803	2292284__A0A374V9L1__DXC10_09375
ERR1913041.5926__1.5926	39491__A0A174LTW7__DXD13_08720
ERR1913041.6016__1.6016	820__A0A174FUF0__HMPREF1073_03308
ERR1913041.6064__1.6064	69974__A0A090FEL8__MPL3365_630008
ERR1913041.6085__1.6085	626933__H1DGX0__HMPREF9449_01506
ERR1913041.6098__1.6098	487173__H1D020__HMPREF9453_00958
ERR1913041.6195__1.6195	204516__U6RNF5__HMPREF1534_00381
ERR1913041.6236__1.6236	39491__A0A395V0H3__ERS852417_01192
ERR1913041.6326__1.6326	69974__A0A090FEL8__MPL3365_630008
ERR1913041.6384__1.6384	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913041.6537__1.6537	165179__A0A229I443__DXB80_10950
ERR1913041.6555__1.6555	69974__A0A090FEL8__MPL3365_630008
ERR1913041.6556__1.6556	410072__C0B8G3__DXD67_01535
ERR1913041.6574__1.6574	1150298__A0A174SLE6__mlc_1
ERR1913041.6627__1.6627	47678__A5ZHL2__DXB67_12495
ERR1913041.6650__1.6650	165179__A0A229I3Z6__PREVCOP_03666
ERR1913041.6661__1.6661	626933__H1DGX0__HMPREF9449_01506
ERR1913041.6682__1.6682	69974__A0A090FEL8__MPL3365_630008
ERR1913041.6798__1.6798	39491__D6E2U1__EUBREC_3278
ERR1913041.7032__1.7032	410072__A0A174HCW3__ERS852574_00529
ERR1913041.7101__1.7101	165179__A0A3E5EAM5__DXC61_07785
ERR1913041.7071__1.7071	39485__A0A174ZQT9__EUBELI_20278
ERR1913041.7305__1.7305	820__R7E9Z4__DXC68_06065
ERR1913041.7338__1.7338	165179__D1PHC0__PREVCOP_06640
ERR1913041.7359__1.7359	69974__A0A090FEL8__MPL3365_630008
ERR1913041.7445__1.7445	216816__C2GTV2__BLIF_0674
ERR1913041.7494__1.7494	39485__A0A174YYW2__benM
ERR1913041.7563__1.7563	204516__U6RG10__HMPREF1534_02094
ERR1913041.7619__1.7619	39485__C4Z685__EUBELI_20332
ERR1913041.7644__1.7644	820__A0A174P0L5__glcK_3
ERR1913041.7759__1.7759	410072__A0A174B435__COPCOM_00497
ERR1913041.7765__1.7765	1262924__R7HNF7__BN585_01769
ERR1913041.7772__1.7772	165179__A0A3E4SID1__DXB80_01945
ERR1913041.7846__1.7846	40518__R5DNY7__RBATCC27255_00367
ERR1913041.7855__1.7855	165179__A0A3E5E4T9__DXB80_08030
ERR1913041.7880__1.7880	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8003__1.8003	418240__A0A173X9L0__ERS852523_01318
ERR1913041.8039__1.8039	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8165__1.8165	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8491__1.8491	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8498__1.8498	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8507__1.8507	69974__A0A090FEL8__MPL3365_630008
ERR1913041.8669__1.8669	487173__H1D1S1__HMPREF9453_01559
ERR1913041.8703__1.8703	165179__A0A229I4J4__proA
ERR1913041.8736__1.8736	821__A0A396F1N0__M099_1553
ERR1913041.8863__1.8863	40518__R5DYU1__DXD86_01160
ERR1913041.8908__1.8908	204516__U6REI9__HMPREF1534_02357
ERR1913041.8896__1.8896	853__A0A3E2V168__FAEPRAM212_00929
ERR1913041.8995__1.8995	310298__B3JN71__BACCOP_03383
ERR1913041.8947__1.8947	39492__D4JTG7__EUBSIR_00572
ERR1913041.9013__1.9013	410072__C0BF75__ERS852389_02248
ERR1913041.9037__1.9037	310298__B3JMG0__BACCOP_03099
ERR1913041.9108__1.9108	47678__R5U558__ERS852558_02232
ERR1913041.9149__1.9149	69974__A0A090FEL8__MPL3365_630008
ERR1913041.9177__1.9177	69974__A0A090FEL8__MPL3365_630008
ERR1913041.9186__1.9186	39491__A0A395ZHV7__ykvU
ERR1913041.9255__1.9255	61171__B9Y2N8__HOLDEFILI_00063
ERR1913041.9303__1.9303	165179__A0A3E5AAM8__DXB80_10240
ERR1913041.9397__1.9397	165179__D1PCL6__DXB80_13435
ERR1913041.9556__1.9556	69974__A0A090FEL8__MPL3365_630008
ERR1913041.9638__1.9638	853__A0A173XRA8__CGS56_09290
ERR1913041.9662__1.9662	821__A0A0P0LJ37__DXB82_14270
ERR1913041.9777__1.9777	116085__D4J6L8__DW747_08035
ERR1913041.9782__1.9782	69974__A0A090FEL8__MPL3365_630008
ERR1913041.9807__1.9807	853__D4KAK8__C4N21_13380
ERR1913041.9932__1.9932	165179__A0A3E5E8N5__DXC61_13460
ERR1913041.10016__1.10016	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913041.10068__1.10068	853__A0A173YYY4__DWZ04_09420
ERR1913041.10136__1.10136	204516__U6R7Y8__HMPREF1534_03942
ERR1913041.10152__1.10152	1855325__A0A1I2LW17__SAMN05216383_10133
ERR1913041.10208__1.10208	418240__A0A173YKG4__ycjO_4
ERR1913041.10183__1.10183	33033__A8SJ22__DYJ31_01615
ERR1913041.10288__1.10288	165179__A0A3E5A554__DXB80_13805
ERR1913041.10294__1.10294	47678__A5ZG68__ERS852494_02968
ERR1913041.10336__1.10336	1262992__R5D733__BN795_00375
ERR1913041.10436__1.10436	2108523__A0A2P2F314__LAWASA_362
ERR1913041.10538__1.10538	40518__R5E6N4__DXD93_01325
ERR1913041.10627__1.10627	39485__C4Z0R8__EUBELI_01181
ERR1913041.10635__1.10635	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913041.10642__1.10642	40520__A5ZTQ5__ERS852533_02495
ERR1913041.10733__1.10733	165179__A0A3E5DN34__DXC61_07865
ERR1913041.10755__1.10755	69974__A0A090FEL8__MPL3365_630008
ERR1913041.10794__1.10794	261299__W1UJR2__SAMN02745147_2714
ERR1913041.10835__1.10835	47678__R5U6B9__BACCAC_01372
ERR1913041.10886__1.10886	552398__F4XCQ4__HMPREF0866_01621
ERR1913041.10981__1.10981	820__A0A396EUV1__B5G17_06465
ERR1913041.10994__1.10994	301301__A0A395V3Q5__sufB
ERR1913041.11083__1.11083	28117__B0MUB4__BHV66_01895
ERR1913041.11089__1.11089	204516__U6RFU0__HMPREF1534_02545
ERR1913041.11176__1.11176	820__A0A078STJ8__DXC68_04690
ERR1913041.11199__1.11199	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913041.11260__1.11260	39485__R5ZHA7__ERS852490_00039
ERR1913041.11420__1.11420	165179__A0A3E5EA43__DXC61_07775
ERR1913041.11438__1.11438	165179__D1PHC0__PREVCOP_06640
ERR1913041.11502__1.11502	69974__A0A090FEL8__MPL3365_630008
ERR1913041.11534__1.11534	1262924__R7HQD9__BN585_00129
ERR1913041.11549__1.11549	310298__B3JQL6__BACCOP_04252
ERR1913041.11643__1.11643	39491__A0A395V1R3__T1815_08181
ERR1913041.11714__1.11714	1262924__R7HQB7__BN585_02057
ERR1913041.11745__1.11745	69974__A0A090FEL8__MPL3365_630008
ERR1913041.11798__1.11798	39485__A0A174ZAI7__outO
ERR1913041.11902__1.11902	69974__A0A090FEL8__MPL3365_630008
ERR1913041.11983__1.11983	69974__A0A090FEL8__MPL3365_630008
ERR1913041.12059__1.12059	1262924__R7HQX0__BN585_00307
ERR1913041.12077__1.12077	821__A0A395VLM8__BvMPK_3650
ERR1913041.12078__1.12078	1262924__R7HPU8__BN585_00010
ERR1913041.12191__1.12191	371601__D7IYQ1__BN890_32720
ERR1913041.12255__1.12255	165179__D1PES9__DXB80_11585
ERR1913041.12281__1.12281	69974__A0A090FEL8__MPL3365_630008
ERR1913041.12296__1.12296	1262924__R7HRT1__BN585_00630
ERR1913041.12327__1.12327	28117__B0MWP2__ALIPUT_01468
ERR1913041.12435__1.12435	165179__D1PHC0__PREVCOP_06640
ERR1913041.12443__1.12443	821__A0A0P0M2J4__DXD46_10295
ERR1913041.12582__1.12582	69974__A0A090FEL8__MPL3365_630008
ERR1913041.12586__1.12586	165179__A0A3E5AER8__DXB80_07075
ERR1913041.12731__1.12731	39485__R5ZSH7__EUBELI_00953
ERR1913041.12811__1.12811	39488__A0A374NNE4__ERS852450_02639
ERR1913041.12835__1.12835	39485__C4Z6B7__EUBELI_20364
ERR1913041.12930__1.12930	310298__B3JK99__BACCOP_02328
ERR1913041.12932__1.12932	487175__A0A3D4GD47__HMPREF9439_00714
ERR1913041.12979__1.12979	165179__D1PGU8__PREVCOP_06463
ERR1913041.13006__1.13006	165179__A0A3E5E8M8__DXB80_11580
ERR1913041.13206__1.13206	310298__B3JKM0__BACCOP_02451
ERR1913041.13348__1.13348	28117__B0MXR1__BHV66_08035
ERR1913041.13434__1.13434	28117__R7JN92__BHV66_00550
ERR1913041.13473__1.13473	1735__B7CCF2__EUBIFOR_01879
ERR1913041.13452__1.13452	853__A0A173YYY4__DWZ04_09420
ERR1913041.13511__1.13511	1284680__A0A095WRI2__HMPREF1627_06640
ERR1913041.13519__1.13519	310298__B3JK49__BACCOP_02273
ERR1913041.13539__1.13539	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.13767__1.13767	301302__A0A0M6W9I4__M72_19871
ERR1913041.13784__1.13784	1262924__R7HTA4__BN585_00391
ERR1913041.13795__1.13795	1262924__R7HTK4__BN585_00496
ERR1913041.13888__1.13888	39485__A0A174Z851__cdaR_1
ERR1913041.13889__1.13889	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913041.13986__1.13986	69974__A0A090FEL8__MPL3365_630008
ERR1913041.14049__1.14049	544645__A0A3E4T7C6__DXC42_09005
ERR1913041.14225__1.14225	626933__H1DGX0__HMPREF9449_01506
ERR1913041.14567__1.14567	69974__A0A090FEL8__MPL3365_630008
ERR1913041.14544__1.14544	1628085__A0A3E2XXJ5__C7386_10966
ERR1913041.14621__1.14621	853__A0A329UEG4__CHR60_00585
ERR1913041.14629__1.14629	165179__D1PGU8__PREVCOP_06463
ERR1913041.14666__1.14666	69974__A0A090FEL8__MPL3365_630008
ERR1913041.14671__1.14671	69974__A0A090FEL8__MPL3365_630008
ERR1913041.14809__1.14809	410072__A0A173R660__ERS852389_00536
ERR1913041.14922__1.14922	39488__A0A285PS10__ERS852578_00426
ERR1913041.15002__1.15002	69974__A0A090FEL8__MPL3365_630008
ERR1913041.15016__1.15016	626933__H1DGX0__HMPREF9449_01506
ERR1913041.15074__1.15074	1262924__R7HQS1__BN585_00657
ERR1913041.15100__1.15100	328814__GCA_004558275.1_01331
ERR1913041.15178__1.15178	820__A0A3E4GA19__SAMN05444418_10562
ERR1913041.15552__1.15552	626933__H1DGX0__HMPREF9449_01506
ERR1913041.15569__1.15569	216816__D6DBD5__DXC32_04335
ERR1913041.15609__1.15609	165179__A0A3E5A554__DXB80_13805
ERR1913041.15712__1.15712	40518__R5DPI9__DXD83_07375
ERR1913041.15746__1.15746	69974__A0A090FEL8__MPL3365_630008
ERR1913041.15921__1.15921	1262924__R7HQD9__BN585_00129
ERR1913041.15891__1.15891	69974__A0A090FEL8__MPL3365_630008
ERR1913041.15985__1.15985	821__C6ZAA5__ERS852556_00403
ERR1913041.16055__1.16055	39485__A0A174Z7G5__EUBELI_01168
ERR1913041.16249__1.16249	33038__A0A2N5NWR8__CDL18_14140
ERR1913041.16324__1.16324	1160721__W0U633__BHW50_00240
ERR1913041.16338__1.16338	40518__R5DW64__RBL236_01394
ERR1913041.16460__1.16460	165179__A0A3E5EAM5__DXC61_07785
ERR1913041.16486__1.16486	1262924__R7HQI4__BN585_00500
ERR1913041.16606__1.16606	28117__R7JIY2__BHV66_06465
ERR1913041.16631__1.16631	165179__A0A3E5EAM5__DXC61_07785
ERR1913041.16713__1.16713	820__A0A3E5BMG9__DXD40_05130
ERR1913041.16825__1.16825	39491__A0A395ZF49__DXB69_05290
ERR1913041.16902__1.16902	40518__R5DXH2__DXD83_10135
ERR1913041.16909__1.16909	165179__A0A229I6N7__DXC61_06720
ERR1913041.16949__1.16949	820__A0A078S4C2__ERS417307_00828
ERR1913041.16961__1.16961	69974__A0A090FEL8__MPL3365_630008
ERR1913041.16971__1.16971	69974__A0A090FEL8__MPL3365_630008
ERR1913041.16990__1.16990	410072__A0A174JCL9__tee6
ERR1913041.17016__1.17016	165179__A0A3E5DY64__CFT61_10025
ERR1913041.17242__1.17242	853__A0A173T8T3__DW882_06555
ERR1913041.17564__1.17564	310298__B3JK97__BACCOP_02326
ERR1913041.17579__1.17579	69974__A0A090FEL8__MPL3365_630008
ERR1913041.17586__1.17586	410072__A0A173R660__ERS852389_00536
ERR1913041.17609__1.17609	626933__H1DGX0__HMPREF9449_01506
ERR1913041.17635__1.17635	69974__A0A090FEL8__MPL3365_630008
ERR1913041.17760__1.17760	165179__A0A3E5E920__DXB80_11625
ERR1913041.17764__1.17764	69974__A0A090FEL8__MPL3365_630008
ERR1913041.17989__1.17989	165179__A0A3E5DY64__CFT61_10025
ERR1913041.18034__1.18034	39485__C4Z685__EUBELI_20332
ERR1913041.18045__1.18045	487174__K0XRP0__DDY40_09260
ERR1913041.18061__1.18061	853__A0A173T6P2__DWZ46_14595
ERR1913041.18162__1.18162	40518__R5DUU2__yvhJ_2
ERR1913041.18297__1.18297	820__A0A374Q854__HMPREF1073_03281
ERR1913041.18450__1.18450	384639__GCA_003096855.1_00995
ERR1913041.18488__1.18488	820__A0A3E4W980__M093_3873
ERR1913041.18543__1.18543	40518__R5E1J7__RBL236_02062
ERR1913041.18610__1.18610	69974__A0A090FEL8__MPL3365_630008
ERR1913041.18700__1.18700	1262743__R5C054__BN727_01980
ERR1913041.18746__1.18746	204516__U6RR96__HMPREF1534_00277
ERR1913041.18761__1.18761	820__A0A139KHD8__ERS417307_00569
ERR1913041.18828__1.18828	371601__D4WBK5__BN891_3970
ERR1913041.18911__1.18911	853__A0A329UEG4__CHR60_00585
ERR1913041.18912__1.18912	626933__H1DGX0__HMPREF9449_01506
ERR1913041.18917__1.18917	410072__A0A173YQW3__dtpT_1
ERR1913041.18928__1.18928	69974__A0A090FEL8__MPL3365_630008
ERR1913041.18953__1.18953	39491__A0A0M6WWT1__dus_2
ERR1913041.18980__1.18980	820__A0A3E4GA19__SAMN05444418_10562
ERR1913041.19079__1.19079	39491__A0A395ZDC6__addB
ERR1913041.19119__1.19119	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19130__1.19130	216816__A0A087BBV6__BFS26_06210
ERR1913041.19191__1.19191	487173__H1D2G6__HMPREF9453_01797
ERR1913041.19288__1.19288	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19291__1.19291	310298__B3JNH4__BACCOP_03487
ERR1913041.19295__1.19295	216816__A0A1S2VTC3__BLIC_e00847
ERR1913041.19300__1.19300	1297617__A0A2U1C1F3__BIV19_08285
ERR1913041.19410__1.19410	29361__B6FRT6__CLONEX_02860
ERR1913041.19591__1.19591	39491__A0A395ZKJ0__DXD13_11010
ERR1913041.19643__1.19643	1262993__R5CJC7__BN785_00469
ERR1913041.19651__1.19651	487174__K0WV63__DIT83_11035
ERR1913041.19803__1.19803	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19782__1.19782	216816__C5E8I1__yciB
ERR1913041.19822__1.19822	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19871__1.19871	39485__A0A174YNW2__cph2_3
ERR1913041.19908__1.19908	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.19914__1.19914	165179__A0A3E5A5E5__DXC61_13965
ERR1913041.19955__1.19955	69974__A0A090FEL8__MPL3365_630008
ERR1913041.19961__1.19961	69974__A0A090FEL8__MPL3365_630008
ERR1913041.20116__1.20116	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.20131__1.20131	418240__R7CJP2__cycB_1
ERR1913041.20337__1.20337	1262740__R7CVB2__BN666_01237
ERR1913041.20350__1.20350	165179__A0A3E5ED28__PREVCOP_06655
ERR1913041.20440__1.20440	69974__A0A090FEL8__MPL3365_630008
ERR1913041.20481__1.20481	39485__C4Z0T2__ykvU
ERR1913041.20487__1.20487	39491__C4ZCV5__DXB99_11855
ERR1913041.20673__1.20673	1680__A7A8N9__BBMN23_1271
ERR1913041.20753__1.20753	69974__A0A090FEL8__MPL3365_630008
ERR1913041.20758__1.20758	165179__A0A3E5A554__DXB80_13805
ERR1913041.20849__1.20849	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913041.20904__1.20904	310298__B3JNG7__BACCOP_03480
ERR1913041.20915__1.20915	69974__A0A090FEL8__MPL3365_630008
ERR1913041.20924__1.20924	165179__D1PHC0__PREVCOP_06640
ERR1913041.21034__1.21034	1262739__R6MJ86__BN659_00644
ERR1913041.21063__1.21063	410072__R6LKC9__ERS852525_01807
ERR1913041.21114__1.21114	204516__U6R7W5__HMPREF1534_03766
ERR1913041.21371__1.21371	28117__B0MTD2__ALIPUT_00428
ERR1913041.21403__1.21403	69974__A0A090FEL8__MPL3365_630008
ERR1913041.21457__1.21457	28117__R7JLL3__ALIPUT_02219
ERR1913041.21474__1.21474	1308__Q5M3L8__CW339_06600
ERR1913041.21550__1.21550	39491__A0A395V397__EUR_09960
ERR1913041.21657__1.21657	1262924__R7HTW9__BN585_00609
ERR1913041.21733__1.21733	39485__C4Z069__EUBELI_00981
ERR1913041.21784__1.21784	165179__D1PHC0__PREVCOP_06640
ERR1913041.21800__1.21800	204516__U6RF58__HMPREF1534_02095
ERR1913041.21954__1.21954	40518__R5E7G3__DXD86_03405
ERR1913041.22025__1.22025	69974__A0A090FEL8__MPL3365_630008
ERR1913041.22044__1.22044	69974__A0A090FEL8__MPL3365_630008
ERR1913041.22089__1.22089	310298__B3JQL6__BACCOP_04252
ERR1913041.22114__1.22114	28116__C3QMW5__M089_4133
ERR1913041.22161__1.22161	1262988__R7N4Z9__BN816_00543
ERR1913041.22185__1.22185	820__A0A1Q6IDS8__chtA
ERR1913041.22202__1.22202	1323__A0A3E3E835__NCTC11087_00562
ERR1913041.22280__1.22280	1160721__W0U3Z9__RBI_I00543
ERR1913041.22335__1.22335	39491__A0A396FNP1__DXD95_06025
ERR1913041.22425__1.22425	39485__A0A174Z4K7__dosC_2
ERR1913041.22449__1.22449	165179__A0A3E5AHY4__CFT61_07675
ERR1913041.22458__1.22458	165179__D1PGU8__PREVCOP_06463
ERR1913041.22589__1.22589	1150298__A0A174SLE6__mlc_1
ERR1913041.22615__1.22615	40518__R5E6Y7__DXD83_08230
ERR1913041.22668__1.22668	165179__D1PGU8__PREVCOP_06463
ERR1913041.22705__1.22705	165179__A0A3E5E8N5__DXC61_13460
ERR1913041.22763__1.22763	310298__B3JH76__BACCOP_01230
ERR1913041.22845__1.22845	69974__A0A090FEL8__MPL3365_630008
ERR1913041.22853__1.22853	649756__B0NWY4__blaR1_3
ERR1913041.22920__1.22920	165179__A0A3E5A5E5__DXC61_13965
ERR1913041.23011__1.23011	69974__A0A090FEL8__MPL3365_630008
ERR1913041.23125__1.23125	39485__A0A174Z4K7__dosC_2
ERR1913041.23221__1.23221	820__A0A174B4N2__M093_2531
ERR1913041.23525__1.23525	47678__A5ZBL9__C5Z00_18710
ERR1913041.23565__1.23565	301301__A0A395V6G4__ERS852391_00892
ERR1913041.23605__1.23605	69974__A0A090FEL8__MPL3365_630008
ERR1913041.23634__1.23634	40518__R5DZ88__DXD93_06320
ERR1913041.23688__1.23688	39492__D4MMN2__EUBSIR_00964
ERR1913041.23693__1.23693	28116__A0A1Y4PWN5__M088_3731
ERR1913041.23706__1.23706	626933__H1DGX0__HMPREF9449_01506
ERR1913041.23817__1.23817	69974__A0A090FEL8__MPL3365_630008
ERR1913041.23882__1.23882	69974__A0A090FEL8__MPL3365_630008
ERR1913041.24008__1.24008	40518__R5E4X5__RB5AMG_01438
ERR1913041.24022__1.24022	1160721__A0A1C6DCM8__RBI_I01997
ERR1913041.24087__1.24087	28118__R6FJY6__DF785_09470
ERR1913041.24159__1.24159	165179__A0A3E5EAM5__DXC61_07785
ERR1913041.24214__1.24214	165179__A0A3E5AER8__DXB80_07075
ERR1913041.24230__1.24230	204516__U6R838__HMPREF1534_03867
ERR1913041.24306__1.24306	47678__R5U206__C5Z00_07065
ERR1913041.24325__1.24325	69974__A0A090FEL8__MPL3365_630008
ERR1913041.24431__1.24431	39485__A0A174ZPH7__ERS852490_01992
ERR1913041.24438__1.24438	1262924__R7HRF6__BN585_01735
ERR1913041.24519__1.24519	853__A0A2A7B9I6__DW855_13690
ERR1913041.24689__1.24689	291645__I8WZT8__HMPREF1068_04327
ERR1913041.24758__1.24758	39491__A0A0M6WLC7__ERS852497_00640
ERR1913041.24816__1.24816	40518__R5DZI2__DXD93_06940
ERR1913041.24843__1.24843	40518__R5DPE0__DXD86_06515
ERR1913041.24853__1.24853	69974__A0A090FEL8__MPL3365_630008
ERR1913041.24939__1.24939	820__A0A3E5E9Y8__DXD90_09110
ERR1913041.25035__1.25035	165179__D1PGU8__PREVCOP_06463
ERR1913041.25120__1.25120	310298__B3JFK6__BACCOP_00656
ERR1913041.25378__1.25378	2108523__A0A2P2FC18__LAWASA_3564
ERR1913041.25391__1.25391	69974__A0A090FEL8__MPL3365_630008
ERR1913041.25442__1.25442	69974__A0A090FEL8__MPL3365_630008
ERR1913041.25566__1.25566	626933__H1DGX0__HMPREF9449_01506
ERR1913041.25571__1.25571	821__A0A3E4KIM1__M097_3660
ERR1913041.25668__1.25668	1965632__A0A1Y4A853__B5F91_11650
ERR1913041.25676__1.25676	310298__B3JFK6__BACCOP_00656
ERR1913041.25696__1.25696	39485__C4Z5L2__ERS852490_00659
