ERR1913314.38__1.38	28116__R6DIL2__DXD69_10970
ERR1913314.2715__1.2715	820__A0A3E4WCX3__C801_02709
ERR1913314.2680__1.2680	820__A0A139K0J1__HMPREF2141_03205
ERR1913314.2695__1.2695	820__A7V470__HMPREF1072_02076
ERR1913314.2697__1.2697	187327__G4Q2T1__ACDG_01978
ERR1913314.2831__1.2831	820__A7UYX8__DXD40_11635
ERR1913314.2985__1.2985	649756__D4MVS5__yxeP
ERR1913314.3190__1.3190	28116__C3QMW5__M089_4133
ERR1913314.3455__1.3455	820__A0A3E4QZJ7__C801_01798
ERR1913314.3517__1.3517	39491__C4ZHS4__EUR_24420
ERR1913314.3598__1.3598	820__A0A139K1Y6__DXB48_02610
ERR1913314.3715__1.3715	39491__C4ZHS4__EUR_24420
ERR1913314.3781__1.3781	626929__F3PLF5__HMPREF9445_03186
ERR1913314.3818__1.3818	292800__A0A174X5U4__B5F52_18190
ERR1913314.3951__1.3951	820__A0A139KHX1__HMPREF2141_00289
ERR1913314.4037__1.4037	40518__R5DZC6__mreC
ERR1913314.3998__1.3998	216816__C5E884__DXC74_09410
ERR1913314.4007__1.4007	817__A0A1C0WW19__macB_12
ERR1913314.4282__1.4282	39491__R6UMS6__DXD13_07035
ERR1913314.4328__1.4328	40518__R5E2U9__RBL263_01292
ERR1913314.4370__1.4370	820__A0A139KIL9__DXC68_05945
ERR1913314.4388__1.4388	28116__D7K7K3__SAMN05192581_103348
ERR1913314.4461__1.4461	823__A0A3E4P9U5__ERS852380_02719
ERR1913314.4555__1.4555	187327__G4Q5W9__ACDG_01996
ERR1913314.4706__1.4706	322505__xre_3
ERR1913314.4824__1.4824	487174__K0WY34__DDY40_07435
ERR1913314.4893__1.4893	218139__GCA_002259595.1_01049
ERR1913314.4941__1.4941	40518__A0A1Q6S5M1__DXD83_09325
ERR1913314.5196__1.5196	39491__D6E4H2__DXB99_00485
ERR1913314.5324__1.5324	40518__R5DX93__DXD93_03055
ERR1913314.5526__1.5526	246787__A0A0P0GMR5__HMPREF1062_04678
ERR1913314.5824__1.5824	40518__R5E6X5__sbcD
ERR1913314.5891__1.5891	40520__A0A396FY90__DXB81_01030
ERR1913314.5876__1.5876	820__A0A174CG08__DXB62_13215
ERR1913314.5971__1.5971	28116__I9ST00__M088_5588
ERR1913314.6091__1.6091	28117__B0MWX3__BHV66_03010
ERR1913314.6143__1.6143	1780376__A0A143XCS5__resA_1
ERR1913314.6223__1.6223	820__I9TWZ7__DXC80_10550
ERR1913314.6172__1.6172	820__A0A174R952__DXB48_02570
ERR1913314.6339__1.6339	147206__GCF_000156215.1_01776
ERR1913314.6565__1.6565	28116__C3QVY2__SAMN05444282_12234
ERR1913314.6713__1.6713	40518__R5E175__RB5AMG_00757
ERR1913314.6835__1.6835	820__A0A139JV05__B5G17_18125
ERR1913314.6846__1.6846	1680__A7A7Z9__AAX71_05385
ERR1913314.7070__1.7070	820__A0A3E4G2R7__DXC07_00510
ERR1913314.7091__1.7091	556259__E5C638__BSGG_0201
ERR1913314.7260__1.7260	187327__G4Q2J4__Acin_1428
ERR1913314.7283__1.7283	301302__A0A0M6WH46__M72_23101
ERR1913314.7339__1.7339	820__A0A174NUS8__DXC80_12885
ERR1913314.7470__1.7470	1628085__A0A3E2XRQ2__C7386_10552
ERR1913314.7489__1.7489	28116__A7LXT7__HMPREF1070_00356
ERR1913314.7798__1.7798	820__A0A3E4WCC2__lptB_1
ERR1913314.7842__1.7842	820__A0A3E4W984__pssA
ERR1913314.7922__1.7922	187327__R6M966__Acin_0193
ERR1913314.7976__1.7976	820__A0A3E4FWC8__DXC91_14635
ERR1913314.8144__1.8144	1776081__A0A1B8WTY1__A0U42_10185
ERR1913314.8224__1.8224	301302__R5USI9__prsA3
ERR1913314.8267__1.8267	1262869__R7CS43__BN625_00206
ERR1913314.8297__1.8297	821__D4VD59__BHV80_04260
ERR1913314.8329__1.8329	292800__G9YUU2__ERS852518_01397
ERR1913314.8416__1.8416	820__A0A396EUU8__luxQ_3
ERR1913314.8476__1.8476	28118__F9Z751__DHW44_02965
ERR1913314.8559__1.8559	187327__G4Q682__Acin_1672
ERR1913314.8532__1.8532	301302__A0A173T8V6__ERS852420_01966
ERR1913314.8624__1.8624	820__A7V470__HMPREF1072_02076
ERR1913314.8638__1.8638	47678__R5U332__C5Z00_16810
ERR1913314.8666__1.8666	821__A0A174JYD3__ERS852457_02610
ERR1913314.8768__1.8768	216816__C2GTH2__CE159_03580
ERR1913314.8945__1.8945	1680__A0A173XYA2__B0703_0121
ERR1913314.9091__1.9091	292800__A0A174P338__HMPREF0372_00533
ERR1913314.9244__1.9244	626929__R6LKK1__B5F24_07400
ERR1913314.9287__1.9287	216816__D6DBD5__DXC32_04335
ERR1913314.9301__1.9301	821__A0A173XDD3__DXB82_17180
ERR1913314.9387__1.9387	246787__A0A0P0GUU5__BACCELL_02894
ERR1913314.9519__1.9519	821__A0A395UNT8__DXD64_15275
ERR1913314.9610__1.9610	1680__A0A087DHN0__AL0462_1532
ERR1913314.9636__1.9636	820__A0A3E4G3J9__ERS852459_02265
ERR1913314.9660__1.9660	40518__R5DTJ1__DXD86_03635
ERR1913314.9752__1.9752	1776081__A0A1B8WVE2__A0U42_07925
ERR1913314.9809__1.9809	820__A0A174TRB5__DXD40_11305
ERR1913314.9912__1.9912	371601__A0A1H4GP73__B5E50_17960
ERR1913314.9878__1.9878	821__A0A0P0M2J4__DXD46_10295
ERR1913314.10070__1.10070	28116__F7LBW8__C5Z02_16055
ERR1913314.10075__1.10075	246787__I8V2S2__BACCELL_02524
ERR1913314.10077__1.10077	28116__F7LC60__AA414_00422
ERR1913314.10048__1.10048	820__A0A173W419__DXC68_17760
ERR1913314.10159__1.10159	820__A0A173W419__DXC68_17760
ERR1913314.10217__1.10217	821__I9R3W6__DXC16_12455
ERR1913314.10297__1.10297	187327__G4Q6Y0__ACDG_01211
ERR1913314.10306__1.10306	820__A7V470__HMPREF1072_02076
ERR1913314.10448__1.10448	1160721__W0U4N3__BHW50_05270
ERR1913314.10567__1.10567	1776081__A0A1B8WT97__A0U42_11360
ERR1913314.10586__1.10586	28116__I9ST00__M088_5588
ERR1913314.10690__1.10690	820__A0A3E4G2R7__DXC07_00510
ERR1913314.10696__1.10696	216816__C2GSX7__DD678_03555
ERR1913314.10635__1.10635	28116__A7LS02__DXF98_24100
ERR1913314.10733__1.10733	823__A0A355XJ56__DDY96_07685
ERR1913314.10743__1.10743	1235835__R9LCU2__C814_02677
ERR1913314.10804__1.10804	820__A0A1Y3V743__M093_0235
ERR1913314.10879__1.10879	328813__A0A1Y3QVP6__B5G41_04655
ERR1913314.10982__1.10982	820__A0A174QLF0__SAMN05444418_109151
ERR1913314.10961__1.10961	820__A0A173YYG4__evgS_3
ERR1913314.11014__1.11014	187327__R6MEG4__Acin_2254
ERR1913314.11125__1.11125	292800__A0A174VL30__A4U99_16555
ERR1913314.11187__1.11187	40518__R5DNI6__RBATCC27255_00844
ERR1913314.11234__1.11234	821__A0A395UNT8__DXD64_15275
ERR1913314.11306__1.11306	28116__A0A1G6G9R4__CUY_0131
ERR1913314.11495__1.11495	216816__A0A0A6VPB9__B624_1780
ERR1913314.11499__1.11499	820__A0A3E4W4Y7__B5G17_02055
ERR1913314.11589__1.11589	40518__R5DUU0__DXD93_03985
ERR1913314.11551__1.11551	820__A0A3E4W084__BACUNI_04042
ERR1913314.11621__1.11621	169435__A0A174S5K6__DXC40_15865
ERR1913314.11687__1.11687	820__A0A174M9V5__M093_0237
ERR1913314.11869__1.11869	821__A0A173XDD3__DXB82_17180
ERR1913314.11902__1.11902	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913314.11936__1.11936	301302__A0A0M6WBZ5__spr
ERR1913314.11966__1.11966	187327__G4Q527__Acin_0776
ERR1913314.12081__1.12081	187327__G4Q2R6__Acin_2204
ERR1913314.12167__1.12167	28116__I9ST00__M088_5588
ERR1913314.12456__1.12456	820__A0A139KIL9__DXC68_05945
ERR1913314.12493__1.12493	28116__A0A1Y4Q119__DXD69_10975
ERR1913314.12505__1.12505	820__A0A1T4IYF4__mprA_1
ERR1913314.12546__1.12546	187327__G4Q3Q9__pth
ERR1913314.12598__1.12598	40518__R5DZB3__RB5AMG_01719
ERR1913314.12724__1.12724	40518__R5E6T5__DXD86_02820
ERR1913314.12839__1.12839	821__A0A0P0LQT3__DXC03_05050
ERR1913314.12931__1.12931	28116__A0A078QF71__HMPREF1070_01231
ERR1913314.13074__1.13074	47678__R5UTE7__DXB67_12885
ERR1913314.13121__1.13121	40518__R5DS23__DXD86_01715
ERR1913314.13126__1.13126	1628085__A0A374VKR8__C7386_1272
ERR1913314.13321__1.13321	2108523__A0A2P2F7Y8__LAWASA_2127
ERR1913314.13325__1.13325	47678__R5U558__ERS852558_02232
ERR1913314.13258__1.13258	169435__A0A174RBD8__B5F11_10360
ERR1913314.13396__1.13396	301302__R5VBR7__phoR_11
ERR1913314.13432__1.13432	301302__A0A0M6W9H8__M72_19621
ERR1913314.13433__1.13433	821__A0A3E4XY72__NCTC10583_01067
ERR1913314.13457__1.13457	187327__G4Q445__Acin_0599
ERR1913314.13587__1.13587	820__A7V9F9__B5G17_14640
ERR1913314.13585__1.13585	823__C7XA51__BDI_0499
ERR1913314.13629__1.13629	820__A0A3E4PYB0__yejM
ERR1913314.13688__1.13688	246787__A0A0P0GV75__HMPREF1062_00095
ERR1913314.13708__1.13708	301301__A0A395VD41__RHOM_11540
ERR1913314.13714__1.13714	820__A0A174A6K0__M093_0079
ERR1913314.13748__1.13748	820__A0A374Q4X1__HMPREF2141_02370
ERR1913314.13971__1.13971	1550024__A0A3B9WI73__ASJ35_03410
ERR1913314.13997__1.13997	28052__A0A174Z0G5__ERS852499_01843
ERR1913314.14176__1.14176	820__A0A174EV88__HMPREF1072_01427
ERR1913314.14220__1.14220	626929__F3PE78__B5F97_05415
ERR1913314.14266__1.14266	187327__G4Q682__Acin_1672
ERR1913314.14276__1.14276	820__A7VAS1__HMPREF2141_03259
ERR1913314.14281__1.14281	28116__A7LS06__HMPREF2532_04668
ERR1913314.14303__1.14303	39486__B0G542__DXB36_08545
ERR1913314.14321__1.14321	187327__G4Q6A3__ACDG_01732
ERR1913314.14400__1.14400	820__A0A174I980__gldH
ERR1913314.14403__1.14403	820__A0A3E4G826__C801_01612
ERR1913314.14571__1.14571	818__A0A0P0FSA3__ERS852557_00283
ERR1913314.14590__1.14590	820__A0A3E4XDK3__ERS852554_03650
ERR1913314.14597__1.14597	820__A0A3E4VZY4__ERS852554_01211
ERR1913314.14615__1.14615	457421__C5ERC0__CBFG_04276
ERR1913314.14639__1.14639	1680__A0A174BEE7__BSTER_1311
ERR1913314.14689__1.14689	818__A0A3E5HGB5__ERS852511_02145
ERR1913314.14712__1.14712	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913314.14786__1.14786	301302__A0A0M6X038__M72_18501
ERR1913314.14872__1.14872	40520__R7DD01__ERS852533_01371
ERR1913314.14951__1.14951	821__A0A174NM17__lacZ_6
ERR1913314.14952__1.14952	1150298__A0A173ZYU8__sipT_2
ERR1913314.14986__1.14986	820__A0A3E4QZJ7__C801_01798
ERR1913314.14974__1.14974	1160721__R6T3X1__BHW50_03685
ERR1913314.15049__1.15049	384639__GCA_003096855.1_01617
ERR1913314.15064__1.15064	820__A0A174CG08__DXB62_13215
ERR1913314.15101__1.15101	820__A0A3E4W084__BACUNI_04042
ERR1913314.15158__1.15158	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913314.15338__1.15338	28116__E5C458__BACOV975_02730
ERR1913314.15416__1.15416	820__A0A1T4IY80__ERS852554_01621
ERR1913314.15519__1.15519	820__A0A173YYG4__evgS_3
ERR1913314.15543__1.15543	1680__A7A2Y2__NCTC11814_00537
ERR1913314.15662__1.15662	47678__R5U2I4__ERS852558_03712
ERR1913314.15679__1.15679	187327__G4Q6Y0__ACDG_01211
ERR1913314.15701__1.15701	820__A0A139KH21__DXC80_01780
ERR1913314.15831__1.15831	310298__B3JFI7__BACCOP_00636
ERR1913314.15809__1.15809	820__A0A396EXA7__DXB37_15530
ERR1913314.15895__1.15895	820__A0A174DZ97__SAMN05444418_101240
ERR1913314.16008__1.16008	820__A0A3E4XDK3__ERS852554_03650
ERR1913314.16091__1.16091	820__A0A078S569__gmhB
ERR1913314.16094__1.16094	820__A0A3E5E0T0__ERS852554_00312
ERR1913314.16126__1.16126	187327__G4Q682__Acin_1672
ERR1913314.16163__1.16163	74426__sigA
ERR1913314.16149__1.16149	39491__A0A395ZHW3__ERS852417_01359
ERR1913314.16233__1.16233	187327__G4Q2J7__ACDG_01693
ERR1913314.16341__1.16341	187327__G4Q4X9__ACDG_00100
ERR1913314.16427__1.16427	649756__A0A173SZT9__ptsG_1
ERR1913314.16486__1.16486	187327__G4Q4A5__ACDG_01070
ERR1913314.16501__1.16501	187327__G4Q5C7__Acin_2105
ERR1913314.16553__1.16553	820__A0A139KHD8__ERS417307_00569
ERR1913314.16555__1.16555	820__A0A174TRB5__DXD40_11305
ERR1913314.16557__1.16557	820__A0A3E4G826__C801_01612
ERR1913314.16678__1.16678	187327__G4Q682__Acin_1672
ERR1913314.16748__1.16748	1501392__A0A0B2JM79__PU94_06970
ERR1913314.16809__1.16809	246787__A0A3D6AWM8__BACCELL_01963
ERR1913314.16820__1.16820	649756__R5Z9G3__ERS852571_02234
ERR1913314.16879__1.16879	187327__G4Q2M9__ACDG_01875
ERR1913314.16906__1.16906	39488__A0A285Q0V4__paaK_1
ERR1913314.16996__1.16996	28026__A0A072MUU6__DXD87_08375
ERR1913314.17125__1.17125	820__A0A174GYA8__DXB64_07370
ERR1913314.17167__1.17167	40518__R5DUG7__sbcC
ERR1913314.17205__1.17205	820__A0A174A6K0__M093_0079
ERR1913314.17331__1.17331	28117__R7JLL3__ALIPUT_02219
ERR1913314.17445__1.17445	820__A0A174QT76__B5G17_18060
ERR1913314.17519__1.17519	820__A0A3E4W7J3__DXC07_00330
ERR1913314.17685__1.17685	28117__R7JJM9__ALIPUT_00662
ERR1913314.17773__1.17773	1304__J7TW34__msbA
ERR1913314.17777__1.17777	214856__R5UN64__ERS852447_02669
ERR1913314.17892__1.17892	187327__G4Q785__oadA
ERR1913314.17965__1.17965	46506__B0NTR7__AA415_02733
ERR1913314.17971__1.17971	187327__G4Q682__Acin_1672
ERR1913314.17994__1.17994	74426__rpoC
ERR1913314.18002__1.18002	371601__A0A1H3XPY7__CW1_0993
ERR1913314.18114__1.18114	28117__B0MXU0__BHV66_07550
ERR1913314.18290__1.18290	187327__G4Q4X9__ACDG_00100
ERR1913314.18315__1.18315	823__A6L930__DDY96_14995
ERR1913314.18388__1.18388	1550024__G9RP65__ASJ35_11645
ERR1913314.18461__1.18461	169435__A0A174RH98__ERS852551_02114
ERR1913314.18865__1.18865	820__A0A3E4WA06__ERS852554_03404
ERR1913314.18894__1.18894	47678__A5ZI88__BACCAC_02617
ERR1913314.18896__1.18896	28117__R7JJM9__ALIPUT_00662
ERR1913314.18901__1.18901	820__R9HP61__DXC91_01090
ERR1913314.19064__1.19064	28116__F7LC60__AA414_00422
ERR1913314.19059__1.19059	39492__D4JR04__phoU
ERR1913314.19119__1.19119	357276__A0A0K2HDP3__IY41_00705
ERR1913314.19162__1.19162	39491__C4ZF05__vpr
ERR1913314.19268__1.19268	74426__rpoC
ERR1913314.19300__1.19300	169435__B0P8N8__ERS852551_00085
ERR1913314.19394__1.19394	820__A0A174F0C1__nreB
ERR1913314.19409__1.19409	187327__G4Q3B5__arcB
ERR1913314.19420__1.19420	821__I9R3W6__DXC16_12455
ERR1913314.19547__1.19547	823__A0A174DZM1__DDY96_10310
ERR1913314.19562__1.19562	820__A0A3E4G8F8__ERS852421_01645
ERR1913314.19661__1.19661	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913314.19671__1.19671	187327__G4Q4K5__ACDG_01054
ERR1913314.19976__1.19976	40518__R5E6Y7__DXD83_08230
ERR1913314.20038__1.20038	28117__B0MXU6__ALIPUT_01958
ERR1913314.20073__1.20073	1680__A7A7Z9__AAX71_05385
ERR1913314.20107__1.20107	821__A0A174TD86__C800_00949
ERR1913314.20111__1.20111	820__A0A3E4RU03__M093_0563
ERR1913314.20125__1.20125	820__A0A3E4WA06__ERS852554_03404
ERR1913314.20400__1.20400	821__C6ZAA5__ERS852556_00403
ERR1913314.20443__1.20443	572010__nifJ
ERR1913314.20478__1.20478	28116__A0A1Y4Q112__evgS_13
ERR1913314.20539__1.20539	820__A0A1Q6IDS8__chtA
ERR1913314.20614__1.20614	74426__purL
ERR1913314.20608__1.20608	187327__G4Q682__Acin_1672
ERR1913314.20691__1.20691	74426__rpoC
ERR1913314.20779__1.20779	40520__A5ZN83__DXC87_06350
ERR1913314.20803__1.20803	820__A0A3E4RUC4__DHU98_02635
ERR1913314.20941__1.20941	487174__K0X591__DDY40_01805
ERR1913314.20996__1.20996	1628085__A0A3E2Y053__C7386_101394
ERR1913314.21278__1.21278	626929__F3PIN4__SAMN05444376_2010
ERR1913314.21285__1.21285	626929__F3PM30__HMPREF9445_02927
ERR1913314.21293__1.21293	28116__A0A3D2LWY1__ERS852555_01619
ERR1913314.21328__1.21328	328813__A0A1Y3QQH7__B5G41_13925
ERR1913314.21348__1.21348	820__A0A174CK74__DXB48_07060
ERR1913314.21349__1.21349	187327__G4Q2R6__Acin_2204
ERR1913314.21424__1.21424	40518__R5E5W1__RBL263_01034
ERR1913314.21454__1.21454	28116__A0A1G8P076__AA414_01051
ERR1913314.21472__1.21472	1680__A0A0C2VBJ4__birA
ERR1913314.21477__1.21477	649756__B0NZZ8__DO83_09740
ERR1913314.21507__1.21507	820__A0A173YYG4__evgS_3
ERR1913314.21523__1.21523	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913314.21632__1.21632	471189__GCA_003340385.1_00413
ERR1913314.21970__1.21970	40518__R5DZI2__DXD93_06940
ERR1913314.21996__1.21996	818__A0A174L0X1__NCTC10582_00394
ERR1913314.22002__1.22002	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913314.22015__1.22015	649756__B0P476__ERS852475_00941
ERR1913314.22023__1.22023	820__A0A174TRB5__DXD40_11305
ERR1913314.22049__1.22049	1680__A0A1E7Y0K2__DXC59_05185
ERR1913314.22102__1.22102	39491__D6DXZ8__DXB72_15035
ERR1913314.22239__1.22239	187327__G4Q864__plsC
ERR1913314.22297__1.22297	821__D4V4X2__DXC16_18525
ERR1913314.22311__1.22311	187327__G4Q682__Acin_1672
ERR1913314.22316__1.22316	187327__G4Q8Z0__Acin_0446
ERR1913314.22325__1.22325	40518__R5DX93__DXD93_03055
ERR1913314.22336__1.22336	556259__I0PYM3__BSGG_5385
ERR1913314.22423__1.22423	187327__G4Q2V4__Acin_1541
ERR1913314.22512__1.22512	28117__B0MXG8__ALIPUT_01814
ERR1913314.22574__1.22574	187327__G4Q5J0__apbA
ERR1913314.22608__1.22608	1263107__GCA_000436995.1_00213
ERR1913314.22736__1.22736	338188__A0A174ETX3__ERS852397_01955
ERR1913314.22871__1.22871	1680__A0A076JM61__DXD63_05245
ERR1913314.22876__1.22876	28117__R7JIJ8__BHV66_01635
ERR1913314.23048__1.23048	214856__I3YMB7__Alfi_1811
ERR1913314.23106__1.23106	187327__G4Q3H7__Acin_1761
ERR1913314.23259__1.23259	39491__A0A396FSR4__ERS852580_02287
ERR1913314.23263__1.23263	39496__A5Z3N1__EUBVEN_00277
ERR1913314.23309__1.23309	187327__G4Q3P2__ACDG_00349
ERR1913314.23400__1.23400	47678__R5U7P3__DXB67_08985
ERR1913314.23426__1.23426	28116__A0A139L6N6__HMPREF2532_02529
ERR1913314.23526__1.23526	28117__B0MY45__ALIPUT_02164
ERR1913314.23545__1.23545	1099853__G9S562__NSB1T_00535
ERR1913314.23661__1.23661	1304__F8LHY7__pspA_6
ERR1913314.23767__1.23767	820__A0A174M9V5__M093_0237
ERR1913314.23879__1.23879	820__A0A3E4W4Y7__B5G17_02055
ERR1913314.23943__1.23943	39488__A0A174IFL3__DXD91_00270
ERR1913314.24101__1.24101	40518__R5E426__DXD93_04485
ERR1913314.24136__1.24136	820__A0A173YYG4__evgS_3
ERR1913314.24253__1.24253	74426__sugC
ERR1913314.24309__1.24309	40518__R5E1J7__RBL236_02062
ERR1913314.24488__1.24488	47678__R5UU99__C5Z00_11925
ERR1913314.24540__1.24540	820__A0A3E4XM43__DXC91_13960
ERR1913314.24587__1.24587	1680__A0A174BEE7__BSTER_1311
ERR1913314.24638__1.24638	40518__R5DU38__DXD83_06770
ERR1913314.24704__1.24704	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913314.24869__1.24869	357276__I9QBT7__BSEG_03340
ERR1913314.24912__1.24912	820__A0A174F0C1__nreB
ERR1913314.24984__1.24984	820__A7V470__HMPREF1072_02076
ERR1913314.25217__1.25217	626929__F3PL44__SAMN05444376_0934
ERR1913314.25238__1.25238	626929__F3PLF4__HMPREF9445_03185
ERR1913314.25244__1.25244	552398__F4XCQ4__HMPREF0866_01621
ERR1913314.25346__1.25346	821__A0A0P0M405__DXC02_15075
ERR1913314.25513__1.25513	572010__aspS
ERR1913314.25514__1.25514	1150298__A0A174IG30__ERS852535_01135
ERR1913314.25777__1.25777	39488__C0EY66__prkC_1
ERR1913314.25861__1.25861	187327__G4Q7A0__ACDG_00618
ERR1913314.25880__1.25880	820__A0A174CG08__DXB62_13215
ERR1913314.25890__1.25890	821__A0A396F1N0__M099_1553
ERR1913314.25901__1.25901	28116__A7LYG5__M089_5828
ERR1913314.25911__1.25911	187327__G4Q682__Acin_1672
ERR1913314.25920__1.25920	1262869__R7CS48__BN625_00249
ERR1913314.25969__1.25969	1550024__G9RUM6__TQ39_16565
ERR1913314.26009__1.26009	572010__fusA
ERR1913314.26013__1.26013	28116__A0A3E5HUC8__DHW41_21025
ERR1913314.26235__1.26235	820__E5VA63__DXC80_01025
ERR1913314.26277__1.26277	292800__A0A174V3E4__ydgI
ERR1913314.26318__1.26318	292800__A0A174SE17__dppA_5
ERR1913314.26497__1.26497	310298__B3JII2__BACCOP_01694
ERR1913314.26547__1.26547	572010__group_1977
ERR1913314.26580__1.26580	821__A0A174JYD3__ERS852457_02610
ERR1913314.26613__1.26613	28116__A0A3E5HUC8__DHW41_21025
ERR1913314.26698__1.26698	820__A0A174EV88__HMPREF1072_01427
ERR1913314.26731__1.26731	39491__A0A396FM36__DXB99_00820
ERR1913314.26860__1.26860	28116__E5C3S2__HMPREF1070_02476
ERR1913314.26830__1.26830	820__I9A4U7__DHU98_12785
ERR1913314.26883__1.26883	187327__G4Q2M9__ACDG_01875
ERR1913314.27099__1.27099	820__A0A174TRB5__DXD40_11305
ERR1913314.27194__1.27194	47678__R5UT79__ERS852558_03890
ERR1913314.27209__1.27209	28052__A0A174M373__speA_2
ERR1913314.27378__1.27378	820__R7E9Z4__DXC68_06065
ERR1913314.27349__1.27349	2108523__A0A2P2F8A7__LAWASA_2275
ERR1913314.27487__1.27487	1262743__R5C054__BN727_01980
ERR1913314.27538__1.27538	820__A0A173YYG4__evgS_3
ERR1913314.27645__1.27645	556259__I0PYM3__BSGG_5385
ERR1913314.27655__1.27655	28117__B0MY40__BHV66_05170
ERR1913314.27751__1.27751	820__A7V470__HMPREF1072_02076
ERR1913314.27803__1.27803	823__A0A174XJM9__CEQ22_007230
ERR1913314.27852__1.27852	40518__R5DME2__DXD86_07315
ERR1913314.27940__1.27940	1150298__A0A174HEB6__ypdC_2
ERR1913314.27954__1.27954	28116__A7M344__BACOV975_04644
ERR1913314.27992__1.27992	487174__K0XES7__HMPREF9448_00566
ERR1913314.28145__1.28145	820__A0A396EUU8__luxQ_3
ERR1913314.28155__1.28155	187327__G4Q4X8__ACDG_00099
ERR1913314.28294__1.28294	187327__G4Q682__Acin_1672
ERR1913314.28226__1.28226	820__A0A3E4RU03__M093_0563
ERR1913314.28237__1.28237	28117__B0MWP2__ALIPUT_01468
ERR1913314.28238__1.28238	239935__A0A2N8HT68__ADH72_00510
ERR1913314.28363__1.28363	820__A0A139KIL9__DXC68_05945
ERR1913314.28377__1.28377	40518__R5E1X3__clcA
ERR1913314.28545__1.28545	40518__R5DWQ2__DXD93_03810
ERR1913314.28549__1.28549	821__I9R3W6__DXC16_12455
ERR1913314.28711__1.28711	820__A0A139KEW8__DXB64_06405
ERR1913314.28746__1.28746	821__A0A397WGD6__M098_0084
ERR1913314.28773__1.28773	187327__G4Q590__Acin_2065
ERR1913314.28794__1.28794	28117__B0MUT8__ALIPUT_00879
ERR1913314.28854__1.28854	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913314.28859__1.28859	821__A0A0P0M2J4__DXD46_10295
