ERR1913154.149__1.149	328814__GCA_004558275.1_00079
ERR1913154.14502__1.14502	74426__argF
ERR1913154.14590__1.14590	39488__A0A173SK21__EUBHAL_00799
ERR1913154.14616__1.14616	40520__R7D6X4__addA
ERR1913154.15120__1.15120	1262886__R6QS75__BN563_01599
ERR1913154.15148__1.15148	33043__A0A173WZE5__ERS852386_00374
ERR1913154.15234__1.15234	1262911__R6H2J2__BN557_01228
ERR1913154.15337__1.15337	28117__B0MUL5__ALIPUT_00722
ERR1913154.15588__1.15588	40518__R5DUU2__yvhJ_2
ERR1913154.15598__1.15598	360807__A0A173UCM1__RIL183_07511
ERR1913154.15712__1.15712	46228__V8CE19__DXD17_01950
ERR1913154.15779__1.15779	46503__K5ZAK9__NCTC13052_03308
ERR1913154.15794__1.15794	360807__C0G083__ROSEINA2194_04432
ERR1913154.15836__1.15836	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913154.15927__1.15927	556259__I0PXW0__BSGG_5187
ERR1913154.15933__1.15933	239935__A0A2N8I390__CXU16_10675
ERR1913154.16013__1.16013	818__R7KZF1__C5Z03_07410
ERR1913154.16014__1.16014	418240__A0A174FWP2__ERS852478_02093
ERR1913154.16032__1.16032	823__D0TJX4__M095_1560
ERR1913154.16097__1.16097	572010__nifJ
ERR1913154.16228__1.16228	40518__R5E1J2__DXD93_04070
ERR1913154.16473__1.16473	1262911__R6GT12__BN557_01070
ERR1913154.16492__1.16492	239935__A0A2N8HZW2__A4V05_11120
ERR1913154.16522__1.16522	239935__A0A2N8HPG4__CXU16_03730
ERR1913154.16497__1.16497	745368__A0A1T4XIY7__SAMN02745178_01914
ERR1913154.16660__1.16660	572010__rpsB
ERR1913154.16666__1.16666	40518__R5DP21__RBATCC27255_00348
ERR1913154.16730__1.16730	39496__A5Z9M6__EUBVEN_02422
ERR1913154.17009__1.17009	487174__K0WXI5__DDY40_07185
ERR1913154.17011__1.17011	820__A0A139K1Y6__DXB48_02610
ERR1913154.17019__1.17019	47678__R5U3L4__C5Z00_12600
ERR1913154.17114__1.17114	100884__E7GBE8__DXB26_17225
ERR1913154.17166__1.17166	301302__A0A0M6WIU8__M72_26811
ERR1913154.17170__1.17170	823__D7IKW8__DXD05_10310
ERR1913154.17178__1.17178	40518__R5DYP7__envC
ERR1913154.17215__1.17215	46503__R6Y0Q3__DCY29_15880
ERR1913154.17424__1.17424	100884__E7G848__DXB26_07150
ERR1913154.17438__1.17438	1262743__R5C054__BN727_01980
ERR1913154.17443__1.17443	823__D0TCC2__HMPREF1075_01590
ERR1913154.17512__1.17512	360807__A0A173UZ94__ssuC_2
ERR1913154.17513__1.17513	1150298__A0A174LTU2__recX
ERR1913154.17542__1.17542	626932__G5HA20__HMPREF9450_01485
ERR1913154.17608__1.17608	40518__R5DXH2__DXD83_10135
ERR1913154.17687__1.17687	39486__G1WS03__DXD50_12470
ERR1913154.18184__1.18184	1262886__R6QMR0__BN563_00320
ERR1913154.18194__1.18194	47678__R5U4P2__CGC64_17185
ERR1913154.18336__1.18336	301302__A0A0M6WVU2__M72_13551
ERR1913154.18347__1.18347	40518__R5DQR9__DXD83_00030
ERR1913154.18443__1.18443	40518__R5DME2__DXD86_07315
ERR1913154.18827__1.18827	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913154.18975__1.18975	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913154.19064__1.19064	1150298__A0A174L6T3__cobD
ERR1913154.19565__1.19565	310298__B3JEV4__BACCOP_00398
ERR1913154.19559__1.19559	1628085__A0A2U1BGQ7__C7386_101108
ERR1913154.19829__1.19829	1262886__R6QPW8__BN563_00999
ERR1913154.20092__1.20092	147206__GCF_000156215.1_01777
ERR1913154.20425__1.20425	338188__C9L0Q5__HMPREF1057_02404
ERR1913154.20441__1.20441	216816__C2GSX7__DD678_03555
ERR1913154.20456__1.20456	823__D7IV95__DXC05_09565
ERR1913154.20622__1.20622	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913154.20677__1.20677	821__A0A174MBW9__SAMN04487923_10272
ERR1913154.20914__1.20914	46503__A7AFM3__HMPREF1078_00209
ERR1913154.20927__1.20927	820__E5VA63__DXC80_01025
ERR1913154.20935__1.20935	1680__A1A2N8__LMG10734_1314
ERR1913154.21090__1.21090	33043__A0A173X520__ERS852575_01617
ERR1913154.21116__1.21116	1150298__A0A174HD82__yusO_2
ERR1913154.21295__1.21295	33043__A0A174H5E3__ERS852400_02880
ERR1913154.21401__1.21401	410072__A0A173R660__ERS852389_00536
ERR1913154.21543__1.21543	1262886__R6Q7L1__BN563_00804
ERR1913154.21705__1.21705	40518__R5DYU1__DXD86_01160
ERR1913154.21672__1.21672	39491__A0A2U2EKL1__ERS852580_00911
ERR1913154.21759__1.21759	47678__A5ZI88__BACCAC_02617
ERR1913154.21890__1.21890	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913154.21942__1.21942	39491__C4ZCV5__DXB99_11855
ERR1913154.21958__1.21958	1263044__GCA_000433375.1_01133
ERR1913154.22180__1.22180	40518__R5DT93__DXD86_08730
ERR1913154.22289__1.22289	40518__R5DUU2__yvhJ_2
ERR1913154.22363__1.22363	446660__GCA_003428235.1_00483
ERR1913154.22490__1.22490	46228__B5CP97__RUMLAC_01288
ERR1913154.22534__1.22534	33043__D5HEU4__ftsW_3
ERR1913154.22634__1.22634	820__A0A174G065__DXB62_08975
ERR1913154.22675__1.22675	1150298__A0A174DSD1__dacB_3
ERR1913154.22695__1.22695	216816__B3DNW2__BL171B_07980
ERR1913154.22810__1.22810	820__A0A139K024__B5G17_02060
ERR1913154.22861__1.22861	1263107__GCA_000436995.1_00133
ERR1913154.23305__1.23305	40518__R5DMZ0__DXD83_05610
ERR1913154.23332__1.23332	301302__A0A0M6WU48__M72_10411
ERR1913154.23361__1.23361	28118__F9Z6F1__DER54_08365
ERR1913154.23485__1.23485	1685__A0A3D8UEL2__DRBB29_0129
ERR1913154.23560__1.23560	166486__D4KZ04__ERS852572_01569
ERR1913154.23597__1.23597	39491__A0A395V5R3__EUBREC_1883
ERR1913154.23634__1.23634	216816__Q8G5T7__HMPREF0175_0394
ERR1913154.23715__1.23715	376805__F0R8H8__Bacsa_0435
ERR1913154.23722__1.23722	1262911__R6H2J2__BN557_01228
ERR1913154.23856__1.23856	40518__R5DR72__RBL236_02110
ERR1913154.24016__1.24016	33043__D5HGR0__rpfC_2
ERR1913154.24298__1.24298	823__D7IUM6__M091_1082
ERR1913154.24432__1.24432	1150298__A0A174B7I7__ERS852535_01258
ERR1913154.24488__1.24488	649756__A0A174F5S4__ecfA2
ERR1913154.24590__1.24590	821__E5UY21__C800_02204
ERR1913154.24530__1.24530	1262911__R6H174__BN557_01246
ERR1913154.24635__1.24635	821__A0A174RA14__M099_1655
ERR1913154.24646__1.24646	40518__R5E6U1__yunB
ERR1913154.24854__1.24854	1263044__GCA_000433375.1_01144
ERR1913154.25061__1.25061	823__A0A355XLH0__fepA_1
ERR1913154.25072__1.25072	1262886__R6QSD5__BN563_01674
ERR1913154.25258__1.25258	820__A7VAR9__ERS852421_00197
ERR1913154.25262__1.25262	165179__A0A3E5A554__DXB80_13805
ERR1913154.25277__1.25277	487174__K0X9T7__HMPREF9448_00996
ERR1913154.25468__1.25468	1262886__R6QPP8__BN563_00924
ERR1913154.25592__1.25592	1262924__R7HKX0__BN585_01279
ERR1913154.25650__1.25650	1680__R5GSL8__DXD60_03315
ERR1913154.25694__1.25694	1680__A1A0V3__C8077_03025
ERR1913154.25736__1.25736	853__A0A174C5M1__CGS58_04460
ERR1913154.25875__1.25875	820__A0A174QLF0__SAMN05444418_109151
ERR1913154.26022__1.26022	820__R9I2U8__DXC68_09590
ERR1913154.26247__1.26247	40518__R5DYM0__DXD86_08165
ERR1913154.26269__1.26269	40518__R5DTH7__DXD83_02405
ERR1913154.26318__1.26318	39491__A0A173U130__ERE_16110
ERR1913154.26460__1.26460	216816__D6ZXD1__APC1461_0104
ERR1913154.26673__1.26673	1150298__A0A174R918__ERS852535_01749
ERR1913154.26882__1.26882	33043__D5HGR0__rpfC_2
ERR1913154.26944__1.26944	216816__Q8G464__BFS25_05925
ERR1913154.26907__1.26907	821__A0A174ALF2__BvMPK_3016
ERR1913154.27129__1.27129	204516__U6RFV1__HMPREF1534_02560
ERR1913154.27168__1.27168	820__A0A173W419__DXC68_17760
ERR1913154.27841__1.27841	853__A0A174C5M1__CGS58_04460
ERR1913154.28038__1.28038	1150298__A0A174K7D2__ERS852498_01147
ERR1913154.28182__1.28182	28111__E5WUE9__NCTC11155_01729
ERR1913154.28232__1.28232	1150298__A0A174KW35__cbbX
ERR1913154.28266__1.28266	33025__A0A395JHB7__C8D73_101754
ERR1913154.28271__1.28271	1262911__R6H2J2__BN557_01228
ERR1913154.28408__1.28408	1262911__R6GLA5__BN557_01456
ERR1913154.28628__1.28628	40519__U2MCQ8__RUMCAL_00556
ERR1913154.28681__1.28681	40518__R5DU92__DXD93_03170
ERR1913154.28806__1.28806	1262783__R6D1Z2__BN558_00296
ERR1913154.29154__1.29154	823__A0A355XKQ8__DHP27_04010
ERR1913154.29219__1.29219	1262924__R7HRJ9__BN585_00557
ERR1913154.29342__1.29342	1150298__A0A174MLY5__ERS852498_01797
ERR1913154.29366__1.29366	1262886__R6QIW7__BN563_00997
ERR1913154.29370__1.29370	626933__H1DGX0__HMPREF9449_01506
ERR1913154.29398__1.29398	823__A0A355XJ56__DDY96_07685
ERR1913154.29438__1.29438	40518__R5DZ88__DXD93_06320
ERR1913154.29540__1.29540	46506__R6LAK5__SAMN05444283_11231
ERR1913154.29817__1.29817	46503__R6WPS1__lepB
ERR1913154.29822__1.29822	40518__R5DR96__RBATCC27255_01185
ERR1913154.29855__1.29855	649756__B0P1V2__ERS852475_00214
ERR1913154.29864__1.29864	46503__A7AII9__ERS852463_00984
ERR1913154.29892__1.29892	360807__A0A173RZE9__polC_2
ERR1913154.29921__1.29921	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913154.29973__1.29973	1150298__A0A174HHW8__yhbU_1
ERR1913154.29975__1.29975	853__A8S882__C4N23_07600
ERR1913154.30061__1.30061	46228__V8BYF1__HMPREF1202_02029
ERR1913154.30142__1.30142	47678__R5U558__ERS852558_02232
ERR1913154.30204__1.30204	821__A0A3E4HP25__SAMN04487923_102450
ERR1913154.30368__1.30368	29348__B1C363__DXB31_09030
ERR1913154.30550__1.30550	1263044__GCA_000433375.1_01140
ERR1913154.30638__1.30638	310298__B3JQJ5__BACCOP_04231
ERR1913154.30682__1.30682	1150298__R7JUX4__ERS852535_02669
ERR1913154.30905__1.30905	47678__R5U7M7__CGC64_14730
ERR1913154.31043__1.31043	357276__A0A0P0M2G3__BACDOR_03913
ERR1913154.31101__1.31101	820__A0A3E4WA06__ERS852554_03404
ERR1913154.31402__1.31402	823__A0A174RH99__ERS852380_00691
ERR1913154.31489__1.31489	821__A6KZK3__ERS852457_04265
ERR1913154.31524__1.31524	820__A0A174I980__gldH
ERR1913154.31600__1.31600	823__A0A174VBJ5__M091_5021
ERR1913154.31856__1.31856	1262911__R6GZX7__BN557_00838
ERR1913154.31985__1.31985	39491__C4ZHS4__EUR_24420
ERR1913154.32100__1.32100	820__A0A173WUD7__DXB48_08055
ERR1913154.32464__1.32464	40518__R5DTW7__phoU
ERR1913154.32569__1.32569	1262989__R6Y388__BN815_01680
ERR1913154.32875__1.32875	820__A0A3E4W984__pssA
ERR1913154.33102__1.33102	1262886__R6RDB4__BN563_00049
ERR1913154.33170__1.33170	1150298__A0A174I056__ERS852535_01387
ERR1913154.33328__1.33328	418240__A0A174L567__ERS852478_01510
ERR1913154.33360__1.33360	39491__C4Z8B6__ERE_17960
ERR1913154.33840__1.33840	39486__B0G7C0__DXD10_08735
ERR1913154.34036__1.34036	39492__D4JS87__EUBSIR_02328
ERR1913154.34192__1.34192	154046__A0A374NVS0__ERS852407_03312
ERR1913154.34138__1.34138	328814__GCA_004558275.1_00997
ERR1913154.34333__1.34333	820__R9I2U8__DXC68_09590
ERR1913154.34650__1.34650	706562__GCA_900112995.1_02127
ERR1913154.34674__1.34674	1150298__A0A174T452__kfoC_3
ERR1913154.34864__1.34864	823__A0A173UDF6__CEQ22_003270
ERR1913154.34936__1.34936	301302__R5UMP3__lytC_3
ERR1913154.35043__1.35043	39492__R6RYB8__ERS852540_00322
ERR1913154.35194__1.35194	338188__K5CHU1__ERS852397_02431
ERR1913154.35472__1.35472	418240__A0A173X9L0__ERS852523_01318
ERR1913154.35430__1.35430	823__A0A395YQ63__B5F32_15335
ERR1913154.35503__1.35503	820__A0A174A6K0__M093_0079
ERR1913154.35540__1.35540	823__D7IKW8__DXD05_10310
ERR1913154.35543__1.35543	88431__A0A174LB13__ERS852573_00606
ERR1913154.35715__1.35715	39491__A0A396FPV7__ERS852580_01177
ERR1913154.35879__1.35879	1150298__R7JRU1__degA_3
ERR1913154.36134__1.36134	40518__R5DUG7__sbcC
ERR1913154.36102__1.36102	301302__R5UMB3__M72_01421
ERR1913154.36220__1.36220	40518__R5DMZ0__DXD83_05610
ERR1913154.36276__1.36276	745368__A0A1T4XC26__SAMN02745178_01685
ERR1913154.36264__1.36264	820__A0A374Q854__HMPREF1073_03281
ERR1913154.36414__1.36414	820__A0A374Q854__HMPREF1073_03281
ERR1913154.36440__1.36440	821__A0A174JYD3__ERS852457_02610
ERR1913154.36671__1.36671	820__A0A3E4GE89__DXB48_02565
ERR1913154.36740__1.36740	338188__A0A174ETX3__ERS852397_01955
ERR1913154.36840__1.36840	1150298__R7JUW7__ERS852406_02089
ERR1913154.37411__1.37411	820__A0A3E4RU03__M093_0563
ERR1913154.37656__1.37656	610243__A0A060QJF7__ASAP_2763
ERR1913154.38054__1.38054	2108523__A0A2P2FC97__LAWASA_3643
ERR1913154.38188__1.38188	1262924__R7HRR0__BN585_00872
ERR1913154.38348__1.38348	47678__R5UAI1__BACCAC_01922
ERR1913154.38359__1.38359	33025__A0A395JBB5__C8D73_107104
ERR1913154.38360__1.38360	216816__A0A374SVM3__BLSL_0492
ERR1913154.38630__1.38630	33043__A0A173YQY3__ERS852445_01438
ERR1913154.38642__1.38642	116085__D4J6U8__DW747_08385
ERR1913154.38748__1.38748	39485__C4Z5L2__ERS852490_00659
ERR1913154.38763__1.38763	1150298__A0A174RJU1__gsiA_4
ERR1913154.38954__1.38954	28116__A0A1Y4PDJ7__C5Z02_08485
ERR1913154.39379__1.39379	410072__C0BC88__DXD67_11180
ERR1913154.39383__1.39383	301302__R5V7G4__ywtF
ERR1913154.39558__1.39558	328814__GCA_004558275.1_00061
ERR1913154.39647__1.39647	823__D7IV95__DXC05_09565
ERR1913154.39768__1.39768	28118__R6F891__NCTC10826_02656
ERR1913154.39798__1.39798	338188__C9L0Q5__HMPREF1057_02404
ERR1913154.39958__1.39958	338188__R6RPM5__bglX_6
ERR1913154.40000__1.40000	47678__R5U3L4__C5Z00_12600
ERR1913154.40130__1.40130	1703337__A0A2U0TJK6__C7379_1361
ERR1913154.40249__1.40249	821__A0A0P0M2J4__DXD46_10295
ERR1913154.40613__1.40613	46503__R5DDT4__DD461_14650
ERR1913154.40618__1.40618	33043__A0A173RQ80__ERS852445_02211
ERR1913154.40671__1.40671	47678__R5U7L8__DXB67_16595
ERR1913154.40674__1.40674	1796613__A0A1C7H077__ADH74_00855
ERR1913154.41074__1.41074	338188__A0A174FPA3__BACFIN_06857
ERR1913154.41110__1.41110	820__A0A139K2N9__DXB62_12420
ERR1913154.41185__1.41185	1262924__R7HPY0__BN585_01950
ERR1913154.41304__1.41304	1262886__R6Q652__BN563_00347
ERR1913154.41351__1.41351	28118__F9ZAK8__NCTC10826_02458
ERR1913154.41326__1.41326	74426__argF
ERR1913154.41640__1.41640	328814__GCA_004558275.1_01330
ERR1913154.41876__1.41876	39491__A0A395V0H3__ERS852417_01192
ERR1913154.41969__1.41969	40518__R5DQK2__DXD93_03730
ERR1913154.41914__1.41914	820__A7V049__DXB48_04755
ERR1913154.42107__1.42107	1150298__A0A174MFD0__degA_1
ERR1913154.42152__1.42152	214856__R6Z288__ERS852447_00734
ERR1913154.42217__1.42217	1262743__R5C054__BN727_01980
ERR1913154.42501__1.42501	454155__F3QTM3__HMPREF9442_01541
ERR1913154.42588__1.42588	1628085__A0A1C6CK16__C7386_11434
ERR1913154.42917__1.42917	1150298__A0A174I2L4__ERS852535_01377
ERR1913154.43034__1.43034	46228__B5CSI8__DXD17_05145
ERR1913154.42962__1.42962	40518__A0A1C6H8C4__DXD93_02535
ERR1913154.43321__1.43321	649756__B0NYW1__DCR88_01045
ERR1913154.43478__1.43478	40518__R5DS23__DXD86_01715
ERR1913154.43546__1.43546	40518__R5DQR9__DXD83_00030
ERR1913154.43552__1.43552	246787__R6KBH9__HMPREF1062_04676
ERR1913154.43879__1.43879	301302__R5UQW7__ERS852420_02102
ERR1913154.44251__1.44251	1262911__R6GP58__BN557_00798
ERR1913154.44297__1.44297	487174__K0WV19__HMPREF9448_01820
ERR1913154.44380__1.44380	649756__A0A174L4G4__cls_1
ERR1913154.44558__1.44558	40518__R5E6K4__RB5AMG_02070
ERR1913154.44565__1.44565	1263107__GCA_000436995.1_00106
ERR1913154.44623__1.44623	823__A0A1Y4I349__DXB14_09300
ERR1913154.44686__1.44686	40518__R5DS23__DXD86_01715
ERR1913154.45282__1.45282	40518__R5E7S2__RBL263_00671
ERR1913154.45461__1.45461	1262911__R6GS52__BN557_00834
ERR1913154.45472__1.45472	40518__R5DLU0__fmt
ERR1913154.45558__1.45558	39491__A0A396FKI0__DXC13_11560
ERR1913154.45698__1.45698	301302__R5V631__ERS852420_03369
ERR1913154.45842__1.45842	301302__A0A0M6W9I4__M72_19871
ERR1913154.46112__1.46112	1680__A0A1X3A7D3__AD0028_1139
ERR1913154.46083__1.46083	39491__A0A396FFW0__ERE_10580
ERR1913154.46128__1.46128	216816__B7GPH6__DXC74_08225
ERR1913154.46708__1.46708	47678__R5UT83__DW706_09750
ERR1913154.46680__1.46680	1703337__A0A2U0U7Q7__C7379_11089
ERR1913154.47273__1.47273	1262911__R6GZX7__BN557_00838
ERR1913154.47478__1.47478	1262911__R6GZ01__BN557_00641
ERR1913154.47492__1.47492	47678__R5UAF6__ERS852494_02966
ERR1913154.47644__1.47644	301302__R5UHX5__M72_14301
ERR1913154.47645__1.47645	821__A6L0C7__ERS852556_03520
ERR1913154.47621__1.47621	39492__B0MNQ2__EUBSIR_01459
ERR1913154.47661__1.47661	1262886__R6REM1__BN563_00995
ERR1913154.47909__1.47909	394340__group_3119
ERR1913154.47913__1.47913	1150298__R7JRU1__degA_3
ERR1913154.48261__1.48261	28117__B0MYI9__BHV66_05415
ERR1913154.48262__1.48262	39491__A0A395ZBQ4__cph2_2
