ERR1913021.342__1.342	1262935__R5GDB4__BN773_01091
ERR1913021.17637__1.17637	214856__I3YPR2__Alfi_2720
ERR1913021.18028__1.18028	46506__A0A120A0V1__DXC41_00280
ERR1913021.18072__1.18072	39492__D4MJF3__EUBSIR_02248
ERR1913021.18079__1.18079	214856__R5UN64__ERS852447_02669
ERR1913021.18099__1.18099	1547597__A0A0C3RDA3__DMB45_13865
ERR1913021.18155__1.18155	1897011__A0A1Q6REU9__BHW41_04345
ERR1913021.18426__1.18426	214856__R6Z590__ERS852447_01059
ERR1913021.18455__1.18455	39492__B0MP07__ERS852540_02083
ERR1913021.18519__1.18519	204516__U6RGN8__HMPREF1534_01465
ERR1913021.18514__1.18514	1262889__R7HBI6__BN634_00794
ERR1913021.18587__1.18587	410072__A0A3E4GPD6__DXD67_10205
ERR1913021.18923__1.18923	1262889__R7HD84__BN634_01675
ERR1913021.18938__1.18938	39492__D4MJF3__EUBSIR_02248
ERR1913021.19000__1.19000	823__A6LDT7__CEQ22_002595
ERR1913021.19178__1.19178	357276__B6VUQ5__B5F00_10940
ERR1913021.19435__1.19435	1262945__R6YN47__BN600_01557
ERR1913021.19437__1.19437	1547597__A0A0C3RGB5__BA92_05965
ERR1913021.19452__1.19452	46506__A0A108TAK3__fepA_3
ERR1913021.19546__1.19546	823__A0A395YQ63__B5F32_15335
ERR1913021.19571__1.19571	46506__R6A5T2__DXC41_10795
ERR1913021.19687__1.19687	1262988__R7N4G5__BN816_01692
ERR1913021.19871__1.19871	357276__A0A076IKP7__BACDOR_04239
ERR1913021.19887__1.19887	357276__I9QBT7__BSEG_03340
ERR1913021.20015__1.20015	357276__I9FRW5__B5F95_21685
ERR1913021.20338__1.20338	39492__D4JVT0__EUBSIR_00059
ERR1913021.20490__1.20490	1262889__R7HA41__BN634_01028
ERR1913021.20529__1.20529	454155__F3QYB1__HMPREF9442_03204
ERR1913021.20880__1.20880	544645__A0A1U7L988__DXC42_17770
ERR1913021.21004__1.21004	1262886__R6QHX8__BN563_00685
ERR1913021.21168__1.21168	821__A0A396F1N0__M099_1553
ERR1913021.21797__1.21797	46503__A7AG59__ERS852463_00349
ERR1913021.21869__1.21869	357276__E5UTL1__HMPREF1065_03551
ERR1913021.22110__1.22110	39492__D4JWB3__EUBSIR_00040
ERR1913021.22238__1.22238	46228__V8BQP5__HMPREF1202_02378
ERR1913021.22241__1.22241	1262886__R6RDI0__BN563_00638
ERR1913021.22435__1.22435	820__R9I2U8__DXC68_09590
ERR1913021.22566__1.22566	357276__I9RAC4__BSEG_00561
ERR1913021.22621__1.22621	371601__A0A3E4NKK5__B5E52_17685
ERR1913021.22837__1.22837	28116__C3QMW4__BACOVA_04147
ERR1913021.22849__1.22849	357276__I8WAB8__B5F00_08100
ERR1913021.23155__1.23155	357276__A0A076IYG1__B5F95_22465
ERR1913021.23229__1.23229	821__U6RDC2__DXD46_15675
ERR1913021.23234__1.23234	1262889__R7H801__BN634_02373
ERR1913021.23237__1.23237	40518__R5DP61__DXD86_06345
ERR1913021.23681__1.23681	28116__A7LS06__HMPREF2532_04668
ERR1913021.23708__1.23708	1262886__R6RCJ1__BN563_00406
ERR1913021.23918__1.23918	1262889__R7HFT7__BN634_01537
ERR1913021.24186__1.24186	1262935__R5GIC8__BN773_01423
ERR1913021.24289__1.24289	821__A0A395UNT8__DXD64_15275
ERR1913021.24372__1.24372	147206__GCF_000156215.1_01771
ERR1913021.24490__1.24490	357276__A0A076J8M3__ABI39_13695
ERR1913021.24703__1.24703	1262889__R7HDL3__BN634_01924
ERR1913021.24810__1.24810	1262889__R7HCE8__BN634_01718
ERR1913021.24885__1.24885	40520__A0A396A0Q9__DXC87_14025
ERR1913021.24910__1.24910	1262935__R5GQB3__BN773_00920
ERR1913021.24919__1.24919	46228__V8BL81__DXD17_11825
ERR1913021.25077__1.25077	357276__B6W5Q9__HMPREF1063_03125
ERR1913021.25081__1.25081	357276__I9QBT4__GV66_09000
ERR1913021.25191__1.25191	39491__D4JMW8__ERS852497_01971
ERR1913021.25349__1.25349	821__A0A0P0L952__M097_4235
ERR1913021.25469__1.25469	357276__A0A076IS46__BACDOR_03265
ERR1913021.25497__1.25497	1897011__A0A1Q6RI37__BHW41_00895
ERR1913021.25660__1.25660	454155__F3QY50__HMPREF9442_03142
ERR1913021.25717__1.25717	1262886__R6QHT9__BN563_00630
ERR1913021.26053__1.26053	28118__F9Z751__DHW44_02965
ERR1913021.26082__1.26082	239935__R7DVL7__CXT93_01180
ERR1913021.26324__1.26324	46228__V8C7P7__HMPREF1202_01523
ERR1913021.26528__1.26528	46228__V8CB66__RUMLAC_02810
ERR1913021.26676__1.26676	820__A0A3E4WA06__ERS852554_03404
ERR1913021.26811__1.26811	47678__R5U2H9__DXB67_10685
ERR1913021.26835__1.26835	1262886__R6Q901__BN563_01213
ERR1913021.26972__1.26972	40518__R5E6G1__DXD83_06815
ERR1913021.27103__1.27103	357276__A0A0M1W9N4__GV66_05135
ERR1913021.27112__1.27112	1262743__R5C054__BN727_01980
ERR1913021.27142__1.27142	2293125__A0A374BSW4__DW917_13420
ERR1913021.27239__1.27239	28111__E5X121__BACEGG_03113
ERR1913021.27292__1.27292	39492__D4JVG1__ERS852540_00951
ERR1913021.27376__1.27376	820__A0A374QGD2__ERS852421_02382
ERR1913021.27362__1.27362	357276__I8WAB8__B5F00_08100
ERR1913021.27470__1.27470	47678__R5U325__HMPREF1061_03209
ERR1913021.27571__1.27571	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913021.27818__1.27818	246787__A0A0P0FV02__AA416_03728
ERR1913021.27836__1.27836	28117__B0MU76__ALIPUT_00202
ERR1913021.27767__1.27767	1501391__GCA_000786575.1_00081
ERR1913021.28004__1.28004	28111__E5WVG5__pspE
ERR1913021.28007__1.28007	821__A0A174NM17__lacZ_6
ERR1913021.28027__1.28027	291644__R5JNC3__HMPREF1071_03576
ERR1913021.28065__1.28065	1160721__W0U8M9__RBI_II00386
ERR1913021.28227__1.28227	39486__B0G2J6__DXB12_13190
ERR1913021.28384__1.28384	28118__R6F045__B5F99_10560
ERR1913021.28622__1.28622	1262889__R7H9Z3__BN634_00978
ERR1913021.28706__1.28706	165179__A0A3E5EAM5__DXC61_07785
ERR1913021.28737__1.28737	47678__R5U558__ERS852558_02232
ERR1913021.28842__1.28842	1262756__R5X2S0__BN568_00766
ERR1913021.29002__1.29002	357276__I8WML9__DXD47_10570
ERR1913021.29017__1.29017	239935__A0A2N8HS88__CXU19_12255
ERR1913021.29027__1.29027	357276__A0A076J4B1__DXD47_03445
ERR1913021.29361__1.29361	357276__A0A076J9V8__BACDOR_01395
ERR1913021.29400__1.29400	1262958__R7GZI3__BN645_01811
ERR1913021.29776__1.29776	1628085__A0A2U1B8P2__C7386_11431
ERR1913021.29798__1.29798	46228__V8CCB0__HMPREF1202_00792
ERR1913021.29817__1.29817	1262777__R5VKG4__BN512_01658
ERR1913021.29922__1.29922	821__A0A174NM17__lacZ_6
ERR1913021.29949__1.29949	291644__R5JG66__ERS852428_01236
ERR1913021.30089__1.30089	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913021.30147__1.30147	39492__A0A174ZHV5__msbA_2
ERR1913021.30217__1.30217	28117__R7JJM9__ALIPUT_00662
ERR1913021.30257__1.30257	1262935__R5GF26__BN773_01700
ERR1913021.30342__1.30342	1262889__R7H8M8__BN634_00534
ERR1913021.30494__1.30494	823__A0A173W1W2__M095_4076
ERR1913021.30571__1.30571	1547597__A0A318N760__BA92_09575
ERR1913021.30745__1.30745	1263006__R6LU28__BN515_01365
ERR1913021.31007__1.31007	1262942__R7R1F7__BN520_00492
ERR1913021.31034__1.31034	371601__D6CW80__CW1_2117
ERR1913021.31169__1.31169	823__A0A173V751__DXD05_02690
ERR1913021.31218__1.31218	821__A0A396F9T7__M097_3427
ERR1913021.31570__1.31570	291644__R5JCR7__HMPREF1071_01119
ERR1913021.31594__1.31594	821__A0A174NSU0__BVU_3144
ERR1913021.31762__1.31762	1262935__R5GQI1__BN773_00059
ERR1913021.31944__1.31944	1299998__GCA_001494635.1_01192
ERR1913021.32022__1.32022	823__A0A173W404__DHP27_04905
ERR1913021.32053__1.32053	1262935__R5GG37__BN773_00249
ERR1913021.32128__1.32128	544645__A0A1U7L806__DXC42_13525
ERR1913021.32611__1.32611	39492__D4JRX7__EUBSIR_01480
ERR1913021.32652__1.32652	2173__A0A1D2WV05__BK798_06920
ERR1913021.32846__1.32846	357276__I8VLL2__HMPREF1065_03395
ERR1913021.32916__1.32916	46228__V8BPJ7__DXD17_00330
ERR1913021.32972__1.32972	357276__B6W1Y5__IY41_11405
ERR1913021.33614__1.33614	46228__V8C7P7__HMPREF1202_01523
ERR1913021.33722__1.33722	46503__A7AII9__ERS852463_00984
ERR1913021.33742__1.33742	1262935__R5GT62__BN773_01738
ERR1913021.33855__1.33855	357276__I8WEY2__ABI39_04185
ERR1913021.33873__1.33873	1263000__R5EKG2__BN466_02040
ERR1913021.33947__1.33947	820__A0A139K8N1__ERS852554_00951
ERR1913021.33929__1.33929	1262935__R5GHV4__BN773_00876
ERR1913021.34047__1.34047	46228__V8C4T8__RUMLAC_02058
ERR1913021.34164__1.34164	1262886__R6QKS8__BN563_01572
ERR1913021.34177__1.34177	1262889__R7HGV8__BN634_01881
ERR1913021.34199__1.34199	147206__GCF_000156215.1_01387
ERR1913021.34389__1.34389	823__A0A355XJT5__ERS852429_03504
ERR1913021.34413__1.34413	1262889__R7HFT7__BN634_01537
ERR1913021.34524__1.34524	823__A0A395YSW8__CF162_05645
ERR1913021.34558__1.34558	1262889__R7HEJ5__BN634_01091
ERR1913021.34590__1.34590	410072__C0BBS7__ERS852525_00851
ERR1913021.34777__1.34777	40519__U2KYL3__RUMCAL_00170
ERR1913021.34789__1.34789	384638__B7ASI3__BACPEC_02038
ERR1913021.34802__1.34802	820__A0A174GYA8__DXB64_07370
ERR1913021.34958__1.34958	291644__R5JR56__HMPREF1532_03512
ERR1913021.35007__1.35007	821__A0A3E4KIM1__M097_3660
ERR1913021.35041__1.35041	357276__C3R9Y0__HMPREF1064_01889
ERR1913021.35339__1.35339	246787__R6KK25__HMPREF1062_01860
ERR1913021.35388__1.35388	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913021.35587__1.35587	357276__A0A076IYG1__B5F95_22465
ERR1913021.35570__1.35570	39492__D4JWA3__ERS852540_01332
ERR1913021.35656__1.35656	291645__I8XPK0__HMPREF1068_01554
ERR1913021.35789__1.35789	28111__E5WYC8__BACEGG_00347
ERR1913021.35968__1.35968	454155__G5SQI6__HMPREF9442_00585
ERR1913021.35969__1.35969	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913021.36277__1.36277	46228__V8BYC1__RUMLAC_00426
ERR1913021.36710__1.36710	214856__R5UN64__ERS852447_02669
ERR1913021.36667__1.36667	487174__K0X3E9__DDY40_04905
ERR1913021.36866__1.36866	357276__I8WPR6__EL88_06675
ERR1913021.36951__1.36951	821__E5UY21__C800_02204
ERR1913021.37368__1.37368	1262889__R7HAK5__BN634_00884
ERR1913021.37398__1.37398	39492__D4JRL2__ERS852540_01608
ERR1913021.37587__1.37587	46228__B5CPY3__DXD17_03535
ERR1913021.37621__1.37621	46503__R6WYJ8__DXB85_13825
ERR1913021.37905__1.37905	853__A0A2A7B1Y7__C7K05_11930
ERR1913021.37880__1.37880	214856__I3YPN9__ERS852447_01389
ERR1913021.38010__1.38010	487174__K0X773__DIT83_07170
ERR1913021.38081__1.38081	333367__C0DA74__CLOSTASPAR_06177
ERR1913021.38225__1.38225	487175__F3QIW8__HMPREF9439_00868
ERR1913021.38263__1.38263	39491__R6TNE7__T1815_09811
ERR1913021.38285__1.38285	1262889__R7H9H9__BN634_02436
ERR1913021.38388__1.38388	40518__R5E6X5__sbcD
ERR1913021.38467__1.38467	165179__A0A3E5DWZ6__DXC61_10880
ERR1913021.38450__1.38450	487174__K0WZ94__HMPREF9448_00984
ERR1913021.38565__1.38565	1262889__R7HA41__BN634_01028
ERR1913021.39021__1.39021	820__A0A139JUD3__DXC91_19380
ERR1913021.39445__1.39445	1262736__R5Y035__BN496_00793
ERR1913021.39481__1.39481	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913021.39547__1.39547	821__A0A395VMG0__DXC44_18080
ERR1913021.39598__1.39598	487174__K0X5B1__DDY40_01695
ERR1913021.39678__1.39678	357276__A0A076INK2__BSEG_04225
ERR1913021.39685__1.39685	2293125__A0A374BSW4__DW917_13420
ERR1913021.39650__1.39650	28111__E5X120__NCTC11155_02427
ERR1913021.39707__1.39707	1304__F8LKP1__TZ99_00769
ERR1913021.39730__1.39730	357276__I9QBT7__BSEG_03340
ERR1913021.39753__1.39753	328814__GCA_004558275.1_00073
ERR1913021.39830__1.39830	40518__R5E1J7__RBL236_02062
ERR1913021.39859__1.39859	487174__K0X1D9__HMPREF9448_00919
ERR1913021.39994__1.39994	371601__D7K8P3__SAMN05216250_10395
ERR1913021.40031__1.40031	1262889__R7H8U5__BN634_02236
ERR1913021.40214__1.40214	46228__V8CHW6__DXD17_13890
ERR1913021.40225__1.40225	823__D7ILK2__ERS852380_00031
ERR1913021.40356__1.40356	39490__A0A173UKU1__ERS852448_02086
ERR1913021.40483__1.40483	39491__A0A396FUZ3__phoR_1
ERR1913021.40729__1.40729	1262935__R5GGB1__BN773_00342
ERR1913021.40755__1.40755	40518__R5E4X1__DXD93_05270
ERR1913021.40864__1.40864	821__E5UY21__C800_02204
ERR1913021.40983__1.40983	28118__F9Z9B0__SAMEA44545918_02179
ERR1913021.41054__1.41054	46228__V8BQJ8__DXD17_00240
ERR1913021.41057__1.41057	821__A0A395VMG0__DXC44_18080
ERR1913021.41095__1.41095	357276__A0A076J726__IY41_15030
ERR1913021.41116__1.41116	1263107__GCA_000436995.1_00011
ERR1913021.41294__1.41294	28111__R5JN40__HMPREF1016_01803
ERR1913021.41509__1.41509	39492__D4JW10__pppA
ERR1913021.41495__1.41495	1262886__R6QP39__BN563_00737
ERR1913021.41731__1.41731	28111__R5JPB6__NCTC11155_02514
ERR1913021.41772__1.41772	1262935__R5GGB5__BN773_00347
ERR1913021.42002__1.42002	1262886__R6QKQ6__BN563_01547
ERR1913021.42007__1.42007	1262935__R5GUD0__BN773_00454
ERR1913021.42144__1.42144	357276__A0A076ITU4__EL88_22160
ERR1913021.42145__1.42145	357276__A0A076ITU4__EL88_22160
ERR1913021.42147__1.42147	821__A0A174WBC9__ERS852556_03145
ERR1913021.42754__1.42754	165179__A0A174SA26__PREVCOP_05758
ERR1913021.42791__1.42791	853__A0A2A7ATM9__DWZ89_13645
ERR1913021.42771__1.42771	818__R6VB25__BSIG_5053
ERR1913021.42882__1.42882	357276__B6W5Q7__DXD47_13945
ERR1913021.43043__1.43043	410072__C0BD90__rpoD
ERR1913021.43124__1.43124	853__D4JY61__C4N21_10560
ERR1913021.43199__1.43199	28118__F9Z6D1__DER54_04565
ERR1913021.43396__1.43396	371601__D6CXF8__DXD80_06045
ERR1913021.43409__1.43409	820__A0A1Y3V743__M093_0235
ERR1913021.43507__1.43507	853__C7H7F5__DWZ46_01780
ERR1913021.43624__1.43624	1262889__R7HB16__BN634_02255
ERR1913021.43959__1.43959	823__A0A355XF06__B5F32_11480
ERR1913021.43964__1.43964	454155__F3QQQ9__HMPREF9442_00501
ERR1913021.44051__1.44051	357276__A0A174L570__GV66_05720
ERR1913021.44158__1.44158	46506__A0A108TCU0__etk
ERR1913021.44348__1.44348	214856__A0A173YE57__ERS852559_00126
ERR1913021.44544__1.44544	821__A0A173XDD3__DXB82_17180
ERR1913021.44545__1.44545	821__A0A173XDD3__DXB82_17180
ERR1913021.44752__1.44752	823__A0A355XLT7__HMPREF1075_03402
ERR1913021.44801__1.44801	357276__D1K526__GV66_17250
ERR1913021.45254__1.45254	204516__U6RDD8__HMPREF1534_02559
ERR1913021.45297__1.45297	28111__E5WZR2__HMPREF1016_02168
ERR1913021.45440__1.45440	165179__A0A3E5E4T9__DXB80_08030
ERR1913021.45632__1.45632	454155__F3QST7__HMPREF9442_01251
ERR1913021.45660__1.45660	2293125__A0A374C5Y6__DW917_09105
ERR1913021.45711__1.45711	823__A0A174LWY0__lepB
ERR1913021.45880__1.45880	291644__R5JA59__HMPREF1071_02804
ERR1913021.45967__1.45967	40518__R5DTW7__phoU
ERR1913021.46016__1.46016	1262825__R5E1G0__BN724_01308
ERR1913021.46050__1.46050	357276__I8WBQ9__HMPREF1065_03212
ERR1913021.46230__1.46230	487175__R5E5C4__HMPREF9439_00381
ERR1913021.46262__1.46262	2108523__A0A2P2F5J6__LAWASA_1285
ERR1913021.46246__1.46246	821__A0A397WGD6__M098_0084
ERR1913021.46354__1.46354	88431__A0A3D0EZT9__ERS852423_01745
ERR1913021.46576__1.46576	291644__I9HRU8__ERS852428_03635
ERR1913021.46597__1.46597	39491__A0A396FP46__cobD_2
ERR1913021.46703__1.46703	39492__D4JR08__ERS852540_02467
ERR1913021.46718__1.46718	28111__R5JUK8__NCTC11155_02515
ERR1913021.46921__1.46921	357276__I8WAB8__B5F00_08100
ERR1913021.46987__1.46987	1262935__R5GFE1__BN773_00206
ERR1913021.47201__1.47201	39492__R6SPM9__pheT
ERR1913021.47351__1.47351	166486__D4KVZ4__sleB_3
ERR1913021.47462__1.47462	165179__A0A174SA26__PREVCOP_05758
ERR1913021.47502__1.47502	823__A0A173UDF6__CEQ22_003270
ERR1913021.47621__1.47621	410072__A0A174GUX6__COPCOM_03717
ERR1913021.47677__1.47677	28117__B0MXW9__ALIPUT_01981
ERR1913021.47679__1.47679	28117__B0MXU0__BHV66_07550
ERR1913021.47765__1.47765	46503__A7ADV9__ERS852463_01504
ERR1913021.47801__1.47801	1262889__R7H801__BN634_02373
ERR1913021.47979__1.47979	821__A0A0P0M2J4__DXD46_10295
ERR1913021.48258__1.48258	154288__A0A0X8G3H5__ERS852561_00946
ERR1913021.48284__1.48284	823__D7ILK2__ERS852380_00031
ERR1913021.48333__1.48333	1262935__R5GJC7__BN773_01761
ERR1913021.48346__1.48346	2173__A0A1D2WTP5__BK798_02785
ERR1913021.48493__1.48493	1262935__R5GCM2__BN773_01053
ERR1913021.48605__1.48605	823__A0A078SYK6__DXB14_02485
ERR1913021.48613__1.48613	820__A0A174G065__DXB62_08975
ERR1913021.48789__1.48789	1547597__A0A0C3MGR5__DMB45_01965
ERR1913021.48820__1.48820	40520__R7D8F5__DXC87_14065
ERR1913021.49092__1.49092	487174__R5EPJ7__HMPREF9448_00444
ERR1913021.49104__1.49104	1262888__R6PMV6__BN582_00426
ERR1913021.49298__1.49298	821__A0A174NM17__lacZ_6
ERR1913021.49592__1.49592	1262889__R7H7F9__BN634_02079
ERR1913021.49901__1.49901	357276__C3R9Y0__HMPREF1064_01889
ERR1913021.50027__1.50027	166486__D4KJ39__ERS852572_02622
ERR1913021.50099__1.50099	46228__B5CSZ7__HMPREF1202_01559
ERR1913021.50341__1.50341	821__D4VD59__BHV80_04260
