ERR1913021.161__1.161	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913021.19698__1.19698	823__D7ILK2__ERS852380_00031
ERR1913021.19708__1.19708	1262825__R5E0Q5__BN724_01182
ERR1913021.19871__1.19871	357276__A0A076IKP7__BACDOR_04239
ERR1913021.19887__1.19887	357276__I9QBT7__BSEG_03340
ERR1913021.19901__1.19901	1263000__R5EBJ1__BN466_00540
ERR1913021.20015__1.20015	357276__I9FRW5__B5F95_21685
ERR1913021.20490__1.20490	1262889__R7HA41__BN634_01028
ERR1913021.20529__1.20529	454155__F3QYB1__HMPREF9442_03204
ERR1913021.20557__1.20557	357276__I8WEY2__ABI39_04185
ERR1913021.20880__1.20880	544645__A0A1U7L988__DXC42_17770
ERR1913021.20884__1.20884	1262743__R5C054__BN727_01980
ERR1913021.21004__1.21004	1262886__R6QHX8__BN563_00685
ERR1913021.21055__1.21055	821__A0A174WBC9__ERS852556_03145
ERR1913021.21168__1.21168	821__A0A396EVC9__DXB90_03525
ERR1913021.21442__1.21442	46228__V8CGF0__HMPREF1202_00126
ERR1913021.21797__1.21797	46503__A7AG59__ERS852463_00349
ERR1913021.21869__1.21869	357276__E5UTL1__HMPREF1065_03551
ERR1913021.21966__1.21966	649756__D4MUR3__ERS852571_00481
ERR1913021.22014__1.22014	823__A0A173TMY6__M096_4753
ERR1913021.22241__1.22241	1262886__R6RDI0__BN563_00638
ERR1913021.22435__1.22435	820__R9I2U8__DXC68_09590
ERR1913021.22549__1.22549	1262886__R6QIV0__BN563_00982
ERR1913021.22566__1.22566	357276__I9RAC4__BSEG_00561
ERR1913021.22621__1.22621	371601__A0A3E4NKK5__B5E52_17685
ERR1913021.22837__1.22837	28116__C3QMW4__BACOVA_04147
ERR1913021.22849__1.22849	357276__I8WAB8__B5F00_08100
ERR1913021.22898__1.22898	1547597__A0A0C3NDN5__BA92_12695
ERR1913021.22976__1.22976	46228__V8CB03__HMPREF1202_00647
ERR1913021.23155__1.23155	357276__A0A076IYG1__B5F95_22465
ERR1913021.23237__1.23237	40518__R5DP61__DXD86_06345
ERR1913021.23221__1.23221	820__A0A174GYA8__DXB64_07370
ERR1913021.23229__1.23229	821__U6RDC2__DXD46_15675
ERR1913021.23355__1.23355	165179__A0A3E5A554__DXB80_13805
ERR1913021.23403__1.23403	39488__C0EUW7__ERS852578_01381
ERR1913021.23708__1.23708	1262886__R6RCJ1__BN563_00406
ERR1913021.23918__1.23918	1262889__R7HFT7__BN634_01537
ERR1913021.24289__1.24289	821__A0A395UNT8__DXD64_15275
ERR1913021.24403__1.24403	357276__B6W1Y1__BSEG_03960
ERR1913021.24490__1.24490	357276__A0A076J8M3__ABI39_13695
ERR1913021.24810__1.24810	1262889__R7HCE8__BN634_01718
ERR1913021.24885__1.24885	40520__A0A396A0Q9__DXC87_14025
ERR1913021.25018__1.25018	28117__B0MTH2__ALIPUT_00061
ERR1913021.25077__1.25077	357276__B6W5Q9__HMPREF1063_03125
ERR1913021.25081__1.25081	357276__I9QBT4__GV66_09000
ERR1913021.25191__1.25191	39491__D4JMW8__ERS852497_01971
ERR1913021.25349__1.25349	821__A0A0P0L952__M097_4235
ERR1913021.25469__1.25469	357276__A0A076IS46__BACDOR_03265
ERR1913021.25497__1.25497	1897011__A0A1Q6RI37__BHW41_00895
ERR1913021.25660__1.25660	454155__F3QY50__HMPREF9442_03142
ERR1913021.25717__1.25717	1262886__R6QHT9__BN563_00630
ERR1913021.26053__1.26053	28118__F9Z751__DHW44_02965
ERR1913021.26082__1.26082	239935__R7DVL7__CXT93_01180
ERR1913021.26324__1.26324	46228__V8C7P7__HMPREF1202_01523
ERR1913021.26510__1.26510	39492__A0A174ZHV5__msbA_2
ERR1913021.26528__1.26528	46228__V8CB66__RUMLAC_02810
ERR1913021.26547__1.26547	165179__R6PU83__CFT61_14275
ERR1913021.26676__1.26676	820__A0A3E4WA06__ERS852554_03404
ERR1913021.26804__1.26804	165179__A0A229I7F5__DXB80_02650
ERR1913021.26811__1.26811	47678__R5U2H9__DXB67_10685
ERR1913021.27103__1.27103	357276__A0A0M1W9N4__GV66_05135
ERR1913021.27112__1.27112	1262743__R5C054__BN727_01980
ERR1913021.27142__1.27142	2293125__A0A374BSW4__DW917_13420
ERR1913021.27239__1.27239	28111__E5X121__BACEGG_03113
ERR1913021.27292__1.27292	39492__D4JVG1__ERS852540_00951
ERR1913021.27362__1.27362	357276__I8WAB8__B5F00_08100
ERR1913021.27470__1.27470	47678__R5U325__HMPREF1061_03209
ERR1913021.27571__1.27571	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913021.27726__1.27726	1262935__R5GDX6__BN773_01326
ERR1913021.27705__1.27705	487174__K0XRP0__DDY40_09260
ERR1913021.27765__1.27765	1262736__R5Y6X0__BN496_00548
ERR1913021.27767__1.27767	1501391__GCA_000786575.1_00081
ERR1913021.27818__1.27818	246787__A0A0P0FV02__AA416_03728
ERR1913021.27836__1.27836	28117__B0MU76__ALIPUT_00202
ERR1913021.28027__1.28027	291644__R5JNC3__HMPREF1071_03576
ERR1913021.28004__1.28004	28111__E5WVG5__pspE
ERR1913021.28007__1.28007	821__A0A174NM17__lacZ_6
ERR1913021.28065__1.28065	1160721__W0U8M9__RBI_II00386
ERR1913021.28227__1.28227	39486__B0G2J6__DXB12_13190
ERR1913021.28355__1.28355	1262911__R6GPC5__BN557_00852
ERR1913021.28457__1.28457	1262911__R6GPC5__BN557_00852
ERR1913021.28562__1.28562	384638__B7APN3__BACPEC_00639
ERR1913021.28622__1.28622	1262889__R7H9Z3__BN634_00978
ERR1913021.28706__1.28706	165179__A0A3E5EAM5__DXC61_07785
ERR1913021.28737__1.28737	47678__R5U558__ERS852558_02232
ERR1913021.29002__1.29002	357276__I8WML9__DXD47_10570
ERR1913021.29027__1.29027	357276__A0A076J4B1__DXD47_03445
ERR1913021.29400__1.29400	1262958__R7GZI3__BN645_01811
ERR1913021.29776__1.29776	1628085__A0A2U1B8P2__C7386_11431
ERR1913021.29798__1.29798	46228__V8CCB0__HMPREF1202_00792
ERR1913021.29817__1.29817	1262777__R5VT20__BN512_01657
ERR1913021.29949__1.29949	291644__R5JG66__ERS852428_01236
ERR1913021.30089__1.30089	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913021.30217__1.30217	28117__R7JJM9__ALIPUT_00662
ERR1913021.30342__1.30342	1262889__R7H8M8__BN634_00534
ERR1913021.30480__1.30480	821__A0A174NM17__lacZ_6
ERR1913021.30494__1.30494	823__A0A173W1W2__M095_4076
ERR1913021.30571__1.30571	1547597__A0A318N760__BA92_09575
ERR1913021.30745__1.30745	1263006__R6LU28__BN515_01365
ERR1913021.31007__1.31007	1262942__R7R1F7__BN520_00492
ERR1913021.31034__1.31034	371601__D6CW80__CW1_2117
ERR1913021.31061__1.31061	165179__D1PHD6__DXC61_03380
ERR1913021.31169__1.31169	823__A0A173V751__DXD05_02690
ERR1913021.31218__1.31218	821__A0A396F9T7__M097_3427
ERR1913021.31386__1.31386	2293125__A0A374BSW4__DW917_13420
ERR1913021.31478__1.31478	2173__R7PV46__BK798_00245
ERR1913021.31528__1.31528	1261635__A0A1Q9J110__BIV16_13990
ERR1913021.31570__1.31570	291644__R5JCR7__HMPREF1071_01119
ERR1913021.31594__1.31594	821__A0A174NSU0__BVU_3144
ERR1913021.31762__1.31762	1262935__R5GQI1__BN773_00059
ERR1913021.31947__1.31947	1262942__R7R1Y1__BN520_00635
ERR1913021.32022__1.32022	823__A0A173W404__DHP27_04905
ERR1913021.32053__1.32053	1262935__R5GG37__BN773_00249
ERR1913021.32128__1.32128	544645__A0A1U7L806__DXC42_13525
ERR1913021.32183__1.32183	46503__K5ZAK9__NCTC13052_03308
ERR1913021.32611__1.32611	39492__D4JRX7__EUBSIR_01480
ERR1913021.32652__1.32652	2173__A0A1D2WV05__BK798_06920
ERR1913021.32846__1.32846	357276__I8VLL2__HMPREF1065_03395
ERR1913021.32972__1.32972	357276__B6W1Y5__IY41_11405
ERR1913021.33614__1.33614	46228__V8C7P7__HMPREF1202_01523
ERR1913021.33697__1.33697	28117__B0MY82__BHV66_04755
ERR1913021.33722__1.33722	46503__A7AII9__ERS852463_00984
ERR1913021.33873__1.33873	1263000__R5EKG2__BN466_02040
ERR1913021.33947__1.33947	820__A0A139K8N1__ERS852554_00951
ERR1913021.34047__1.34047	46228__V8C4T8__RUMLAC_02058
ERR1913021.34133__1.34133	357276__C3RA36__HMPREF1065_03270
ERR1913021.34164__1.34164	1262886__R6QKS8__BN563_01572
ERR1913021.34177__1.34177	1262889__R7HGV8__BN634_01881
ERR1913021.34372__1.34372	460384__A0A1I0K1U3__SAMN05216313_1437
ERR1913021.34389__1.34389	823__A0A355XJT5__ERS852429_03504
ERR1913021.34518__1.34518	1547597__A0A0C3MH78__DMB45_01045
ERR1913021.34524__1.34524	823__A0A395YSW8__CF162_05645
ERR1913021.34558__1.34558	1262889__R7HEJ5__BN634_01091
ERR1913021.34659__1.34659	1262935__R5GHS7__BN773_01245
ERR1913021.34777__1.34777	40519__U2KYL3__RUMCAL_00170
ERR1913021.34802__1.34802	820__A0A174GYA8__DXB64_07370
ERR1913021.34958__1.34958	291644__R5JR56__HMPREF1532_03512
ERR1913021.34974__1.34974	204516__U6RAM4__HMPREF1534_03439
ERR1913021.35007__1.35007	821__A0A3E4KIM1__M097_3660
ERR1913021.35041__1.35041	357276__C3R9Y0__HMPREF1064_01889
ERR1913021.35172__1.35172	487173__H1CXZ3__HMPREF9453_00231
ERR1913021.35195__1.35195	487174__R5F4K8__HMPREF9448_01532
ERR1913021.35302__1.35302	820__A0A3E4WA06__ERS852554_03404
ERR1913021.35388__1.35388	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913021.35570__1.35570	39492__D4JWA3__ERS852540_01332
ERR1913021.35586__1.35586	291644__I9TDL9__HMPREF1532_01624
ERR1913021.35587__1.35587	357276__A0A076IYG1__B5F95_22465
ERR1913021.35656__1.35656	291645__I8XPK0__HMPREF1068_01554
ERR1913021.35969__1.35969	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913021.36277__1.36277	46228__V8BYC1__RUMLAC_00426
ERR1913021.36446__1.36446	884684__GCA_002892425.1_00913
ERR1913021.36710__1.36710	214856__R5UN64__ERS852447_02669
ERR1913021.36788__1.36788	487174__K0X2Q8__DDY40_04590
ERR1913021.36951__1.36951	821__E5UY21__C800_02204
ERR1913021.37032__1.37032	853__A0A2A7A4A9__C4N21_14870
ERR1913021.37339__1.37339	1262911__R6H2J2__BN557_01228
ERR1913021.37368__1.37368	1262889__R7HAK5__BN634_00884
ERR1913021.37398__1.37398	39492__D4JRL2__ERS852540_01608
ERR1913021.37587__1.37587	46228__B5CPY3__DXD17_03535
ERR1913021.37621__1.37621	46503__R6WYJ8__DXB85_13825
ERR1913021.37636__1.37636	39492__D4JS88__ERS852540_00578
ERR1913021.37880__1.37880	214856__I3YPN9__ERS852447_01389
ERR1913021.37905__1.37905	853__A0A2A7B1Y7__C7K05_11930
ERR1913021.38010__1.38010	487174__K0X773__DIT83_07170
ERR1913021.38081__1.38081	333367__C0DA74__CLOSTASPAR_06177
ERR1913021.38102__1.38102	1735__B7CEC3__EUBIFOR_02567
ERR1913021.38285__1.38285	1262889__R7H9H9__BN634_02436
ERR1913021.38388__1.38388	40518__R5E6X5__sbcD
ERR1913021.38615__1.38615	1262935__R5GG03__BN773_00437
ERR1913021.39021__1.39021	820__A0A139JUD3__DXC91_19380
ERR1913021.39419__1.39419	357276__A0A0M1W1I8__ABI39_13620
ERR1913021.39445__1.39445	1262736__R5Y035__BN496_00793
ERR1913021.39481__1.39481	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913021.39547__1.39547	821__A0A395VMG0__DXC44_18080
ERR1913021.39598__1.39598	487174__K0X5B1__DDY40_01695
ERR1913021.39650__1.39650	28111__E5X120__NCTC11155_02427
ERR1913021.39678__1.39678	357276__A0A076INK2__BSEG_04225
ERR1913021.39685__1.39685	2293125__A0A374BSW4__DW917_13420
ERR1913021.39707__1.39707	1304__F8LKP1__TZ99_00769
ERR1913021.39730__1.39730	357276__I9QBT7__BSEG_03340
ERR1913021.39830__1.39830	40518__R5E1J7__RBL236_02062
ERR1913021.39891__1.39891	28111__E5WUH3__BACEGG_02112
ERR1913021.39982__1.39982	147206__GCF_000156215.1_01971
ERR1913021.39994__1.39994	371601__D7K8P3__SAMN05216250_10395
ERR1913021.40031__1.40031	1262889__R7H8U5__BN634_02236
ERR1913021.40143__1.40143	39492__D4JRM4__tap_5
ERR1913021.40214__1.40214	46228__V8CHW6__DXD17_13890
ERR1913021.40225__1.40225	823__D7ILK2__ERS852380_00031
ERR1913021.40235__1.40235	239935__A0A139TMG9__CXU07_10650
ERR1913021.40356__1.40356	39490__A0A173UKU1__ERS852448_02086
ERR1913021.40483__1.40483	39491__A0A396FUZ3__phoR_1
ERR1913021.40625__1.40625	1897011__A0A1Q6RBX6__BHW41_06385
ERR1913021.40708__1.40708	357276__I9QBT7__BSEG_03340
ERR1913021.40729__1.40729	1262935__R5GGB1__BN773_00342
ERR1913021.40755__1.40755	40518__R5E4X1__DXD93_05270
ERR1913021.40835__1.40835	1262935__R5GHR6__BN773_01235
ERR1913021.40864__1.40864	821__E5UY21__C800_02204
ERR1913021.41054__1.41054	46228__V8BQJ8__DXD17_00240
ERR1913021.41095__1.41095	357276__A0A076J726__IY41_15030
ERR1913021.41116__1.41116	1263107__GCA_000436995.1_00011
ERR1913021.41215__1.41215	1262935__R5GVN5__BN773_00725
ERR1913021.41294__1.41294	28111__R5JN40__HMPREF1016_01803
ERR1913021.41441__1.41441	46228__V8C7P7__HMPREF1202_01523
ERR1913021.41495__1.41495	1262886__R6QP39__BN563_00737
ERR1913021.41731__1.41731	28111__R5JPB6__NCTC11155_02514
ERR1913021.41772__1.41772	1262935__R5GGB5__BN773_00347
ERR1913021.42002__1.42002	1262886__R6QKQ6__BN563_01547
ERR1913021.42007__1.42007	1262935__R5GUD0__BN773_00454
ERR1913021.42088__1.42088	410072__A0A174PVL5__COPCOM_03341
ERR1913021.42147__1.42147	821__A0A174WBC9__ERS852556_03145
ERR1913021.42754__1.42754	165179__A0A174SA26__PREVCOP_05758
ERR1913021.42771__1.42771	818__R6VB25__BSIG_5053
ERR1913021.43199__1.43199	28118__F9Z6D1__DER54_04565
ERR1913021.43396__1.43396	371601__D6CXF8__DXD80_06045
ERR1913021.43409__1.43409	820__A0A1Y3V743__M093_0235
ERR1913021.43501__1.43501	487174__R5FJY1__DDY40_07045
ERR1913021.43526__1.43526	556259__E5C690__BSGG_1431
ERR1913021.43606__1.43606	39492__B0MM84__lgt
ERR1913021.43624__1.43624	1262889__R7HB16__BN634_02255
ERR1913021.43629__1.43629	1262911__R6GPC5__BN557_00852
ERR1913021.43948__1.43948	39492__D4JUS6__accD5
ERR1913021.43959__1.43959	823__A0A355XF06__B5F32_11480
ERR1913021.43964__1.43964	454155__F3QQQ9__HMPREF9442_00501
ERR1913021.44011__1.44011	1262889__R7HBQ2__BN634_01539
ERR1913021.44027__1.44027	1262911__R6H2J2__BN557_01228
ERR1913021.44051__1.44051	357276__A0A174L570__GV66_05720
ERR1913021.44158__1.44158	46506__A0A108TCU0__etk
ERR1913021.44348__1.44348	214856__A0A173YE57__ERS852559_00126
ERR1913021.44409__1.44409	1501332__G9WWX5__HMPREF9624_01349
ERR1913021.44544__1.44544	821__A0A173XDD3__DXB82_17180
ERR1913021.44545__1.44545	821__A0A173XDD3__DXB82_17180
ERR1913021.44752__1.44752	823__A0A355XLT7__HMPREF1075_03402
ERR1913021.45086__1.45086	357276__I9RHT4__EL88_09235
ERR1913021.45128__1.45128	487174__K0X835__DIT83_09510
ERR1913021.45254__1.45254	204516__U6RDD8__HMPREF1534_02559
ERR1913021.45297__1.45297	28111__E5WZR2__HMPREF1016_02168
ERR1913021.45376__1.45376	357276__I9RHT4__EL88_09235
ERR1913021.45440__1.45440	165179__A0A3E5E4T9__DXB80_08030
ERR1913021.45618__1.45618	1262889__R7HDJ0__BN634_01493
ERR1913021.45660__1.45660	2293125__A0A374C5Y6__DW917_09105
ERR1913021.45663__1.45663	46228__V8C4T8__RUMLAC_02058
ERR1913021.45711__1.45711	823__A0A174LWY0__lepB
ERR1913021.45880__1.45880	291644__R5JES5__HMPREF1071_02803
ERR1913021.46016__1.46016	1262825__R5E1G0__BN724_01308
ERR1913021.46050__1.46050	357276__I8WBQ9__HMPREF1065_03212
ERR1913021.46230__1.46230	487175__R5E5C4__HMPREF9439_00381
ERR1913021.46262__1.46262	2108523__A0A2P2F5J6__LAWASA_1285
ERR1913021.46240__1.46240	28117__B0MYI9__BHV66_05415
ERR1913021.46597__1.46597	39491__A0A396FP46__cobD_2
ERR1913021.46576__1.46576	291644__I9HRU8__ERS852428_03635
ERR1913021.46987__1.46987	1262935__R5GFE1__BN773_00206
ERR1913021.46921__1.46921	357276__I8WAB8__B5F00_08100
ERR1913021.47201__1.47201	39492__R6SPM9__pheT
ERR1913021.47351__1.47351	166486__D4KVZ4__sleB_3
ERR1913021.47413__1.47413	823__A0A395YRE1__DXC05_20005
ERR1913021.47462__1.47462	165179__A0A174SA26__PREVCOP_05758
ERR1913021.47621__1.47621	410072__A0A174GUX6__COPCOM_03717
ERR1913021.47801__1.47801	1262889__R7H801__BN634_02373
ERR1913021.47844__1.47844	357276__C3R9Y0__HMPREF1064_01889
ERR1913021.47979__1.47979	821__A0A0P0M2J4__DXD46_10295
ERR1913021.48258__1.48258	154288__A0A0X8G3H5__ERS852561_00946
