ERR1912985.39__1.39	820__A7V092__hldE
ERR1912985.4193__1.4193	28116__I9AKR7__DXA80_22960
ERR1912985.4200__1.4200	487174__K0X070__HMPREF9448_01324
ERR1912985.4209__1.4209	310297__R5VVP4__DXC17_11285
ERR1912985.4385__1.4385	387090__S0F8B2__BACCOPRO_02129
ERR1912985.4393__1.4393	310297__R5VHE6__BACPLE_02321
ERR1912985.4526__1.4526	301301__A0A395V736__ERS852391_01566
ERR1912985.4556__1.4556	387090__S0F7Y3__BACCOPRO_02028
ERR1912985.4560__1.4560	246787__A0A0P0GUU5__BACCELL_02894
ERR1912985.4665__1.4665	74426__rpoC
ERR1912985.4641__1.4641	562__Q8XBR9__G770_00628
ERR1912985.4701__1.4701	357276__A0A076INK2__BSEG_04225
ERR1912985.4773__1.4773	40520__R7D6X4__addA
ERR1912985.4774__1.4774	239935__A0A2N8IKW7__pstA
ERR1912985.4833__1.4833	1897011__A0A1Q6RJV2__BHW41_00030
ERR1912985.5231__1.5231	1897011__A0A1Q6RDL4__BHW41_05540
ERR1912985.5275__1.5275	552398__F4XHU2__HMPREF0866_03196
ERR1912985.5285__1.5285	310297__B5CW17__DXC17_13800
ERR1912985.5316__1.5316	487174__K0X1V7__DIT83_03020
ERR1912985.5301__1.5301	46228__V8CBW1__HMPREF1202_00636
ERR1912985.5309__1.5309	1160721__W0U5X6__RBI_I01796
ERR1912985.5394__1.5394	552398__F4XHU2__HMPREF0866_03196
ERR1912985.5491__1.5491	1262783__R6CVE3__BN558_00695
ERR1912985.5634__1.5634	310297__B5D3X3__DXB87_14935
ERR1912985.5824__1.5824	820__A0A173YYG4__evgS_3
ERR1912985.5940__1.5940	28052__A0A174KGM3__ERS852451_01819
ERR1912985.6117__1.6117	246787__A0A0P0FV02__AA416_03728
ERR1912985.6155__1.6155	246787__A0A0P0GG22__BACCELL_01899
ERR1912985.6213__1.6213	28052__R7NAP6__ERS852499_01969
ERR1912985.6241__1.6241	357276__A0A076IRV2__BACDOR_02822
ERR1912985.6385__1.6385	1150298__A0A174DSD1__dacB_3
ERR1912985.6569__1.6569	1150298__A0A174KMK7__rluD_3
ERR1912985.6652__1.6652	218538__C9LL79__GCWU000321_00015
ERR1912985.6667__1.6667	853__A0A174BZY1__xerD_1
ERR1912985.6683__1.6683	818__A0A3E5GY47__SAMN02910322_02002
ERR1912985.6917__1.6917	1263006__R6MR77__BN515_00434
ERR1912985.6883__1.6883	246787__A0A0P0GNB7__xyl4
ERR1912985.6952__1.6952	1262746__R5S2B4__BN750_01573
ERR1912985.6956__1.6956	1304__F8HCG1__SSALIVM18_03556
ERR1912985.7028__1.7028	46506__R6L6Y9__wza_1
ERR1912985.7151__1.7151	820__A0A3E4WCX3__C801_02709
ERR1912985.7519__1.7519	1304__A0A1V0GL68__CGZ74_06870
ERR1912985.7699__1.7699	28117__B0MWZ9__ALIPUT_01735
ERR1912985.7707__1.7707	246787__A0A3D6ARE5__HMPREF1062_01788
ERR1912985.7713__1.7713	28117__B0MT86__BHV66_02450
ERR1912985.7752__1.7752	301301__A0A395V4X8__ERS852391_01546
ERR1912985.7848__1.7848	28118__R6F7E0__SAMEA44545918_02355
ERR1912985.7859__1.7859	246787__A0A3D6AQP8__AA416_04153
ERR1912985.7916__1.7916	46228__V8C6B2__DXD17_09805
ERR1912985.8160__1.8160	820__A7VAR9__ERS852421_00197
ERR1912985.8227__1.8227	1160721__W0U309__BHW50_02320
ERR1912985.8342__1.8342	1150298__A0A174M3Q0__kynB
ERR1912985.8445__1.8445	1160721__R6U983__RBI_I00047
ERR1912985.8480__1.8480	310297__B5CUZ5__BACPLE_00521
ERR1912985.8617__1.8617	310297__B5CTT3__DXC17_00385
ERR1912985.8680__1.8680	310297__R5VSX6__BHV76_05850
ERR1912985.8884__1.8884	46228__B5CPX5__RUMLAC_01520
ERR1912985.9137__1.9137	310297__B5D433__DXC17_02005
ERR1912985.9284__1.9284	246787__R6LGB3__BcellWH2_02361
ERR1912985.9508__1.9508	218538__C9LNK4__GCWU000321_01127
ERR1912985.9510__1.9510	820__A0A3E4VZT7__DXB48_16145
ERR1912985.9545__1.9545	246787__A0A0P0FV02__AA416_03728
ERR1912985.9628__1.9628	1318__I1ZK58__CYK20_05565
ERR1912985.9658__1.9658	46506__B0NU77__AA415_02810
ERR1912985.9667__1.9667	1262739__R6N5K3__BN659_01691
ERR1912985.9853__1.9853	328814__GCA_004558275.1_01003
ERR1912985.9939__1.9939	237576__C2KZB6__HMPREF6123_1835
ERR1912985.9999__1.9999	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1912985.10042__1.10042	1263000__R5EGY6__BN466_00973
ERR1912985.10123__1.10123	216816__C5E8I1__yciB
ERR1912985.10462__1.10462	853__A8S882__C4N23_07600
ERR1912985.10563__1.10563	1263006__R6LUR7__BN515_01572
ERR1912985.10552__1.10552	2108523__A0A2P2F8A7__LAWASA_2275
ERR1912985.10578__1.10578	246787__R6KK25__HMPREF1062_01860
ERR1912985.10786__1.10786	487174__K0X1V7__DIT83_03020
ERR1912985.10821__1.10821	820__A0A174M9V5__M093_0237
ERR1912985.10947__1.10947	410072__A0A174K1W4__apxIB
ERR1912985.10916__1.10916	246787__A0A0P0GM17__BACCELL_03224
ERR1912985.10966__1.10966	818__A0A0N7IB36__BJP75_006465
ERR1912985.11088__1.11088	820__A0A3E4WCX3__C801_02709
ERR1912985.11094__1.11094	301301__G2T207__cph2_5
ERR1912985.11272__1.11272	46228__V8C484__HMPREF1202_01707
ERR1912985.11434__1.11434	820__A0A139K4T0__ERS852510_03146
ERR1912985.11450__1.11450	820__A0A139KHD8__ERS417307_00569
ERR1912985.11510__1.11510	823__A6LHK0__M090_1297
ERR1912985.11711__1.11711	853__A0A2A7B1Y7__C7K05_11930
ERR1912985.11967__1.11967	1262911__R6H2J2__BN557_01228
ERR1912985.12005__1.12005	1262761__R6QTF1__BN606_01445
ERR1912985.12085__1.12085	310297__B5D2W8__BACPLE_03358
ERR1912985.12188__1.12188	28117__B0MWZ9__ALIPUT_01735
ERR1912985.12238__1.12238	1263006__R6LVS1__BN515_01927
ERR1912985.12309__1.12309	29361__B6FKH5__CLONEX_00621
ERR1912985.12403__1.12403	46503__R6X5I4__ERS852463_01136
ERR1912985.12477__1.12477	28117__R7JN92__BHV66_00550
ERR1912985.12543__1.12543	1160721__R6T2L9__BHW50_11315
ERR1912985.12675__1.12675	246787__A0A3D6ARN8__yehU_6
ERR1912985.12873__1.12873	1897011__A0A1Q6RFQ8__BHW41_03470
ERR1912985.12935__1.12935	818__A0A139K1T6__SAMN05216253_11033
ERR1912985.13028__1.13028	46506__R6LDN0__HMPREF1181_03103
ERR1912985.13153__1.13153	1304__A0A1W5ZCY0__CKU37_03270
ERR1912985.13192__1.13192	1262927__R7EVW4__BN677_01104
ERR1912985.13225__1.13225	46506__B0NRJ1__DXC41_14065
ERR1912985.13241__1.13241	823__E1YQ32__DXC05_04185
ERR1912985.13305__1.13305	310297__B5CZ49__BACPLE_02006
ERR1912985.13383__1.13383	301301__A0A395VFD3__ERS852391_02492
ERR1912985.13431__1.13431	39486__R6SE83__DXD82_03080
ERR1912985.13461__1.13461	820__A0A174F0C1__nreB
ERR1912985.13533__1.13533	1262761__R6QWS5__BN606_02019
ERR1912985.13542__1.13542	1150298__A0A174PC05__ERS852498_00682
ERR1912985.13749__1.13749	46506__R6AEP1__HMPREF1181_01415
ERR1912985.13793__1.13793	47678__R5UET0__BACCAC_02656
ERR1912985.13898__1.13898	1262761__R6R4K8__BN606_01919
ERR1912985.13909__1.13909	46506__B0NM94__HMPREF1181_03250
ERR1912985.14314__1.14314	28118__F9Z8E3__SAMEA44545918_03282
ERR1912985.14491__1.14491	28116__C3R0H4__DXD69_00155
ERR1912985.14668__1.14668	552398__F4XHN7__HMPREF0866_03141
ERR1912985.14809__1.14809	46506__R6LDN0__HMPREF1181_03103
ERR1912985.14915__1.14915	853__A0A173RZ39__C4N22_01650
ERR1912985.14972__1.14972	1160721__R6TAA3__BHW50_03385
ERR1912985.15226__1.15226	239935__A0A2N8I3G2__CXT89_00720
ERR1912985.15206__1.15206	28116__A7M617__SAMN05192582_105025
ERR1912985.15350__1.15350	387090__S0F7Y3__BACCOPRO_02028
ERR1912985.15647__1.15647	821__A0A396F9T7__M097_3427
ERR1912985.15849__1.15849	1262783__R6D3T1__BN558_02203
ERR1912985.15879__1.15879	33025__A0A395J947__C8D73_11315
ERR1912985.15902__1.15902	39496__A5Z5I2__EUBVEN_00963
ERR1912985.15940__1.15940	853__A0A173YYY4__DWZ04_09420
ERR1912985.15951__1.15951	357276__B6W5Q9__HMPREF1063_03125
ERR1912985.15989__1.15989	310297__B5D2R6__DXB87_15610
ERR1912985.16080__1.16080	301301__A0A395VD41__RHOM_11540
ERR1912985.16166__1.16166	28117__B0MWP2__ALIPUT_01468
ERR1912985.16135__1.16135	1262777__R5W7W6__BN512_00643
ERR1912985.16231__1.16231	1262761__R6QH71__BN606_00371
ERR1912985.16486__1.16486	357276__A0A0M1W9N4__GV66_05135
ERR1912985.16481__1.16481	357276__A0A076J8D4__HMPREF1064_00553
ERR1912985.16602__1.16602	357276__B6W1J2__BACDOR_03380
ERR1912985.17081__1.17081	301301__A0A395VD41__RHOM_11540
ERR1912985.17161__1.17161	301301__A0A395VAJ9__RHOM_06125
ERR1912985.17164__1.17164	301301__G2T207__cph2_5
ERR1912985.17185__1.17185	33025__A0A395JAA6__C8D73_10641
ERR1912985.17195__1.17195	1263006__R6LI44__BN515_01329
ERR1912985.17283__1.17283	28117__B0MTV3__BHV66_06405
ERR1912985.17328__1.17328	371601__D7J5N6__HMPREF1074_04460
ERR1912985.17381__1.17381	820__A0A174CG08__DXB62_13215
ERR1912985.17458__1.17458	820__A0A3E4XDK3__ERS852554_03650
ERR1912985.17627__1.17627	820__A0A174LJB2__HMPREF1072_04112
ERR1912985.17961__1.17961	820__R9I3N4__M093_0061
ERR1912985.17976__1.17976	246787__R6LGB3__BcellWH2_02361
ERR1912985.18033__1.18033	1262992__R5DCV6__BN795_00412
ERR1912985.18290__1.18290	2137880__A0A316NJ34__DBY21_09630
ERR1912985.18299__1.18299	166486__A0A173V5I7__ERS852572_02640
ERR1912985.18594__1.18594	246787__A0A108T1Y3__fepA_8
ERR1912985.18638__1.18638	246787__R6LCL3__AA416_03522
ERR1912985.18836__1.18836	46506__B0NP81__SAMN05444283_10688
ERR1912985.18841__1.18841	28118__R6F6C0__Odosp_0731
ERR1912985.18902__1.18902	1160721__W0U4W5__BHW50_05260
ERR1912985.18928__1.18928	410072__C0BC02__ERS852481_00783
ERR1912985.18929__1.18929	820__A7VAS1__HMPREF2141_03259
ERR1912985.19003__1.19003	818__C6IJ08__BJP75_000645
ERR1912985.19035__1.19035	301301__A0A395V3C0__mcpC_6
ERR1912985.19193__1.19193	1897011__A0A1Q6RJY0__BHW41_00040
ERR1912985.19355__1.19355	1263000__R5EDV4__BN466_01097
ERR1912985.19322__1.19322	39491__A0A395UWA3__DXB69_11805
ERR1912985.19550__1.19550	310297__B5CVZ7__DXB87_08345
ERR1912985.19603__1.19603	1304__A0A1W5ZCY0__CKU37_03270
ERR1912985.19621__1.19621	820__A0A174DZ97__SAMN05444418_101240
ERR1912985.19632__1.19632	1263107__GCA_000436995.1_00165
ERR1912985.19693__1.19693	1263000__R5EXT3__BN466_02213
ERR1912985.19734__1.19734	310297__B5CZ21__DXB87_00235
ERR1912985.19751__1.19751	239935__B2UQP8__CXU15_01110
ERR1912985.19884__1.19884	239935__R6JD78__CXU05_09250
ERR1912985.20100__1.20100	1160721__W0U811__RBI_II00162
ERR1912985.20108__1.20108	46506__A0A108TCU0__etk
ERR1912985.20662__1.20662	46228__B5CKT3__RUMLAC_00047
ERR1912985.20684__1.20684	1160721__R6TBU4__BHW50_04080
ERR1912985.20845__1.20845	357276__A0A1Y4PPG2__B5F95_02305
ERR1912985.20853__1.20853	239935__A0A2N8HUU6__CXT90_06150
ERR1912985.20990__1.20990	1308__V8LQF4__ADU38_1886
ERR1912985.21131__1.21131	329854__R7E733__DXD57_00120
ERR1912985.21227__1.21227	310297__B5CZW4__BACPLE_02283
ERR1912985.21380__1.21380	246787__A0A108T429__BACCELL_00192
ERR1912985.21400__1.21400	246787__A0A3D6AZF8__BACCELL_02529
ERR1912985.21635__1.21635	1263006__R6LR21__BN515_00462
ERR1912985.21708__1.21708	47678__R5U819__DW706_12015
ERR1912985.21775__1.21775	46506__A0A108TDB0__DXC34_12240
ERR1912985.21880__1.21880	818__A0A3E5HN72__C799_03359
ERR1912985.22017__1.22017	1981510__A0A2K9P4Q3__B9O19_01643
ERR1912985.22055__1.22055	47678__R5U2W6__CGC64_03455
ERR1912985.22076__1.22076	328814__GCA_004558275.1_01621
ERR1912985.22091__1.22091	46506__R6AEP1__HMPREF1181_01415
ERR1912985.22221__1.22221	46503__K5ZV67__PARMER_03859
ERR1912985.22231__1.22231	28117__R7JLL3__ALIPUT_02219
ERR1912985.22440__1.22440	1263006__R6LYS1__BN515_01485
ERR1912985.22473__1.22473	1262893__R5GR06__BN782_01741
ERR1912985.22632__1.22632	28118__R6FCY1__DER54_07335
ERR1912985.22712__1.22712	106588__A6NUL8__BACCAP_01900
ERR1912985.22748__1.22748	28117__B0MVL5__BHV66_01660
ERR1912985.22862__1.22862	46506__A0A108TBL0__BACSTE_01998
ERR1912985.23032__1.23032	46506__A0A108T991__AA415_01433
ERR1912985.23044__1.23044	818__A0A0N7I9C8__BT_2965
ERR1912985.23055__1.23055	820__A7VAR9__ERS852421_00197
ERR1912985.23166__1.23166	310297__R5VWM0__DXB87_05840
ERR1912985.23345__1.23345	1263006__R6M2H0__BN515_00628
ERR1912985.23505__1.23505	46228__B5CPX5__RUMLAC_01520
ERR1912985.23550__1.23550	310297__B5CTT3__DXC17_00385
ERR1912985.23755__1.23755	301301__G2SZJ7__RHOM_00620
ERR1912985.23827__1.23827	46506__B0NRL7__arlS
ERR1912985.23851__1.23851	46506__S3YVT5__BACSTE_02352
ERR1912985.23864__1.23864	46506__R6ALX0__HMPREF1181_01042
ERR1912985.23883__1.23883	46506__B0NM94__HMPREF1181_03250
ERR1912985.24034__1.24034	820__A0A3E4W4Y7__B5G17_02055
ERR1912985.24191__1.24191	28117__B0MYW7__ALIPUT_02336
ERR1912985.24234__1.24234	1262927__R7F1Y8__BN677_00346
ERR1912985.24532__1.24532	39485__C4Z355__ERS852490_01971
ERR1912985.24604__1.24604	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1912985.24685__1.24685	847__C3X7B4__BRW83_2163
ERR1912985.24744__1.24744	46506__R6AEM4__DXC41_06545
ERR1912985.24721__1.24721	310297__R5V778__BACPLE_02189
ERR1912985.24729__1.24729	28117__B0MXG8__ALIPUT_01814
ERR1912985.24753__1.24753	39491__A0A396FTE5__ERS852417_01346
ERR1912985.24820__1.24820	301301__A0A395VAV8__ERS852391_02437
ERR1912985.24844__1.24844	1263006__R6M176__BN515_00274
ERR1912985.24937__1.24937	28116__R6JIR4__DXA80_14190
ERR1912985.24939__1.24939	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1912985.25309__1.25309	310297__B5CWI6__DXB87_12520
ERR1912985.25318__1.25318	39485__C4Z0T2__ykvU
ERR1912985.25343__1.25343	387090__S0F8B2__BACCOPRO_02129
ERR1912985.25469__1.25469	1897011__A0A1Q6RG85__BHW41_02670
ERR1912985.25497__1.25497	301301__A0A395V5B0__ERS852391_02078
ERR1912985.25581__1.25581	310297__B5CVZ7__DXB87_08345
ERR1912985.25681__1.25681	106588__A6NUL8__BACCAP_01900
ERR1912985.25697__1.25697	357276__A0A076IYG1__B5F95_22465
ERR1912985.25759__1.25759	357276__A0A0M1W4C0__DXD47_07095
ERR1912985.25844__1.25844	28117__B0MXU0__BHV66_07550
ERR1912985.25891__1.25891	1160721__W0U4W5__BHW50_05260
ERR1912985.25951__1.25951	46506__A0A108TAK3__fepA_3
ERR1912985.26026__1.26026	853__D4JY61__C4N21_10560
ERR1912985.26158__1.26158	394340__rplK
ERR1912985.26239__1.26239	46228__V8BSH8__HMPREF1202_02173
ERR1912985.26245__1.26245	820__A0A139K5A6__DXB48_12175
ERR1912985.26391__1.26391	218538__C9LPM9__GCWU000321_01509
ERR1912985.26491__1.26491	239935__A0A2N8ITX2__CXT86_11265
ERR1912985.26578__1.26578	216816__Q8G6X1__DD674_00140
ERR1912985.26647__1.26647	28117__B0MU76__ALIPUT_00202
ERR1912985.26753__1.26753	246787__R6KBH9__HMPREF1062_04676
ERR1912985.26695__1.26695	2014542__A0A220SSC6__CEK62_19860
ERR1912985.26848__1.26848	818__A0A3E5HNS1__BSIG_0465
ERR1912985.26940__1.26940	410072__A0A173Y4Y6__ERS852389_02300
ERR1912985.27016__1.27016	1304__T0T9N5__CQA85_09935
ERR1912985.27065__1.27065	39492__D4JVT0__EUBSIR_00059
ERR1912985.27122__1.27122	820__A0A396EUV1__B5G17_06465
ERR1912985.27100__1.27100	357276__B6W5Q7__DXD47_13945
ERR1912985.27229__1.27229	33025__A0A395JBB5__C8D73_107104
ERR1912985.27250__1.27250	1262761__R6QJJ2__BN606_00358
ERR1912985.27254__1.27254	410072__C0B8M3__ERS852574_02182
ERR1912985.27672__1.27672	818__A0A139K9H8__C5Z03_23905
ERR1912985.27979__1.27979	246787__R6LCL3__AA416_03522
ERR1912985.28383__1.28383	1263000__R5EDV4__BN466_01097
ERR1912985.28462__1.28462	820__R7E9Z4__DXC68_06065
ERR1912985.28481__1.28481	301301__A0A395V700__RHOM_03405
ERR1912985.28495__1.28495	246787__A0A3D6AZF8__BACCELL_02529
ERR1912985.28513__1.28513	28117__B0N007__BHV66_10275
ERR1912985.28690__1.28690	47678__R5UA58__ERS852558_01431
ERR1912985.28837__1.28837	1862668__GCA_001945525.1_00022
ERR1912985.28853__1.28853	1262761__R6QN98__BN606_00094
ERR1912985.28857__1.28857	1263006__R6LQF9__BN515_02202
ERR1912985.28870__1.28870	239935__A0A2N8HUU6__CXT90_06150
ERR1912985.28875__1.28875	310297__R5VT57__BACPLE_00602
ERR1912985.29106__1.29106	246787__R6KIG0__BcellWH2_02358
ERR1912985.29250__1.29250	1263107__GCA_000436995.1_00115
ERR1912985.29430__1.29430	310297__B5CV97__DXD04_03850
ERR1912985.29403__1.29403	853__A0A174BA00__DW905_01145
ERR1912985.29356__1.29356	310297__B5D3X5__BHV76_01155
ERR1912985.29493__1.29493	39491__A0A173U130__ERE_16110
ERR1912985.29551__1.29551	546367__A0A2A2MCK0__DVH09_13455
ERR1912985.29630__1.29630	39485__C4Z0F4__ERS852490_00945
ERR1912985.29700__1.29700	28117__B0MXG8__ALIPUT_01814
ERR1912985.29873__1.29873	46228__V8CE19__DXD17_01950
ERR1912985.29878__1.29878	1262886__R6QJJ7__BN563_01219
ERR1912985.29955__1.29955	46506__R6AEP1__HMPREF1181_01415
ERR1912985.29992__1.29992	1160721__W0U2T9__BHW50_11050
ERR1912985.30115__1.30115	40520__D4LXF6__RUMOBE_00717
ERR1912985.30090__1.30090	28117__B0MTV0__BHV66_06395
ERR1912985.30091__1.30091	46506__S3YT03__AA415_01895
ERR1912985.30184__1.30184	357276__I8WEZ6__BACDOR_02323
ERR1912985.30212__1.30212	39491__A0A395ZEN3__DXD95_12655
ERR1912985.30339__1.30339	46506__A0A108TAK3__fepA_3
ERR1912985.30504__1.30504	310297__B5D2R6__DXB87_15610
ERR1912985.30606__1.30606	46506__B0NT08__BACSTE_02624
ERR1912985.30711__1.30711	1160721__W0U429__RBI_I00578
ERR1912985.30939__1.30939	28116__D7K2E0__endOF2_3
ERR1912985.30950__1.30950	310297__R5VBJ5__DXC17_12085
ERR1912985.31051__1.31051	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1912985.31123__1.31123	820__A0A139K024__B5G17_02060
ERR1912985.31346__1.31346	246787__A0A0P0GCR8__xynD_3
ERR1912985.31915__1.31915	820__A0A396CMY7__HMPREF1072_03009
ERR1912985.32162__1.32162	820__A0A3E4G493__ERS417307_00253
ERR1912985.32175__1.32175	357276__C3REQ8__GV66_09740
ERR1912985.32183__1.32183	1150298__A0A174B7I7__ERS852535_01258
ERR1912985.32221__1.32221	46506__B0NU77__AA415_02810
ERR1912985.32399__1.32399	28117__B0MSQ3__ALIPUT_00347
ERR1912985.32401__1.32401	1535__A7VS87__CLOLEP_01425
ERR1912985.32411__1.32411	328814__GCA_004558275.1_00239
ERR1912985.32588__1.32588	818__A0A3E5HNR9__BSIG_1712
ERR1912985.32607__1.32607	39491__A0A396FTE5__ERS852417_01346
ERR1912985.32678__1.32678	1263109__GCA_000438135.1_00036
ERR1912985.32704__1.32704	818__Q8A3I3__HMPREF2534_00068
ERR1912985.32836__1.32836	310297__R5V814__DXC17_10530
ERR1912985.32935__1.32935	28111__E5WZR2__HMPREF1016_02168
ERR1912985.32964__1.32964	310297__B5CWQ0__DXB87_14670
ERR1912985.33024__1.33024	46506__R6ALX0__HMPREF1181_01042
ERR1912985.33313__1.33313	328814__GCA_004558275.1_00075
ERR1912985.33360__1.33360	310297__B5D3X5__BHV76_01155
ERR1912985.33466__1.33466	821__D4VD59__BHV80_04260
ERR1912985.33474__1.33474	1263109__GCA_000438135.1_00036
ERR1912985.33612__1.33612	328814__GCA_004558275.1_01003
ERR1912985.33653__1.33653	301301__A0A395V944__ERS852391_00514
ERR1912985.33704__1.33704	310297__B5CV67__DXD04_03690
ERR1912985.33848__1.33848	39492__D4JW25__EUBSIR_02203
ERR1912985.33886__1.33886	1263000__R5EUG9__BN466_01476
ERR1912985.33978__1.33978	820__A0A173YYG4__evgS_3
ERR1912985.34063__1.34063	310297__R5VDA5__DXD04_03930
ERR1912985.34064__1.34064	310297__B5CU49__DXD04_00310
ERR1912985.34154__1.34154	246787__R6KBH9__HMPREF1062_04676
ERR1912985.34352__1.34352	820__A0A173WZS4__DXD90_10250
ERR1912985.34437__1.34437	28117__B0MXG8__ALIPUT_01814
ERR1912985.34547__1.34547	1150298__A0A174KW35__cbbX
ERR1912985.34571__1.34571	310297__B5CXG9__DXB87_06535
ERR1912985.34651__1.34651	820__I9A4U7__DHU98_12785
ERR1912985.34711__1.34711	487174__K0XES7__HMPREF9448_00566
ERR1912985.34794__1.34794	46506__A0A3E4USX2__BACSTE_03107
ERR1912985.34805__1.34805	28117__B0MUL5__ALIPUT_00722
ERR1912985.34825__1.34825	310297__B5CXJ7__DXB87_06645
ERR1912985.34844__1.34844	338188__R6RPM5__bglX_6
ERR1912985.35297__1.35297	40520__C6JG23__ERS852533_01990
ERR1912985.35469__1.35469	46506__S3YBS6__AA415_01011
ERR1912985.35495__1.35495	1263107__GCA_000436995.1_00031
ERR1912985.35552__1.35552	821__A0A395UNT8__DXD64_15275
ERR1912985.35613__1.35613	820__A0A1T4IY71__HMPREF2141_02402
ERR1912985.35628__1.35628	310297__R5VL46__BACPLE_00694
ERR1912985.35677__1.35677	39488__R6GWX1__EUBHAL_01710
ERR1912985.35718__1.35718	394340__dnaX_1
ERR1912985.35759__1.35759	46506__B0NRL4__HMPREF1181_00205
ERR1912985.35860__1.35860	1150298__R7JMX3__ERS852498_00681
ERR1912985.36011__1.36011	1262761__R6RMH1__BN606_00005
ERR1912985.36187__1.36187	28117__B0MYW7__ALIPUT_02336
ERR1912985.36350__1.36350	1262992__R5DC38__BN795_00276
ERR1912985.36439__1.36439	28117__B0MYP3__BHV66_04995
ERR1912985.36477__1.36477	1263000__R5ES99__BN466_01121
ERR1912985.36494__1.36494	818__A0A3E5GXM2__BJP75_025230
ERR1912985.36523__1.36523	216816__B3DRU6__DPC6323_0992
ERR1912985.36592__1.36592	818__A0A139K9H8__C5Z03_23905
ERR1912985.36623__1.36623	310297__B5CUF3__DXB87_07245
ERR1912985.36642__1.36642	1897011__A0A1Q6RH58__BHW41_01950
ERR1912985.36693__1.36693	301301__A0A395V9A0__RHOM_08800
