ERR1913062.307__1.307	28118__F9Z6D0__DHW44_12795
ERR1913062.10440__1.10440	418240__A0A173XCL4__ERS852523_02725
ERR1913062.10796__1.10796	39488__C0F0P8__EUBHAL_03272
ERR1913062.10946__1.10946	166486__A0A173V5I7__ERS852572_02640
ERR1913062.11114__1.11114	40520__A0A174IJ62__DXC87_06795
ERR1913062.11284__1.11284	823__A0A355XLT7__HMPREF1075_03402
ERR1913062.11332__1.11332	357276__A0A076IN21__BSEG_03078
ERR1913062.11383__1.11383	166486__D4L1P3__ERS852572_00760
ERR1913062.11395__1.11395	1262930__R6AX81__BN693_00293
ERR1913062.11629__1.11629	821__A0A396EVC9__DXB90_03525
ERR1913062.12143__1.12143	165179__D1PGU8__PREVCOP_06463
ERR1913062.12154__1.12154	2293125__A0A374C9I8__DW917_06795
ERR1913062.12308__1.12308	853__A0A2A7B9I6__DW855_13690
ERR1913062.12449__1.12449	823__A6L9W2__DXB14_07905
ERR1913062.12468__1.12468	165179__D1PAV8__DXB80_13055
ERR1913062.12598__1.12598	1628085__A0A1C6CGB4__C7386_11411
ERR1913062.12614__1.12614	39491__C4ZHS4__EUR_24420
ERR1913062.12729__1.12729	39491__R6UMS6__DXD13_07035
ERR1913062.12746__1.12746	821__E5UMZ6__BVU_1450
ERR1913062.12752__1.12752	820__A0A3E4G8F8__ERS852421_01645
ERR1913062.12850__1.12850	1262930__R6A1N0__BN693_00917
ERR1913062.12949__1.12949	823__K6APS3__DDY96_02400
ERR1913062.13205__1.13205	1150298__R7JU23__ERS852498_02342
ERR1913062.13208__1.13208	357276__C3R9Y0__HMPREF1064_01889
ERR1913062.13213__1.13213	39488__C0EY66__prkC_1
ERR1913062.13228__1.13228	1262924__R7HTA4__BN585_00391
ERR1913062.13258__1.13258	166486__A0A173RAP7__ROSINTL182_07969
ERR1913062.13323__1.13323	1150298__A0A174DX06__ERS852498_00491
ERR1913062.13462__1.13462	1262930__R6AEC7__BN693_00159
ERR1913062.13728__1.13728	1965632__A0A1Y4A628__B5F91_13735
ERR1913062.13836__1.13836	1150298__R7JPI7__cotI
ERR1913062.14017__1.14017	410072__A0A174QX27__murE_2
ERR1913062.14023__1.14023	39491__C4ZCV5__DXB99_11855
ERR1913062.14010__1.14010	410072__A0A174H348__sfp_2
ERR1913062.14058__1.14058	39496__A5Z7Y8__EUBVEN_01828
ERR1913062.14135__1.14135	310298__B3JED9__BACCOP_00230
ERR1913062.14197__1.14197	410072__A0A174PW62__DXD67_02115
ERR1913062.14239__1.14239	357276__I8VQA2__HMPREF1065_04183
ERR1913062.14430__1.14430	310298__B3JFK6__BACCOP_00656
ERR1913062.14518__1.14518	823__K6AS99__ERS852429_01856
ERR1913062.14561__1.14561	357276__D1JYA0__EL88_06560
ERR1913062.14577__1.14577	1680__A1A0V3__C8077_03025
ERR1913062.14766__1.14766	28118__F9Z856__macA_2
ERR1913062.14712__1.14712	853__A0A174C5M1__CGS58_04460
ERR1913062.14993__1.14993	2293125__A0A374C9I8__DW917_06795
ERR1913062.15354__1.15354	46503__R6X0L4__DXB61_05325
ERR1913062.15385__1.15385	626930__F3PYU5__HMPREF9446_03903
ERR1913062.15468__1.15468	820__A0A174RFI5__SAMN05444418_12240
ERR1913062.15474__1.15474	360807__A0A396AFL7__ERS852444_02858
ERR1913062.15548__1.15548	39488__C0EVS1__ERS852450_02297
ERR1913062.15625__1.15625	33025__A0A395JAF6__C8D73_10758
ERR1913062.15754__1.15754	1965632__A0A1Y4A628__B5F91_13735
ERR1913062.15755__1.15755	1262992__R5D1X3__BN795_00176
ERR1913062.15810__1.15810	2293125__A0A374BUM7__DW917_12980
ERR1913062.15888__1.15888	165179__A0A3E5A5E5__DXC61_13965
ERR1913062.16003__1.16003	821__A0A0P0M6M0__M097_4734
ERR1913062.16005__1.16005	1263044__GCA_000433375.1_03391
ERR1913062.16159__1.16159	821__A0A174WBC9__ERS852556_03145
ERR1913062.16328__1.16328	338188__A0A174ETX3__ERS852397_01955
ERR1913062.16332__1.16332	853__A0A173T6P2__DWZ46_14595
ERR1913062.16552__1.16552	165179__A0A3E5AER8__DXB80_07075
ERR1913062.16544__1.16544	1628085__A0A374VV54__C7386_11332
ERR1913062.16546__1.16546	204516__U6RH18__HMPREF1534_01847
ERR1913062.16604__1.16604	301301__A0A173Z460__sunS_1
ERR1913062.16675__1.16675	39488__A0A374MTU0__ERS852578_02616
ERR1913062.16701__1.16701	1262930__R6AYA7__BN693_00428
ERR1913062.16870__1.16870	360807__A0A1Q6T542__RIL183_02161
ERR1913062.16893__1.16893	310298__B3JQR0__BACCOP_04272
ERR1913062.16966__1.16966	28118__R6F984__B5F93_04540
ERR1913062.17046__1.17046	418240__A0A173X9D3__ERS852478_00421
ERR1913062.17178__1.17178	818__A0A3E5HN77__HMPREF2534_00072
ERR1913062.17214__1.17214	310298__B3JQJ5__BACCOP_04231
ERR1913062.17279__1.17279	166486__R6AY46__ROSINTL182_06128
ERR1913062.17379__1.17379	357276__A0A076IYG1__B5F95_22465
ERR1913062.17399__1.17399	165179__D1PHD6__DXC61_03380
ERR1913062.17434__1.17434	821__A0A395UNT8__DXD64_15275
ERR1913062.17444__1.17444	357276__A0A076IYG1__B5F95_22465
ERR1913062.17462__1.17462	46503__A7ADV9__ERS852463_01504
ERR1913062.17488__1.17488	820__A0A174DZ97__SAMN05444418_101240
ERR1913062.17519__1.17519	823__A0A355XKR1__DHP27_04035
ERR1913062.17677__1.17677	310298__B3JGJ2__BACCOP_00994
ERR1913062.17723__1.17723	649756__R5Z9G3__ERS852571_02234
ERR1913062.17833__1.17833	649756__L1Q1Y2__DO83_04045
ERR1913062.17843__1.17843	823__A0A395YRE1__DXC05_20005
ERR1913062.18048__1.18048	487174__K0XER9__DDY40_08885
ERR1913062.18057__1.18057	626933__H1DGX0__HMPREF9449_01506
ERR1913062.18348__1.18348	39486__G1WN57__DORFOR_02477
ERR1913062.18681__1.18681	821__A0A174AYT0__DXC02_03530
ERR1913062.18846__1.18846	2293125__A0A374BY09__DW917_11855
ERR1913062.19144__1.19144	821__A6L0C7__ERS852556_03520
ERR1913062.19183__1.19183	823__A0A395YSW8__CF162_05645
ERR1913062.19232__1.19232	1262930__R6A759__BN693_00811
ERR1913062.19296__1.19296	165179__R6PU83__CFT61_14275
ERR1913062.19302__1.19302	823__A0A073I9P2__CF162_18000
ERR1913062.19338__1.19338	821__I9R3W6__DXC16_12455
ERR1913062.19562__1.19562	1262930__R6AYC4__BN693_00448
ERR1913062.19918__1.19918	310298__B3JF96__BACCOP_00544
ERR1913062.19926__1.19926	2293125__A0A374BUM7__DW917_12980
ERR1913062.20073__1.20073	410072__C0B8G3__DXD67_01535
ERR1913062.20190__1.20190	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913062.20288__1.20288	218538__C9LR31__GCWU000321_02013
ERR1913062.20297__1.20297	39488__A0A173UK14__araC_3
ERR1913062.20421__1.20421	820__A0A374QGD2__ERS852421_02382
ERR1913062.20445__1.20445	1262930__R6A468__BN693_01366
ERR1913062.20519__1.20519	1472761__GCA_002159295.1_00731
ERR1913062.20642__1.20642	310298__B3JED9__BACCOP_00230
ERR1913062.20705__1.20705	1262930__R5ZXU1__BN693_01352
ERR1913062.20963__1.20963	33039__A0A173U4W1__ERS852502_00464
ERR1913062.21023__1.21023	322505__frlB
ERR1913062.21103__1.21103	357276__B6W5Q9__HMPREF1063_03125
ERR1913062.21505__1.21505	166486__D4L0Q4__ERS852572_03675
ERR1913062.21511__1.21511	2293125__A0A374C9I8__DW917_06795
ERR1913062.21538__1.21538	818__A0A0P0F7K1__ERS852461_02719
ERR1913062.21604__1.21604	310298__B3JQJ5__BACCOP_04231
ERR1913062.21683__1.21683	820__A0A3E4WCC2__lptB_1
ERR1913062.21807__1.21807	818__A0A0N7IB36__BJP75_006465
ERR1913062.22026__1.22026	1262924__R7HP98__BN585_02065
ERR1913062.22105__1.22105	821__U6RDC2__DXD46_15675
ERR1913062.22231__1.22231	166486__D4L334__mcp3_1
ERR1913062.22242__1.22242	46503__R6X5I4__ERS852463_01136
ERR1913062.22342__1.22342	821__A0A396F1N0__M099_1553
ERR1913062.22343__1.22343	1262924__R7HMZ4__BN585_01629
ERR1913062.22314__1.22314	39496__A5ZAL3__EUBVEN_02760
ERR1913062.22323__1.22323	1262930__R6A468__BN693_01366
ERR1913062.22327__1.22327	166486__D4L255__mcp4_5
ERR1913062.22422__1.22422	165179__R6B8D8__DXC61_09245
ERR1913062.22551__1.22551	1262924__R7HPG6__BN585_00099
ERR1913062.22769__1.22769	821__A0A396F9T7__M097_3427
ERR1913062.22761__1.22761	1262930__R5ZWP2__BN693_01542
ERR1913062.23007__1.23007	820__A0A139JRS5__HMPREF1073_04025
ERR1913062.23111__1.23111	46506__B0NU77__AA415_02810
ERR1913062.23150__1.23150	410072__A0A174LWU8__ERS852481_03155
ERR1913062.23200__1.23200	371601__A0A174FW12__HMPREF1074_03447
ERR1913062.23320__1.23320	1735__B7CE32__EUBIFOR_02474
ERR1913062.23336__1.23336	39486__R6TIP5__DXD50_08735
ERR1913062.23360__1.23360	821__C6Z451__BHV80_04265
ERR1913062.23513__1.23513	165179__D1PHC0__PREVCOP_06640
ERR1913062.23572__1.23572	626930__F3PYU5__HMPREF9446_03903
ERR1913062.23647__1.23647	820__A0A3E4G8F8__ERS852421_01645
ERR1913062.23819__1.23819	165179__A0A174SA26__PREVCOP_05758
ERR1913062.23904__1.23904	357276__B6W1Y1__BSEG_03960
ERR1913062.24039__1.24039	2293125__A0A374CJ42__DW917_03305
ERR1913062.24092__1.24092	853__A0A173YYY4__DWZ04_09420
ERR1913062.24341__1.24341	310298__B3JFK6__BACCOP_00656
ERR1913062.24547__1.24547	33039__D4M378__cysL_1
ERR1913062.24669__1.24669	821__A0A078R9Y9__M097_2119
ERR1913062.24720__1.24720	1735__B7C8P3__EUBIFOR_00547
ERR1913062.24852__1.24852	1099853__U5CKV1__NSB1T_12505
ERR1913062.25026__1.25026	357276__I8WC65__EL88_00520
ERR1913062.25080__1.25080	823__A0A395YRX4__ERS852513_03444
ERR1913062.25239__1.25239	1262930__R6A468__BN693_01366
ERR1913062.25266__1.25266	310298__B3JQJ5__BACCOP_04231
ERR1913062.25253__1.25253	410072__A0A3E4GMX9__yqgN
ERR1913062.25305__1.25305	357276__A0A1Y3Z3W0__IY41_20500
ERR1913062.25311__1.25311	821__A6L0C7__ERS852556_03520
ERR1913062.25544__1.25544	357276__A0A0M1W1I8__ABI39_13620
ERR1913062.25552__1.25552	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913062.25608__1.25608	28111__E5WUE9__NCTC11155_01729
ERR1913062.25751__1.25751	165179__A0A174SA26__PREVCOP_05758
ERR1913062.25786__1.25786	357276__A0A174L570__GV66_05720
ERR1913062.25882__1.25882	2293125__A0A374BSW4__DW917_13420
ERR1913062.25946__1.25946	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913062.25997__1.25997	1150298__A0A174QSN4__rpoD
ERR1913062.26160__1.26160	357276__I9QBT7__BSEG_03340
ERR1913062.26137__1.26137	821__A0A396F9T7__M097_3427
ERR1913062.26147__1.26147	310298__B3JPD1__BACCOP_02317
ERR1913062.26183__1.26183	821__A0A174V2F3__NCTC10583_01474
ERR1913062.26218__1.26218	487174__K0WWT0__DIT83_10190
ERR1913062.26368__1.26368	410072__A0A3E4GRE0__DXD67_07105
ERR1913062.26564__1.26564	46503__A7AFT6__ERS852463_00204
ERR1913062.26660__1.26660	853__A0A173YYY4__DWZ04_09420
ERR1913062.26767__1.26767	166486__D4L2T9__lytM
ERR1913062.26808__1.26808	2293125__A0A374BUM7__DW917_12980
ERR1913062.26826__1.26826	544644__GCA_001915615.1_01749
ERR1913062.27072__1.27072	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.27037__1.27037	165179__D1PDF6__DXB80_12430
ERR1913062.27204__1.27204	166486__D4KUC4__arcB_1
ERR1913062.27394__1.27394	487174__K0WZ94__HMPREF9448_00984
ERR1913062.27479__1.27479	2293125__A0A374CMK5__DW917_00330
ERR1913062.27540__1.27540	821__C6ZAA5__ERS852556_00403
ERR1913062.27557__1.27557	166486__D4KWZ7__cph2_5
ERR1913062.27565__1.27565	821__A0A174V2F3__NCTC10583_01474
ERR1913062.27670__1.27670	165179__D1PGU8__PREVCOP_06463
ERR1913062.27682__1.27682	823__A0A395YQ63__B5F32_15335
ERR1913062.27759__1.27759	2293125__A0A374C9I8__DW917_06795
ERR1913062.27835__1.27835	360807__C0FVT5__RIL183_27241
ERR1913062.27803__1.27803	166486__D4L3K7__ERS852572_00904
ERR1913062.27808__1.27808	360807__A0A1Q6T9R3__ERS852392_02666
ERR1913062.27857__1.27857	487174__K0XLV6__DIT83_00940
ERR1913062.27933__1.27933	360807__A0A396ACQ8__ROSEINA2194_00690
ERR1913062.27959__1.27959	820__A0A173W419__DXC68_17760
ERR1913062.28031__1.28031	166486__D4L255__mcp4_5
ERR1913062.28228__1.28228	166486__D4L398__ERS852572_03633
ERR1913062.28264__1.28264	418240__A0A174C465__ydaM
ERR1913062.28270__1.28270	2293125__A0A374BUM7__DW917_12980
ERR1913062.28304__1.28304	357276__B6W1Y1__BSEG_03960
ERR1913062.28377__1.28377	818__A0A139K9H8__C5Z03_23905
ERR1913062.28545__1.28545	357276__C3R5A0__B5F00_02960
ERR1913062.28700__1.28700	310298__B3JQJ5__BACCOP_04231
ERR1913062.28703__1.28703	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.28727__1.28727	820__R7E9Z4__DXC68_06065
ERR1913062.28810__1.28810	310298__B3JMZ2__BACCOP_03297
ERR1913062.28825__1.28825	821__A0A3E4WAR6__DXD64_10735
ERR1913062.28919__1.28919	166486__A0A1Q6SCR5__ROSINTL182_05686
ERR1913062.28924__1.28924	1262930__R6AX76__BN693_00292
ERR1913062.28971__1.28971	1308__A0A2U2MC25__X841_01290
ERR1913062.29033__1.29033	310298__B3JEE8__BACCOP_00239
ERR1913062.29215__1.29215	823__A0A395Z066__M091_0663
ERR1913062.29281__1.29281	821__A0A3E4WAR6__DXD64_10735
ERR1913062.29300__1.29300	544644__GCA_001915615.1_01953
ERR1913062.29348__1.29348	2293125__A0A374BSW4__DW917_13420
ERR1913062.29455__1.29455	165179__D1PHC0__PREVCOP_06640
ERR1913062.29507__1.29507	487174__K0WV96__HMPREF9448_01901
ERR1913062.29559__1.29559	310298__B3JQR0__BACCOP_04272
ERR1913062.29600__1.29600	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913062.29942__1.29942	357276__I8WEZ6__BACDOR_02323
ERR1913062.30039__1.30039	74426__group_4808
ERR1913062.30082__1.30082	166486__D4KUM5__afr
ERR1913062.30084__1.30084	1099853__G9S4Z9__NSB1T_00210
ERR1913062.30123__1.30123	821__I9R3W6__DXC16_12455
ERR1913062.30205__1.30205	1680__A0A087DHN0__AL0462_1532
ERR1913062.30308__1.30308	28118__R6F5T0__Odosp_2509
ERR1913062.30511__1.30511	2293125__A0A374CMK5__DW917_00330
ERR1913062.30549__1.30549	39486__B0G7R1__DXD10_04295
ERR1913062.30553__1.30553	410072__A0A174DFS8__ERS852574_01251
ERR1913062.30697__1.30697	821__A0A395UNT8__DXD64_15275
ERR1913062.31012__1.31012	853__A0A2A7A4A9__C4N21_14870
ERR1913062.31114__1.31114	2293125__A0A374BUM7__DW917_12980
ERR1913062.31147__1.31147	410072__C0BAZ4__ERS852574_02324
ERR1913062.31160__1.31160	1150298__A0A174KW35__cbbX
ERR1913062.31221__1.31221	820__R9I3Q7__HMPREF1072_01668
ERR1913062.31542__1.31542	821__A0A395VIK7__BVU_1225
ERR1913062.31580__1.31580	821__D4VD59__BHV80_04260
ERR1913062.31625__1.31625	33025__A0A395J8P0__C8D73_1144
ERR1913062.31680__1.31680	166486__D4L0Q4__ERS852572_03675
ERR1913062.31690__1.31690	820__A0A139K5E7__DXC68_09550
ERR1913062.31741__1.31741	166486__D4L2C5__ERS852572_01688
ERR1913062.31817__1.31817	1262930__R6A2Q0__BN693_00487
ERR1913062.31879__1.31879	166486__D4L337__msbA_4
ERR1913062.31882__1.31882	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913062.32057__1.32057	820__A0A139KJ23__celCCA
ERR1913062.32116__1.32116	2293125__A0A374BSW4__DW917_13420
ERR1913062.32247__1.32247	818__D7I7V5__BJP75_001030
ERR1913062.32498__1.32498	360807__C0FTG2__RIL183_32211
ERR1913062.32732__1.32732	1262924__R7HQ14__BN585_00419
ERR1913062.32804__1.32804	1262930__R6A8Q7__BN693_01064
ERR1913062.32857__1.32857	371601__I9ABK9__B5E50_12420
ERR1913062.32897__1.32897	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.32955__1.32955	266762__GCA_000769135.1_00526
ERR1913062.33204__1.33204	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.33272__1.33272	39486__B0G7A3__DXD10_08110
ERR1913062.33275__1.33275	166486__D4KW03__ERS852572_03114
ERR1913062.33326__1.33326	818__E5C5U7__SAMN05216253_101163
ERR1913062.33639__1.33639	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913062.33843__1.33843	649756__B0P2G4__HMPREF0369_01300
ERR1913062.33873__1.33873	820__A0A139KHD8__ERS417307_00569
ERR1913062.34155__1.34155	823__E1YQ32__DXC05_04185
ERR1913062.34216__1.34216	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1913062.34290__1.34290	2293125__A0A374BUM7__DW917_12980
ERR1913062.34388__1.34388	166486__D4KY48__gmr_5
ERR1913062.34489__1.34489	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.34581__1.34581	1262924__R7HQS1__BN585_00657
ERR1913062.34688__1.34688	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913062.35041__1.35041	823__A0A355XLS2__ERS852380_02644
ERR1913062.35155__1.35155	820__A0A174A6K0__M093_0079
ERR1913062.35277__1.35277	204516__U6R8I1__HMPREF1534_03341
ERR1913062.35454__1.35454	310298__B3JQR0__BACCOP_04272
ERR1913062.35467__1.35467	328814__GCA_004558275.1_00089
ERR1913062.35546__1.35546	2293125__A0A374BSW4__DW917_13420
ERR1913062.35548__1.35548	310298__B3JN86__BACCOP_03398
ERR1913062.35584__1.35584	2293125__A0A374BSW4__DW917_13420
ERR1913062.35727__1.35727	357276__A0A0M1W9N4__GV66_05135
ERR1913062.35757__1.35757	820__A0A174FUG6__DXC91_11265
ERR1913062.35834__1.35834	166486__D4KVN3__ERS852572_03944
ERR1913062.35965__1.35965	33039__A0A173W0K9__ERS852502_02246
ERR1913062.36050__1.36050	310298__B3JQJ5__BACCOP_04231
ERR1913062.36096__1.36096	1262924__R7HR75__BN585_00689
ERR1913062.36175__1.36175	310298__B3JMG0__BACCOP_03099
ERR1913062.36213__1.36213	46503__R6X0L4__DXB61_05325
ERR1913062.36501__1.36501	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.36541__1.36541	2293125__A0A374CBD1__DW917_06995
ERR1913062.36733__1.36733	1735__B7CBP5__EUBIFOR_01620
ERR1913062.36736__1.36736	487174__K0X2Y1__lepB
ERR1913062.36823__1.36823	166486__R6AY46__ROSINTL182_06128
ERR1913062.36853__1.36853	626929__F3PLK1__B5F97_09750
ERR1913062.36860__1.36860	410072__A0A174AQ98__COPCOM_03377
ERR1913062.37118__1.37118	1262924__R7HKZ9__BN585_01304
ERR1913062.37246__1.37246	216816__D6ZWI5__B5781_1661
ERR1913062.37286__1.37286	458033__GCA_001482755.1_02203
ERR1913062.37301__1.37301	166486__A0A173VSP1__ERS852572_03465
ERR1913062.37461__1.37461	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.37610__1.37610	357276__I9RCD3__IY41_15070
ERR1913062.37733__1.37733	1262930__R5ZVG4__BN693_00969
ERR1913062.37808__1.37808	46503__R5DLM3__HMPREF1078_03417
ERR1913062.37857__1.37857	360807__A0A173SE91__murR
ERR1913062.37845__1.37845	328814__GCA_004558275.1_00091
ERR1913062.37889__1.37889	357276__A6L053__ABI39_04450
ERR1913062.38136__1.38136	823__A6LEF1__CF162_12695
ERR1913062.38213__1.38213	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.38336__1.38336	371601__F7LA63__HMPREF1074_04288
ERR1913062.38481__1.38481	301301__G2T207__cph2_5
ERR1913062.38496__1.38496	821__A0A174WBC9__ERS852556_03145
ERR1913062.38547__1.38547	821__A0A0P0LFP6__C5Z04_13890
ERR1913062.38718__1.38718	118748__GCF_000177375.1_00419
ERR1913062.39013__1.39013	310298__B3JGJ2__BACCOP_00994
ERR1913062.39052__1.39052	2293125__A0A374BUM7__DW917_12980
