ERR1913257.130__1.130	1550024__A0A0D8IYY8__TQ39_09180
ERR1913257.11827__1.11827	820__A0A174DZ97__SAMN05444418_101240
ERR1913257.12120__1.12120	39491__A0A395ZHV7__ykvU
ERR1913257.12151__1.12151	28117__B0MTY2__BHV66_06485
ERR1913257.12361__1.12361	39491__A0A395ZE48__DXB76_02395
ERR1913257.12497__1.12497	39496__A5Z7W6__EUBVEN_01806
ERR1913257.12558__1.12558	39491__A0A395ZF49__DXB69_05290
ERR1913257.12632__1.12632	239935__A0A2N8IL82__CXU02_11740
ERR1913257.12649__1.12649	1262911__R6GKW2__BN557_01379
ERR1913257.12785__1.12785	74426__argF
ERR1913257.13026__1.13026	28025__D3R6I9__Balat_1332
ERR1913257.13040__1.13040	216816__D6DBD5__DXC32_04335
ERR1913257.13320__1.13320	45851__D4S0T7__BHV86_09275
ERR1913257.13777__1.13777	1550024__A0A0D8J3J4__TQ39_01275
ERR1913257.13735__1.13735	1472761__GCA_002159295.1_00731
ERR1913257.13747__1.13747	1681__K2I5X7__BJL93_01655
ERR1913257.13806__1.13806	40518__R5DXI4__DXD86_07420
ERR1913257.13903__1.13903	418240__C6J850__ERS852478_02463
ERR1913257.13929__1.13929	39491__A0A396FIZ8__ERE_20410
ERR1913257.13998__1.13998	1262882__R5MIY9__BN519_01097
ERR1913257.13999__1.13999	1681__A0A0E2ZAJ3__BJL93_03770
ERR1913257.14288__1.14288	1550024__A0A0W7TTP8__TQ39_06385
ERR1913257.14557__1.14557	487174__W0ES49__HMPREF9448_00709
ERR1913257.14614__1.14614	301301__A0A395V9G1__RHOM_02750
ERR1913257.14616__1.14616	1393034__GCA_001552785.1_00510
ERR1913257.15040__1.15040	1680__R5GPK0__B0487_0620
ERR1913257.15057__1.15057	74426__pta
ERR1913257.15112__1.15112	239935__A0A2N8INZ4__CXU08_03560
ERR1913257.15115__1.15115	1262848__R6TXS3__BN818_00318
ERR1913257.15188__1.15188	39491__D4JMW8__ERS852497_01971
ERR1913257.15250__1.15250	853__A0A174C5M1__CGS58_04460
ERR1913257.15436__1.15436	1550024__A0A0D8J230__TQ39_04480
ERR1913257.15732__1.15732	1263000__R5EFY3__BN466_01416
ERR1913257.15981__1.15981	1262924__R7HU74__BN585_00690
ERR1913257.16036__1.16036	1550024__G9RZN9__ASJ35_05735
ERR1913257.16245__1.16245	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913257.16349__1.16349	2173__A5ULD0__BK798_05990
ERR1913257.16526__1.16526	28117__B0MTS2__ALIPUT_00159
ERR1913257.16490__1.16490	39491__A0A396FKI0__DXC13_11560
ERR1913257.16493__1.16493	1262911__R6H1A6__BN557_01286
ERR1913257.16601__1.16601	1550024__G9RXH7__TQ39_11565
ERR1913257.16647__1.16647	907__G0VQ28__C6Y28_00880
ERR1913257.16686__1.16686	74426__asnS
ERR1913257.16827__1.16827	74426__nifJ
ERR1913257.16879__1.16879	1262848__R6UMA7__BN818_01315
ERR1913257.16983__1.16983	28025__D3R4P5__DD683_00185
ERR1913257.17044__1.17044	40518__R5E1J2__DXD93_04070
ERR1913257.17205__1.17205	28117__R7JMT0__BHV66_05875
ERR1913257.17223__1.17223	2173__R7PYR7__BK798_01375
ERR1913257.17349__1.17349	1681__A0A292G7V3__BBIF_1776
ERR1913257.17496__1.17496	28052__A0A174MH21__ERS852499_01905
ERR1913257.17679__1.17679	820__A0A3E4RU03__M093_0563
ERR1913257.17726__1.17726	1262924__R7HNF7__BN585_01769
ERR1913257.18082__1.18082	39496__A5Z671__EUBVEN_01204
ERR1913257.18116__1.18116	1680__A1A2N8__LMG10734_1314
ERR1913257.18566__1.18566	40520__R7DE21__DXD81_02990
ERR1913257.18541__1.18541	907__S7HJ70__SAMN02910401_01794
ERR1913257.18733__1.18733	39491__A0A396FFW0__ERE_10580
ERR1913257.18841__1.18841	216816__C2GW26__chb
ERR1913257.19114__1.19114	40520__A0A174GNL5__DXD81_10555
ERR1913257.19254__1.19254	1680__R5GRA4__ERS852382_01548
ERR1913257.19266__1.19266	1262848__R6UAA6__BN818_01734
ERR1913257.19292__1.19292	39491__C4ZCV5__DXB99_11855
ERR1913257.19634__1.19634	544580__A0A1Q8VGV9__BKH29_01925
ERR1913257.19798__1.19798	116085__D4J4G2__DW747_15550
ERR1913257.20043__1.20043	40518__R5DU92__DXD93_03170
ERR1913257.20056__1.20056	2173__A0A1D2WX19__METSMIF1_03132
ERR1913257.20239__1.20239	239935__R6K0V8__CXT94_02055
ERR1913257.20306__1.20306	216816__Q8G585__APC1473_0508
ERR1913257.20464__1.20464	2173__A5ULD0__BK798_05990
ERR1913257.20553__1.20553	239935__A0A2N8HT44__CXT84_11035
ERR1913257.20692__1.20692	1150298__A0A174I2L4__ERS852535_01377
ERR1913257.20789__1.20789	2173__A5UNB7__BK798_05290
ERR1913257.20848__1.20848	1681__I3WJE6__A0008_0093
ERR1913257.20917__1.20917	1550024__A0A0D8IYM8__ASJ35_18670
ERR1913257.21065__1.21065	74426__sufB
ERR1913257.21161__1.21161	820__A0A3E4WCX3__C801_02709
ERR1913257.21253__1.21253	820__A0A396EXA7__DXB37_15530
ERR1913257.21261__1.21261	820__A0A173XIP7__B5G17_16050
ERR1913257.21274__1.21274	301301__A0A173YWF6__RHOM_00725
ERR1913257.21361__1.21361	853__A0A3E2U7E6__ERS852582_01640
ERR1913257.21457__1.21457	216816__C2GUV2__APC1478_0430
ERR1913257.21477__1.21477	39485__A0A174YNW2__cph2_3
ERR1913257.21698__1.21698	1262848__R6UBK6__BN818_00686
ERR1913257.21620__1.21620	39488__A0A173Y251__mscS
ERR1913257.21811__1.21811	1262848__R6V8K2__BN818_00571
ERR1913257.21934__1.21934	820__R7E9Z4__DXC68_06065
ERR1913257.22077__1.22077	40518__R5DVV1__RBATCC27255_00999
ERR1913257.22335__1.22335	40518__R5DRX3__RBL236_02039
ERR1913257.22414__1.22414	1550024__G9RNN5__TQ39_03430
ERR1913257.22539__1.22539	357276__A0A076IYE6__IY41_04275
ERR1913257.22545__1.22545	239935__A0A2N8HAQ1__DEF40_05290
ERR1913257.22698__1.22698	246787__A0A3D6AVT6__BACCELL_02130
ERR1913257.22726__1.22726	418240__C6JFI7__ERS852523_01130
ERR1913257.22794__1.22794	116085__D4J8Q6__DW747_08735
ERR1913257.22796__1.22796	357276__I9QWD4__DXD47_15075
ERR1913257.22872__1.22872	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913257.22945__1.22945	216816__D6DCL7__BFS26_02835
ERR1913257.23007__1.23007	1897011__A0A1Q6RI94__BHW41_01260
ERR1913257.23076__1.23076	239935__A0A2N8HAQ1__DEF40_05290
ERR1913257.23395__1.23395	239935__A0A139TSG7__CXU17_09600
ERR1913257.23555__1.23555	1262848__R6V8J8__BN818_00569
ERR1913257.23820__1.23820	239935__A0A2N8I693__CXU17_08410
ERR1913257.23934__1.23934	40520__R7D4G0__ERS852533_01128
ERR1913257.24040__1.24040	1472761__GCA_002159295.1_00660
ERR1913257.24052__1.24052	28052__A0A174IBJ6__luxQ_1
ERR1913257.24422__1.24422	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913257.24603__1.24603	239935__A0A2N8IL82__CXU02_11740
ERR1913257.24988__1.24988	1776045__A0A0U5J7K7__BN3456_00132
ERR1913257.25116__1.25116	45851__D4RXC9__BUTYVIB_00480
ERR1913257.25219__1.25219	39491__D4JMW8__ERS852497_01971
ERR1913257.25586__1.25586	1262736__R5YKF5__BN496_01748
ERR1913257.25640__1.25640	1680__A0A173XYA2__B0703_0121
ERR1913257.25787__1.25787	853__A0A2A7B1Y7__C7K05_11930
ERR1913257.25812__1.25812	1680__A0A3E4SB79__BAD_1517
ERR1913257.25986__1.25986	853__E2ZGD9__C7J97_11715
ERR1913257.26110__1.26110	630129__S2ZXU6__BKAS_1980
ERR1913257.26150__1.26150	116085__D4JAK3__DW747_10755
ERR1913257.26172__1.26172	626940__E8LCM1__HMPREF9443_00590
ERR1913257.26358__1.26358	74426__purL
ERR1913257.26419__1.26419	28117__R7JN92__BHV66_00550
ERR1913257.26599__1.26599	216816__C5E884__DXC74_09410
ERR1913257.26579__1.26579	1263000__R5EQI3__BN466_00125
ERR1913257.26869__1.26869	1263107__GCA_000436995.1_00175
ERR1913257.26893__1.26893	1263107__GCA_000436995.1_00246
ERR1913257.26977__1.26977	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913257.26943__1.26943	40520__A0A396A2X4__RUMOBE_00875
ERR1913257.27354__1.27354	239935__A0A2N8I791__CXT99_09415
ERR1913257.27415__1.27415	40520__A0A174MPS0__DXD81_10450
ERR1913257.27686__1.27686	1680__A0A087DHN0__AL0462_1532
ERR1913257.27776__1.27776	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913257.27779__1.27779	1262848__R6U2B6__BN818_00428
ERR1913257.27860__1.27860	1550024__A0A0D8J440__TQ39_00140
ERR1913257.27881__1.27881	357276__A0A076IIL0__EL88_03065
ERR1913257.27913__1.27913	39491__A0A396FIZ8__ERE_20410
ERR1913257.27928__1.27928	301301__A0A395VAL3__mcp2_2
ERR1913257.28086__1.28086	1681__I3WGI8__DD715_03705
ERR1913257.28138__1.28138	907__A0A2S0M9G6__JY94_07675
ERR1913257.28236__1.28236	39488__A0A174JE42__ERS852450_02774
ERR1913257.28314__1.28314	907__G0VPQ1__AZ49_11950
ERR1913257.28387__1.28387	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913257.28721__1.28721	39491__A0A396FFW0__ERE_10580
ERR1913257.28890__1.28890	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913257.29086__1.29086	1263107__GCA_000436995.1_00111
ERR1913257.29145__1.29145	706562__GCA_900112995.1_02127
ERR1913257.29235__1.29235	74426__argF
ERR1913257.29372__1.29372	357276__A0A076IXE0__HMPREF1064_04364
ERR1913257.29470__1.29470	239935__R6JAS2__CXU02_10725
ERR1913257.29634__1.29634	1680__A7A7Z9__AAX71_05385
ERR1913257.29737__1.29737	820__A0A3E4IBC1__M094_0628
ERR1913257.30007__1.30007	1262924__R7HQD9__BN585_00129
ERR1913257.29987__1.29987	33043__A0A173YLD4__ERS852575_00535
ERR1913257.30249__1.30249	1680__A0A2R4G1K8__BBMN23_0315
ERR1913257.30216__1.30216	418240__C6J843__ERS852478_02458
ERR1913257.30401__1.30401	1897011__A0A1Q6RE59__BHW41_04605
ERR1913257.30788__1.30788	1262736__R5Y3Y3__BN496_01942
ERR1913257.30798__1.30798	1680__R5GKP2__DXD60_06200
ERR1913257.30998__1.30998	74426__purL
ERR1913257.31570__1.31570	239935__A0A2N8IMD6__CXU03_05585
ERR1913257.31511__1.31511	626929__R6M5Q4__HMPREF9445_00529
ERR1913257.31920__1.31920	357276__A0A076IXE0__HMPREF1064_04364
ERR1913257.31932__1.31932	239935__A0A2N8IYM5__CXT84_05130
ERR1913257.32334__1.32334	28025__A0A0L7CV69__BLC1_1290
ERR1913257.32470__1.32470	394340__rny
ERR1913257.32510__1.32510	28111__R5JPB6__NCTC11155_02514
ERR1913257.32550__1.32550	1660__A0A1N1WW14__HMPREF0970_00485
ERR1913257.32578__1.32578	239935__A0A2N8ITX2__CXT86_11265
ERR1913257.32725__1.32725	818__A0A139L1D5__BT_2967
ERR1913257.32823__1.32823	1262992__R5CY89__BN795_01227
ERR1913257.33190__1.33190	39491__D6DXZ8__DXB72_15035
ERR1913257.33218__1.33218	1150298__R7JT16__ERS852498_00500
ERR1913257.33286__1.33286	1550024__A0A3B9WFL2__ASJ35_03875
ERR1913257.33335__1.33335	88431__A0A3D0EY52__ERS852573_01763
ERR1913257.33336__1.33336	39491__A0A3E4YFT8__DXB69_10940
ERR1913257.33543__1.33543	1262848__R6UNE2__BN818_01447
ERR1913257.33557__1.33557	116085__D4J7V4__DW747_05820
ERR1913257.33569__1.33569	1262848__R6UQS8__BN818_01702
ERR1913257.33960__1.33960	907__R7MZS8__JY94_08580
ERR1913257.33993__1.33993	28025__A0A1C7FW37__CDD75_00482
ERR1913257.34162__1.34162	40520__A0A174GNL5__DXD81_10555
ERR1913257.34206__1.34206	239935__A0A139TT05__CXU09_03335
ERR1913257.34313__1.34313	853__A0A2A7B1Y7__C7K05_11930
ERR1913257.34384__1.34384	1262924__R7HRJ9__BN585_00557
ERR1913257.34407__1.34407	239935__A0A139TQT9__Amuc_1197
ERR1913257.34355__1.34355	301301__A0A173Z4D5__RHOM_00975
ERR1913257.34498__1.34498	184870__A0A2I1YD62__Q618_VCMC00001G0322
ERR1913257.34508__1.34508	626940__E8LGB7__BN587_02010
ERR1913257.34669__1.34669	239935__A0A2N8IL82__CXU02_11740
ERR1913257.34703__1.34703	39486__R6S348__DXD50_06750
ERR1913257.34742__1.34742	39491__A0A396FF17__EUR_31400
ERR1913257.34785__1.34785	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913257.34794__1.34794	1263107__GCA_000436995.1_00202
ERR1913257.34809__1.34809	1263107__GCA_000436995.1_00041
ERR1913257.34980__1.34980	239935__A0A2N8HB50__CXU17_02615
ERR1913257.35061__1.35061	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913257.35175__1.35175	1262911__R6GPX9__BN557_00406
ERR1913257.35134__1.35134	216816__A0A396FRQ5__DD678_01245
ERR1913257.35135__1.35135	1150298__A0A174AP40__ERS852535_01165
ERR1913257.35295__1.35295	39491__A0A396FSN2__EUBREC_0707
ERR1913257.35320__1.35320	267818__A0A0R1NXA7__WANG_0856
ERR1913257.35193__1.35193	1262761__R6RU22__BN606_01110
ERR1913257.35381__1.35381	410072__A0A173XQG6__ERS852574_01620
ERR1913257.35441__1.35441	820__A0A3E4W9D9__B5G17_12400
ERR1913257.35475__1.35475	40518__R5DME2__DXD86_07315
ERR1913257.35544__1.35544	39491__C4Z9E9__T1815_12341
ERR1913257.35561__1.35561	907__G0VS45__SAMN02910401_00075
ERR1913257.35737__1.35737	446660__GCA_003428235.1_01044
ERR1913257.35974__1.35974	239935__A0A2N8IUK0__CXU01_07370
ERR1913257.36058__1.36058	1550024__G9RVD5__ASJ35_04350
ERR1913257.36078__1.36078	239935__A0A2N8I3G2__CXT89_00720
ERR1913257.36232__1.36232	1965650__A0A1Y3V8S8__B5G16_11860
ERR1913257.36251__1.36251	216816__A0A1S2VTC3__BLIC_e00847
ERR1913257.36291__1.36291	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913257.36376__1.36376	1680__A0A173Y6N7__yhaH
ERR1913257.36522__1.36522	1263000__R5EJ27__BN466_01916
ERR1913257.36737__1.36737	39485__A0A174ZA72__glgB_1
ERR1913257.36857__1.36857	28117__B0MXR4__BHV66_08025
ERR1913257.36873__1.36873	1263107__GCA_000436995.1_00020
ERR1913257.36878__1.36878	706562__GCA_900112995.1_01630
ERR1913257.36956__1.36956	39488__C0EVC4__ERS852578_00574
ERR1913257.37093__1.37093	418240__A0A173YIF6__ypdA_1
ERR1913257.37263__1.37263	74426__nifJ
ERR1913257.37306__1.37306	39491__A0A396FFW0__ERE_10580
ERR1913257.37609__1.37609	384638__B7APR1__BACPEC_00667
ERR1913257.37645__1.37645	1262848__R6VEY9__BN818_01249
ERR1913257.37855__1.37855	46503__R6Y201__ERS852463_00554
ERR1913257.37859__1.37859	1681__A0A0H2PP44__BBTM_02041
ERR1913257.37934__1.37934	1150298__A0A174MFX3__ERS852498_01752
ERR1913257.38230__1.38230	820__A0A396EWL3__ERS417307_03868
ERR1913257.38294__1.38294	216816__E8MFM6__DXC54_08560
ERR1913257.38671__1.38671	40518__R5DMC7__blaR1
ERR1913257.38754__1.38754	649756__D4MV98__ERS852475_00895
ERR1913257.38785__1.38785	1262848__R6U6L1__BN818_00132
ERR1913257.38854__1.38854	39488__C0ERS5__EHLA_2242
ERR1913257.38878__1.38878	28025__D3R7T1__BalV_0139
ERR1913257.38954__1.38954	239935__A0A2N8IMC3__CXT96_03840
ERR1913257.38955__1.38955	1681__E4V807__BIFI_0882
ERR1913257.39472__1.39472	1358__A0A2N5WC46__LLCRE1631_00464
ERR1913257.39577__1.39577	1232426__topA
ERR1913257.39558__1.39558	1897011__A0A1Q6RE22__BHW41_04590
ERR1913257.40053__1.40053	39491__A0A396FFW0__ERE_10580
ERR1913257.40177__1.40177	818__A0A3E5HWN5__BSIG_3066
ERR1913257.40543__1.40543	1680__A0A2R4G1K8__BBMN23_0315
ERR1913257.40871__1.40871	1262882__R5N1L4__BN519_00757
ERR1913257.41045__1.41045	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913257.41071__1.41071	39491__A0A395ZM93__DXD13_03490
ERR1913257.41157__1.41157	1897011__A0A1Q6REU9__BHW41_04345
ERR1913257.41702__1.41702	1680__R5GSL8__DXD60_03315
ERR1913257.42026__1.42026	239935__A0A2N8IU14__ADH72_05655
ERR1913257.42113__1.42113	39491__A0A396FMT0__EUBREC_3020
ERR1913257.42125__1.42125	820__R9I3N4__M093_0061
ERR1913257.42499__1.42499	1099853__U5CBE8__NSB1T_09415
ERR1913257.42544__1.42544	820__A0A3E4WCX3__C801_02709
ERR1913257.42598__1.42598	216816__C2GSX7__DD678_03555
ERR1913257.42604__1.42604	1263107__GCA_000436995.1_00215
ERR1913257.42712__1.42712	216816__B7GQ29__APC1465_1199
ERR1913257.42723__1.42723	1262948__R7EGP9__BN671_01082
ERR1913257.42851__1.42851	39488__A0A285PP42__cobQ
ERR1913257.42911__1.42911	216816__E5Y0K4__B8809_0128
ERR1913257.43158__1.43158	360807__C0FYZ7__ERS852444_03522
ERR1913257.43143__1.43143	39491__C4ZEW3__T1815_18241
ERR1913257.43268__1.43268	1262736__R5YKF5__BN496_01748
ERR1913257.43297__1.43297	1680__A0A173W9E6__C8077_07070
ERR1913257.43520__1.43520	418240__A0A174MZV1__ERS852523_01489
ERR1913257.43672__1.43672	74426__groL
ERR1913257.43737__1.43737	418240__C6JFD7__ERS852523_02475
ERR1913257.43813__1.43813	239935__R6JWJ7__CXT94_02580
ERR1913257.44095__1.44095	1680__R5GR82__AD0028_0014
ERR1913257.44140__1.44140	820__A0A374Q854__HMPREF1073_03281
ERR1913257.44266__1.44266	626932__G5H5L6__HMPREF9450_00226
ERR1913257.44331__1.44331	239935__A0A2N8HH03__CXU09_08875
ERR1913257.44431__1.44431	931074__GCA_000769695.1_00019
ERR1913257.44443__1.44443	1308__A0A2X3U861__CV713_04305
ERR1913257.44606__1.44606	1680__A0A173XYA2__B0703_0121
ERR1913257.44565__1.44565	820__A0A139KH21__DXC80_01780
ERR1913257.44569__1.44569	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913257.44765__1.44765	39491__A0A395V1R3__T1815_08181
ERR1913257.44959__1.44959	1262882__R5N0F4__BN519_00593
ERR1913257.44961__1.44961	1343__E3CQU2__HMPREF9192_0702
ERR1913257.45047__1.45047	28025__D3R6I9__Balat_1332
ERR1913257.45066__1.45066	239935__R6JCH3__CXT95_08205
ERR1913257.45293__1.45293	1263000__R5EKG2__BN466_02040
ERR1913257.45276__1.45276	1262848__R6V8K7__BN818_00573
ERR1913257.45629__1.45629	357276__A0A076IN30__DXD47_09350
ERR1913257.45862__1.45862	820__A0A374Q854__HMPREF1073_03281
ERR1913257.45850__1.45850	239935__A0A2N8IRW0__A4V05_11620
ERR1913257.46131__1.46131	239935__A0A2N8HT18__CXT93_06135
ERR1913257.46378__1.46378	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913257.46403__1.46403	246787__A0A0P0G372__BcellWH2_03657
ERR1913257.46438__1.46438	357276__I9FTR0__HMPREF1065_02861
ERR1913257.46649__1.46649	301301__A0A395V9V0__RHOM_01245
ERR1913257.46736__1.46736	239935__A0A2N8IVR0__CXT87_07115
ERR1913257.46844__1.46844	853__A0A2J4JL53__CRH10_10795
ERR1913257.47171__1.47171	28117__B0MY40__BHV66_05170
ERR1913257.47223__1.47223	45851__D4RWG7__BUTYVIB_00298
ERR1913257.47396__1.47396	1680__R5GSL8__DXD60_03315
ERR1913257.47420__1.47420	301301__G2SZM9__ERS852391_00601
ERR1913257.47471__1.47471	216816__D6DCL7__BFS26_02835
ERR1913257.47749__1.47749	1680__A7A4N3__ERS852382_00779
ERR1913257.47785__1.47785	39491__C4Z872__LD38_07250
ERR1913257.47794__1.47794	40520__A0A396A315__DXB81_12480
ERR1913257.47981__1.47981	239935__A0A2N8HT68__ADH72_00510
ERR1913257.48361__1.48361	40518__R5DZC6__mreC
ERR1913257.48405__1.48405	39488__A0A374NRX1__licR_1
ERR1913257.48421__1.48421	239935__R6J5N6__CXT99_10770
ERR1913257.48476__1.48476	28117__B0MWZ9__ALIPUT_01735
ERR1913257.48557__1.48557	239935__A0A2N8IL82__CXU02_11740
ERR1913257.48563__1.48563	147206__GCF_000156215.1_00332
ERR1913257.48570__1.48570	1262924__R7HTA4__BN585_00391
ERR1913257.48643__1.48643	2292352__A0A374ULV9__DXC23_07855
ERR1913257.48608__1.48608	1263011__R6DWT0__BN553_00469
