ERR1913202.101__1.101	239935__A0A2N8HBP0__CXT94_04450
ERR1913202.25694__1.25694	239935__A0A2N8I9P4__CXT85_05050
ERR1913202.25887__1.25887	487174__R5G1E8__DIT83_00510
ERR1913202.25928__1.25928	214856__I3YPI7__pepD_1
ERR1913202.25860__1.25860	214856__R6XS46__ERS852559_00812
ERR1913202.25969__1.25969	214856__I3YPP0__ERS852447_01388
ERR1913202.25989__1.25989	214856__A0A174CRY5__ERS852559_01060
ERR1913202.26167__1.26167	239935__A0A2N8I3Z7__CXU05_10555
ERR1913202.26286__1.26286	301302__R5UKE6__M72_05651
ERR1913202.26208__1.26208	301302__R5VGE0__ERS852420_00121
ERR1913202.26320__1.26320	214856__I3YMC8__ERS852447_02666
ERR1913202.26358__1.26358	239935__A0A2N8IV82__CXT99_06735
ERR1913202.26403__1.26403	33025__A0A395JBU5__C8D73_10423
ERR1913202.26441__1.26441	301302__R5VE56__M72_25941
ERR1913202.26566__1.26566	1262882__R5MGI7__BN519_00643
ERR1913202.26568__1.26568	487174__K0WT60__DDY40_05170
ERR1913202.26514__1.26514	214856__A0A173YXX1__ERS852559_01651
ERR1913202.26613__1.26613	214856__A0A174ZD89__ERS852559_00526
ERR1913202.26701__1.26701	239935__A0A139TQT9__Amuc_1197
ERR1913202.26749__1.26749	1262882__R5MKX3__BN519_00395
ERR1913202.26829__1.26829	214856__R6Y2Y4__ERS852447_01086
ERR1913202.26909__1.26909	214856__R6XS46__ERS852559_00812
ERR1913202.26924__1.26924	214856__I3YPQ3__Alfi_2711
ERR1913202.27186__1.27186	1501391__GCA_000786575.1_00085
ERR1913202.27547__1.27547	1262882__R5MEK3__BN519_00296
ERR1913202.27613__1.27613	214856__I3YPP3__Alfi_2701
ERR1913202.27633__1.27633	28116__A0A1Y4PWX5__rpoE_4
ERR1913202.28035__1.28035	1262882__R5MK82__BN519_00260
ERR1913202.28056__1.28056	214856__I3YMB7__Alfi_1811
ERR1913202.28576__1.28576	214856__A0A173YDP1__ERS852559_00120
ERR1913202.28819__1.28819	214856__R6XNE7__ERS852447_02267
ERR1913202.28832__1.28832	1262882__R5N532__BN519_01420
ERR1913202.28973__1.28973	1262882__R5N5W2__BN519_00074
ERR1913202.29001__1.29001	239935__A0A2N8I9N0__CXT97_09915
ERR1913202.29097__1.29097	357276__I9QBT7__BSEG_03340
ERR1913202.29194__1.29194	239935__A0A2N8HH03__CXU09_08875
ERR1913202.29201__1.29201	189722__E0NQU7__HMPREF0658_0548
ERR1913202.29205__1.29205	821__A0A0P0LH09__ERS852457_03390
ERR1913202.29322__1.29322	328814__GCA_004558275.1_00236
ERR1913202.29534__1.29534	39492__D4JTF2__mutS2
ERR1913202.29556__1.29556	214856__I3YPP0__ERS852447_01388
ERR1913202.29676__1.29676	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913202.29914__1.29914	239935__A0A139TPG3__CXT86_08810
ERR1913202.29977__1.29977	239935__A0A2N8IG27__CXT85_07805
ERR1913202.29953__1.29953	1262882__R5N1V0__BN519_00816
ERR1913202.30149__1.30149	214856__R6Y0B9__ERS852559_00164
ERR1913202.30297__1.30297	410072__C0BC38__ERS852574_02017
ERR1913202.30328__1.30328	649756__B0NZZ8__DO83_09740
ERR1913202.30385__1.30385	1512__E7GTK1__ERS852479_01641
ERR1913202.30495__1.30495	1262882__R5MZZ3__BN519_00482
ERR1913202.30747__1.30747	239935__A0A2N8IMC3__CXT96_03840
ERR1913202.30991__1.30991	1262882__R5MND9__BN519_00831
ERR1913202.31018__1.31018	239935__R6IZU4__CXT87_08085
ERR1913202.31181__1.31181	214856__A0A174EJT5__mnmA
ERR1913202.31246__1.31246	214856__A0A173YXX1__ERS852559_01651
ERR1913202.31464__1.31464	39492__D4JVC7__yfgF
ERR1913202.31527__1.31527	239935__A0A2N8I3Z7__CXU05_10555
ERR1913202.31557__1.31557	214856__I3YMC8__ERS852447_02666
ERR1913202.31758__1.31758	821__E5UY21__C800_02204
ERR1913202.31814__1.31814	1262882__R5MDR8__BN519_00124
ERR1913202.31817__1.31817	214856__R6XKW1__ERS852559_01141
ERR1913202.32084__1.32084	214856__I3YMB7__Alfi_1811
ERR1913202.32130__1.32130	487174__K0WUZ1__DIT83_10815
ERR1913202.32210__1.32210	47678__R5U2F6__HMPREF1061_00767
ERR1913202.32287__1.32287	239935__A0A2N8IIB9__CXU04_01970
ERR1913202.32420__1.32420	214856__R6YD52__ERS852447_02171
ERR1913202.32469__1.32469	28118__F9ZBZ0__DHW44_07740
ERR1913202.32523__1.32523	818__A0A3E5H650__C799_01514
ERR1913202.32543__1.32543	214856__R6Y6H8__ERS852447_01719
ERR1913202.32555__1.32555	214856__R6XYY8__ERS852447_01722
ERR1913202.32781__1.32781	1262882__R5N5D7__BN519_01676
ERR1913202.32920__1.32920	301302__A0A173T8V6__ERS852420_01966
ERR1913202.32935__1.32935	214856__I3YPN3__ERS852447_01395
ERR1913202.32976__1.32976	189722__E0NQU7__HMPREF0658_0548
ERR1913202.33193__1.33193	214856__I3YMC8__ERS852447_02666
ERR1913202.33391__1.33391	214856__R6Y9P5__ERS852559_01811
ERR1913202.33476__1.33476	28118__R6F633__speG
ERR1913202.33492__1.33492	214856__R6YC22__ERS852447_01215
ERR1913202.34056__1.34056	1262882__R5MEN9__BN519_00201
ERR1913202.34242__1.34242	214856__R6YC22__ERS852447_01215
ERR1913202.34527__1.34527	214856__I3YMN6__Alfi_1938
ERR1913202.34491__1.34491	214856__R6Y6H8__ERS852447_01719
ERR1913202.34493__1.34493	47678__R5U8Y1__BACCAC_02615
ERR1913202.34604__1.34604	1262744__R6FST0__BN744_00381
ERR1913202.34751__1.34751	487174__K0XRP0__DDY40_09260
ERR1913202.34972__1.34972	214856__I3YPP2__Alfi_2700
ERR1913202.35017__1.35017	1262882__R5MFR3__BN519_00473
ERR1913202.35078__1.35078	1262882__R5MYX5__BN519_00333
ERR1913202.35134__1.35134	1262911__R6GY78__BN557_00532
ERR1913202.35169__1.35169	214856__R6YC22__ERS852447_01215
ERR1913202.35193__1.35193	214856__I3YPQ3__Alfi_2711
ERR1913202.35245__1.35245	214856__R6XP73__ERS852447_00886
ERR1913202.35260__1.35260	1262882__R5MJJ9__BN519_01035
ERR1913202.35274__1.35274	214856__R6Z186__ERS852447_00718
ERR1913202.35356__1.35356	216816__Q8G4D7__DD721_10575
ERR1913202.35358__1.35358	1897011__A0A1Q6RH61__BHW41_01970
ERR1913202.35396__1.35396	1262882__R5MGX3__BN519_00046
ERR1913202.35525__1.35525	239935__A0A139TMY7__CXU13_02020
ERR1913202.35690__1.35690	1262911__R6GZX7__BN557_00838
ERR1913202.35702__1.35702	214856__R6Y6H8__ERS852447_01719
ERR1913202.36109__1.36109	1262882__R5MIQ8__BN519_01036
ERR1913202.36110__1.36110	214856__I3YPP1__Alfi_2699
ERR1913202.36118__1.36118	214856__R5UN64__ERS852447_02669
ERR1913202.36186__1.36186	1262882__R5N2A9__BN519_00921
ERR1913202.36418__1.36418	1262911__R6GZX7__BN557_00838
ERR1913202.36444__1.36444	1897011__A0A1Q6RHD3__BHW41_02220
ERR1913202.36575__1.36575	853__A0A329UEG4__CHR60_00585
ERR1913202.36782__1.36782	1235835__R9LCU2__C814_02677
ERR1913202.36805__1.36805	47678__A5ZB44__C5Z00_17730
ERR1913202.36835__1.36835	214856__R6Z7Q9__ERS852447_02172
ERR1913202.36863__1.36863	1262882__R5N5D7__BN519_01676
ERR1913202.36865__1.36865	214856__R6Z4Q8__ERS852447_00885
ERR1913202.36933__1.36933	1262882__R5N5D7__BN519_01676
ERR1913202.37105__1.37105	47678__A5ZEA3__ERS852558_00257
ERR1913202.37128__1.37128	239935__A0A139TVJ4__CXT86_02020
ERR1913202.37239__1.37239	1262882__R5N3H1__BN519_01121
ERR1913202.37187__1.37187	1550024__A0A3B9WFS7__ASJ35_05525
ERR1913202.37252__1.37252	301302__A0A173RZU9__M72_23561
ERR1913202.37486__1.37486	1262882__R5N5C3__BN519_01664
ERR1913202.37655__1.37655	239935__A0A2N8IRW0__A4V05_11620
ERR1913202.37931__1.37931	239935__A0A2N8IF99__lpdA
ERR1913202.38167__1.38167	39492__D4JWG6__EUBSIR_00253
ERR1913202.38290__1.38290	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913202.38516__1.38516	301302__R5UNJ6__M72_26701
ERR1913202.38534__1.38534	301302__A0A0M6W9I4__M72_19871
ERR1913202.38595__1.38595	1262882__R5MIP9__BN519_01028
ERR1913202.38580__1.38580	214856__I3YPR5__ERS852447_01364
ERR1913202.38615__1.38615	214856__R6Z590__ERS852447_01059
ERR1913202.38649__1.38649	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.38731__1.38731	1501391__GCA_000786575.1_00065
ERR1913202.38748__1.38748	39485__C4Z1W5__ERS852492_01530
ERR1913202.38798__1.38798	1262882__R5MHZ2__BN519_00742
ERR1913202.38861__1.38861	28116__A0A395W0G7__NCTC11153_02716
ERR1913202.38933__1.38933	214856__R6XP73__ERS852447_00886
ERR1913202.38939__1.38939	214856__R5UN64__ERS852447_02669
ERR1913202.39123__1.39123	39485__C4Z355__ERS852490_01971
ERR1913202.39171__1.39171	1501391__GCA_000786575.1_00081
ERR1913202.39223__1.39223	39492__D4JSU6__dacB_3
ERR1913202.39308__1.39308	214856__R6Z5D0__resA_4
ERR1913202.39324__1.39324	214856__I3YPP9__Alfi_2707
ERR1913202.39593__1.39593	214856__A0A174EQR4__rsmA
ERR1913202.39728__1.39728	214856__I3YK71__ERS852559_02472
ERR1913202.39778__1.39778	1262882__R5N3T7__BN519_01188
ERR1913202.39816__1.39816	214856__I3YPQ6__Alfi_2714
ERR1913202.39936__1.39936	239935__A0A2N8HB50__CXU17_02615
ERR1913202.40194__1.40194	214856__I3YMN6__Alfi_1938
ERR1913202.40237__1.40237	239935__A0A2N8IMC3__CXT96_03840
ERR1913202.40330__1.40330	821__A0A3E4KIM1__M097_3660
ERR1913202.40339__1.40339	239935__A0A2N8IHY1__CXU06_00035
ERR1913202.40389__1.40389	214856__A0A174ZLW6__ERS852559_01424
ERR1913202.40395__1.40395	214856__R5UN64__ERS852447_02669
ERR1913202.40468__1.40468	818__A0A1H7S810__BJP75_003270
ERR1913202.40534__1.40534	214856__R6XQX8__ERS852559_02550
ERR1913202.40588__1.40588	1263107__GCA_000436995.1_00197
ERR1913202.40627__1.40627	214856__R6XKW1__ERS852559_01141
ERR1913202.40723__1.40723	214856__I3YPP0__ERS852447_01388
ERR1913202.40819__1.40819	214856__I3YMN6__Alfi_1938
ERR1913202.40848__1.40848	239935__A0A139TQT9__Amuc_1197
ERR1913202.40870__1.40870	310298__B3JFI7__BACCOP_00636
ERR1913202.41104__1.41104	214856__A0A174EQR4__rsmA
ERR1913202.41398__1.41398	106588__A6NPX7__BACCAP_00246
ERR1913202.41472__1.41472	410072__C0BBT6__DXD67_02315
ERR1913202.41531__1.41531	214856__A0A175A6T5__ERS852447_02658
ERR1913202.41770__1.41770	47678__A5ZLX1__C5Z00_04825
ERR1913202.41927__1.41927	214856__I3YMC8__ERS852447_02666
ERR1913202.42047__1.42047	487174__K0XLV6__DIT83_00940
ERR1913202.42309__1.42309	1262882__R5MF43__BN519_00282
ERR1913202.42321__1.42321	28118__F9ZCA9__NCTC10826_03259
ERR1913202.42337__1.42337	818__D7I7V5__BJP75_001030
ERR1913202.42283__1.42283	292800__G9YMV4__HMPREF0372_00826
ERR1913202.42583__1.42583	1262882__R5MYP8__BN519_00439
ERR1913202.42615__1.42615	818__A0A3E5HXH0__NCTC13706_02166
ERR1913202.42712__1.42712	1262882__R5MGX3__BN519_00046
ERR1913202.43021__1.43021	214856__R5UN64__ERS852447_02669
ERR1913202.43026__1.43026	214856__D4IMT6__Alfi_1830
ERR1913202.43253__1.43253	214856__I3YPI7__pepD_1
ERR1913202.43378__1.43378	214856__I3YPQ0__ERS852447_01379
ERR1913202.43459__1.43459	214856__R6Z590__ERS852447_01059
ERR1913202.43426__1.43426	214856__I3YPN5__Alfi_2693
ERR1913202.43656__1.43656	239935__A0A2N8IMC3__CXT96_03840
ERR1913202.43662__1.43662	1262882__R5MKU7__BN519_01276
ERR1913202.43727__1.43727	214856__R6Y2Y4__ERS852447_01086
ERR1913202.44050__1.44050	214856__D4IMT6__Alfi_1830
ERR1913202.44096__1.44096	214856__R6Z7Q9__ERS852447_02172
