ERR1913073.257__1.257	1463165__A0A1D3KJ47__BME69_05190
ERR1913073.15066__1.15066	40518__R5DY98__mepA_5
ERR1913073.15224__1.15224	246787__E2NCX3__HMPREF1062_01637
ERR1913073.15269__1.15269	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913073.15411__1.15411	1263109__GCA_000438135.1_00036
ERR1913073.15472__1.15472	39492__D4JQS6__ykoD
ERR1913073.15495__1.15495	1150298__A0A174FT27__ERS852535_01803
ERR1913073.15496__1.15496	1685__A0A2K9B7Y4__BBM1114_01180
ERR1913073.15552__1.15552	28117__R7JPX7__BHV66_00900
ERR1913073.15576__1.15576	39491__A0A396FIZ8__ERE_20410
ERR1913073.15606__1.15606	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913073.15629__1.15629	821__A0A0P0M5Z6__BVU_0429
ERR1913073.15638__1.15638	310298__B3JLT9__BACCOP_02886
ERR1913073.15652__1.15652	853__A0A2A7AXC8__C4N21_14120
ERR1913073.15720__1.15720	1318__I1ZL91__HMPREF9971_1533
ERR1913073.15783__1.15783	40518__R5DZM6__lytR_3
ERR1913073.15860__1.15860	1304__A0A2I1TK21__TZ99_00611
ERR1913073.15821__1.15821	821__A0A396FEL8__C5Z04_06030
ERR1913073.15880__1.15880	1965604__A0A1Y4EWK5__B5F54_02860
ERR1913073.16141__1.16141	40518__R5DZB1__DXD83_08840
ERR1913073.16222__1.16222	821__A0A395VMG0__DXC44_18080
ERR1913073.16281__1.16281	1681__A0A1V8QZE2__B216_08176
ERR1913073.16307__1.16307	1304__A0A1W5ZD60__TZ99_01678
ERR1913073.16380__1.16380	28117__B0MYW7__ALIPUT_02336
ERR1913073.16383__1.16383	328813__A0A1Y3QUG7__B5G41_09450
ERR1913073.16366__1.16366	1680__A0A1E7XZY9__DXC60_05815
ERR1913073.16433__1.16433	853__A0A2J4JL53__CRH10_10795
ERR1913073.16444__1.16444	39491__A0A174M1X5__DXB99_18695
ERR1913073.16466__1.16466	39491__A0A174K9A3__DXB69_07785
ERR1913073.16682__1.16682	33043__A0A173RQ80__ERS852445_02211
ERR1913073.16752__1.16752	1262743__R5C054__BN727_01980
ERR1913073.16795__1.16795	28117__R7JIJ8__BHV66_01635
ERR1913073.16911__1.16911	28117__B0MSS1__ALIPUT_00273
ERR1913073.16978__1.16978	820__A0A174KKV6__DXC07_02635
ERR1913073.17052__1.17052	905__D2RL47__SAMN05216495_101189
ERR1913073.16990__1.16990	853__C7H1R8__DW905_06675
ERR1913073.17113__1.17113	1150298__R7JXH6__mecR1
ERR1913073.17090__1.17090	1262746__R5SLM9__BN750_01953
ERR1913073.17095__1.17095	28116__A7LS06__HMPREF2532_04668
ERR1913073.17323__1.17323	39486__B0G7C0__DXD10_08735
ERR1913073.17310__1.17310	823__A0A355XFH7__ERS852513_00769
ERR1913073.17345__1.17345	1304__F8LI90__SSAL8618_06610
ERR1913073.17346__1.17346	1150298__A0A174KMK7__rluD_3
ERR1913073.17399__1.17399	33043__A0A173WCG7__ERS852575_01602
ERR1913073.17551__1.17551	630129__A0A087B5Z5__BKAS_1297
ERR1913073.17719__1.17719	410072__A0A174DJM1__DXD67_05275
ERR1913073.17803__1.17803	853__A0A174C5M1__CGS58_04460
ERR1913073.17836__1.17836	310298__B3JK97__BACCOP_02326
ERR1913073.17872__1.17872	853__A0A2A7B1Y7__C7K05_11930
ERR1913073.17874__1.17874	28117__B0MWP2__ALIPUT_01468
ERR1913073.17926__1.17926	820__A0A173XIP7__B5G17_16050
ERR1913073.18034__1.18034	487174__K0XKB7__DDY40_03475
ERR1913073.18072__1.18072	310298__B3JNH3__BACCOP_03486
ERR1913073.18105__1.18105	1304__J7SI54__NCTC7366_00129
ERR1913073.18150__1.18150	1680__A7A7Z9__AAX71_05385
ERR1913073.18168__1.18168	905__D2RLV1__SAMN05216495_11033
ERR1913073.18204__1.18204	39492__D4MIY5__EUBSIR_00233
ERR1913073.18309__1.18309	1304__J7TYF2__hk13_3
ERR1913073.18356__1.18356	823__D0TBY4__M090_0431
ERR1913073.18362__1.18362	39491__D6DXZ8__DXB72_15035
ERR1913073.18363__1.18363	310298__B3JK99__BACCOP_02328
ERR1913073.18371__1.18371	33043__D5HH72__ERS852445_02265
ERR1913073.18420__1.18420	1150298__A0A174B7I7__ERS852535_01258
ERR1913073.18457__1.18457	39491__A0A395ZF49__DXB69_05290
ERR1913073.18614__1.18614	1304__A0A1V0GL68__CGZ74_06870
ERR1913073.18739__1.18739	39491__A0A395UVM9__DXB76_04540
ERR1913073.18757__1.18757	1680__R5GSL8__DXD60_03315
ERR1913073.18864__1.18864	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913073.18935__1.18935	33043__A0A173XM20__ERS852445_01573
ERR1913073.18949__1.18949	1160721__W0U3I6__RBI_I00579
ERR1913073.18959__1.18959	310298__B3JFK5__BACCOP_00655
ERR1913073.18961__1.18961	214856__A0A174ZED5__ERS852559_00591
ERR1913073.18980__1.18980	39491__A0A395V5R3__EUBREC_1883
ERR1913073.19000__1.19000	33043__A0A173YUV6__ERS852386_00507
ERR1913073.19312__1.19312	39491__C4Z9K7__EUBREC_0050
ERR1913073.19500__1.19500	1550024__G9RVD5__ASJ35_04350
ERR1913073.19576__1.19576	116085__D4J6K8__DW747_07970
ERR1913073.19577__1.19577	905__D2RP32__SAMN02910455_01452
ERR1913073.19641__1.19641	40518__R5DUU2__yvhJ_2
ERR1913073.19702__1.19702	1262911__R6H074__BN557_00923
ERR1913073.19763__1.19763	328814__GCA_004558275.1_01744
ERR1913073.19798__1.19798	40518__R5DYU1__DXD86_01160
ERR1913073.19810__1.19810	88431__A0A174MYZ5__ycjP_7
ERR1913073.19813__1.19813	33043__A8SWM2__ERS852575_01910
ERR1913073.19821__1.19821	40518__R5DY98__mepA_5
ERR1913073.19896__1.19896	40518__R5DWB0__DXD86_00925
ERR1913073.19866__1.19866	1318__A0A3E4U9G0__HMPREF8577_1391
ERR1913073.19870__1.19870	1317__A0A380JC16__HMPREF9176_0866
ERR1913073.20011__1.20011	40518__R5E6X5__sbcD
ERR1913073.20165__1.20165	246787__A0A3D6AZF8__BACCELL_02529
ERR1913073.20246__1.20246	39491__D4JMW8__ERS852497_01971
ERR1913073.20275__1.20275	853__A0A173TAZ8__DWZ46_14590
ERR1913073.20367__1.20367	28117__B0MWX3__BHV66_03010
ERR1913073.20445__1.20445	1686__B6XVH9__BCAT_1645
ERR1913073.20483__1.20483	357276__C3R5C9__HMPREF1063_00213
ERR1913073.20544__1.20544	28117__B0MVL2__BHV66_01645
ERR1913073.20599__1.20599	246787__A0A3D6B182__HMPREF1062_00600
ERR1913073.20667__1.20667	1304__T0T9N5__CQA85_09935
ERR1913073.20698__1.20698	39491__C4Z8S1__DXB76_06750
ERR1913073.20734__1.20734	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913073.20781__1.20781	40518__R5DWH8__DXD86_04530
ERR1913073.20995__1.20995	544645__A0A1U7LBK0__DXC42_07670
ERR1913073.21004__1.21004	1304__J7TW34__msbA
ERR1913073.21304__1.21304	33043__D5HEF6__ERS852445_00180
ERR1913073.21322__1.21322	40518__R5E5I9__yvhJ_2
ERR1913073.21377__1.21377	33043__D5HGK4__ERS852445_01371
ERR1913073.21378__1.21378	1150298__A0A173X9I5__ERS852498_01823
ERR1913073.21482__1.21482	290053__E6SRI7__Bache_2120
ERR1913073.21507__1.21507	1550024__A0A0W7TTG8__TQ39_11315
ERR1913073.21574__1.21574	820__A0A173WUD7__DXB48_08055
ERR1913073.21576__1.21576	40518__R5DYU1__DXD86_01160
ERR1913073.21651__1.21651	310298__B3JH76__BACCOP_01230
ERR1913073.21800__1.21800	218538__C9LR48__GCWU000321_00316
ERR1913073.21726__1.21726	47678__R5UUB1__DXB67_02860
ERR1913073.21827__1.21827	39491__A0A396FSN2__EUBREC_0707
ERR1913073.21828__1.21828	1685__A0A2X0Z9D6__CYJ38_03705
ERR1913073.22092__1.22092	487174__K0XLC3__HMPREF9448_01065
ERR1913073.22062__1.22062	40520__A0A396A0Q9__DXC87_14025
ERR1913073.22112__1.22112	1304__A0A1V0GJ60__Ssal_01637
ERR1913073.22119__1.22119	310298__B3JNG7__BACCOP_03480
ERR1913073.22124__1.22124	1680__A0A374QDL4__LMG18897_0432
ERR1913073.22166__1.22166	39491__A0A173SH34__EUR_24920
ERR1913073.22183__1.22183	1150298__R7JTW4__yvhJ
ERR1913073.22384__1.22384	39491__A0A395V1Y4__DXB99_08035
ERR1913073.22399__1.22399	357276__A0A0M1W657__HMPREF1064_04629
ERR1913073.22407__1.22407	821__E5UY21__C800_02204
ERR1913073.22455__1.22455	39491__A0A396FGM9__fliU_1
ERR1913073.22447__1.22447	552398__F4XCR9__HMPREF0866_01636
ERR1913073.22909__1.22909	40518__R5E6K5__speA
ERR1913073.22920__1.22920	821__A0A174K302__CUU_3129
ERR1913073.22982__1.22982	28117__B0MWP2__ALIPUT_01468
ERR1913073.22940__1.22940	39491__C4Z9D4__DXD95_00055
ERR1913073.23001__1.23001	853__A0A174BZY1__xerD_1
ERR1913073.23023__1.23023	1304__J7SIV6__pspA_3
ERR1913073.23055__1.23055	820__A0A3E4PYB0__yejM
ERR1913073.23067__1.23067	40518__R5DXH2__DXD83_10135
ERR1913073.23186__1.23186	310298__B3JQL6__BACCOP_04252
ERR1913073.23229__1.23229	33043__A0A174B6N5__ERS852445_02414
ERR1913073.23371__1.23371	33043__A0A173WPI1__ERS852400_02100
ERR1913073.23572__1.23572	33043__D5HIK4__ERS852400_01112
ERR1913073.23627__1.23627	39491__C4ZF05__vpr
ERR1913073.23660__1.23660	39491__A0A396FF66__DXD95_01810
ERR1913073.23717__1.23717	47678__R5USS6__C5Z00_03300
ERR1913073.23812__1.23812	1304__A0A0A1DWN1__TZ99_02028
ERR1913073.23813__1.23813	1263109__GCA_000438135.1_00436
ERR1913073.23840__1.23840	487175__F3QMT1__HMPREF9439_02260
ERR1913073.23868__1.23868	853__E2ZGD9__C7J97_11715
ERR1913073.23997__1.23997	39491__A0A395ZG74__licR
ERR1913073.24017__1.24017	1680__R5GPK0__B0487_0620
ERR1913073.24330__1.24330	246787__A0A3D6B182__HMPREF1062_00600
ERR1913073.24514__1.24514	310298__B3JJG1__BACCOP_02031
ERR1913073.24584__1.24584	33043__D5HF09__ERS852575_02732
ERR1913073.24741__1.24741	39491__A0A173VYV1__DXC13_02710
ERR1913073.24755__1.24755	1262744__R6FST0__BN744_00381
ERR1913073.24765__1.24765	1304__J7TU64__CYK22_02490
ERR1913073.24863__1.24863	216816__A0A0M0VLZ8__BLIC_h02110
ERR1913073.25043__1.25043	310298__B3JFK5__BACCOP_00655
ERR1913073.25078__1.25078	33043__A0A173WU55__ganB_2
ERR1913073.25168__1.25168	40518__R5DU92__DXD93_03170
ERR1913073.25222__1.25222	39491__A0A2U2EED4__ERS852580_01584
ERR1913073.25258__1.25258	33043__D5HIK4__ERS852400_01112
ERR1913073.25360__1.25360	1680__A0A087DLC6__C8077_00815
ERR1913073.25433__1.25433	1304__A0A0Y1WH36__STRSA0001_0605
ERR1913073.25566__1.25566	47678__R5U325__HMPREF1061_03209
ERR1913073.25574__1.25574	1685__A0A3D8UEL2__DRBB29_0129
ERR1913073.25555__1.25555	166486__D4L0J8__ROSINTL182_08089
ERR1913073.25648__1.25648	28117__B0MVL2__BHV66_01645
ERR1913073.25775__1.25775	328813__A0A1Y3QUT4__B5G41_06975
ERR1913073.25833__1.25833	40518__R5DQN7__DXD93_03540
ERR1913073.25855__1.25855	214856__I3YPI7__pepD_1
ERR1913073.25935__1.25935	1263030__R5CXA0__BN705_00395
ERR1913073.25945__1.25945	40518__R5E6X5__sbcD
ERR1913073.25968__1.25968	410072__A0A173YQW3__dtpT_1
ERR1913073.26174__1.26174	1739491__J1DK07__HMPREF2987_07410
ERR1913073.26297__1.26297	33043__A0A173X520__ERS852575_01617
ERR1913073.26335__1.26335	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913073.26677__1.26677	853__A0A173TAZ8__DWZ46_14590
ERR1913073.26749__1.26749	40518__R5E304__thiT
ERR1913073.26848__1.26848	821__A0A174NM17__lacZ_6
ERR1913073.26832__1.26832	1262911__R6GPM2__BN557_00937
ERR1913073.26956__1.26956	371601__G1UK36__HMPREF1074_03496
ERR1913073.27119__1.27119	1263109__GCA_000438135.1_00941
ERR1913073.27172__1.27172	1150298__A0A174CCD5__ERS852406_01310
ERR1913073.27324__1.27324	1150298__R7JUV3__yfnB
ERR1913073.27337__1.27337	40518__R5E6G1__DXD83_06815
ERR1913073.27345__1.27345	1150298__R7JT48__gsiA_6
ERR1913073.27361__1.27361	39491__A0A395ZHV7__ykvU
ERR1913073.27525__1.27525	1796613__A0A1C7GYD6__A4V03_03700
ERR1913073.27546__1.27546	39486__G1WN57__DORFOR_02477
ERR1913073.27777__1.27777	1304__J7TGU8__Ssal_02017
ERR1913073.27945__1.27945	1263109__GCA_000438135.1_00036
ERR1913073.27949__1.27949	853__A8SB03__C4Q21_07960
ERR1913073.28102__1.28102	39491__A0A396FEV5__EUR_24750
ERR1913073.28163__1.28163	1263109__GCA_000438135.1_00605
ERR1913073.28498__1.28498	28117__B0MT86__BHV66_02450
ERR1913073.28591__1.28591	1263109__GCA_000438135.1_00482
ERR1913073.28631__1.28631	820__A0A3E4QZJ7__C801_01798
ERR1913073.28646__1.28646	387661__K5ZKG7__HMPREF1077_01304
ERR1913073.28697__1.28697	40518__R5DZC6__mreC
ERR1913073.28730__1.28730	446660__GCA_003428235.1_00483
ERR1913073.28762__1.28762	28117__B0MUY3__BHV66_00515
ERR1913073.28785__1.28785	310298__B3JFK4__BACCOP_00654
ERR1913073.28833__1.28833	1150298__R7JNQ8__ERS852406_00857
ERR1913073.28855__1.28855	40518__R5E5W1__RBL263_01034
ERR1913073.28956__1.28956	39491__A0A396FUZ3__phoR_1
ERR1913073.29270__1.29270	216816__A0A061M1M5__HMPREF0177_01046
ERR1913073.29321__1.29321	214856__A0A173YE57__ERS852559_00126
ERR1913073.29598__1.29598	1680__A0A174BEE7__BSTER_1311
ERR1913073.29608__1.29608	1318__E8K6H4__CYK20_03235
ERR1913073.29621__1.29621	1262911__R6GPM2__BN557_00937
ERR1913073.29691__1.29691	1304__Q55242__V471_04485
ERR1913073.29762__1.29762	40518__R5DR39__mreB_2
ERR1913073.29922__1.29922	39491__A0A173QT73__alaS_2
ERR1913073.30003__1.30003	1150298__A0A174R4D7__tmpC_2
ERR1913073.30042__1.30042	1150298__R7JRT0__ERS852498_01068
ERR1913073.30206__1.30206	1150298__A0A174U7I9__ERS852406_02991
ERR1913073.30225__1.30225	40518__R5DU92__DXD93_03170
ERR1913073.30387__1.30387	328813__A0A1Y3QQH7__B5G41_13925
ERR1913073.30395__1.30395	39491__A0A173SH34__EUR_24920
ERR1913073.30409__1.30409	40518__R5DU52__RB5AMG_02245
ERR1913073.30599__1.30599	39491__C4ZF05__vpr
