ERR1913153.510__1.510	454155__G5SS31__HMPREF9442_03407
ERR1913153.9522__1.9522	28117__B0MTV3__BHV66_06405
ERR1913153.9669__1.9669	1262911__R6HHR1__BN557_01622
ERR1913153.9736__1.9736	821__A0A3E4XY72__NCTC10583_01067
ERR1913153.9865__1.9865	1262743__R5C054__BN727_01980
ERR1913153.10081__1.10081	1660__A0A2X0VPR6__ACTODO_00083
ERR1913153.10256__1.10256	2108523__A0A2P2F4W7__LAWASA_1054
ERR1913153.10278__1.10278	1897011__A0A1Q6RE47__BHW41_04715
ERR1913153.10319__1.10319	446660__GCA_003428235.1_01598
ERR1913153.10908__1.10908	40518__R5E2U9__RBL263_01292
ERR1913153.11095__1.11095	40518__R5DP61__DXD86_06345
ERR1913153.11512__1.11512	28116__A0A139LL51__B5F02_01570
ERR1913153.11708__1.11708	40518__R5E550__aroK
ERR1913153.11737__1.11737	40518__R5DU38__DXD83_06770
ERR1913153.11950__1.11950	301302__R5VF67__M72_01841
ERR1913153.12068__1.12068	301302__A0A173SUI7__M72_11091
ERR1913153.12494__1.12494	454155__F3QU73__HMPREF9442_01744
ERR1913153.12540__1.12540	40518__R5E304__thiT
ERR1913153.12549__1.12549	40518__R5E304__thiT
ERR1913153.12588__1.12588	28111__E5WVI9__BACEGG_03583
ERR1913153.12668__1.12668	40518__R5DXW3__DXD86_07900
ERR1913153.12804__1.12804	301302__A0A0M6WWC3__M72_11371
ERR1913153.12819__1.12819	40518__R5E2Z2__DXD93_09295
ERR1913153.13023__1.13023	1680__A0A1X3A7D3__AD0028_1139
ERR1913153.13093__1.13093	40518__R5DU92__DXD93_03170
ERR1913153.13712__1.13712	39486__B0G3R8__DXB12_09875
ERR1913153.13812__1.13812	40518__R5DQK2__DXD93_03730
ERR1913153.13829__1.13829	1262924__R7HKX0__BN585_01279
ERR1913153.14021__1.14021	1262743__R5C054__BN727_01980
ERR1913153.13986__1.13986	39491__A0A395ZF49__DXB69_05290
ERR1913153.14000__1.14000	46503__R6Y6S8__xynB_2
ERR1913153.14068__1.14068	820__A0A1Y3V743__M093_0235
ERR1913153.14168__1.14168	40518__R5E6Y7__DXD83_08230
ERR1913153.14258__1.14258	28111__E5X3F5__BACEGG_02868
ERR1913153.14354__1.14354	39491__A0A395V0H6__ERS852580_02570
ERR1913153.14461__1.14461	821__A0A0P0LJ37__DXB82_14270
ERR1913153.14850__1.14850	301302__R5UMN4__M72_24341
ERR1913153.15003__1.15003	1262986__R6A878__BN492_00369
ERR1913153.14976__1.14976	40519__U2KNI1__RUMCAL_02150
ERR1913153.14983__1.14983	216816__B7GN29__BL72_08765
ERR1913153.15188__1.15188	1897011__A0A1Q6RFC7__BHW41_03540
ERR1913153.15357__1.15357	1150298__R7JSE8__coaX_1
ERR1913153.15481__1.15481	1150298__A0A174P5A3__ERS852406_00830
ERR1913153.15586__1.15586	301301__A0A395V944__ERS852391_00514
ERR1913153.15592__1.15592	823__A0A395YY84__DXC05_19515
ERR1913153.15654__1.15654	301302__R5VFW5__M72_26781
ERR1913153.15721__1.15721	823__A0A395YY84__DXC05_19515
ERR1913153.16048__1.16048	40518__R5DVQ2__DXD93_00365
ERR1913153.16100__1.16100	626932__G5H6N6__HMPREF9450_00596
ERR1913153.16271__1.16271	216816__E8MH24__APS65_02760
ERR1913153.16274__1.16274	1262911__R6H174__BN557_01246
ERR1913153.16401__1.16401	40518__R5DXH2__DXD83_10135
ERR1913153.16502__1.16502	1262886__R6QAR9__BN563_00973
ERR1913153.16544__1.16544	46503__R6Y9P8__evgS_3
ERR1913153.16549__1.16549	820__A0A174M9V5__M093_0237
ERR1913153.16562__1.16562	33025__A0A395J9X4__C8D73_109106
ERR1913153.16586__1.16586	1628085__A0A374VSS7__C7386_101299
ERR1913153.16612__1.16612	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913153.16678__1.16678	820__A0A173XIP7__B5G17_16050
ERR1913153.16620__1.16620	1262911__R6GY22__BN557_00023
ERR1913153.17003__1.17003	371601__D7IYQ1__BN890_32720
ERR1913153.16950__1.16950	1550024__G9RXH7__TQ39_11565
ERR1913153.17091__1.17091	28111__E5WUX3__HMPREF1016_00550
ERR1913153.17161__1.17161	1262911__R6H2B5__BN557_01151
ERR1913153.17168__1.17168	40518__R5DVL2__penA
ERR1913153.17198__1.17198	357276__B6VT86__IY41_22515
ERR1913153.17202__1.17202	40518__R5DS23__DXD86_01715
ERR1913153.17231__1.17231	40518__R5DV66__DXD83_04215
ERR1913153.17310__1.17310	216816__D6DBD5__DXC32_04335
ERR1913153.17441__1.17441	100886__E2NQD7__CATMIT_00789
ERR1913153.17508__1.17508	301302__R5UVR7__ERS852420_00118
ERR1913153.17664__1.17664	40518__R5DP21__RBATCC27255_00348
ERR1913153.17690__1.17690	820__A0A139K1Y6__DXB48_02610
ERR1913153.17716__1.17716	40518__R5E670__DXD93_06195
ERR1913153.17725__1.17725	39486__B0G3R8__DXB12_09875
ERR1913153.17840__1.17840	216816__A0A395XZB7__DXD37_04075
ERR1913153.17978__1.17978	820__A0A174GYA8__DXB64_07370
ERR1913153.18122__1.18122	39491__C4ZCH3__EUR_17560
ERR1913153.18172__1.18172	410072__A0A173YNZ0__ERS852481_00766
ERR1913153.18319__1.18319	1703337__A0A2U0U7Q7__C7379_11089
ERR1913153.18367__1.18367	40518__R5E2F3__artQ
ERR1913153.18408__1.18408	216816__C2GV16__APC1504_1666
ERR1913153.18417__1.18417	33043__A0A173ZZ54__ERS852400_00193
ERR1913153.18418__1.18418	47678__R5UU99__C5Z00_11925
ERR1913153.18695__1.18695	74426__rpoC
ERR1913153.18726__1.18726	1897011__A0A1Q6REP0__BHW41_04040
ERR1913153.18792__1.18792	823__A0A355XF06__B5F32_11480
ERR1913153.19059__1.19059	39488__A0A285PT56__ERS852450_02640
ERR1913153.19292__1.19292	40518__R5E4V5__RBL263_01242
ERR1913153.19390__1.19390	1262911__R6H0U7__BN557_01104
ERR1913153.19450__1.19450	39491__A0A395V5R3__EUBREC_1883
ERR1913153.19538__1.19538	39491__D4JMW8__ERS852497_01971
ERR1913153.19574__1.19574	40518__R5E2R8__nnr_2
ERR1913153.19620__1.19620	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913153.19723__1.19723	649756__A0A173TB83__HMPREF0369_01758
ERR1913153.19850__1.19850	39491__A0A395ZEI6__ERE_07950
ERR1913153.19938__1.19938	28111__E5WTU8__BACEGG_01922
ERR1913153.19975__1.19975	40518__R5DP21__RBATCC27255_00348
ERR1913153.20034__1.20034	301302__A0A0M6WPH4__ERS852420_01173
ERR1913153.20126__1.20126	410072__A0A174AQ98__COPCOM_03377
ERR1913153.20216__1.20216	40518__R5DQW8__sipW_2
ERR1913153.20366__1.20366	823__A0A174EFT7__luxQ_5
ERR1913153.20548__1.20548	216816__A0A396FVC5__BL71B_00290
ERR1913153.20606__1.20606	39491__A0A395UZZ5__htpG_1
ERR1913153.20831__1.20831	1520815__A0A1I3L347__SAMN02910435_00746
ERR1913153.20855__1.20855	301302__A0A173UPG6__ERS852420_03127
ERR1913153.21163__1.21163	1262886__R6RCG0__BN563_00376
ERR1913153.21304__1.21304	1262911__R6GNY6__BN557_00004
ERR1913153.21343__1.21343	47678__R5UXY0__CGC64_03535
ERR1913153.21750__1.21750	216816__C2GSX7__DD678_03555
ERR1913153.21755__1.21755	46506__B0NUC3__SAMN05444283_1019
ERR1913153.21783__1.21783	216816__B7GPH6__DXC74_08225
ERR1913153.21784__1.21784	1262886__R6Q6Q1__BN563_00546
ERR1913153.21806__1.21806	1628085__A0A374VPP0__C7386_11442
ERR1913153.21872__1.21872	1262743__R5C054__BN727_01980
ERR1913153.22136__1.22136	357276__B6W1J2__BACDOR_03380
ERR1913153.22172__1.22172	116085__D4J7N1__DW747_15135
ERR1913153.22189__1.22189	301301__G2SZM1__RHOM_00740
ERR1913153.22264__1.22264	820__A0A3E4W4W5__ERS852554_02179
ERR1913153.22576__1.22576	40518__R5DR72__RBL236_02110
ERR1913153.22578__1.22578	1150298__A0A174N5I7__ERS852498_01953
ERR1913153.22536__1.22536	820__A0A139K8N1__ERS852554_00951
ERR1913153.22737__1.22737	1262743__R5C054__BN727_01980
ERR1913153.22781__1.22781	384638__B7AWP7__BACPEC_03147
ERR1913153.22849__1.22849	820__A0A374QGD2__ERS852421_02382
ERR1913153.22909__1.22909	821__A0A396F9T7__M097_3427
ERR1913153.23004__1.23004	301302__A0A173RZU9__M72_23561
ERR1913153.23123__1.23123	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913153.23424__1.23424	418240__A0A173Y4P4__ERS852478_00547
ERR1913153.23455__1.23455	239935__A0A139TTZ7__CXU14_07900
ERR1913153.23487__1.23487	100886__A0A174HGR4__pepD
ERR1913153.23491__1.23491	40518__R5E4X1__DXD93_05270
ERR1913153.23503__1.23503	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913153.23548__1.23548	853__A0A2A7B9I6__DW855_13690
ERR1913153.23594__1.23594	820__A7V092__hldE
ERR1913153.23999__1.23999	39491__A0A173TAZ5__DXB99_09520
ERR1913153.24048__1.24048	394340__cfiA
ERR1913153.24060__1.24060	1628085__A0A396QCK7__C7386_10670
ERR1913153.24091__1.24091	1262886__R6Q800__BN563_00921
ERR1913153.24092__1.24092	410072__A0A174J5N8__sbcC
ERR1913153.24231__1.24231	301302__A0A0M6WI31__znuC_2
ERR1913153.24280__1.24280	884684__GCA_002892425.1_01408
ERR1913153.24364__1.24364	40518__R5E282__DXD86_08940
ERR1913153.24525__1.24525	40518__R5DPI9__DXD83_07375
ERR1913153.24790__1.24790	33025__A0A395JBB5__C8D73_107104
ERR1913153.24814__1.24814	39491__A0A395V0H6__ERS852580_02570
ERR1913153.24875__1.24875	1262911__R6H174__BN557_01246
ERR1913153.24857__1.24857	1262911__R6H2J2__BN557_01228
ERR1913153.25016__1.25016	1262886__R6QHD5__BN563_00547
ERR1913153.25056__1.25056	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913153.25118__1.25118	820__A0A3E4FZM1__adaA_2
ERR1913153.25216__1.25216	1262924__R7HLK0__BN585_01496
ERR1913153.25644__1.25644	40518__R5E1X3__clcA
ERR1913153.25837__1.25837	301302__R5UL57__ERS852420_00622
ERR1913153.26007__1.26007	572010__lepA
ERR1913153.26084__1.26084	1150298__A0A174R918__ERS852535_01749
ERR1913153.26016__1.26016	1262886__R6Q9D7__BN563_00573
ERR1913153.26229__1.26229	39492__D4JSS2__EUBSIR_00553
ERR1913153.26529__1.26529	28111__E5WVR8__NCTC11155_02792
ERR1913153.26651__1.26651	39491__D6E555__DXB99_06765
ERR1913153.26611__1.26611	216816__B3DPC3__CE169_06855
ERR1913153.26820__1.26820	40518__R5DZE2__DXD86_07400
ERR1913153.26845__1.26845	40518__R5E1J7__RBL236_02062
ERR1913153.26923__1.26923	33025__A0A395JFJ2__C8D73_101276
ERR1913153.26976__1.26976	1150298__R7JND0__ERS852498_02814
ERR1913153.27169__1.27169	1099853__G9S521__NSB1T_00320
ERR1913153.27321__1.27321	166486__D4L457__ROSINTL182_07087
ERR1913153.27663__1.27663	301302__A0A173T3P5__ERS852420_01836
ERR1913153.27678__1.27678	47678__A5ZB44__C5Z00_17730
ERR1913153.27686__1.27686	1262753__R5B0D1__BN813_02073
ERR1913153.27724__1.27724	46503__B7B776__DXB85_00355
ERR1913153.27732__1.27732	46503__R6X5I4__ERS852463_01136
ERR1913153.27737__1.27737	28111__E5WYC1__BACEGG_00354
ERR1913153.27810__1.27810	40518__R5E2R8__nnr_2
ERR1913153.28048__1.28048	823__A0A174U5E4__BDI_3390
ERR1913153.28097__1.28097	88431__A0A3E5GJ50__DORLON_02273
ERR1913153.28410__1.28410	823__A0A073I5R7__cloSI
ERR1913153.28509__1.28509	823__A0A174XJM9__CEQ22_007230
ERR1913153.28544__1.28544	28116__A0A078Q626__HMPREF1070_02735
ERR1913153.28587__1.28587	33043__A0A173WXS1__ERS852445_00262
ERR1913153.28781__1.28781	387661__R5DN38__HMPREF1077_03356
ERR1913153.28783__1.28783	2173__A0A1D2WVH4__METSMIALI_00947
ERR1913153.28785__1.28785	28111__E5WWI4__HMPREF1016_01032
ERR1913153.28820__1.28820	410072__A0A174QU55__luxQ
ERR1913153.28834__1.28834	301302__R5VFU2__xynA1
ERR1913153.28959__1.28959	33025__A0A395JHD9__C8D73_101774
ERR1913153.29076__1.29076	239935__A0A2N8HHY4__DEF40_10850
ERR1913153.29403__1.29403	61171__B9Y5T8__HOLDEFILI_01170
ERR1913153.29530__1.29530	28117__R7JIJ8__BHV66_01635
ERR1913153.29802__1.29802	338188__C9KX00__BACFIN_06842
ERR1913153.29763__1.29763	40518__R5E304__thiT
ERR1913153.29995__1.29995	649756__A0A174SER1__HMPREF0369_00070
ERR1913153.30026__1.30026	47678__R5UTU5__CGC64_07175
ERR1913153.30073__1.30073	33025__A0A395JHB7__C8D73_101754
ERR1913153.30154__1.30154	216816__A0A0A6VPB9__B624_1780
ERR1913153.30224__1.30224	39492__D4JWA3__ERS852540_01332
ERR1913153.30302__1.30302	208479__R5FBW9__HMPREF1089_05086
ERR1913153.30273__1.30273	1150298__A0A174MDL5__ERS852406_00648
ERR1913153.30416__1.30416	39491__A0A173SH34__EUR_24920
ERR1913153.30508__1.30508	384639__GCA_003096855.1_01170
ERR1913153.30550__1.30550	823__A6LEF3__ERS852560_01356
ERR1913153.30783__1.30783	487175__D9Y3I2__HMPREF9439_00938
ERR1913153.30876__1.30876	216816__E8MW20__DD674_07905
ERR1913153.30900__1.30900	820__A0A1T4IYF4__mprA_1
ERR1913153.30980__1.30980	40518__R5DYF6__RBL263_01812
ERR1913153.31054__1.31054	820__A0A3E4GA19__SAMN05444418_10562
ERR1913153.31143__1.31143	46503__A7AH78__DD461_04085
ERR1913153.31199__1.31199	572010__dnaK2
ERR1913153.31157__1.31157	40518__R5E6X5__sbcD
ERR1913153.31294__1.31294	214856__A0A173XVG6__vatD_2
ERR1913153.31497__1.31497	301302__R5VE56__M72_25941
ERR1913153.31508__1.31508	33043__D5HGZ8__nnr
ERR1913153.31742__1.31742	40518__R5DVV1__RBATCC27255_00999
ERR1913153.31879__1.31879	820__A0A374QGD2__ERS852421_02382
ERR1913153.31889__1.31889	33025__A0A395J973__C8D73_11010
ERR1913153.31895__1.31895	338188__R6RY59__BACFIN_08333
ERR1913153.32323__1.32323	1262886__R6QP39__BN563_00737
ERR1913153.32328__1.32328	74426__rpoB
ERR1913153.32384__1.32384	33025__A0A395JEP7__C8D73_10844
ERR1913153.32446__1.32446	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913153.32527__1.32527	39491__A0A395UVM9__DXB76_04540
ERR1913153.32603__1.32603	820__A0A174DZ97__SAMN05444418_101240
ERR1913153.32716__1.32716	46503__A7AG59__ERS852463_00349
ERR1913153.32841__1.32841	301302__R5V7G4__ywtF
ERR1913153.32880__1.32880	28117__B0MY36__BHV66_05185
ERR1913153.32985__1.32985	310298__B3JQJ5__BACCOP_04231
ERR1913153.32988__1.32988	301302__A0A173QV75__M72_03601
ERR1913153.33018__1.33018	820__A0A3E5BMG9__DXD40_05130
ERR1913153.33093__1.33093	100886__E2NVC9__ERS852383_05891
ERR1913153.33111__1.33111	40518__R5E6N4__DXD93_01325
ERR1913153.33142__1.33142	1262886__R6QJJ7__BN563_01219
ERR1913153.33329__1.33329	40518__R5E6K5__speA
ERR1913153.33339__1.33339	1150298__R7JUW7__ERS852406_02089
ERR1913153.33939__1.33939	47678__R5U878__ERS852494_03300
ERR1913153.34035__1.34035	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913153.34053__1.34053	1235792__R9K0L5__C808_03856
ERR1913153.34065__1.34065	2173__A5UNC4__METSMIALI_00562
ERR1913153.34073__1.34073	1262886__R6Q625__BN563_00312
ERR1913153.34234__1.34234	1262886__R6QIV0__BN563_00982
ERR1913153.34355__1.34355	246787__A0A0P0FTH5__HMPREF1062_06328
ERR1913153.34419__1.34419	40518__R5DLU0__fmt
ERR1913153.34421__1.34421	1150298__R7JUS5__soxS_1
ERR1913153.34619__1.34619	1150298__A0A174HYM9__ERS852406_01664
ERR1913153.34822__1.34822	40518__R5DU74__RBATCC27255_00707
ERR1913153.34834__1.34834	310298__B3JQJ5__BACCOP_04231
ERR1913153.34968__1.34968	100886__A0A174IUT3__CATMIT_01308
ERR1913153.35099__1.35099	40518__R5DR96__RBATCC27255_01185
ERR1913153.35078__1.35078	28118__R6FBL5__B5F93_09165
ERR1913153.35176__1.35176	818__A0A1H7S810__BJP75_003270
ERR1913153.35186__1.35186	40518__R5DPI9__DXD83_07375
ERR1913153.35267__1.35267	40518__A0A1C6H8C4__DXD93_02535
ERR1913153.35512__1.35512	820__R9HP61__DXC91_01090
ERR1913153.35963__1.35963	821__A0A3E4HP25__SAMN04487923_102450
ERR1913153.36235__1.36235	47678__A0A174TQR6__CGC64_14735
ERR1913153.36306__1.36306	28117__B0MT73__ALIPUT_00412
ERR1913153.36320__1.36320	301302__R5VFU2__xynA1
ERR1913153.36460__1.36460	823__A6L9D3__ERS852560_03374
ERR1913153.36523__1.36523	1263044__GCA_000433375.1_01133
ERR1913153.36575__1.36575	301302__R5VCU3__cbiK_2
ERR1913153.36593__1.36593	40518__R5DNI6__RBATCC27255_00844
ERR1913153.36622__1.36622	40518__R5E6K5__speA
ERR1913153.36806__1.36806	40518__R5DZM6__lytR_3
ERR1913153.36962__1.36962	338188__C9L0Q9__HMPREF1057_02408
ERR1913153.36936__1.36936	1150298__A0A174PXR1__ERS852406_02747
ERR1913153.37060__1.37060	46503__K5ZM81__DCY29_16460
ERR1913153.37062__1.37062	884684__GCA_002892425.1_01408
ERR1913153.37211__1.37211	1262924__R7HQ03__BN585_01295
ERR1913153.37385__1.37385	33025__A0A395JEP7__C8D73_10844
ERR1913153.37407__1.37407	166486__C7GCP5__ROSINTL182_07683
ERR1913153.37409__1.37409	100884__E7GEA6__DXB26_08415
ERR1913153.37706__1.37706	166486__D4L082__yicI_5
ERR1913153.37796__1.37796	1262911__R6HGD7__BN557_00108
ERR1913153.37804__1.37804	820__A0A3E4GA19__SAMN05444418_10562
ERR1913153.37830__1.37830	39491__A0A395V0H6__ERS852580_02570
ERR1913153.37960__1.37960	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913153.38070__1.38070	301302__R5V671__M72_27831
ERR1913153.38128__1.38128	47678__R5UAF6__ERS852494_02966
ERR1913153.38088__1.38088	1262886__R6QNZ2__BN563_00672
ERR1913153.38201__1.38201	1262893__R5GK54__BN782_01557
ERR1913153.38318__1.38318	40518__R5DTP7__DXD83_02415
ERR1913153.38479__1.38479	100886__A0A174LEG5__ERS852383_05606
ERR1913153.38569__1.38569	166486__D4L1H3__sacC
ERR1913153.38684__1.38684	28117__B0MTH2__ALIPUT_00061
ERR1913153.38690__1.38690	338188__A0A1Q6HA80__ERS852397_00522
ERR1913153.38786__1.38786	39491__A0A395V0E5__ERE_31370
ERR1913153.38794__1.38794	1680__A0A174BEE7__BSTER_1311
ERR1913153.38797__1.38797	46503__R6WWC9__PARMER_03215
ERR1913153.38802__1.38802	823__A0A355XFH7__ERS852513_00769
ERR1913153.38846__1.38846	817__A0A015NVK9__HMPREF1204_01972
ERR1913153.38836__1.38836	33043__A0A173QUA9__ERS852400_01795
ERR1913153.38996__1.38996	301302__A0A173S3L8__vpr
ERR1913153.39003__1.39003	216816__B3DRU6__DPC6323_0992
ERR1913153.39043__1.39043	821__A0A395US34__C5Z04_18975
ERR1913153.39047__1.39047	1680__A0A0B5BL52__ERS852382_00480
ERR1913153.39160__1.39160	1262924__R7HQ14__BN585_00419
ERR1913153.39267__1.39267	1150298__A0A174LLX0__dhaD
ERR1913153.39418__1.39418	301301__A0A395VAX9__ERS852391_01264
ERR1913153.39736__1.39736	1550024__G9RP65__ASJ35_11645
ERR1913153.39928__1.39928	39491__A0A396FQV7__T1815_10751
ERR1913153.40058__1.40058	820__A0A174KKV6__DXC07_02635
ERR1913153.40169__1.40169	820__A0A139KJ23__celCCA
ERR1913153.40126__1.40126	823__A6LHJ7__ERS852380_00253
ERR1913153.40151__1.40151	1262886__R6REM1__BN563_00995
ERR1913153.40204__1.40204	1780376__A0A143XSC4__BN3659_01663
ERR1913153.40342__1.40342	1262848__R6U8I0__BN818_01131
ERR1913153.40578__1.40578	28111__E5WVI9__BACEGG_03583
ERR1913153.40529__1.40529	1150298__A0A174MSM0__toxA_2
ERR1913153.40633__1.40633	552398__F4XCR9__HMPREF0866_01636
ERR1913153.40912__1.40912	1150298__A0A174MSM0__toxA_2
ERR1913153.41151__1.41151	88431__A0A3D0EYE9__rafA
ERR1913153.41092__1.41092	28117__B0MWC6__BHV66_00965
ERR1913153.41168__1.41168	820__A7V780__adaA_3
ERR1913153.41288__1.41288	1262924__R7HQD9__BN585_00129
ERR1913153.41410__1.41410	418240__A0A173WPF0__spoIIIAE
ERR1913153.41511__1.41511	28111__E5X237__NCTC11155_00628
ERR1913153.41529__1.41529	39491__A0A396FJJ9__DXB76_11995
ERR1913153.41470__1.41470	820__A0A3E4G3J9__ERS852459_02265
ERR1913153.41670__1.41670	40518__R5E328__DXD86_08885
ERR1913153.41707__1.41707	28116__A0A1Y4Q112__evgS_13
ERR1913153.41730__1.41730	301302__R5UM41__M72_15921
ERR1913153.41782__1.41782	40518__R5DNI6__RBATCC27255_00844
ERR1913153.41812__1.41812	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913153.42102__1.42102	572010__group_1977
ERR1913153.42190__1.42190	1262911__R6HHR1__BN557_01622
ERR1913153.42229__1.42229	40518__R5E2F3__artQ
ERR1913153.42237__1.42237	40518__R5DXI4__DXD86_07420
ERR1913153.42637__1.42637	39492__D4JV86__spoIIE
ERR1913153.42705__1.42705	820__A0A3E4VZY4__ERS852554_01211
ERR1913153.42748__1.42748	1262911__R6HIJ8__BN557_01742
ERR1913153.42801__1.42801	1150298__R7JXH6__mecR1
ERR1913153.42858__1.42858	1680__A0A3E4SB79__BAD_1517
ERR1913153.42953__1.42953	301302__A0A173RJJ7__ERS852420_00620
ERR1913153.43002__1.43002	28116__I9JM49__NCTC11153_01044
ERR1913153.43050__1.43050	301302__R5UI99__M72_25591
ERR1913153.43148__1.43148	216816__A0A061M1M5__HMPREF0177_01046
ERR1913153.43263__1.43263	106588__A6NUL8__BACCAP_01900
ERR1913153.43499__1.43499	39491__A0A395UZ89__DXB72_12805
ERR1913153.43515__1.43515	1262911__R6GUQ4__BN557_01581
ERR1913153.43554__1.43554	820__R9I324__HMPREF2141_02414
ERR1913153.43563__1.43563	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913153.43595__1.43595	820__R7E9Z4__DXC68_06065
ERR1913153.43600__1.43600	328814__GCA_004558275.1_00293
