ERR1913311.69__1.69	410072__A0A3E4GMB7__COPCOM_03357
ERR1913311.6169__1.6169	1262882__R5MFN3__BN519_00392
ERR1913311.6187__1.6187	1262882__R5MT08__BN519_01706
ERR1913311.6411__1.6411	39492__D4JQU6__ERS852540_02194
ERR1913311.6418__1.6418	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913311.6513__1.6513	487175__R5ZWS3__HMPREF9439_00648
ERR1913311.6787__1.6787	371601__I9UUB0__SAMN04487924_11836
ERR1913311.6740__1.6740	301301__A0A395V9G1__RHOM_02750
ERR1913311.6878__1.6878	39491__A0A396FS17__envC
ERR1913311.6890__1.6890	371601__D0TR52__HMPREF1074_03319
ERR1913311.6939__1.6939	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1913311.6988__1.6988	28116__A0A3E5HUC8__DHW41_21025
ERR1913311.7015__1.7015	39492__D4JV48__ERS852540_00852
ERR1913311.7216__1.7216	214856__R6Z288__ERS852447_00734
ERR1913311.7245__1.7245	40518__R5DZ16__DXD86_01455
ERR1913311.7255__1.7255	820__A0A174DZ97__SAMN05444418_101240
ERR1913311.7256__1.7256	371601__I9JHG7__DXD80_12945
ERR1913311.7610__1.7610	1150298__A0A174DX06__ERS852498_00491
ERR1913311.7612__1.7612	820__A0A174TRB5__DXD40_11305
ERR1913311.7646__1.7646	1150298__R7JXH6__mecR1
ERR1913311.7825__1.7825	853__A0A3E2U7E6__ERS852582_01640
ERR1913311.7843__1.7843	1262913__R7J4R5__BN646_00631
ERR1913311.8016__1.8016	1262882__R5N2A9__BN519_00921
ERR1913311.8054__1.8054	487175__F3QIH4__HMPREF9439_00721
ERR1913311.8076__1.8076	1780381__A0A143ZX30__BN3661_02209
ERR1913311.8096__1.8096	338188__A0A174GJJ1__ERS852397_02405
ERR1913311.8105__1.8105	853__A0A174BZY1__xerD_1
ERR1913311.8197__1.8197	1262913__R7JCI2__BN646_01688
ERR1913311.8662__1.8662	166486__C7GCP5__ROSINTL182_07683
ERR1913311.8664__1.8664	239935__A0A139TVJ4__CXT86_02020
ERR1913311.8829__1.8829	28116__F7L8H9__BACOVA_00587
ERR1913311.8928__1.8928	1262882__R5MKV8__BN519_01281
ERR1913311.8997__1.8997	1262882__R5MND9__BN519_00831
ERR1913311.9003__1.9003	357276__A0A0M1W9N4__GV66_05135
ERR1913311.9037__1.9037	40518__R5DZM6__lytR_3
ERR1913311.9225__1.9225	1262882__R5MFM2__BN519_00460
ERR1913311.9253__1.9253	1262924__R7HND0__BN585_00157
ERR1913311.9319__1.9319	1262924__R7HQD9__BN585_00129
ERR1913311.9394__1.9394	418240__C6JHP9__ERS852478_02092
ERR1913311.9536__1.9536	1262882__R5N1Z9__BN519_01020
ERR1913311.9651__1.9651	1262992__R5D0P4__BN795_01631
ERR1913311.9704__1.9704	166486__D4KVN3__ERS852572_03944
ERR1913311.9737__1.9737	216816__A0A2U0BLP0__tsaB
ERR1913311.9837__1.9837	39492__D4JRV5__acrR_2
ERR1913311.9857__1.9857	1262913__R7JIT0__BN646_02465
ERR1913311.9953__1.9953	371601__A0A1H4EI15__SAMN05216250_1169
ERR1913311.10026__1.10026	328814__GCA_004558275.1_00995
ERR1913311.10043__1.10043	1262924__R7HPY0__BN585_01950
ERR1913311.10120__1.10120	1262882__R5MLP5__BN519_01602
ERR1913311.10181__1.10181	39492__D4JQS7__ERS852540_01645
ERR1913311.10197__1.10197	1262913__R7JJ24__BN646_02388
ERR1913311.10217__1.10217	46228__B5CP91__RUMLAC_01282
ERR1913311.10252__1.10252	39492__D4JTG7__EUBSIR_00572
ERR1913311.10345__1.10345	1262913__R7JHX2__BN646_02311
ERR1913311.10614__1.10614	820__A0A139K8N1__ERS852554_00951
ERR1913311.10781__1.10781	371601__A0A174KGU6__CW3_4554
ERR1913311.10890__1.10890	166486__D4KVX6__ROSINTL182_06735
ERR1913311.10926__1.10926	1262882__R5N3T7__BN519_01188
ERR1913311.10931__1.10931	1262924__R7HQ14__BN585_00419
ERR1913311.10948__1.10948	39492__D4JTH4__ERS852540_00702
ERR1913311.11239__1.11239	214856__A0A174ZLY7__ERS852447_02456
ERR1913311.11701__1.11701	823__A6LB63__M095_1847
ERR1913311.11739__1.11739	1262882__R5MIY9__BN519_01097
ERR1913311.11769__1.11769	39488__C0EVP9__ERS852450_03163
ERR1913311.12050__1.12050	166486__D4L0J8__ROSINTL182_08089
ERR1913311.12087__1.12087	818__A0A3E5HGN6__Btheta7330_00798
ERR1913311.12305__1.12305	1262882__R5N211__BN519_01033
ERR1913311.12337__1.12337	301301__A0A395V4S5__RHOM_15770
ERR1913311.12264__1.12264	1262882__R5MT42__BN519_01729
ERR1913311.12434__1.12434	1262924__R7HQI4__BN585_00500
ERR1913311.12473__1.12473	1262882__R5N526__BN519_01603
ERR1913311.12573__1.12573	39492__D4JQP0__ypeB
ERR1913311.12582__1.12582	46228__B5CLQ5__RUMLAC_00379
ERR1913311.12587__1.12587	46228__B5CKX6__RUMLAC_00090
ERR1913311.12756__1.12756	649756__A0A174SER1__HMPREF0369_00070
ERR1913311.12835__1.12835	40518__R5DUW7__DXD83_02105
ERR1913311.12865__1.12865	1099853__U5CMJ0__NSB1T_01275
ERR1913311.13103__1.13103	1735__B7CC21__EUBIFOR_01746
ERR1913311.13116__1.13116	39492__D4JWY0__EUBSIR_01648
ERR1913311.13259__1.13259	1262882__R5MJZ4__BN519_01269
ERR1913311.13328__1.13328	39486__B0G7K1__HMPREF9457_01526
ERR1913311.13376__1.13376	1262924__R7HUJ5__BN585_00830
ERR1913311.13465__1.13465	1262882__R5N5H2__BN519_01493
ERR1913311.13578__1.13578	1263000__R5EXT3__BN466_02213
ERR1913311.13701__1.13701	39491__A0A395UWA3__DXB69_11805
ERR1913311.13729__1.13729	40518__R5DTW7__phoU
ERR1913311.13745__1.13745	1262924__R7HT26__BN585_00306
ERR1913311.13784__1.13784	1262913__R7JIT0__BN646_02465
ERR1913311.13900__1.13900	1262882__R5MNC1__BN519_00818
ERR1913311.13906__1.13906	28118__F9ZBG8__DHW44_04410
ERR1913311.13913__1.13913	39492__D4MJF3__EUBSIR_02248
ERR1913311.14515__1.14515	39492__D4JTF2__mutS2
ERR1913311.14581__1.14581	39492__D4JQM9__EUBSIR_00669
ERR1913311.14606__1.14606	78257__A0A087CUE0__BSAE_1156
ERR1913311.14672__1.14672	39492__D4JVC7__yfgF
ERR1913311.14866__1.14866	357276__A0A0K2HG61__BACDOR_02028
ERR1913311.15041__1.15041	1262924__R7HPB3__BN585_00488
ERR1913311.15176__1.15176	46228__B5CKX6__RUMLAC_00090
ERR1913311.15144__1.15144	46228__B5CSZ7__HMPREF1202_01559
ERR1913311.15212__1.15212	1262882__R5N4G2__BN519_01273
ERR1913311.15221__1.15221	1897011__A0A1Q6RIR9__BHW41_00465
ERR1913311.15364__1.15364	39492__D4JT87__clpC
ERR1913311.15408__1.15408	39492__D4JRM9__bglB_2
ERR1913311.15711__1.15711	39492__D4JVZ6__truB
ERR1913311.15858__1.15858	1262882__R5MYX5__BN519_00333
ERR1913311.15879__1.15879	487175__D9Y2L5__HMPREF9439_02565
ERR1913311.15880__1.15880	1262882__R5MSQ8__BN519_01647
ERR1913311.15969__1.15969	1262882__R5N1R4__BN519_00788
ERR1913311.16304__1.16304	40518__R5DUU0__DXD93_03985
ERR1913311.16337__1.16337	46503__K5ZAK9__NCTC13052_03308
ERR1913311.16475__1.16475	371601__I9ABE6__BN890_20100
ERR1913311.16534__1.16534	39492__D4JRZ7__smc
ERR1913311.16509__1.16509	360807__A0A0M6WHB7__ERS852444_00092
ERR1913311.16889__1.16889	1262913__R7JGP8__BN646_01880
ERR1913311.17119__1.17119	28118__F9Z7M5__B5F99_15930
ERR1913311.17292__1.17292	1262882__R5MK82__BN519_00260
ERR1913311.17485__1.17485	853__A0A2A7A4A9__C4N21_14870
ERR1913311.17491__1.17491	39492__D4JQS6__ykoD
ERR1913311.17522__1.17522	418240__A0A174SJB0__toxA_3
ERR1913311.17599__1.17599	39492__D4MN06__EUBSIR_02672
ERR1913311.17615__1.17615	301302__A0A173SCU7__M72_12871
ERR1913311.17725__1.17725	1150298__A0A174L2G3__ERS852498_01371
ERR1913311.18121__1.18121	39492__D4MMN2__EUBSIR_00964
ERR1913311.18143__1.18143	328814__GCA_004558275.1_01006
ERR1913311.18265__1.18265	823__A0A355XJT5__ERS852429_03504
ERR1913311.18267__1.18267	357276__I9FTR0__HMPREF1065_02861
ERR1913311.18419__1.18419	166486__D4KVA1__ROSINTL182_06909
ERR1913311.18367__1.18367	39491__A0A395V297__EUR_01010
ERR1913311.18433__1.18433	1262882__R5MYS9__BN519_00290
ERR1913311.18583__1.18583	1297617__A0A0S2W152__C7373_10624
ERR1913311.19016__1.19016	39492__D4JRM9__bglB_2
ERR1913311.19236__1.19236	39491__C4ZC33__DXC13_11585
ERR1913311.19602__1.19602	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913311.19612__1.19612	39492__D4JWY5__rpe
ERR1913311.19847__1.19847	39492__D4JWG3__EUBSIR_00308
ERR1913311.19859__1.19859	1262948__R7EDA7__BN671_00036
ERR1913311.19869__1.19869	39491__A0A395ZHV7__ykvU
ERR1913311.20028__1.20028	1099853__R7DGV3__NSB1T_10580
ERR1913311.20051__1.20051	1262924__R7HQB3__BN585_00435
ERR1913311.20179__1.20179	1262924__R7HUJ5__BN585_00830
ERR1913311.20226__1.20226	328814__GCA_004558275.1_01006
ERR1913311.20299__1.20299	371601__A0A1Y4VNI9__CW1_3373
ERR1913311.20403__1.20403	371601__A0A174KGU6__CW3_4554
ERR1913311.20340__1.20340	39492__D4JV38__EUBSIR_01205
ERR1913311.20504__1.20504	371601__C3QME2__CW1_3650
ERR1913311.20602__1.20602	1150298__R7JUS5__soxS_1
ERR1913311.20886__1.20886	487175__D9Y553__HMPREF9439_02436
ERR1913311.21041__1.21041	301301__G2SZJ7__RHOM_00620
ERR1913311.21279__1.21279	1262882__R5MY46__BN519_00355
ERR1913311.21314__1.21314	39492__D4JUJ6__ssuB_2
ERR1913311.21431__1.21431	301301__A0A395VBD1__bcrC_1
ERR1913311.21561__1.21561	1150298__R7JV71__ERS852498_00755
ERR1913311.21562__1.21562	1262992__R5D6J2__BN795_00288
ERR1913311.21793__1.21793	1262913__R7JIX8__BN646_02491
ERR1913311.21856__1.21856	1262913__R7JDJ2__BN646_01863
ERR1913311.22002__1.22002	39492__D4JQL8__ywpJ
ERR1913311.22067__1.22067	46228__V8C7Q2__RUMLAC_01460
ERR1913311.22080__1.22080	371601__F7LYR1__DXD03_13150
ERR1913311.22205__1.22205	46228__V8CHW6__DXD17_13890
ERR1913311.22481__1.22481	1262986__R6A8V7__BN492_01258
ERR1913311.22589__1.22589	39492__D4JUD7__EUBSIR_01877
ERR1913311.22598__1.22598	1262913__R7JGD1__BN646_02188
ERR1913311.22552__1.22552	39491__A0A396FKG5__DXB76_07455
ERR1913311.22643__1.22643	487175__D9Y3Z4__HMPREF9439_02213
ERR1913311.22702__1.22702	246787__A0A3D6AZF8__BACCELL_02529
ERR1913311.22723__1.22723	1262882__R5MKV8__BN519_01281
ERR1913311.22868__1.22868	1262882__R5MFA5__BN519_00331
ERR1913311.22972__1.22972	39492__D4JSU6__dacB_3
ERR1913311.23216__1.23216	166486__D4L3V9__ROSINTL182_07680
ERR1913311.23283__1.23283	204516__U6R9E7__HMPREF1534_03313
ERR1913311.23353__1.23353	166486__D4L3K7__ERS852572_00904
ERR1913311.23452__1.23452	371601__I9UUC0__DXD80_12950
ERR1913311.23499__1.23499	39492__D4JU79__EUBSIR_01975
ERR1913311.23513__1.23513	1262911__R6H1D2__BN557_00855
ERR1913311.23604__1.23604	246787__A0A3D6AYV2__BcellWH2_03647
ERR1913311.23613__1.23613	166486__A0A173T114__ROSINTL182_05085
ERR1913311.23704__1.23704	1150298__A0A174KW35__cbbX
ERR1913311.23974__1.23974	410072__A0A173W715__cynR_4
ERR1913311.24038__1.24038	1262882__R5MIY9__BN519_01097
ERR1913311.24147__1.24147	39492__A0A174ZG93__EUBSIR_00254
ERR1913311.24254__1.24254	357276__A0A0K2HF58__IY41_03550
ERR1913311.24539__1.24539	1262882__R5MLP0__BN519_01597
ERR1913311.24796__1.24796	371601__G1UK36__HMPREF1074_03496
ERR1913311.24850__1.24850	301301__A0A395V8E1__RHOM_11160
ERR1913311.25289__1.25289	418240__C6J839__ERS852478_02454
ERR1913311.25885__1.25885	1262882__R5MJJ9__BN519_01035
ERR1913311.25911__1.25911	371601__I9AGU6__CW1_2721
ERR1913311.25990__1.25990	1262913__R7JJ16__BN646_02185
ERR1913311.26084__1.26084	301301__A0A395VA04__RHOM_13090
ERR1913311.26208__1.26208	39488__A0A173RXS4__ribF
ERR1913311.26251__1.26251	1628085__A0A2U1BFT1__C7386_102103
ERR1913311.26264__1.26264	360807__A0A1Q6T7T2__artP
ERR1913311.26583__1.26583	487175__R5E427__HMPREF9439_02808
ERR1913311.26864__1.26864	371601__G1UK36__HMPREF1074_03496
ERR1913311.27000__1.27000	1262882__R5N1T9__BN519_00804
ERR1913311.27036__1.27036	1262882__R5MQ68__BN519_01178
ERR1913311.27110__1.27110	1262882__R5MEW7__BN519_00010
ERR1913311.27182__1.27182	39492__D4JWY0__EUBSIR_01648
ERR1913311.27193__1.27193	357276__A0A0M1W657__HMPREF1064_04629
ERR1913311.27292__1.27292	1262882__R5MKU7__BN519_01276
ERR1913311.27322__1.27322	39491__A0A395UZ82__EUR_31520
ERR1913311.27423__1.27423	39491__A0A395ZHW9__DXC13_02590
ERR1913311.27450__1.27450	487175__D9Y3Z9__HMPREF9439_02208
ERR1913311.27482__1.27482	40518__R5DP91__RBL236_00890
ERR1913311.27569__1.27569	1262882__R5MF58__BN519_00393
ERR1913311.27647__1.27647	28118__R6FBE6__DHW44_11635
ERR1913311.27873__1.27873	1150298__A0A174HXS4__ERS852498_00503
ERR1913311.27984__1.27984	1262889__R7HBQ2__BN634_01539
ERR1913311.28011__1.28011	1262882__R5MDR8__BN519_00124
ERR1913311.28185__1.28185	358743__G5HT92__SAMN05216568_109213
ERR1913311.28160__1.28160	39491__A0A395ZF49__DXB69_05290
ERR1913311.28161__1.28161	40518__R5E2Z2__DXD93_09295
ERR1913311.28288__1.28288	39492__D4JUR4__ERS852540_01427
ERR1913311.28302__1.28302	39492__D4JX50__EUBSIR_00410
ERR1913311.28438__1.28438	301301__A0A395V7X3__RHOM_05050
ERR1913311.28564__1.28564	487175__R5E7Q1__HMPREF9439_01340
ERR1913311.28590__1.28590	1150298__R7JT16__ERS852498_00500
ERR1913311.28650__1.28650	214856__I3YMC8__ERS852447_02666
ERR1913311.28916__1.28916	1263005__R6FK50__BN497_01808
ERR1913311.28948__1.28948	40518__R5DMZ0__DXD83_05610
ERR1913311.29077__1.29077	823__D7IKW8__DXD05_10310
ERR1913311.29137__1.29137	649756__L1Q9A7__DCR88_02520
ERR1913311.29139__1.29139	371601__I9AKJ4__B5E50_07535
ERR1913311.29285__1.29285	1262882__R5MK82__BN519_00260
ERR1913311.29295__1.29295	1099853__G9S3X9__NSB1T_04035
ERR1913311.29383__1.29383	357276__I8VQA2__HMPREF1065_04183
ERR1913311.29447__1.29447	166486__A0A173VSA0__ROSINTL182_06124
ERR1913311.29540__1.29540	1262882__R5N1N6__BN519_00968
ERR1913311.29768__1.29768	820__R9I2U8__DXC68_09590
ERR1913311.29810__1.29810	820__R9I2U8__DXC68_09590
ERR1913311.29842__1.29842	1150298__A0A174QSP7__ERS852406_03088
ERR1913311.29940__1.29940	821__A0A0P0L8F8__ERS852509_03705
ERR1913311.30165__1.30165	166486__A0A173V5I7__ERS852572_02640
ERR1913311.30313__1.30313	39492__A0A174Z2N0__EUBSIR_01615
ERR1913311.30341__1.30341	39492__D4JQU6__ERS852540_02194
ERR1913311.30764__1.30764	1262924__R7HQB3__BN585_00435
ERR1913311.30771__1.30771	820__A0A174TRB5__DXD40_11305
ERR1913311.30837__1.30837	214856__I3YMC8__ERS852447_02666
ERR1913311.30997__1.30997	820__A0A139KIL9__DXC68_05945
ERR1913311.31026__1.31026	28118__F9Z408__NCTC10826_01194
ERR1913311.31230__1.31230	1262989__R6Y8H5__BN815_00655
ERR1913311.31250__1.31250	39492__B0MNL5__phoR_1
ERR1913311.31312__1.31312	46503__R6Y4W3__DXB85_01650
ERR1913311.31326__1.31326	1262989__R6YHS7__BN815_02113
ERR1913311.31369__1.31369	39485__A0A174ZBJ8__speA_2
ERR1913311.31414__1.31414	246787__I9EAB0__BACCELL_00131
ERR1913311.31479__1.31479	39492__D4MMN2__EUBSIR_00964
ERR1913311.31551__1.31551	301301__G2T4K1__RHOM_14310
ERR1913311.31927__1.31927	47678__R5UES3__CGC64_00760
ERR1913311.32185__1.32185	1262913__R7J5K6__BN646_00754
ERR1913311.32278__1.32278	1262924__R7HR75__BN585_00689
ERR1913311.32352__1.32352	166486__D4L1P2__ROSINTL182_05240
ERR1913311.32359__1.32359	1550024__A0A3B9WFD4__ASJ35_04875
ERR1913311.32451__1.32451	39492__D4JQY4__EUBSIR_01325
ERR1913311.32602__1.32602	28116__D4WLZ3__C5Z02_24105
ERR1913311.32777__1.32777	39491__C4ZF05__vpr
ERR1913311.32820__1.32820	39492__D4JQS7__ERS852540_01645
ERR1913311.32951__1.32951	1262913__R7JCZ5__BN646_01657
ERR1913311.32923__1.32923	28118__R6F1C2__rpoE_1
ERR1913311.33056__1.33056	371601__F7MC81__BN890_8450
ERR1913311.33020__1.33020	39492__D4JQS6__ykoD
ERR1913311.33123__1.33123	239935__A0A2N8IUW6__Amuc_1525
ERR1913311.33192__1.33192	1262777__R5W4Q6__BN512_01452
ERR1913311.33218__1.33218	29361__B6FIR6__CLONEX_00001
ERR1913311.33392__1.33392	371601__D6D747__CW3_0796
ERR1913311.33534__1.33534	1262882__R5MHA1__BN519_00763
ERR1913311.33559__1.33559	39492__D4JT91__EUBSIR_01750
ERR1913311.34018__1.34018	820__A0A139K4T0__ERS852510_03146
ERR1913311.34083__1.34083	39492__D4JX05__EUBSIR_01678
ERR1913311.34125__1.34125	46503__R5DLM3__HMPREF1078_03417
ERR1913311.34197__1.34197	1262913__R7JBN2__BN646_01175
ERR1913311.34396__1.34396	818__D7I8A4__C799_02600
ERR1913311.34409__1.34409	28116__C3QMW5__M089_4133
ERR1913311.34432__1.34432	1262882__R5MNC1__BN519_00818
ERR1913311.34539__1.34539	246787__A0A120A2E7__HMPREF1062_06329
ERR1913311.34646__1.34646	1262882__R5MM25__BN519_00600
ERR1913311.34728__1.34728	487175__F3QIG5__HMPREF9439_00712
ERR1913311.34800__1.34800	1680__A0A1X3A951__AL0462_1583
ERR1913311.34845__1.34845	39492__D4JT68__spoIIIE
ERR1913311.34895__1.34895	1262913__R7J944__BN646_00827
ERR1913311.34955__1.34955	39492__D4JUL4__ERS852540_01381
ERR1913311.35057__1.35057	328814__GCA_004558275.1_00041
ERR1913311.35158__1.35158	418240__C6JFJ7__ERS852523_01165
ERR1913311.35518__1.35518	1262882__R5MKV8__BN519_01281
ERR1913311.35751__1.35751	239935__R6JD78__CXU05_09250
ERR1913311.36047__1.36047	28116__D4WLZ3__C5Z02_24105
ERR1913311.36122__1.36122	1150298__A0A174QNY9__ERS852498_01028
ERR1913311.36128__1.36128	28116__A0A1Y4PHM7__DXA80_25130
ERR1913311.36018__1.36018	1262913__R7JFH5__BN646_01996
ERR1913311.36022__1.36022	1262924__R7HQD9__BN585_00129
ERR1913311.36036__1.36036	1262882__R5MGX3__BN519_00046
ERR1913311.36179__1.36179	1262924__R7HLJ5__BN585_01491
ERR1913311.36263__1.36263	1680__A0A087DHN0__AL0462_1532
ERR1913311.36765__1.36765	39485__A0A174YMC1__recN
ERR1913311.36898__1.36898	166486__D4L082__yicI_5
ERR1913311.37096__1.37096	626932__G5H9Q7__HMPREF9450_01372
ERR1913311.37108__1.37108	1150298__A0A174HHW8__yhbU_1
ERR1913311.37029__1.37029	1262882__R5N1L4__BN519_00757
ERR1913311.37153__1.37153	1262882__R5MND9__BN519_00831
ERR1913311.37159__1.37159	35833__E5Y8N1__HMPREF0179_02549
ERR1913311.37462__1.37462	821__A0A0P0M5Z6__BVU_0429
ERR1913311.37588__1.37588	39492__D4JV86__spoIIE
ERR1913311.37678__1.37678	371601__A0A0J9FJQ6__HMPREF1074_04066
ERR1913311.37774__1.37774	39492__A0A174ZG93__EUBSIR_00254
ERR1913311.37859__1.37859	328814__GCA_004558275.1_00235
ERR1913311.38048__1.38048	1262882__R5N0M6__BN519_00794
ERR1913311.38156__1.38156	39492__D4JRR5__ERS852540_02089
ERR1913311.38187__1.38187	1262913__R7JQ16__BN646_00365
ERR1913311.38210__1.38210	371601__W6P7Q9__BN890_32770
ERR1913311.38317__1.38317	1150298__A0A174KW35__cbbX
ERR1913311.38525__1.38525	328814__GCA_004558275.1_00994
ERR1913311.38536__1.38536	39492__D4JX87__EUBSIR_00361
ERR1913311.38782__1.38782	821__A0A0P0LJ37__DXB82_14270
ERR1913311.38796__1.38796	487175__F3QK74__HMPREF9439_01332
ERR1913311.38842__1.38842	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913311.39073__1.39073	1965662__A0A1Y3RKH7__B5G38_15260
ERR1913311.39116__1.39116	39491__A0A395V1R3__T1815_08181
ERR1913311.39313__1.39313	301301__A0A395V8V6__RHOM_04915
ERR1913311.39456__1.39456	371601__I9AKJ4__B5E50_07535
ERR1913311.39535__1.39535	39492__D4JRM9__bglB_2
ERR1913311.39716__1.39716	239935__A0A2N8I5H6__CXT92_05565
ERR1913311.39763__1.39763	39492__B0MNL5__phoR_1
ERR1913311.39943__1.39943	46503__R6X0P0__DXB61_03855
ERR1913311.40246__1.40246	1262913__R7JB76__BN646_01467
ERR1913311.40310__1.40310	39491__A0A395V1Y4__DXB99_08035
ERR1913311.40368__1.40368	823__A6LDT7__CEQ22_002595
ERR1913311.40607__1.40607	818__A0A1H7L4U6__BSIG_3287
ERR1913311.40814__1.40814	39491__A0A174G6M3__DXD13_14470
ERR1913311.40827__1.40827	301301__A0A395VBG0__ERS852391_01236
ERR1913311.40879__1.40879	1262882__R5MFN3__BN519_00392
ERR1913311.40880__1.40880	74426__nrdD
ERR1913311.40921__1.40921	39492__B0MP07__ERS852540_02083
ERR1913311.41061__1.41061	626932__G5H7W1__HMPREF9450_00764
ERR1913311.41100__1.41100	39492__D4JW10__pppA
ERR1913311.41150__1.41150	39492__D4JR20__trmD
ERR1913311.41214__1.41214	1796613__A0A1V0QDJ8__A4V03_07020
ERR1913311.41237__1.41237	301301__A0A395VA65__eutA
ERR1913311.41455__1.41455	357276__I8WC65__EL88_00520
ERR1913311.41467__1.41467	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913311.41623__1.41623	39492__D4JU67__EUBSIR_00791
ERR1913311.41674__1.41674	371601__A0A1Y4VNI9__CW1_3373
ERR1913311.41774__1.41774	1680__A0A174BH90__B0487_1759
ERR1913311.41907__1.41907	818__A0A3E5GX69__NCTC13706_00796
ERR1913311.41959__1.41959	39491__A0A395V1Y4__DXB99_08035
ERR1913311.41979__1.41979	1262924__R7HQD9__BN585_00129
ERR1913311.42298__1.42298	1262882__R5N3H1__BN519_01121
ERR1913311.42301__1.42301	39492__B0MNL5__phoR_1
ERR1913311.42544__1.42544	39491__A0A396FEW6__T1815_18721
ERR1913311.42705__1.42705	1262882__R5N1V0__BN519_00816
ERR1913311.42898__1.42898	39492__D4JQS6__ykoD
ERR1913311.42826__1.42826	1262882__R5MHZ2__BN519_00742
ERR1913311.43028__1.43028	1897011__A0A1Q6RGX0__BHW41_01465
ERR1913311.43046__1.43046	39492__D4JX87__EUBSIR_00361
ERR1913311.43218__1.43218	239935__A0A2N8HM32__CXT85_08075
ERR1913311.43286__1.43286	246787__R6LGA6__tmoS_11
ERR1913311.43353__1.43353	1262882__R5N1T9__BN519_00804
ERR1913311.43431__1.43431	1897011__A0A1Q6RFC7__BHW41_03540
ERR1913311.43455__1.43455	39492__A0A174ZP27__EUBSIR_00033
ERR1913311.43510__1.43510	246787__A0A0P0GG22__BACCELL_01899
ERR1913311.43486__1.43486	338188__A0A174EU88__BACFIN_08820
ERR1913311.43674__1.43674	371601__I9UPT6__B5E50_12390
ERR1913311.43686__1.43686	46228__V8CDA4__DXD17_12295
ERR1913311.43738__1.43738	1262824__R6RSR4__BN719_00786
ERR1913311.43767__1.43767	1262989__R6ZEW9__BN815_01033
