ERR1913232.19__1.19	820__A0A139K9Q2__DXD40_08795
ERR1913232.5613__1.5613	39485__A0A174YTF7__ERS852490_01271
ERR1913232.5797__1.5797	165179__D1PAV8__DXB80_13055
ERR1913232.5810__1.5810	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.5825__1.5825	33039__D4M286__ERS852502_02380
ERR1913232.6320__1.6320	28117__B0MY34__BHV66_05195
ERR1913232.6461__1.6461	165179__A0A3E4SID1__DXB80_01945
ERR1913232.6462__1.6462	853__A0A173YYY4__DWZ04_09420
ERR1913232.6475__1.6475	33038__A0A2N5P1G8__lyc
ERR1913232.6655__1.6655	1262992__R5DDD8__BN795_00502
ERR1913232.6760__1.6760	69974__A0A090FEL8__MPL3365_630008
ERR1913232.6920__1.6920	853__A0A173XRA8__CGS56_09290
ERR1913232.6978__1.6978	165179__A0A3E5AFJ9__CFT61_15180
ERR1913232.7153__1.7153	69974__A0A090FEL8__MPL3365_630008
ERR1913232.7299__1.7299	820__A0A374Q854__HMPREF1073_03281
ERR1913232.7376__1.7376	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913232.7451__1.7451	310298__B3JGJ2__BACCOP_00994
ERR1913232.7493__1.7493	853__A0A3E2V168__FAEPRAM212_00929
ERR1913232.7714__1.7714	165179__D1PHV2__PREVCOP_06822
ERR1913232.7873__1.7873	820__A0A174F0C1__nreB
ERR1913232.8216__1.8216	165179__D1PCL6__DXB80_13435
ERR1913232.8223__1.8223	410072__A0A173XU61__ykvU
ERR1913232.8349__1.8349	820__A0A396CMY7__HMPREF1072_03009
ERR1913232.8841__1.8841	69974__A0A090FEL8__MPL3365_630008
ERR1913232.8845__1.8845	47715__A0A1Y0E0H8__PY95_05865
ERR1913232.8945__1.8945	28118__F9Z410__NCTC10826_01196
ERR1913232.9068__1.9068	28118__F9ZBV2__NCTC10826_00352
ERR1913232.9135__1.9135	1262924__R7HM72__BN585_01169
ERR1913232.9185__1.9185	165179__A0A3E5DY64__CFT61_10025
ERR1913232.9123__1.9123	165179__A0A174IPI3__CFT61_10940
ERR1913232.9272__1.9272	165179__A0A3E4SB95__DXC61_13455
ERR1913232.9362__1.9362	69974__A0A090FEL8__MPL3365_630008
ERR1913232.9584__1.9584	165179__D1PEQ5__PREVCOP_05711
ERR1913232.9989__1.9989	39491__A0A3E4YFT8__DXB69_10940
ERR1913232.9999__1.9999	69974__A0A090FEL8__MPL3365_630008
ERR1913232.10037__1.10037	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.10154__1.10154	165179__A0A174IPI3__CFT61_10940
ERR1913232.10373__1.10373	40518__R5DNI6__RBATCC27255_00844
ERR1913232.10534__1.10534	40518__R5DME2__DXD86_07315
ERR1913232.10561__1.10561	40518__R5DY98__mepA_5
ERR1913232.10645__1.10645	820__A0A078S4C2__ERS417307_00828
ERR1913232.10808__1.10808	301301__G2T207__cph2_5
ERR1913232.10811__1.10811	626930__F3PVE3__HMPREF9446_02721
ERR1913232.10945__1.10945	216816__C5E9C3__CJO32_03030
ERR1913232.10975__1.10975	853__A0A2A7B9I6__DW855_13690
ERR1913232.11193__1.11193	28117__B0MTS2__ALIPUT_00159
ERR1913232.11172__1.11172	626933__H1DGX0__HMPREF9449_01506
ERR1913232.11273__1.11273	69974__A0A090FEL8__MPL3365_630008
ERR1913232.11356__1.11356	39485__A0A174YMM2__ERS852490_01019
ERR1913232.11461__1.11461	39485__C4Z0I4__ERS852492_00258
ERR1913232.11538__1.11538	165179__A0A3E5EB26__CFT61_02800
ERR1913232.11664__1.11664	165179__A0A174IPI3__CFT61_10940
ERR1913232.11956__1.11956	471189__GCA_003340385.1_00495
ERR1913232.11926__1.11926	216816__B3DNW2__BL171B_07980
ERR1913232.12035__1.12035	821__E5UY21__C800_02204
ERR1913232.12040__1.12040	69974__A0A090FEL8__MPL3365_630008
ERR1913232.12103__1.12103	204516__U6RHM5__HMPREF1534_02096
ERR1913232.12300__1.12300	204516__U6RR96__HMPREF1534_00277
ERR1913232.12291__1.12291	310298__B3JH75__BACCOP_01229
ERR1913232.12326__1.12326	310298__B3JJG1__BACCOP_02031
ERR1913232.12475__1.12475	1262924__R7HPS8__BN585_00646
ERR1913232.12480__1.12480	1262924__R7HQD9__BN585_00129
ERR1913232.12535__1.12535	820__A0A3E4G8F8__ERS852421_01645
ERR1913232.12577__1.12577	487174__K0WZ94__HMPREF9448_00984
ERR1913232.13214__1.13214	39491__A0A395UYL9__ERS852417_00624
ERR1913232.13197__1.13197	165179__A0A3E5A554__DXB80_13805
ERR1913232.13364__1.13364	28117__B0MTW8__ALIPUT_00502
ERR1913232.13519__1.13519	40518__R5DZI2__DXD93_06940
ERR1913232.13446__1.13446	39485__C4Z684__ERS852492_01895
ERR1913232.13587__1.13587	69974__A0A090FEL8__MPL3365_630008
ERR1913232.13675__1.13675	165179__D1PCL6__DXB80_13435
ERR1913232.13834__1.13834	1262913__R7JN04__BN646_00251
ERR1913232.13883__1.13883	165179__A0A3E4SB95__DXC61_13455
ERR1913232.14053__1.14053	39491__A0A395V397__EUR_09960
ERR1913232.14162__1.14162	301302__A0A0M6WTN6__ERS852420_01659
ERR1913232.14268__1.14268	204516__U6R7Y8__HMPREF1534_03942
ERR1913232.14445__1.14445	69974__A0A090FEL8__MPL3365_630008
ERR1913232.14459__1.14459	310298__B3JED9__BACCOP_00230
ERR1913232.14558__1.14558	204516__U6RNF5__HMPREF1534_00381
ERR1913232.14591__1.14591	165179__A0A174IPI3__CFT61_10940
ERR1913232.15016__1.15016	28118__R6FX99__Odosp_1660
ERR1913232.15541__1.15541	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.15660__1.15660	626933__H1DGX0__HMPREF9449_01506
ERR1913232.15742__1.15742	39485__C4Z434__tilS
ERR1913232.15832__1.15832	69974__A0A090FEL8__MPL3365_630008
ERR1913232.15909__1.15909	487173__H1CZX5__HMPREF9453_00913
ERR1913232.15948__1.15948	216816__A0A2U0BT35__BL1206_1860
ERR1913232.16332__1.16332	69974__A0A090FEL8__MPL3365_630008
ERR1913232.16340__1.16340	1262924__R7HP98__BN585_02065
ERR1913232.16393__1.16393	28117__B0MUL5__ALIPUT_00722
ERR1913232.16820__1.16820	69974__A0A090FEL8__MPL3365_630008
ERR1913232.17019__1.17019	301301__A0A395V6Z6__ERS852391_00966
ERR1913232.17254__1.17254	165179__A0A3E5DY64__CFT61_10025
ERR1913232.17406__1.17406	1262913__R7JPP6__BN646_00416
ERR1913232.17522__1.17522	301302__A0A173RZU9__M72_23561
ERR1913232.17706__1.17706	410072__A0A3E4GMB7__COPCOM_03357
ERR1913232.17920__1.17920	1262924__R7HSM4__BN585_00913
ERR1913232.17817__1.17817	69974__A0A090FEL8__MPL3365_630008
ERR1913232.18004__1.18004	39485__C4Z0G6__spoIVB
ERR1913232.18019__1.18019	204516__U6R921__HMPREF1534_03932
ERR1913232.18144__1.18144	820__A0A396EUU8__luxQ_3
ERR1913232.18100__1.18100	820__R9I2U8__DXC68_09590
ERR1913232.18262__1.18262	216816__D6DBD5__DXC32_04335
ERR1913232.18338__1.18338	1262924__R7HQD9__BN585_00129
ERR1913232.18390__1.18390	69974__A0A090FEL8__MPL3365_630008
ERR1913232.18417__1.18417	69974__A0A090FEL8__MPL3365_630008
ERR1913232.18565__1.18565	651822__GCA_000210715.1_00753
ERR1913232.18506__1.18506	853__A0A173XRA8__CGS56_09290
ERR1913232.18626__1.18626	40520__R7D9K2__DXC87_04105
ERR1913232.18741__1.18741	69974__A0A090FEL8__MPL3365_630008
ERR1913232.18789__1.18789	28116__A0A139LD88__CUY_2408
ERR1913232.18747__1.18747	310298__B3JMG0__BACCOP_03099
ERR1913232.18948__1.18948	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913232.19035__1.19035	165179__A0A3E5DN34__DXC61_07865
ERR1913232.19082__1.19082	216816__B3DNW2__BL171B_07980
ERR1913232.19239__1.19239	28117__B0MSS1__ALIPUT_00273
ERR1913232.19399__1.19399	1160721__R6TAA3__BHW50_03385
ERR1913232.19372__1.19372	1262924__R7HUG0__BN585_00790
ERR1913232.19562__1.19562	39491__C4ZHS4__EUR_24420
ERR1913232.19576__1.19576	216816__A0A2N0SME6__BLIF_1881
ERR1913232.19627__1.19627	39491__D6E2U1__EUBREC_3278
ERR1913232.19879__1.19879	165179__W1I4H6__DXB80_13655
ERR1913232.19942__1.19942	821__R9HFW2__DXD01_00365
ERR1913232.19953__1.19953	69974__A0A090FEL8__MPL3365_630008
ERR1913232.19972__1.19972	39491__A0A174EQV2__DXB69_10230
ERR1913232.20295__1.20295	2293125__A0A374CIC9__DW917_02045
ERR1913232.20478__1.20478	69974__A0A090FEL8__MPL3365_630008
ERR1913232.20655__1.20655	410072__C0B830__ERS852525_01946
ERR1913232.20739__1.20739	39485__A0A174YTF7__ERS852490_01271
ERR1913232.20803__1.20803	418240__A0A173XT66__ERS852478_00742
ERR1913232.20778__1.20778	1262913__R7JGP8__BN646_01880
ERR1913232.21027__1.21027	69974__A0A090FEL8__MPL3365_630008
ERR1913232.21190__1.21190	28117__B0MWX3__BHV66_03010
ERR1913232.21526__1.21526	310298__B3JQD7__BACCOP_04095
ERR1913232.21509__1.21509	310298__B3JFS5__BACCOP_00726
ERR1913232.21610__1.21610	29361__B6FRT6__CLONEX_02860
ERR1913232.21782__1.21782	1262924__R7HQV3__BN585_00017
ERR1913232.21800__1.21800	28118__R6FAT1__DHW44_00720
ERR1913232.21921__1.21921	216816__D6DBD7__BL71B_09615
ERR1913232.22042__1.22042	310298__B3JFS5__BACCOP_00726
ERR1913232.22060__1.22060	69974__A0A090FEL8__MPL3365_630008
ERR1913232.22189__1.22189	820__A0A374QGD2__ERS852421_02382
ERR1913232.22305__1.22305	487173__H1D090__HMPREF9453_01028
ERR1913232.22383__1.22383	310298__B3JFS5__BACCOP_00726
ERR1913232.22387__1.22387	1262911__R6HN72__BN557_00911
ERR1913232.22806__1.22806	69974__A0A090FEL8__MPL3365_630008
ERR1913232.22731__1.22731	1262924__R7HRJ9__BN585_00557
ERR1913232.22841__1.22841	165179__D1PGU8__PREVCOP_06463
ERR1913232.22854__1.22854	626933__H1DGX0__HMPREF9449_01506
ERR1913232.22908__1.22908	204516__U6RSX5__HMPREF1534_00314
ERR1913232.23134__1.23134	165179__D1PGU8__PREVCOP_06463
ERR1913232.23232__1.23232	216816__A0A1D7MV89__EK5BL_04715
ERR1913232.23111__1.23111	820__A7V8C2__ERS852554_01338
ERR1913232.23376__1.23376	820__A0A174EV88__HMPREF1072_01427
ERR1913232.23406__1.23406	165179__D1PCL6__DXB80_13435
ERR1913232.23507__1.23507	165179__A0A3E5EB26__CFT61_02800
ERR1913232.23637__1.23637	39491__C4Z9K0__DXD95_07445
ERR1913232.23713__1.23713	39491__A0A395UZ82__EUR_31520
ERR1913232.23872__1.23872	1284680__A0A095XX10__HMPREF1627_08665
ERR1913232.23962__1.23962	69974__A0A090FEL8__MPL3365_630008
ERR1913232.24150__1.24150	28139__A0A379ND44__NCTC11190_02421
ERR1913232.24076__1.24076	165179__A0A3E5AGH1__DXB80_05820
ERR1913232.24241__1.24241	204516__U6R9E7__HMPREF1534_03313
ERR1913232.24427__1.24427	28116__A0A3D2LWY1__ERS852555_01619
ERR1913232.24530__1.24530	69974__A0A090FEL8__MPL3365_630008
ERR1913232.24680__1.24680	204516__U6R9E0__HMPREF1534_03742
ERR1913232.24946__1.24946	165179__A0A3E5AHY4__CFT61_07675
ERR1913232.25271__1.25271	69974__A0A090FEL8__MPL3365_630008
ERR1913232.25403__1.25403	204516__U6RMH5__HMPREF1534_00591
ERR1913232.25548__1.25548	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.25636__1.25636	28117__B0MXJ1__BHV66_08445
ERR1913232.25704__1.25704	39488__A0A174JH77__EUBHAL_03278
ERR1913232.25792__1.25792	487174__K0WUM9__HMPREF9448_02608
ERR1913232.25808__1.25808	33039__A0A173U4W1__ERS852502_00464
ERR1913232.26402__1.26402	39485__A0A174ZG70__ERS852492_00929
ERR1913232.26450__1.26450	33039__A0A174ZHW3__ERS852424_00452
ERR1913232.26526__1.26526	487174__K0XG34__HMPREF9448_02234
ERR1913232.26537__1.26537	1262948__R7E9D8__BN671_02221
ERR1913232.26615__1.26615	39492__D4JQL8__ywpJ
ERR1913232.26721__1.26721	487174__K0X2W8__HMPREF9448_02611
ERR1913232.26995__1.26995	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913232.27023__1.27023	626930__F3PVE3__HMPREF9446_02721
ERR1913232.27047__1.27047	39491__A0A395V0H6__ERS852580_02570
ERR1913232.27637__1.27637	821__A0A3E4XY72__NCTC10583_01067
ERR1913232.27774__1.27774	39491__A0A395ZE48__DXB76_02395
ERR1913232.27878__1.27878	1501392__A0A0B2JGG4__PU94_12275
ERR1913232.27884__1.27884	216816__A0A2U0BT35__BL1206_1860
ERR1913232.28050__1.28050	39491__A0A395V2Y7__DXB72_13970
ERR1913232.28131__1.28131	165179__A0A3E5AGH1__DXB80_05820
ERR1913232.28233__1.28233	1150298__A0A174N5I7__ERS852498_01953
ERR1913232.28464__1.28464	28116__C3QMW5__M089_4133
ERR1913232.28478__1.28478	39485__C4Z684__ERS852492_01895
ERR1913232.28542__1.28542	165179__A0A3E5AHY4__CFT61_07675
ERR1913232.28661__1.28661	165179__A0A3E5E8N5__DXC61_13460
ERR1913232.28674__1.28674	39485__A0A175A2T1__EUBELI_02034
ERR1913232.28696__1.28696	69974__A0A090FEL8__MPL3365_630008
ERR1913232.28801__1.28801	154288__A0A0X1TKG9__ytgP_2
ERR1913232.29199__1.29199	28116__A0A1Y4PWN5__M088_3731
ERR1913232.29311__1.29311	1323__A0A3E3E0K6__pkn_1
ERR1913232.29381__1.29381	1262992__R5DE88__BN795_00202
ERR1913232.29397__1.29397	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.29489__1.29489	1262911__R6GZX7__BN557_00838
ERR1913232.29843__1.29843	1262992__R5D4Q0__BN795_01630
ERR1913232.30143__1.30143	39485__A0A174YMM2__ERS852490_01019
ERR1913232.30085__1.30085	216816__A0A3D8U0T6__BN57_1990
ERR1913232.30106__1.30106	292800__A0A1C7FRP6__HMPREF9460_00386
ERR1913232.30215__1.30215	165179__D1PER3__DXB80_11525
ERR1913232.30504__1.30504	310298__B3JED9__BACCOP_00230
ERR1913232.30701__1.30701	204516__U6RJY4__HMPREF1534_01494
ERR1913232.30790__1.30790	39488__C0EY66__prkC_1
ERR1913232.30802__1.30802	28117__B0MTY2__BHV66_06485
ERR1913232.30868__1.30868	39491__D6E558__DXB69_00810
ERR1913232.31018__1.31018	69974__A0A090FEL8__MPL3365_630008
ERR1913232.31242__1.31242	28117__B0MXU0__BHV66_07550
ERR1913232.31178__1.31178	165179__A0A3E5AER8__DXB80_07075
ERR1913232.31399__1.31399	310298__B3JH76__BACCOP_01230
ERR1913232.31418__1.31418	853__C7H1R8__DW905_06675
ERR1913232.31532__1.31532	410072__A0A174J5N8__sbcC
ERR1913232.31563__1.31563	39485__A0A175A403__EUBELI_20577
ERR1913232.31772__1.31772	40518__R5DVQ2__DXD93_00365
ERR1913232.32185__1.32185	69974__A0A090FEL8__MPL3365_630008
ERR1913232.32250__1.32250	28117__B0MY40__BHV66_05170
ERR1913232.32584__1.32584	39491__A0A173RA59__EUR_24800
ERR1913232.32660__1.32660	292800__A0A1C7FR40__ERS852518_06781
ERR1913232.32795__1.32795	820__A0A139K4W5__HMPREF2141_02394
ERR1913232.32843__1.32843	165179__A0A3E5DV57__DXB80_11400
ERR1913232.32924__1.32924	1262924__R7HRJ9__BN585_00557
ERR1913232.33082__1.33082	487173__H1CYJ4__HMPREF9453_00432
ERR1913232.33131__1.33131	165179__D1PCY7__DXB80_02765
ERR1913232.33251__1.33251	165179__D1PGU8__PREVCOP_06463
ERR1913232.33252__1.33252	301302__A0A173TNM6__luxQ
ERR1913232.33420__1.33420	40518__R5DR72__RBL236_02110
ERR1913232.33433__1.33433	69974__A0A090FEL8__MPL3365_630008
ERR1913232.33510__1.33510	39485__R5ZT06__EUBELI_20526
ERR1913232.33653__1.33653	39491__A0A395ZBW8__DXC13_08840
ERR1913232.33665__1.33665	487173__H1D2K8__HMPREF9453_01846
ERR1913232.33744__1.33744	821__A0A174WBC9__ERS852556_03145
ERR1913232.33859__1.33859	1550024__A0A3B9WFS7__ASJ35_05525
ERR1913232.34248__1.34248	165179__A0A3E4SID1__DXB80_01945
ERR1913232.34387__1.34387	216816__A0A1D7UQN6__CE165_02145
ERR1913232.34532__1.34532	820__A0A374Q351__DXD40_05850
ERR1913232.34611__1.34611	165179__A0A174IPI3__CFT61_10940
ERR1913232.34707__1.34707	165179__A0A3E5E9I4__DXB80_09745
ERR1913232.34800__1.34800	40518__R5DR72__RBL236_02110
ERR1913232.35121__1.35121	39491__A0A395UYA6__EUBREC_0408
ERR1913232.35193__1.35193	69974__A0A090FEL8__MPL3365_630008
ERR1913232.35348__1.35348	39492__D4MJF6__EUBSIR_02251
ERR1913232.35400__1.35400	39492__D4JSG7__EUBSIR_01006
ERR1913232.35681__1.35681	1680__A0A087DHN0__AL0462_1532
ERR1913232.35612__1.35612	487173__H1D371__HMPREF9453_02059
ERR1913232.35793__1.35793	39485__A0A174YMI9__cph2_5
ERR1913232.35882__1.35882	28118__F9ZAB2__SAMEA44545918_01079
ERR1913232.36054__1.36054	821__A0A174WBC9__ERS852556_03145
ERR1913232.36244__1.36244	39491__A0A396FSR4__ERS852580_02287
ERR1913232.36200__1.36200	39491__A0A174K1W6__DXB99_15020
ERR1913232.36285__1.36285	39485__C4Z0F4__ERS852490_00945
ERR1913232.36998__1.36998	165179__D1PHC0__PREVCOP_06640
ERR1913232.37116__1.37116	853__A0A2A7B9I6__DW855_13690
ERR1913232.37157__1.37157	626933__H1DGX0__HMPREF9449_01506
ERR1913232.37215__1.37215	39491__A0A395UVM9__DXB76_04540
ERR1913232.37226__1.37226	853__A0A329UEG4__CHR60_00585
ERR1913232.37456__1.37456	39485__A0A175A403__EUBELI_20577
ERR1913232.37571__1.37571	1472761__GCA_002159295.1_00744
ERR1913232.37623__1.37623	310298__B3JM32__BACCOP_00571
ERR1913232.37691__1.37691	1262992__R5D3X7__BN795_00539
ERR1913232.37901__1.37901	165179__D1PAV8__DXB80_13055
ERR1913232.38014__1.38014	165179__A0A3E5EA43__DXC61_07775
ERR1913232.38262__1.38262	626933__H1DGX0__HMPREF9449_01506
ERR1913232.38397__1.38397	69974__A0A090FEL8__MPL3365_630008
ERR1913232.38569__1.38569	853__A0A329UEG4__CHR60_00585
ERR1913232.38587__1.38587	487173__H1D020__HMPREF9453_00958
ERR1913232.38736__1.38736	820__A0A1T4IY71__HMPREF2141_02402
ERR1913232.38753__1.38753	1262924__R7HQB3__BN585_00435
ERR1913232.38818__1.38818	47678__R5UES3__CGC64_00760
ERR1913232.39338__1.39338	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913232.39361__1.39361	1262924__R7HTA4__BN585_00391
ERR1913232.39617__1.39617	374840__GeneID:2546403
ERR1913232.39682__1.39682	1262924__R7HQS1__BN585_00657
ERR1913232.39687__1.39687	39485__A0A174ZBK4__ERS852490_01585
ERR1913232.39983__1.39983	69974__A0A090FEL8__MPL3365_630008
ERR1913232.39996__1.39996	1262924__R7HTA4__BN585_00391
ERR1913232.40066__1.40066	40519__U2MCQ8__RUMCAL_00556
ERR1913232.40071__1.40071	39491__A0A395V464__EUBREC_1509
ERR1913232.40144__1.40144	28117__B0MY40__BHV66_05170
ERR1913232.40391__1.40391	820__R9HP61__DXC91_01090
ERR1913232.40435__1.40435	216816__A0A083XFS3__APC1472_0413
ERR1913232.40457__1.40457	853__A0A2A7B9I6__DW855_13690
ERR1913232.40480__1.40480	165179__D1PGU8__PREVCOP_06463
ERR1913232.40667__1.40667	165179__A0A174UTZ7__DXC61_06705
ERR1913232.40713__1.40713	39485__A0A174ZA72__glgB_1
ERR1913232.40741__1.40741	39491__A0A174K265__DXB76_05915
ERR1913232.40687__1.40687	74426__thrZ
ERR1913232.40691__1.40691	165179__A0A174UTZ7__DXC61_06705
ERR1913232.40841__1.40841	328814__GCA_004558275.1_00296
ERR1913232.40873__1.40873	384639__GCA_003096855.1_00996
ERR1913232.40948__1.40948	216816__B3DNW2__BL171B_07980
ERR1913232.41009__1.41009	165179__D1PHM6__DXC61_06700
ERR1913232.41144__1.41144	28117__R7JIJ8__BHV66_01635
ERR1913232.41341__1.41341	39485__C4Z5L8__ERS852490_00665
ERR1913232.41349__1.41349	69974__A0A090FEL8__MPL3365_630008
ERR1913232.41433__1.41433	1262986__R5ZX08__BN492_01351
ERR1913232.41468__1.41468	165179__A0A3E5DY64__CFT61_10025
ERR1913232.41627__1.41627	301302__R5UNJ6__M72_26701
ERR1913232.41845__1.41845	1262924__R7HRJ9__BN585_00557
ERR1913232.42004__1.42004	28117__B0MXG8__ALIPUT_01814
ERR1913232.42041__1.42041	39485__A0A174YQX9__ERS852490_00864
ERR1913232.42089__1.42089	165179__A0A3E5E8N5__DXC61_13460
ERR1913232.42129__1.42129	40518__R5DP21__RBATCC27255_00348
ERR1913232.42314__1.42314	487173__H1D1P5__HMPREF9453_01533
ERR1913232.42378__1.42378	853__A0A173YYY4__DWZ04_09420
ERR1913232.42519__1.42519	40518__R5E1J2__DXD93_04070
ERR1913232.42554__1.42554	69974__A0A090FEL8__MPL3365_630008
ERR1913232.42721__1.42721	1897011__A0A1Q6RBX6__BHW41_06385
ERR1913232.42867__1.42867	310297__B5D370__DXC17_06570
ERR1913232.43145__1.43145	820__A7V470__HMPREF1072_02076
ERR1913232.43195__1.43195	39485__C4Z6Z5__EUBELI_20593
ERR1913232.43386__1.43386	165179__A0A3E5A5E5__DXC61_13965
ERR1913232.43516__1.43516	39485__C4Z0R8__EUBELI_01181
ERR1913232.43699__1.43699	28118__F9ZCN9__DHW44_07820
ERR1913232.43884__1.43884	74426__purL
ERR1913232.43889__1.43889	39485__A0A174YMI9__cph2_5
ERR1913232.44131__1.44131	820__A0A3E5BMG9__DXD40_05130
ERR1913232.44414__1.44414	487173__H1D187__HMPREF9453_01375
ERR1913232.44422__1.44422	40518__R5DP21__RBATCC27255_00348
ERR1913232.44391__1.44391	216816__C2GW26__chb
ERR1913232.44554__1.44554	39485__C4Z389__ERS852490_01920
ERR1913232.44605__1.44605	487173__H1D020__HMPREF9453_00958
ERR1913232.44755__1.44755	154288__A0A173X3D2__yjcD
ERR1913232.44757__1.44757	28118__F9Z4Y7__DF785_06945
ERR1913232.44994__1.44994	39491__A0A173VD97__DXB69_07350
ERR1913232.44959__1.44959	28117__B0MXG8__ALIPUT_01814
ERR1913232.45049__1.45049	1323__A0A3E3DZZ5__DXC78_09505
ERR1913232.45065__1.45065	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913232.45106__1.45106	853__C7H7F8__yccM_1
ERR1913232.45290__1.45290	69974__A0A090FEL8__MPL3365_630008
ERR1913232.45625__1.45625	1262992__R5D3R1__BN795_01492
ERR1913232.45628__1.45628	204516__U6RJY4__HMPREF1534_01494
ERR1913232.45645__1.45645	853__A0A174UDE9__C4N25_12775
ERR1913232.45698__1.45698	310298__B3JQL6__BACCOP_04252
ERR1913232.45867__1.45867	1262992__R5D749__BN795_01063
ERR1913232.45977__1.45977	204516__U6RA51__HMPREF1534_03959
ERR1913232.46134__1.46134	39485__A0A174Z851__cdaR_1
ERR1913232.46172__1.46172	310298__B3JI31__BACCOP_01543
ERR1913232.46319__1.46319	39485__C4Z2X2__ERS852492_01808
ERR1913232.46345__1.46345	853__A0A174CVG7__CGS58_09335
ERR1913232.46391__1.46391	204516__U6RN30__HMPREF1534_00370
ERR1913232.46439__1.46439	821__D4VD59__BHV80_04260
ERR1913232.46482__1.46482	28117__B0MVL5__BHV66_01660
ERR1913232.46533__1.46533	216816__C5E9C3__CJO32_03030
ERR1913232.46716__1.46716	69974__A0A090FEL8__MPL3365_630008
ERR1913232.46891__1.46891	69974__A0A090FEL8__MPL3365_630008
ERR1913232.47151__1.47151	165179__A0A3E5A554__DXB80_13805
ERR1913232.47291__1.47291	165179__A0A3E5EB26__CFT61_02800
ERR1913232.47508__1.47508	626933__H1DGX0__HMPREF9449_01506
ERR1913232.47561__1.47561	626933__H1DGX0__HMPREF9449_01506
ERR1913232.47712__1.47712	39485__A0A174YMM2__ERS852490_01019
ERR1913232.48027__1.48027	487173__H1D0N4__HMPREF9453_01172
ERR1913232.48460__1.48460	165179__A0A229I3Z6__PREVCOP_03666
ERR1913232.48470__1.48470	820__A0A174Q0F0__DXB48_08080
