ERR1913317.44__1.44	28116__A0A3E5HUC8__DHW41_21025
ERR1913317.11608__1.11608	28117__B0MTY2__BHV66_06485
ERR1913317.11695__1.11695	626929__F3PJN9__B5F24_15155
ERR1913317.11629__1.11629	820__A0A396EUU8__luxQ_3
ERR1913317.11635__1.11635	39490__U2PBI2__ERS852448_00036
ERR1913317.11727__1.11727	74426__nifJ
ERR1913317.11744__1.11744	28026__A0A087B7H7__DXD87_03920
ERR1913317.11752__1.11752	1550024__A0A0D8IY61__ASJ35_05690
ERR1913317.11757__1.11757	820__R9HUV5__HMPREF2141_02582
ERR1913317.11963__1.11963	1680__R5GZJ8__BSTER_1195
ERR1913317.11892__1.11892	1680__R5GKP2__DXD60_06200
ERR1913317.12052__1.12052	1150298__A0A174TDE7__ERS852535_00299
ERR1913317.12174__1.12174	28117__B0MXL6__ALIPUT_01851
ERR1913317.12257__1.12257	820__R9I2U8__DXC68_09590
ERR1913317.12274__1.12274	626929__F3PJP7__HMPREF9445_02250
ERR1913317.12353__1.12353	458033__GCA_001482755.1_02203
ERR1913317.12529__1.12529	187327__G4Q3E9__Acin_1732
ERR1913317.12481__1.12481	214856__R6XNE7__ERS852447_02267
ERR1913317.12582__1.12582	187327__G4Q4M3__Acin_0701
ERR1913317.12789__1.12789	292800__A0A174QYX4__B5F52_06705
ERR1913317.12772__1.12772	818__A0A3E5HDS4__BJP75_002620
ERR1913317.12948__1.12948	216816__A0A2I1IYC5__BLNIAS_00571
ERR1913317.12960__1.12960	28117__B0MWP2__ALIPUT_01468
ERR1913317.13004__1.13004	187327__G4Q682__Acin_1672
ERR1913317.13107__1.13107	1262869__R7CPW8__BN625_01602
ERR1913317.13119__1.13119	301302__A0A0M6WRT7__ERS852420_02104
ERR1913317.13156__1.13156	820__A0A174DZ97__SAMN05444418_101240
ERR1913317.13196__1.13196	820__A0A3E4WA06__ERS852554_03404
ERR1913317.13206__1.13206	823__A0A174PAQ4__ERS852429_04218
ERR1913317.13299__1.13299	216816__C2GUV2__APC1478_0430
ERR1913317.13248__1.13248	74426__rpoC
ERR1913317.13313__1.13313	820__A0A139JRS5__HMPREF1073_04025
ERR1913317.13338__1.13338	487174__K0X9T7__HMPREF9448_00996
ERR1913317.13454__1.13454	147206__GCF_000156215.1_01773
ERR1913317.13480__1.13480	820__A0A139K8X8__DXC80_17665
ERR1913317.13516__1.13516	47678__R5U558__ERS852558_02232
ERR1913317.13566__1.13566	187327__G4Q5M4__ACDG_00271
ERR1913317.13672__1.13672	28116__A7LSB9__DXF98_11950
ERR1913317.13911__1.13911	357276__I9QBT7__BSEG_03340
ERR1913317.13919__1.13919	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.14049__1.14049	823__D0TAX5__HMPREF1075_01064
ERR1913317.14110__1.14110	40518__R5DVR2__RBL236_00303
ERR1913317.14134__1.14134	820__A0A173YYG4__evgS_3
ERR1913317.14233__1.14233	39488__C0EUW7__ERS852578_01381
ERR1913317.14276__1.14276	28117__R7JLL3__ALIPUT_02219
ERR1913317.14288__1.14288	40518__R5DQK2__DXD93_03730
ERR1913317.14325__1.14325	418240__A0A173WW09__ERS852523_00448
ERR1913317.14326__1.14326	1150298__R7JV71__ERS852498_00755
ERR1913317.14445__1.14445	820__A0A174F696__macB_13
ERR1913317.14586__1.14586	820__A7V9F9__B5G17_14640
ERR1913317.14825__1.14825	649756__L1Q1A0__ERS852425_01427
ERR1913317.14827__1.14827	1263107__GCA_000436995.1_00021
ERR1913317.14903__1.14903	301302__A0A173RYX5__ERS852420_00973
ERR1913317.14959__1.14959	40518__R5DSI5__fieF
ERR1913317.15041__1.15041	216816__B3DNW2__BL171B_07980
ERR1913317.15104__1.15104	820__A0A3E4G3J9__ERS852459_02265
ERR1913317.15160__1.15160	1245__A0A095APA7__BMS97_08090
ERR1913317.15221__1.15221	28117__B0MWZ9__ALIPUT_01735
ERR1913317.15264__1.15264	1680__A0A0B5BKZ3__DXD60_01450
ERR1913317.15295__1.15295	1680__A0A1E7XZY9__DXC60_05815
ERR1913317.15326__1.15326	820__A0A139K4T0__ERS852510_03146
ERR1913317.15376__1.15376	40518__R5DZC6__mreC
ERR1913317.15420__1.15420	216816__A0A0A0UDU9__BL1246
ERR1913317.15414__1.15414	487174__K0XJ34__DDY40_06890
ERR1913317.15445__1.15445	418240__C6J887__ERS852523_03392
ERR1913317.15450__1.15450	820__A0A3E4VZS7__DXC07_14435
ERR1913317.15537__1.15537	47678__R5UU99__C5Z00_11925
ERR1913317.15716__1.15716	40518__R5E1J7__RBL236_02062
ERR1913317.15809__1.15809	820__A0A173W419__DXC68_17760
ERR1913317.15884__1.15884	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913317.15996__1.15996	40518__R5DUG7__sbcC
ERR1913317.16043__1.16043	820__A0A3E4W4Y7__B5G17_02055
ERR1913317.16177__1.16177	821__A0A395VIK7__BVU_1225
ERR1913317.16179__1.16179	820__A0A3E4FZM1__adaA_2
ERR1913317.16183__1.16183	821__A0A174RA14__M099_1655
ERR1913317.16231__1.16231	821__A0A3E4KIM1__M097_3660
ERR1913317.16311__1.16311	820__A0A174DZ97__SAMN05444418_101240
ERR1913317.16432__1.16432	487174__K0XEB6__DDY40_08400
ERR1913317.16464__1.16464	820__R9HP61__DXC91_01090
ERR1913317.16528__1.16528	821__E5UY21__C800_02204
ERR1913317.16601__1.16601	1099853__U5CCB3__NSB1T_08590
ERR1913317.16660__1.16660	649756__R7BXQ5__HMPREF0369_01797
ERR1913317.16721__1.16721	853__A0A2A7B1Y7__C7K05_11930
ERR1913317.16854__1.16854	820__A0A174CK74__DXB48_07060
ERR1913317.17040__1.17040	1262911__R6GY22__BN557_00023
ERR1913317.17076__1.17076	39491__A0A396FTE5__ERS852417_01346
ERR1913317.17066__1.17066	820__A0A3E4VZT7__DXB48_16145
ERR1913317.17124__1.17124	28117__B0MYA9__BHV66_07790
ERR1913317.17136__1.17136	28116__E5CEE4__SAMN05444282_12363
ERR1913317.17230__1.17230	820__A0A174TRB5__DXD40_11305
ERR1913317.17269__1.17269	28116__E5C3L0__B5F02_21065
ERR1913317.17275__1.17275	820__A0A174R952__DXB48_02570
ERR1913317.17335__1.17335	820__R9I324__HMPREF2141_02414
ERR1913317.17374__1.17374	40518__R5DUU0__DXD93_03985
ERR1913317.17408__1.17408	1680__A0A174BEE7__BSTER_1311
ERR1913317.17563__1.17563	28117__B0MXR4__BHV66_08025
ERR1913317.17676__1.17676	40518__R5DZ16__DXD86_01455
ERR1913317.17731__1.17731	214856__A0A174ZLY7__ERS852447_02456
ERR1913317.17836__1.17836	626929__R6M5Q4__HMPREF9445_00529
ERR1913317.17887__1.17887	28026__A0A267WJP6__AW18_01035
ERR1913317.17935__1.17935	28052__A0A174KY36__mepA_13
ERR1913317.18036__1.18036	292800__G9YTT2__HMPREF0372_02944
ERR1913317.18094__1.18094	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913317.18130__1.18130	487174__K0WZP2__DDY40_04000
ERR1913317.18168__1.18168	357276__B6VYT9__HMPREF1063_05030
ERR1913317.18185__1.18185	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.18197__1.18197	649756__B0NWS2__CL2_06980
ERR1913317.18243__1.18243	28116__A7LXU0__HMPREF1070_00358
ERR1913317.18245__1.18245	820__A0A3E4G3J9__ERS852459_02265
ERR1913317.18309__1.18309	1680__A0A0C2YPV2__AL0462_1474
ERR1913317.18376__1.18376	1304__F8LKN2__CYK22_02495
ERR1913317.18447__1.18447	820__A7UYX8__DXD40_11635
ERR1913317.18506__1.18506	28116__A0A1G8P076__AA414_01051
ERR1913317.18534__1.18534	28116__A0A078Q626__HMPREF1070_02735
ERR1913317.18635__1.18635	821__E5UY21__C800_02204
ERR1913317.18636__1.18636	1776081__A0A1B8WTP3__A0U42_10575
ERR1913317.18690__1.18690	40518__R5DWH8__DXD86_04530
ERR1913317.18715__1.18715	246787__A0A0P0GCR8__xynD_3
ERR1913317.18809__1.18809	28117__B0MTH2__ALIPUT_00061
ERR1913317.18843__1.18843	821__A0A174NM17__lacZ_6
ERR1913317.18885__1.18885	39488__A0A174CJ01__DXD91_03830
ERR1913317.18969__1.18969	1680__A0A174BEE7__BSTER_1311
ERR1913317.19065__1.19065	820__A0A3E4IGA7__DXD40_07110
ERR1913317.19184__1.19184	187327__G4Q3P7__Acin_0528
ERR1913317.19399__1.19399	187327__G4Q6P7__ACDG_01266
ERR1913317.19432__1.19432	626929__R6L317__HMPREF9445_00686
ERR1913317.19378__1.19378	820__A0A139KA34__B5G17_05520
ERR1913317.19454__1.19454	74426__gap
ERR1913317.19456__1.19456	446660__GCA_003428235.1_01278
ERR1913317.19477__1.19477	820__A0A173YYG4__evgS_3
ERR1913317.19498__1.19498	820__A7UYX8__DXD40_11635
ERR1913317.19587__1.19587	187327__G4Q388__thiW
ERR1913317.19610__1.19610	820__A0A139KIL9__DXC68_05945
ERR1913317.19765__1.19765	820__A0A174VD39__DXD90_12235
ERR1913317.19776__1.19776	1680__A0A374QDL4__LMG18897_0432
ERR1913317.19868__1.19868	74426__rpoC
ERR1913317.19841__1.19841	820__A7UYX8__DXD40_11635
ERR1913317.19848__1.19848	39491__A0A395UZL1__DXB76_05950
ERR1913317.19849__1.19849	820__A0A3E4G3J9__ERS852459_02265
ERR1913317.19897__1.19897	820__A0A3E4W9D9__B5G17_12400
ERR1913317.19936__1.19936	821__A0A396FEL8__C5Z04_06030
ERR1913317.19949__1.19949	823__A0A174LWY0__lepB
ERR1913317.19989__1.19989	820__A0A173YYG4__evgS_3
ERR1913317.20071__1.20071	572010__ydhV
ERR1913317.20079__1.20079	28117__B0MXJ1__BHV66_08445
ERR1913317.20223__1.20223	853__E2ZJT1__C4N23_03535
ERR1913317.20291__1.20291	187327__G4Q4A5__ACDG_01070
ERR1913317.20327__1.20327	40518__R5DZB1__DXD83_08840
ERR1913317.20334__1.20334	40518__R5DUG7__sbcC
ERR1913317.20318__1.20318	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913317.20354__1.20354	301302__R5VE56__M72_25941
ERR1913317.20389__1.20389	821__A0A0P0L8F8__ERS852509_03705
ERR1913317.20435__1.20435	1502943__K9D317__HMPREF9282_00736
ERR1913317.20533__1.20533	47678__R5U325__HMPREF1061_03209
ERR1913317.20539__1.20539	74426__thrZ
ERR1913317.20624__1.20624	556259__E5CDQ6__BSGG_3921
ERR1913317.20631__1.20631	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.20660__1.20660	1150298__A0A174HEB6__ypdC_2
ERR1913317.20664__1.20664	28117__B0MXW9__ALIPUT_01981
ERR1913317.20917__1.20917	1262980__R5BMR8__BN814_00052
ERR1913317.20896__1.20896	322505__frlB
ERR1913317.20897__1.20897	818__C6IJ09__SAMN05216253_102150
ERR1913317.21053__1.21053	820__A0A174CG08__DXB62_13215
ERR1913317.21057__1.21057	820__A0A174M9V5__M093_0237
ERR1913317.21066__1.21066	820__A0A3E5BMG9__DXD40_05130
ERR1913317.21168__1.21168	187327__U2UK01__pheA
ERR1913317.21177__1.21177	418240__A0A173YA50__ERS852478_00137
ERR1913317.21181__1.21181	39486__G1WPN2__DORFOR_01095
ERR1913317.21411__1.21411	47678__R5USS6__C5Z00_03300
ERR1913317.21422__1.21422	487174__R5G1E8__DIT83_00510
ERR1913317.21782__1.21782	821__A0A396F598__CUU_3259
ERR1913317.21811__1.21811	47678__A0A174TQR6__CGC64_14735
ERR1913317.21823__1.21823	246787__A0A0P0GPP9__BACCELL_01902
ERR1913317.21832__1.21832	820__A0A174TRB5__DXD40_11305
ERR1913317.21908__1.21908	187327__G4Q785__oadA
ERR1913317.21909__1.21909	820__A0A174A6K0__M093_0079
ERR1913317.21924__1.21924	187327__G4Q8F0__ACDG_01813
ERR1913317.22041__1.22041	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913317.22085__1.22085	821__A0A0P0M2J4__DXD46_10295
ERR1913317.22136__1.22136	47678__R5UPZ8__ERS852494_01752
ERR1913317.22162__1.22162	1150298__R7JRC9__ERS852535_00719
ERR1913317.22267__1.22267	40518__R5DYP7__envC
ERR1913317.22284__1.22284	40518__R5DM08__DXD83_06415
ERR1913317.22392__1.22392	39488__A0A174GS53__dnaC_1
ERR1913317.22423__1.22423	821__A0A174K302__CUU_3129
ERR1913317.22489__1.22489	820__A0A3E4VZY4__ERS852554_01211
ERR1913317.22526__1.22526	39491__A0A2U2EED4__ERS852580_01584
ERR1913317.22530__1.22530	74426__rpoB
ERR1913317.22604__1.22604	1680__A7A7Z9__AAX71_05385
ERR1913317.22581__1.22581	39491__C4ZC33__DXC13_11585
ERR1913317.22724__1.22724	40518__R5E550__aroK
ERR1913317.22844__1.22844	28116__A0A078Q626__HMPREF1070_02735
ERR1913317.22962__1.22962	46506__A0A108TBL0__BACSTE_01998
ERR1913317.23066__1.23066	328813__A0A1Y3QZ24__B5G41_08040
ERR1913317.23089__1.23089	39491__A0A174K265__DXB76_05915
ERR1913317.23281__1.23281	187327__G4Q682__Acin_1672
ERR1913317.23295__1.23295	28117__B0MXR4__BHV66_08025
ERR1913317.23300__1.23300	292800__A0A1C7FI72__ERS852504_01815
ERR1913317.23329__1.23329	40518__R5DQJ0__DXD93_03790
ERR1913317.23503__1.23503	823__A0A395YVY3__ERS852513_03204
ERR1913317.23641__1.23641	28116__D7J6B1__B5F02_07870
ERR1913317.23728__1.23728	649756__D4MUR3__ERS852571_00481
ERR1913317.23790__1.23790	1776081__A0A1B8WSZ9__A0U42_02245
ERR1913317.23897__1.23897	28117__B0MWP2__ALIPUT_01468
ERR1913317.23925__1.23925	301302__R5UK77__M72_08681
ERR1913317.23982__1.23982	820__A0A174QLF0__SAMN05444418_109151
ERR1913317.23992__1.23992	818__Q8A7D8__Btheta7330_01478
ERR1913317.23996__1.23996	820__A0A3E4W9D9__B5G17_12400
ERR1913317.24035__1.24035	820__A0A174F0C1__nreB
ERR1913317.24088__1.24088	46506__R5JSP7__AA415_01143
ERR1913317.24058__1.24058	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913317.24131__1.24131	820__A0A3E4FZM1__adaA_2
ERR1913317.24201__1.24201	649756__A0A173R860__DO83_09130
ERR1913317.24434__1.24434	821__A0A395UNT8__DXD64_15275
ERR1913317.24517__1.24517	28117__B0MSR5__BHV66_02095
ERR1913317.24525__1.24525	823__A0A174GGT1__queG
ERR1913317.24562__1.24562	40518__R5E1X3__clcA
ERR1913317.24571__1.24571	1263109__GCA_000438135.1_01611
ERR1913317.24572__1.24572	823__A0A355XLT7__HMPREF1075_03402
ERR1913317.24671__1.24671	820__A0A173YYG4__evgS_3
ERR1913317.24833__1.24833	1262911__R6GKS1__BN557_00184
ERR1913317.24917__1.24917	820__R7E9Z4__DXC68_06065
ERR1913317.25167__1.25167	246787__A0A0P0GR24__BcellWH2_03263
ERR1913317.25233__1.25233	820__A0A3E5BMG9__DXD40_05130
ERR1913317.25282__1.25282	1680__A0A2R4G1K8__BBMN23_0315
ERR1913317.25308__1.25308	821__A0A174NVL6__NCTC10583_01782
ERR1913317.25370__1.25370	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913317.25333__1.25333	292800__A0A096DG10__HMPREF9460_01046
ERR1913317.25487__1.25487	649756__D4MVD8__ERS852475_00940
ERR1913317.25498__1.25498	820__A0A3E4FZM1__adaA_2
ERR1913317.25594__1.25594	1776081__A0A1B8WWL7__A0U42_07095
ERR1913317.25671__1.25671	820__A0A3E4FWC8__DXC91_14635
ERR1913317.25915__1.25915	821__E5UY21__C800_02204
ERR1913317.26085__1.26085	556259__E5C638__BSGG_0201
ERR1913317.26151__1.26151	1263107__GCA_000436995.1_00134
ERR1913317.26353__1.26353	820__A0A3E4VZS7__DXC07_14435
ERR1913317.26440__1.26440	820__A0A139K8X8__DXC80_17665
ERR1913317.26662__1.26662	820__A0A174KKV6__DXC07_02635
ERR1913317.26759__1.26759	357276__A0A076IS26__EL88_15950
ERR1913317.26826__1.26826	28117__B0MUB3__ALIPUT_00727
ERR1913317.27107__1.27107	1262954__R7FGG0__BN611_00689
ERR1913317.27231__1.27231	821__I9R3W6__DXC16_12455
ERR1913317.27240__1.27240	820__I9TWZ7__DXC80_10550
ERR1913317.27312__1.27312	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913317.27384__1.27384	818__A0A0P0FI06__BJP75_017205
ERR1913317.27353__1.27353	820__A0A139JY23__B5G17_06330
ERR1913317.27509__1.27509	39491__A0A396FIZ8__ERE_20410
ERR1913317.27513__1.27513	40518__R5DXH2__DXD83_10135
ERR1913317.27498__1.27498	626929__F3PKH5__HMPREF9445_02532
ERR1913317.27616__1.27616	357276__A0A0M1W657__HMPREF1064_04629
ERR1913317.27626__1.27626	1796613__A0A1C7H300__A4V03_17350
