ERR1913213.33__1.33	544644__GCA_001915615.1_01854
ERR1913213.20463__1.20463	46228__V8BL81__DXD17_11825
ERR1913213.20636__1.20636	291644__I9I0P6__HMPREF1532_01982
ERR1913213.20760__1.20760	487174__R5FN40__HMPREF9448_01366
ERR1913213.20805__1.20805	291644__I9HRU8__ERS852428_03635
ERR1913213.20931__1.20931	1262889__R7HFS7__BN634_01527
ERR1913213.21556__1.21556	1262935__R5GTK7__BN773_00203
ERR1913213.21587__1.21587	291644__U6RV10__ERS852428_00490
ERR1913213.21618__1.21618	1262935__R5GUQ0__BN773_00559
ERR1913213.21620__1.21620	47678__R5UWN2__BACCAC_01649
ERR1913213.21679__1.21679	1150298__A0A174DQT6__ERS852498_00506
ERR1913213.21749__1.21749	357276__U6R8F9__DXD47_04035
ERR1913213.21813__1.21813	39492__D4JWB3__EUBSIR_00040
ERR1913213.21989__1.21989	1262935__R5GVN5__BN773_00725
ERR1913213.21945__1.21945	357276__A0A0M1W4C0__DXD47_07095
ERR1913213.22046__1.22046	671267__R9IL60__C802_00379
ERR1913213.22321__1.22321	39486__B0G346__HMPREF9457_00670
ERR1913213.22698__1.22698	821__A0A395UNT8__DXD64_15275
ERR1913213.22811__1.22811	487174__K0X3H8__HMPREF9448_02822
ERR1913213.22945__1.22945	1897011__A0A1Q6RC54__BHW41_06555
ERR1913213.23023__1.23023	823__A0A174GGT1__queG
ERR1913213.23031__1.23031	39492__D4JRZ7__smc
ERR1913213.23441__1.23441	46228__V8CAH7__HMPREF1202_00795
ERR1913213.23471__1.23471	626932__G5H6M5__HMPREF9450_00585
ERR1913213.23586__1.23586	357276__A0A0K2HDP3__IY41_00705
ERR1913213.23994__1.23994	204516__U6R8I1__HMPREF1534_03341
ERR1913213.24409__1.24409	165179__A0A3E5AER8__DXB80_07075
ERR1913213.24423__1.24423	821__A0A395VIK7__BVU_1225
ERR1913213.24492__1.24492	454155__G5SQY4__HMPREF9442_01708
ERR1913213.24511__1.24511	821__A0A395UNT8__DXD64_15275
ERR1913213.24533__1.24533	35833__E5Y2U0__HMPREF0179_00454
ERR1913213.24578__1.24578	28117__B0MXR4__BHV66_08025
ERR1913213.24782__1.24782	40518__R5DZI2__DXD93_06940
ERR1913213.24931__1.24931	246787__A0A0P0GJP1__BcellWH2_03982
ERR1913213.25290__1.25290	1262935__R5GS65__BN773_01399
ERR1913213.25383__1.25383	357276__A0A076IP73__BACDOR_04237
ERR1913213.25323__1.25323	1262889__R7HD84__BN634_01675
ERR1913213.25513__1.25513	46228__V8BLW9__DXD17_14090
ERR1913213.25599__1.25599	28111__R5JN40__HMPREF1016_01803
ERR1913213.25781__1.25781	28118__F9Z856__macA_2
ERR1913213.25919__1.25919	820__A0A374Q854__HMPREF1073_03281
ERR1913213.26137__1.26137	28117__R7JPX7__BHV66_00900
ERR1913213.26180__1.26180	454155__G5SQD5__HMPREF9442_01134
ERR1913213.26309__1.26309	1680__A0A173XYA2__B0703_0121
ERR1913213.26396__1.26396	487175__R5E441__HMPREF9439_02785
ERR1913213.26424__1.26424	821__A0A173XDD3__DXB82_17180
ERR1913213.26431__1.26431	1262736__R5Y591__BN496_01853
ERR1913213.27287__1.27287	823__C7XA51__BDI_0499
ERR1913213.27334__1.27334	1262935__R5GK20__BN773_00159
ERR1913213.27432__1.27432	166486__D4KUM5__afr
ERR1913213.27477__1.27477	371601__A0A1Y4VA23__SAMN04487924_1246
ERR1913213.27629__1.27629	823__D0TAX5__HMPREF1075_01064
ERR1913213.28236__1.28236	823__A0A355XIK0__CEQ22_011965
ERR1913213.28383__1.28383	39492__B0MP07__ERS852540_02083
ERR1913213.28710__1.28710	1262935__R5GIS0__BN773_01547
ERR1913213.28758__1.28758	40518__R5E4E8__phoR_4
ERR1913213.28845__1.28845	410072__C0B8H9__ERS852481_01810
ERR1913213.29117__1.29117	357276__A0A076J9V8__BACDOR_01395
ERR1913213.29165__1.29165	28118__F9ZBW3__Odosp_3541
ERR1913213.29279__1.29279	35833__E5Y6S3__HMPREF0179_01886
ERR1913213.29287__1.29287	820__A0A173WUD7__DXB48_08055
ERR1913213.29953__1.29953	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913213.30109__1.30109	2293125__A0A374BSW4__DW917_13420
ERR1913213.30487__1.30487	33039__A0A173RPT9__ERS852502_02389
ERR1913213.30550__1.30550	246787__R6LGA6__tmoS_11
ERR1913213.30871__1.30871	33039__D4M6R8__bglB_8
ERR1913213.31450__1.31450	291644__I9SWB4__HMPREF1071_03184
ERR1913213.31583__1.31583	1262935__R5GEN3__BN773_01757
ERR1913213.31615__1.31615	487174__R5F4K8__HMPREF9448_01532
ERR1913213.32173__1.32173	1262935__R5GVK8__BN773_00860
ERR1913213.32299__1.32299	1262889__R7HAA8__BN634_00776
ERR1913213.32403__1.32403	39491__A0A396FSN2__EUBREC_0707
ERR1913213.32713__1.32713	204516__U6RDD8__HMPREF1534_02559
ERR1913213.32862__1.32862	1262935__R5GR54__BN773_00986
ERR1913213.32935__1.32935	1262935__R5GHR6__BN773_01235
ERR1913213.33350__1.33350	28111__E5X429__BACEGG_00952
ERR1913213.33414__1.33414	357276__I9FU68__HMPREF1063_00557
ERR1913213.33505__1.33505	88431__A0A174UW18__lytR_4
ERR1913213.33585__1.33585	820__A0A174Q0F0__DXB48_08080
ERR1913213.34154__1.34154	818__A0A3E5HVB7__Btheta7330_02386
ERR1913213.34362__1.34362	28116__F7LEX0__CUY_5042
ERR1913213.34403__1.34403	214856__A0A174FWM7__ERS852559_00590
ERR1913213.34473__1.34473	454155__F3QX11__HMPREF9442_02745
ERR1913213.34517__1.34517	1262935__R5GEN3__BN773_01757
ERR1913213.34565__1.34565	1262935__R5GTJ9__BN773_01876
ERR1913213.35034__1.35034	28117__B0MY45__ALIPUT_02164
ERR1913213.35074__1.35074	33039__D4M1W4__RTO_04640
ERR1913213.35354__1.35354	1262889__R7H9Z3__BN634_00978
ERR1913213.35572__1.35572	310298__B3JFI7__BACCOP_00636
ERR1913213.36134__1.36134	820__A0A1T4IY71__HMPREF2141_02402
ERR1913213.36522__1.36522	46228__B5CQD2__HMPREF1202_00579
ERR1913213.36911__1.36911	2293125__A0A374BSW4__DW917_13420
ERR1913213.37001__1.37001	46228__V8C3F9__HMPREF1202_01724
ERR1913213.37015__1.37015	1262889__R7H9M3__BN634_00850
ERR1913213.37078__1.37078	28111__R5JPF7__BACEGG_02051
ERR1913213.37283__1.37283	487174__K0WZP2__DDY40_04000
ERR1913213.37369__1.37369	35833__E5Y6S3__HMPREF0179_01886
ERR1913213.37435__1.37435	357276__I9QDB8__B5F95_08105
ERR1913213.37583__1.37583	357276__A0A076IXE0__HMPREF1064_04364
ERR1913213.37717__1.37717	487174__K0WUW8__DDY40_02615
ERR1913213.37691__1.37691	357276__B6VVS0__HMPREF1064_03951
ERR1913213.37763__1.37763	487174__R5FJH0__DDY40_07055
ERR1913213.37873__1.37873	28111__R5K5Y3__BACEGG_03205
ERR1913213.37957__1.37957	1262889__R7HDI0__BN634_01483
ERR1913213.38132__1.38132	39496__A5Z5I2__EUBVEN_00963
ERR1913213.38223__1.38223	1262911__R6H1D2__BN557_00855
ERR1913213.38603__1.38603	1501391__GCA_000786575.1_00113
ERR1913213.38625__1.38625	821__C3RB94__DXC03_15585
ERR1913213.38637__1.38637	166486__D4KJ39__ERS852572_02622
ERR1913213.38687__1.38687	214856__R6XP73__ERS852447_00886
ERR1913213.38841__1.38841	39492__D4JSG7__EUBSIR_01006
ERR1913213.38904__1.38904	357276__A0A0M1W1I8__ABI39_13620
ERR1913213.38937__1.38937	357276__C3R9Y0__HMPREF1064_01889
ERR1913213.39023__1.39023	821__A6L0C7__ERS852556_03520
ERR1913213.39135__1.39135	823__A0A395YRX4__ERS852513_03444
ERR1913213.39493__1.39493	1262988__R7N521__BN816_01886
ERR1913213.39609__1.39609	820__A0A174M9V5__M093_0237
ERR1913213.39790__1.39790	46228__V8CCU2__RUMLAC_01143
ERR1913213.39879__1.39879	1263006__R6M176__BN515_00274
ERR1913213.39976__1.39976	1262746__R5SS80__BN750_02125
ERR1913213.40036__1.40036	1262889__R7HFS7__BN634_01527
ERR1913213.40138__1.40138	745368__A0A1T4XCE1__SAMN02745178_01686
ERR1913213.40808__1.40808	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913213.40933__1.40933	46228__V8CE24__thiD
ERR1913213.41067__1.41067	821__A0A174NM17__lacZ_6
ERR1913213.41296__1.41296	46228__V8C7M2__RUMLAC_01453
ERR1913213.41547__1.41547	357276__A0A076IYG1__B5F95_22465
ERR1913213.41804__1.41804	291644__I9IAK3__ERS852428_03233
ERR1913213.41910__1.41910	823__E1YV41__BDI_1376
ERR1913213.41934__1.41934	1263006__R6MQA3__BN515_02104
ERR1913213.42029__1.42029	823__A0A395YY84__DXC05_19515
ERR1913213.42167__1.42167	1262911__R6GT76__BN557_01150
ERR1913213.42335__1.42335	552398__T5S086__HMPREF0866_01580
ERR1913213.42355__1.42355	544645__A0A1U7LBV3__DXC42_12245
ERR1913213.42575__1.42575	2293125__A0A374BSW4__DW917_13420
ERR1913213.42716__1.42716	384638__B7AVU0__BACPEC_02840
ERR1913213.43208__1.43208	651609__E6KUY7__HMPREF9006_2039
ERR1913213.43386__1.43386	28111__R5JTT9__BACEGG_01644
ERR1913213.43684__1.43684	1150298__A0A174SLE6__mlc_1
ERR1913213.43769__1.43769	821__A0A3E4XY72__NCTC10583_01067
ERR1913213.44121__1.44121	410072__C0BC02__ERS852481_00783
ERR1913213.44316__1.44316	28111__R5K5Y0__NCTC11155_03071
ERR1913213.44339__1.44339	556259__E5CDQ6__BSGG_3921
ERR1913213.44672__1.44672	487174__K0X068__DDY40_07105
ERR1913213.44772__1.44772	246787__I8V2S2__BACCELL_02524
ERR1913213.44740__1.44740	853__A0A329UEG4__CHR60_00585
ERR1913213.45543__1.45543	165179__A0A229I3Z6__PREVCOP_03666
ERR1913213.45832__1.45832	820__A0A174G065__DXB62_08975
ERR1913213.46260__1.46260	487174__K0WVG2__DDY40_00285
ERR1913213.46302__1.46302	649756__D4MZ64__ERS852425_00811
ERR1913213.46564__1.46564	1263000__R5EDV4__BN466_01097
ERR1913213.46627__1.46627	1099853__G9S0P5__NSB1T_11890
ERR1913213.47104__1.47104	823__A6LER2__ERS852513_00365
ERR1913213.47240__1.47240	1262777__R5W6L8__BN512_00248
ERR1913213.47319__1.47319	820__A0A174GK47__ERS852421_00200
ERR1913213.47699__1.47699	204516__U6RKS4__HMPREF1534_01431
ERR1913213.48167__1.48167	1501391__GCA_000786575.1_00076
ERR1913213.48416__1.48416	1262736__R5YL00__BN496_01879
ERR1913213.48443__1.48443	1897011__A0A1Q6REX0__BHW41_04225
ERR1913213.48474__1.48474	1262743__R5C054__BN727_01980
ERR1913213.48566__1.48566	1262736__R5YCL2__BN496_00379
ERR1913213.48582__1.48582	46228__V8BLW9__DXD17_14090
ERR1913213.48617__1.48617	357276__I8WPR6__EL88_06675
ERR1913213.48766__1.48766	39492__A0A174ZHV5__msbA_2
ERR1913213.48904__1.48904	1501391__GCA_000786575.1_00097
ERR1913213.49066__1.49066	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913213.49367__1.49367	357276__A0A0M1W657__HMPREF1064_04629
ERR1913213.49637__1.49637	821__E5UY21__C800_02204
ERR1913213.49663__1.49663	28111__E5WYC3__NCTC11155_03517
ERR1913213.49706__1.49706	556259__E5C690__BSGG_1431
ERR1913213.49859__1.49859	1262935__R5GH41__BN773_00979
ERR1913213.50000__1.50000	820__A0A3E4G3J9__ERS852459_02265
ERR1913213.50010__1.50010	357276__I8WBQ9__HMPREF1065_03212
ERR1913213.50183__1.50183	821__A0A395VIK7__BVU_1225
ERR1913213.50469__1.50469	357276__A0A0M1W4C0__DXD47_07095
ERR1913213.50468__1.50468	28118__F9ZB36__B5F99_17235
ERR1913213.50755__1.50755	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913213.50804__1.50804	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913213.50770__1.50770	1796613__A0A1C7H2D7__ADH74_14565
ERR1913213.51087__1.51087	674529__A0A174VGZ4__SAMN05444400_14914
ERR1913213.51361__1.51361	28117__B0MUX4__ALIPUT_00911
ERR1913213.51948__1.51948	821__I9R3W6__DXC16_12455
ERR1913213.52090__1.52090	39492__D4JTF2__mutS2
ERR1913213.52375__1.52375	1262935__R5GK32__BN773_00174
ERR1913213.52554__1.52554	28116__A0A078Q1V5__SAMN05444282_12168
ERR1913213.52715__1.52715	116085__D4J6L8__DW747_08035
ERR1913213.52945__1.52945	40518__R5E4X5__RB5AMG_01438
ERR1913213.53028__1.53028	820__A0A174A6K0__M093_0079
ERR1913213.53183__1.53183	28116__A7LS06__HMPREF2532_04668
ERR1913213.53292__1.53292	1262935__R5GEB1__BN773_01644
ERR1913213.53271__1.53271	1262935__R5GG37__BN773_00249
ERR1913213.53373__1.53373	820__A0A139K426__B5G17_09115
ERR1913213.53447__1.53447	821__A0A174WBC9__ERS852556_03145
ERR1913213.53601__1.53601	487174__K0XL60__DDY40_11760
ERR1913213.53635__1.53635	39492__B0MPL6__EUBSIR_01779
ERR1913213.53682__1.53682	39491__A0A395ZHW3__ERS852417_01359
ERR1913213.53727__1.53727	357276__I8VQA2__HMPREF1065_04183
ERR1913213.54183__1.54183	1703337__A0A2U0U7Q7__C7379_11089
ERR1913213.54266__1.54266	1262935__R5GL68__BN773_00556
ERR1913213.54468__1.54468	39492__B0MPL6__EUBSIR_01779
ERR1913213.54675__1.54675	1262889__R7HCE8__BN634_01718
ERR1913213.54842__1.54842	1262992__R5CXM8__BN795_01024
ERR1913213.54899__1.54899	1262935__R5GHP4__BN773_01210
ERR1913213.55084__1.55084	165179__D1PER3__DXB80_11525
ERR1913213.55102__1.55102	28117__B0MTY2__BHV66_06485
ERR1913213.56114__1.56114	487174__K0X6A4__HMPREF9448_00105
ERR1913213.56520__1.56520	418240__A0A174DNS5__ERS852478_02290
ERR1913213.57111__1.57111	1263000__R5ECL2__BN466_00920
ERR1913213.57308__1.57308	357276__B6VXX7__HMPREF1063_02683
ERR1913213.57399__1.57399	1262935__R5GEM8__BN773_01536
ERR1913213.57643__1.57643	39496__A5Z5I2__EUBVEN_00963
ERR1913213.57854__1.57854	823__A0A355XP97__M092_2525
ERR1913213.57942__1.57942	1501391__GCA_000786575.1_00010
ERR1913213.58336__1.58336	1897011__A0A1Q6RI70__BHW41_00995
ERR1913213.58774__1.58774	1262911__R6H2J2__BN557_01228
ERR1913213.58780__1.58780	291644__I9TEJ3__luxQ_1
ERR1913213.58797__1.58797	823__A6LB62__B5F32_04550
ERR1913213.58868__1.58868	820__A0A139K1Y6__DXB48_02610
ERR1913213.58873__1.58873	239935__A0A2N8IMC9__CXU09_02095
ERR1913213.58967__1.58967	357276__A0A076IRV2__BACDOR_02822
ERR1913213.59351__1.59351	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913213.59399__1.59399	821__D4V4X2__DXC16_18525
ERR1913213.59538__1.59538	291644__I9TL83__HMPREF1532_00872
ERR1913213.59602__1.59602	357276__B6VW91__BACDOR_01584
ERR1913213.60102__1.60102	39492__D4JR08__ERS852540_02467
ERR1913213.60371__1.60371	357276__I8WPR6__EL88_06675
ERR1913213.60478__1.60478	820__R7E9Z4__DXC68_06065
ERR1913213.60498__1.60498	357276__A0A076IKP2__HMPREF1063_00218
ERR1913213.60632__1.60632	28111__E5WYP5__BACEGG_00185
ERR1913213.60676__1.60676	291644__I9TBY1__HMPREF1532_01991
ERR1913213.60702__1.60702	1262538__GeneID:16384850
ERR1913213.60800__1.60800	820__A0A174B4N2__M093_2531
ERR1913213.60958__1.60958	40518__R5DTG5__RBATCC27255_00890
ERR1913213.61032__1.61032	28117__B0MTH2__ALIPUT_00061
ERR1913213.61179__1.61179	357276__I9R994__BACDOR_04044
ERR1913213.61313__1.61313	818__A0A139JW76__BJP75_002555
ERR1913213.61391__1.61391	357276__I9R994__BACDOR_04044
ERR1913213.61468__1.61468	29361__B6FKH5__CLONEX_00621
ERR1913213.61831__1.61831	46506__R6B8Z4__SAMN05444283_11711
ERR1913213.61864__1.61864	165179__A0A3E5EAM5__DXC61_07785
ERR1913213.62112__1.62112	28117__B0MSS9__BHV66_06085
ERR1913213.63062__1.63062	410072__C0BEV2__ERS852525_03010
ERR1913213.63205__1.63205	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913213.63283__1.63283	454154__G5ST56__HMPREF9441_02556
ERR1913213.63390__1.63390	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913213.63433__1.63433	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913213.63439__1.63439	1262935__R5GG37__BN773_00249
ERR1913213.63699__1.63699	39492__D4JWA3__ERS852540_01332
ERR1913213.63971__1.63971	1262935__R5GQA8__BN773_00915
ERR1913213.64469__1.64469	2293125__A0A374BSW4__DW917_13420
ERR1913213.64437__1.64437	28111__E5WXY3__NCTC11155_00116
ERR1913213.64539__1.64539	1262911__R6HIJ8__BN557_01742
ERR1913213.64763__1.64763	39492__D4JSS2__EUBSIR_00553
ERR1913213.65593__1.65593	820__A0A1T4IYF4__mprA_1
ERR1913213.65625__1.65625	204516__U6RPN2__HMPREF1534_00368
ERR1913213.65685__1.65685	820__A0A3E4PYB0__yejM
ERR1913213.65853__1.65853	291644__I9TBC1__ERS852428_01240
ERR1913213.65866__1.65866	204516__U6R921__HMPREF1534_03932
ERR1913213.65921__1.65921	1262935__R5GF26__BN773_01700
ERR1913213.66090__1.66090	454155__G5SRL5__HMPREF9442_00515
ERR1913213.66572__1.66572	820__A0A173WUD7__DXB48_08055
ERR1913213.66627__1.66627	357276__A0A076INK2__BSEG_04225
ERR1913213.66673__1.66673	39492__D4JVG1__ERS852540_00951
ERR1913213.66884__1.66884	821__A6L0C7__ERS852556_03520
ERR1913213.67209__1.67209	1262825__R5E4H7__BN724_01665
ERR1913213.67302__1.67302	291644__R5J6I1__HMPREF1532_01472
ERR1913213.67981__1.67981	1262911__R6H2J2__BN557_01228
ERR1913213.68118__1.68118	823__A0A078SYK6__DXB14_02485
ERR1913213.68233__1.68233	818__A0A396E023__ERS852430_02808
ERR1913213.68261__1.68261	28111__E5WUU3__HMPREF1016_00520
ERR1913213.69088__1.69088	1262935__R5GVS8__BN773_00775
ERR1913213.69262__1.69262	818__C6IIW4__dapH_1
ERR1913213.69319__1.69319	823__A0A395YZG9__M092_4358
ERR1913213.69477__1.69477	357276__A0A076INK2__BSEG_04225
ERR1913213.69562__1.69562	28116__A0A1G6G9R4__CUY_0131
ERR1913213.70091__1.70091	46228__B5CP96__RUMLAC_01287
ERR1913213.70294__1.70294	357276__I8WPR6__EL88_06675
ERR1913213.70755__1.70755	1262935__R5GFE1__BN773_00206
ERR1913213.70953__1.70953	357276__A0A076IS73__GV66_00410
ERR1913213.71193__1.71193	1263006__R6LZ65__BN515_01602
ERR1913213.71262__1.71262	46506__R6B8Z4__SAMN05444283_11711
ERR1913213.71270__1.71270	1262935__R5GEV7__BN773_01835
ERR1913213.71429__1.71429	46503__R6WYJ8__DXB85_13825
ERR1913213.71581__1.71581	1262911__R6H2J2__BN557_01228
ERR1913213.71961__1.71961	46228__V8CBW1__HMPREF1202_00636
ERR1913213.72060__1.72060	1262886__R6QP39__BN563_00737
