ERR1912976.284__1.284	329854__R5M2W6__DXD57_07830
ERR1912976.4503__1.4503	384639__GCA_003096855.1_00509
ERR1912976.4540__1.4540	384639__GCA_003096855.1_01173
ERR1912976.4757__1.4757	823__A0A069S0G2__DXB14_03195
ERR1912976.4972__1.4972	33025__A0A395JBB5__C8D73_107104
ERR1912976.5073__1.5073	39485__R5ZPP8__EUBELI_20334
ERR1912976.5080__1.5080	246787__A0A3D6AYV2__BcellWH2_03647
ERR1912976.5125__1.5125	1965604__A0A1Y4EPR5__B5F54_11475
ERR1912976.5165__1.5165	329854__R5M3H6__DXD27_08960
ERR1912976.5172__1.5172	371601__D7K8P3__SAMN05216250_10395
ERR1912976.5218__1.5218	28052__A0A174JFD0__ERS852499_01102
ERR1912976.5333__1.5333	821__E5UY21__C800_02204
ERR1912976.5387__1.5387	33038__A7B0X0__CDL26_06830
ERR1912976.5610__1.5610	33038__A0A2N5PQU6__RUMGNA_01940
ERR1912976.5815__1.5815	39485__C4Z684__ERS852492_01895
ERR1912976.5935__1.5935	28116__A7LS06__HMPREF2532_04668
ERR1912976.6134__1.6134	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.6207__1.6207	28052__A0A174MH21__ERS852499_01905
ERR1912976.6522__1.6522	821__A0A174NM17__lacZ_6
ERR1912976.6545__1.6545	2173__A0A1D2WRY2__Msm_1736
ERR1912976.6807__1.6807	1897011__A0A1Q6RD70__BHW41_05845
ERR1912976.6823__1.6823	329854__R5LT64__BACINT_03703
ERR1912976.6878__1.6878	384639__GCA_003096855.1_01176
ERR1912976.7005__1.7005	820__A0A3E4VXP2__yesR
ERR1912976.7257__1.7257	649756__L1Q2A2__CL2_18610
ERR1912976.7631__1.7631	33038__A0A396G4K0__CDL22_09365
ERR1912976.7692__1.7692	626933__H1DGX0__HMPREF9449_01506
ERR1912976.7923__1.7923	328814__GCA_004558275.1_00034
ERR1912976.7929__1.7929	328814__GCA_004558275.1_00199
ERR1912976.7981__1.7981	28117__B0MY82__BHV66_04755
ERR1912976.8069__1.8069	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1912976.8247__1.8247	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.8352__1.8352	1262783__R6CYT7__BN558_01276
ERR1912976.8355__1.8355	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.8361__1.8361	821__A0A396F9T7__M097_3427
ERR1912976.8363__1.8363	28052__A0A174KEN0__nagK
ERR1912976.8366__1.8366	820__A0A139KH21__DXC80_01780
ERR1912976.8433__1.8433	39485__C4Z434__tilS
ERR1912976.9157__1.9157	39490__U2QJW9__LG34_07940
ERR1912976.9173__1.9173	649756__B0P1H0__DO83_13870
ERR1912976.9231__1.9231	329854__A0A3E4KRG9__DXK01_03510
ERR1912976.9278__1.9278	246787__A0A0P0GJP1__BcellWH2_03982
ERR1912976.9361__1.9361	33038__A7AZH0__HMPREF1201_02167
ERR1912976.9396__1.9396	39485__R5ZII6__EUBELI_00986
ERR1912976.9491__1.9491	360807__A0A173WJE3__mcp4_4
ERR1912976.9648__1.9648	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1912976.9652__1.9652	1160721__W0U560__RBI_I01229
ERR1912976.9923__1.9923	328814__GCA_004558275.1_00036
ERR1912976.10330__1.10330	1297617__A0A0S2W8P7__BIV19_11120
ERR1912976.10372__1.10372	28052__A0A174GZE8__ERS852451_00311
ERR1912976.10399__1.10399	2108523__A0A2P2F314__LAWASA_362
ERR1912976.10688__1.10688	821__A6L0C7__ERS852556_03520
ERR1912976.10838__1.10838	820__A0A174EV88__HMPREF1072_01427
ERR1912976.10865__1.10865	1263000__R5EGP9__BN466_01419
ERR1912976.10899__1.10899	649756__B0NZX5__lytC_2
ERR1912976.10965__1.10965	28052__A0A174M0I3__ERS852451_02171
ERR1912976.11139__1.11139	329854__R5LY77__DXD27_05730
ERR1912976.11226__1.11226	1263076__GCA_000437615.1_00127
ERR1912976.11389__1.11389	33038__A7B090__ccpA_4
ERR1912976.11663__1.11663	33038__A0A2N5NXH5__CDL27_14300
ERR1912976.11767__1.11767	329854__R5LXT8__DXD57_15625
ERR1912976.11761__1.11761	329854__R5M1Z6__BACINT_04643
ERR1912976.11891__1.11891	1547__H1ANU0__DXB93_06245
ERR1912976.11906__1.11906	821__I9R3W6__DXC16_12455
ERR1912976.11942__1.11942	1550024__A0A3B9WKW6__TQ39_07780
ERR1912976.12033__1.12033	1897011__A0A1Q6RE76__BHW41_04850
ERR1912976.12083__1.12083	39485__A0A174ZNW9__luxQ_1
ERR1912976.12156__1.12156	33038__A0A2N5PPG0__CDL25_06295
ERR1912976.12183__1.12183	384639__GCA_003096855.1_01628
ERR1912976.12280__1.12280	33038__A7AZH0__HMPREF1201_02167
ERR1912976.12324__1.12324	360807__C0FPV5__ERS852444_03160
ERR1912976.12396__1.12396	821__A0A3E4WAR6__DXD64_10735
ERR1912976.12525__1.12525	821__A0A174ALF2__BvMPK_3016
ERR1912976.12532__1.12532	39491__A0A395V0H6__ERS852580_02570
ERR1912976.12664__1.12664	487174__R5FJY1__DDY40_07045
ERR1912976.12791__1.12791	28052__A0A174KBY5__slyD
ERR1912976.12851__1.12851	165179__A0A3E5EAI4__DXC61_10445
ERR1912976.13021__1.13021	39485__A0A174ZBK4__ERS852490_01585
ERR1912976.13065__1.13065	821__A0A395UNT8__DXD64_15275
ERR1912976.13148__1.13148	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.13218__1.13218	329854__R5M415__BACINT_04491
ERR1912976.13345__1.13345	77095__D8DTW0__SAMN05444375_11339
ERR1912976.13412__1.13412	39485__C4Z5M7__EUBELI_00883
ERR1912976.13461__1.13461	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1912976.13551__1.13551	562__P23837__phoQ
ERR1912976.13626__1.13626	649756__B0NWY4__blaR1_3
ERR1912976.13765__1.13765	239935__A0A2N8HB50__CXU17_02615
ERR1912976.14039__1.14039	239935__A0A2N8IF99__lpdA
ERR1912976.14096__1.14096	239935__A0A2N8IHY1__CXU06_00035
ERR1912976.14286__1.14286	33038__A0A2N5P082__CDL24_08780
ERR1912976.14320__1.14320	33038__A7B3I2__DXD36_11565
ERR1912976.14329__1.14329	33038__A7AZH0__HMPREF1201_02167
ERR1912976.14457__1.14457	39492__D4MJF3__EUBSIR_02248
ERR1912976.14489__1.14489	706562__GCA_900112995.1_00065
ERR1912976.14571__1.14571	39485__C4Z434__tilS
ERR1912976.14823__1.14823	239935__A0A2N8I3G2__CXT89_00720
ERR1912976.14829__1.14829	487174__K0XES7__HMPREF9448_00566
ERR1912976.14994__1.14994	1235835__R9LCU2__C814_02677
ERR1912976.15008__1.15008	216816__E8MVM4__APC1480_1562
ERR1912976.15103__1.15103	671267__R9IB12__C802_00696
ERR1912976.15117__1.15117	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.15227__1.15227	33038__A0A2N5NRJ3__CDL20_13245
ERR1912976.15291__1.15291	239935__B2UL21__CXT98_03395
ERR1912976.15329__1.15329	39485__R6AKA4__rssA
ERR1912976.15361__1.15361	39485__C4Z6K2__ERS852490_00407
ERR1912976.15384__1.15384	821__A0A395VIK7__BVU_1225
ERR1912976.15509__1.15509	33038__A0A2N5NVC1__CDL18_09740
ERR1912976.15546__1.15546	329854__R5LZ68__BACINT_01603
ERR1912976.15726__1.15726	33038__A0A2N5Q3U3__CDL22_04965
ERR1912976.15840__1.15840	821__I9R3W6__DXC16_12455
ERR1912976.15876__1.15876	39492__D4MIK7__EUBSIR_00676
ERR1912976.15950__1.15950	28118__F9Z4U0__B5F99_17595
ERR1912976.15957__1.15957	239935__A0A2N8IHY1__CXU06_00035
ERR1912976.16008__1.16008	33038__A0A396G9G9__CDL21_03070
ERR1912976.16114__1.16114	821__I9R3W6__DXC16_12455
ERR1912976.16234__1.16234	28118__F9Z667__NCTC10826_00403
ERR1912976.16333__1.16333	501571__R8VXR1__B5F17_01095
ERR1912976.16582__1.16582	165179__A0A174SA26__PREVCOP_05758
ERR1912976.16737__1.16737	39485__R5ZPP8__EUBELI_20334
ERR1912976.17110__1.17110	1262921__R5LSI3__BN473_01312
ERR1912976.17091__1.17091	40519__U2MCQ8__RUMCAL_00556
ERR1912976.17128__1.17128	33038__A0A2N5P2X7__CDL26_06080
ERR1912976.17135__1.17135	853__C7H1R8__DW905_06675
ERR1912976.17237__1.17237	821__E5UY21__C800_02204
ERR1912976.17193__1.17193	329854__R5LY77__DXD27_05730
ERR1912976.17388__1.17388	28052__A0A174KGM3__ERS852451_01819
ERR1912976.17467__1.17467	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.17725__1.17725	165179__D1PES9__DXB80_11585
ERR1912976.17898__1.17898	28116__D4WJ30__DHW41_06080
ERR1912976.17955__1.17955	165179__A0A3E5AER8__DXB80_07075
ERR1912976.18098__1.18098	446660__GCA_003428235.1_01770
ERR1912976.18383__1.18383	371601__A0A173ZG72__SAMN04487924_11442
ERR1912976.18572__1.18572	261299__B0A8Q2__SAMN02745147_1554
ERR1912976.18658__1.18658	1263076__GCA_000437615.1_00179
ERR1912976.18753__1.18753	39485__R5ZVC3__ERS852490_00250
ERR1912976.18819__1.18819	821__E5UMZ6__BVU_1450
ERR1912976.18935__1.18935	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.19400__1.19400	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1912976.19405__1.19405	2292352__A0A374UIX0__DXC23_12260
ERR1912976.19417__1.19417	1550024__A0A0D8IYY8__TQ39_09180
ERR1912976.19449__1.19449	626933__H1DGX0__HMPREF9449_01506
ERR1912976.19463__1.19463	1262988__R7N7H3__BN816_00684
ERR1912976.19509__1.19509	821__A6L0C7__ERS852556_03520
ERR1912976.19532__1.19532	1160721__R6U5L6__RBI_I01802
ERR1912976.19625__1.19625	329854__R7E733__DXD57_00120
ERR1912976.19658__1.19658	329854__R5MD93__DXD27_17140
ERR1912976.19697__1.19697	357276__A0A076ITU4__EL88_22160
ERR1912976.19861__1.19861	214856__A0A174ZED5__ERS852559_00591
ERR1912976.19950__1.19950	40519__U2MCQ8__RUMCAL_00556
ERR1912976.20100__1.20100	29361__B6FRT6__CLONEX_02860
ERR1912976.20116__1.20116	1263000__R5EPT1__BN466_00731
ERR1912976.20150__1.20150	39485__A0A174ZBK4__ERS852490_01585
ERR1912976.20272__1.20272	301301__A0A395VA18__RHOM_11700
ERR1912976.20412__1.20412	33039__A0A173W0K9__ERS852502_02246
ERR1912976.20430__1.20430	544644__GCA_001915615.1_00662
ERR1912976.20558__1.20558	820__A0A139KHX1__HMPREF2141_00289
ERR1912976.20795__1.20795	1897011__A0A1Q6RGA5__BHW41_02775
ERR1912976.20901__1.20901	239935__A0A2N8IEP3__CXT84_03735
ERR1912976.21103__1.21103	39485__C4Z6R3__mcp2_1
ERR1912976.21184__1.21184	165179__A0A3E5A5E5__DXC61_13965
ERR1912976.21185__1.21185	446660__GCA_003428235.1_01231
ERR1912976.21307__1.21307	39485__C4Z0B2__EUBELI_01024
ERR1912976.21396__1.21396	33038__A7AYC4__CDL21_13075
ERR1912976.21498__1.21498	328813__A0A1Y3QXE7__B5G41_03065
ERR1912976.21612__1.21612	329854__A0A3E4KRG9__DXK01_03510
ERR1912976.21617__1.21617	29361__B6FQ81__CLONEX_02300
ERR1912976.21758__1.21758	301301__A0A173YZL6__RHOM_00815
ERR1912976.21809__1.21809	292800__A0A096B6V4__tap_3
ERR1912976.21829__1.21829	28116__F7L4X5__M089_2857
ERR1912976.21916__1.21916	33038__A7B8H2__CDL21_04845
ERR1912976.21981__1.21981	1262986__R6A9J1__BN492_01353
ERR1912976.22243__1.22243	2292352__A0A374UKA6__DXC23_10805
ERR1912976.22247__1.22247	820__A0A3E4XDK3__ERS852554_03650
ERR1912976.22252__1.22252	360807__A0A173WE18__prkC_2
ERR1912976.22439__1.22439	821__D4VD59__BHV80_04260
ERR1912976.22709__1.22709	671267__R9ICM6__C802_00589
ERR1912976.22738__1.22738	165179__D1PHC0__PREVCOP_06640
ERR1912976.22762__1.22762	28116__F7L8I3__M089_1421
ERR1912976.22864__1.22864	33038__A0A3E4K4Y5__CDL20_06020
ERR1912976.22906__1.22906	165179__A0A3E5A554__DXB80_13805
ERR1912976.23074__1.23074	239935__R7E524__CXT91_06180
ERR1912976.23075__1.23075	821__A0A396F598__CUU_3259
ERR1912976.23128__1.23128	33039__D4M1B1__ERS852577_03971
ERR1912976.23309__1.23309	214856__A0A174A0R8__ERS852447_00998
ERR1912976.23327__1.23327	1235835__R9LCU2__C814_02677
ERR1912976.23454__1.23454	328814__GCA_004558275.1_00043
ERR1912976.23639__1.23639	487174__R5G1E8__DIT83_00510
ERR1912976.23708__1.23708	28052__A0A174MSU9__ERS852499_02010
ERR1912976.23775__1.23775	239935__A0A139TQT9__Amuc_1197
ERR1912976.23883__1.23883	39492__R6SPM9__pheT
ERR1912976.23857__1.23857	329854__A0A3E4KPG4__DXD27_21195
ERR1912976.24315__1.24315	360807__A0A173ZAC7__ROSEINA2194_01522
ERR1912976.24333__1.24333	74426__rpoC
ERR1912976.24594__1.24594	33038__A0A2N5PW99__DXD36_03540
ERR1912976.24618__1.24618	821__E5UY21__C800_02204
ERR1912976.24903__1.24903	39485__A0A174Z8V5__fliU_2
ERR1912976.24909__1.24909	39485__A0A174ZBJ8__speA_2
ERR1912976.24939__1.24939	357276__B6VXX7__HMPREF1063_02683
ERR1912976.24983__1.24983	301301__A0A395V3C0__mcpC_6
ERR1912976.25141__1.25141	39485__A0A174ZBJ8__speA_2
ERR1912976.25201__1.25201	33038__A0A2N5NYI5__C5Y99_09140
ERR1912976.25214__1.25214	33038__A7AZH0__HMPREF1201_02167
ERR1912976.25288__1.25288	2173__A0A1D2WX19__METSMIF1_03132
ERR1912976.25572__1.25572	28116__A0A1Y4PWN5__M088_3731
ERR1912976.25605__1.25605	384638__B7AT14__BACPEC_01282
ERR1912976.25703__1.25703	33038__A0A396G851__tig
ERR1912976.25717__1.25717	1776045__A0A0U5J7K7__BN3456_00132
ERR1912976.25818__1.25818	28052__A0A174HY73__ERS852451_01605
ERR1912976.25862__1.25862	821__A0A396F598__CUU_3259
ERR1912976.25956__1.25956	501571__R8W2G5__HMPREF1526_02029
ERR1912976.26047__1.26047	169435__B0PDL5__B5F55_10610
ERR1912976.26202__1.26202	649756__D4MXW9__ERS852520_02286
ERR1912976.26330__1.26330	706562__GCA_900112995.1_01625
ERR1912976.26598__1.26598	28117__B0N007__BHV66_10275
ERR1912976.26687__1.26687	487174__K0X2A4__DDY40_04095
ERR1912976.26689__1.26689	33039__D4M4W3__RTO_17030
ERR1912976.26971__1.26971	649756__D4MW63__DCR88_07570
ERR1912976.27056__1.27056	446660__GCA_003428235.1_00481
ERR1912976.27281__1.27281	39492__D4JTW7__EUBSIR_00859
ERR1912976.27415__1.27415	33039__A0A173VTT4__frdB_1
ERR1912976.27470__1.27470	292800__U2BU47__ERS852544_01880
ERR1912976.27556__1.27556	360807__A0A173SPW8__ERS852444_01048
ERR1912976.27801__1.27801	33038__A0A396G7D8__asnB
ERR1912976.27868__1.27868	165179__A0A3E5A554__DXB80_13805
ERR1912976.27958__1.27958	1160721__A0A1C6CMR2__BHW50_00085
ERR1912976.27974__1.27974	28052__A0A174PNN9__ERS852451_02058
ERR1912976.28017__1.28017	821__A0A0P0L952__M097_4235
ERR1912976.28093__1.28093	165179__A0A3E5EDV6__DXC61_03365
ERR1912976.28127__1.28127	28052__A0A174PNN9__ERS852451_02058
ERR1912976.28130__1.28130	33038__F7JT04__CDL21_01120
ERR1912976.28687__1.28687	239935__A0A2N8IMC3__CXT96_03840
ERR1912976.28700__1.28700	28117__B0MXQ6__ALIPUT_01917
ERR1912976.28758__1.28758	2292352__A0A374UJE7__DXC23_11305
ERR1912976.28928__1.28928	418240__A0A174C465__ydaM
ERR1912976.28931__1.28931	1263005__R6ESK3__BN497_01127
ERR1912976.28942__1.28942	39485__C4Z355__ERS852490_01971
ERR1912976.29104__1.29104	1628085__A0A2U1BH64__C7386_101226
ERR1912976.29268__1.29268	33038__F7JZ41__CCY17_00135
ERR1912976.29309__1.29309	649756__D4MXQ3__DO83_00245
ERR1912976.29351__1.29351	329854__B3CIE6__DXD27_22690
ERR1912976.29507__1.29507	487174__R5FJY1__DDY40_07045
ERR1912976.29580__1.29580	544644__GCA_001915615.1_00036
ERR1912976.29586__1.29586	821__A0A174NM17__lacZ_6
ERR1912976.29674__1.29674	39485__A0A174ZKZ4__spoIIQ_1
ERR1912976.29700__1.29700	329854__B3CDQ4__BACINT_02322
ERR1912976.29722__1.29722	28116__A0A078Q626__HMPREF1070_02735
ERR1912976.30066__1.30066	371601__A0A1C7H6N4__SAMN05216250_10764
ERR1912976.30249__1.30249	1262988__R7N221__BN816_01561
ERR1912976.30322__1.30322	39485__C4Z355__ERS852490_01971
ERR1912976.30442__1.30442	292800__A0A174IVH2__zraR_1
ERR1912976.30632__1.30632	562__Q8XBR9__G770_00628
ERR1912976.30667__1.30667	360807__C0FVL1__ERS852392_00394
ERR1912976.30858__1.30858	246787__A0A0N7IFC5__HMPREF1062_01960
ERR1912976.30980__1.30980	821__A0A395UNT8__DXD64_15275
ERR1912976.30992__1.30992	1263000__R5EAZ0__BN466_00537
ERR1912976.31302__1.31302	1160721__W0U633__BHW50_00240
ERR1912976.31413__1.31413	33038__A0A2N5P082__CDL24_08780
ERR1912976.31545__1.31545	39492__D4JTW6__ERS852540_00220
ERR1912976.31629__1.31629	39485__C4Z6V1__ERS852492_02640
ERR1912976.31831__1.31831	821__A0A174ALF2__BvMPK_3016
ERR1912976.31850__1.31850	328814__GCA_004558275.1_00007
ERR1912976.31853__1.31853	626933__H1DGX0__HMPREF9449_01506
ERR1912976.32004__1.32004	292800__G9YLJ8__ADH75_09915
ERR1912976.32083__1.32083	820__A0A173YYG4__evgS_3
ERR1912976.32116__1.32116	821__A0A396F9T7__M097_3427
ERR1912976.32238__1.32238	28117__B0MSR5__BHV66_02095
ERR1912976.32207__1.32207	74426__sugC
ERR1912976.32294__1.32294	1262743__R5C054__BN727_01980
ERR1912976.32398__1.32398	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1912976.32589__1.32589	292800__A0A1C7FV36__A4U99_10420
ERR1912976.32603__1.32603	821__A0A174MBW9__SAMN04487923_10272
ERR1912976.32633__1.32633	501571__R8VRZ3__SAMN02745978_02783
ERR1912976.33095__1.33095	487174__W0ES49__HMPREF9448_00709
ERR1912976.33108__1.33108	28052__A0A174GZE8__ERS852451_00311
ERR1912976.33109__1.33109	292800__A0A174NZG5__appA_1
ERR1912976.33112__1.33112	39485__A0A174YKY3__EUBELI_00877
ERR1912976.33298__1.33298	33038__A0A2N5P0D0__CDL18_07990
ERR1912976.33318__1.33318	301301__A0A395V396__RHOM_09170
ERR1912976.33709__1.33709	165179__A0A3E5A6S0__PREVCOP_04351
ERR1912976.33741__1.33741	301302__A0A0M6WRT7__ERS852420_02104
ERR1912976.33779__1.33779	1912897__A0A2Z4UAF9__DQQ01_07570
ERR1912976.33931__1.33931	33038__A0A396G729__RUMGNA_01796
ERR1912976.34049__1.34049	1263000__R5ECL2__BN466_00920
ERR1912976.34164__1.34164	820__A0A174LJB2__HMPREF1072_04112
ERR1912976.34199__1.34199	33038__A0A2N5PXI0__C5Y99_10810
ERR1912976.34353__1.34353	820__E5VEH7__ERS852459_01300
ERR1912976.34357__1.34357	329854__R5LXT8__DXD57_15625
ERR1912976.34503__1.34503	823__D0TGE9__ERS852429_03294
ERR1912976.34559__1.34559	360807__A0A173WJE3__mcp4_4
ERR1912976.34683__1.34683	33038__A0A2N5NPD5__CCY17_06280
ERR1912976.34998__1.34998	28052__A0A174HF53__ERS852499_00436
ERR1912976.35065__1.35065	1263109__GCA_000438135.1_00485
ERR1912976.35111__1.35111	1150298__R7JUX4__ERS852535_02669
ERR1912976.35145__1.35145	821__A0A174WBC9__ERS852556_03145
ERR1912976.35196__1.35196	301301__A0A395VAV8__ERS852391_02437
ERR1912976.35208__1.35208	33038__A7AYC4__CDL21_13075
ERR1912976.35229__1.35229	28052__R7NBF2__ERS852451_02191
ERR1912976.35361__1.35361	1150298__A0A174AM35__ERS852498_00645
ERR1912976.35500__1.35500	1262921__R5M1D5__BN473_00043
ERR1912976.35555__1.35555	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.35829__1.35829	28118__F9ZBZ0__DHW44_07740
ERR1912976.35962__1.35962	28052__R7NCD4__ERS852451_00170
ERR1912976.36046__1.36046	33038__A0A3E4V548__DXD36_06385
ERR1912976.36219__1.36219	1897011__A0A1Q6RJU7__BHW41_00015
ERR1912976.36429__1.36429	2173__A0A1D2WRS4__METSMIALI_00521
ERR1912976.36630__1.36630	28116__F7LBW8__C5Z02_16055
ERR1912976.36636__1.36636	820__A7V859__ERS852462_00341
ERR1912976.36734__1.36734	33038__A0A2N5PIX3__CDL26_14635
ERR1912976.36759__1.36759	1160721__W0U979__BHW50_09935
ERR1912976.36821__1.36821	487174__K0WXG8__DIT83_09300
ERR1912976.37300__1.37300	165179__D1PHD6__DXC61_03380
ERR1912976.37359__1.37359	357276__A0A076ISJ4__B5F95_19420
ERR1912976.37545__1.37545	357276__A0A076ITH2__BSEG_03273
ERR1912976.37625__1.37625	329854__B3C9R7__DXD57_13140
ERR1912976.37705__1.37705	649756__B0P3X0__DCR88_11535
ERR1912976.37726__1.37726	239935__A0A2N8IVR0__CXT87_07115
ERR1912976.37946__1.37946	552398__F4XCR9__HMPREF0866_01636
ERR1912976.37993__1.37993	2292352__A0A374UIX0__DXC23_12260
ERR1912976.38136__1.38136	820__A0A396EUV1__B5G17_06465
ERR1912976.38147__1.38147	239935__B2UL21__CXT98_03395
ERR1912976.38281__1.38281	28117__R7JPX7__BHV66_00900
ERR1912976.38545__1.38545	871324__A0A1M6AB95__SAMN05444350_101158
ERR1912976.38588__1.38588	1897011__A0A1Q6RFC7__BHW41_03540
ERR1912976.38646__1.38646	39491__A0A396FPV7__ERS852580_01177
ERR1912976.38938__1.38938	239935__A0A2N8IU14__ADH72_05655
ERR1912976.39562__1.39562	329854__A0A3E4KZ82__DXD27_06595
ERR1912976.39593__1.39593	671267__R9IB12__C802_00696
ERR1912976.39634__1.39634	360807__A0A0M6WIS4__ROSEINA2194_02000
ERR1912976.39675__1.39675	39491__A0A173VH71__ERS852497_01827
ERR1912976.39682__1.39682	817__F7LJ34__M100_4716
ERR1912976.39699__1.39699	821__A0A3E4KIM1__M097_3660
ERR1912976.39713__1.39713	821__A0A396F1N0__M099_1553
ERR1912976.39721__1.39721	39485__R5ZRT8__gmr_6
ERR1912976.39944__1.39944	487174__K0XG34__HMPREF9448_02234
ERR1912976.40049__1.40049	165179__D1PES9__DXB80_11585
ERR1912976.40103__1.40103	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.40260__1.40260	818__Q8A3A6__Btheta7330_00071
ERR1912976.40469__1.40469	39485__C4Z0S8__hisK
ERR1912976.40716__1.40716	39485__C4Z389__ERS852490_01920
ERR1912976.40719__1.40719	33038__A0A2N5NTT9__ERS852409_01418
ERR1912976.40862__1.40862	821__A6L0C7__ERS852556_03520
ERR1912976.41592__1.41592	2292352__A0A374UJE7__DXC23_11305
ERR1912976.41728__1.41728	39485__R5ZT06__EUBELI_20526
ERR1912976.41800__1.41800	31971__R7G5A8__EUBDOL_00338
ERR1912976.41838__1.41838	853__A0A173T6P2__DWZ46_14595
ERR1912976.41916__1.41916	39485__A0A174ZPJ9__tig_2
ERR1912976.42024__1.42024	1263076__GCA_000437615.1_00117
ERR1912976.42168__1.42168	216816__C5E9A6__mutT4
ERR1912976.42243__1.42243	28052__R7N8Y9__macB_4
ERR1912976.42470__1.42470	39491__A0A3E4YFT8__DXB69_10940
ERR1912976.42579__1.42579	1263076__GCA_000437615.1_00118
ERR1912976.42952__1.42952	1263076__GCA_000437615.1_00079
ERR1912976.43199__1.43199	28052__A0A174MLS2__ERS852451_02445
ERR1912976.43556__1.43556	39485__C4Z355__ERS852490_01971
ERR1912976.43613__1.43613	29361__B6FRT6__CLONEX_02860
ERR1912976.43639__1.43639	821__A0A0P0LJ37__DXB82_14270
ERR1912976.43650__1.43650	1263000__R5ENT6__BN466_00877
ERR1912976.43698__1.43698	165179__A0A174SA26__PREVCOP_05758
ERR1912976.43877__1.43877	1150298__A0A174GJF6__bglX_2
ERR1912976.43892__1.43892	10868__GeneID:1261859
ERR1912976.44027__1.44027	39496__A5Z937__EUBVEN_02230
ERR1912976.44076__1.44076	360807__C0FPV8__RIL183_29891
ERR1912976.44254__1.44254	821__A0A173XDD3__DXB82_17180
ERR1912976.44367__1.44367	40519__U2MCQ8__RUMCAL_00556
ERR1912976.44439__1.44439	360807__C0FNY7__ERS852392_01257
ERR1912976.44473__1.44473	1262743__R5C054__BN727_01980
ERR1912976.44789__1.44789	360807__C0FN02__ERS852392_01841
ERR1912976.44873__1.44873	33038__A0A2N5NRF9__tetC
