ERR1913297.53__1.53	820__A0A139K5A6__DXB48_12175
ERR1913297.2732__1.2732	820__A0A174M9V5__M093_0237
ERR1913297.2799__1.2799	823__A0A174VBJ5__M091_5021
ERR1913297.2759__1.2759	39492__D4JWL2__ERS852540_01201
ERR1913297.2923__1.2923	166486__D4KZY5__ROSINTL182_07635
ERR1913297.2932__1.2932	39485__C4Z6J7__ERS852492_02047
ERR1913297.3004__1.3004	40518__R5DZ16__DXD86_01455
ERR1913297.3013__1.3013	39492__D4JRS7__ERS852540_02076
ERR1913297.3080__1.3080	168384__C6LDD4__BRYFOR_06543
ERR1913297.3182__1.3182	39492__D4JQU6__ERS852540_02194
ERR1913297.3231__1.3231	384639__GCA_003096855.1_01173
ERR1913297.3316__1.3316	39492__D4JUD7__EUBSIR_01877
ERR1913297.3420__1.3420	820__A0A3E4VZY4__ERS852554_01211
ERR1913297.3589__1.3589	39491__A0A173VYV1__DXC13_02710
ERR1913297.3682__1.3682	823__D7IPM3__DER51_17585
ERR1913297.3687__1.3687	39491__A0A396FMF1__EUR_28700
ERR1913297.3693__1.3693	39492__D4JRM9__bglB_2
ERR1913297.3696__1.3696	357276__A0A0M1W1I8__ABI39_13620
ERR1913297.3752__1.3752	39492__D4JX40__EUBSIR_00020
ERR1913297.3939__1.3939	39491__A0A395UWZ1__DXC13_02175
ERR1913297.4014__1.4014	214856__A0A174A1J3__ERS852447_01000
ERR1913297.4057__1.4057	204516__U6RAM4__HMPREF1534_03439
ERR1913297.4106__1.4106	357276__B6W5Q9__HMPREF1063_03125
ERR1913297.4160__1.4160	39492__D4JQP0__ypeB
ERR1913297.4164__1.4164	357276__I9FRW5__B5F95_21685
ERR1913297.4179__1.4179	357276__A0A076ITH2__BSEG_03273
ERR1913297.4353__1.4353	357276__I8WEZ6__BACDOR_02323
ERR1913297.4327__1.4327	853__A0A173SUU8__CGS54_06840
ERR1913297.4378__1.4378	39491__A0A395UZ89__DXB72_12805
ERR1913297.4414__1.4414	28117__B0MXD0__ALIPUT_01669
ERR1913297.4467__1.4467	28118__F9ZAK9__DF785_10030
ERR1913297.4486__1.4486	33039__D4M286__ERS852502_02380
ERR1913297.4528__1.4528	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913297.4544__1.4544	820__A7UYX8__DXD40_11635
ERR1913297.4548__1.4548	301302__A0A0M6WTB1__M72_11101
ERR1913297.4684__1.4684	39492__D4JV86__spoIIE
ERR1913297.4806__1.4806	35833__E5Y1J0__HMPREF0179_00049
ERR1913297.4888__1.4888	39491__A0A395V5R3__EUBREC_1883
ERR1913297.4891__1.4891	301302__R5V631__ERS852420_03369
ERR1913297.4870__1.4870	39492__B0MN61__epsF_2
ERR1913297.5074__1.5074	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913297.5097__1.5097	204516__U6RAL8__HMPREF1534_03434
ERR1913297.5075__1.5075	39492__D4JSA4__ERS852540_00596
ERR1913297.5132__1.5132	357276__I8WPR6__EL88_06675
ERR1913297.5338__1.5338	28111__R5JQQ7__NCTC11155_02278
ERR1913297.5474__1.5474	28116__F7L4X5__M089_2857
ERR1913297.5647__1.5647	39492__D4JTK2__EUBSIR_01439
ERR1913297.5636__1.5636	40518__R5DXW3__DXD86_07900
ERR1913297.5709__1.5709	820__A0A139K024__B5G17_02060
ERR1913297.5834__1.5834	39485__A0A174ZPJ9__tig_2
ERR1913297.5856__1.5856	291644__I9HHY2__HMPREF1071_03364
ERR1913297.5953__1.5953	820__A7V470__HMPREF1072_02076
ERR1913297.6031__1.6031	28052__A0A174YZ18__ERS852499_01382
ERR1913297.6042__1.6042	1550024__G9RWR2__TQ39_04385
ERR1913297.6118__1.6118	1150298__A0A174BP05__murAA
ERR1913297.6207__1.6207	28117__B0MXR4__BHV66_08025
ERR1913297.6277__1.6277	39492__D4JRM9__bglB_2
ERR1913297.6349__1.6349	1262743__R5C7B5__BN727_00586
ERR1913297.6395__1.6395	820__A0A3E4PYB0__yejM
ERR1913297.6439__1.6439	301302__R5UQK8__M72_11501
ERR1913297.6512__1.6512	39492__A0A174ZHV5__msbA_2
ERR1913297.6520__1.6520	820__A0A374Q854__HMPREF1073_03281
ERR1913297.6632__1.6632	853__A8S882__C4N23_07600
ERR1913297.6653__1.6653	39492__R6RYB8__ERS852540_00322
ERR1913297.6683__1.6683	28052__R7NB18__tcrY_2
ERR1913297.6811__1.6811	39492__D4JRR5__ERS852540_02089
ERR1913297.6847__1.6847	357276__I8WEZ6__BACDOR_02323
ERR1913297.6850__1.6850	28052__A0A174MH21__ERS852499_01905
ERR1913297.6979__1.6979	301302__R5UVR7__ERS852420_00118
ERR1913297.6988__1.6988	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913297.7032__1.7032	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913297.7147__1.7147	28052__R7NDD4__ywtF
ERR1913297.7214__1.7214	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913297.7238__1.7238	820__A0A3E5BMG9__DXD40_05130
ERR1913297.7536__1.7536	357276__A0A0K2HJA6__DXD47_07320
ERR1913297.7626__1.7626	28117__B0MZ22__BHV66_04430
ERR1913297.7676__1.7676	820__A0A174F696__macB_13
ERR1913297.7681__1.7681	39492__B0MPL6__EUBSIR_01779
ERR1913297.7780__1.7780	28052__A0A174KGM3__ERS852451_01819
ERR1913297.7784__1.7784	820__A0A1T4IYF4__mprA_1
ERR1913297.7893__1.7893	301302__A0A173TZN3__M72_00321
ERR1913297.7952__1.7952	28052__R7NAP6__ERS852499_01969
ERR1913297.8035__1.8035	823__A0A073I5R7__cloSI
ERR1913297.8139__1.8139	204516__U6RAL8__HMPREF1534_03434
ERR1913297.8275__1.8275	357276__A0A0M1VZP2__IY41_00605
ERR1913297.8410__1.8410	39491__A0A396FRK0__ERS852417_00541
ERR1913297.8464__1.8464	39492__D4JRZ7__smc
ERR1913297.8632__1.8632	706562__GCA_900112995.1_01415
ERR1913297.8586__1.8586	820__A0A139KHX1__HMPREF2141_00289
ERR1913297.8742__1.8742	823__A0A355XKQ8__DHP27_04010
ERR1913297.8762__1.8762	39492__D4JRV7__EUBSIR_01513
ERR1913297.8845__1.8845	39492__D4MJF3__EUBSIR_02248
ERR1913297.8864__1.8864	39492__D4JWY0__EUBSIR_01648
ERR1913297.8919__1.8919	39492__D4JV70__EUBSIR_01253
ERR1913297.8967__1.8967	820__A0A174F0C1__nreB
ERR1913297.9030__1.9030	745368__A0A1T4XUK3__SAMN02745178_02339
ERR1913297.9097__1.9097	357276__C3R5C9__HMPREF1063_00213
ERR1913297.9105__1.9105	166486__D4KWV3__ROSINTL182_07514
ERR1913297.9192__1.9192	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913297.9359__1.9359	239935__A0A2N8I6R6__CXU04_04335
ERR1913297.9437__1.9437	39491__A0A395ZDC6__addB
ERR1913297.9557__1.9557	371601__A0A174AP70__SAMN05216250_110105
ERR1913297.9779__1.9779	649756__D4N1B6__HMPREF0369_02032
ERR1913297.9785__1.9785	39492__D4JTI1__EUBSIR_01463
ERR1913297.9789__1.9789	39492__D4JSU6__dacB_3
ERR1913297.9822__1.9822	39492__A0A174Z2N0__EUBSIR_01615
ERR1913297.9873__1.9873	39492__D4MIX3__ERS852540_01230
ERR1913297.9874__1.9874	1150298__R7JNQ8__ERS852406_00857
ERR1913297.9953__1.9953	2173__A0A1D2WVA1__Msm_0411
ERR1913297.10186__1.10186	626929__F3PKF4__SAMN05444376_0707
ERR1913297.10209__1.10209	360807__A0A173SE91__murR
ERR1913297.10218__1.10218	820__A7UYX8__DXD40_11635
ERR1913297.10242__1.10242	39492__A0A174ZP27__EUBSIR_00033
ERR1913297.10277__1.10277	166486__C7G7A6__ROSINTL182_05773
ERR1913297.10315__1.10315	1263006__R6LYW4__BN515_01529
ERR1913297.10353__1.10353	418240__C6J8M5__yiaD
ERR1913297.10432__1.10432	239935__A0A2N8I9P4__CXT85_05050
ERR1913297.10544__1.10544	39492__D4JWP8__EUBSIR_00699
ERR1913297.10555__1.10555	357276__A0A076ISD9__EL88_07480
ERR1913297.10617__1.10617	39492__B0MNQ2__EUBSIR_01459
ERR1913297.10745__1.10745	166486__D4KZY4__ERS852572_03347
ERR1913297.10810__1.10810	357276__A0A076IXE0__HMPREF1064_04364
ERR1913297.10813__1.10813	820__A0A078STJ8__DXC68_04690
ERR1913297.10827__1.10827	357276__A0A0M1W1I8__ABI39_13620
ERR1913297.10921__1.10921	28052__A0A174JNB2__ERS852499_01122
ERR1913297.10954__1.10954	39492__D4JQU6__ERS852540_02194
ERR1913297.10956__1.10956	39492__R6RT40__prkC_3
ERR1913297.11004__1.11004	384639__GCA_003096855.1_00253
ERR1913297.11040__1.11040	39492__D4JWR6__dnaN
ERR1913297.11068__1.11068	884684__GCA_002892425.1_01408
ERR1913297.11146__1.11146	418240__C6JDJ1__ERS852478_02876
ERR1913297.11181__1.11181	853__A8S882__C4N23_07600
ERR1913297.11183__1.11183	39492__D4JQM9__EUBSIR_00669
ERR1913297.11237__1.11237	820__A0A3E4RUC4__DHU98_02635
ERR1913297.11256__1.11256	39492__D4JU30__EUBSIR_00838
ERR1913297.11324__1.11324	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913297.11311__1.11311	39492__D4JT68__spoIIIE
ERR1913297.11387__1.11387	1262743__R5C7B5__BN727_00586
ERR1913297.11469__1.11469	39491__A0A0M6WWT1__dus_2
ERR1913297.11592__1.11592	1150298__R7JPB1__corA
ERR1913297.11633__1.11633	39491__A0A396FF66__DXD95_01810
ERR1913297.11617__1.11617	40518__R5DSI5__fieF
ERR1913297.11765__1.11765	39492__D4JQU6__ERS852540_02194
ERR1913297.11796__1.11796	39492__D4JT75__EUBSIR_01776
ERR1913297.11805__1.11805	39491__A0A3E4YFT8__DXB69_10940
ERR1913297.11810__1.11810	357276__E5UTL1__HMPREF1065_03551
ERR1913297.11996__1.11996	47678__R5UZM4__DW706_15680
ERR1913297.12142__1.12142	820__A7UYG6__M094_0070
ERR1913297.12073__1.12073	1150298__A0A174KW35__cbbX
ERR1913297.12095__1.12095	39491__A0A396FMT0__EUBREC_3020
ERR1913297.12236__1.12236	39491__A0A396FM36__DXB99_00820
ERR1913297.12249__1.12249	39492__R6RT40__prkC_3
ERR1913297.12279__1.12279	820__A0A174CG08__DXB62_13215
ERR1913297.12479__1.12479	39492__R6SA81__EUBSIR_00402
ERR1913297.12481__1.12481	818__A0A1H7S810__BJP75_003270
ERR1913297.12682__1.12682	166486__D4KV38__ROSINTL182_06841
ERR1913297.12739__1.12739	39491__A0A395ZHV7__ykvU
ERR1913297.12743__1.12743	39491__A0A396FRK0__ERS852417_00541
ERR1913297.12826__1.12826	28111__R5K9F8__BACEGG_01519
ERR1913297.12885__1.12885	28052__R7NB38__ERS852499_00438
ERR1913297.13020__1.13020	39496__A5Z5I2__EUBVEN_00963
ERR1913297.13036__1.13036	1262945__R6YUN7__BN600_01421
ERR1913297.13227__1.13227	1263000__R5EXT3__BN466_02213
ERR1913297.13228__1.13228	1150298__A0A174LLX0__dhaD
ERR1913297.13296__1.13296	239935__A0A139TM51__CXT91_12120
ERR1913297.13336__1.13336	28117__B0MXW9__ALIPUT_01981
ERR1913297.13371__1.13371	39492__D4MMN2__EUBSIR_00964
ERR1913297.13473__1.13473	28111__E5WYC1__BACEGG_00354
ERR1913297.13504__1.13504	39491__A0A395ZHW9__DXC13_02590
ERR1913297.13532__1.13532	40518__R5DVR2__RBL236_00303
ERR1913297.13745__1.13745	1262911__R6H212__BN557_01031
ERR1913297.13859__1.13859	39492__D4JVG1__ERS852540_00951
ERR1913297.13896__1.13896	39492__D4JRM9__bglB_2
ERR1913297.14057__1.14057	39491__A0A3E4E7C5__DXB69_03255
ERR1913297.14042__1.14042	820__R9HUV5__HMPREF2141_02582
ERR1913297.14091__1.14091	818__A0A0P0F391__BJP75_009470
ERR1913297.14111__1.14111	40518__R5DMZ0__DXD83_05610
ERR1913297.14113__1.14113	39492__D4JRM4__tap_5
ERR1913297.14147__1.14147	28111__E5WWI4__HMPREF1016_01032
ERR1913297.14154__1.14154	823__D7IV95__DXC05_09565
ERR1913297.14161__1.14161	39492__D4JVG7__ERS852540_00946
ERR1913297.14347__1.14347	29361__B6FKH5__CLONEX_00621
ERR1913297.14374__1.14374	338188__A0A1Q6HJ51__endOF1_2
ERR1913297.14449__1.14449	357276__I8WFU9__BACDOR_02006
ERR1913297.14514__1.14514	301302__R5ULM4__M72_25081
ERR1913297.14643__1.14643	1150298__A0A174PHI0__ERS852498_00826
ERR1913297.14632__1.14632	357276__I9R002__HMPREF1064_01826
ERR1913297.14701__1.14701	1150298__A0A174DPC6__ERS852535_01374
ERR1913297.14724__1.14724	357276__A0A076IN21__BSEG_03078
ERR1913297.14801__1.14801	39491__C4ZHS4__EUR_24420
ERR1913297.14952__1.14952	821__A0A174WBC9__ERS852556_03145
ERR1913297.15037__1.15037	301302__A0A173S436__M72_16191
ERR1913297.15105__1.15105	338188__R6RT73__HMPREF1057_02828
ERR1913297.15148__1.15148	823__A0A173W1W2__M095_4076
ERR1913297.15162__1.15162	1262911__R6GLA5__BN557_01456
ERR1913297.15261__1.15261	39492__D4JU94__ispE
ERR1913297.15187__1.15187	1263044__GCA_000433375.1_01143
ERR1913297.15327__1.15327	823__A6L9D3__ERS852560_03374
ERR1913297.15332__1.15332	649756__A0A173SUE5__HMPREF0369_00853
ERR1913297.15418__1.15418	39491__A0A395UZ89__DXB72_12805
ERR1913297.15383__1.15383	28052__R7NCN8__ERS852499_00866
ERR1913297.15457__1.15457	39492__R6SA81__EUBSIR_00402
ERR1913297.15580__1.15580	39491__R6UMS6__DXD13_07035
ERR1913297.15628__1.15628	820__A0A173WZS4__DXD90_10250
ERR1913297.15803__1.15803	820__A0A139KIL9__DXC68_05945
ERR1913297.15863__1.15863	39492__D4JRM4__tap_5
ERR1913297.16002__1.16002	204516__U6R8I1__HMPREF1534_03341
ERR1913297.15913__1.15913	853__E2ZGD9__C7J97_11715
ERR1913297.16006__1.16006	820__A0A3E4W9W8__C801_01069
ERR1913297.16162__1.16162	39492__D4JVC7__yfgF
ERR1913297.16215__1.16215	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913297.16227__1.16227	39492__D4JR58__EUBSIR_02090
ERR1913297.16299__1.16299	820__A0A174G065__DXB62_08975
ERR1913297.16304__1.16304	28111__E5X121__BACEGG_03113
ERR1913297.16356__1.16356	28052__A0A174KGM3__ERS852451_01819
ERR1913297.16326__1.16326	39492__D4JRV7__EUBSIR_01513
ERR1913297.16378__1.16378	1262911__R6H0U7__BN557_01104
ERR1913297.16549__1.16549	39492__B0MN61__epsF_2
ERR1913297.16655__1.16655	39492__D4JVC7__yfgF
ERR1913297.16676__1.16676	820__R9I3Q7__HMPREF1072_01668
ERR1913297.16767__1.16767	39492__D4MIY5__EUBSIR_00233
ERR1913297.16899__1.16899	39492__D4JQS6__ykoD
ERR1913297.16884__1.16884	39492__B0MN61__epsF_2
ERR1913297.16987__1.16987	39492__D4JSB6__ERS852540_00627
ERR1913297.17050__1.17050	820__A0A174LJB2__HMPREF1072_04112
ERR1913297.17066__1.17066	39492__D4JWX2__accB
ERR1913297.17097__1.17097	39492__D4JSA4__ERS852540_00596
ERR1913297.17102__1.17102	28052__R7NAP6__ERS852499_01969
ERR1913297.17120__1.17120	820__A0A139KHX1__HMPREF2141_00289
ERR1913297.17132__1.17132	1262743__R5C7B5__BN727_00586
ERR1913297.17141__1.17141	357276__I8WPR6__EL88_06675
ERR1913297.17210__1.17210	39491__D4JM76__DXC13_02150
ERR1913297.17240__1.17240	39491__A0A0M6WPN4__DXB69_06325
ERR1913297.17335__1.17335	39491__C4ZF05__vpr
ERR1913297.17348__1.17348	28052__A0A174MH21__ERS852499_01905
ERR1913297.17444__1.17444	820__A0A374QGD2__ERS852421_02382
ERR1913297.17510__1.17510	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913297.17610__1.17610	39492__D4JV86__spoIIE
ERR1913297.17641__1.17641	28052__R7NA90__tcyB
ERR1913297.17852__1.17852	39491__C4Z9E9__T1815_12341
ERR1913297.17885__1.17885	39492__D4JVG1__ERS852540_00951
ERR1913297.18009__1.18009	28117__B0MTS2__ALIPUT_00159
ERR1913297.18210__1.18210	823__A0A355XP97__M092_2525
ERR1913297.18269__1.18269	28111__E5X121__BACEGG_03113
ERR1913297.18323__1.18323	39491__C4ZCV5__DXB99_11855
ERR1913297.18453__1.18453	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913297.18463__1.18463	820__A0A3E4VZT7__DXB48_16145
ERR1913297.18657__1.18657	820__A0A174A6K0__M093_0079
ERR1913297.18686__1.18686	39492__D4JT87__clpC
ERR1913297.18788__1.18788	39491__A0A395UWA3__DXB69_11805
ERR1913297.18822__1.18822	1262945__R6YP45__BN600_01845
ERR1913297.18994__1.18994	39491__A0A395UZ89__DXB72_12805
ERR1913297.19132__1.19132	357276__B6VXX7__HMPREF1063_02683
ERR1913297.19137__1.19137	357276__A0A0K2HKT7__B5F95_21090
ERR1913297.19158__1.19158	820__A0A3E4RUC4__DHU98_02635
ERR1913297.19166__1.19166	291645__I8XPK0__HMPREF1068_01554
ERR1913297.19277__1.19277	39492__D4JV38__EUBSIR_01205
ERR1913297.19411__1.19411	820__A0A139K1Y6__DXB48_02610
ERR1913297.19466__1.19466	39492__D4JWB3__EUBSIR_00040
ERR1913297.19699__1.19699	1262915__R6HP23__BN574_01084
ERR1913297.19706__1.19706	39491__A0A396FUZ3__phoR_1
ERR1913297.19779__1.19779	820__A0A3E4W9D9__B5G17_12400
ERR1913297.19768__1.19768	39492__D4JX50__EUBSIR_00410
ERR1913297.19769__1.19769	39492__D4JT75__EUBSIR_01776
ERR1913297.19809__1.19809	166486__D4KZP0__ERS852572_00486
ERR1913297.19831__1.19831	246787__A0A3D6AQP8__AA416_04153
ERR1913297.19946__1.19946	39492__D4JV38__EUBSIR_01205
ERR1913297.20191__1.20191	39488__A0A374NKN1__ltaS_2
ERR1913297.20243__1.20243	166486__D4L0E1__ypdA_4
ERR1913297.20256__1.20256	1262945__R6YT88__BN600_00074
ERR1913297.20523__1.20523	39491__A0A395UVM9__DXB76_04540
ERR1913297.20532__1.20532	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913297.20650__1.20650	166486__D4L457__ROSINTL182_07087
ERR1913297.20793__1.20793	1099853__G9S128__NSB1T_01840
ERR1913297.20798__1.20798	40520__A0A395ZVL9__DXD81_13855
ERR1913297.20845__1.20845	39492__D4JWG3__EUBSIR_00308
ERR1913297.20883__1.20883	39492__D4JX87__EUBSIR_00361
ERR1913297.21024__1.21024	39491__A0A395ZBW8__DXC13_08840
ERR1913297.21039__1.21039	823__A0A174VHT1__DHP27_04775
ERR1913297.21100__1.21100	166486__A0A173RAP7__ROSINTL182_07969
ERR1913297.21210__1.21210	1262911__R6GUQ1__BN557_01356
ERR1913297.21236__1.21236	853__A0A2A7B9I6__DW855_13690
ERR1913297.21373__1.21373	820__A0A173YYG4__evgS_3
ERR1913297.21387__1.21387	39491__A0A396FPV7__ERS852580_01177
ERR1913297.21499__1.21499	357276__B6W5Q7__DXD47_13945
ERR1913297.21555__1.21555	39492__D4JRR5__ERS852540_02089
ERR1913297.21578__1.21578	39491__C4ZEW3__T1815_18241
ERR1913297.21644__1.21644	357276__B6VXX7__HMPREF1063_02683
ERR1913297.21670__1.21670	820__A0A374Q8T2__DXB64_16190
ERR1913297.21691__1.21691	39491__A0A395ZG74__licR
ERR1913297.21731__1.21731	39492__D4JWI6__EUBSIR_01073
ERR1913297.21746__1.21746	39492__D4JRY3__EUBSIR_01473
ERR1913297.21858__1.21858	301302__R5UMB9__M72_25011
ERR1913297.21818__1.21818	39492__D4JU30__EUBSIR_00838
ERR1913297.21850__1.21850	39492__D4JVX0__udk
ERR1913297.21932__1.21932	168384__C6LDD4__BRYFOR_06543
ERR1913297.21941__1.21941	39492__D4JUT9__ERS852540_01449
ERR1913297.21890__1.21890	1262743__R5C054__BN727_01980
ERR1913297.22018__1.22018	291644__I9T9Y0__HMPREF1071_01813
ERR1913297.22040__1.22040	39492__A0A174ZP27__EUBSIR_00033
ERR1913297.22094__1.22094	39492__B0MN61__epsF_2
ERR1913297.22120__1.22120	39492__D4JVZ6__truB
ERR1913297.22259__1.22259	28052__A0A174M9U3__ERS852451_02548
ERR1913297.22265__1.22265	820__R9HP61__DXC91_01090
ERR1913297.22544__1.22544	28111__E5WUE7__BACEGG_02087
ERR1913297.22587__1.22587	1897011__A0A1Q6RF88__BHW41_03295
ERR1913297.22629__1.22629	39492__D4JVC7__yfgF
ERR1913297.22716__1.22716	39492__D4JR20__trmD
ERR1913297.22778__1.22778	39485__C4Z0B2__EUBELI_01024
ERR1913297.22815__1.22815	39492__R6RYB8__ERS852540_00322
ERR1913297.22859__1.22859	39492__A0A3D4MN89__nadD
ERR1913297.22869__1.22869	820__A0A374Q351__DXD40_05850
ERR1913297.22881__1.22881	239935__A0A2N8HSC0__CXU06_05505
ERR1913297.23070__1.23070	820__A0A139KEW8__DXB64_06405
ERR1913297.23074__1.23074	39492__D4JS87__EUBSIR_02328
ERR1913297.23096__1.23096	820__A0A174M9V5__M093_0237
ERR1913297.23135__1.23135	820__A0A139JRS5__HMPREF1073_04025
ERR1913297.23148__1.23148	1262743__R5C3K9__BN727_00605
ERR1913297.23163__1.23163	626929__F3PKF0__SAMN05444376_0703
ERR1913297.23180__1.23180	39492__D4JUJ6__ssuB_2
ERR1913297.23189__1.23189	39492__D4JWB3__EUBSIR_00040
ERR1913297.23196__1.23196	28052__R7N8I1__pimB_4
ERR1913297.23276__1.23276	39492__D4JQL8__ywpJ
ERR1913297.23352__1.23352	820__R9HVB9__DXC68_17285
ERR1913297.23451__1.23451	39491__D4JM76__DXC13_02150
ERR1913297.23577__1.23577	39491__C4ZAT2__ERE_28440
ERR1913297.23588__1.23588	626929__F3PKF4__SAMN05444376_0707
ERR1913297.23663__1.23663	39492__D4JSS9__btuF
ERR1913297.23709__1.23709	820__A0A3E4PYB0__yejM
ERR1913297.23764__1.23764	39491__A0A396FRK0__ERS852417_00541
ERR1913297.23786__1.23786	649756__D4MWV5__coaE
ERR1913297.23925__1.23925	39492__D4JQS6__ykoD
ERR1913297.23959__1.23959	853__A0A173RZ39__C4N22_01650
ERR1913297.24053__1.24053	39485__C4Z1Y9__EUBELI_00143
ERR1913297.24092__1.24092	820__A0A174B4N2__M093_2531
ERR1913297.24098__1.24098	820__A0A078S569__gmhB
ERR1913297.24110__1.24110	39491__A0A174EQV2__DXB69_10230
ERR1913297.24471__1.24471	28052__A0A174KGM3__ERS852451_01819
ERR1913297.24484__1.24484	39491__A0A173U130__ERE_16110
ERR1913297.24550__1.24550	357276__C3R5A0__B5F00_02960
ERR1913297.24609__1.24609	301302__R5VFW5__M72_26781
ERR1913297.24722__1.24722	357276__I9FGI3__EL88_12385
ERR1913297.24781__1.24781	823__A0A073I5R7__cloSI
ERR1913297.24955__1.24955	544645__A0A1U7LA11__folK
ERR1913297.25105__1.25105	1150298__R7JPI7__cotI
ERR1913297.25159__1.25159	39492__D4JV86__spoIIE
ERR1913297.25213__1.25213	820__A0A3E5E0T0__ERS852554_00312
ERR1913297.25217__1.25217	189722__E0NQU7__HMPREF0658_0548
ERR1913297.25227__1.25227	820__A0A139K2N9__DXB62_12420
ERR1913297.25246__1.25246	820__A0A3E4XDK3__ERS852554_03650
ERR1913297.25284__1.25284	39492__D4JR43__ERS852540_02379
ERR1913297.25285__1.25285	28116__C3QVY2__SAMN05444282_12234
ERR1913297.25368__1.25368	1150298__R7JT48__gsiA_6
ERR1913297.25449__1.25449	39491__C4ZGN3__DXB99_14175
ERR1913297.25478__1.25478	1262886__R6Q824__BN563_00941
ERR1913297.25487__1.25487	204516__U6RPN2__HMPREF1534_00368
ERR1913297.25553__1.25553	39492__D4JR20__trmD
ERR1913297.25572__1.25572	39492__D4JV48__ERS852540_00852
ERR1913297.25637__1.25637	39492__D4JUS6__accD5
ERR1913297.25694__1.25694	301302__R5UJW6__ERS852420_01698
ERR1913297.25755__1.25755	28052__R7N8Y9__macB_4
