ERR1913043.66__1.66	39491__C4ZF05__vpr
ERR1913043.13733__1.13733	39485__A0A174YMM2__ERS852490_01019
ERR1913043.13950__1.13950	28117__B0MVL2__BHV66_01645
ERR1913043.14023__1.14023	39485__C4Z355__ERS852490_01971
ERR1913043.14041__1.14041	165179__A0A3E5EA43__DXC61_07775
ERR1913043.14075__1.14075	40520__A0A395XAI7__DXB81_16005
ERR1913043.14197__1.14197	39491__A0A396FIZ8__ERE_20410
ERR1913043.14267__1.14267	165179__A0A3E5EAM5__DXC61_07785
ERR1913043.14350__1.14350	39491__A0A396FF66__DXD95_01810
ERR1913043.14585__1.14585	69974__A0A090FEL8__MPL3365_630008
ERR1913043.14573__1.14573	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913043.14668__1.14668	39485__C4Z6R3__mcp2_1
ERR1913043.14653__1.14653	74426__gap
ERR1913043.14736__1.14736	626933__H1DGX0__HMPREF9449_01506
ERR1913043.14868__1.14868	821__A0A395UNT8__DXD64_15275
ERR1913043.14899__1.14899	487173__H1D168__HMPREF9453_01356
ERR1913043.14993__1.14993	853__A0A174AML0__FPR_08640
ERR1913043.15191__1.15191	69974__A0A090FEL8__MPL3365_630008
ERR1913043.15287__1.15287	165179__A0A3E5E8N5__DXC61_13460
ERR1913043.15281__1.15281	165179__A0A174IPI3__CFT61_10940
ERR1913043.15343__1.15343	487173__H1CXF4__HMPREF9453_00042
ERR1913043.15563__1.15563	853__A0A173YYY4__DWZ04_09420
ERR1913043.15687__1.15687	165179__A0A174SA26__PREVCOP_05758
ERR1913043.15725__1.15725	410072__C0BBT6__DXD67_02315
ERR1913043.15814__1.15814	69974__A0A090FEL8__MPL3365_630008
ERR1913043.15901__1.15901	820__A0A078STJ8__DXC68_04690
ERR1913043.15998__1.15998	204516__U6R8Z4__HMPREF1534_03879
ERR1913043.16038__1.16038	1262929__R6F6C8__BN691_01344
ERR1913043.16068__1.16068	69974__A0A090FEL8__MPL3365_630008
ERR1913043.16127__1.16127	165179__A0A3E5AHY4__CFT61_07675
ERR1913043.16153__1.16153	47678__R5U8Y1__BACCAC_02615
ERR1913043.16159__1.16159	165179__A0A3E5E8N5__DXC61_13460
ERR1913043.16171__1.16171	1262992__R5D1H8__BN795_00995
ERR1913043.16174__1.16174	39492__D4JR04__phoU
ERR1913043.16224__1.16224	165179__D1PHC0__PREVCOP_06640
ERR1913043.16321__1.16321	69974__A0A090FEL8__MPL3365_630008
ERR1913043.16309__1.16309	39491__A0A395V297__EUR_01010
ERR1913043.16344__1.16344	1262929__R6EYU3__BN691_00676
ERR1913043.16377__1.16377	1262911__R6GSH0__BN557_00934
ERR1913043.16442__1.16442	165179__D1PHC0__PREVCOP_06640
ERR1913043.16519__1.16519	906669__GeneID:11294463
ERR1913043.16806__1.16806	47678__I9ECI0__HMPREF1061_03742
ERR1913043.16821__1.16821	69974__A0A090FEL8__MPL3365_630008
ERR1913043.16830__1.16830	39491__A0A395V5R3__EUBREC_1883
ERR1913043.16857__1.16857	69974__A0A090FEL8__MPL3365_630008
ERR1913043.16903__1.16903	40518__R5DS23__DXD86_01715
ERR1913043.16974__1.16974	39485__A0A175A403__EUBELI_20577
ERR1913043.17056__1.17056	40518__R5DXH2__DXD83_10135
ERR1913043.17099__1.17099	165179__A0A3E5AFJ9__CFT61_15180
ERR1913043.17078__1.17078	39485__R5ZPP8__EUBELI_20334
ERR1913043.17145__1.17145	165179__A0A3E5DR10__DXC61_03505
ERR1913043.17280__1.17280	853__A0A173T0Y8__CGS54_07215
ERR1913043.17295__1.17295	39485__C4Z1Y9__EUBELI_00143
ERR1913043.17506__1.17506	165179__R6C330__DXC61_04975
ERR1913043.17565__1.17565	1262924__R7HQD4__BN585_02072
ERR1913043.17781__1.17781	165179__D1PGU8__PREVCOP_06463
ERR1913043.17782__1.17782	69974__A0A090FEL8__MPL3365_630008
ERR1913043.17795__1.17795	69974__A0A090FEL8__MPL3365_630008
ERR1913043.17868__1.17868	165179__A0A3E5EAM5__DXC61_07785
ERR1913043.17880__1.17880	1235835__R9LCU2__C814_02677
ERR1913043.17925__1.17925	69974__A0A090FEL8__MPL3365_630008
ERR1913043.17931__1.17931	69974__A0A090FEL8__MPL3365_630008
ERR1913043.17967__1.17967	39491__A0A395V0H6__ERS852580_02570
ERR1913043.17991__1.17991	40518__R5DX31__DXD86_09775
ERR1913043.18066__1.18066	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913043.18069__1.18069	69974__A0A090FEL8__MPL3365_630008
ERR1913043.18094__1.18094	69974__A0A090FEL8__MPL3365_630008
ERR1913043.18099__1.18099	165179__A0A3E5A5E5__DXC61_13965
ERR1913043.18193__1.18193	310298__B3JK49__BACCOP_02273
ERR1913043.18294__1.18294	28116__A7M019__HMPREF1070_01109
ERR1913043.18370__1.18370	1284680__A0A095YTF8__HMPREF1627_10155
ERR1913043.18652__1.18652	88431__A0A3D0EZN6__DORLON_02944
ERR1913043.18766__1.18766	1235835__R9LCU2__C814_02677
ERR1913043.18791__1.18791	1897011__A0A1Q6REU8__BHW41_04300
ERR1913043.18796__1.18796	301302__A0A0M6WZT5__M72_18331
ERR1913043.18822__1.18822	39488__C0EVP9__ERS852450_03163
ERR1913043.18848__1.18848	165179__D1PHD6__DXC61_03380
ERR1913043.18875__1.18875	69974__A0A090FEL8__MPL3365_630008
ERR1913043.18945__1.18945	69974__A0A090FEL8__MPL3365_630008
ERR1913043.18960__1.18960	853__A0A173T751__C4N24_10280
ERR1913043.19168__1.19168	487173__H1CYJ4__HMPREF9453_00432
ERR1913043.19251__1.19251	853__A0A174AML0__FPR_08640
ERR1913043.19444__1.19444	69974__A0A090FEL8__MPL3365_630008
ERR1913043.19418__1.19418	1965555__A0A1Y4S6Z9__B5E77_13380
ERR1913043.19434__1.19434	39491__A0A396FF17__EUR_31400
ERR1913043.19528__1.19528	40518__R5DWQ2__DXD93_03810
ERR1913043.19513__1.19513	1262739__R6MMI4__BN659_01195
ERR1913043.19726__1.19726	165179__A0A3E5AGH1__DXB80_05820
ERR1913043.19815__1.19815	69974__A0A090FEL8__MPL3365_630008
ERR1913043.19833__1.19833	28118__R6F707__B5F99_15665
ERR1913043.19920__1.19920	626933__H1DGX0__HMPREF9449_01506
ERR1913043.19939__1.19939	487173__H1CXT1__HMPREF9453_00169
ERR1913043.19950__1.19950	69974__A0A090FEL8__MPL3365_630008
ERR1913043.19993__1.19993	1965632__A0A1Y4A853__B5F91_11650
ERR1913043.20118__1.20118	204516__U6RFB2__HMPREF1534_01733
ERR1913043.20264__1.20264	29361__B6FTH3__CLONEX_03450
ERR1913043.20307__1.20307	165179__A0A3E5DY64__CFT61_10025
ERR1913043.20393__1.20393	165179__D1PGU8__PREVCOP_06463
ERR1913043.20518__1.20518	1262911__R6GPI7__BN557_00907
ERR1913043.20524__1.20524	165179__A0A3E5A5E5__DXC61_13965
ERR1913043.20559__1.20559	47678__R5UZM4__DW706_15680
ERR1913043.20618__1.20618	204516__U6RDJ3__HMPREF1534_02097
ERR1913043.20643__1.20643	821__A0A0P0L8F8__ERS852509_03705
ERR1913043.20704__1.20704	39485__A0A174Z501__EUBELI_00678
ERR1913043.20798__1.20798	69974__A0A090FEL8__MPL3365_630008
ERR1913043.20826__1.20826	216816__A0A0S2MI06__pepV
ERR1913043.20853__1.20853	39491__A0A396FBR6__DXC13_08575
ERR1913043.20917__1.20917	310298__B3JNH4__BACCOP_03487
ERR1913043.20936__1.20936	820__A0A3E4XM43__DXC91_13960
ERR1913043.20945__1.20945	88431__A0A174A952__ugpA_1
ERR1913043.21128__1.21128	410072__C0B8D2__DXD67_01675
ERR1913043.21253__1.21253	69974__A0A090FEL8__MPL3365_630008
ERR1913043.21257__1.21257	820__A0A1T4IY80__ERS852554_01621
ERR1913043.21330__1.21330	39485__C4Z0R8__EUBELI_01181
ERR1913043.21368__1.21368	69974__A0A090FEL8__MPL3365_630008
ERR1913043.21418__1.21418	40518__R5E2Z2__DXD93_09295
ERR1913043.21405__1.21405	33039__D4M5D2__ERS852424_00738
ERR1913043.21462__1.21462	39491__A0A395V464__EUBREC_1509
ERR1913043.21463__1.21463	165179__A0A3E5EB26__CFT61_02800
ERR1913043.21513__1.21513	1780381__A0A143ZRT2__BN3661_00612
ERR1913043.21546__1.21546	165179__D1PHD6__DXC61_03380
ERR1913043.21548__1.21548	310298__B3JFK5__BACCOP_00655
ERR1913043.21668__1.21668	310298__B3JFQ2__BACCOP_00703
ERR1913043.21699__1.21699	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913043.21760__1.21760	28117__B0MUL5__ALIPUT_00722
ERR1913043.21884__1.21884	69974__A0A090FEL8__MPL3365_630008
ERR1913043.21957__1.21957	165179__D1PHM6__DXC61_06700
ERR1913043.21968__1.21968	69974__A0A090FEL8__MPL3365_630008
ERR1913043.22179__1.22179	39491__A0A396FJJ9__DXB76_11995
ERR1913043.22415__1.22415	821__A0A174K302__CUU_3129
ERR1913043.22514__1.22514	204516__U6R921__HMPREF1534_03932
ERR1913043.22541__1.22541	39491__A0A3E4YFT8__DXB69_10940
ERR1913043.22656__1.22656	69974__A0A090FEL8__MPL3365_630008
ERR1913043.22663__1.22663	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.22789__1.22789	39491__C4ZCH3__EUR_17560
ERR1913043.22898__1.22898	39485__A0A174ZNW9__luxQ_1
ERR1913043.22903__1.22903	853__A0A173XRA8__CGS56_09290
ERR1913043.22905__1.22905	487174__K0XKD7__HMPREF9448_01550
ERR1913043.23073__1.23073	165179__D1PCT4__DXB80_09470
ERR1913043.23077__1.23077	1262924__R7HPZ6__BN585_00681
ERR1913043.23051__1.23051	69974__A0A090FEL8__MPL3365_630008
ERR1913043.23065__1.23065	165179__D1PEQ5__PREVCOP_05711
ERR1913043.23134__1.23134	69974__A0A090FEL8__MPL3365_630008
ERR1913043.23410__1.23410	39491__A0A174M1X5__DXB99_18695
ERR1913043.23419__1.23419	310298__B3JNG7__BACCOP_03480
ERR1913043.23668__1.23668	33039__D4M6E9__ERS852390_02866
ERR1913043.23737__1.23737	853__E2ZGD9__C7J97_11715
ERR1913043.23863__1.23863	39491__A0A395ZBQ4__cph2_2
ERR1913043.23965__1.23965	853__D4JY61__C4N21_10560
ERR1913043.24092__1.24092	853__A0A173T751__C4N24_10280
ERR1913043.24162__1.24162	39491__A0A395ZG74__licR
ERR1913043.24163__1.24163	165179__A0A3E5AGH1__DXB80_05820
ERR1913043.24206__1.24206	820__A0A174M9V5__M093_0237
ERR1913043.24177__1.24177	165179__D1PGU8__PREVCOP_06463
ERR1913043.24242__1.24242	310298__B3JNH3__BACCOP_03486
ERR1913043.24255__1.24255	853__A0A174C5M1__CGS58_04460
ERR1913043.24280__1.24280	40518__R5E6K4__RB5AMG_02070
ERR1913043.24282__1.24282	28117__B0MWP2__ALIPUT_01468
ERR1913043.24288__1.24288	39491__A0A174LTW7__DXD13_08720
ERR1913043.24323__1.24323	649756__B0P0D0__ERS852571_02742
ERR1913043.24388__1.24388	28117__B0MTW8__ALIPUT_00502
ERR1913043.24391__1.24391	820__A0A174B4N2__M093_2531
ERR1913043.24478__1.24478	28117__B0MUR5__BHV66_03900
ERR1913043.24511__1.24511	204516__U6R9H3__HMPREF1534_03348
ERR1913043.24636__1.24636	165179__D1PGU8__PREVCOP_06463
ERR1913043.24723__1.24723	28117__B0MWP2__ALIPUT_01468
ERR1913043.24802__1.24802	1262986__R6A5X9__BN492_01780
ERR1913043.24821__1.24821	204516__U6RFU0__HMPREF1534_02545
ERR1913043.24947__1.24947	69974__A0A090FEL8__MPL3365_630008
ERR1913043.25101__1.25101	1262924__R7HSH9__BN585_00133
ERR1913043.25121__1.25121	39485__A0A174ZA08__EUBELI_01019
ERR1913043.25242__1.25242	1262924__R7HM98__BN585_01697
ERR1913043.25212__1.25212	292800__A0A174QD59__HMPREF9460_00733
ERR1913043.25531__1.25531	820__A0A3E4G8F8__ERS852421_01645
ERR1913043.25536__1.25536	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.25600__1.25600	69974__A0A090FEL8__MPL3365_630008
ERR1913043.25648__1.25648	69974__A0A090FEL8__MPL3365_630008
ERR1913043.25720__1.25720	214856__R6Z320__ERS852447_02148
ERR1913043.25800__1.25800	69974__A0A090FEL8__MPL3365_630008
ERR1913043.25950__1.25950	69974__A0A090FEL8__MPL3365_630008
ERR1913043.26007__1.26007	1535__A7VPZ3__CH238_09615
ERR1913043.26144__1.26144	165179__A0A3E5AHY4__CFT61_07675
ERR1913043.26193__1.26193	39491__A0A173TAZ5__DXB99_09520
ERR1913043.26233__1.26233	39491__C4ZHS4__EUR_24420
ERR1913043.26278__1.26278	69974__A0A090FEL8__MPL3365_630008
ERR1913043.26311__1.26311	165179__A0A3E4SB95__DXC61_13455
ERR1913043.26336__1.26336	100884__E7G990__DXB26_14765
ERR1913043.26406__1.26406	1262913__R7JJ21__BN646_02190
ERR1913043.26491__1.26491	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913043.26475__1.26475	552398__F4XBX2__HMPREF0866_00883
ERR1913043.26520__1.26520	69974__A0A090FEL8__MPL3365_630008
ERR1913043.26811__1.26811	204516__U6RFB2__HMPREF1534_01733
ERR1913043.26909__1.26909	1262924__R7HKP8__BN585_01113
ERR1913043.26935__1.26935	69974__A0A090FEL8__MPL3365_630008
ERR1913043.27065__1.27065	216816__A0A395XZB7__DXD37_04075
ERR1913043.27093__1.27093	69974__A0A090FEL8__MPL3365_630008
ERR1913043.27263__1.27263	69974__A0A090FEL8__MPL3365_630008
ERR1913043.27267__1.27267	310298__B3JK97__BACCOP_02326
ERR1913043.27303__1.27303	487173__H1D3F9__HMPREF9453_02142
ERR1913043.27344__1.27344	28117__R7JIJ8__BHV66_01635
ERR1913043.27458__1.27458	1262743__R5C054__BN727_01980
ERR1913043.27576__1.27576	39491__D6E558__DXB69_00810
ERR1913043.27661__1.27661	310298__B3JPN8__BACCOP_03837
ERR1913043.27645__1.27645	376805__F0R8H8__Bacsa_0435
ERR1913043.27776__1.27776	310298__B3JFS5__BACCOP_00726
ERR1913043.27993__1.27993	487173__H1D020__HMPREF9453_00958
ERR1913043.28002__1.28002	1262924__R7HU74__BN585_00690
ERR1913043.28044__1.28044	39491__A0A173TAZ5__DXB99_09520
ERR1913043.28045__1.28045	310298__B3JI31__BACCOP_01543
ERR1913043.28123__1.28123	626933__H1DGX0__HMPREF9449_01506
ERR1913043.28332__1.28332	39491__A0A173VYV1__DXC13_02710
ERR1913043.28336__1.28336	410072__A0A174LZA3__ERS852389_01302
ERR1913043.28417__1.28417	1628085__A0A2U1B8P2__C7386_11431
ERR1913043.28502__1.28502	165179__A0A3E5A554__DXB80_13805
ERR1913043.28555__1.28555	69974__A0A090FEL8__MPL3365_630008
ERR1913043.28654__1.28654	310298__B3JM32__BACCOP_00571
ERR1913043.28760__1.28760	33039__D4M6E9__ERS852390_02866
ERR1913043.28830__1.28830	1323__A0A3E3E450__DXC78_08235
ERR1913043.28792__1.28792	1535__A7VNP8__CH238_14985
ERR1913043.28903__1.28903	853__A0A2A7B9I6__DW855_13690
ERR1913043.28991__1.28991	165179__A0A174UTZ7__DXC61_06705
ERR1913043.29137__1.29137	69974__A0A090FEL8__MPL3365_630008
ERR1913043.29119__1.29119	69974__A0A090FEL8__MPL3365_630008
ERR1913043.29412__1.29412	853__A0A173T8T3__DW882_06555
ERR1913043.29388__1.29388	165179__A0A3E5AER8__DXB80_07075
ERR1913043.29461__1.29461	853__A0A173XRA8__CGS56_09290
