ERR1913203.14__1.14	239935__A0A2N8IEP3__CXT84_03735
ERR1913203.4988__1.4988	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913203.5053__1.5053	214856__A0A173W3Y5__ERS852559_02032
ERR1913203.5083__1.5083	39492__D4MMN2__EUBSIR_00964
ERR1913203.5220__1.5220	214856__R6XUN2__rcsC_1
ERR1913203.5295__1.5295	214856__R6Z288__ERS852447_00734
ERR1913203.5322__1.5322	239935__A0A2N8IVR0__CXT87_07115
ERR1913203.5336__1.5336	214856__R6Z5D0__resA_4
ERR1913203.5422__1.5422	214856__R6XYY8__ERS852447_01722
ERR1913203.5639__1.5639	214856__A0A175A6T5__ERS852447_02658
ERR1913203.5708__1.5708	1262911__R6GI18__BN557_01377
ERR1913203.6319__1.6319	1501391__GCA_000786575.1_00036
ERR1913203.6342__1.6342	214856__I3YPR6__Alfi_2724
ERR1913203.6413__1.6413	487174__K0XG34__HMPREF9448_02234
ERR1913203.6473__1.6473	239935__A0A2N8HT44__CXT84_11035
ERR1913203.6590__1.6590	239935__R7DVL7__CXT93_01180
ERR1913203.6697__1.6697	214856__R5UN64__ERS852447_02669
ERR1913203.6788__1.6788	214856__I3YPQ9__ERS852447_01370
ERR1913203.6831__1.6831	214856__R6Z7Q9__ERS852447_02172
ERR1913203.6973__1.6973	39492__D4MN06__EUBSIR_02672
ERR1913203.7132__1.7132	818__A0A0P0F7K1__ERS852461_02719
ERR1913203.7068__1.7068	214856__R6Z5D0__resA_4
ERR1913203.7076__1.7076	214856__I3YPQ4__Alfi_2712
ERR1913203.7168__1.7168	214856__I3YPR6__Alfi_2724
ERR1913203.7212__1.7212	214856__R6Z320__ERS852447_02148
ERR1913203.7359__1.7359	357276__C3REQ8__GV66_09740
ERR1913203.7680__1.7680	214856__I3YPN0__ERS852447_01398
ERR1913203.7641__1.7641	1512__G5FB05__CLOSYM_02464
ERR1913203.8044__1.8044	384638__B7APN3__BACPEC_00639
ERR1913203.8176__1.8176	239935__A0A2N8HBM4__CXT85_06270
ERR1913203.8341__1.8341	39492__D4JRZ7__smc
ERR1913203.8354__1.8354	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913203.8355__1.8355	1262882__R5MKV8__BN519_01281
ERR1913203.8509__1.8509	1262882__R5MM90__BN519_01721
ERR1913203.8618__1.8618	487174__R5EP60__DIT83_09045
ERR1913203.8743__1.8743	214856__I3YMN6__Alfi_1938
ERR1913203.8891__1.8891	818__D7I8A4__C799_02600
ERR1913203.8963__1.8963	1262882__R5MSX6__BN519_01697
ERR1913203.8990__1.8990	239935__A0A2N8HUU6__CXT90_06150
ERR1913203.9000__1.9000	214856__R6Z288__ERS852447_00734
ERR1913203.9066__1.9066	214856__R6XNE7__ERS852447_02267
ERR1913203.9161__1.9161	214856__A0A174CRY5__ERS852559_01060
ERR1913203.9212__1.9212	214856__I3YMN6__Alfi_1938
ERR1913203.9308__1.9308	214856__R6XS46__ERS852559_00812
ERR1913203.9328__1.9328	1262882__R5MEN9__BN519_00201
ERR1913203.9423__1.9423	214856__A0A174CRY5__ERS852559_01060
ERR1913203.9631__1.9631	239935__A0A2N8I368__CXT95_04550
ERR1913203.9735__1.9735	1262882__R5MRT2__BN519_01494
ERR1913203.9877__1.9877	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.9970__1.9970	214856__A0A173Z1B0__ERS852447_00765
ERR1913203.10004__1.10004	487174__K0WXG8__DIT83_09300
ERR1913203.10333__1.10333	487174__R5F4K8__HMPREF9448_01532
ERR1913203.10409__1.10409	214856__R6Z4Q8__ERS852447_00885
ERR1913203.10677__1.10677	301302__R5VE75__M72_12161
ERR1913203.10735__1.10735	214856__R6Z4Q8__ERS852447_00885
ERR1913203.10843__1.10843	821__A0A174V2F3__NCTC10583_01474
ERR1913203.10992__1.10992	239935__A0A3F3KBB8__CXU16_06755
ERR1913203.11055__1.11055	301302__A0A0M6WCE2__M72_20161
ERR1913203.11091__1.11091	1262882__R5MXS6__BN519_00286
ERR1913203.11184__1.11184	1897011__A0A1Q6RJI3__BHW41_00255
ERR1913203.11291__1.11291	1262882__R5MGI7__BN519_00643
ERR1913203.11650__1.11650	1262882__R5N5S3__BN519_00085
ERR1913203.11652__1.11652	1262882__R5MS31__BN519_01529
ERR1913203.11656__1.11656	214856__I3YPP9__Alfi_2707
ERR1913203.11734__1.11734	214856__I3YPN9__ERS852447_01389
ERR1913203.11760__1.11760	47678__R5UPZ8__ERS852494_01752
ERR1913203.11797__1.11797	214856__I3YMN6__Alfi_1938
ERR1913203.11867__1.11867	214856__R6XQX8__ERS852559_02550
ERR1913203.11948__1.11948	214856__I3YMN6__Alfi_1938
ERR1913203.11978__1.11978	301302__A0A0M6WF57__M72_22681
ERR1913203.11981__1.11981	1262911__R6H212__BN557_01031
ERR1913203.12090__1.12090	214856__I3YMC8__ERS852447_02666
ERR1913203.12304__1.12304	239935__A0A2N8HT18__CXT93_06135
ERR1913203.12425__1.12425	239935__A0A2N8I390__CXU16_10675
ERR1913203.12728__1.12728	47678__R5U7P3__DXB67_08985
ERR1913203.12770__1.12770	214856__R6Z288__ERS852447_00734
ERR1913203.12812__1.12812	1262882__R5N349__BN519_01037
ERR1913203.12957__1.12957	214856__I3YMN6__Alfi_1938
ERR1913203.12984__1.12984	214856__R6XUN2__rcsC_1
ERR1913203.13075__1.13075	214856__R6YD52__ERS852447_02171
ERR1913203.13162__1.13162	1262911__R6GPA9__BN557_00286
ERR1913203.13271__1.13271	214856__I3YPP9__Alfi_2707
ERR1913203.13361__1.13361	1150298__A0A174IG30__ERS852535_01135
ERR1913203.13374__1.13374	1262911__R6H174__BN557_01246
ERR1913203.13540__1.13540	1262911__R6H174__BN557_01246
ERR1913203.13592__1.13592	214856__I3YPP0__ERS852447_01388
ERR1913203.14000__1.14000	214856__R5UN64__ERS852447_02669
ERR1913203.14016__1.14016	214856__R6XYY8__ERS852447_01722
ERR1913203.14049__1.14049	214856__R5UN64__ERS852447_02669
ERR1913203.14055__1.14055	39485__A0A174ZQ05__EUBELI_01606
ERR1913203.14298__1.14298	821__A0A395UNT8__DXD64_15275
ERR1913203.14306__1.14306	1262882__R5N511__BN519_01592
ERR1913203.14470__1.14470	214856__A0A173YXX1__ERS852559_01651
ERR1913203.14443__1.14443	216816__C5E8I1__yciB
ERR1913203.14596__1.14596	28118__R6FBF6__Odosp_2396
ERR1913203.14752__1.14752	47678__R5UAF6__ERS852494_02966
ERR1913203.14860__1.14860	1501391__GCA_000786575.1_00125
ERR1913203.15230__1.15230	239935__A0A2N8HMQ8__pgsA
ERR1913203.15313__1.15313	487174__K0WRI1__DIT83_06780
ERR1913203.15379__1.15379	39492__B0MPL6__EUBSIR_01779
ERR1913203.15381__1.15381	39485__A0A174YJA4__EUBELI_20421
ERR1913203.15516__1.15516	301301__A0A395VCJ3__cbiT
ERR1913203.15533__1.15533	1262882__R5N5W2__BN519_00074
ERR1913203.15609__1.15609	39496__A5Z5I2__EUBVEN_00963
ERR1913203.15727__1.15727	214856__A0A174CRY5__ERS852559_01060
ERR1913203.16265__1.16265	487174__K0WRZ5__HMPREF9448_02826
ERR1913203.16349__1.16349	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913203.16496__1.16496	853__A0A173XRA8__CGS56_09290
ERR1913203.16543__1.16543	214856__I3YPP3__Alfi_2701
ERR1913203.16613__1.16613	487174__K0WR72__HMPREF9448_02610
ERR1913203.16770__1.16770	214856__A0A174CRY5__ERS852559_01060
ERR1913203.17278__1.17278	487174__K0X068__DDY40_07105
ERR1913203.17348__1.17348	394340__dnaX_1
ERR1913203.17350__1.17350	47678__A5ZBL9__C5Z00_18710
ERR1913203.17503__1.17503	214856__I3YPP3__Alfi_2701
ERR1913203.17610__1.17610	214856__R6YD52__ERS852447_02171
ERR1913203.17640__1.17640	214856__R6XUN2__rcsC_1
ERR1913203.17615__1.17615	1501391__GCA_000786575.1_00087
ERR1913203.17750__1.17750	214856__A0A175A6T5__ERS852447_02658
ERR1913203.17853__1.17853	1262911__R6H1A6__BN557_01286
ERR1913203.18111__1.18111	239935__A0A2N8IUQ8__CXU09_01665
ERR1913203.18141__1.18141	410072__C0BD90__rpoD
ERR1913203.18310__1.18310	214856__I3YPP3__Alfi_2701
ERR1913203.18404__1.18404	818__A0A3E5HVB7__Btheta7330_02386
ERR1913203.18481__1.18481	1262882__R5N511__BN519_01592
ERR1913203.18504__1.18504	214856__I3YMC8__ERS852447_02666
ERR1913203.18580__1.18580	1262882__R5N1T9__BN519_00804
ERR1913203.18663__1.18663	1262882__R5N1M9__BN519_00768
ERR1913203.18686__1.18686	214856__R6YD52__ERS852447_02171
ERR1913203.18791__1.18791	649756__L1Q1Y2__DO83_04045
ERR1913203.18792__1.18792	1262882__R5MKV8__BN519_01281
ERR1913203.18995__1.18995	214856__A0A174EQR4__rsmA
ERR1913203.19067__1.19067	239935__A0A3F3K985__CXT98_05805
ERR1913203.19135__1.19135	410072__C0B9G6__ERS852481_03113
ERR1913203.19226__1.19226	214856__A0A174CRY5__ERS852559_01060
ERR1913203.19395__1.19395	239935__A0A139TMG9__CXU07_10650
ERR1913203.19377__1.19377	214856__R6YD52__ERS852447_02171
ERR1913203.19749__1.19749	214856__R6Z186__ERS852447_00718
ERR1913203.19807__1.19807	47678__A5ZL09__BACCAC_03608
ERR1913203.19822__1.19822	214856__R6YD52__ERS852447_02171
ERR1913203.19988__1.19988	1262882__R5MLK3__BN519_00491
ERR1913203.19989__1.19989	214856__A0A175A6T5__ERS852447_02658
ERR1913203.20155__1.20155	214856__I3YPI7__pepD_1
ERR1913203.20170__1.20170	214856__A0A175A6T5__ERS852447_02658
ERR1913203.20185__1.20185	214856__R6XP73__ERS852447_00886
ERR1913203.20410__1.20410	239935__A0A2N8HZW2__A4V05_11120
ERR1913203.20411__1.20411	239935__A0A139TQT9__Amuc_1197
ERR1913203.20371__1.20371	47678__R5UPZ8__ERS852494_01752
ERR1913203.20455__1.20455	214856__I3YPP3__Alfi_2701
ERR1913203.20632__1.20632	239935__A0A2N8IMC9__CXU09_02095
ERR1913203.20612__1.20612	39492__D4JT87__clpC
ERR1913203.20618__1.20618	1262882__R5N1L4__BN519_00757
ERR1913203.20687__1.20687	39492__D4JT68__spoIIIE
ERR1913203.20698__1.20698	28118__F9ZB50__Odosp_2374
ERR1913203.21011__1.21011	214856__I3YPP9__Alfi_2707
ERR1913203.21239__1.21239	214856__R6Z7Q9__ERS852447_02172
ERR1913203.21317__1.21317	487174__K0WRR5__DDY40_06130
ERR1913203.21467__1.21467	214856__I3YPP0__ERS852447_01388
ERR1913203.21518__1.21518	239935__A0A2N8IMD6__CXU03_05585
ERR1913203.21560__1.21560	214856__R6YBX3__msbA_2
ERR1913203.21566__1.21566	39492__D4MJF3__EUBSIR_02248
ERR1913203.21593__1.21593	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.21712__1.21712	214856__R6XKT4__ERS852559_01719
ERR1913203.21886__1.21886	214856__R6XP73__ERS852447_00886
ERR1913203.22088__1.22088	2022527__A0A264Y8R9__CHL74_05250
ERR1913203.22021__1.22021	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913203.22453__1.22453	214856__R6Z288__ERS852447_00734
ERR1913203.22485__1.22485	239935__A0A139TM51__CXT91_12120
ERR1913203.22709__1.22709	214856__R6Y7P0__ERS852447_00307
ERR1913203.22636__1.22636	214856__D4IMT6__Alfi_1830
ERR1913203.22813__1.22813	1501391__GCA_000786575.1_00068
ERR1913203.22788__1.22788	214856__I3YMN6__Alfi_1938
ERR1913203.22796__1.22796	1262899__R7JDI7__BN657_00045
ERR1913203.22850__1.22850	1262882__R5MIQ8__BN519_01036
ERR1913203.23077__1.23077	39492__D4JR43__ERS852540_02379
ERR1913203.23142__1.23142	1262882__R5MIW5__BN519_00945
ERR1913203.23345__1.23345	214856__A0A174ZLW6__ERS852559_01424
ERR1913203.23475__1.23475	1318__I1ZK58__CYK20_05565
ERR1913203.23628__1.23628	214856__I3YPN0__ERS852447_01398
ERR1913203.23676__1.23676	214856__A0A174EQR4__rsmA
ERR1913203.23703__1.23703	1150298__A0A174HXS4__ERS852498_00503
ERR1913203.23863__1.23863	1262882__R5MN65__BN519_00771
ERR1913203.23902__1.23902	301302__R5VEI6__cysA_2
ERR1913203.23917__1.23917	818__A0A139L1D5__BT_2967
ERR1913203.24008__1.24008	214856__R6Z186__ERS852447_00718
ERR1913203.24021__1.24021	214856__I3YPN5__Alfi_2693
ERR1913203.24434__1.24434	39496__A5Z5I2__EUBVEN_00963
ERR1913203.24511__1.24511	239935__A0A2N8IFA0__CXT92_02050
ERR1913203.24622__1.24622	214856__I3YPP3__Alfi_2701
ERR1913203.24624__1.24624	1262882__R5MMD8__BN519_01576
ERR1913203.24627__1.24627	1262882__R5MJZ4__BN519_01269
ERR1913203.24571__1.24571	818__Q8A5L6__BT_2223
ERR1913203.24596__1.24596	487174__K0WVG2__DDY40_00285
ERR1913203.24678__1.24678	1262882__R5N5W2__BN519_00074
ERR1913203.24757__1.24757	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913203.25259__1.25259	39492__D4JTF2__mutS2
ERR1913203.25333__1.25333	214856__R6XUN2__rcsC_1
ERR1913203.25351__1.25351	1262882__R5MHZ2__BN519_00742
ERR1913203.25357__1.25357	214856__A0A174EQR4__rsmA
ERR1913203.25488__1.25488	1501391__GCA_000786575.1_00006
ERR1913203.25594__1.25594	214856__R6XUN2__rcsC_1
ERR1913203.25624__1.25624	214856__I3YMN6__Alfi_1938
ERR1913203.25684__1.25684	1262882__R5MGX3__BN519_00046
ERR1913203.25693__1.25693	1262882__R5MRS7__BN519_01490
ERR1913203.25729__1.25729	214856__I3YPP0__ERS852447_01388
ERR1913203.25930__1.25930	214856__R6Z288__ERS852447_00734
ERR1913203.25943__1.25943	216816__D6ZXY6__BL105A_0298
ERR1913203.26118__1.26118	214856__R6Z288__ERS852447_00734
ERR1913203.26315__1.26315	214856__I3YPR5__ERS852447_01364
ERR1913203.26401__1.26401	1263005__R6EPZ6__BN497_00298
ERR1913203.26475__1.26475	214856__R5UN64__ERS852447_02669
ERR1913203.26497__1.26497	301302__R5UNC5__M72_02681
ERR1913203.26538__1.26538	1262882__R5ML49__BN519_01361
ERR1913203.26644__1.26644	1262882__R5MN65__BN519_00771
ERR1913203.26712__1.26712	214856__R6XUN2__rcsC_1
ERR1913203.26683__1.26683	214856__R6YBX3__msbA_2
ERR1913203.27036__1.27036	214856__I3YPP0__ERS852447_01388
ERR1913203.27248__1.27248	818__A0A3E5HK02__BSIG_1732
ERR1913203.27339__1.27339	28118__F9ZBW3__Odosp_3541
ERR1913203.27463__1.27463	328814__GCA_004558275.1_00993
ERR1913203.27476__1.27476	328814__GCA_004558275.1_01005
ERR1913203.27496__1.27496	1965576__A0A1Y4LKT1__B5F19_04630
ERR1913203.27601__1.27601	214856__I3YPI7__pepD_1
ERR1913203.27645__1.27645	214856__R6XQX8__ERS852559_02550
ERR1913203.27731__1.27731	214856__A0A173YXX1__ERS852559_01651
ERR1913203.27737__1.27737	487174__K0WV13__DIT83_10890
ERR1913203.27857__1.27857	1262882__R5N3T7__BN519_01188
ERR1913203.27962__1.27962	487174__K0X488__HMPREF9448_00323
ERR1913203.28015__1.28015	39492__B0MS79__ERS852540_01394
ERR1913203.28120__1.28120	487174__K0X1D9__HMPREF9448_00919
ERR1913203.28210__1.28210	214856__R5UN64__ERS852447_02669
ERR1913203.28515__1.28515	301302__R5V4M3__ERS852420_01171
ERR1913203.28663__1.28663	214856__A0A174ZLW6__ERS852559_01424
ERR1913203.28753__1.28753	1262882__R5N1N6__BN519_00968
ERR1913203.29206__1.29206	214856__A0A174CRY5__ERS852559_01060
ERR1913203.29326__1.29326	214856__R6XUN2__rcsC_1
ERR1913203.29400__1.29400	745368__A0A1T4WAW2__SAMN02745178_00328
ERR1913203.29626__1.29626	214856__I3YPN0__ERS852447_01398
ERR1913203.29685__1.29685	1262882__R5N0J9__BN519_00773
ERR1913203.29889__1.29889	214856__R6Y6H8__ERS852447_01719
ERR1913203.29958__1.29958	39491__A0A395V5L2__ERE_28270
ERR1913203.30019__1.30019	39492__A0A174ZHV5__msbA_2
ERR1913203.30031__1.30031	1262882__R5MIC9__BN519_00834
ERR1913203.30377__1.30377	1262882__R5MQ68__BN519_01178
ERR1913203.30354__1.30354	1262882__R5N1R4__BN519_00788
ERR1913203.30496__1.30496	239935__A0A139TPG3__CXT86_08810
ERR1913203.30535__1.30535	214856__R6XUN2__rcsC_1
ERR1913203.30819__1.30819	357276__B6VT86__IY41_22515
ERR1913203.30993__1.30993	487174__K0XA48__DDY40_03955
ERR1913203.31008__1.31008	1262882__R5MIQ8__BN519_01036
ERR1913203.31251__1.31251	39492__D4JWY0__EUBSIR_01648
ERR1913203.31310__1.31310	239935__A0A2N8I6R6__CXU04_04335
ERR1913203.31432__1.31432	214856__I3YPI7__pepD_1
ERR1913203.31479__1.31479	1501391__GCA_000786575.1_00154
ERR1913203.31596__1.31596	214856__A0A174EQR4__rsmA
ERR1913203.31619__1.31619	214856__R6Z590__ERS852447_01059
ERR1913203.31646__1.31646	1262882__R5MGS8__BN519_00565
ERR1913203.31667__1.31667	214856__I3YMC8__ERS852447_02666
ERR1913203.31884__1.31884	214856__A0A174EQR4__rsmA
ERR1913203.31913__1.31913	239935__A0A2N8J2P6__ADH72_06730
ERR1913203.32232__1.32232	214856__R6XNE7__ERS852447_02267
ERR1913203.32235__1.32235	1262882__R5N004__BN519_00490
ERR1913203.32489__1.32489	291645__I8WZT8__HMPREF1068_04327
ERR1913203.32491__1.32491	214856__I3YMC8__ERS852447_02666
ERR1913203.32911__1.32911	214856__R6Y1K2__ERS852447_02306
ERR1913203.32983__1.32983	1262882__R5MZ58__BN519_00525
ERR1913203.32992__1.32992	1501391__GCA_000786575.1_00055
ERR1913203.33058__1.33058	214856__R6XP73__ERS852447_00886
ERR1913203.33011__1.33011	214856__I3YPP3__Alfi_2701
ERR1913203.33075__1.33075	239935__R6JD78__CXU05_09250
ERR1913203.33156__1.33156	1262882__R5N349__BN519_01037
ERR1913203.33253__1.33253	214856__R6Z5D0__resA_4
ERR1913203.33447__1.33447	1262882__R5N345__BN519_01034
ERR1913203.33467__1.33467	214856__R6XS46__ERS852559_00812
ERR1913203.33468__1.33468	301302__A0A173V3Z4__ecfA1_3
ERR1913203.33492__1.33492	214856__R6XKT4__ERS852559_01719
ERR1913203.33570__1.33570	853__A0A173XRA8__CGS56_09290
ERR1913203.33618__1.33618	239935__A0A2N8IF99__lpdA
ERR1913203.33673__1.33673	214856__R6Z5D0__resA_4
ERR1913203.33687__1.33687	214856__I3YMN6__Alfi_1938
ERR1913203.33701__1.33701	214856__R6Y2Y4__ERS852447_01086
ERR1913203.33791__1.33791	214856__R6Y6H8__ERS852447_01719
ERR1913203.33818__1.33818	214856__R6XKT4__ERS852559_01719
ERR1913203.34044__1.34044	487174__K0WX28__HMPREF9448_02178
ERR1913203.33995__1.33995	214856__I3YPP9__Alfi_2707
ERR1913203.34159__1.34159	239935__A0A2N8HT44__CXT84_11035
ERR1913203.34305__1.34305	1262882__R5MIC9__BN519_00834
ERR1913203.34534__1.34534	214856__A0A174H3U9__ERS852559_00612
ERR1913203.34579__1.34579	239935__R6IZU4__CXT87_08085
ERR1913203.34706__1.34706	239935__A0A139TQT9__Amuc_1197
ERR1913203.34714__1.34714	214856__R6Z4Q8__ERS852447_00885
ERR1913203.34930__1.34930	328814__GCA_004558275.1_00073
ERR1913203.35066__1.35066	214856__A0A174AYS4__ERS852447_01192
ERR1913203.35174__1.35174	1262882__R5MSX6__BN519_01697
ERR1913203.35184__1.35184	1501391__GCA_000786575.1_00028
ERR1913203.35291__1.35291	301302__A0A0M6WYL6__ERS852420_02628
ERR1913203.35743__1.35743	214856__I3YMC8__ERS852447_02666
ERR1913203.35764__1.35764	818__A0A0P0FC49__C799_02008
ERR1913203.35973__1.35973	1262882__R5MKL9__BN519_00353
ERR1913203.35981__1.35981	371601__C3R2J2__ERS852396_04353
ERR1913203.36057__1.36057	1235835__R9LCU2__C814_02677
ERR1913203.36070__1.36070	214856__A0A174EJT5__mnmA
ERR1913203.36119__1.36119	214856__R6XYY8__ERS852447_01722
ERR1913203.36153__1.36153	214856__I3YMN6__Alfi_1938
ERR1913203.36169__1.36169	239935__A0A3F3K9J9__DEF40_00940
ERR1913203.36519__1.36519	214856__R6Z288__ERS852447_00734
ERR1913203.36730__1.36730	328814__GCA_004558275.1_00025
ERR1913203.36734__1.36734	214856__R6YD52__ERS852447_02171
ERR1913203.36763__1.36763	214856__R5UN64__ERS852447_02669
ERR1913203.36780__1.36780	487174__K0XA11__DDY40_03585
ERR1913203.37146__1.37146	239935__A0A2N8HAQ1__DEF40_05290
ERR1913203.37321__1.37321	47678__R5UT83__DW706_09750
ERR1913203.37336__1.37336	47678__R5UPZ8__ERS852494_01752
ERR1913203.37807__1.37807	239935__A0A2N8I3G2__CXT89_00720
ERR1913203.37828__1.37828	214856__R6Y6H8__ERS852447_01719
ERR1913203.37910__1.37910	239935__A0A2N8ILG3__CXT93_10135
ERR1913203.38159__1.38159	552398__F4XHN6__HMPREF0866_03140
ERR1913203.38357__1.38357	239935__A0A2N8IYM5__CXT84_05130
ERR1913203.38416__1.38416	410072__A0A173Y4Y6__ERS852389_02300
ERR1913203.38428__1.38428	214856__I3YK71__ERS852559_02472
ERR1913203.38471__1.38471	1150298__R7JXH6__mecR1
ERR1913203.38561__1.38561	214856__I3YPP3__Alfi_2701
ERR1913203.38572__1.38572	1262882__R5MLT4__BN519_01496
ERR1913203.38578__1.38578	214856__R6Z3P8__ERS852559_01737
ERR1913203.38615__1.38615	1262882__R5N0F4__BN519_00593
ERR1913203.38695__1.38695	214856__R6Y8K1__ERS852447_02509
ERR1913203.38703__1.38703	1262882__R5N0Q5__BN519_00642
ERR1913203.38663__1.38663	1262882__R5N3H1__BN519_01121
ERR1913203.38837__1.38837	214856__R6XRA1__vatD_3
ERR1913203.38794__1.38794	1262911__R6GPA9__BN557_00286
ERR1913203.38800__1.38800	214856__I3YPN3__ERS852447_01395
ERR1913203.38804__1.38804	1262882__A0A356PSJ4__BN519_01180
ERR1913203.39119__1.39119	214856__I3YPN0__ERS852447_01398
ERR1913203.39174__1.39174	1150298__A0A174DX06__ERS852498_00491
ERR1913203.39346__1.39346	301302__A0A173R6H4__M72_21671
ERR1913203.39426__1.39426	214856__R6XS46__ERS852559_00812
ERR1913203.39388__1.39388	214856__R6Z320__ERS852447_02148
ERR1913203.39471__1.39471	154046__A0A3E4U775__DXC88_28530
ERR1913203.39529__1.39529	214856__A0A174CRY5__ERS852559_01060
ERR1913203.39593__1.39593	487174__R5F4K8__HMPREF9448_01532
ERR1913203.39690__1.39690	214856__A0A174CRY5__ERS852559_01060
ERR1913203.39665__1.39665	33039__D4M0J9__ERS852577_03924
ERR1913203.39819__1.39819	214856__I3YMB7__Alfi_1811
ERR1913203.39845__1.39845	1262882__R5N3H1__BN519_01121
ERR1913203.39905__1.39905	818__A0A139KQP8__BJP75_006755
ERR1913203.39914__1.39914	214856__A0A175A6T5__ERS852447_02658
ERR1913203.39976__1.39976	214856__I3YPQ0__ERS852447_01379
ERR1913203.40091__1.40091	291645__I8WZT8__HMPREF1068_04327
ERR1913203.40205__1.40205	47678__R5UAF6__ERS852494_02966
ERR1913203.40282__1.40282	214856__R6XNE7__ERS852447_02267
ERR1913203.40402__1.40402	239935__A0A2N8IJI1__B5G29_04615
ERR1913203.40438__1.40438	1262882__R5MGI7__BN519_00643
ERR1913203.40471__1.40471	214856__D4IMT6__Alfi_1830
ERR1913203.40569__1.40569	487174__K0XRP0__DDY40_09260
ERR1913203.40601__1.40601	214856__I3YPP1__Alfi_2699
ERR1913203.40675__1.40675	1262882__R5MSI5__BN519_01596
ERR1913203.40635__1.40635	214856__R5UN64__ERS852447_02669
ERR1913203.40830__1.40830	1262882__R5N532__BN519_01420
ERR1913203.40861__1.40861	214856__R6XQX8__ERS852559_02550
ERR1913203.40877__1.40877	214856__R6Z288__ERS852447_00734
ERR1913203.40935__1.40935	1235835__R9LCU2__C814_02677
ERR1913203.41067__1.41067	1262882__R5MKU2__BN519_01271
ERR1913203.41109__1.41109	214856__A0A174CRY5__ERS852559_01060
ERR1913203.41146__1.41146	214856__R6XP73__ERS852447_00886
ERR1913203.41234__1.41234	214856__I3YPP9__Alfi_2707
ERR1913203.41263__1.41263	1262882__R5MKV8__BN519_01281
ERR1913203.41270__1.41270	1150298__A0A174PC05__ERS852498_00682
ERR1913203.41299__1.41299	214856__R6Y2Y4__ERS852447_01086
ERR1913203.41309__1.41309	33039__R6PZ42__mprA_2
ERR1913203.41384__1.41384	214856__R5UN64__ERS852447_02669
