ERR1913220.32__1.32	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913220.4005__1.4005	357276__C3RDQ5__HMPREF1065_03827
ERR1913220.4189__1.4189	239935__R7DVW2__CXU02_03915
ERR1913220.4247__1.4247	1263006__R6LLQ1__BN515_01046
ERR1913220.4423__1.4423	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913220.4346__1.4346	74426__thrZ
ERR1913220.4530__1.4530	1304__A0A1W5ZCY0__CKU37_03270
ERR1913220.4604__1.4604	39492__A0A174ZP27__EUBSIR_00033
ERR1913220.4611__1.4611	820__A0A174DZ97__SAMN05444418_101240
ERR1913220.4722__1.4722	1263006__R6MLU5__BN515_01014
ERR1913220.4763__1.4763	1263107__GCA_000436995.1_00032
ERR1913220.4898__1.4898	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913220.5137__1.5137	357276__I8WEY2__ABI39_04185
ERR1913220.5322__1.5322	1262911__R6H2J2__BN557_01228
ERR1913220.5453__1.5453	1262882__R5N4P6__BN519_01346
ERR1913220.5526__1.5526	820__A0A174VD39__DXD90_12235
ERR1913220.5621__1.5621	1263006__R6LWP7__BN515_00823
ERR1913220.5848__1.5848	1160721__R6U304__BHW50_05725
ERR1913220.5851__1.5851	820__A0A139JUD3__DXC91_19380
ERR1913220.5866__1.5866	1309__A0A0E2ESC9__SMU78_04273
ERR1913220.5872__1.5872	360807__C0FVT5__RIL183_27241
ERR1913220.5926__1.5926	1262700__R5XBD0__BN695_00459
ERR1913220.6001__1.6001	1263006__R6MPG9__BN515_01866
ERR1913220.5979__1.5979	1680__A0A087DSA4__B5789_0495
ERR1913220.6020__1.6020	1681__A0A0H2PEL3__BBTM_00625
ERR1913220.6248__1.6248	357276__A0A1Y3ZD00__B5F00_16730
ERR1913220.6254__1.6254	823__A0A355XLT7__HMPREF1075_03402
ERR1913220.6344__1.6344	357276__I9R994__BACDOR_04044
ERR1913220.6542__1.6542	820__A0A174QT76__B5G17_18060
ERR1913220.6663__1.6663	552398__F4XCQ4__HMPREF0866_01621
ERR1913220.6788__1.6788	1358__A0A0V8CSF5__DRA4_1172
ERR1913220.6936__1.6936	820__A0A139K5A6__DXB48_12175
ERR1913220.7064__1.7064	1262911__R6GPM2__BN557_00937
ERR1913220.7070__1.7070	1681__K2HRF5__B0156_0361
ERR1913220.7088__1.7088	1550024__G9RVD5__ASJ35_04350
ERR1913220.7155__1.7155	28116__A0A1Y4Q367__ERS852555_04706
ERR1913220.7504__1.7504	357276__I9R002__HMPREF1064_01826
ERR1913220.7511__1.7511	1263006__R6LR21__BN515_00462
ERR1913220.7423__1.7423	1262911__R6H2J2__BN557_01228
ERR1913220.7588__1.7588	2173__A0A1D2WT15__BK798_04490
ERR1913220.7686__1.7686	1681__A0A0H2PRA3__DXC55_01735
ERR1913220.7712__1.7712	1262911__R6HN81__BN557_00921
ERR1913220.7914__1.7914	1550024__A0A0D8J0Y8__ASJ35_08680
ERR1913220.8070__1.8070	1681__I3WJE2__DXC50_07465
ERR1913220.8085__1.8085	1550024__A0A3B9WKW6__TQ39_07780
ERR1913220.8402__1.8402	46503__R6Y0Q3__DCY29_15880
ERR1913220.8491__1.8491	1318__A0A0F3H5H2__HMPREF9626_0677
ERR1913220.8593__1.8593	820__A0A3E4W980__M093_3873
ERR1913220.8636__1.8636	47770__C7XI67__B6C82_06025
ERR1913220.8667__1.8667	820__A0A139KJR5__M093_4469
ERR1913220.8967__1.8967	100884__E7G7V1__HMPREF9488_00839
ERR1913220.9083__1.9083	1680__A0A173XYA2__B0703_0121
ERR1913220.9339__1.9339	1262911__R6H1J5__BN557_00905
ERR1913220.9426__1.9426	246787__A0A3D6AYV2__BcellWH2_03647
ERR1913220.9522__1.9522	1624__A0A089QH34__B6U42_07040
ERR1913220.9771__1.9771	1550024__A0A0W7TT94__TQ39_11150
ERR1913220.9783__1.9783	820__A0A139JUD3__DXC91_19380
ERR1913220.10452__1.10452	853__A0A2A7B1Y7__C7K05_11930
ERR1913220.10549__1.10549	357276__A0A076IXE0__HMPREF1064_04364
ERR1913220.10620__1.10620	1262882__R5MLP5__BN519_01602
ERR1913220.10753__1.10753	97478__A0A099YAE6__LBLM1_00620
ERR1913220.10820__1.10820	1263006__R6LSL5__BN515_00102
ERR1913220.10830__1.10830	301301__G2SZM0__ERS852391_00594
ERR1913220.11007__1.11007	239935__A0A2N8IG27__CXT85_07805
ERR1913220.11210__1.11210	671232__A0A2T0GDK1__CYK13_04515
ERR1913220.11219__1.11219	239935__A0A2N8J2P6__ADH72_06730
ERR1913220.11501__1.11501	820__A0A3E4GA19__SAMN05444418_10562
ERR1913220.11525__1.11525	1624__A0A385XMD6__DBP87_06675
ERR1913220.11551__1.11551	712121__L1PLX8__HMPREF9061_00068
ERR1913220.11640__1.11640	1550024__G9RTA6__TQ39_10970
ERR1913220.11646__1.11646	820__A0A174KKV6__DXC07_02635
ERR1913220.11812__1.11812	1897011__A0A1Q6RIP3__BHW41_00615
ERR1913220.11988__1.11988	820__A0A3E4W6P0__gmhA
ERR1913220.11929__1.11929	821__A0A173XDD3__DXB82_17180
ERR1913220.12091__1.12091	1965576__A0A1Y4L957__B5F19_12580
ERR1913220.12146__1.12146	1547597__A0A318N8J3__IE90_11545
ERR1913220.12381__1.12381	1262911__R6H2J2__BN557_01228
ERR1913220.12344__1.12344	1262911__R6H2J2__BN557_01228
ERR1913220.12542__1.12542	1263006__R6LXR8__BN515_01161
ERR1913220.12564__1.12564	1358__S6FJW9__LMG8526_0816
ERR1913220.12663__1.12663	1550024__G9RZN9__ASJ35_05735
ERR1913220.12667__1.12667	1628085__A0A3E2XST6__C7386_11832
ERR1913220.12669__1.12669	227942__H4GIB2__PS3_10163
ERR1913220.12675__1.12675	357276__B6VXX7__HMPREF1063_02683
ERR1913220.12729__1.12729	1262911__R6HN87__BN557_00926
ERR1913220.12733__1.12733	1550024__A0A3B9WJ68__TQ39_07150
ERR1913220.12736__1.12736	357276__I9R1V6__DXD47_04125
ERR1913220.12990__1.12990	227942__H4GKT1__FC60_GL000170
ERR1913220.13462__1.13462	820__A0A139K4W5__HMPREF2141_02394
ERR1913220.13492__1.13492	357276__A0A076INK2__BSEG_04225
ERR1913220.13603__1.13603	1624__F7QS65__A8C45_05765
ERR1913220.13611__1.13611	301301__A0A395VA63__sbcC
ERR1913220.13621__1.13621	357276__A0A076IRZ5__BACDOR_00630
ERR1913220.13628__1.13628	1263006__R6LMG0__BN515_01213
ERR1913220.13753__1.13753	1624__A0A385XKT2__A8C55_09245
ERR1913220.13769__1.13769	821__A0A174NVL6__NCTC10583_01782
ERR1913220.13789__1.13789	1382__Z4X0V7__Apar_0871
ERR1913220.13976__1.13976	227942__H4GHQ3__PS3_10173
ERR1913220.14071__1.14071	820__A0A174DZ97__SAMN05444418_101240
ERR1913220.14391__1.14391	357276__I9FGI3__EL88_12385
ERR1913220.14423__1.14423	1680__A0A0C2YPV2__AL0462_1474
ERR1913220.14609__1.14609	820__R9HP61__DXC91_01090
ERR1913220.14662__1.14662	357276__I9G0T7__BACDOR_04266
ERR1913220.14675__1.14675	820__A7UYX8__DXD40_11635
ERR1913220.14795__1.14795	28118__R6FX99__Odosp_1660
ERR1913220.14834__1.14834	820__A0A3E4WA06__ERS852554_03404
ERR1913220.14919__1.14919	1262882__R5MLA4__BN519_01536
ERR1913220.15026__1.15026	1262924__R7HRJ9__BN585_00557
ERR1913220.15149__1.15149	46503__R6Y837__PARMER_03866
ERR1913220.15518__1.15518	1681__E4V837__BBNG_00326
ERR1913220.15652__1.15652	1550024__G9RWC0__ASJ35_03560
ERR1913220.15657__1.15657	69974__A0A090FEL8__MPL3365_630008
ERR1913220.15668__1.15668	820__A0A3E4W984__pssA
ERR1913220.15857__1.15857	820__A0A3E4G493__ERS417307_00253
ERR1913220.16018__1.16018	1263006__R6LVS1__BN515_01927
ERR1913220.16159__1.16159	357276__A0A0K2HG61__BACDOR_02028
ERR1913220.16166__1.16166	1262911__R6H1D2__BN557_00855
ERR1913220.16210__1.16210	239935__A0A2N8HS88__CXU19_12255
ERR1913220.16337__1.16337	301301__G2SX14__RHOM_09085
ERR1913220.16429__1.16429	552398__F4XCQ4__HMPREF0866_01621
ERR1913220.16460__1.16460	1263006__R6LH13__BN515_01020
ERR1913220.16734__1.16734	1262882__R5MYX5__BN519_00333
ERR1913220.16739__1.16739	1263006__R6LXG0__BN515_01067
ERR1913220.16823__1.16823	357276__A0A076INK2__BSEG_04225
ERR1913220.16829__1.16829	1681__A0A3E4TVZ7__DD715_06415
ERR1913220.16896__1.16896	357276__I9FGI3__EL88_12385
ERR1913220.16958__1.16958	39486__B0G7N0__DXC93_07990
ERR1913220.17089__1.17089	74426__nifJ
ERR1913220.17230__1.17230	301301__A0A395V3C0__mcpC_6
ERR1913220.17310__1.17310	239935__A0A139TPD8__CXU12_11015
ERR1913220.17370__1.17370	167481__A0A0R1QRA6__FD29_GL000703
ERR1913220.17420__1.17420	1099853__R7DMC8__NSB1T_00120
ERR1913220.17468__1.17468	1263006__R6LPZ5__BN515_02090
ERR1913220.17542__1.17542	239935__B2UNC5__B5G29_07685
ERR1913220.17601__1.17601	1262882__R5MHZ2__BN519_00742
ERR1913220.17753__1.17753	1550024__A0A0D8J3J4__TQ39_01275
ERR1913220.17768__1.17768	1624__A0A385XMD2__BUE87_00105
ERR1913220.17872__1.17872	239935__A0A2N8IVK9__CXU08_03750
ERR1913220.17947__1.17947	1262911__R6GS70__BN557_00854
ERR1913220.17963__1.17963	301301__A0A395V928__RHOM_04950
ERR1913220.18024__1.18024	820__A0A174CK74__DXB48_07060
ERR1913220.18056__1.18056	1263006__R6LT09__BN515_01035
ERR1913220.18113__1.18113	820__A7V470__HMPREF1072_02076
ERR1913220.18273__1.18273	818__Q8A335__HMPREF2534_01154
ERR1913220.18369__1.18369	1262882__R5N4P6__BN519_01346
ERR1913220.18387__1.18387	1681__A0A0H2P0H2__IF232_0799
ERR1913220.18594__1.18594	1550024__A0A3B9WI04__ASJ35_06105
ERR1913220.18612__1.18612	820__A7V9F9__B5G17_14640
ERR1913220.18713__1.18713	1262882__R5MSX6__BN519_01697
ERR1913220.18772__1.18772	1358__A0A166J899__IV65_GL000263
ERR1913220.18977__1.18977	357276__A0A076ITU4__EL88_22160
ERR1913220.19015__1.19015	1262882__R5N3T7__BN519_01188
ERR1913220.19114__1.19114	1681__U2CEB2__RY70_929
ERR1913220.19298__1.19298	384638__B7AT14__BACPEC_01282
ERR1913220.19357__1.19357	301301__A0A395V714__evgS
ERR1913220.19493__1.19493	1263107__GCA_000436995.1_00117
ERR1913220.19509__1.19509	1263006__R6LT09__BN515_01035
ERR1913220.19561__1.19561	820__A0A3E4VXP2__yesR
ERR1913220.19591__1.19591	820__A0A174LJB2__HMPREF1072_04112
ERR1913220.19688__1.19688	1262911__R6GI18__BN557_01377
ERR1913220.19739__1.19739	227942__H4GK86__FC60_GL000826
ERR1913220.19821__1.19821	239935__A0A2N8I6R6__CXU04_04335
ERR1913220.19827__1.19827	1624__A0A385XNV3__FC55_GL000164
ERR1913220.19775__1.19775	1263006__R6LJG8__BN515_01754
ERR1913220.19850__1.19850	820__A0A3E5E0T0__ERS852554_00312
ERR1913220.19867__1.19867	227943__C8P5P8__HMPREF0494_0640
ERR1913220.19885__1.19885	301301__A0A395VA49__RHOM_13895
ERR1913220.20016__1.20016	820__A7V470__HMPREF1072_02076
ERR1913220.20120__1.20120	1263006__R6LQB0__BN515_02150
ERR1913220.20298__1.20298	552398__T5S086__HMPREF0866_01580
ERR1913220.20365__1.20365	1263000__R5ESM1__BN466_01440
ERR1913220.20529__1.20529	820__A0A174B4N2__M093_2531
ERR1913220.20556__1.20556	1262911__R6H212__BN557_01031
ERR1913220.20731__1.20731	239935__R7DVL7__CXT93_01180
ERR1913220.20777__1.20777	39492__D4JRY3__EUBSIR_01473
ERR1913220.20964__1.20964	1547597__A0A0C3RAN4__IE90_14660
ERR1913220.20992__1.20992	823__A0A355XJT5__ERS852429_03504
ERR1913220.21104__1.21104	1550024__G9RWR2__TQ39_04385
ERR1913220.21298__1.21298	820__A0A3E4RTP0__C801_01067
ERR1913220.21422__1.21422	40518__R5E4X1__DXD93_05270
ERR1913220.21750__1.21750	1160721__R6UA13__BHW50_07285
ERR1913220.21815__1.21815	1263006__R6LY93__BN515_00695
ERR1913220.21836__1.21836	1550024__A0A3B9WI73__ASJ35_03410
ERR1913220.22041__1.22041	1263006__R6LLP6__BN515_01041
ERR1913220.22046__1.22046	1262911__R6GI18__BN557_01377
ERR1913220.22086__1.22086	1681__A0A151CA41__DD699_04945
ERR1913220.22098__1.22098	1550024__A0A0W7TQU7__TQ39_10940
ERR1913220.22136__1.22136	1624__A0A385XQY9__DBP87_04400
ERR1913220.22301__1.22301	820__A0A374Q351__DXD40_05850
ERR1913220.22389__1.22389	357276__I8WEY2__ABI39_04185
ERR1913220.22750__1.22750	1262911__R6H074__BN557_00923
ERR1913220.22816__1.22816	1262911__R6GMD8__BN557_01647
ERR1913220.22969__1.22969	1550024__A0A0W7TTP8__TQ39_06385
ERR1913220.22977__1.22977	1263006__R6LR21__BN515_00462
ERR1913220.23073__1.23073	357276__I9FGI3__EL88_12385
ERR1913220.23091__1.23091	1262882__R5MIQ8__BN519_01036
ERR1913220.23146__1.23146	1262882__R5MRS7__BN519_01490
ERR1913220.23594__1.23594	418240__A0A173WPF0__spoIIIAE
ERR1913220.23602__1.23602	301302__A0A173UN64__manA_2
ERR1913220.23637__1.23637	1263000__R5EUG9__BN466_01476
ERR1913220.24067__1.24067	357276__E5UTL1__HMPREF1065_03551
ERR1913220.24138__1.24138	1680__A0A174BEE7__BSTER_1311
ERR1913220.24145__1.24145	1262911__R6H2B5__BN557_01151
ERR1913220.24224__1.24224	239935__R6JCH3__CXT95_08205
ERR1913220.24384__1.24384	357276__I9FTR0__HMPREF1065_02861
ERR1913220.24479__1.24479	39485__A0A174ZG70__ERS852492_00929
ERR1913220.24557__1.24557	158787__A0A087DH48__BSCA_1493
ERR1913220.24676__1.24676	1584__Q1GAB0__addB
ERR1913220.24700__1.24700	562__A0A377AAV3__CDL32_10800
ERR1913220.24877__1.24877	1550024__A0A3B9WIB6__TQ39_08435
ERR1913220.24978__1.24978	301301__A0A395VA63__sbcC
ERR1913220.25178__1.25178	239935__A0A2N8IEP3__CXT84_03735
ERR1913220.25260__1.25260	100886__A0A174HSW5__supH
ERR1913220.25405__1.25405	39490__A0A173SEG7__HMPREF0373_01168
ERR1913220.25506__1.25506	1765219__A0A261GCU6__BEUL_0658
ERR1913220.25569__1.25569	1263000__R5ER22__BN466_01180
ERR1913220.25607__1.25607	2173__A0A1D2WVF8__Msm_1030
ERR1913220.25622__1.25622	239935__A0A139TPD4__CXT86_06450
ERR1913220.25745__1.25745	745368__A0A1T4Y5S3__SAMN02745178_02736
ERR1913220.25746__1.25746	1624__A0A1Y0F5M4__B6U50_07200
ERR1913220.25773__1.25773	106588__A6P303__BACCAP_04887
ERR1913220.25997__1.25997	820__I9J701__ERS852510_01809
ERR1913220.26189__1.26189	1263006__R6LXG0__BN515_01067
ERR1913220.26231__1.26231	354260__GeneID:1260677
ERR1913220.26435__1.26435	88431__A0A3D0EXT6__ERS852423_01007
ERR1913220.26457__1.26457	216816__V6XY04__APK78_02285
ERR1913220.26773__1.26773	1550024__G9RNN5__TQ39_03430
ERR1913220.26795__1.26795	40518__R5DU38__DXD83_06770
ERR1913220.26813__1.26813	1681__D4QAP5__CJD48_05740
ERR1913220.26820__1.26820	1262882__R5MZZ3__BN519_00482
ERR1913220.26957__1.26957	1681__A0A0E2Z6S2__BBBF_0158
ERR1913220.27234__1.27234	1681__E4V837__BBNG_00326
ERR1913220.27466__1.27466	214856__I3YPN0__ERS852447_01398
ERR1913220.27561__1.27561	1550024__G9RZG5__TQ39_11180
ERR1913220.27539__1.27539	357276__C3RA36__HMPREF1065_03270
ERR1913220.27619__1.27619	239935__A0A2N8IMC3__CXT96_03840
ERR1913220.27675__1.27675	239935__A0A2N8HPS5__Amuc_0950
ERR1913220.27795__1.27795	301301__A0A395VC12__RHOM_04160
ERR1913220.28078__1.28078	35833__E5Y477__HMPREF0179_00988
ERR1913220.28110__1.28110	1550024__G9RQ59__TQ39_14360
ERR1913220.28150__1.28150	74426__thrZ
ERR1913220.28410__1.28410	818__A0A0P0FLN9__NCTC13706_01794
ERR1913220.28481__1.28481	626933__H1DGX0__HMPREF9449_01506
ERR1913220.28697__1.28697	1263006__R6LLP6__BN515_01041
ERR1913220.29020__1.29020	301302__R5UIY5__M72_17461
ERR1913220.29112__1.29112	357276__I9R994__BACDOR_04044
ERR1913220.29151__1.29151	1262911__R6GT76__BN557_01150
ERR1913220.29355__1.29355	301301__A0A395V6S0__dosP
ERR1913220.29390__1.29390	1160721__W0U7T4__BHW50_09645
ERR1913220.29400__1.29400	1681__E4VCD3__BIFI_0514
ERR1913220.29541__1.29541	301302__A0A173TWC1__phoR_7
ERR1913220.29608__1.29608	68892__E8K1B0__NCTC13771_01189
ERR1913220.29641__1.29641	357276__A0A076IXE0__HMPREF1064_04364
ERR1913220.29649__1.29649	40518__R5DR72__RBL236_02110
ERR1913220.29676__1.29676	1262882__R5MND9__BN519_00831
ERR1913220.29685__1.29685	40518__R5DXI4__DXD86_07420
ERR1913220.29840__1.29840	1262911__R6GS70__BN557_00854
ERR1913220.29894__1.29894	1550024__A0A0D8J659__TQ39_00125
ERR1913220.29950__1.29950	1550024__A0A0D8J0K7__TQ39_06245
ERR1913220.29977__1.29977	357276__I8WEY2__ABI39_04185
ERR1913220.30215__1.30215	1680__A0A0B5BME4__DXD63_05015
ERR1913220.30145__1.30145	301301__A0A395VDE1__ERS852391_03099
ERR1913220.30522__1.30522	1550024__A0A0W7TTP8__TQ39_06385
ERR1913220.30590__1.30590	1624__H7G0J2__B6U52_05715
ERR1913220.30641__1.30641	239935__A0A2N8HHY4__DEF40_10850
ERR1913220.30663__1.30663	239935__A0A2N8I3Z7__CXU05_10555
ERR1913220.30829__1.30829	1099853__G9S6U1__NSB1T_01770
ERR1913220.30851__1.30851	1624__A0A385XKA4__A8C55_06075
ERR1913220.30925__1.30925	1263006__R6LPZ5__BN515_02090
ERR1913220.30957__1.30957	151539__GeneID:920463
ERR1913220.31146__1.31146	1263000__R5EXT3__BN466_02213
ERR1913220.31153__1.31153	556259__I0PYM3__BSGG_5385
ERR1913220.31295__1.31295	301301__A0A395VCJ3__cbiT
ERR1913220.31775__1.31775	1262911__R6GT76__BN557_01150
ERR1913220.32207__1.32207	114416__GeneID:951193
ERR1913220.32239__1.32239	33043__A8SPT5__yfiN_2
ERR1913220.32169__1.32169	1624__A0A2A2X0P2__SMXD51_02933
ERR1913220.32301__1.32301	2107999__A0A1Y0E5B7__LJCM1130_18430
ERR1913220.32343__1.32343	706562__GCA_900112995.1_00569
ERR1913220.32547__1.32547	1624__Q1WRR9__A8C45_02380
ERR1913220.32634__1.32634	40518__R5DQR9__DXD83_00030
ERR1913220.32606__1.32606	116085__D4JAR2__DW747_11385
ERR1913220.32806__1.32806	820__A0A174G065__DXB62_08975
ERR1913220.32847__1.32847	1263006__R6M0F1__BN515_00198
ERR1913220.32904__1.32904	227942__H4GJU6__PS3_17517
ERR1913220.33075__1.33075	28118__F9ZC62__DF785_13495
ERR1913220.33218__1.33218	418240__A0A174AX68__ERS852478_00844
ERR1913220.33348__1.33348	1432052__A0A1E3AY78__BEI62_20790
ERR1913220.33384__1.33384	820__A0A3E4WCX3__C801_02709
ERR1913220.33429__1.33429	820__A0A3E4W980__M093_3873
ERR1913220.33526__1.33526	1262911__R6GMD8__BN557_01647
ERR1913220.33530__1.33530	1550024__G9RTA6__TQ39_10970
ERR1913220.33603__1.33603	1262911__R6H2J2__BN557_01228
ERR1913220.33677__1.33677	820__R9I3Q7__HMPREF1072_01668
ERR1913220.33649__1.33649	357276__I9FTR0__HMPREF1065_02861
ERR1913220.33864__1.33864	35833__E5YAA4__HMPREF0179_03124
ERR1913220.33932__1.33932	239935__A0A2N8J1K0__CXT97_05765
ERR1913220.34023__1.34023	74426__group_4823
ERR1913220.34130__1.34130	1262882__R5N5D7__BN519_01676
ERR1913220.34163__1.34163	1550024__G9RW43__TQ39_06925
ERR1913220.34141__1.34141	1550024__G9RNN7__TQ39_03420
ERR1913220.34235__1.34235	1624__A0A1Y3C014__A8C44_09960
ERR1913220.34324__1.34324	301301__A0A395V573__RHOM_13925
ERR1913220.34423__1.34423	1624__F7QVZ7__A8C52_08820
ERR1913220.34622__1.34622	47770__A0A109DE35__AEL95_06150
ERR1913220.34730__1.34730	762210__A0A087D248__BISA_2349
ERR1913220.34684__1.34684	1099853__G9S6Y8__NSB1T_06345
ERR1913220.34737__1.34737	40520__A0A396G1I4__DXB81_08365
ERR1913220.34816__1.34816	39488__A0A174BSK2__ERS852450_01031
ERR1913220.34840__1.34840	1263107__GCA_000436995.1_00021
ERR1913220.35106__1.35106	820__A0A1T4IYF4__mprA_1
ERR1913220.35285__1.35285	1624__A0A385XQT6__B6U46_02745
ERR1913220.35455__1.35455	1263006__R6LLQ1__BN515_01046
ERR1913220.35477__1.35477	1624__A0A385XNP0__A8C54_05230
ERR1913220.35480__1.35480	626940__E8LCM1__HMPREF9443_00590
ERR1913220.35552__1.35552	239935__A0A2N8HX65__CXU17_02540
ERR1913220.35583__1.35583	1262911__R6GPI7__BN557_00907
ERR1913220.35838__1.35838	357276__C3R9Y0__HMPREF1064_01889
ERR1913220.35890__1.35890	239935__A0A2N8IKW7__pstA
ERR1913220.35858__1.35858	1550024__A0A3B9WEL2__TQ39_11090
ERR1913220.35895__1.35895	40518__R5DN55__RBATCC27255_01652
ERR1913220.35955__1.35955	39491__D4JMW8__ERS852497_01971
ERR1913220.36088__1.36088	1680__A0A173W5Z2__DXC53_01290
ERR1913220.36243__1.36243	1262911__R6GPI7__BN557_00907
ERR1913220.36295__1.36295	651609__E6KTR0__srtB
ERR1913220.36318__1.36318	563769__GeneID:6972918
ERR1913220.36463__1.36463	820__A0A396EUU8__luxQ_3
ERR1913220.36464__1.36464	40518__R5E4X1__DXD93_05270
ERR1913220.36457__1.36457	820__A0A3E4IGA7__DXD40_07110
ERR1913220.36498__1.36498	820__A0A174A6K0__M093_0079
ERR1913220.36571__1.36571	820__A0A173YYG4__evgS_3
ERR1913220.36516__1.36516	1262992__R5DC96__BN795_01524
ERR1913220.36690__1.36690	28117__B0MT86__BHV66_02450
ERR1913220.36860__1.36860	1099853__R7DMW0__NSB1T_11540
ERR1913220.36996__1.36996	1262882__R5MS31__BN519_01529
ERR1913220.37014__1.37014	357276__A0A076IP73__BACDOR_04237
ERR1913220.37020__1.37020	100886__A0A174M1X1__CATMIT_00960
ERR1913220.37058__1.37058	1358__P0A4N7__CRM88_09405
ERR1913220.37453__1.37453	1262882__R5MKW1__BN519_00390
ERR1913220.37726__1.37726	1681__E4VB90__DXD45_06585
ERR1913220.37997__1.37997	552398__T5S086__HMPREF0866_01580
ERR1913220.37976__1.37976	74426__nifJ
ERR1913220.38104__1.38104	820__A0A374Q854__HMPREF1073_03281
ERR1913220.38158__1.38158	301301__G2T0P1__RHOM_03005
ERR1913220.38391__1.38391	301302__R5UUM8__ganB_1
ERR1913220.38451__1.38451	357276__I9FRW5__B5F95_21685
ERR1913220.38410__1.38410	29361__B6FLM7__CLONEX_01049
ERR1913220.38617__1.38617	820__A0A139KH21__DXC80_01780
ERR1913220.38623__1.38623	357276__I9QWD4__DXD47_15075
ERR1913220.38662__1.38662	649756__D4MX84__ERS852520_02352
ERR1913220.38702__1.38702	40518__R5DNY7__RBATCC27255_00367
ERR1913220.38789__1.38789	820__A0A174KKV6__DXC07_02635
ERR1913220.38891__1.38891	820__A0A174R952__DXB48_02570
ERR1913220.39060__1.39060	357276__I9FGI3__EL88_12385
ERR1913220.39083__1.39083	853__A0A3E2V168__FAEPRAM212_00929
ERR1913220.39122__1.39122	820__A0A374Q1D8__SAMN05444418_112114
ERR1913220.39222__1.39222	1358__D2BMK7__KF146_0304
ERR1913220.39489__1.39489	357276__I8WC65__EL88_00520
ERR1913220.39500__1.39500	357276__D1JYA3__BSEG_00395
ERR1913220.39538__1.39538	357276__A0A076IS73__GV66_00410
ERR1913220.39547__1.39547	552398__T5S086__HMPREF0866_01580
ERR1913220.39814__1.39814	1263000__R5EKG2__BN466_02040
ERR1913220.39850__1.39850	40518__R5E8B6__RB5AMG_00876
ERR1913220.39868__1.39868	820__A0A174KKV6__DXC07_02635
ERR1913220.39886__1.39886	1358__A0A2X0R7K7__N489_11020
ERR1913220.40054__1.40054	239935__A0A2N8IRL2__CXU06_01170
ERR1913220.40015__1.40015	158787__A0A087DBK3__BBSC_0336
ERR1913220.40140__1.40140	357276__A0A076IYE6__IY41_04275
