ERR1913201.51__1.51	39488__A0A174DGL6__EUBHAL_03262
ERR1913201.4846__1.4846	166486__A0A173V5I7__ERS852572_02640
ERR1913201.4940__1.4940	821__A0A174NVL6__NCTC10583_01782
ERR1913201.4958__1.4958	28026__A0A396BA17__DXC83_09095
ERR1913201.4971__1.4971	649756__A0A173S795__DO83_12945
ERR1913201.4987__1.4987	387090__S0F4T3__BACCOPRO_00681
ERR1913201.5214__1.5214	45851__D4RYA4__BHV86_02030
ERR1913201.5473__1.5473	853__E2ZJT1__C4N23_03535
ERR1913201.5557__1.5557	357276__A0A076ISD9__EL88_07480
ERR1913201.5619__1.5619	820__A0A174A6K0__M093_0079
ERR1913201.5654__1.5654	410072__A0A174DJM1__DXD67_05275
ERR1913201.5661__1.5661	166486__D4KYW5__ROSINTL182_05595
ERR1913201.5757__1.5757	28128__A0A133Q734__HMPREF3226_01546
ERR1913201.5833__1.5833	301302__R5UMB9__M72_25011
ERR1913201.5843__1.5843	39492__D4JWT3__ERS852540_00301
ERR1913201.5925__1.5925	357276__B6W1Y1__BSEG_03960
ERR1913201.5975__1.5975	40520__R7D8F5__DXC87_14065
ERR1913201.5985__1.5985	820__A0A3E4VZF8__C801_00319
ERR1913201.6077__1.6077	820__A0A174A6K0__M093_0079
ERR1913201.6158__1.6158	357276__I9QWN0__ABI39_00335
ERR1913201.6161__1.6161	1235835__R9LCU2__C814_02677
ERR1913201.6227__1.6227	1862668__GCA_001945525.1_00031
ERR1913201.6262__1.6262	821__D4VD59__BHV80_04260
ERR1913201.6339__1.6339	820__E5VEH7__ERS852459_01300
ERR1913201.6460__1.6460	1150298__A0A174L6T3__cobD
ERR1913201.6498__1.6498	329854__R5MA67__DXD27_19320
ERR1913201.6499__1.6499	820__A0A174B4N2__M093_2531
ERR1913201.6520__1.6520	821__A0A173XDD3__DXB82_17180
ERR1913201.6720__1.6720	216816__F9XZU5__BBL306_1935
ERR1913201.6773__1.6773	410072__C0BER6__DXD67_15575
ERR1913201.6775__1.6775	166486__D4KRN9__ERS852572_01822
ERR1913201.6877__1.6877	387661__B7B704__B5F96_16210
ERR1913201.6886__1.6886	166486__C7GAX1__ERS852572_03188
ERR1913201.7099__1.7099	301302__R5UPH9__M72_00521
ERR1913201.7154__1.7154	216816__U2TWA1__DD678_00805
ERR1913201.7205__1.7205	166486__D4L082__yicI_5
ERR1913201.7243__1.7243	820__R9HP61__DXC91_01090
ERR1913201.7272__1.7272	410072__C0B9G6__ERS852481_03113
ERR1913201.7278__1.7278	47678__R5UER2__CGC64_00710
ERR1913201.7324__1.7324	1262743__R5C054__BN727_01980
ERR1913201.7346__1.7346	821__C6ZAA5__ERS852556_00403
ERR1913201.7524__1.7524	329854__R5M596__BACINT_00973
ERR1913201.7547__1.7547	74426__nifJ
ERR1913201.7639__1.7639	1263107__GCA_000436995.1_00177
ERR1913201.8086__1.8086	853__A0A173YYY4__DWZ04_09420
ERR1913201.8046__1.8046	410072__A0A174K186__ERS852481_00847
ERR1913201.8157__1.8157	820__A0A173YYG4__evgS_3
ERR1913201.8237__1.8237	1628085__A0A374VV54__C7386_11332
ERR1913201.8249__1.8249	46503__R6WTN6__PARMER_00136
ERR1913201.8266__1.8266	47678__R5UA23__C5Z00_15610
ERR1913201.8406__1.8406	166486__D4L284__ERS852572_01651
ERR1913201.8397__1.8397	47678__R5U558__ERS852558_02232
ERR1913201.8516__1.8516	47678__R5UAF6__ERS852494_02966
ERR1913201.8607__1.8607	33039__D4M1V4__RTO_04530
ERR1913201.8680__1.8680	821__D4VC51__M099_1508
ERR1913201.8790__1.8790	820__A0A139K1Y6__DXB48_02610
ERR1913201.8760__1.8760	33039__D4M379__selB
ERR1913201.8786__1.8786	823__A0A395YQ63__B5F32_15335
ERR1913201.8826__1.8826	46503__R6X0R5__DXB85_12380
ERR1913201.8880__1.8880	39496__A5Z3T7__EUBVEN_00339
ERR1913201.8841__1.8841	821__A0A174T998__DXB82_10860
ERR1913201.8845__1.8845	821__A0A395UNT8__DXD64_15275
ERR1913201.8918__1.8918	214856__A0A174G9T6__ERS852447_02535
ERR1913201.9039__1.9039	387090__S0FC76__BACCOPRO_03238
ERR1913201.9219__1.9219	821__A0A174JYD3__ERS852457_02610
ERR1913201.9223__1.9223	357276__A0A0K2HKT7__B5F95_21090
ERR1913201.9330__1.9330	410072__A0A174QU55__luxQ
ERR1913201.9427__1.9427	1628085__A0A2U1BHS7__C7386_101494
ERR1913201.9381__1.9381	216816__C5EC66__tcrA
ERR1913201.9462__1.9462	1735__B7CCF3__EUBIFOR_01880
ERR1913201.9489__1.9489	28116__C3R1N5__SAMN05444282_12443
ERR1913201.9513__1.9513	1501391__GCA_000786575.1_00152
ERR1913201.9583__1.9583	39491__A0A396FEW6__T1815_18721
ERR1913201.9655__1.9655	165179__A0A3E5DX33__PREVCOP_05190
ERR1913201.9853__1.9853	820__A0A174QT76__B5G17_18060
ERR1913201.9934__1.9934	821__A6L0C7__ERS852556_03520
ERR1913201.9910__1.9910	166486__D4L337__msbA_4
ERR1913201.9916__1.9916	818__A0A174VV39__BT_3492
ERR1913201.9971__1.9971	387090__S0FA01__BACCOPRO_02772
ERR1913201.9973__1.9973	823__A6LHK0__M090_1297
ERR1913201.10188__1.10188	39496__A5ZA25__EUBVEN_02572
ERR1913201.10204__1.10204	821__A0A395UNT8__DXD64_15275
ERR1913201.10298__1.10298	216816__C2GSX7__DD678_03555
ERR1913201.10409__1.10409	1262743__R5C054__BN727_01980
ERR1913201.10415__1.10415	47678__A5ZEA3__ERS852558_00257
ERR1913201.10590__1.10590	1262936__R7J5M9__BN799_00277
ERR1913201.10646__1.10646	820__A0A174LJB2__HMPREF1072_04112
ERR1913201.11026__1.11026	166486__D4KV38__ROSINTL182_06841
ERR1913201.11162__1.11162	329854__R5M1Z6__BACINT_04643
ERR1913201.11181__1.11181	556259__I0PXW0__BSGG_5187
ERR1913201.11356__1.11356	47678__R5U9Z0__HMPREF1061_03210
ERR1913201.11469__1.11469	823__A0A073IAS1__M091_0201
ERR1913201.11482__1.11482	1262743__R5C054__BN727_01980
ERR1913201.11575__1.11575	166486__C7GCP5__ROSINTL182_07683
ERR1913201.11617__1.11617	823__A0A355XJ56__DDY96_07685
ERR1913201.11639__1.11639	853__A0A173T6P2__DWZ46_14595
ERR1913201.11692__1.11692	1262922__R6E8I4__BN487_00257
ERR1913201.11696__1.11696	166486__D4L255__mcp4_5
ERR1913201.11858__1.11858	216816__D6DD25__APC1482_1109
ERR1913201.12169__1.12169	853__A0A2A7A4A9__C4N21_14870
ERR1913201.12339__1.12339	821__A0A396F598__CUU_3259
ERR1913201.12361__1.12361	33039__D4M0J9__ERS852577_03924
ERR1913201.12363__1.12363	820__E5VA63__DXC80_01025
ERR1913201.12511__1.12511	357276__B6VW91__BACDOR_01584
ERR1913201.12571__1.12571	1262536__GeneID:16385454
ERR1913201.12909__1.12909	74426__nifJ
ERR1913201.12936__1.12936	1628085__A0A1C5ZVV6__C7386_11323
ERR1913201.13058__1.13058	33039__D4M149__ERS852390_03118
ERR1913201.13096__1.13096	820__A0A3E4QZJ7__C801_01798
ERR1913201.13200__1.13200	821__A0A396F9T7__M097_3427
ERR1913201.13214__1.13214	387090__S0F4F9__BACCOPRO_00490
ERR1913201.13385__1.13385	360807__C0FZM4__RIL183_06871
ERR1913201.13529__1.13529	28116__A0A1Y4Q112__evgS_13
ERR1913201.13654__1.13654	487174__K0X3H8__HMPREF9448_02822
ERR1913201.13746__1.13746	301302__R5UNJ6__M72_26701
ERR1913201.13898__1.13898	823__A0A174U5E4__BDI_3390
ERR1913201.14081__1.14081	166486__C7GCP5__ROSINTL182_07683
ERR1913201.14250__1.14250	357276__B6VXX7__HMPREF1063_02683
ERR1913201.14326__1.14326	820__A7V049__DXB48_04755
ERR1913201.14331__1.14331	820__A0A3E4W4Y7__B5G17_02055
ERR1913201.14275__1.14275	74426__purL
ERR1913201.14278__1.14278	1628085__A0A1C6G0Y6__C7386_103131
ERR1913201.14417__1.14417	820__A7V470__HMPREF1072_02076
ERR1913201.14388__1.14388	310298__B3JQJ5__BACCOP_04231
ERR1913201.14686__1.14686	820__A7V9F9__B5G17_14640
ERR1913201.14772__1.14772	329854__R5MDB9__DXK01_12275
ERR1913201.14817__1.14817	216816__A0A133LD41__NL89_06245
ERR1913201.14850__1.14850	821__E5UY21__C800_02204
ERR1913201.14984__1.14984	360807__C0FZM4__RIL183_06871
ERR1913201.15172__1.15172	387090__S0FA01__BACCOPRO_02772
ERR1913201.15255__1.15255	47678__A5ZI88__BACCAC_02617
ERR1913201.15449__1.15449	47678__R5UU25__DXB67_16190
ERR1913201.15471__1.15471	329854__R5M415__BACINT_04491
ERR1913201.15496__1.15496	357276__I9RAC4__BSEG_00561
ERR1913201.15664__1.15664	33039__R6P9A7__ERS852424_01559
ERR1913201.15695__1.15695	47678__R5U2W6__CGC64_03455
ERR1913201.15797__1.15797	357276__A0A076IS26__EL88_15950
ERR1913201.15826__1.15826	1628085__A0A1C5ZVV6__C7386_11323
ERR1913201.15990__1.15990	820__A0A174F0C1__nreB
ERR1913201.16011__1.16011	47678__R5U325__HMPREF1061_03209
ERR1913201.16019__1.16019	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913201.16027__1.16027	39491__A0A395UVM9__DXB76_04540
ERR1913201.16766__1.16766	821__A0A396F1N0__M099_1553
ERR1913201.16862__1.16862	39486__G1WN57__DORFOR_02477
ERR1913201.17014__1.17014	28118__R6F6C0__Odosp_0731
ERR1913201.17226__1.17226	821__A0A174NM17__lacZ_6
ERR1913201.17307__1.17307	853__A0A3E2U7E6__ERS852582_01640
ERR1913201.17342__1.17342	357276__B6W1Y1__BSEG_03960
ERR1913201.17460__1.17460	1299998__GCA_001494635.1_02087
ERR1913201.17569__1.17569	853__A0A2A7B9I6__DW855_13690
ERR1913201.17538__1.17538	387090__S0FDS0__BACCOPRO_03642
ERR1913201.17597__1.17597	28116__F7L4X5__M089_2857
ERR1913201.17731__1.17731	820__A0A139K5A6__DXB48_12175
ERR1913201.17743__1.17743	1262911__R6H2J2__BN557_01228
ERR1913201.17777__1.17777	853__A8S882__C4N23_07600
ERR1913201.17826__1.17826	47678__R5USR9__HMPREF1061_01404
ERR1913201.17944__1.17944	1735__B7CEC3__EUBIFOR_02567
ERR1913201.18041__1.18041	74426__rpoC
ERR1913201.18093__1.18093	357276__A0A0K2HHN3__GV66_08845
ERR1913201.18192__1.18192	301302__R5UQK8__M72_11501
ERR1913201.18165__1.18165	821__A0A3E4HP25__SAMN04487923_102450
ERR1913201.18478__1.18478	649756__L1Q1A0__ERS852425_01427
ERR1913201.18642__1.18642	357276__A0A0K2HDV9__DXD47_02600
ERR1913201.18647__1.18647	47678__R5UAF6__ERS852494_02966
ERR1913201.18718__1.18718	214856__R6XQX8__ERS852559_02550
ERR1913201.18821__1.18821	384638__B7AT14__BACPEC_01282
ERR1913201.18787__1.18787	39491__A0A395UYA6__EUBREC_0408
ERR1913201.18812__1.18812	28116__F7LBW8__C5Z02_16055
ERR1913201.19048__1.19048	47678__R5UES7__sipS
ERR1913201.19054__1.19054	821__A0A078R9Y9__M097_2119
ERR1913201.19119__1.19119	166486__C7GFD3__ERS852572_00983
ERR1913201.19251__1.19251	357276__A0A076IXE0__HMPREF1064_04364
ERR1913201.19275__1.19275	357276__I9QDB8__B5F95_08105
ERR1913201.19443__1.19443	216816__A0A374SVM3__BLSL_0492
ERR1913201.19452__1.19452	301302__R5UKP4__cbiT
ERR1913201.19587__1.19587	310298__B3JMA0__BACCOP_03051
ERR1913201.19588__1.19588	487174__K0X4F7__DDY40_08055
ERR1913201.19590__1.19590	28026__A0A174C4P8__DXC83_07990
ERR1913201.19662__1.19662	823__A6L9W2__DXB14_07905
ERR1913201.19678__1.19678	46503__R6X6Y1__DCY29_15600
ERR1913201.19703__1.19703	357276__A0A174L570__GV66_05720
ERR1913201.19781__1.19781	371601__F7M1V2__DXD80_13245
ERR1913201.19791__1.19791	821__C6ZAA5__ERS852556_00403
ERR1913201.19919__1.19919	820__A7V470__HMPREF1072_02076
ERR1913201.19945__1.19945	820__A0A174Q0F0__DXB48_08080
ERR1913201.20025__1.20025	1235835__R9LCU2__C814_02677
ERR1913201.20087__1.20087	74426__nifJ
ERR1913201.20029__1.20029	820__A0A139KIL9__DXC68_05945
ERR1913201.20099__1.20099	47678__R5UER2__CGC64_00710
ERR1913201.20109__1.20109	820__A0A139KHX1__HMPREF2141_00289
ERR1913201.20135__1.20135	47678__A5ZEA3__ERS852558_00257
ERR1913201.20140__1.20140	47678__R5UXY0__CGC64_03535
ERR1913201.20149__1.20149	329854__R5M3H6__DXD27_08960
ERR1913201.20219__1.20219	357276__I8WBQ9__HMPREF1065_03212
ERR1913201.20227__1.20227	387090__S0F421__BACCOPRO_00166
ERR1913201.20283__1.20283	818__R7KVH8__SAMN02910322_00597
ERR1913201.20322__1.20322	47678__R5UER2__CGC64_00710
ERR1913201.20396__1.20396	301302__R5UKP4__cbiT
ERR1913201.20410__1.20410	387090__S0FCI9__BACCOPRO_03388
ERR1913201.20608__1.20608	1680__A0A3E4SB79__BAD_1517
ERR1913201.20564__1.20564	301302__A0A0M6WMV7__M72_28281
ERR1913201.20703__1.20703	47678__A5ZL09__BACCAC_03608
ERR1913201.20708__1.20708	39488__C0EVS1__ERS852450_02297
ERR1913201.20765__1.20765	410072__C0B9A1__COPCOM_01727
ERR1913201.20774__1.20774	853__A0A173YYY4__DWZ04_09420
ERR1913201.20829__1.20829	329854__R5M3H0__DXD57_06945
ERR1913201.21214__1.21214	823__K6AMD2__B5F32_04565
ERR1913201.21137__1.21137	166486__D4KYW5__ROSINTL182_05595
ERR1913201.21171__1.21171	821__A0A174WBC9__ERS852556_03145
ERR1913201.21261__1.21261	821__A0A0P0L8F8__ERS852509_03705
ERR1913201.21459__1.21459	301302__R5VFW5__M72_26781
ERR1913201.21490__1.21490	39490__U2QQT2__HMPREF0373_02352
ERR1913201.21510__1.21510	357276__A0A076ITH2__BSEG_03273
ERR1913201.21580__1.21580	1680__A0A0C2YPV2__AL0462_1474
ERR1913201.21796__1.21796	821__D4VC51__M099_1508
ERR1913201.21868__1.21868	310298__B3JQJ5__BACCOP_04231
ERR1913201.21910__1.21910	301302__R5UVE7__ERS852420_01292
ERR1913201.22027__1.22027	166486__D4L082__yicI_5
ERR1913201.22032__1.22032	820__A0A3E4G8F8__ERS852421_01645
ERR1913201.22117__1.22117	216816__D6ZXB6__BBL306_0063
ERR1913201.22130__1.22130	820__A0A3E4WA06__ERS852554_03404
ERR1913201.22246__1.22246	387090__S0FDL7__BACCOPRO_03555
ERR1913201.22251__1.22251	820__A0A374Q854__HMPREF1073_03281
ERR1913201.22267__1.22267	820__A0A173XIP7__B5G17_16050
ERR1913201.22415__1.22415	46503__R6WPS1__lepB
ERR1913201.22456__1.22456	1262743__R5C054__BN727_01980
ERR1913201.22587__1.22587	820__A0A374Q854__HMPREF1073_03281
ERR1913201.22616__1.22616	39491__A0A2U2EI54__DXD95_12010
ERR1913201.22742__1.22742	291645__I8XPK0__HMPREF1068_01554
ERR1913201.22754__1.22754	1262743__R5C054__BN727_01980
ERR1913201.22822__1.22822	821__E5UY21__C800_02204
ERR1913201.22792__1.22792	357276__I8WC65__EL88_00520
ERR1913201.22812__1.22812	33039__A0A174ZCB2__ERS852577_04014
ERR1913201.22949__1.22949	387090__S0FDA6__BACCOPRO_01916
ERR1913201.22997__1.22997	821__A0A396F598__CUU_3259
ERR1913201.23054__1.23054	820__A0A3E4VZY4__ERS852554_01211
ERR1913201.23059__1.23059	357276__A0A0K2HHN3__GV66_08845
ERR1913201.23123__1.23123	28026__A0A267WLM5__BPSE_1305
ERR1913201.23141__1.23141	39491__A0A396FEV5__EUR_24750
ERR1913201.23184__1.23184	47678__R5UMP1__CGC64_03365
ERR1913201.23236__1.23236	820__A0A173XIP7__B5G17_16050
ERR1913201.23310__1.23310	33039__D4M379__selB
ERR1913201.23485__1.23485	1262921__R5M9Y7__BN473_02324
ERR1913201.23580__1.23580	820__A0A139KJ23__celCCA
ERR1913201.23597__1.23597	820__A0A174QLF0__SAMN05444418_109151
ERR1913201.23650__1.23650	820__A0A174QLF0__SAMN05444418_109151
ERR1913201.23611__1.23611	821__A0A0P0LQT3__DXC03_05050
ERR1913201.23622__1.23622	166486__D4KVA1__ROSINTL182_06909
ERR1913201.23747__1.23747	47678__R5U558__ERS852558_02232
ERR1913201.23807__1.23807	357276__A0A076J8M3__ABI39_13695
ERR1913201.24024__1.24024	39491__A0A396FTE5__ERS852417_01346
ERR1913201.24090__1.24090	46503__B7B776__DXB85_00355
ERR1913201.24167__1.24167	47678__R5U7X8__C5Z00_18270
ERR1913201.24299__1.24299	820__A0A174A6K0__M093_0079
ERR1913201.24373__1.24373	820__A0A174CK74__DXB48_07060
ERR1913201.24549__1.24549	166486__D4KZY5__ROSINTL182_07635
ERR1913201.24573__1.24573	218538__C9LQW2__GCWU000321_01944
ERR1913201.24600__1.24600	821__C3RB94__DXC03_15585
ERR1913201.24703__1.24703	166486__R6B4E4__sinR_2
ERR1913201.24733__1.24733	39492__D4JT68__spoIIIE
ERR1913201.24754__1.24754	39492__D4JT68__spoIIIE
ERR1913201.24780__1.24780	357276__I9QBT7__BSEG_03340
ERR1913201.24825__1.24825	487174__K0X4V9__DDY40_12220
ERR1913201.24964__1.24964	39488__A0A174CKH9__EUBHAL_00342
ERR1913201.25012__1.25012	1150298__R7JTX5__ERS852535_01291
ERR1913201.25056__1.25056	166486__D4KXJ6__ERS852572_00336
ERR1913201.25161__1.25161	853__A0A3E2V168__FAEPRAM212_00929
ERR1913201.25180__1.25180	821__A6L0C7__ERS852556_03520
ERR1913201.25231__1.25231	821__A0A174JYD3__ERS852457_02610
ERR1913201.25394__1.25394	74426__group_4823
ERR1913201.25495__1.25495	394340__alaS
ERR1913201.25498__1.25498	410072__A0A174EHQ6__ERS852481_02629
ERR1913201.25517__1.25517	410072__A0A173S248__ERS852525_02992
ERR1913201.25525__1.25525	821__A0A395UNT8__DXD64_15275
ERR1913201.25576__1.25576	487174__K0WWT0__DIT83_10190
ERR1913201.25587__1.25587	46503__R6WUT7__NCTC13052_01657
ERR1913201.25811__1.25811	47678__A5ZBL9__C5Z00_18710
ERR1913201.25812__1.25812	357276__A0A076IP73__BACDOR_04237
ERR1913201.25849__1.25849	387090__S0FEH5__BACCOPRO_03183
ERR1913201.25911__1.25911	821__A0A174WBC9__ERS852556_03145
ERR1913201.26306__1.26306	552398__F4XCQ4__HMPREF0866_01621
ERR1913201.26382__1.26382	820__A0A174EV88__HMPREF1072_01427
ERR1913201.26503__1.26503	33033__A8SJX0__DYJ31_07580
ERR1913201.26509__1.26509	28026__C0BQ53__BIFPSEUDO_02493
ERR1913201.26603__1.26603	821__I9R3W6__DXC16_12455
ERR1913201.26811__1.26811	47678__R5UT83__DW706_09750
ERR1913201.26898__1.26898	33039__D4LYZ5__ERS852390_01248
ERR1913201.26911__1.26911	301302__R5UMU6__M72_26821
ERR1913201.27047__1.27047	1262535__GeneID:16385055
ERR1913201.27132__1.27132	820__A0A174CK74__DXB48_07060
ERR1913201.27182__1.27182	28116__A0A1Y4Q112__evgS_13
ERR1913201.27206__1.27206	47678__R5UZM4__DW706_15680
ERR1913201.27267__1.27267	821__D4VD59__BHV80_04260
ERR1913201.27280__1.27280	357276__I9QDB8__B5F95_08105
ERR1913201.27484__1.27484	1862668__GCA_001945525.1_00030
ERR1913201.27588__1.27588	47678__R5U6B9__BACCAC_01372
ERR1913201.27753__1.27753	218538__C9LNQ3__GCWU000321_01176
ERR1913201.27881__1.27881	821__A0A174T998__DXB82_10860
ERR1913201.27968__1.27968	820__A0A3E4VXP2__yesR
ERR1913201.27887__1.27887	821__C6Z087__DXB90_00750
ERR1913201.28066__1.28066	310298__B3JQJ5__BACCOP_04231
ERR1913201.28067__1.28067	410072__A0A174D889__COPCOM_01759
ERR1913201.28201__1.28201	28116__F7L4X5__M089_2857
ERR1913201.28151__1.28151	172042__U7V132__HMPREF0742_01796
ERR1913201.28210__1.28210	821__A0A395UNT8__DXD64_15275
ERR1913201.28339__1.28339	649756__A0A174Q8Z0__mtlD_4
ERR1913201.28361__1.28361	820__I9A4U7__DHU98_12785
ERR1913201.28519__1.28519	216816__Q8G4X6__DXD52_09895
ERR1913201.28559__1.28559	1680__A0A0C2VBJ4__birA
ERR1913201.28596__1.28596	823__A0A174DZM1__DDY96_10310
ERR1913201.28714__1.28714	216816__A0A3D8U3T8__DXD41_09580
ERR1913201.28775__1.28775	357276__C3R9Y0__HMPREF1064_01889
ERR1913201.28995__1.28995	47678__R5U9X5__BACCAC_01339
ERR1913201.29034__1.29034	357276__A0A076IN21__BSEG_03078
ERR1913201.29203__1.29203	47678__R5U9Z0__HMPREF1061_03210
ERR1913201.29244__1.29244	166486__C7GCP5__ROSINTL182_07683
ERR1913201.29307__1.29307	166486__D4KWM8__ROSINTL182_06037
ERR1913201.29333__1.29333	1735__B7CCQ4__EUBIFOR_01982
ERR1913201.29477__1.29477	166486__C7GCP5__ROSINTL182_07683
ERR1913201.29483__1.29483	216816__C5E7T6__B5781_0828
ERR1913201.29531__1.29531	1262743__R5C054__BN727_01980
ERR1913201.29683__1.29683	820__A0A174M9V5__M093_0237
ERR1913201.29703__1.29703	387090__S0FDS0__BACCOPRO_03642
ERR1913201.29987__1.29987	166486__D4KWV3__ROSINTL182_07514
ERR1913201.30049__1.30049	39488__A0A174B7Y0__ERS852450_00913
ERR1913201.30074__1.30074	1680__A7A7Z9__AAX71_05385
ERR1913201.30139__1.30139	823__A0A073I5R7__cloSI
ERR1913201.30153__1.30153	387090__S0FEJ2__BACCOPRO_03269
ERR1913201.30164__1.30164	1628085__A0A1C6G0Y6__C7386_103131
ERR1913201.30404__1.30404	853__A0A2A7B1Y7__C7K05_11930
ERR1913201.30500__1.30500	1680__A0A0B5BL52__ERS852382_00480
ERR1913201.30486__1.30486	821__A0A396F9T7__M097_3427
ERR1913201.30755__1.30755	39490__U2PA96__HMPREF0373_03323
ERR1913201.30834__1.30834	328813__A0A1Y3QWF4__B5G41_06005
ERR1913201.30894__1.30894	1735__B7C9Q6__EUBIFOR_00916
ERR1913201.30961__1.30961	357276__B6W1J2__BACDOR_03380
ERR1913201.31142__1.31142	46503__R5DM05__DD461_09230
ERR1913201.31165__1.31165	821__A0A3E4WAR6__DXD64_10735
ERR1913201.31189__1.31189	387090__S0F6G1__BACCOPRO_00685
ERR1913201.31349__1.31349	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913201.31368__1.31368	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913201.31496__1.31496	301302__R5VE56__M72_25941
ERR1913201.31545__1.31545	357276__A0A076INK2__BSEG_04225
ERR1913201.31675__1.31675	165179__A0A3E5EDV6__DXC61_03365
ERR1913201.31683__1.31683	1150298__A0A174AM35__ERS852498_00645
ERR1913201.31690__1.31690	1150298__R7JRK4__ERS852406_01648
ERR1913201.31759__1.31759	357276__I9QWN0__ABI39_00335
ERR1913201.31777__1.31777	74426__pflB_2
ERR1913201.31816__1.31816	301302__A0A173T248__M72_19091
ERR1913201.31918__1.31918	821__E5UY21__C800_02204
ERR1913201.31944__1.31944	166486__A0A173VTG0__ROSINTL182_06283
ERR1913201.32019__1.32019	47678__R5UAY9__DW706_07200
ERR1913201.32044__1.32044	821__D4VD59__BHV80_04260
ERR1913201.32046__1.32046	166486__D4KY48__gmr_5
ERR1913201.32095__1.32095	820__A0A139K1Y6__DXB48_02610
