ERR1913218.204__1.204	357276__I9FTR0__HMPREF1065_02861
ERR1913218.8420__1.8420	1681__A0A0H2PKG4__SAMN05216254_0742
ERR1913218.8690__1.8690	823__A0A174PAQ4__ERS852429_04218
ERR1913218.8808__1.8808	820__A0A139KEW8__DXB64_06405
ERR1913218.8894__1.8894	357276__A0A076IXE0__HMPREF1064_04364
ERR1913218.9164__1.9164	820__A0A174CK74__DXB48_07060
ERR1913218.9795__1.9795	357276__A0A076IN30__DXD47_09350
ERR1913218.10004__1.10004	1262911__R6HN72__BN557_00911
ERR1913218.10065__1.10065	1262882__R5MLA4__BN519_01536
ERR1913218.10276__1.10276	820__A0A174F696__macB_13
ERR1913218.10503__1.10503	40520__A0A174Q8Q4__DXB81_11370
ERR1913218.10988__1.10988	147206__GCF_000156215.1_01777
ERR1913218.11236__1.11236	820__A0A139KHD8__ERS417307_00569
ERR1913218.11270__1.11270	301301__G2SXA1__frc_2
ERR1913218.11321__1.11321	1262911__R6H174__BN557_01246
ERR1913218.11497__1.11497	1624__H7G0N5__B6U38_06505
ERR1913218.11631__1.11631	239935__A0A2N8HMQ8__pgsA
ERR1913218.11676__1.11676	1680__R5GPK0__B0487_0620
ERR1913218.11681__1.11681	1680__A0A087DHN0__AL0462_1532
ERR1913218.11823__1.11823	1262911__R6GT12__BN557_01070
ERR1913218.11849__1.11849	40518__R5DUG7__sbcC
ERR1913218.11873__1.11873	820__A0A374Q854__HMPREF1073_03281
ERR1913218.11922__1.11922	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913218.12033__1.12033	1263000__R5EGY7__BN466_01478
ERR1913218.12056__1.12056	1160721__R6T2Y3__RBI_II00189
ERR1913218.12253__1.12253	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913218.12287__1.12287	40520__R7D9L9__DXC87_14715
ERR1913218.12344__1.12344	239935__A0A139TT05__CXU09_03335
ERR1913218.12414__1.12414	357276__B6VXX7__HMPREF1063_02683
ERR1913218.12596__1.12596	40518__R5DYP7__envC
ERR1913218.12646__1.12646	78535__F9P4B8__NCTC1080_00260
ERR1913218.12823__1.12823	820__R9HP61__DXC91_01090
ERR1913218.12766__1.12766	40518__R5DQK2__DXD93_03730
ERR1913218.12794__1.12794	1550024__A0A3B9WI04__ASJ35_06105
ERR1913218.12921__1.12921	1309__A0A2J9QFC1__SMU94_03621
ERR1913218.12940__1.12940	357276__A0A076INK2__BSEG_04225
ERR1913218.12951__1.12951	823__D7ILK2__ERS852380_00031
ERR1913218.13015__1.13015	1262911__R6H2J2__BN557_01228
ERR1913218.13038__1.13038	626940__E8LC18__BHW43_04640
ERR1913218.13285__1.13285	46503__R6XDP9__ERS852463_01752
ERR1913218.13401__1.13401	208479__N9YWE4__HMPREF9472_05934
ERR1913218.13567__1.13567	39492__D4JU81__xseA
ERR1913218.13785__1.13785	1584__K0NDH9__LBUL_1567
ERR1913218.13847__1.13847	1263006__R6LKA3__BN515_00205
ERR1913218.13901__1.13901	357276__I8W1E1__B5F00_10785
ERR1913218.13963__1.13963	820__A0A174DZ97__SAMN05444418_101240
ERR1913218.14050__1.14050	1309__A0A0E2ELM6__SMU58_00215
ERR1913218.14172__1.14172	40518__R5DR72__RBL236_02110
ERR1913218.14330__1.14330	1262882__R5MIQ8__BN519_01036
ERR1913218.14359__1.14359	357276__C3R9Y0__HMPREF1064_01889
ERR1913218.14541__1.14541	820__A0A3E4XDK3__ERS852554_03650
ERR1913218.14901__1.14901	40518__R5DQR9__DXD83_00030
ERR1913218.14956__1.14956	820__A0A1T4IYF4__mprA_1
ERR1913218.15013__1.15013	40518__R5DP21__RBATCC27255_00348
ERR1913218.15017__1.15017	1735__B7CDK0__EUBIFOR_02283
ERR1913218.15238__1.15238	1550024__G9RX76__ASJ35_12355
ERR1913218.15460__1.15460	1680__A0A173Y6N7__yhaH
ERR1913218.15478__1.15478	2108523__A0A2P2F214__LAWASA_27
ERR1913218.15496__1.15496	394340__fcbB2
ERR1913218.15540__1.15540	47678__R5U2W6__CGC64_03455
ERR1913218.15718__1.15718	33039__R6PAH6__ERS852577_01830
ERR1913218.15772__1.15772	147206__GCF_000156215.1_01387
ERR1913218.15888__1.15888	239935__A0A139TSG7__CXU17_09600
ERR1913218.15895__1.15895	1550024__G9RWW8__TQ39_12140
ERR1913218.16098__1.16098	301301__A0A395VB45__ERS852391_02575
ERR1913218.16298__1.16298	158787__A0A087DJ13__BSCA_0544
ERR1913218.16545__1.16545	239935__A0A2N8IUK0__CXU01_07370
ERR1913218.16634__1.16634	820__A7V9F9__B5G17_14640
ERR1913218.16865__1.16865	35833__E5Y934__HMPREF0179_02702
ERR1913218.17022__1.17022	1632__E3C8P5__HMPREF9265_0576
ERR1913218.16951__1.16951	1680__R5GR82__AD0028_0014
ERR1913218.17111__1.17111	357276__I9G0T7__BACDOR_04266
ERR1913218.17177__1.17177	40518__R5E5W1__RBL263_01034
ERR1913218.17252__1.17252	357276__A0A076IS26__EL88_15950
ERR1913218.17367__1.17367	1683__C4FEM4__BIANG_0131
ERR1913218.17502__1.17502	818__A0A0P0F2P7__BT_1771
ERR1913218.17559__1.17559	1550024__A0A0D8IWE6__ASJ35_08175
ERR1913218.17778__1.17778	1263006__R6LRR0__BN515_00627
ERR1913218.17914__1.17914	1160721__W0U2H8__BHW50_07775
ERR1913218.17889__1.17889	428712__C9M9T2__GCWU000246_01767
ERR1913218.17897__1.17897	167481__A0A0R1QRA6__FD29_GL000703
ERR1913218.17963__1.17963	301302__A0A0M6WJW1__ERS852420_02245
ERR1913218.18111__1.18111	40518__R5DZC6__mreC
ERR1913218.18193__1.18193	1262882__R5MMD8__BN519_01576
ERR1913218.18242__1.18242	552398__T5S086__HMPREF0866_01580
ERR1913218.18395__1.18395	40518__R5DS23__DXD86_01715
ERR1913218.18439__1.18439	820__A0A078S4C2__ERS417307_00828
ERR1913218.18527__1.18527	301301__A0A395VG51__RHOM_05870
ERR1913218.18624__1.18624	544581__G9PQU2__HMPREF1549_02360
ERR1913218.18689__1.18689	239935__R7DVL7__CXT93_01180
ERR1913218.18806__1.18806	384638__B7APR0__BACPEC_00666
ERR1913218.19237__1.19237	1624__A0A385XMV1__A8C39_06675
ERR1913218.19239__1.19239	88431__A0A174G8Q6__ERS852526_02711
ERR1913218.19387__1.19387	552398__F4XCR9__HMPREF0866_01636
ERR1913218.19397__1.19397	1263006__R6LZM6__BN515_01762
ERR1913218.19430__1.19430	239935__A0A2N8J1K0__CXT97_05765
ERR1913218.19409__1.19409	357276__B6W5Q9__HMPREF1063_03125
ERR1913218.19424__1.19424	214856__R6Z288__ERS852447_00734
ERR1913218.19771__1.19771	1624__A0A089RVX1__A8C47_04565
ERR1913218.19810__1.19810	357276__I9QWN0__ABI39_00335
ERR1913218.19902__1.19902	1550024__G9RXY7__TQ39_00100
ERR1913218.19832__1.19832	820__A7V049__DXB48_04755
ERR1913218.19937__1.19937	1262882__R5N1M9__BN519_00768
ERR1913218.20180__1.20180	1680__A0A174BEE7__BSTER_1311
ERR1913218.20211__1.20211	301301__A0A395VEJ3__hupR1
ERR1913218.20220__1.20220	214856__I3YPR2__Alfi_2720
ERR1913218.20269__1.20269	1550024__G9RP65__ASJ35_11645
ERR1913218.20369__1.20369	820__A7V049__DXB48_04755
ERR1913218.20391__1.20391	1160721__R6U5L6__RBI_I01802
ERR1913218.20412__1.20412	1262882__R5MN65__BN519_00771
ERR1913218.20540__1.20540	544580__A0A120KQ43__BKH26_13310
ERR1913218.20680__1.20680	446660__GCA_003428235.1_01715
ERR1913218.20682__1.20682	1262992__R5DH34__BN795_00678
ERR1913218.20736__1.20736	1624__A0A2A2WYS4__B6U58_00720
ERR1913218.20775__1.20775	1262882__R5MEN2__BN519_00200
ERR1913218.20822__1.20822	1262882__R5MYP8__BN519_00439
ERR1913218.20925__1.20925	1680__A0A076JM61__DXD63_05245
ERR1913218.20942__1.20942	818__A0A0P0FSA3__ERS852557_00283
ERR1913218.20975__1.20975	1262911__R6GMH5__BN557_00511
ERR1913218.21147__1.21147	820__A0A174CK74__DXB48_07060
ERR1913218.21310__1.21310	1099853__R7DGD2__NSB1T_01240
ERR1913218.21479__1.21479	1550024__A0A3B9WGS9__ASJ35_05050
ERR1913218.21708__1.21708	1262882__R5MHX6__BN519_00733
ERR1913218.21739__1.21739	1262911__R6GTZ4__BN557_01440
ERR1913218.21775__1.21775	2173__A0A1D2WU48__Msm_1454
ERR1913218.21931__1.21931	820__R7E9Z4__DXC68_06065
ERR1913218.21935__1.21935	1318__U5PE10__HMPREF8577_1394
ERR1913218.22041__1.22041	820__A0A3E4VZS7__DXC07_14435
ERR1913218.22070__1.22070	239935__A0A2N8HUU6__CXT90_06150
ERR1913218.22184__1.22184	1624__A0A385XKA4__A8C55_06075
ERR1913218.22336__1.22336	1681__K2I8N0__DXD62_05100
ERR1913218.22445__1.22445	1624__F7QVE1__B6U64_05115
ERR1913218.22758__1.22758	357276__I9QWD4__DXD47_15075
ERR1913218.22765__1.22765	1262882__R5MND9__BN519_00831
ERR1913218.22932__1.22932	165179__A0A3E5DX15__DXC61_00345
ERR1913218.22991__1.22991	1263000__R5EKG2__BN466_02040
ERR1913218.23185__1.23185	1624__H7G0N5__B6U38_06505
ERR1913218.23256__1.23256	2173__A0A1D2WU54__METSMIALI_00342
ERR1913218.23358__1.23358	1099853__G9S756__NSB1T_10585
ERR1913218.23595__1.23595	820__I9TWZ7__DXC80_10550
ERR1913218.23853__1.23853	357276__I9QPN0__B5F95_09195
ERR1913218.24152__1.24152	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913218.24224__1.24224	820__A0A139K4T0__ERS852510_03146
ERR1913218.24229__1.24229	1624__F5VDE9__A8C40_08705
ERR1913218.24376__1.24376	1262882__R5MFY4__BN519_00529
ERR1913218.24571__1.24571	1628085__A0A1C6GCK4__C7386_10336
ERR1913218.24652__1.24652	1147152__GeneID:14181982
ERR1913218.24764__1.24764	1686__B6XTQ6__BIFCAT_00534
ERR1913218.24697__1.24697	301301__G2T5S1__gsiA_1
ERR1913218.24798__1.24798	1681__A0A292G6V6__BBB_1561
ERR1913218.24848__1.24848	1262911__R6HN81__BN557_00921
ERR1913218.24930__1.24930	1550024__G9RZG5__TQ39_11180
ERR1913218.25097__1.25097	40518__R5DZM6__lytR_3
ERR1913218.25215__1.25215	1680__A0A173Y6N7__yhaH
ERR1913218.25171__1.25171	239935__A0A2N8IG27__CXT85_07805
ERR1913218.25251__1.25251	1624__A0A2A2X109__B5G36_07945
ERR1913218.25384__1.25384	1263006__R6LWF1__BN515_02111
ERR1913218.25339__1.25339	357276__I8WAB8__B5F00_08100
ERR1913218.25589__1.25589	2173__A0A1D2WW26__METSMIALI_01077
ERR1913218.25647__1.25647	1262992__R5D749__BN795_01063
ERR1913218.25682__1.25682	1262882__R5MYI1__BN519_00416
ERR1913218.25697__1.25697	820__A0A3E4RTP0__C801_01067
ERR1913218.25948__1.25948	651822__GCA_000210715.1_00586
ERR1913218.25985__1.25985	1680__A0A3E4SB79__BAD_1517
ERR1913218.26055__1.26055	1680__A0A076JNS9__BIFADO_02309
ERR1913218.26021__1.26021	1263006__R6LRT3__BN515_00657
ERR1913218.26167__1.26167	216816__A0A2N0SME6__BLIF_1881
ERR1913218.26284__1.26284	301301__A0A395V4S5__RHOM_15770
ERR1913218.26359__1.26359	39486__R6SPW4__DXD84_13185
ERR1913218.26556__1.26556	239935__A0A2N8IVK9__CXU08_03750
ERR1913218.26945__1.26945	301302__R5UM41__M72_15921
ERR1913218.26943__1.26943	820__A0A374Q8T2__DXB64_16190
ERR1913218.27115__1.27115	671232__E6J1P7__CYK14_06950
ERR1913218.27349__1.27349	1262911__R6HN81__BN557_00921
ERR1913218.27405__1.27405	818__A0A3E5GY47__SAMN02910322_02002
ERR1913218.27440__1.27440	1262911__R6HN81__BN557_00921
ERR1913218.27625__1.27625	1263006__R6M1L5__BN515_00413
ERR1913218.27850__1.27850	78346__A0A087D3Y1__BRUM_1576
ERR1913218.27851__1.27851	357276__B6W5Q7__DXD47_13945
ERR1913218.27880__1.27880	1624__A0A089RWE3__B5G14_01420
ERR1913218.28009__1.28009	1263006__R6LKC6__BN515_02058
ERR1913218.28018__1.28018	820__A0A174VD39__DXD90_12235
ERR1913218.28042__1.28042	1262911__R6GPA9__BN557_00286
ERR1913218.28113__1.28113	1263006__R6M0N6__BN515_00209
ERR1913218.28174__1.28174	39488__A0A374NKN1__ltaS_2
ERR1913218.28181__1.28181	1263006__R6LK25__BN515_01963
ERR1913218.28201__1.28201	1263006__R6LWF1__BN515_02111
ERR1913218.28213__1.28213	820__A0A3E4VXP2__yesR
ERR1913218.28214__1.28214	1550024__A0A3B9WH35__TQ39_04960
ERR1913218.28325__1.28325	1304__J7TNT8__AWB63_08895
ERR1913218.28381__1.28381	357276__A0A076IRZ5__BACDOR_00630
ERR1913218.28461__1.28461	239935__A0A2N8IMC3__CXT96_03840
ERR1913218.28476__1.28476	1262882__R5MEN9__BN519_00201
ERR1913218.28489__1.28489	40518__R5E2F3__artQ
ERR1913218.28704__1.28704	1262911__R6GZ01__BN557_00641
ERR1913218.28732__1.28732	88431__A6BF91__ERS852573_01159
ERR1913218.28946__1.28946	47770__D5GY01__AYP95_02235
ERR1913218.29084__1.29084	1624__A0A2A2XAQ8__A8C54_00025
ERR1913218.29120__1.29120	820__A0A139KHX1__HMPREF2141_00289
ERR1913218.29129__1.29129	823__A0A069SAX6__ERS852380_00710
ERR1913218.29187__1.29187	820__A0A139K5A6__DXB48_12175
ERR1913218.29215__1.29215	1262911__R6GPB5__BN557_00842
ERR1913218.29315__1.29315	820__A0A174B4N2__M093_2531
ERR1913218.29369__1.29369	820__A0A1T4IY71__HMPREF2141_02402
ERR1913218.29401__1.29401	1262911__R6GPI7__BN557_00907
ERR1913218.29496__1.29496	820__I9A4U7__DHU98_12785
ERR1913218.29516__1.29516	1624__Q1WRR9__A8C45_02380
ERR1913218.29521__1.29521	239935__A0A2N8IVR0__CXT87_07115
ERR1913218.29704__1.29704	1681__K2I6D7__DD698_01445
ERR1913218.29878__1.29878	158787__A0A087DBN0__BBSC_0307
ERR1913218.29923__1.29923	1262882__R5MQ68__BN519_01178
ERR1913218.29929__1.29929	1680__A0A374QDL4__LMG18897_0432
ERR1913218.29942__1.29942	1099853__G9S6Y8__NSB1T_06345
ERR1913218.30058__1.30058	820__A0A174FUG6__DXC91_11265
ERR1913218.30228__1.30228	544580__A0A1Q8VCE6__AXE84_07770
ERR1913218.30368__1.30368	820__A0A3E4IBC1__M094_0628
ERR1913218.30407__1.30407	1099853__U5CN37__NSB1T_00425
ERR1913218.30423__1.30423	1262882__R5MND9__BN519_00831
ERR1913218.30596__1.30596	39486__B0G7S3__HMPREF9457_01465
ERR1913218.30689__1.30689	820__A0A1T4IYF4__mprA_1
ERR1913218.30784__1.30784	820__A0A174CK74__DXB48_07060
ERR1913218.30803__1.30803	1681__E4V7X5__BBNG_00264
ERR1913218.30970__1.30970	40518__R5DQL2__RBATCC27255_00937
ERR1913218.30962__1.30962	239935__A0A2N8HAQ1__DEF40_05290
ERR1913218.30966__1.30966	820__A0A174B4N2__M093_2531
ERR1913218.31023__1.31023	999425__I1ZN72__HMPREF9186_00723
ERR1913218.31080__1.31080	40518__R5DXH2__DXD83_10135
ERR1913218.31124__1.31124	1263006__R6LN22__BN515_01469
ERR1913218.31241__1.31241	1304__A0A1V0GKN2__CKU37_09385
ERR1913218.31244__1.31244	1263006__R6LGI4__BN515_00844
ERR1913218.31376__1.31376	1262911__R6HN72__BN557_00911
ERR1913218.31463__1.31463	1263006__R6LG93__BN515_00770
ERR1913218.31485__1.31485	1263006__R6M0N6__BN515_00209
ERR1913218.31554__1.31554	1262882__R5MM25__BN519_00600
ERR1913218.31642__1.31642	357276__I8WPR6__EL88_06675
ERR1913218.31684__1.31684	1263006__R6MPG9__BN515_01866
ERR1913218.31709__1.31709	1263006__R6LJG8__BN515_01754
ERR1913218.31768__1.31768	820__A0A374QGD2__ERS852421_02382
ERR1913218.31772__1.31772	2173__A0A1D2WR01__Msm_0221
ERR1913218.31815__1.31815	1512__E7GN34__HMPREF9474_02329
ERR1913218.31957__1.31957	820__A0A1T4IYF4__mprA_1
ERR1913218.32147__1.32147	820__A0A3E4W9W8__C801_01069
ERR1913218.32326__1.32326	78258__E6K2V0__HMPREF9017_01256
ERR1913218.32331__1.32331	239935__B2URG9__CXU00_11290
ERR1913218.32441__1.32441	74426__group_1871
ERR1913218.32665__1.32665	158787__A0A087D3G5__BSCA_0402
ERR1913218.32693__1.32693	1263109__GCA_000438135.1_00036
ERR1913218.32750__1.32750	1263006__R6LZ65__BN515_01602
ERR1913218.32972__1.32972	1550024__G9RP65__ASJ35_11645
ERR1913218.33188__1.33188	1262911__R6GMH5__BN557_00511
ERR1913218.33322__1.33322	2173__A0A1D2WTV4__Msm_1285
ERR1913218.33465__1.33465	301302__R5UPH9__M72_00521
ERR1913218.33536__1.33536	1432052__A0A1E3AAK2__BEI63_11305
ERR1913218.33527__1.33527	40518__R5DQJ0__DXD93_03790
ERR1913218.33599__1.33599	40518__R5DZE2__DXD86_07400
ERR1913218.33707__1.33707	1624__A0A2A2X4R7__CR249_01450
ERR1913218.33734__1.33734	820__A7UYG6__M094_0070
ERR1913218.34077__1.34077	1624__A0A1V9THW8__DB322_06390
ERR1913218.34111__1.34111	820__A0A173YYG4__evgS_3
ERR1913218.34127__1.34127	1550024__A0A0D8IWU5__TQ39_13940
ERR1913218.34157__1.34157	28118__F9Z5N6__SAMEA44545918_01718
ERR1913218.34344__1.34344	84030__D4MTJ5__B5F06_06085
ERR1913218.34409__1.34409	1262882__R5MHQ8__BN519_00707
ERR1913218.34410__1.34410	1358__D2BR40__N42_1439
ERR1913218.34527__1.34527	1550024__A0A0W7TSP5__ASJ35_06140
ERR1913218.34571__1.34571	39486__B0G950__DXD50_13080
ERR1913218.34708__1.34708	1263006__R6LY37__BN515_01224
ERR1913218.34801__1.34801	40518__R5DLM5__RB5AMG_00422
ERR1913218.34841__1.34841	357276__C3R5C9__HMPREF1063_00213
ERR1913218.35027__1.35027	552398__F4XCR9__HMPREF0866_01636
ERR1913218.35058__1.35058	301301__A0A395V573__RHOM_13925
ERR1913218.35069__1.35069	39486__B0G2S6__DXC93_16450
ERR1913218.35252__1.35252	78535__A0A380M958__NCTC1080_01999
ERR1913218.35315__1.35315	239935__R6JWJ7__CXT94_02580
ERR1913218.35266__1.35266	216816__A0A0M0VK23__BLGT_09805
ERR1913218.35349__1.35349	46503__R6X0L4__DXB61_05325
ERR1913218.35441__1.35441	1263006__R6LYS1__BN515_01485
ERR1913218.35651__1.35651	1263006__R6LPZ5__BN515_02090
ERR1913218.35764__1.35764	821__A0A3E4WAR6__DXD64_10735
ERR1913218.35806__1.35806	820__R9I3Q7__HMPREF1072_01668
ERR1913218.35977__1.35977	1550024__G9RXV5__TQ39_13455
ERR1913218.36249__1.36249	100886__A0A174JPG5__CATMIT_00078
ERR1913218.36469__1.36469	239935__R6J776__CXU07_02355
ERR1913218.36543__1.36543	1262911__R6H2J2__BN557_01228
ERR1913218.36575__1.36575	820__A0A174QT76__B5G17_18060
ERR1913218.36593__1.36593	28118__F9ZAB2__SAMEA44545918_01079
ERR1913218.36692__1.36692	1680__A0A1X2ZFB6__AD0028_0856
ERR1913218.36717__1.36717	820__A0A174KKV6__DXC07_02635
ERR1913218.36925__1.36925	1550024__G9RZG5__TQ39_11180
ERR1913218.37145__1.37145	1160721__W0U4D5__RBI_I01230
ERR1913218.37178__1.37178	1550024__G9RX78__TQ39_04855
ERR1913218.37300__1.37300	820__A7UYX8__DXD40_11635
ERR1913218.37327__1.37327	239935__A0A2N8IEP3__CXT84_03735
ERR1913218.37464__1.37464	820__A7V859__ERS852462_00341
ERR1913218.37468__1.37468	357276__A0A076IRX7__HMPREF1064_00526
ERR1913218.37895__1.37895	357276__B6VW91__BACDOR_01584
ERR1913218.37937__1.37937	239935__R7DVW2__CXU02_03915
ERR1913218.38029__1.38029	216816__A0A1S2VTC3__BLIC_e00847
ERR1913218.38153__1.38153	357276__C3R9Y0__HMPREF1064_01889
ERR1913218.38366__1.38366	1624__A0A385XQT6__B6U46_02745
ERR1913218.38468__1.38468	1262882__R5MPY4__BN519_01128
ERR1913218.38719__1.38719	1584__A0A0U3DG40__IV47_GL001037
ERR1913218.38811__1.38811	357276__D1K526__GV66_17250
ERR1913218.38820__1.38820	357276__I9QWD4__DXD47_15075
ERR1913218.38832__1.38832	239935__A0A139TPD4__CXT86_06450
ERR1913218.39023__1.39023	39488__A0A174HDU7__EUBHAL_01339
ERR1913218.39051__1.39051	1262911__R6GMZ7__BN557_01741
ERR1913218.39124__1.39124	357276__B6W5Q7__DXD47_13945
ERR1913218.39185__1.39185	1680__A0A173W9E6__C8077_07070
ERR1913218.39893__1.39893	1550024__G9RT56__TQ39_09200
ERR1913218.39908__1.39908	39492__D4JVG1__ERS852540_00951
ERR1913218.39982__1.39982	239935__A0A139TM51__CXT91_12120
ERR1913218.39989__1.39989	2173__A0A1D2WUH4__METSMIALI_01323
ERR1913218.40007__1.40007	1624__A0A385XQT6__B6U46_02745
ERR1913218.40049__1.40049	357276__A0A076IN30__DXD47_09350
ERR1913218.40057__1.40057	1680__A0A076JNS9__BIFADO_02309
ERR1913218.40096__1.40096	458033__GCA_001482755.1_02203
ERR1913218.40162__1.40162	1263006__R6LSL5__BN515_00102
ERR1913218.40359__1.40359	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913218.40457__1.40457	1262911__R6GI18__BN557_01377
ERR1913218.40525__1.40525	357276__A0A174L570__GV66_05720
ERR1913218.40752__1.40752	39492__R6SA81__EUBSIR_00402
ERR1913218.40814__1.40814	1584__A0A1L3JYP2__IV47_GL000766
ERR1913218.40944__1.40944	40518__R5DZ88__DXD93_06320
ERR1913218.41026__1.41026	88431__A6BFJ3__ERS852408_01680
ERR1913218.41234__1.41234	357276__I9R994__BACDOR_04044
ERR1913218.41161__1.41161	820__A0A374Q854__HMPREF1073_03281
ERR1913218.41177__1.41177	820__A0A173YYG4__evgS_3
ERR1913218.41554__1.41554	74426__gap
