ERR1913226.15__1.15	46228__V8BM45__DXD17_14355
ERR1913226.5209__1.5209	1897011__A0A1Q6RG48__BHW41_02345
ERR1913226.5241__1.5241	1150298__R7JTQ3__rne
ERR1913226.5258__1.5258	1501391__GCA_000786575.1_00079
ERR1913226.5579__1.5579	1501391__GCA_000786575.1_00118
ERR1913226.5651__1.5651	820__A0A174FUF0__HMPREF1073_03308
ERR1913226.5959__1.5959	1262889__R7H8U5__BN634_02236
ERR1913226.6219__1.6219	2293125__A0A374BIB7__DW917_16550
ERR1913226.6391__1.6391	2293125__A0A374CII6__DW917_03460
ERR1913226.6655__1.6655	39491__A0A173RA59__EUR_24800
ERR1913226.6960__1.6960	246787__A0A0P0GNB7__xyl4
ERR1913226.7074__1.7074	1262736__R5Z0U2__BN496_00382
ERR1913226.7239__1.7239	88431__A0A3E5GJ50__DORLON_02273
ERR1913226.7328__1.7328	820__A0A173XIP7__B5G17_16050
ERR1913226.7501__1.7501	2293125__A0A374BR61__DW917_14880
ERR1913226.7532__1.7532	820__A0A173WZS4__DXD90_10250
ERR1913226.7706__1.7706	218538__C9LNQ3__GCWU000321_01176
ERR1913226.7890__1.7890	820__A0A374Q1D8__SAMN05444418_112114
ERR1913226.7940__1.7940	1262988__R7N3U0__BN816_02215
ERR1913226.8045__1.8045	1262945__R6YZY9__BN600_00542
ERR1913226.8305__1.8305	2293125__A0A374C4I0__DW917_08630
ERR1913226.8426__1.8426	1263030__R5CX12__BN705_00275
ERR1913226.8432__1.8432	357276__A0A076IRZ5__BACDOR_00630
ERR1913226.8510__1.8510	821__E5UY21__C800_02204
ERR1913226.8662__1.8662	1262911__R6H1A6__BN557_01286
ERR1913226.8895__1.8895	2293125__A0A374C955__DW917_08135
ERR1913226.9048__1.9048	39485__A0A174Z7G5__EUBELI_01168
ERR1913226.9249__1.9249	1262736__R5Y4N0__BN496_00283
ERR1913226.9329__1.9329	165179__A0A3E5AHY4__CFT61_07675
ERR1913226.9708__1.9708	2293125__A0A374BSW4__DW917_13420
ERR1913226.9801__1.9801	1262761__R6RZF9__BN606_01803
ERR1913226.9804__1.9804	28116__A0A078QGJ1__AA414_00533
ERR1913226.10039__1.10039	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913226.10104__1.10104	821__A0A174RA14__M099_1655
ERR1913226.10131__1.10131	820__A0A139KIL9__DXC68_05945
ERR1913226.10322__1.10322	1262988__R7N3I4__BN816_01805
ERR1913226.10525__1.10525	1501391__GCA_000786575.1_00103
ERR1913226.10591__1.10591	820__A0A139K426__B5G17_09115
ERR1913226.10759__1.10759	1262889__R7HAN4__BN634_02105
ERR1913226.10826__1.10826	817__A0A2M9USQ3__DXA81_00185
ERR1913226.10856__1.10856	1263000__R5EXT3__BN466_02213
ERR1913226.10945__1.10945	2293125__A0A374C4J1__DW917_09855
ERR1913226.11010__1.11010	39492__D4JS46__EUBSIR_02553
ERR1913226.11075__1.11075	820__A0A174GK47__ERS852421_00200
ERR1913226.11176__1.11176	2293125__A0A374CI55__DW917_03455
ERR1913226.11282__1.11282	28118__R6FBE6__DHW44_11635
ERR1913226.11357__1.11357	2293125__A0A374CII0__DW917_03470
ERR1913226.11684__1.11684	1262777__R5VLQ5__BN512_00479
ERR1913226.11696__1.11696	821__A0A396F9T7__M097_3427
ERR1913226.11750__1.11750	28116__C3QQN3__CUY_4207
ERR1913226.11760__1.11760	853__A0A173YYY4__DWZ04_09420
ERR1913226.11878__1.11878	745368__A0A1T4XS74__SAMN02745178_02179
ERR1913226.12189__1.12189	853__A0A3E2V168__FAEPRAM212_00929
ERR1913226.12402__1.12402	820__A0A174CG08__DXB62_13215
ERR1913226.12413__1.12413	165179__D1PHC0__PREVCOP_06640
ERR1913226.12377__1.12377	165179__A0A174SA26__PREVCOP_05758
ERR1913226.12387__1.12387	214856__R6Z320__ERS852447_02148
ERR1913226.12463__1.12463	1378168__V2YA11__N510_02528
ERR1913226.12578__1.12578	820__A0A078STJ8__DXC68_04690
ERR1913226.12725__1.12725	820__A0A173YYG4__evgS_3
ERR1913226.12944__1.12944	47678__R5U8S9__DW706_06260
ERR1913226.12958__1.12958	706562__GCA_900112995.1_01429
ERR1913226.13334__1.13334	1735__B7CDA5__EUBIFOR_02186
ERR1913226.13345__1.13345	1501391__GCA_000786575.1_00107
ERR1913226.13288__1.13288	471189__GCA_003340385.1_00657
ERR1913226.13896__1.13896	821__A0A174WBC9__ERS852556_03145
ERR1913226.14040__1.14040	1262911__R6H072__BN557_00615
ERR1913226.14224__1.14224	823__A0A355XFH7__ERS852513_00769
ERR1913226.14241__1.14241	820__A7V9F9__B5G17_14640
ERR1913226.14294__1.14294	1262761__R6RUQ5__BN606_01129
ERR1913226.14390__1.14390	471189__GCA_003340385.1_00065
ERR1913226.14859__1.14859	2293125__A0A374CJ13__DW917_03145
ERR1913226.15001__1.15001	1262761__R6QR25__BN606_01386
ERR1913226.15056__1.15056	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913226.15069__1.15069	1501391__GCA_000786575.1_00057
ERR1913226.15121__1.15121	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913226.15298__1.15298	165179__A0A3E5EB26__CFT61_02800
ERR1913226.15459__1.15459	165179__A0A3E5A5E5__DXC61_13965
ERR1913226.15610__1.15610	39485__C4Z2J8__ERS852490_02044
ERR1913226.15807__1.15807	261299__B0ACR6__senX3
ERR1913226.15899__1.15899	2293125__A0A374CHT4__DW917_03485
ERR1913226.15907__1.15907	1735__B7C9Y8__EUBIFOR_00992
ERR1913226.16035__1.16035	1262761__R6R380__BN606_01693
ERR1913226.16062__1.16062	28116__A0A139LKF7__DXA80_16100
ERR1913226.16066__1.16066	820__A0A3E4G493__ERS417307_00253
ERR1913226.16340__1.16340	1262911__R6GMD8__BN557_01647
ERR1913226.16355__1.16355	39485__R5ZVC3__ERS852490_00250
ERR1913226.16429__1.16429	2293125__A0A374BUM7__DW917_12980
ERR1913226.16564__1.16564	820__A0A139KIL9__DXC68_05945
ERR1913226.16809__1.16809	1897011__A0A1Q6REX7__BHW41_04490
ERR1913226.16841__1.16841	820__A0A139K8X8__DXC80_17665
ERR1913226.16846__1.16846	39485__R5ZHA7__ERS852490_00039
ERR1913226.16911__1.16911	2293125__A0A374CFT0__DW917_03440
ERR1913226.16920__1.16920	820__A0A3E4G826__C801_01612
ERR1913226.17086__1.17086	39485__R5ZX10__ERS852492_02330
ERR1913226.17181__1.17181	1262761__R6R4K8__BN606_01919
ERR1913226.18163__1.18163	1262761__R6QJJ2__BN606_00358
ERR1913226.18266__1.18266	39485__A0A174ZKZ4__spoIIQ_1
ERR1913226.18385__1.18385	1262761__R6RU22__BN606_01110
ERR1913226.18411__1.18411	1262761__R6R4Y1__BN606_02001
ERR1913226.18440__1.18440	214856__A0A174FWM7__ERS852559_00590
ERR1913226.18510__1.18510	1965650__A0A1Y3VFZ2__B5G16_10335
ERR1913226.18698__1.18698	39492__R6SA81__EUBSIR_00402
ERR1913226.18709__1.18709	166486__D4L1H3__sacC
ERR1913226.18890__1.18890	1262988__R7N4U5__BN816_00495
ERR1913226.18988__1.18988	1501391__GCA_000786575.1_00038
ERR1913226.19092__1.19092	1262824__R6S1A7__BN719_01944
ERR1913226.19170__1.19170	820__A0A3E5BMG9__DXD40_05130
ERR1913226.19244__1.19244	1262761__R6QR72__BN606_01181
ERR1913226.19253__1.19253	239935__A0A2N8HL50__CXT98_09135
ERR1913226.19294__1.19294	2293125__A0A374BSW4__DW917_13420
ERR1913226.19436__1.19436	820__A0A139KJR5__M093_4469
ERR1913226.19802__1.19802	1262761__R6RUQ5__BN606_01129
ERR1913226.19837__1.19837	39485__C4Z355__ERS852490_01971
ERR1913226.19793__1.19793	1501391__GCA_000786575.1_00078
ERR1913226.19953__1.19953	47678__R5UXJ2__DW706_08325
ERR1913226.20077__1.20077	1263000__R5EF60__BN466_01316
ERR1913226.20138__1.20138	28116__A0A078Q626__HMPREF1070_02735
ERR1913226.20145__1.20145	28116__I9ST00__M088_5588
ERR1913226.20193__1.20193	40518__R5DU38__DXD83_06770
ERR1913226.20303__1.20303	820__A0A174EV88__HMPREF1072_01427
ERR1913226.20578__1.20578	1981510__A0A2K9P5G0__B9O19_02026
ERR1913226.20821__1.20821	2293125__A0A374BVX3__DW917_12740
ERR1913226.20826__1.20826	1262988__R7N3U0__BN816_02215
ERR1913226.21028__1.21028	28116__A0A1Y4Q114__DXF98_00470
ERR1913226.21366__1.21366	1897011__A0A1Q6REZ1__BHW41_04525
ERR1913226.21707__1.21707	487174__R5F5Z4__DIT83_00635
ERR1913226.22011__1.22011	218538__C9LL79__GCWU000321_00015
ERR1913226.22433__1.22433	820__A0A3E4RUC4__DHU98_02635
ERR1913226.22492__1.22492	39492__D4JU56__hemZ
ERR1913226.22630__1.22630	820__A0A174A6K0__M093_0079
ERR1913226.22940__1.22940	820__A0A139K1Y6__DXB48_02610
ERR1913226.22944__1.22944	39492__D4JWJ4__EUBSIR_01090
ERR1913226.23226__1.23226	1160721__W0U851__RBI_I02005
ERR1913226.23496__1.23496	165179__R6CNX7__DXB80_02200
ERR1913226.23733__1.23733	1160721__W0U2H8__BHW50_07775
ERR1913226.23935__1.23935	1262889__R7HDT7__BN634_01583
ERR1913226.23944__1.23944	821__D4V4X2__DXC16_18525
ERR1913226.24113__1.24113	820__A0A1T4IYF4__mprA_1
ERR1913226.24241__1.24241	820__A0A139K426__B5G17_09115
ERR1913226.24261__1.24261	853__A0A173XRA8__CGS56_09290
ERR1913226.24284__1.24284	820__A0A374Q351__DXD40_05850
ERR1913226.24310__1.24310	820__A0A174CK74__DXB48_07060
ERR1913226.24422__1.24422	1262911__R6GZX7__BN557_00838
ERR1913226.24348__1.24348	1150298__A0A174I056__ERS852535_01387
ERR1913226.24360__1.24360	1160721__R6SW83__BHW50_08845
ERR1913226.24599__1.24599	88431__A0A174RFW8__ERS852526_02076
ERR1913226.24746__1.24746	1262761__R6QW09__BN606_00873
ERR1913226.24916__1.24916	820__A0A396EUU8__luxQ_3
ERR1913226.24975__1.24975	2293125__A0A374BUM7__DW917_12980
ERR1913226.25334__1.25334	1262911__R6GQM3__BN557_01245
ERR1913226.25536__1.25536	165179__R6C330__DXC61_04975
ERR1913226.25704__1.25704	853__A0A173YYY4__DWZ04_09420
ERR1913226.26006__1.26006	165179__A0A229I9X5__CFT61_01205
ERR1913226.26156__1.26156	2293125__A0A374CFU2__DW917_03475
ERR1913226.26213__1.26213	410072__C0B9A1__COPCOM_01727
ERR1913226.26240__1.26240	820__A0A139KJR5__M093_4469
ERR1913226.26243__1.26243	39492__R6SA81__EUBSIR_00402
ERR1913226.26257__1.26257	1262761__R6QVL2__BN606_00807
ERR1913226.26274__1.26274	384638__B7AS50__BACPEC_01905
ERR1913226.26487__1.26487	10868__GeneID:1261859
ERR1913226.26647__1.26647	2293125__A0A374BRU5__DW917_14365
ERR1913226.26744__1.26744	2293125__A0A374CII0__DW917_03470
ERR1913226.26842__1.26842	39485__C4Z6Z5__EUBELI_20593
ERR1913226.26845__1.26845	28116__D4WPD7__HMPREF1069_02183
ERR1913226.26863__1.26863	35833__E5Y6S3__HMPREF0179_01886
ERR1913226.26917__1.26917	820__A0A3E4G826__C801_01612
ERR1913226.26955__1.26955	820__A0A3E4G3J9__ERS852459_02265
ERR1913226.27076__1.27076	39485__R5ZT06__EUBELI_20526
ERR1913226.27102__1.27102	487174__K0XES7__HMPREF9448_00566
ERR1913226.27120__1.27120	821__A0A3E4WAR6__DXD64_10735
ERR1913226.27146__1.27146	745368__A0A1T4XQU7__SAMN02745178_02180
ERR1913226.27200__1.27200	820__A0A174M9V5__M093_0237
ERR1913226.27264__1.27264	61171__B9Y5T8__HOLDEFILI_01170
ERR1913226.27296__1.27296	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913226.27393__1.27393	384638__B7AX20__BACPEC_03270
ERR1913226.27645__1.27645	2293125__A0A374BZ50__DW917_11090
ERR1913226.28270__1.28270	384638__B7ANG9__BACPEC_00223
ERR1913226.28382__1.28382	1262988__R7N3H9__BN816_01359
ERR1913226.28690__1.28690	28118__R6F707__B5F99_15665
ERR1913226.28796__1.28796	820__A0A3E4G826__C801_01612
ERR1913226.28798__1.28798	820__A0A139KIL9__DXC68_05945
ERR1913226.28853__1.28853	165179__A0A3E5EB26__CFT61_02800
ERR1913226.29082__1.29082	1262889__R7HCE8__BN634_01718
ERR1913226.29145__1.29145	1150298__A0A174SLE6__mlc_1
ERR1913226.29165__1.29165	2293125__A0A374CII0__DW917_03470
ERR1913226.29222__1.29222	563769__GeneID:6973141
ERR1913226.29310__1.29310	853__A0A174UDE9__C4N25_12775
ERR1913226.29636__1.29636	1501391__GCA_000786575.1_00038
ERR1913226.29658__1.29658	218538__C9LL79__GCWU000321_00015
ERR1913226.29808__1.29808	2293125__A0A374CFT0__DW917_03440
ERR1913226.29815__1.29815	1263107__GCA_000436995.1_00210
ERR1913226.29957__1.29957	214856__A0A174CRY5__ERS852559_01060
ERR1913226.30010__1.30010	1262942__R7QVK2__BN520_01389
ERR1913226.30255__1.30255	39492__D4JWY5__rpe
ERR1913226.30445__1.30445	820__R7E9Z4__DXC68_06065
ERR1913226.30760__1.30760	246787__R6LGB3__BcellWH2_02361
ERR1913226.30839__1.30839	2293125__A0A374C4C8__DW917_09805
ERR1913226.31320__1.31320	820__A0A174EV88__HMPREF1072_01427
ERR1913226.31372__1.31372	820__R7E9Z4__DXC68_06065
ERR1913226.31342__1.31342	821__A0A174NM17__lacZ_6
ERR1913226.31672__1.31672	33043__D5HGR0__rpfC_2
ERR1913226.32013__1.32013	821__A0A0P0M2J4__DXD46_10295
ERR1913226.32053__1.32053	1262889__R7HAY6__BN634_02225
ERR1913226.32179__1.32179	2293125__A0A374C955__DW917_08135
ERR1913226.32276__1.32276	1262911__R6GQM3__BN557_01245
ERR1913226.32423__1.32423	28118__F9ZAB2__SAMEA44545918_01079
ERR1913226.32378__1.32378	1262944__R7ISZ0__BN596_02170
ERR1913226.32626__1.32626	1105031__J1H3W2__HMPREF1141_2783
ERR1913226.32721__1.32721	820__A7VAS1__HMPREF2141_03259
ERR1913226.32848__1.32848	1501391__GCA_000786575.1_00150
ERR1913226.32985__1.32985	239935__A0A2N8IV82__CXT99_06735
ERR1913226.33002__1.33002	214856__A0A174CRY5__ERS852559_01060
ERR1913226.33057__1.33057	218538__C9LPF0__GCWU000321_01429
ERR1913226.33234__1.33234	1262761__R6QVL2__BN606_00807
ERR1913226.33237__1.33237	28117__B0MSR5__BHV66_02095
ERR1913226.33316__1.33316	1160721__W0U330__BHW50_08125
ERR1913226.33317__1.33317	853__C7H7F5__DWZ46_01780
ERR1913226.33331__1.33331	2293125__A0A374C955__DW917_08135
ERR1913226.33332__1.33332	820__A0A174B4N2__M093_2531
ERR1913226.33454__1.33454	820__A0A3E4W980__M093_3873
ERR1913226.33466__1.33466	649756__A0A174F5S4__ecfA2
ERR1913226.33867__1.33867	562__P76296__yecT
ERR1913226.34063__1.34063	39485__A0A174Z851__cdaR_1
ERR1913226.34329__1.34329	1262736__R5Y652__BN496_00300
ERR1913226.34356__1.34356	1262889__R7HB69__BN634_01104
ERR1913226.34414__1.34414	371601__E5CE41__ERS852396_04351
ERR1913226.34567__1.34567	853__A0A3E2V168__FAEPRAM212_00929
ERR1913226.34594__1.34594	1262761__R6QJQ2__BN606_00751
ERR1913226.34691__1.34691	1262761__R6RU22__BN606_01110
ERR1913226.34784__1.34784	165179__A0A3E5E920__DXB80_11625
ERR1913226.34841__1.34841	39485__C4Z0T2__ykvU
ERR1913226.34861__1.34861	820__A0A173YYG4__evgS_3
ERR1913226.35027__1.35027	820__A0A174CG08__DXB62_13215
ERR1913226.35070__1.35070	165179__D1PHC0__PREVCOP_06640
ERR1913226.35086__1.35086	1262761__R6QTV2__BN606_01879
ERR1913226.35136__1.35136	1262911__R6GR13__BN557_00618
ERR1913226.35437__1.35437	823__A6LEF3__ERS852560_01356
ERR1913226.35487__1.35487	820__A0A139KIL9__DXC68_05945
ERR1913226.35671__1.35671	1262911__R6GQ41__BN557_00435
ERR1913226.35720__1.35720	1262761__R6RBJ5__BN606_02022
ERR1913226.35734__1.35734	1262761__R6RY17__BN606_01538
ERR1913226.35916__1.35916	2293125__A0A374BVX3__DW917_12740
ERR1913226.36154__1.36154	2293125__A0A374C9I8__DW917_06795
ERR1913226.36232__1.36232	1262911__R6GR13__BN557_00618
ERR1913226.36498__1.36498	165179__D1PGU8__PREVCOP_06463
ERR1913226.36634__1.36634	1262761__R6QS33__BN606_00308
ERR1913226.36763__1.36763	2293125__A0A374CII0__DW917_03470
ERR1913226.36849__1.36849	39485__A0A174YTF7__ERS852490_01271
ERR1913226.36961__1.36961	820__A0A174CK74__DXB48_07060
ERR1913226.37239__1.37239	487174__K0WTV8__DIT83_04385
ERR1913226.37331__1.37331	40518__R5DVR2__RBL236_00303
ERR1913226.37701__1.37701	1897011__A0A1Q6RE56__BHW41_04765
ERR1913226.37776__1.37776	544644__GCA_001915615.1_00037
ERR1913226.37785__1.37785	1262944__R7IZ88__BN596_00540
ERR1913226.37755__1.37755	214856__A0A174FSW2__ERS852447_02420
ERR1913226.37830__1.37830	1501391__GCA_000786575.1_00041
ERR1913226.37949__1.37949	1262761__R6QW09__BN606_00873
ERR1913226.38029__1.38029	301301__A0A395VAZ8__RHOM_11660
ERR1913226.38214__1.38214	1262911__R6GPC5__BN557_00852
ERR1913226.38411__1.38411	1262746__R5SS80__BN750_02125
ERR1913226.38479__1.38479	821__U6RDC2__DXD46_15675
ERR1913226.38534__1.38534	823__D0T9E4__DHW69_09115
ERR1913226.38608__1.38608	301301__A0A395V821__RHOM_13080
ERR1913226.38903__1.38903	2293125__A0A374CKY3__DW917_01805
ERR1913226.38981__1.38981	2293125__A0A374BZ50__DW917_11090
ERR1913226.39110__1.39110	1262761__R6QU78__BN606_01972
ERR1913226.39222__1.39222	1501391__GCA_000786575.1_00103
ERR1913226.39379__1.39379	820__A0A174VD39__DXD90_12235
ERR1913226.39521__1.39521	820__A0A139KJ23__celCCA
ERR1913226.39553__1.39553	384638__B7AWP7__BACPEC_03147
ERR1913226.39689__1.39689	39491__A0A173VH71__ERS852497_01827
ERR1913226.39874__1.39874	246787__I8V2S2__BACCELL_02524
ERR1913226.40064__1.40064	1262942__R7QX23__BN520_01368
ERR1913226.40215__1.40215	39485__C4Z355__ERS852490_01971
ERR1913226.40265__1.40265	820__A0A139KHX1__HMPREF2141_00289
ERR1913226.40411__1.40411	218538__C9LQW2__GCWU000321_01944
ERR1913226.40601__1.40601	821__A0A3E4XY72__NCTC10583_01067
ERR1913226.41015__1.41015	820__A7UYX8__DXD40_11635
ERR1913226.41026__1.41026	562__A0A0E1LDD5__B9N12_14240
ERR1913226.41308__1.41308	820__A0A3E4G8F8__ERS852421_01645
ERR1913226.41282__1.41282	1262761__R6QPN7__BN606_01059
ERR1913226.41364__1.41364	1262743__R5C054__BN727_01980
ERR1913226.41450__1.41450	239935__A0A2N8HUU6__CXT90_06150
ERR1913226.41506__1.41506	820__A0A139KHD8__ERS417307_00569
ERR1913226.41599__1.41599	39485__C4Z028__ERS852492_00100
ERR1913226.41971__1.41971	821__A0A0P0M2J4__DXD46_10295
ERR1913226.42030__1.42030	820__A0A139KHX1__HMPREF2141_00289
ERR1913226.42156__1.42156	1262889__R7H889__BN634_02048
ERR1913226.42139__1.42139	39492__D4JRR5__ERS852540_02089
ERR1913226.42318__1.42318	28116__E5CCI2__M089_3437
ERR1913226.42821__1.42821	817__R6ZRJ3__M148_1906
ERR1913226.42859__1.42859	871324__A0A1M6HHB2__SAMN05444350_11868
ERR1913226.42942__1.42942	1262761__R6RUC6__BN606_00092
ERR1913226.43027__1.43027	745368__A0A1T4XS74__SAMN02745178_02179
ERR1913226.43138__1.43138	2293125__A0A374CHQ0__DW917_02295
ERR1913226.43074__1.43074	40520__D4LUJ6__ERS852533_01270
ERR1913226.43159__1.43159	820__A0A139K8X8__DXC80_17665
ERR1913226.43227__1.43227	28116__A0A1G6G396__DXD69_22115
ERR1913226.43281__1.43281	2293125__A0A374C9I8__DW917_06795
ERR1913226.43297__1.43297	820__A0A139KJR5__M093_4469
ERR1913226.43619__1.43619	1262743__R5C054__BN727_01980
ERR1913226.43847__1.43847	2293125__A0A374BSW4__DW917_13420
ERR1913226.43902__1.43902	820__A0A173YYG4__evgS_3
ERR1913226.43960__1.43960	823__C7XBX3__HMPREF1059_03212
ERR1913226.44698__1.44698	166486__D4L1P5__ERS852572_00758
ERR1913226.44929__1.44929	820__A0A374MMF0__HMPREF1073_03811
ERR1913226.45224__1.45224	147206__GCF_000156215.1_01387
ERR1913226.45521__1.45521	820__R9I2U8__DXC68_09590
ERR1913226.45987__1.45987	2293125__A0A374BSW4__DW917_13420
ERR1913226.46769__1.46769	2293125__A0A374CFT0__DW917_03440
ERR1913226.46988__1.46988	39492__D4JRV7__EUBSIR_01513
ERR1913226.47086__1.47086	1262911__R6GSH8__BN557_00939
ERR1913226.47431__1.47431	2293125__A0A374BZ50__DW917_11090
ERR1913226.47470__1.47470	166486__D4KJ39__ERS852572_02622
ERR1913226.47971__1.47971	46228__V8BTB9__RUMLAC_01945
ERR1913226.48034__1.48034	165179__D1PGU8__PREVCOP_06463
ERR1913226.48555__1.48555	2293125__A0A374CHT4__DW917_03485
ERR1913226.48587__1.48587	1262889__R7H8W0__BN634_02256
ERR1913226.49004__1.49004	823__D0T9E4__DHW69_09115
ERR1913226.49258__1.49258	1263107__GCA_000436995.1_00175
ERR1913226.49396__1.49396	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913226.49710__1.49710	1262911__R6GKS1__BN557_00184
ERR1913226.49792__1.49792	1262911__R6GR13__BN557_00618
ERR1913226.49835__1.49835	165179__D1PFV4__PREVCOP_06112
ERR1913226.49861__1.49861	1262988__R7N397__BN816_01278
ERR1913226.49901__1.49901	10680__GeneID:1261099
ERR1913226.50106__1.50106	1150298__A0A174TDE7__ERS852535_00299
ERR1913226.50134__1.50134	1501391__GCA_000786575.1_00080
ERR1913226.50308__1.50308	155148__GeneID:921005
ERR1913226.50365__1.50365	39485__A0A174YSU1__ERS852492_00576
ERR1913226.50443__1.50443	820__A0A3E4WA06__ERS852554_03404
ERR1913226.50604__1.50604	820__A0A374MMF0__HMPREF1073_03811
ERR1913226.50635__1.50635	76489__A0A1E8EUC5__CLOACE_23150
ERR1913226.50723__1.50723	823__A0A355XFH7__ERS852513_00769
ERR1913226.50874__1.50874	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913226.50956__1.50956	47678__A5ZEP5__CGC64_03450
ERR1913226.51311__1.51311	214856__R6XUN2__rcsC_1
ERR1913226.51353__1.51353	28116__A0A139KS89__HMPREF2532_04387
ERR1913226.51373__1.51373	28118__R6F045__B5F99_10560
ERR1913226.51467__1.51467	820__A0A174A6K0__M093_0079
ERR1913226.51648__1.51648	820__A0A174FUF0__HMPREF1073_03308
ERR1913226.51695__1.51695	189722__E0NQU7__HMPREF0658_0548
ERR1913226.51874__1.51874	556259__E5C7G5__BSGG_0441
ERR1913226.51895__1.51895	40518__R5DU52__RB5AMG_02245
ERR1913226.53685__1.53685	820__A7V9F9__B5G17_14640
ERR1913226.54054__1.54054	47678__R5U9X5__BACCAC_01339
ERR1913226.54092__1.54092	39491__A0A396FSN2__EUBREC_0707
ERR1913226.54094__1.54094	2293125__A0A374CLA5__DW917_01130
ERR1913226.54125__1.54125	2293125__A0A374CHQ0__DW917_02295
ERR1913226.54136__1.54136	1263000__R5EI35__BN466_01649
ERR1913226.54223__1.54223	39485__C4Z6K2__ERS852490_00407
ERR1913226.54462__1.54462	165179__D1PGU8__PREVCOP_06463
ERR1913226.54480__1.54480	165179__A0A3E5EB26__CFT61_02800
ERR1913226.54621__1.54621	562__P46855__PU39_09885
ERR1913226.54731__1.54731	820__A0A139KH21__DXC80_01780
ERR1913226.54768__1.54768	165179__D1PCU4__PREVCOP_05029
ERR1913226.55145__1.55145	820__A7UYG6__M094_0070
ERR1913226.55303__1.55303	1262911__R6GYU2__BN557_00621
ERR1913226.55419__1.55419	28116__A0A1Y4PWN5__M088_3731
ERR1913226.55493__1.55493	28116__A7LXU0__HMPREF1070_00358
ERR1913226.55501__1.55501	116085__D4J8E0__DW747_09165
ERR1913226.55745__1.55745	165179__R6CNX7__DXB80_02200
ERR1913226.55966__1.55966	2293125__A0A374CHT4__DW917_03485
ERR1913226.56123__1.56123	820__A0A3E4IBC1__M094_0628
ERR1913226.56207__1.56207	165179__D1PGU8__PREVCOP_06463
ERR1913226.56477__1.56477	823__A0A174UI22__CF162_13840
ERR1913226.56494__1.56494	1262761__R6QZS1__BN606_01236
ERR1913226.56517__1.56517	2293125__A0A374BVX3__DW917_12740
ERR1913226.56623__1.56623	165179__A0A3E5A554__DXB80_13805
