ERR1913286.212__1.212	33043__A0A173WWJ5__ERS852386_00339
ERR1913286.5269__1.5269	165179__D1PGJ6__DXC61_07300
ERR1913286.5287__1.5287	853__A0A173XRA8__CGS56_09290
ERR1913286.5475__1.5475	239935__A0A2N8IRH4__CXT92_05605
ERR1913286.6095__1.6095	165179__A0A3E5DV57__DXB80_11400
ERR1913286.6205__1.6205	106588__A6P303__BACCAP_04887
ERR1913286.6194__1.6194	239935__A0A139TMD2__CXU18_02250
ERR1913286.6258__1.6258	823__E1YSG0__DHP27_00465
ERR1913286.6269__1.6269	357276__I9R994__BACDOR_04044
ERR1913286.6320__1.6320	1262924__R7HQD9__BN585_00129
ERR1913286.6412__1.6412	39491__A0A174LTW7__DXD13_08720
ERR1913286.6518__1.6518	301302__R5V7K8__M72_11711
ERR1913286.6764__1.6764	28026__R6P5N1__BBPC_1322
ERR1913286.6788__1.6788	1262911__R6GS52__BN557_00834
ERR1913286.6824__1.6824	165179__A0A3E5E3D6__DXC61_05750
ERR1913286.6909__1.6909	33043__D5HIS6__ERS852575_02019
ERR1913286.6981__1.6981	165179__A0A174UI01__DXB80_12165
ERR1913286.7019__1.7019	33043__A0A173ZEP9__araC_1
ERR1913286.7021__1.7021	28052__A0A174GQI3__ERS852451_00394
ERR1913286.7068__1.7068	626940__E8LF94__DCQ00_07860
ERR1913286.7136__1.7136	239935__A0A2N8HT18__CXT93_06135
ERR1913286.7219__1.7219	40518__R5DRG6__ylbJ
ERR1913286.7318__1.7318	39492__D4JWT3__ERS852540_00301
ERR1913286.7375__1.7375	166486__D4L1H3__sacC
ERR1913286.7477__1.7477	28117__B0MXD0__ALIPUT_01669
ERR1913286.7484__1.7484	1487__E3GET5__BUME_10820
ERR1913286.7736__1.7736	39492__A0A174Z2N0__EUBSIR_01615
ERR1913286.7995__1.7995	33043__D5HI50__smf
ERR1913286.7998__1.7998	165179__A0A3E4S980__PREVCOP_04626
ERR1913286.7983__1.7983	357276__A0A076IRX7__HMPREF1064_00526
ERR1913286.7986__1.7986	28117__B0MY40__BHV66_05170
ERR1913286.8027__1.8027	33043__A8SPT5__yfiN_2
ERR1913286.8305__1.8305	487175__R5EH93__HMPREF9439_01617
ERR1913286.8362__1.8362	33043__D5HGR0__rpfC_2
ERR1913286.8587__1.8587	165179__D1PGU8__PREVCOP_06463
ERR1913286.8690__1.8690	165179__A0A3E5DX15__DXC61_00345
ERR1913286.8792__1.8792	40518__R5DUU2__yvhJ_2
ERR1913286.8753__1.8753	165179__D1PCT4__DXB80_09470
ERR1913286.8894__1.8894	556259__E5C690__BSGG_1431
ERR1913286.9024__1.9024	39491__A0A395ZHV7__ykvU
ERR1913286.9029__1.9029	165179__D1PGU8__PREVCOP_06463
ERR1913286.9012__1.9012	1262924__R7HLJ5__BN585_01491
ERR1913286.9059__1.9059	1262992__R5CX54__BN795_00843
ERR1913286.9219__1.9219	165179__D1PGU8__PREVCOP_06463
ERR1913286.9323__1.9323	28052__R7N6Q7__rafA
ERR1913286.9366__1.9366	46228__V8C8L7__RUMLAC_00949
ERR1913286.9383__1.9383	165179__D1PCT4__DXB80_09470
ERR1913286.9438__1.9438	28052__A0A174HF53__ERS852499_00436
ERR1913286.9410__1.9410	823__A0A355XN73__DXC05_07000
ERR1913286.9515__1.9515	39492__A0A174Z2N0__EUBSIR_01615
ERR1913286.9608__1.9608	40518__R5DP61__DXD86_06345
ERR1913286.9731__1.9731	165179__A0A3E5E6C5__PREVCOP_03510
ERR1913286.9722__1.9722	165179__D1PCL6__DXB80_13435
ERR1913286.10362__1.10362	1262803__R6NFV5__BN649_01612
ERR1913286.10433__1.10433	1262743__R5BZ85__BN727_01705
ERR1913286.10450__1.10450	33043__D5HJ96__ERS852386_02112
ERR1913286.10476__1.10476	165179__D1PDG7__DXB80_11180
ERR1913286.10503__1.10503	357276__I9QPN0__B5F95_09195
ERR1913286.10610__1.10610	165179__A0A3E5EDV6__DXC61_03365
ERR1913286.10988__1.10988	165179__A0A3E5DN34__DXC61_07865
ERR1913286.11058__1.11058	1262824__R6RRF1__BN719_00389
ERR1913286.11193__1.11193	46228__V8C8L7__RUMLAC_00949
ERR1913286.11329__1.11329	40518__R5DTH7__DXD83_02405
ERR1913286.11541__1.11541	165179__A0A3E4SB80__DXC61_12880
ERR1913286.11570__1.11570	1160721__R6THG6__RBI_I00012
ERR1913286.11749__1.11749	165179__A0A174SA26__PREVCOP_05758
ERR1913286.11866__1.11866	165179__A0A3E5E7J5__DXC61_10360
ERR1913286.11970__1.11970	610243__A0A060QJF7__ASAP_2763
ERR1913286.12083__1.12083	165179__A0A3E5DX15__DXC61_00345
ERR1913286.12119__1.12119	649756__B0NWY5__DO83_02030
ERR1913286.12341__1.12341	1550024__G9RPP6__ASJ35_08860
ERR1913286.12414__1.12414	28052__R7NDD4__ywtF
ERR1913286.12456__1.12456	46503__R6X0F0__DD461_05620
ERR1913286.12510__1.12510	239935__A0A2N8HHB6__B5G29_11500
ERR1913286.12512__1.12512	165179__A0A229I9X5__CFT61_01205
ERR1913286.12559__1.12559	410072__A0A3E4GQ67__sigV_1
ERR1913286.12585__1.12585	1262924__R7HND0__BN585_00157
ERR1913286.12646__1.12646	239935__A0A2N8HT18__CXT93_06135
ERR1913286.12655__1.12655	35833__S2KTV4__HMPREF0179_05216
ERR1913286.12709__1.12709	165179__D1PES9__DXB80_11585
ERR1913286.12811__1.12811	1262924__R7HPS8__BN585_00646
ERR1913286.12883__1.12883	239935__A0A2N8IIB9__CXU04_01970
ERR1913286.13195__1.13195	165179__A0A3E5DY64__CFT61_10025
ERR1913286.13327__1.13327	2293125__A0A374BMK9__DW917_16190
ERR1913286.13334__1.13334	394340__purL
ERR1913286.13456__1.13456	853__A0A174UDE9__C4N25_12775
ERR1913286.13519__1.13519	28052__A0A174KGM3__ERS852451_01819
ERR1913286.13524__1.13524	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913286.13550__1.13550	39492__D4JSS2__EUBSIR_00553
ERR1913286.13755__1.13755	46228__V8C458__DXD17_08090
ERR1913286.13760__1.13760	1262924__R7HQN1__BN585_00550
ERR1913286.13677__1.13677	165179__A0A3E5E5H1__DXC61_07220
ERR1913286.13788__1.13788	165179__A0A3E5DZD8__DXB80_09150
ERR1913286.13969__1.13969	46503__A7AG59__ERS852463_00349
ERR1913286.14139__1.14139	116085__D4J519__DW747_07275
ERR1913286.14228__1.14228	165179__A0A229I1J2__DXB80_03950
ERR1913286.14241__1.14241	165179__D1PEQ5__PREVCOP_05711
ERR1913286.14249__1.14249	39491__A0A396FRE7__EUR_27520
ERR1913286.14391__1.14391	39491__A0A395ZHH5__ERS852497_02076
ERR1913286.14542__1.14542	301302__R5V7K8__M72_11711
ERR1913286.14690__1.14690	853__A0A174BZY1__xerD_1
ERR1913286.14709__1.14709	239935__A0A2N8IRH4__CXT92_05605
ERR1913286.14815__1.14815	239935__A0A2N8I5A2__DEF40_08455
ERR1913286.14834__1.14834	823__A6LER2__ERS852513_00365
ERR1913286.14837__1.14837	33043__D5HI36__ERS852400_02168
ERR1913286.14938__1.14938	239935__R6IZT7__CXU18_11710
ERR1913286.15013__1.15013	33043__A0A173W4M0__dnaD
ERR1913286.15032__1.15032	1262777__R5W7F1__BN512_00507
ERR1913286.15177__1.15177	100886__A0A174KNJ2__ERS852383_05320
ERR1913286.15454__1.15454	410072__A0A174J5N8__sbcC
ERR1913286.15837__1.15837	43675__A0A291DHC1__RMDY18_08950
ERR1913286.16050__1.16050	1628085__A0A374VUI1__C7386_11920
ERR1913286.16171__1.16171	165179__A0A3E5DR10__DXC61_03505
ERR1913286.16357__1.16357	487174__K0WY34__DDY40_07435
ERR1913286.16517__1.16517	853__A8S882__C4N23_07600
ERR1913286.16647__1.16647	40519__U2KKG4__RUMCAL_02379
ERR1913286.16788__1.16788	1262911__R6GSH8__BN557_00939
ERR1913286.16951__1.16951	39492__D4JVT0__EUBSIR_00059
ERR1913286.17079__1.17079	1262924__R7HST1__BN585_00215
ERR1913286.17108__1.17108	384639__GCA_003096855.1_01177
ERR1913286.17136__1.17136	165179__A0A3E5A832__DXC61_13685
ERR1913286.17175__1.17175	360807__A0A0M6WXP1__ROSEINA2194_03223
ERR1913286.17345__1.17345	28117__B0MTV0__BHV66_06395
ERR1913286.17774__1.17774	33043__D5HDZ9__ERS852386_00394
ERR1913286.17778__1.17778	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913286.17792__1.17792	410072__A0A174QCZ8__ERS852525_02613
ERR1913286.17828__1.17828	39491__A0A396FJJ9__DXB76_11995
ERR1913286.17843__1.17843	28052__A0A174M9U3__ERS852451_02548
ERR1913286.17923__1.17923	165179__A0A3E5E4P9__DXB80_07930
ERR1913286.18054__1.18054	147206__GCF_000156215.1_01387
ERR1913286.18154__1.18154	1262803__R6PPF0__BN649_02194
ERR1913286.18199__1.18199	47678__R5U8P0__DW706_15950
ERR1913286.18379__1.18379	39492__D4JWG6__EUBSIR_00253
ERR1913286.18456__1.18456	820__R9HXK9__DXB62_08265
ERR1913286.18463__1.18463	1160721__W0U834__RBI_I01990
ERR1913286.18545__1.18545	40518__R5DT16__ysdC_2
ERR1913286.18661__1.18661	165179__A0A174UTZ7__DXC61_06705
ERR1913286.18788__1.18788	47678__R5UES3__CGC64_00760
ERR1913286.19166__1.19166	1262924__R7HKX0__BN585_01279
ERR1913286.19200__1.19200	239935__A0A2N8IU45__DEF40_02365
ERR1913286.19247__1.19247	394340__group_3174
ERR1913286.19322__1.19322	28052__R7NAP6__ERS852499_01969
ERR1913286.19690__1.19690	39491__C4ZAT2__ERE_28440
ERR1913286.20083__1.20083	1262746__R5SRY0__BN750_01341
ERR1913286.20122__1.20122	239935__A0A2N8I6R6__CXU04_04335
ERR1913286.20222__1.20222	165179__A0A174XZU8__DXB80_12180
ERR1913286.20303__1.20303	28118__R6F045__B5F99_10560
ERR1913286.20447__1.20447	33043__A8SWM2__ERS852575_01910
ERR1913286.20602__1.20602	301302__A0A0M6W9I4__M72_19871
ERR1913286.20822__1.20822	239935__A0A2N8HUU6__CXT90_06150
ERR1913286.20779__1.20779	39491__A0A3E4YFT8__DXB69_10940
ERR1913286.20785__1.20785	1150298__R7JUW7__ERS852406_02089
ERR1913286.20848__1.20848	165179__D1PCL6__DXB80_13435
ERR1913286.20851__1.20851	46503__R6Y9P8__evgS_3
ERR1913286.20946__1.20946	1262889__R7H9H9__BN634_02436
ERR1913286.21123__1.21123	165179__D1PEZ7__DXC61_06515
ERR1913286.21119__1.21119	239935__A0A2N8IKW7__pstA
ERR1913286.21096__1.21096	33043__D5HFA1__ERS852400_02183
ERR1913286.21283__1.21283	39491__R6TQ09__DXC13_03010
ERR1913286.21289__1.21289	1263107__GCA_000436995.1_00194
ERR1913286.21398__1.21398	33043__A0A173X520__ERS852575_01617
ERR1913286.21444__1.21444	165179__A0A3E4SB95__DXC61_13455
ERR1913286.21519__1.21519	165179__A0A174IHQ2__PREVCOP_05478
ERR1913286.21726__1.21726	301302__A0A0M6WB38__ERS852420_00286
ERR1913286.21939__1.21939	165179__R6C3K4__PREVCOP_05795
ERR1913286.22129__1.22129	39491__A0A396FFW0__ERE_10580
ERR1913286.22315__1.22315	33043__D5HFD3__ybbD
ERR1913286.22360__1.22360	165179__A0A3E5AF88__DXC61_14960
ERR1913286.22485__1.22485	1628085__A0A2U1AVI7__C7386_1354
ERR1913286.22607__1.22607	165179__R6C5D6__PREVCOP_04658
ERR1913286.22635__1.22635	165179__D1PEW8__DXB80_13775
ERR1913286.22636__1.22636	165179__D1PGD2__DXC61_10875
ERR1913286.22681__1.22681	33043__A0A174EI47__inlJ
ERR1913286.22733__1.22733	1305__F0IP09__HMPREF9384_1096
ERR1913286.23016__1.23016	28117__B0MT86__BHV66_02450
ERR1913286.23116__1.23116	818__E5C5U7__SAMN05216253_101163
ERR1913286.23146__1.23146	853__A0A174BZY1__xerD_1
ERR1913286.23362__1.23362	239935__A0A2N8IZ16__CXT84_05850
ERR1913286.23437__1.23437	39491__C4Z9D4__DXD95_00055
ERR1913286.23605__1.23605	936548__J1LQB1__HMPREF1136_1838
ERR1913286.23784__1.23784	165179__R6XIF8__DXC61_07265
ERR1913286.23790__1.23790	187979__A0A173XW42__yceD_3
ERR1913286.23761__1.23761	165179__A0A3E5AGH1__DXB80_05820
ERR1913286.23896__1.23896	39491__A0A395V5R3__EUBREC_1883
ERR1913286.23925__1.23925	33043__D5HDF1__ERS852386_02231
ERR1913286.24019__1.24019	853__A0A3E2U7E6__ERS852582_01640
ERR1913286.24078__1.24078	39491__A0A174K9A3__DXB69_07785
ERR1913286.24096__1.24096	1263011__R6DM69__BN553_00962
ERR1913286.24120__1.24120	853__A0A173YYY4__DWZ04_09420
ERR1913286.24506__1.24506	39491__A0A173SH34__EUR_24920
ERR1913286.24540__1.24540	39491__A0A173TAZ5__DXB99_09520
ERR1913286.24584__1.24584	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913286.24592__1.24592	28052__A0A174M0I3__ERS852451_02171
ERR1913286.24858__1.24858	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913286.24968__1.24968	649756__L1Q8U4__ERS852571_01677
ERR1913286.25029__1.25029	853__A0A3E2V168__FAEPRAM212_00929
ERR1913286.25301__1.25301	39491__A0A395ZEN3__DXD95_12655
ERR1913286.25303__1.25303	410072__A0A173WD04__penA_2
ERR1913286.25343__1.25343	820__A0A139K5A6__DXB48_12175
ERR1913286.25445__1.25445	39491__D4JMW8__ERS852497_01971
ERR1913286.25551__1.25551	1263011__R6E0L4__BN553_01675
ERR1913286.25620__1.25620	165179__D1PHD6__DXC61_03380
ERR1913286.25577__1.25577	28052__A0A174KGM3__ERS852451_01819
ERR1913286.25580__1.25580	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913286.25592__1.25592	33043__A0A173YQY3__ERS852445_01438
ERR1913286.25644__1.25644	165179__A0A3E5E2C8__folA
ERR1913286.25828__1.25828	33043__A8SWM2__ERS852575_01910
ERR1913286.25898__1.25898	165179__A0A3E5AE59__DXC61_12885
ERR1913286.25912__1.25912	301301__G2T0A9__RHOM_03910
ERR1913286.26122__1.26122	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.26275__1.26275	165179__A0A229I1J2__DXB80_03950
ERR1913286.26731__1.26731	165179__A0A174XZU8__DXB80_12180
ERR1913286.26804__1.26804	384638__B7AN60__BACPEC_00112
ERR1913286.27053__1.27053	39491__A0A395ZBW8__DXC13_08840
ERR1913286.26999__1.26999	33043__D5HGZ8__nnr
ERR1913286.27110__1.27110	165179__D1PEW8__DXB80_13775
ERR1913286.27120__1.27120	1262743__R5CB38__BN727_01708
ERR1913286.27180__1.27180	165179__A0A174K816__DXB80_12000
ERR1913286.27254__1.27254	28052__A0A174YZ18__ERS852499_01382
ERR1913286.27217__1.27217	46503__A7AG53__DD461_14240
ERR1913286.27282__1.27282	823__A0A073I748__M096_3057
ERR1913286.27322__1.27322	39491__C4ZAT2__ERE_28440
ERR1913286.27556__1.27556	1628085__A0A396Q8F3__C7386_11924
ERR1913286.27561__1.27561	33043__A0A173YLD4__ERS852575_00535
ERR1913286.27619__1.27619	165179__D1PDJ4__DXB80_08505
ERR1913286.27940__1.27940	39491__A0A396FRK0__ERS852417_00541
ERR1913286.27944__1.27944	1965650__A0A1Y3VGH8__B5G16_02215
ERR1913286.27958__1.27958	47678__R5U7T0__CGC64_00755
ERR1913286.27986__1.27986	39492__R6RYB8__ERS852540_00322
ERR1913286.28063__1.28063	165179__R6CNX7__DXB80_02200
ERR1913286.28119__1.28119	76489__A0A1E8EUC5__CLOACE_23150
ERR1913286.28197__1.28197	28052__A0A174MDF2__lytR_7
ERR1913286.28244__1.28244	165179__A0A174SA26__PREVCOP_05758
ERR1913286.28332__1.28332	626940__E8LER5__BHW43_05405
ERR1913286.28308__1.28308	239935__A0A2N8HH03__CXU09_08875
ERR1913286.28412__1.28412	726__H1LMP8__HMPREF1053_0587
ERR1913286.28421__1.28421	165179__A0A229I9X5__CFT61_01205
ERR1913286.28460__1.28460	1262743__R5CCN6__BN727_02239
ERR1913286.28534__1.28534	64186__GeneID:1262114
ERR1913286.28609__1.28609	165179__A0A3E5DX15__DXC61_00345
ERR1913286.29020__1.29020	165179__A0A174IHQ2__PREVCOP_05478
ERR1913286.29187__1.29187	39491__A0A395ZBQ4__cph2_2
ERR1913286.29377__1.29377	28117__B0MXJ1__BHV66_08445
ERR1913286.29384__1.29384	40520__A0A395X2X5__C4886_03165
ERR1913286.29476__1.29476	40518__R5DQK2__DXD93_03730
ERR1913286.29460__1.29460	39492__D4JWP8__EUBSIR_00699
ERR1913286.29542__1.29542	33043__A0A174DSP1__essC_2
ERR1913286.29577__1.29577	853__A0A3E2U7E6__ERS852582_01640
ERR1913286.29848__1.29848	165179__D1P8Q2__trpF
ERR1913286.29943__1.29943	1262803__R6PQS1__BN649_00399
ERR1913286.30289__1.30289	853__E2ZGD9__C7J97_11715
ERR1913286.30322__1.30322	39492__D4JWD3__EUBSIR_00151
ERR1913286.30360__1.30360	39491__D4JM76__DXC13_02150
ERR1913286.30441__1.30441	33043__D5HGR0__rpfC_2
ERR1913286.30675__1.30675	165179__A0A3E5EBQ2__DXC61_01930
ERR1913286.30652__1.30652	39491__A0A173U130__ERE_16110
ERR1913286.30754__1.30754	33043__A0A173YYE7__ERS852445_00670
ERR1913286.30787__1.30787	39492__D4JVX0__udk
ERR1913286.30826__1.30826	28052__A0A174Z2D5__mcp2_3
ERR1913286.30914__1.30914	1262911__R6H1D2__BN557_00855
ERR1913286.30988__1.30988	853__A0A2A7A4A9__C4N21_14870
ERR1913286.31135__1.31135	39491__A0A395V5L2__ERE_28270
ERR1913286.31362__1.31362	33043__D5HI86__ERS852575_00288
ERR1913286.31433__1.31433	1262803__R6P3W2__BN649_00055
ERR1913286.31651__1.31651	39491__A0A395ZKJ0__DXD13_11010
ERR1913286.31683__1.31683	301301__A0A174C8W8__ERS852391_01378
ERR1913286.31709__1.31709	39488__C0ESJ2__DXD91_14695
ERR1913286.31760__1.31760	853__A0A3E2V168__FAEPRAM212_00929
ERR1913286.31846__1.31846	1262911__R6GPB1__BN557_00837
ERR1913286.31943__1.31943	1262803__R6PTE4__BN649_00829
ERR1913286.32003__1.32003	39492__D4JWX2__accB
ERR1913286.32021__1.32021	28052__A0A174I2V6__ERS852499_00643
ERR1913286.32168__1.32168	165179__A0A229I740__DXC61_10430
ERR1913286.32329__1.32329	39491__A0A395ZDC6__addB
ERR1913286.32472__1.32472	820__A0A374Q4X1__HMPREF2141_02370
ERR1913286.32504__1.32504	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.32565__1.32565	1628085__A0A374VV54__C7386_11332
ERR1913286.32886__1.32886	165179__A0A3E5DV57__DXB80_11400
ERR1913286.32929__1.32929	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913286.32953__1.32953	165179__A0A229I7F5__DXB80_02650
ERR1913286.32958__1.32958	165179__A0A3E5DX15__DXC61_00345
ERR1913286.32965__1.32965	74426__group_4823
ERR1913286.32999__1.32999	165179__A0A174W369__PREVCOP_04548
ERR1913286.33031__1.33031	165179__A0A3E5E3D6__DXC61_05750
ERR1913286.33096__1.33096	39492__D4JX50__EUBSIR_00410
ERR1913286.33290__1.33290	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.33337__1.33337	2293125__A0A374BY09__DW917_11855
ERR1913286.33392__1.33392	33043__D5HIK4__ERS852400_01112
ERR1913286.33397__1.33397	165179__D1PGU8__PREVCOP_06463
ERR1913286.33546__1.33546	33043__A0A174GAW5__ydcV_2
ERR1913286.33558__1.33558	33043__A0A173RQ80__ERS852445_02211
ERR1913286.33872__1.33872	40518__R5DUU8__DXD86_08440
ERR1913286.33911__1.33911	817__E1WQT1__AC239_39370
ERR1913286.33989__1.33989	165179__A0A229I9X5__CFT61_01205
ERR1913286.34400__1.34400	165179__A0A3E4SID1__DXB80_01945
ERR1913286.34709__1.34709	1897011__A0A1Q6RE67__BHW41_04635
ERR1913286.34929__1.34929	487175__F3QJ64__HMPREF9439_00964
ERR1913286.35254__1.35254	39491__A0A395V1R3__T1815_08181
ERR1913286.35275__1.35275	821__A6L0C7__ERS852556_03520
ERR1913286.35351__1.35351	28052__A0A174KKX6__ERS852499_01429
ERR1913286.35541__1.35541	100886__A0A174MX77__fruA_1
ERR1913286.35620__1.35620	1262803__R6NPX5__BN649_00999
ERR1913286.35817__1.35817	33043__D5HH62__ERS852575_00121
ERR1913286.35947__1.35947	28052__A0A174JNB2__ERS852499_01122
ERR1913286.35883__1.35883	165179__R6C330__DXC61_04975
ERR1913286.35884__1.35884	28118__F9Z5U0__sfp
ERR1913286.35982__1.35982	39492__D4JRV7__EUBSIR_01513
ERR1913286.36069__1.36069	165179__A0A229I1J2__DXB80_03950
ERR1913286.36217__1.36217	74426__pta
ERR1913286.36376__1.36376	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913286.36551__1.36551	46228__B5CQB8__RUMLAC_01663
ERR1913286.36560__1.36560	239935__A0A2N8I3G2__CXT89_00720
ERR1913286.36649__1.36649	39492__A0A174ZHV5__msbA_2
ERR1913286.36658__1.36658	357276__A0A0M1W9N4__GV66_05135
ERR1913286.36669__1.36669	39492__D4JWY0__EUBSIR_01648
ERR1913286.36792__1.36792	853__A8S882__C4N23_07600
ERR1913286.36823__1.36823	1262911__R6GQM3__BN557_01245
ERR1913286.36825__1.36825	39491__D6E118__DXB69_05765
ERR1913286.36889__1.36889	88431__A0A174G8Q6__ERS852526_02711
ERR1913286.37272__1.37272	165179__R6C3K4__PREVCOP_05795
ERR1913286.37273__1.37273	1262803__R6NPX5__BN649_00999
ERR1913286.37454__1.37454	28117__R7JN92__BHV66_00550
ERR1913286.37469__1.37469	387090__S0F7Y3__BACCOPRO_02028
ERR1913286.37533__1.37533	47678__A5ZEA3__ERS852558_00257
ERR1913286.37505__1.37505	39491__D6E408__EUBREC_1466
ERR1913286.37656__1.37656	39491__C4Z9E9__T1815_12341
ERR1913286.37660__1.37660	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913286.37796__1.37796	39491__A0A396FRE7__EUR_27520
ERR1913286.37980__1.37980	239935__A0A2N8IMC3__CXT96_03840
ERR1913286.38110__1.38110	76489__A0A1E8EUC5__CLOACE_23150
ERR1913286.38062__1.38062	239935__A0A2N8IVK9__CXU08_03750
ERR1913286.38189__1.38189	165179__A0A3E5EDV6__DXC61_03365
ERR1913286.38312__1.38312	33043__A0A173YSY7__tilS
ERR1913286.38502__1.38502	487174__K0X1D9__HMPREF9448_00919
ERR1913286.38632__1.38632	40518__R5DV66__DXD83_04215
ERR1913286.38741__1.38741	39492__D4JS87__EUBSIR_02328
ERR1913286.38871__1.38871	28117__B0MT84__ALIPUT_00402
ERR1913286.39108__1.39108	1262924__R7HRJ9__BN585_00557
ERR1913286.39198__1.39198	338188__A0A174DQN3__HMPREF1057_03481
ERR1913286.39426__1.39426	39491__D6E4H2__DXB99_00485
ERR1913286.39454__1.39454	1796652__ltrA_3
ERR1913286.39568__1.39568	28117__B0MWP2__ALIPUT_01468
ERR1913286.39934__1.39934	165179__A0A3E5E4P9__DXB80_07930
ERR1913286.39972__1.39972	74426__infB
ERR1913286.40098__1.40098	1262924__R7HQ03__BN585_01295
ERR1913286.40169__1.40169	626940__E8LE57__HMPREF9443_01128
ERR1913286.40247__1.40247	33043__A0A173ZL29__ERS852386_01345
ERR1913286.40248__1.40248	1262929__R6FTR6__BN691_00242
ERR1913286.40436__1.40436	1262911__R6GSH8__BN557_00939
ERR1913286.40548__1.40548	165179__D1PES9__DXB80_11585
ERR1913286.40615__1.40615	165179__A0A3E5AG99__DXB80_04390
ERR1913286.40876__1.40876	39491__A0A396FFW0__ERE_10580
ERR1913286.41124__1.41124	33043__D5HIL8__ERS852386_02009
ERR1913286.41151__1.41151	33043__D5HGZ8__nnr
ERR1913286.41227__1.41227	165179__D1PAJ7__PREVCOP_04222
ERR1913286.41453__1.41453	39488__A0A173RH64__EUBHAL_01712
ERR1913286.41496__1.41496	39492__D4JRZ7__smc
ERR1913286.41627__1.41627	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.41844__1.41844	360807__A0A1Q6SWU5__ERS852444_03068
ERR1913286.41740__1.41740	165179__A0A229I2W6__PREVCOP_04332
ERR1913286.41767__1.41767	1263011__R6E7H1__BN553_00739
ERR1913286.41846__1.41846	1262911__R6H2J2__BN557_01228
ERR1913286.41913__1.41913	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913286.42034__1.42034	40518__R5E2Z2__DXD93_09295
ERR1913286.42081__1.42081	36343__GeneID:1261150
ERR1913286.42278__1.42278	40518__R5DU52__RB5AMG_02245
ERR1913286.42371__1.42371	165179__A0A174SR12__DXB80_04410
ERR1913286.42568__1.42568	1262924__R7HRA8__BN585_01680
ERR1913286.43038__1.43038	165179__A0A174SR12__DXB80_04410
ERR1913286.43153__1.43153	39492__D4JQU6__ERS852540_02194
ERR1913286.43127__1.43127	1150298__R7JRC8__ERS852535_02456
ERR1913286.43322__1.43322	410072__A0A173YGR9__ERS852389_00952
ERR1913286.43467__1.43467	28052__R7N6Q7__rafA
ERR1913286.43480__1.43480	301302__R5UNJ6__M72_26701
ERR1913286.43570__1.43570	39486__R6SE83__DXD82_03080
ERR1913286.43619__1.43619	853__A0A173YYY4__DWZ04_09420
ERR1913286.43681__1.43681	28118__F9Z3G8__B5F99_01835
