ERR1912966.46__1.46	1161942__argD
ERR1912966.7266__1.7266	33043__A0A173YEP6__ERS852575_00888
ERR1912966.7387__1.7387	1680__A0A1X3A951__AL0462_1583
ERR1912966.7555__1.7555	1262761__R6QND0__BN606_00112
ERR1912966.7597__1.7597	33043__A0A173W4M0__dnaD
ERR1912966.7604__1.7604	239935__A0A2N8HUU6__CXT90_06150
ERR1912966.7729__1.7729	944036__A0A196S7C0__AV274_5324
ERR1912966.7915__1.7915	1161942__copA_2
ERR1912966.7825__1.7825	2014542__A0A220SSC6__CEK62_19860
ERR1912966.7836__1.7836	1161942__ccr
ERR1912966.8030__1.8030	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.8062__1.8062	239935__A0A2N8IHY1__CXU06_00035
ERR1912966.8179__1.8179	165179__D1PDT3__PREVCOP_05375
ERR1912966.8224__1.8224	33043__D5HHT0__ERS852445_02798
ERR1912966.8227__1.8227	33043__D5HIS6__ERS852575_02019
ERR1912966.8750__1.8750	944036__A0A196SMU2__AV274_0715
ERR1912966.8808__1.8808	239935__A0A2N8ITX2__CXT86_11265
ERR1912966.9076__1.9076	1680__A0A0B5BIU5__BSTER_0145
ERR1912966.9141__1.9141	40518__R5DW64__RBL236_01394
ERR1912966.9150__1.9150	239935__R6J776__CXU07_02355
ERR1912966.9217__1.9217	239935__A0A139TQT9__Amuc_1197
ERR1912966.9254__1.9254	165179__A0A229I1J2__DXB80_03950
ERR1912966.9568__1.9568	33043__A0A174EI47__inlJ
ERR1912966.9581__1.9581	33043__D5HHF5__ERS852386_00025
ERR1912966.9858__1.9858	28117__B0MY45__ALIPUT_02164
ERR1912966.9856__1.9856	853__A0A173YYY4__DWZ04_09420
ERR1912966.10090__1.10090	1680__R5GR82__AD0028_0014
ERR1912966.10106__1.10106	28117__B0MU76__ALIPUT_00202
ERR1912966.10182__1.10182	239935__A0A2N8INZ4__CXU08_03560
ERR1912966.10235__1.10235	1262961__R6ELH5__BN710_01000
ERR1912966.10262__1.10262	1897011__A0A1Q6REU8__BHW41_04300
ERR1912966.10547__1.10547	1262761__R6RY17__BN606_01538
ERR1912966.10520__1.10520	33043__A0A173SQ62__ERS852575_01610
ERR1912966.10604__1.10604	33043__A0A174EI47__inlJ
ERR1912966.10649__1.10649	33043__A0A173XM20__ERS852445_01573
ERR1912966.10738__1.10738	360807__A0A1Q6TCY9__ERS852444_01883
ERR1912966.10809__1.10809	39492__D4JQM9__EUBSIR_00669
ERR1912966.11208__1.11208	39491__C4ZF05__vpr
ERR1912966.11475__1.11475	1262986__R6AM69__BN492_00893
ERR1912966.11501__1.11501	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.11722__1.11722	853__A0A173SUU8__CGS54_06840
ERR1912966.11758__1.11758	239935__A0A3F3KBB8__CXU16_06755
ERR1912966.11925__1.11925	39485__C4Z6F3__EUBELI_20400
ERR1912966.12013__1.12013	39485__A0A174Z851__cdaR_1
ERR1912966.12046__1.12046	33043__A8SPT5__yfiN_2
ERR1912966.12284__1.12284	1161942__bdhA
ERR1912966.12662__1.12662	33043__A0A173WTR4__ERS852386_00324
ERR1912966.12887__1.12887	33043__D5HI09__ERS852575_02656
ERR1912966.12897__1.12897	214856__R6Y2Y4__ERS852447_01086
ERR1912966.12972__1.12972	239935__A0A2N8HQR1__Amuc_0287
ERR1912966.13019__1.13019	853__D4JY61__C4N21_10560
ERR1912966.13116__1.13116	28117__B0MTV3__BHV66_06405
ERR1912966.13445__1.13445	1161942__addA_3
ERR1912966.13514__1.13514	33043__D5HIC8__vspIM
ERR1912966.13545__1.13545	1161942__araQ_2
ERR1912966.13864__1.13864	74426__purL
ERR1912966.13890__1.13890	216816__C2GUV2__APC1478_0430
ERR1912966.14081__1.14081	39488__A0A374NKN1__ltaS_2
ERR1912966.14246__1.14246	1680__A0A374QDL4__LMG18897_0432
ERR1912966.14713__1.14713	1161942__celZ_1
ERR1912966.14871__1.14871	1262825__R5E9W7__BN724_00536
ERR1912966.15071__1.15071	1262761__R6RUQ5__BN606_01129
ERR1912966.15293__1.15293	214856__A0A175A6T5__ERS852447_02658
ERR1912966.15396__1.15396	901__B6WXF1__DESPIGER_1660
ERR1912966.15651__1.15651	1897011__A0A1Q6RGC2__BHW41_02765
ERR1912966.15592__1.15592	216816__D6ZWI5__B5781_1661
ERR1912966.15894__1.15894	1263027__R6ZEN0__BN699_02354
ERR1912966.15902__1.15902	1263000__R5ESM1__BN466_01440
ERR1912966.16111__1.16111	216816__C2GUV2__APC1478_0430
ERR1912966.16215__1.16215	39492__D4MIY5__EUBSIR_00233
ERR1912966.16289__1.16289	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1912966.16391__1.16391	239935__R6JWJ7__CXT94_02580
ERR1912966.16543__1.16543	33043__A0A173W9Y8__ERS852575_00062
ERR1912966.16832__1.16832	1897011__A0A1Q6RE76__BHW41_04850
ERR1912966.17293__1.17293	214856__I3YPQ3__Alfi_2711
ERR1912966.17526__1.17526	944036__A0A196SFK2__AV274_3371
ERR1912966.17530__1.17530	901__B6WTQ4__DESPIGER_1255
ERR1912966.17700__1.17700	1161942__cmk
ERR1912966.17909__1.17909	239935__A0A2N8IRH4__CXT92_05605
ERR1912966.18013__1.18013	310297__B5CXJ7__DXB87_06645
ERR1912966.18029__1.18029	823__D0TC25__B5F32_04575
ERR1912966.18166__1.18166	1262761__R6R8A4__BN606_01470
ERR1912966.18524__1.18524	1262761__R6RU22__BN606_01110
ERR1912966.18834__1.18834	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1912966.18868__1.18868	239935__A0A2N8HPS5__Amuc_0950
ERR1912966.18872__1.18872	1262761__R6QWI4__BN606_00934
ERR1912966.18914__1.18914	820__A0A139K0J1__HMPREF2141_03205
ERR1912966.18993__1.18993	74426__pflB_2
ERR1912966.19353__1.19353	33043__A0A173W4M0__dnaD
ERR1912966.19394__1.19394	33043__A8SPT5__yfiN_2
ERR1912966.19464__1.19464	33043__A0A173YEP6__ERS852575_00888
ERR1912966.19520__1.19520	214856__I3YPN5__Alfi_2693
ERR1912966.19542__1.19542	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1912966.19730__1.19730	1680__A1A0V3__C8077_03025
ERR1912966.19704__1.19704	39492__A0A174ZL16__EUBSIR_01269
ERR1912966.19813__1.19813	853__A0A329UEG4__CHR60_00585
ERR1912966.19974__1.19974	239935__A0A2N8HUU6__CXT90_06150
ERR1912966.20031__1.20031	360807__A0A1Q6T5F1__fliF
ERR1912966.20260__1.20260	1262761__R6QJJ2__BN606_00358
ERR1912966.20286__1.20286	853__A0A173RZ39__C4N22_01650
ERR1912966.20368__1.20368	944036__A0A196SM42__AV274_1323
ERR1912966.20638__1.20638	944036__A0A196S984__AV274_5754
ERR1912966.20825__1.20825	1897011__A0A1Q6REW8__BHW41_04435
ERR1912966.21111__1.21111	853__A0A173YYY4__DWZ04_09420
ERR1912966.21089__1.21089	1262761__R6RNL8__BN606_00387
ERR1912966.21144__1.21144	239935__A0A2N8HW65__CXU09_08515
ERR1912966.21156__1.21156	292800__A0A1C7FQ74__HMPREF9460_03995
ERR1912966.21316__1.21316	214856__R6YD52__ERS852447_02171
ERR1912966.21250__1.21250	33043__A0A174H1B6__ERS852575_02702
ERR1912966.21251__1.21251	239935__A0A2N8IRW0__A4V05_11620
ERR1912966.21255__1.21255	1680__A0A174BEE7__BSTER_1311
ERR1912966.22309__1.22309	853__A0A174BZY1__xerD_1
ERR1912966.22470__1.22470	216816__B7GN29__BL72_08765
ERR1912966.22712__1.22712	28117__B0MUT8__ALIPUT_00879
ERR1912966.22802__1.22802	239935__R6JD78__CXU05_09250
ERR1912966.22877__1.22877	33043__A8SWM2__ERS852575_01910
ERR1912966.23086__1.23086	165179__A0A3E5AE59__DXC61_12885
ERR1912966.23362__1.23362	1235835__R9LCU2__C814_02677
ERR1912966.23381__1.23381	165179__D1PE06__DXC61_05975
ERR1912966.23484__1.23484	1262911__R6GTG0__BN557_01247
ERR1912966.23756__1.23756	239935__R7DVL7__CXT93_01180
ERR1912966.23827__1.23827	1262761__R6QH71__BN606_00371
ERR1912966.24181__1.24181	1161942__cipA
ERR1912966.24383__1.24383	1262761__R6QYZ5__BN606_00402
ERR1912966.24422__1.24422	239935__A0A2N8IQX1__dnaA
ERR1912966.24397__1.24397	239935__A0A2N8HAQ1__DEF40_05290
ERR1912966.25328__1.25328	33043__D5HFA1__ERS852400_02183
ERR1912966.25386__1.25386	1262761__R6R840__BN606_01433
ERR1912966.25447__1.25447	214856__I3YPP2__Alfi_2700
ERR1912966.25515__1.25515	214856__A0A174ZZS1__ERS852559_01484
ERR1912966.25916__1.25916	1262988__R7N218__BN816_01556
ERR1912966.26001__1.26001	165179__A0A3E4SG51__DXC61_10575
ERR1912966.26088__1.26088	1161942__aroA_1
ERR1912966.26116__1.26116	853__A0A2A7B9I6__DW855_13690
ERR1912966.26242__1.26242	106588__A6NUL8__BACCAP_01900
ERR1912966.26486__1.26486	239935__A0A2N8IMD6__CXU03_05585
ERR1912966.26646__1.26646	239935__A0A2N8IRW0__A4V05_11620
ERR1912966.26845__1.26845	165179__D1PDF6__DXB80_12430
ERR1912966.26928__1.26928	239935__A0A2N8IYM5__CXT84_05130
ERR1912966.27010__1.27010	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1912966.27151__1.27151	1897011__A0A1Q6RGC2__BHW41_02765
ERR1912966.27251__1.27251	239935__A0A2N8I3G2__CXT89_00720
ERR1912966.27362__1.27362	310297__B5CUD7__BHV76_11070
ERR1912966.27586__1.27586	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1912966.27689__1.27689	1161942__asnB_1
ERR1912966.27702__1.27702	1897011__A0A1Q6RI94__BHW41_01260
ERR1912966.28374__1.28374	239935__R7DVL7__CXT93_01180
ERR1912966.28567__1.28567	1897011__A0A1Q6RG48__BHW41_02345
ERR1912966.28582__1.28582	216816__B3DR71__CE159_04070
ERR1912966.28620__1.28620	39496__A5Z5I2__EUBVEN_00963
ERR1912966.28622__1.28622	239935__A0A2N8IFA0__CXT92_02050
ERR1912966.28757__1.28757	1680__A7A2Y2__NCTC11814_00537
ERR1912966.28942__1.28942	216816__C5E8I1__yciB
ERR1912966.29240__1.29240	1680__A0A173W5Z2__DXC53_01290
ERR1912966.29269__1.29269	1262915__R6HEL0__BN574_00515
ERR1912966.29310__1.29310	33043__A0A173QXC2__hyaD_1
ERR1912966.29484__1.29484	74426__nifJ
ERR1912966.29564__1.29564	239935__R6IZT7__CXU18_11710
ERR1912966.29850__1.29850	1897011__A0A1Q6RDW7__BHW41_05280
ERR1912966.29859__1.29859	999425__W1VEQ1__HMPREF9186_02113
ERR1912966.29861__1.29861	823__D0TDY6__DHP27_09090
ERR1912966.30067__1.30067	901__B6WQ99__BHW59_02695
ERR1912966.30134__1.30134	1235835__R9LCU2__C814_02677
ERR1912966.30138__1.30138	1680__R5GMB5__AD0028_1137
ERR1912966.30227__1.30227	901__B6WTG8__DESPIG_01374
ERR1912966.30268__1.30268	165179__A0A3E5E4T9__DXB80_08030
ERR1912966.30333__1.30333	1263000__R5ES99__BN466_01121
ERR1912966.30466__1.30466	28117__B0MY34__BHV66_05195
ERR1912966.30704__1.30704	116085__D4J7S7__DW747_05675
ERR1912966.30771__1.30771	74426__argF
ERR1912966.30759__1.30759	1262761__R6QR72__BN606_01181
ERR1912966.30817__1.30817	33043__A0A174ADZ1__dcuS_1
ERR1912966.30874__1.30874	1262761__R6QWS5__BN606_02019
ERR1912966.31027__1.31027	165179__D1PCT4__DXB80_09470
ERR1912966.31092__1.31092	239935__R6JWJ7__CXT94_02580
ERR1912966.31967__1.31967	239935__R7E524__CXT91_06180
ERR1912966.31982__1.31982	239935__A0A2N8J2P6__ADH72_06730
ERR1912966.31986__1.31986	1680__R5GZF2__DXC60_01925
ERR1912966.32008__1.32008	1150298__A0A174M3Q0__kynB
ERR1912966.32527__1.32527	33043__A0A173W4M0__dnaD
ERR1912966.32531__1.32531	33043__A0A173YPE0__thiD
ERR1912966.32550__1.32550	46503__R6WY21__DXB85_01605
ERR1912966.32591__1.32591	239935__A0A2N8IRL2__CXU06_01170
ERR1912966.32828__1.32828	28117__B0MY82__BHV66_04755
ERR1912966.32868__1.32868	239935__A0A2N8IMC9__CXU09_02095
ERR1912966.32986__1.32986	165179__A0A3E5A832__DXC61_13685
ERR1912966.33585__1.33585	216816__B3DR71__CE159_04070
ERR1912966.33855__1.33855	239935__A0A2N8HUU6__CXT90_06150
ERR1912966.34049__1.34049	1263027__R6ZKM0__BN699_02199
ERR1912966.34059__1.34059	1262911__R6H1D2__BN557_00855
ERR1912966.34082__1.34082	39496__A5Z5I2__EUBVEN_00963
ERR1912966.34249__1.34249	1681__E4VB35__BIFI_0413
ERR1912966.34321__1.34321	853__A0A173XRA8__CGS56_09290
ERR1912966.34366__1.34366	39492__A0A3D4MN89__nadD
ERR1912966.34390__1.34390	1680__A0A173W9E6__C8077_07070
ERR1912966.34534__1.34534	1263000__R5EKR3__BN466_00099
ERR1912966.34655__1.34655	239935__A0A2N8IF99__lpdA
ERR1912966.34690__1.34690	1262961__R6DV35__BN710_01867
ERR1912966.34789__1.34789	239935__R7DVL7__CXT93_01180
ERR1912966.35085__1.35085	33043__A0A173WXS1__ERS852445_00262
ERR1912966.35103__1.35103	853__A0A2A7B9I6__DW855_13690
ERR1912966.35164__1.35164	1897011__A0A1Q6RDI4__BHW41_05605
ERR1912966.35252__1.35252	360807__C0G0B4__ERS852444_02399
ERR1912966.35276__1.35276	33043__D5HIA8__ERS852575_01867
ERR1912966.35297__1.35297	1161942__chbP_1
ERR1912966.35760__1.35760	33043__A0A174FIJ8__ERS852445_02217
ERR1912966.35853__1.35853	1150298__A0A174HEB6__ypdC_2
ERR1912966.36011__1.36011	216816__E8MVM4__APC1480_1562
ERR1912966.36020__1.36020	1161942__comM
ERR1912966.36165__1.36165	1262761__R6QU88__BN606_01983
ERR1912966.36394__1.36394	74426__nifJ
ERR1912966.36521__1.36521	40518__R5DV58__htrA
ERR1912966.36577__1.36577	165179__D1PC26__PREVCOP_04756
ERR1912966.36715__1.36715	1262869__R7CLS0__BN625_01160
ERR1912966.36863__1.36863	165179__R6CNX7__DXB80_02200
ERR1912966.36927__1.36927	1263027__R7A798__BN699_01307
ERR1912966.37034__1.37034	1161942__ackA
ERR1912966.37020__1.37020	33043__A0A174A113__ERS852445_00416
ERR1912966.37208__1.37208	33043__A0A173WTV6__ERS852400_02153
ERR1912966.37362__1.37362	853__C7H1R8__DW905_06675
ERR1912966.37483__1.37483	33043__A0A174DAG8__dapF
ERR1912966.37524__1.37524	471189__GCA_003340385.1_00017
ERR1912966.37589__1.37589	901__B6WTR4__DESPIGER_1248
ERR1912966.37645__1.37645	630129__A0A087B617__BKAS_1320
ERR1912966.37689__1.37689	292800__A0A174V8M0__A4U99_15280
ERR1912966.37795__1.37795	291644__I9HRU8__ERS852428_03635
ERR1912966.37986__1.37986	1796652__dnaK
ERR1912966.38172__1.38172	39496__A5Z5I2__EUBVEN_00963
ERR1912966.38466__1.38466	239935__A0A139TPG3__CXT86_08810
ERR1912966.38442__1.38442	1680__A0A1E7Y0K2__DXC59_05185
ERR1912966.38552__1.38552	239935__A0A3F3K985__CXT98_05805
ERR1912966.38858__1.38858	1262869__R7CNL6__BN625_01290
ERR1912966.38878__1.38878	165179__A0A3E5DZ45__DXC61_02820
ERR1912966.39034__1.39034	901__B6WS90__DHV46_08165
ERR1912966.39101__1.39101	944036__A0A196S984__AV274_5754
ERR1912966.39161__1.39161	33043__A8SWI7__bcrC
ERR1912966.39315__1.39315	1235835__R9LCU2__C814_02677
ERR1912966.39356__1.39356	33043__D5HIL8__ERS852386_02009
ERR1912966.39332__1.39332	33043__A8SPT5__yfiN_2
ERR1912966.39526__1.39526	239935__A0A3F3K985__CXT98_05805
ERR1912966.39651__1.39651	1161942__celI_5
ERR1912966.39841__1.39841	944036__A0A196S9L6__AV274_5258
ERR1912966.39823__1.39823	901__B6WUG8__DHV46_10540
ERR1912966.40067__1.40067	33043__A0A173XM20__ERS852445_01573
ERR1912966.40178__1.40178	1262761__R6R840__BN606_01433
ERR1912966.40305__1.40305	214856__A0A174ZLX0__ERS852559_00738
ERR1912966.40245__1.40245	165179__D1PDT3__PREVCOP_05375
ERR1912966.40673__1.40673	78346__A0A087D3Y1__BRUM_1576
ERR1912966.40941__1.40941	28117__R7JPX7__BHV66_00900
ERR1912966.40983__1.40983	944036__A0A196SFK2__AV274_3371
ERR1912966.41016__1.41016	165179__D1PGU8__PREVCOP_06463
ERR1912966.41217__1.41217	853__C7H7F8__yccM_1
ERR1912966.41402__1.41402	1680__R5GKP2__DXD60_06200
ERR1912966.41438__1.41438	1262761__R6QYZ5__BN606_00402
ERR1912966.41481__1.41481	2293125__A0A374BIB7__DW917_16550
ERR1912966.41490__1.41490	1263000__R5ELA0__BN466_02255
ERR1912966.41497__1.41497	1262761__R6R4Y1__BN606_02001
ERR1912966.41566__1.41566	853__A0A3E2V168__FAEPRAM212_00929
ERR1912966.41623__1.41623	1262961__R6DN27__BN710_00738
ERR1912966.41644__1.41644	1262700__R5XC07__BN695_01332
ERR1912966.41738__1.41738	853__A0A2A7B1Y7__C7K05_11930
ERR1912966.41771__1.41771	239935__A0A2N8I9N0__CXT97_09915
ERR1912966.41788__1.41788	33043__A0A173QUI0__ERS852386_00036
ERR1912966.42045__1.42045	239935__A0A2N8IYM5__CXT84_05130
ERR1912966.42120__1.42120	821__A0A395UNT8__DXD64_15275
ERR1912966.42406__1.42406	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1912966.42614__1.42614	239935__A0A2N8HPS5__Amuc_0950
ERR1912966.42695__1.42695	1235835__R9LCU2__C814_02677
ERR1912966.42773__1.42773	165179__A0A3E5E2V4__PREVCOP_05070
ERR1912966.43042__1.43042	1680__A0A0B5BL52__ERS852382_00480
ERR1912966.43694__1.43694	853__A0A2A7A628__CGS57_13755
ERR1912966.43661__1.43661	820__A7VAR9__ERS852421_00197
ERR1912966.43744__1.43744	1262961__R6E0S3__BN710_00820
ERR1912966.43890__1.43890	853__A0A173YYY4__DWZ04_09420
ERR1912966.43896__1.43896	239935__A0A3F3K9J9__DEF40_00940
ERR1912966.44067__1.44067	33043__D5HF50__ERS852386_02415
ERR1912966.44121__1.44121	552398__F4XCR9__HMPREF0866_01636
ERR1912966.44222__1.44222	936548__J1LPB1__HMPREF1136_1572
ERR1912966.44269__1.44269	33043__A0A173QUA9__ERS852400_01795
ERR1912966.44437__1.44437	239935__A0A139TPG3__CXT86_08810
ERR1912966.44618__1.44618	33043__D5HIK4__ERS852400_01112
ERR1912966.44719__1.44719	239935__A0A2N8HBM4__CXT85_06270
ERR1912966.44838__1.44838	33043__A0A174DAG8__dapF
ERR1912966.44867__1.44867	239935__B2UNC5__B5G29_07685
ERR1912966.45033__1.45033	1161942__csd_2
ERR1912966.45059__1.45059	1680__A0A174BEE7__BSTER_1311
ERR1912966.45073__1.45073	165179__A0A3E5AI09__DXC61_05815
ERR1912966.45076__1.45076	33043__A0A374K1H3__ykoD_2
ERR1912966.45186__1.45186	61171__B9Y5T9__HOLDEFILI_01171
ERR1912966.46060__1.46060	1161942__copA_2
ERR1912966.46159__1.46159	823__A0A174JYU9__DER51_02115
ERR1912966.46255__1.46255	820__A0A139JUD3__DXC91_19380
ERR1912966.46466__1.46466	239935__R6J776__CXU07_02355
ERR1912966.46577__1.46577	165179__R6CNX7__DXB80_02200
ERR1912966.46655__1.46655	1263000__R5EVY6__BN466_01709
ERR1912966.46921__1.46921	1680__R5GRA4__ERS852382_01548
ERR1912966.46923__1.46923	239935__R6JD78__CXU05_09250
ERR1912966.46962__1.46962	853__A0A2A7B9I6__DW855_13690
ERR1912966.47117__1.47117	28118__R6EZY7__B5F99_12680
ERR1912966.47326__1.47326	310297__B5D009__DXB87_08940
ERR1912966.47569__1.47569	1263000__R5EI35__BN466_01649
ERR1912966.47717__1.47717	1161942__chbP_1
ERR1912966.47877__1.47877	1262761__R6QU88__BN606_01983
ERR1912966.47878__1.47878	40518__R5DYP7__envC
ERR1912966.48005__1.48005	901__B6WUF4__DESPIG_01712
ERR1912966.48014__1.48014	33043__D5HIK4__ERS852400_01112
ERR1912966.48188__1.48188	292800__G9YPX7__ERS852518_06690
ERR1912966.48221__1.48221	1897011__A0A1Q6RE67__BHW41_04635
ERR1912966.48237__1.48237	45851__D4S288__BHV86_04325
ERR1912966.48290__1.48290	165179__D1PGD2__DXC61_10875
ERR1912966.48509__1.48509	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1912966.48667__1.48667	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912966.49143__1.49143	33043__D5HIL5__ERS852445_01761
ERR1912966.49636__1.49636	1262911__R6H2J2__BN557_01228
ERR1912966.49746__1.49746	1897011__A0A1Q6REU8__BHW41_04300
ERR1912966.49718__1.49718	1262761__R6QW14__BN606_00877
ERR1912966.49723__1.49723	901__B6WY35__DESPIGER_1461
ERR1912966.49726__1.49726	165179__A0A229I740__DXC61_10430
ERR1912966.49828__1.49828	1161942__aroA_1
ERR1912966.50039__1.50039	165179__A0A174SR12__DXB80_04410
ERR1912966.50072__1.50072	33043__D5HHZ6__ERS852386_02725
ERR1912966.50097__1.50097	1680__A0A0B5BME4__DXD63_05015
ERR1912966.50230__1.50230	901__B6WRK4__DESPIG_00695
ERR1912966.50555__1.50555	116085__D4J6U8__DW747_08385
ERR1912966.50603__1.50603	1680__R5GSL8__DXD60_03315
ERR1912966.50613__1.50613	1897011__A0A1Q6RJU8__BHW41_00020
ERR1912966.50700__1.50700	1262825__R5EAF0__BN724_01054
ERR1912966.50801__1.50801	239935__B2URG6__CXU02_00030
ERR1912966.50781__1.50781	239935__A0A2N8HH03__CXU09_08875
ERR1912966.50901__1.50901	1263027__R7A035__BN699_02175
ERR1912966.51186__1.51186	1896974__A0A1Q6H7S4__BHV77_07555
ERR1912966.51247__1.51247	1262961__R6E1C5__BN710_01058
ERR1912966.51209__1.51209	165179__A0A3E5AI09__DXC61_05815
ERR1912966.51355__1.51355	1680__A0A0C2VBJ4__birA
ERR1912966.51499__1.51499	853__A0A329UEG4__CHR60_00585
ERR1912966.51514__1.51514	165179__A0A3E5EDS1__DXC61_03115
ERR1912966.51595__1.51595	239935__A0A2N8HL50__CXT98_09135
ERR1912966.51626__1.51626	33043__D5HIL8__ERS852386_02009
ERR1912966.51721__1.51721	239935__R7E524__CXT91_06180
ERR1912966.51731__1.51731	572010__rpoB
ERR1912966.51917__1.51917	1262761__R6R5Y2__BN606_00214
ERR1912966.51919__1.51919	239935__B2URG9__CXU00_11290
ERR1912966.52004__1.52004	239935__R6JCH3__CXT95_08205
ERR1912966.51991__1.51991	820__A0A174B4N2__M093_2531
ERR1912966.52037__1.52037	1263000__R5EF60__BN466_01316
ERR1912966.52067__1.52067	1263000__R5ES99__BN466_01121
ERR1912966.52169__1.52169	1161942__clpC_3
ERR1912966.52277__1.52277	33043__A8SQU6__ERS852386_01237
ERR1912966.52311__1.52311	901__B6WVE2__DHV46_05785
ERR1912966.52375__1.52375	216816__R5MZK3__DPC6320_1630
ERR1912966.52378__1.52378	239935__B2URG6__CXU02_00030
ERR1912966.52386__1.52386	1262761__R6RPK4__BN606_00541
ERR1912966.52467__1.52467	239935__A0A2N8HT44__CXT84_11035
ERR1912966.52658__1.52658	165179__A0A174UTZ7__DXC61_06705
ERR1912966.52802__1.52802	1681__I3WJE2__DXC50_07465
ERR1912966.52921__1.52921	1262869__R7CRP7__BN625_01723
ERR1912966.52969__1.52969	165179__R6BPK1__DXB80_04445
ERR1912966.53493__1.53493	1262761__R6RTQ9__BN606_01087
ERR1912966.53494__1.53494	40518__A0A373KL92__RBATCC27255_01378
ERR1912966.53901__1.53901	165179__A0A229I740__DXC61_10430
ERR1912966.53944__1.53944	820__A0A174GK47__ERS852421_00200
ERR1912966.54034__1.54034	1262761__R6QVL2__BN606_00807
ERR1912966.54472__1.54472	1262761__R6RZF9__BN606_01803
ERR1912966.54638__1.54638	1263006__R6LYA7__BN515_01307
ERR1912966.54642__1.54642	239935__A0A2N8HUU6__CXT90_06150
ERR1912966.54675__1.54675	410072__A0A174QHJ5__COPCOM_03116
ERR1912966.55015__1.55015	239935__A0A2N8IF99__lpdA
