ERR1913239.775__1.775	39485__A0A174Z2K9__ERS852490_02052
ERR1913239.12835__1.12835	1263000__R5EKG2__BN466_02040
ERR1913239.13136__1.13136	487174__K0X3E8__DIT83_11025
ERR1913239.13174__1.13174	1262911__R6H2J2__BN557_01228
ERR1913239.13691__1.13691	394340__nifJ
ERR1913239.13766__1.13766	1262927__R7EX56__BN677_00089
ERR1913239.14255__1.14255	39485__R6AET9__EUBELI_01205
ERR1913239.14437__1.14437	28117__B0MSS9__BHV66_06085
ERR1913239.14792__1.14792	166486__D4KZF9__ROSINTL182_08499
ERR1913239.14929__1.14929	1263000__R5EGY6__BN466_00973
ERR1913239.15157__1.15157	328814__GCA_004558275.1_00987
ERR1913239.15577__1.15577	552398__F4XCR9__HMPREF0866_01636
ERR1913239.15588__1.15588	39488__A0A174ALY3__ERS852450_00805
ERR1913239.15796__1.15796	901__A0A1K1LGQ2__DESPIG_02072
ERR1913239.15803__1.15803	1262927__R7EX56__BN677_00089
ERR1913239.16514__1.16514	1262927__R7EX56__BN677_00089
ERR1913239.16681__1.16681	1263000__R5EGY6__BN466_00973
ERR1913239.16764__1.16764	46228__B5CSA1__HMPREF1202_00678
ERR1913239.17138__1.17138	1262927__R7EX56__BN677_00089
ERR1913239.17563__1.17563	28117__B0MU76__ALIPUT_00202
ERR1913239.17574__1.17574	28117__B0MTV3__BHV66_06405
ERR1913239.17801__1.17801	1263000__R5EK63__BN466_02075
ERR1913239.17759__1.17759	1897011__A0A1Q6RCY0__BHW41_05945
ERR1913239.17980__1.17980	853__A0A173RZ39__C4N22_01650
ERR1913239.18159__1.18159	214856__I3YPP1__Alfi_2699
ERR1913239.18166__1.18166	28117__B0MTH2__ALIPUT_00061
ERR1913239.18238__1.18238	1897011__A0A1Q6RI11__BHW41_00845
ERR1913239.18708__1.18708	1897011__A0A1Q6RBR7__BHW41_06875
ERR1913239.18851__1.18851	46228__V8CE24__thiD
ERR1913239.18896__1.18896	35833__E5Y2V2__HMPREF0179_00466
ERR1913239.19030__1.19030	214856__R6XKW1__ERS852559_01141
ERR1913239.19571__1.19571	328814__GCA_004558275.1_00296
ERR1913239.19786__1.19786	28117__B0MVL2__BHV66_01645
ERR1913239.19988__1.19988	853__A0A174UDE9__C4N25_12775
ERR1913239.20220__1.20220	1262889__R7HAQ6__BN634_02130
ERR1913239.20536__1.20536	853__E2ZGD9__C7J97_11715
ERR1913239.20647__1.20647	1263000__R5EGY7__BN466_01478
ERR1913239.21065__1.21065	28117__B0MY34__BHV66_05195
ERR1913239.21593__1.21593	446660__GCA_003428235.1_02026
ERR1913239.21837__1.21837	821__I9R3W6__DXC16_12455
ERR1913239.21996__1.21996	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913239.22132__1.22132	1897011__A0A1Q6RH12__BHW41_01505
ERR1913239.22230__1.22230	1262927__R7EX56__BN677_00089
ERR1913239.22781__1.22781	40520__A5ZTQ5__ERS852533_02495
ERR1913239.22717__1.22717	28117__B0MU76__ALIPUT_00202
ERR1913239.22888__1.22888	33025__A0A395JDV3__C8D73_101685
ERR1913239.23176__1.23176	1263000__R5EC87__BN466_00713
ERR1913239.23618__1.23618	454154__G5SQ59__HMPREF9441_01496
ERR1913239.23794__1.23794	817__D1JRG3__M076_0507
ERR1913239.24291__1.24291	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.24751__1.24751	487174__K0X3U2__DIT83_02455
ERR1913239.24805__1.24805	74426__group_4823
ERR1913239.25023__1.25023	214856__A0A174EJT5__mnmA
ERR1913239.25024__1.25024	1263000__R5EQI3__BN466_00125
ERR1913239.25167__1.25167	487174__K0WRZ5__HMPREF9448_02826
ERR1913239.25234__1.25234	901__B6WXG2__DESPIG_02788
ERR1913239.25283__1.25283	487174__K0X3U2__DIT83_02455
ERR1913239.25307__1.25307	214856__A0A174CRY5__ERS852559_01060
ERR1913239.26015__1.26015	166486__D4KZY5__ROSINTL182_07635
ERR1913239.26754__1.26754	818__Q8A0R7__ERS852461_00039
ERR1913239.27012__1.27012	28117__B0MVL5__BHV66_01660
ERR1913239.27151__1.27151	1263000__R5EAZ0__BN466_00537
ERR1913239.27186__1.27186	1263000__R5EBJ1__BN466_00540
ERR1913239.27410__1.27410	1262886__R6Q9F4__BN563_00588
ERR1913239.27553__1.27553	901__B6WUN6__DHV46_11020
ERR1913239.28172__1.28172	901__B6WXF1__DESPIGER_1660
ERR1913239.28288__1.28288	204516__U6RFB2__HMPREF1534_01733
ERR1913239.28632__1.28632	338188__C9L067__ERS852397_00004
ERR1913239.29182__1.29182	33039__A0A174ZCB2__ERS852577_04014
ERR1913239.29250__1.29250	214856__A0A175A6T5__ERS852447_02658
ERR1913239.29434__1.29434	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913239.29542__1.29542	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913239.29792__1.29792	216816__D6DCR3__APC1464_1142
ERR1913239.29714__1.29714	35833__E5YAY4__HMPREF0179_03355
ERR1913239.29927__1.29927	1262886__R6QIV0__BN563_00982
ERR1913239.29982__1.29982	823__A6L930__DDY96_14995
ERR1913239.30048__1.30048	1897011__A0A1Q6RET2__BHW41_04000
ERR1913239.30905__1.30905	216816__A0A083X5W4__HMPREF0177_01593
ERR1913239.31178__1.31178	376805__F0QZX4__Bacsa_0543
ERR1913239.31455__1.31455	328814__GCA_004558275.1_00051
ERR1913239.31561__1.31561	1263000__R5EVY6__BN466_01709
ERR1913239.32083__1.32083	1262746__R5SS80__BN750_02125
ERR1913239.32156__1.32156	28117__B0MTH2__ALIPUT_00061
ERR1913239.32161__1.32161	1897011__A0A1Q6RG59__BHW41_02475
ERR1913239.32420__1.32420	292800__G9YPS4__ERS852544_03247
ERR1913239.32592__1.32592	901__B6WUI5__DESPIGER_1817
ERR1913239.32718__1.32718	28117__B0MY40__BHV66_05170
ERR1913239.32781__1.32781	901__B6WUW8__DESPIGER_1921
ERR1913239.32706__1.32706	1262911__R6GZW9__BN557_00833
ERR1913239.32962__1.32962	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913239.33141__1.33141	821__A0A174ALF2__BvMPK_3016
ERR1913239.33158__1.33158	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.33241__1.33241	901__B6WY50__DESPIGER_1446
ERR1913239.33304__1.33304	1262911__R6H2J2__BN557_01228
ERR1913239.33413__1.33413	28117__B0MUX4__ALIPUT_00911
ERR1913239.33448__1.33448	821__A0A0P0M2J4__DXD46_10295
ERR1913239.33477__1.33477	901__B6WVE0__DESPIG_02056
ERR1913239.33498__1.33498	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913239.33951__1.33951	28117__B0MY36__BHV66_05185
ERR1913239.33957__1.33957	1501391__GCA_000786575.1_00040
ERR1913239.33980__1.33980	39491__A0A3E4YFT8__DXB69_10940
ERR1913239.34187__1.34187	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913239.34473__1.34473	820__R9I2U8__DXC68_09590
ERR1913239.34602__1.34602	394340__glnA_1
ERR1913239.35085__1.35085	1263000__R5EJ27__BN466_01916
ERR1913239.35378__1.35378	28117__B0N028__BHV66_05935
ERR1913239.36108__1.36108	901__A0A1K1LGQ2__DESPIG_02072
ERR1913239.36278__1.36278	214856__I3YPP3__Alfi_2701
ERR1913239.36316__1.36316	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913239.36546__1.36546	74426__purL
ERR1913239.36749__1.36749	745368__A0A1T4XK16__SAMN02745178_01970
ERR1913239.37091__1.37091	2108523__A0A2P2F8A7__LAWASA_2275
ERR1913239.37143__1.37143	901__B6WUN9__DESPIGER_1850
ERR1913239.37275__1.37275	1235835__R9LCU2__C814_02677
ERR1913239.37408__1.37408	901__B6WVJ0__BHW59_08380
ERR1913239.37524__1.37524	853__A8SGX8__C4N21_08625
ERR1913239.37445__1.37445	1099853__G9S0P5__NSB1T_11890
ERR1913239.37495__1.37495	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913239.38592__1.38592	853__A0A174UDE9__C4N25_12775
ERR1913239.38752__1.38752	28117__B0MVL5__BHV66_01660
ERR1913239.39430__1.39430	1262927__R7EX56__BN677_00089
ERR1913239.39552__1.39552	1501391__GCA_000786575.1_00052
ERR1913239.39623__1.39623	28117__B0MVL2__BHV66_01645
ERR1913239.39709__1.39709	166486__A0A1Q6SGI9__ERS852572_00327
ERR1913239.40149__1.40149	853__A8S882__C4N23_07600
ERR1913239.40485__1.40485	487174__K0WT60__DDY40_05170
ERR1913239.40587__1.40587	853__A0A329UEG4__CHR60_00585
ERR1913239.40902__1.40902	853__R6QDR1__C4N27_08170
ERR1913239.41113__1.41113	1263000__R5EPJ2__BN466_00954
ERR1913239.41596__1.41596	214856__A0A175A6T5__ERS852447_02658
ERR1913239.41621__1.41621	1263000__R5EDV4__BN466_01097
ERR1913239.41936__1.41936	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.42052__1.42052	471189__GCA_003340385.1_00565
ERR1913239.42092__1.42092	28117__B0MU76__ALIPUT_00202
ERR1913239.42375__1.42375	39496__A5Z5I2__EUBVEN_00963
ERR1913239.43158__1.43158	28117__B0MZ50__ALIPUT_02424
ERR1913239.43385__1.43385	572010__group_1977
ERR1913239.44566__1.44566	1262927__R7EX56__BN677_00089
ERR1913239.44789__1.44789	446660__GCA_003428235.1_01285
ERR1913239.45598__1.45598	204516__U6RDJ3__HMPREF1534_02097
ERR1913239.45645__1.45645	853__E2ZGD9__C7J97_11715
ERR1913239.46218__1.46218	674529__R6V187__DXB21_21665
ERR1913239.46956__1.46956	821__E5UY21__C800_02204
ERR1913239.47329__1.47329	853__A0A173SUU8__CGS54_06840
ERR1913239.48131__1.48131	544644__GCA_001915615.1_01040
ERR1913239.48310__1.48310	1262992__R5DH34__BN795_00678
ERR1913239.48321__1.48321	1262911__R6GP58__BN557_00798
ERR1913239.48384__1.48384	1262927__R7EX56__BN677_00089
ERR1913239.49155__1.49155	35833__E5Y2V2__HMPREF0179_00466
ERR1913239.49175__1.49175	33039__A0A173U4W1__ERS852502_00464
ERR1913239.49835__1.49835	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913239.50032__1.50032	1235790__S0J8L6__C805_00148
ERR1913239.50277__1.50277	1262927__R7EX56__BN677_00089
ERR1913239.51402__1.51402	28117__B0MY82__BHV66_04755
ERR1913239.51416__1.51416	1897011__A0A1Q6RC30__BHW41_06700
ERR1913239.52135__1.52135	901__B6WRB3__DESPIGER_0300
ERR1913239.52736__1.52736	901__B6WTG1__glpB
ERR1913239.52843__1.52843	74426__nifJ
ERR1913239.53006__1.53006	79604__rpoB
ERR1913239.53260__1.53260	45851__D4RYU3__BUTYVIB_01007
ERR1913239.53350__1.53350	74426__pflB_2
ERR1913239.53436__1.53436	1897011__A0A1Q6RFA6__BHW41_03080
ERR1913239.53410__1.53410	1263000__R5EQI3__BN466_00125
ERR1913239.53988__1.53988	1262753__R5B0C5__BN813_01872
ERR1913239.54144__1.54144	901__B6WXD6__DHV46_02215
ERR1913239.54327__1.54327	39491__A0A395ZGE4__ERS852497_01269
ERR1913239.54803__1.54803	901__B6WUI5__DESPIGER_1817
ERR1913239.55203__1.55203	1501391__GCA_000786575.1_00096
ERR1913239.55269__1.55269	446660__GCA_003428235.1_01417
ERR1913239.55280__1.55280	1262927__R7EX56__BN677_00089
ERR1913239.55574__1.55574	39485__C4Z0G6__spoIVB
ERR1913239.56992__1.56992	106588__A6P303__BACCAP_04887
ERR1913239.57056__1.57056	446660__GCA_003428235.1_00994
ERR1913239.57409__1.57409	853__E2ZJT1__C4N23_03535
ERR1913239.58593__1.58593	166486__D4KZ14__inlA_1
ERR1913239.58686__1.58686	216816__B3DPC3__CE169_06855
ERR1913239.59282__1.59282	39496__A5Z5I2__EUBVEN_00963
ERR1913239.59473__1.59473	1263000__R5EC87__BN466_00713
ERR1913239.59497__1.59497	46503__R6WUT7__NCTC13052_01657
ERR1913239.59551__1.59551	292800__A0A1C7FMU7__ERS852518_02778
ERR1913239.59793__1.59793	853__A0A173RZ39__C4N22_01650
ERR1913239.60145__1.60145	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913239.61044__1.61044	28117__B0MTH2__ALIPUT_00061
ERR1913239.61156__1.61156	1262911__R6GLA5__BN557_01456
ERR1913239.61718__1.61718	745368__A0A1T4X705__SAMN02745178_01472
ERR1913239.61880__1.61880	166486__D4KXZ4__ROSINTL182_05055
ERR1913239.62263__1.62263	901__B6WTW8__DESPIGER_1202
ERR1913239.62302__1.62302	166486__D4KUE4__ROSINTL182_08606
ERR1913239.62593__1.62593	46503__K5ZKR1__dnaB
ERR1913239.62782__1.62782	1262913__R7JDJ2__BN646_01863
ERR1913239.63174__1.63174	820__A0A3E5BMG9__DXD40_05130
ERR1913239.63546__1.63546	552398__F4XCQ4__HMPREF0866_01621
ERR1913239.64007__1.64007	901__B6WXS9__pssA
ERR1913239.64209__1.64209	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913239.64661__1.64661	216816__D6DBD5__DXC32_04335
ERR1913239.64969__1.64969	671266__GCA_004801615.1_00178
ERR1913239.65201__1.65201	1262927__R7EX56__BN677_00089
ERR1913239.65310__1.65310	901__B6WXF1__DESPIGER_1660
ERR1913239.66503__1.66503	1262927__R7EX56__BN677_00089
ERR1913239.66618__1.66618	1263000__R5EKR3__BN466_00099
ERR1913239.66672__1.66672	853__D4K7X0__DW905_09540
ERR1913239.66848__1.66848	1263044__GCA_000433375.1_00650
ERR1913239.67171__1.67171	28117__B0MY40__BHV66_05170
ERR1913239.67255__1.67255	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.67538__1.67538	853__D4JY61__C4N21_10560
ERR1913239.67539__1.67539	33043__A0A173ZEP9__araC_1
ERR1913239.67787__1.67787	820__A0A3E4VZY4__ERS852554_01211
ERR1913239.67839__1.67839	1660__A7BBU4__APY09_04410
ERR1913239.67910__1.67910	901__B6WWW5__DESPIGER_2454
ERR1913239.67994__1.67994	1263000__R5EIH8__BN466_01210
ERR1913239.68548__1.68548	166486__R6AY46__ROSINTL182_06128
ERR1913239.68700__1.68700	166486__D4L1P2__ROSINTL182_05240
ERR1913239.68859__1.68859	1262911__R6H174__BN557_01246
ERR1913239.69012__1.69012	1261__D3MR67__SAMN05660467_01650
ERR1913239.69149__1.69149	1263000__R5EIH8__BN466_01210
ERR1913239.70807__1.70807	901__B6WY46__DESPIGER_1451
ERR1913239.71130__1.71130	901__B6WVN9__DESPIG_02157
ERR1913239.71511__1.71511	853__A0A174C5M1__CGS58_04460
ERR1913239.71626__1.71626	33039__D4M0U9__mucD
ERR1913239.71639__1.71639	817__A0A017NKW0__M141_0282
ERR1913239.71740__1.71740	1262927__R7EX56__BN677_00089
ERR1913239.72055__1.72055	28117__B0MYI9__BHV66_05415
ERR1913239.72394__1.72394	214856__A0A174EQR4__rsmA
ERR1913239.72959__1.72959	33039__D4M4Y2__ERS852390_00147
ERR1913239.72905__1.72905	328814__GCA_004558275.1_00056
ERR1913239.73062__1.73062	1263000__R5EJ27__BN466_01916
ERR1913239.74521__1.74521	74426__infB
ERR1913239.74499__1.74499	33025__A0A395JBB5__C8D73_107104
ERR1913239.75267__1.75267	1897011__A0A1Q6RIC6__BHW41_01345
ERR1913239.75571__1.75571	626929__F3PM80__HMPREF9445_02977
ERR1913239.75722__1.75722	1262927__R7EX56__BN677_00089
ERR1913239.76381__1.76381	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913239.76511__1.76511	214856__R6XUN2__rcsC_1
ERR1913239.76571__1.76571	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913239.76679__1.76679	901__B6WRB3__DESPIGER_0300
ERR1913239.78322__1.78322	166486__D4KWM9__ROSINTL182_06036
ERR1913239.78884__1.78884	745368__A0A1T4Y8U9__SAMN02745178_02851
ERR1913239.79384__1.79384	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913239.79940__1.79940	901__B6WUN9__DESPIGER_1850
ERR1913239.79944__1.79944	544645__A0A3E4T275__DXC42_12265
ERR1913239.80157__1.80157	901__B6WXH1__DESPIGER_1644
ERR1913239.80240__1.80240	853__A0A174C5M1__CGS58_04460
ERR1913239.80478__1.80478	29361__B6FKH5__CLONEX_00621
ERR1913239.80425__1.80425	1263000__R5EHB0__BN466_01647
ERR1913239.80947__1.80947	1262992__R5D1X3__BN795_00176
ERR1913239.81185__1.81185	74426__rpoB
ERR1913239.81262__1.81262	1897011__A0A1Q6RH29__BHW41_01570
ERR1913239.81350__1.81350	387090__S0F8B2__BACCOPRO_02129
ERR1913239.81581__1.81581	328814__GCA_004558275.1_00289
ERR1913239.81791__1.81791	1262886__R6REM1__BN563_00995
ERR1913239.82007__1.82007	1262911__R6GT76__BN557_01150
ERR1913239.82229__1.82229	1263000__R5EQI3__BN466_00125
ERR1913239.82574__1.82574	901__B6WVX9__DESPIG_02247
ERR1913239.82711__1.82711	61171__B9Y5T8__HOLDEFILI_01170
ERR1913239.84025__1.84025	301301__A0A395V4X8__ERS852391_01546
ERR1913239.84214__1.84214	853__A0A173RZ39__C4N22_01650
ERR1913239.84249__1.84249	47678__R5UST1__ERS852558_03505
ERR1913239.84325__1.84325	214856__R6Y1K2__ERS852447_02306
ERR1913239.84472__1.84472	46228__B5CNQ2__HMPREF1202_00124
ERR1913239.84513__1.84513	901__B6WVN3__DHV46_02690
ERR1913239.84526__1.84526	626929__F3PHB7__HMPREF9445_01465
ERR1913239.85244__1.85244	35833__E5Y6S3__HMPREF0179_01886
ERR1913239.85399__1.85399	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913239.85352__1.85352	1263006__R6LYR2__BN515_01475
ERR1913239.85436__1.85436	28117__B0MY40__BHV66_05170
ERR1913239.85784__1.85784	820__A7V8C2__ERS852554_01338
ERR1913239.85886__1.85886	214856__A0A175A6T5__ERS852447_02658
ERR1913239.85931__1.85931	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.86147__1.86147	1235835__R9LCU2__C814_02677
ERR1913239.86911__1.86911	166486__D4KY84__ERS852572_02606
ERR1913239.87022__1.87022	1150298__R7JUS7__ytlR
ERR1913239.87028__1.87028	1263000__R5EU91__BN466_01432
ERR1913239.87147__1.87147	1263000__R5EMU9__BN466_00667
ERR1913239.87547__1.87547	853__A0A2A7B9I6__DW855_13690
ERR1913239.87654__1.87654	1262911__R6H174__BN557_01246
ERR1913239.87915__1.87915	572010__fusA
ERR1913239.88728__1.88728	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913239.88797__1.88797	394340__metG_1
ERR1913239.89026__1.89026	853__A0A173RZ39__C4N22_01650
ERR1913239.89070__1.89070	166486__A0A1Q6S852__ERS852572_03466
ERR1913239.89604__1.89604	853__A8SCP3__C4N26_07960
ERR1913239.89663__1.89663	901__B6WPS9__DHV46_04165
ERR1913239.89862__1.89862	853__D4JY61__C4N21_10560
ERR1913239.90039__1.90039	1263000__R5EGY6__BN466_00973
ERR1913239.90749__1.90749	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913239.90681__1.90681	1262992__R5D4Q1__BN795_00660
ERR1913239.90815__1.90815	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913239.90864__1.90864	1897011__A0A1Q6RHB1__BHW41_01830
ERR1913239.90915__1.90915	853__E2ZGD9__C7J97_11715
ERR1913239.91193__1.91193	301301__A0A395V6G4__ERS852391_00892
ERR1913239.91288__1.91288	328814__GCA_004558275.1_00236
ERR1913239.91877__1.91877	46228__V8BPB0__HMPREF1202_02451
ERR1913239.92337__1.92337	487174__K0X3H8__HMPREF9448_02822
ERR1913239.92386__1.92386	853__A8S882__C4N23_07600
ERR1913239.93093__1.93093	821__A0A396F9T7__M097_3427
ERR1913239.93376__1.93376	901__B6WQQ5__DHV46_03695
ERR1913239.93797__1.93797	1897011__A0A1Q6RI93__BHW41_01175
ERR1913239.93976__1.93976	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913239.94089__1.94089	1263000__R5ESM1__BN466_01440
ERR1913239.94127__1.94127	1262911__R6GTA5__BN557_01337
ERR1913239.94376__1.94376	216816__A0A0M0VKE6__BL0626
ERR1913239.94725__1.94725	853__A8SCP3__C4N26_07960
ERR1913239.94924__1.94924	901__B6WXT8__DESPIGER_1543
ERR1913239.95021__1.95021	901__B6WR27__lnt
ERR1913239.95060__1.95060	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913239.95662__1.95662	1150298__A0A174S4G4__dacB_1
ERR1913239.95702__1.95702	1262911__R6H2J2__BN557_01228
ERR1913239.95920__1.95920	28117__B0MY41__BHV66_05165
ERR1913239.96074__1.96074	1262911__R6GR13__BN557_00618
ERR1913239.96358__1.96358	1263000__R5EI35__BN466_01649
ERR1913239.96524__1.96524	853__A0A174C5M1__CGS58_04460
ERR1913239.96608__1.96608	39488__A0A173RU01__EUBHAL_00881
ERR1913239.97010__1.97010	901__B6WXF1__DESPIGER_1660
ERR1913239.97275__1.97275	1501391__GCA_000786575.1_00073
ERR1913239.97374__1.97374	74426__pdxS
ERR1913239.97877__1.97877	1897011__A0A1Q6RHZ2__BHW41_00730
ERR1913239.97972__1.97972	1235835__R9LCU2__C814_02677
ERR1913239.97991__1.97991	46228__B5CPT7__HMPREF1202_00616
ERR1913239.98265__1.98265	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913239.98329__1.98329	1263000__R5EKR4__BN466_01609
ERR1913239.98583__1.98583	166486__D4KWZ7__cph2_5
ERR1913239.98643__1.98643	328814__GCA_004558275.1_00007
ERR1913239.98666__1.98666	1262927__R7EX56__BN677_00089
ERR1913239.98716__1.98716	1150298__A0A174QSN4__rpoD
ERR1913239.98936__1.98936	39496__A5Z5I2__EUBVEN_00963
ERR1913239.99029__1.99029	33025__A0A395JBU5__C8D73_10423
ERR1913239.99221__1.99221	1262927__R7EX56__BN677_00089
ERR1913239.99512__1.99512	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.100112__1.100112	1263030__R5CUH1__BN705_00716
ERR1913239.100343__1.100343	1262743__R5C054__BN727_01980
ERR1913239.100345__1.100345	1263000__R5EMM7__BN466_00616
ERR1913239.101080__1.101080	901__B6WR13__DHV46_00815
ERR1913239.101147__1.101147	821__A0A0P0M405__DXC02_15075
ERR1913239.101418__1.101418	28117__R7JLL3__ALIPUT_02219
ERR1913239.101530__1.101530	1263000__R5EKG2__BN466_02040
ERR1913239.101957__1.101957	360807__A0A396ACQ8__ROSEINA2194_00690
ERR1913239.101995__1.101995	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913239.102323__1.102323	214856__I3YMC8__ERS852447_02666
ERR1913239.102386__1.102386	1262886__R6RCF6__BN563_00371
ERR1913239.102439__1.102439	28117__B0MXQ6__ALIPUT_01917
ERR1913239.102542__1.102542	853__D4K7X0__DW905_09540
ERR1913239.102801__1.102801	1262927__R7EX56__BN677_00089
ERR1913239.102937__1.102937	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913239.103018__1.103018	301302__R5VC75__ERS852420_02858
ERR1913239.103754__1.103754	853__D4K7X0__DW905_09540
ERR1913239.103899__1.103899	46228__V8CBX9__HMPREF1202_00568
ERR1913239.104135__1.104135	166486__D4KRN9__ERS852572_01822
ERR1913239.104308__1.104308	572010__srrA
ERR1913239.104764__1.104764	1263000__R5EF60__BN466_01316
ERR1913239.105021__1.105021	28117__R7JLL3__ALIPUT_02219
ERR1913239.105174__1.105174	1263000__R5EKR3__BN466_00099
ERR1913239.105223__1.105223	28117__B0MYP3__BHV66_04995
ERR1913239.105441__1.105441	1263000__R5EI25__BN466_01781
ERR1913239.106661__1.106661	301301__A0A395VA63__sbcC
ERR1913239.106897__1.106897	1501391__GCA_000786575.1_00072
ERR1913239.107315__1.107315	1628085__A0A1C5YAJ9__C7386_10197
ERR1913239.107775__1.107775	1897011__A0A1Q6RI45__BHW41_00970
ERR1913239.108048__1.108048	821__A0A174NM17__lacZ_6
ERR1913239.108263__1.108263	820__A0A374MMF0__HMPREF1073_03811
ERR1913239.108268__1.108268	1262889__R7HAC7__BN634_01118
ERR1913239.108361__1.108361	1263000__R5EPJ2__BN466_00954
ERR1913239.108428__1.108428	39492__D4JTF2__mutS2
ERR1913239.110224__1.110224	820__A0A174DZ97__SAMN05444418_101240
ERR1913239.110833__1.110833	46228__B5CKX6__RUMLAC_00090
ERR1913239.111324__1.111324	745368__A0A1T4XF62__SAMN02745178_01833
