ERR1913210.89__1.89	28117__B0MTV0__BHV66_06395
ERR1913210.8775__1.8775	28118__F9Z750__Odosp_3044
ERR1913210.8815__1.8815	1124654__GeneID:14005780
ERR1913210.8864__1.8864	1262882__R5N5J6__BN519_01504
ERR1913210.8963__1.8963	1262700__R5XLR7__BN695_01670
ERR1913210.8986__1.8986	1897011__A0A1Q6RES7__BHW41_04275
ERR1913210.9170__1.9170	1262988__R7N3Y4__BN816_00210
ERR1913210.9649__1.9649	39492__D4JU30__EUBSIR_00838
ERR1913210.9679__1.9679	166486__D4KZW9__degS
ERR1913210.9706__1.9706	239935__A0A2N8IMD6__CXU03_05585
ERR1913210.9760__1.9760	1262911__R6H2B5__BN557_01151
ERR1913210.9795__1.9795	1262882__R5N1T9__BN519_00804
ERR1913210.9977__1.9977	357276__B6W1Y1__BSEG_03960
ERR1913210.9998__1.9998	357276__A0A0M1W657__HMPREF1064_04629
ERR1913210.10040__1.10040	10678__GeneID:2777434
ERR1913210.10243__1.10243	1262911__R6GUQ4__BN557_01581
ERR1913210.10314__1.10314	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913210.10340__1.10340	10678__GeneID:2777397
ERR1913210.10405__1.10405	1262882__R5MYI1__BN519_00416
ERR1913210.10417__1.10417	817__A0A015P1E8__M085_2472
ERR1913210.10469__1.10469	820__A7UYG6__M094_0070
ERR1913210.10697__1.10697	1262744__R6FD41__BN744_02273
ERR1913210.11122__1.11122	357276__I8WC65__EL88_00520
ERR1913210.11190__1.11190	214856__E4MF20__Alfi_0697
ERR1913210.11320__1.11320	1150298__A0A174HB98__ERS852406_02617
ERR1913210.11389__1.11389	820__A0A374Q854__HMPREF1073_03281
ERR1913210.11445__1.11445	454155__F3QYV6__HMPREF9442_03401
ERR1913210.11717__1.11717	820__A0A139JY23__B5G17_06330
ERR1913210.11801__1.11801	1262958__R7H1L1__BN645_01584
ERR1913210.11950__1.11950	820__A0A174CG08__DXB62_13215
ERR1913210.11970__1.11970	28117__B0MXR4__BHV66_08025
ERR1913210.12229__1.12229	1262921__R5MBU7__BN473_02531
ERR1913210.12234__1.12234	28026__A0A174C4P8__DXC83_07990
ERR1913210.12287__1.12287	1099853__U5CNI5__NSB1T_06225
ERR1913210.12587__1.12587	239935__A0A2N8I9P4__CXT85_05050
ERR1913210.12618__1.12618	1263000__R5EEL2__BN466_01100
ERR1913210.12654__1.12654	46228__V8C6B2__DXD17_09805
ERR1913210.12659__1.12659	39491__A0A396FNY7__LD38_16155
ERR1913210.12689__1.12689	573__A0A1V2T2P0__AM275_12760
ERR1913210.12692__1.12692	1262958__R7H348__BN645_01739
ERR1913210.12824__1.12824	1262882__R5N4P6__BN519_01346
ERR1913210.12885__1.12885	820__A0A173W419__DXC68_17760
ERR1913210.13221__1.13221	1262744__R6FG56__BN744_02342
ERR1913210.13266__1.13266	301302__A0A0M6WF57__M72_22681
ERR1913210.13280__1.13280	28052__R7NAJ8__ERS852451_02374
ERR1913210.13347__1.13347	1150298__R7JRK4__ERS852406_01648
ERR1913210.13409__1.13409	1262882__R5N5S3__BN519_00085
ERR1913210.13468__1.13468	1262911__R6H2B5__BN557_01151
ERR1913210.13472__1.13472	562__P40876__fimC_1
ERR1913210.13557__1.13557	1262882__R5MMD8__BN519_01576
ERR1913210.13649__1.13649	239935__A0A2N8HT44__CXT84_11035
ERR1913210.13687__1.13687	823__A0A078S9Y4__M096_1441
ERR1913210.13847__1.13847	28117__B0MU58__BHV66_05630
ERR1913210.13851__1.13851	1262882__R5N3T7__BN519_01188
ERR1913210.13974__1.13974	1262882__R5N3H1__BN519_01121
ERR1913210.14208__1.14208	1262958__R7GSZ2__BN645_00930
ERR1913210.14269__1.14269	564886__GeneID:6973115
ERR1913210.14393__1.14393	28052__A0A174IKM0__ERS852499_00833
ERR1913210.14399__1.14399	853__A0A2J4JL53__CRH10_10795
ERR1913210.14610__1.14610	1105031__J1H3W2__HMPREF1141_2783
ERR1913210.14855__1.14855	10678__GeneID:2777387
ERR1913210.15030__1.15030	33039__A0A173VSH9__ERS852530_05439
ERR1913210.15038__1.15038	1262882__R5N678__BN519_01604
ERR1913210.15153__1.15153	10678__GeneID:2777475
ERR1913210.15643__1.15643	46228__V8BQJ4__DXD17_00215
ERR1913210.15795__1.15795	674529__R6UVJ4__DXB21_05405
ERR1913210.15939__1.15939	1099853__U5CH64__NSB1T_03100
ERR1913210.16141__1.16141	39491__A0A174G6M3__DXD13_14470
ERR1913210.16159__1.16159	745368__A0A1T4XXN7__SAMN02745178_02496
ERR1913210.16409__1.16409	820__A0A3E4QZJ7__C801_01798
ERR1913210.16530__1.16530	1262882__R5MIY9__BN519_01097
ERR1913210.16635__1.16635	128975__GeneID:6030682
ERR1913210.16783__1.16783	1262882__R5MGS8__BN519_00565
ERR1913210.16886__1.16886	418240__A0A174LN86__ERS852523_01045
ERR1913210.16850__1.16850	1262921__R5LMK9__BN473_01331
ERR1913210.16912__1.16912	820__A0A174M9V5__M093_0237
ERR1913210.17135__1.17135	328814__GCA_004558275.1_01621
ERR1913210.17192__1.17192	46228__B5CP96__RUMLAC_01287
ERR1913210.17325__1.17325	246787__R6KQ08__AA416_01934
ERR1913210.17412__1.17412	823__A0A174PDQ0__DXC05_08200
ERR1913210.17436__1.17436	246787__A0A3D6AXG0__BACCELL_01743
ERR1913210.17655__1.17655	357276__I8WEZ6__BACDOR_02323
ERR1913210.18012__1.18012	29361__B6FRT6__CLONEX_02860
ERR1913210.17976__1.17976	562__A0A376L0A6__CQA14_19985
ERR1913210.18083__1.18083	10678__GeneID:2777468
ERR1913210.18113__1.18113	823__D7IT19__DHP27_03495
ERR1913210.18228__1.18228	552398__F4XCQ4__HMPREF0866_01621
ERR1913210.18330__1.18330	39492__D4JQP0__ypeB
ERR1913210.18594__1.18594	674529__R6V0V1__DXB21_06395
ERR1913210.18753__1.18753	1262882__R5MYI1__BN519_00416
ERR1913210.18680__1.18680	204516__U6R9E7__HMPREF1534_03313
ERR1913210.18893__1.18893	1262921__R5MBI3__BN473_02530
ERR1913210.19139__1.19139	823__A0A173V751__DXD05_02690
ERR1913210.19210__1.19210	1262743__R5C054__BN727_01980
ERR1913210.19331__1.19331	301302__R5UQW7__ERS852420_02102
ERR1913210.19578__1.19578	1262911__R6HIV6__BN557_01807
ERR1913210.19942__1.19942	853__A0A2A7A4A9__C4N21_14870
ERR1913210.20397__1.20397	239935__A0A2N8HDT1__CXT94_05270
ERR1913210.20488__1.20488	28026__B6XV33__DXC83_03110
ERR1913210.20808__1.20808	301302__A0A173TEJ2__M72_09031
ERR1913210.20918__1.20918	28118__F9ZBZ0__DHW44_07740
ERR1913210.21152__1.21152	46228__V8C7M2__RUMLAC_01453
ERR1913210.21160__1.21160	1262921__R5M3E4__BN473_00712
ERR1913210.21170__1.21170	1150298__A0A174HB98__ERS852406_02617
ERR1913210.21399__1.21399	28026__C0BR32__DXC48_06585
ERR1913210.21479__1.21479	823__A6LHU5__M092_0203
ERR1913210.21641__1.21641	1263000__R5EHI3__BN466_01684
ERR1913210.21590__1.21590	10678__GeneID:2777481
ERR1913210.21594__1.21594	1262882__R5N3H1__BN519_01121
ERR1913210.21713__1.21713	1262744__R6FJJ1__BN744_00881
ERR1913210.21726__1.21726	357276__C3R5C9__HMPREF1063_00213
ERR1913210.21821__1.21821	1262882__R5N532__BN519_01420
ERR1913210.21747__1.21747	818__A0A0N7I9H8__ERS852461_00040
ERR1913210.21928__1.21928	1099853__G9S4M7__NSB1T_14390
ERR1913210.21979__1.21979	1262744__R6FQP3__BN744_02948
ERR1913210.22019__1.22019	1262882__R5MQ68__BN519_01178
ERR1913210.22217__1.22217	28052__R7NBE1__ERS852499_01798
ERR1913210.22218__1.22218	1262889__R7HAP4__BN634_00533
ERR1913210.22287__1.22287	1262921__R5LTU7__BN473_01717
ERR1913210.22375__1.22375	552398__F4XCQ4__HMPREF0866_01621
ERR1913210.22422__1.22422	1262882__R5N532__BN519_01420
ERR1913210.22852__1.22852	357276__A0A0K2HKT7__B5F95_21090
ERR1913210.22834__1.22834	1262911__R6GT99__BN557_01335
ERR1913210.23094__1.23094	40518__R5DTJ1__DXD86_03635
ERR1913210.23422__1.23422	28118__R6FC74__DHW44_13330
ERR1913210.23502__1.23502	10678__GeneID:2777379
ERR1913210.23534__1.23534	1262744__R6GCB6__BN744_00344
ERR1913210.23658__1.23658	357276__B6W1Y1__BSEG_03960
ERR1913210.23865__1.23865	820__A0A3E4G493__ERS417307_00253
ERR1913210.23902__1.23902	1262911__R6GHG8__BN557_01301
ERR1913210.23950__1.23950	1262992__R5D3X7__BN795_00539
ERR1913210.24080__1.24080	310298__B3JQ37__BACCOP_04069
ERR1913210.24093__1.24093	1263000__R5EV67__BN466_01611
ERR1913210.24293__1.24293	39492__D4JVX0__udk
ERR1913210.24419__1.24419	172901__A0A2U1ALK4__C8D82_13132
ERR1913210.24536__1.24536	39492__D4JUD7__EUBSIR_01877
ERR1913210.24563__1.24563	1262882__R5MQ68__BN519_01178
ERR1913210.24621__1.24621	39491__A0A395UYA6__EUBREC_0408
ERR1913210.24769__1.24769	1262882__R5MKL9__BN519_00353
ERR1913210.25015__1.25015	166486__D4KYM4__ERS852572_02981
ERR1913210.25080__1.25080	39492__D4MJF3__EUBSIR_02248
ERR1913210.25251__1.25251	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913210.25276__1.25276	1796613__I8YN26__ADH74_13170
ERR1913210.25689__1.25689	853__A8S882__C4N23_07600
ERR1913210.25708__1.25708	820__A0A173WUD7__DXB48_08055
ERR1913210.25972__1.25972	204516__U6R9E7__HMPREF1534_03313
ERR1913210.26020__1.26020	239935__R6JWM7__CXU14_12295
ERR1913210.26407__1.26407	39492__D4JT68__spoIIIE
ERR1913210.26342__1.26342	33039__R6P0F1__ERS852424_02256
ERR1913210.26441__1.26441	239935__A0A2N8HUU6__CXT90_06150
ERR1913210.26600__1.26600	1150298__A0A174HD82__yusO_2
ERR1913210.26675__1.26675	1262744__R6FHT7__BN744_02876
ERR1913210.26678__1.26678	1262744__R6FGX4__BN744_00191
ERR1913210.26914__1.26914	357276__C3R5A0__B5F00_02960
ERR1913210.27033__1.27033	1262882__R5N3H1__BN519_01121
ERR1913210.27179__1.27179	10678__GeneID:2777379
ERR1913210.27416__1.27416	562__P0AEK1__CR916_15790
ERR1913210.27832__1.27832	820__A0A3E4VXP2__yesR
ERR1913210.27893__1.27893	39491__A0A395UZZ5__htpG_1
ERR1913210.27904__1.27904	239935__A0A2N8ITG2__Amuc_0335
ERR1913210.28134__1.28134	820__A0A174F0C1__nreB
ERR1913210.28435__1.28435	1262882__R5MIY9__BN519_01097
ERR1913210.28528__1.28528	820__A0A173W419__DXC68_17760
ERR1913210.28704__1.28704	1262882__R5N0Q5__BN519_00642
ERR1913210.28977__1.28977	28118__R6FC01__fepE
ERR1913210.28984__1.28984	39492__D4JR20__trmD
ERR1913210.28985__1.28985	454154__G5SPR9__HMPREF9441_01352
ERR1913210.28998__1.28998	1262740__R7CVB2__BN666_01237
ERR1913210.29521__1.29521	817__E1WPG4__M133_4264
ERR1913210.29526__1.29526	820__A0A174F696__macB_13
ERR1913210.29566__1.29566	1262744__R6FFV0__BN744_02241
ERR1913210.29694__1.29694	399742__A0A2A3WWQ3__Ent638_1356
ERR1913210.29715__1.29715	1262921__R5LSI3__BN473_01312
ERR1913210.29801__1.29801	823__A0A073I9P2__CF162_18000
ERR1913210.29866__1.29866	1262882__R5MEK3__BN519_00296
ERR1913210.30100__1.30100	39492__A0A174Z2N0__EUBSIR_01615
ERR1913210.30265__1.30265	1262882__R5N3H1__BN519_01121
ERR1913210.30270__1.30270	1262911__R6GT12__BN557_01070
ERR1913210.30297__1.30297	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913210.30677__1.30677	1262911__R6GHG8__BN557_01301
ERR1913210.30768__1.30768	39492__D4JRV7__EUBSIR_01513
ERR1913210.30875__1.30875	39491__A0A395ZE48__DXB76_02395
ERR1913210.30918__1.30918	239935__A0A139TT05__CXU09_03335
ERR1913210.31056__1.31056	1262921__R5MC25__BN473_02562
ERR1913210.31093__1.31093	1262921__R5MC25__BN473_02562
ERR1913210.31126__1.31126	1262882__R5N2U9__BN519_01221
ERR1913210.31494__1.31494	1628085__A0A396QC65__C7386_101113
ERR1913210.31541__1.31541	1262911__R6GZX7__BN557_00838
ERR1913210.31544__1.31544	239935__A0A139TMZ5__CXU00_03150
ERR1913210.31565__1.31565	817__A0A2M9USQ1__M110_1782
ERR1913210.31631__1.31631	40518__R5DU52__RB5AMG_02245
ERR1913210.31731__1.31731	823__A0A3E4P9U5__ERS852380_02719
ERR1913210.32090__1.32090	39491__A0A174K1W6__DXB99_15020
ERR1913210.32022__1.32022	10678__GeneID:2777449
ERR1913210.32182__1.32182	1262882__R5N3T7__BN519_01188
ERR1913210.32215__1.32215	1262882__R5MRS7__BN519_01490
ERR1913210.32590__1.32590	1262882__R5MT42__BN519_01729
ERR1913210.32634__1.32634	46228__B5CM12__DXD17_00945
ERR1913210.32714__1.32714	28026__A0A396BA17__DXC83_09095
ERR1913210.32835__1.32835	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913210.33011__1.33011	10678__GeneID:2777455
ERR1913210.33172__1.33172	1262882__R5N3H1__BN519_01121
ERR1913210.33197__1.33197	10678__GeneID:2777457
ERR1913210.33437__1.33437	454154__G5SRX0__HMPREF9441_02119
ERR1913210.33402__1.33402	1099853__U5C8M9__NSB1T_02745
ERR1913210.33454__1.33454	1262921__R5M5S6__BN473_01072
ERR1913210.33460__1.33460	10678__GeneID:2777434
ERR1913210.33534__1.33534	246787__R6LGB3__BcellWH2_02361
ERR1913210.33577__1.33577	239935__A0A2N8HHB6__B5G29_11500
ERR1913210.33622__1.33622	28117__B0MXI8__BHV66_08505
ERR1913210.33778__1.33778	1262882__R5MND9__BN519_00831
ERR1913210.33791__1.33791	2026240__rfaH
ERR1913210.33797__1.33797	1262882__R5MSI7__BN519_01601
ERR1913210.33997__1.33997	1262921__R5LTU7__BN473_01717
ERR1913210.34006__1.34006	239935__A0A139TVJ4__CXT86_02020
ERR1913210.34054__1.34054	214856__A0A174BE38__ERS852559_01399
ERR1913210.34192__1.34192	820__A0A174CK74__DXB48_07060
ERR1913210.34284__1.34284	39492__D4JU31__ERS852540_00198
ERR1913210.34385__1.34385	39492__D4JUD9__EUBSIR_01875
ERR1913210.34401__1.34401	33039__D4M2F6__RTO_06900
ERR1913210.34440__1.34440	239935__A0A139TPG3__CXT86_08810
ERR1913210.34562__1.34562	1262911__R6GUQ4__BN557_01581
ERR1913210.34679__1.34679	853__A0A174CVG7__CGS58_09335
ERR1913210.34785__1.34785	39492__D4JWX2__accB
ERR1913210.35004__1.35004	357276__C3R5C9__HMPREF1063_00213
ERR1913210.35356__1.35356	562__P77294__fimG
ERR1913210.35438__1.35438	46228__B5CQI6__RUMLAC_01732
ERR1913210.35477__1.35477	1262744__R6FP57__BN744_02446
ERR1913210.35605__1.35605	820__A0A3E4W4Y7__B5G17_02055
ERR1913210.35813__1.35813	820__A0A173WUD7__DXB48_08055
ERR1913210.35904__1.35904	1262882__R5N5S3__BN519_00085
ERR1913210.36030__1.36030	39488__A0A285Q0V4__paaK_1
ERR1913210.36317__1.36317	1262882__R5N3T7__BN519_01188
ERR1913210.36335__1.36335	610243__A0A060QJF7__ASAP_2763
ERR1913210.36349__1.36349	239935__A0A2N8I9P4__CXT85_05050
ERR1913210.36557__1.36557	328814__GCA_004558275.1_00036
ERR1913210.36563__1.36563	1262958__R7H425__BN645_00615
ERR1913210.36765__1.36765	28052__A0A174GR15__mcp3_1
ERR1913210.36935__1.36935	39492__D4JTG7__EUBSIR_00572
ERR1913210.37304__1.37304	1262921__R5LTJ9__BN473_02529
ERR1913210.37406__1.37406	239935__A0A3F3K985__CXT98_05805
ERR1913210.37484__1.37484	39496__A5Z8N9__EUBVEN_02081
ERR1913210.37531__1.37531	1262882__R5N3T7__BN519_01188
ERR1913210.37623__1.37623	1965604__A0A1Y4EPR5__B5F54_11475
ERR1913210.37655__1.37655	74426__group_4851
ERR1913210.37662__1.37662	1263000__R5EMZ8__BN466_00707
ERR1913210.37702__1.37702	1263000__R5EHB0__BN466_01647
ERR1913210.37968__1.37968	1965604__A0A1Y4EPS9__B5F54_11500
ERR1913210.37970__1.37970	239935__A0A139TPG3__CXT86_08810
ERR1913210.38069__1.38069	1262744__R6FSQ0__BN744_00379
ERR1913210.38076__1.38076	46228__B5CR74__HMPREF1202_02190
ERR1913210.38274__1.38274	39492__D4JQS6__ykoD
ERR1913210.38469__1.38469	1262958__R7H434__BN645_00617
ERR1913210.38482__1.38482	310298__B3JQJ5__BACCOP_04231
ERR1913210.38625__1.38625	1150298__A0A174HHW8__yhbU_1
ERR1913210.38676__1.38676	10678__GeneID:2777449
ERR1913210.38690__1.38690	28026__A0A396B9Q8__B5791_0179
ERR1913210.39154__1.39154	204516__U6RPN2__HMPREF1534_00368
ERR1913210.39156__1.39156	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913210.39351__1.39351	1262882__R5MMD8__BN519_01576
ERR1913210.39395__1.39395	820__A0A174Q0F0__DXB48_08080
ERR1913210.39487__1.39487	39491__D6E408__EUBREC_1466
ERR1913210.39507__1.39507	454155__F3QVN4__HMPREF9442_02260
ERR1913210.39605__1.39605	39491__A0A395UUN5__EUBREC_0291
ERR1913210.39613__1.39613	1147151__GeneID:14182066
ERR1913210.39800__1.39800	1262911__R6HGT5__BN557_01453
ERR1913210.39828__1.39828	39492__A0A175A133__cycB_1
ERR1913210.40024__1.40024	39492__B0MNL5__phoR_1
ERR1913210.40141__1.40141	1262958__R7H2W9__BN645_00258
ERR1913210.40148__1.40148	2108523__A0A2P2F504__LAWASA_1087
ERR1913210.40169__1.40169	1263107__GCA_000436995.1_00230
ERR1913210.40290__1.40290	239935__A0A2N8HPS5__Amuc_0950
ERR1913210.40490__1.40490	10678__GeneID:2777387
ERR1913210.40651__1.40651	1262911__R6GT99__BN557_01335
ERR1913210.40738__1.40738	1262882__R5MMD8__BN519_01576
ERR1913210.40982__1.40982	562__P0AF07__motB_2
ERR1913210.41025__1.41025	189722__E0NQU7__HMPREF0658_0548
ERR1913210.41120__1.41120	246787__A0A0P0GJZ5__BcellWH2_01116
ERR1913210.41140__1.41140	1262882__R5MHZ2__BN519_00742
ERR1913210.41276__1.41276	820__A0A3E4WCC2__lptB_1
ERR1913210.41419__1.41419	239935__A0A2N8HX65__CXU17_02540
ERR1913210.41603__1.41603	1262958__R7GZI3__BN645_01811
ERR1913210.41718__1.41718	562__P23837__phoQ
ERR1913210.42059__1.42059	328814__GCA_004558275.1_00035
ERR1913210.42268__1.42268	39492__D4JR58__EUBSIR_02090
ERR1913210.42607__1.42607	1262882__R5MZZ3__BN519_00482
ERR1913210.42733__1.42733	820__A0A3E4G3J9__ERS852459_02265
ERR1913210.42802__1.42802	820__A0A3E4VXP2__yesR
ERR1913210.42835__1.42835	28025__D3R4U9__BGL50_03720
ERR1913210.42838__1.42838	46228__B5CPY7__DXD17_03515
ERR1913210.42874__1.42874	626929__R6L473__HMPREF9445_00229
ERR1913210.43108__1.43108	28118__F9Z408__NCTC10826_01194
ERR1913210.43240__1.43240	239935__A0A2N8HX65__CXU17_02540
ERR1913210.43254__1.43254	10678__GeneID:2777387
ERR1913210.43259__1.43259	328813__A0A1Y3QZ64__B5G41_14235
ERR1913210.43519__1.43519	820__A7V470__HMPREF1072_02076
ERR1913210.43596__1.43596	239935__B2UPP2__CXU20_12035
ERR1913210.43645__1.43645	10678__GeneID:2777439
ERR1913210.43676__1.43676	357276__B6W1Y1__BSEG_03960
ERR1913210.43953__1.43953	29361__B6FKH5__CLONEX_00621
ERR1913210.43890__1.43890	1262921__R5M3E4__BN473_00712
ERR1913210.43996__1.43996	239935__A0A2N8HTZ8__CXU09_01270
ERR1913210.44018__1.44018	28026__C0BR32__DXC48_06585
ERR1913210.44026__1.44026	39485__C4Z637__ERS852490_00218
ERR1913210.44153__1.44153	39492__A0A174ZP27__EUBSIR_00033
ERR1913210.44214__1.44214	1855371__A0A1I2BEE3__SAMN05216563_10687
ERR1913210.44360__1.44360	1262921__R5M9E5__BN473_02191
ERR1913210.44444__1.44444	360807__A0A0M6WC24__ERS852444_00338
ERR1913210.44616__1.44616	147206__GCF_000156215.1_01777
ERR1913210.44699__1.44699	39492__D4JTU4__ykfG
ERR1913210.45291__1.45291	46228__B5CP96__RUMLAC_01287
ERR1913210.45494__1.45494	817__A0A396C3S8__CQW36_02929
ERR1913210.45654__1.45654	189722__E0NQU7__HMPREF0658_0548
ERR1913210.45701__1.45701	246787__A0A3D6AQP8__AA416_04153
ERR1913210.45867__1.45867	1262744__R6FEB0__BN744_02692
ERR1913210.45941__1.45941	1262882__R5MFA5__BN519_00331
ERR1913210.46008__1.46008	1262911__R6GZ01__BN557_00641
ERR1913210.46055__1.46055	10678__GeneID:2777379
ERR1913210.46084__1.46084	1262911__R6GKW2__BN557_01379
ERR1913210.46848__1.46848	39492__D4JTK2__EUBSIR_01439
ERR1913210.46919__1.46919	562__P77616__CSC08_0123
ERR1913210.46927__1.46927	39492__D4JU94__ispE
ERR1913210.46972__1.46972	1262882__R5N1T9__BN519_00804
ERR1913210.46988__1.46988	39492__D4JV86__spoIIE
ERR1913210.47007__1.47007	1262958__R7GXD2__BN645_01566
ERR1913210.47163__1.47163	1263044__GCA_000433375.1_03553
ERR1913210.47276__1.47276	39485__C4Z1S0__ERS852492_00886
ERR1913210.47284__1.47284	853__A0A2A7B9I6__DW855_13690
ERR1913210.47461__1.47461	562__A0A376L0A6__CQA14_19985
ERR1913210.47577__1.47577	1262744__R6FNM4__BN744_02259
ERR1913210.47648__1.47648	1099853__U5CDR1__NSB1T_05400
ERR1913210.47850__1.47850	28026__R6P2N7__DXD71_02940
ERR1913210.47904__1.47904	46228__B5CPT8__RUMLAC_01482
ERR1913210.47919__1.47919	1160721__R6TBU4__BHW50_04080
ERR1913210.48027__1.48027	446660__GCA_003428235.1_00504
ERR1913210.48300__1.48300	626932__G5HA13__HMPREF9450_01478
ERR1913210.48392__1.48392	39492__D4JWP8__EUBSIR_00699
ERR1913210.48548__1.48548	214856__R5UN64__ERS852447_02669
ERR1913210.48593__1.48593	221029__GeneID:2777078
ERR1913210.48737__1.48737	10678__GeneID:2777387
ERR1913210.48799__1.48799	40518__R5E6K4__RB5AMG_02070
ERR1913210.48851__1.48851	817__E4W1I5__HMPREF1203_03977
ERR1913210.49144__1.49144	28116__I8YA52__M088_0798
ERR1913210.49281__1.49281	239935__A0A2N8HT18__CXT93_06135
ERR1913210.49389__1.49389	1263107__GCA_000436995.1_00033
ERR1913210.49397__1.49397	28117__B0MYI9__BHV66_05415
ERR1913210.49618__1.49618	204516__U6R9E7__HMPREF1534_03313
ERR1913210.49758__1.49758	1262958__R7GR59__BN645_00956
ERR1913210.49815__1.49815	853__A0A174C5M1__CGS58_04460
ERR1913210.49996__1.49996	823__A0A073I9P2__CF162_18000
ERR1913210.50173__1.50173	1262824__R6RD84__BN719_01360
ERR1913210.50195__1.50195	1150298__A0A174R918__ERS852535_01749
ERR1913210.50601__1.50601	626929__F3PL90__HMPREF9445_03120
ERR1913210.50635__1.50635	39492__D4JWG6__EUBSIR_00253
ERR1913210.50717__1.50717	46228__V8C4T8__RUMLAC_02058
ERR1913210.50817__1.50817	1262744__R6FRL5__BN744_00055
ERR1913210.50896__1.50896	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913210.51064__1.51064	357276__D1JY58__BACDOR_04277
ERR1913210.51298__1.51298	562__P32704__COD56_15900
ERR1913210.51413__1.51413	1262882__R5MND9__BN519_00831
