ERR1913049.341__1.341	1262886__R6QAT8__BN563_00993
ERR1913049.8325__1.8325	214856__A0A175A6T5__ERS852447_02658
ERR1913049.8403__1.8403	1262911__R6GPB1__BN557_00837
ERR1913049.8457__1.8457	301301__G2T5Z5__RHOM_15985
ERR1913049.8630__1.8630	216816__C2GUV2__APC1478_0430
ERR1913049.8606__1.8606	853__E2ZGD9__C7J97_11715
ERR1913049.8586__1.8586	28052__R7NB47__msbA_2
ERR1913049.8702__1.8702	1501391__GCA_000786575.1_00007
ERR1913049.8805__1.8805	33025__A0A395J9R3__C8D73_10817
ERR1913049.8830__1.8830	61171__B9Y2L8__HOLDEFILI_00043
ERR1913049.8859__1.8859	901__B6WR13__DHV46_00815
ERR1913049.8860__1.8860	28117__B0MVL5__BHV66_01660
ERR1913049.8887__1.8887	1897011__A0A1Q6RH12__BHW41_01505
ERR1913049.8902__1.8902	1897011__A0A1Q6RC30__BHW41_06700
ERR1913049.9186__1.9186	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913049.9266__1.9266	214856__A0A174CRY5__ERS852559_01060
ERR1913049.9427__1.9427	246787__A0A0P0FV02__AA416_03728
ERR1913049.9532__1.9532	360807__C0FNK4__ERS852444_02115
ERR1913049.9547__1.9547	1262927__R7EX56__BN677_00089
ERR1913049.9656__1.9656	1150298__A0A174K7D2__ERS852498_01147
ERR1913049.9800__1.9800	446660__GCA_003428235.1_00881
ERR1913049.9868__1.9868	1263030__R5D543__BN705_01117
ERR1913049.10164__1.10164	1501391__GCA_000786575.1_00025
ERR1913049.10202__1.10202	853__A0A173TAZ8__DWZ46_14590
ERR1913049.10325__1.10325	1262911__R6GI18__BN557_01377
ERR1913049.10698__1.10698	1262927__R7EX56__BN677_00089
ERR1913049.10774__1.10774	46228__V8CB66__RUMLAC_02810
ERR1913049.10847__1.10847	28117__B0MXR1__BHV66_08035
ERR1913049.10919__1.10919	1897011__A0A1Q6RI45__BHW41_00970
ERR1913049.10958__1.10958	166486__D4KZC1__btr_1
ERR1913049.10975__1.10975	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913049.11021__1.11021	901__B6WXK8__DESPIG_02835
ERR1913049.11132__1.11132	1263000__R5EHB0__BN466_01647
ERR1913049.11194__1.11194	46228__V8C9H7__RUMLAC_01008
ERR1913049.11263__1.11263	1262911__R6H1A6__BN557_01286
ERR1913049.11336__1.11336	1897011__A0A1Q6RC34__BHW41_06455
ERR1913049.11627__1.11627	1262927__R7EX56__BN677_00089
ERR1913049.11716__1.11716	901__B6WXI1__DESPIGER_1636
ERR1913049.11753__1.11753	2108523__A0A2P2FC97__LAWASA_3643
ERR1913049.12327__1.12327	1262911__R6GUQ4__BN557_01581
ERR1913049.12829__1.12829	166486__D4KRN2__ERS852572_01816
ERR1913049.12884__1.12884	1263000__R5EGY7__BN466_01478
ERR1913049.12888__1.12888	1263044__GCA_000433375.1_03400
ERR1913049.13008__1.13008	1262927__R7EX56__BN677_00089
ERR1913049.13179__1.13179	901__B6WR27__lnt
ERR1913049.13182__1.13182	216816__A0A1V8RHV4__DXD44_06445
ERR1913049.13258__1.13258	817__D1JTT8__M117_2630
ERR1913049.13518__1.13518	853__A0A3E2V168__FAEPRAM212_00929
ERR1913049.13766__1.13766	1262927__R7EX56__BN677_00089
ERR1913049.13849__1.13849	1262927__R7EX56__BN677_00089
ERR1913049.13871__1.13871	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913049.14051__1.14051	46228__B5CPX5__RUMLAC_01520
ERR1913049.14442__1.14442	28117__R7JJM9__ALIPUT_00662
ERR1913049.14494__1.14494	1897011__A0A1Q6RC34__BHW41_06455
ERR1913049.14497__1.14497	376805__F0R8B1__Bacsa_3573
ERR1913049.14707__1.14707	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913049.15012__1.15012	328814__GCA_004558275.1_02279
ERR1913049.15056__1.15056	1263000__R5EGY6__BN466_00973
ERR1913049.15085__1.15085	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913049.15200__1.15200	39491__A0A395ZFH9__ERS852417_01193
ERR1913049.15706__1.15706	1150298__A0A174PLY5__ERS852406_01056
ERR1913049.15765__1.15765	28117__B0N028__BHV66_05935
ERR1913049.15833__1.15833	28117__B0MVL5__BHV66_01660
ERR1913049.15851__1.15851	166486__C7GCP5__ROSINTL182_07683
ERR1913049.16074__1.16074	1262886__R6QNU9__BN563_00617
ERR1913049.16112__1.16112	821__A6L0C7__ERS852556_03520
ERR1913049.16155__1.16155	1262927__R7EX56__BN677_00089
ERR1913049.16280__1.16280	47678__R5UPZ8__ERS852494_01752
ERR1913049.16307__1.16307	147206__GCF_000156215.1_01773
ERR1913049.16395__1.16395	1263000__R5EQI3__BN466_00125
ERR1913049.16656__1.16656	626929__F3PGY0__SAMN05444376_1243
ERR1913049.16823__1.16823	901__B6WVF5__DESPIGER_2047
ERR1913049.17399__1.17399	821__A0A0P0LFP6__C5Z04_13890
ERR1913049.17418__1.17418	74426__argF
ERR1913049.17561__1.17561	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913049.17664__1.17664	28117__B0N028__BHV66_05935
ERR1913049.17718__1.17718	901__A0A1K1LG50__DESPIG_01817
ERR1913049.18322__1.18322	821__R6F3Y1__SAMN04487923_104318
ERR1913049.18396__1.18396	360807__A0A0M6WDI8__RIL183_01921
ERR1913049.18637__1.18637	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913049.18736__1.18736	1263044__GCA_000433375.1_01140
ERR1913049.18905__1.18905	901__B6WUW8__DESPIGER_1921
ERR1913049.19420__1.19420	1262942__R7QX64__BN520_01187
ERR1913049.19733__1.19733	28117__B0MXL6__ALIPUT_01851
ERR1913049.19826__1.19826	376805__F0R8B1__Bacsa_3573
ERR1913049.20024__1.20024	1235835__R9LCU2__C814_02677
ERR1913049.20194__1.20194	1262927__R7EX56__BN677_00089
ERR1913049.20284__1.20284	901__B6WRH4__DESPIGER_0368
ERR1913049.20304__1.20304	552398__F4XCQ4__HMPREF0866_01621
ERR1913049.20471__1.20471	292800__A0A174N232__ADH75_10840
ERR1913049.20597__1.20597	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913049.20646__1.20646	28117__B0MUL5__ALIPUT_00722
ERR1913049.20755__1.20755	35833__E5Y6S3__HMPREF0179_01886
ERR1913049.20809__1.20809	166486__D4KYC3__ROSINTL182_05485
ERR1913049.20956__1.20956	46228__B5CQI4__RUMLAC_01730
ERR1913049.21081__1.21081	33043__A0A173WWJ5__ERS852386_00339
ERR1913049.21118__1.21118	166486__D4L0Q4__ERS852572_03675
ERR1913049.21395__1.21395	1263000__R5ESM1__BN466_01440
ERR1913049.21435__1.21435	394340__glnA_1
ERR1913049.21473__1.21473	901__B6WXF1__DESPIGER_1660
ERR1913049.21596__1.21596	1263000__R5EGY6__BN466_00973
ERR1913049.21776__1.21776	901__A0A1K1LG50__DESPIG_01817
ERR1913049.21899__1.21899	328814__GCA_004558275.1_00291
ERR1913049.22544__1.22544	649756__B0NWS2__CL2_06980
ERR1913049.22638__1.22638	745368__A0A1T4X705__SAMN02745178_01472
ERR1913049.22669__1.22669	28117__B0MY36__BHV66_05185
ERR1913049.22749__1.22749	1263000__R5EFA7__BN466_01197
ERR1913049.23103__1.23103	901__B6WRB3__DESPIGER_0300
ERR1913049.23119__1.23119	1263000__R5EPJ2__BN466_00954
ERR1913049.23371__1.23371	1262927__R7EX56__BN677_00089
ERR1913049.23372__1.23372	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913049.23325__1.23325	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913049.23491__1.23491	1897011__A0A1Q6REX0__BHW41_04225
ERR1913049.23519__1.23519	853__A0A3E2V168__FAEPRAM212_00929
ERR1913049.23799__1.23799	2108523__A0A2P2F677__LAWASA_1497
ERR1913049.23919__1.23919	47678__A0A3E5B7J9__HMPREF1061_03888
ERR1913049.24260__1.24260	853__A0A3E2U7E6__ERS852582_01640
ERR1913049.24522__1.24522	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913049.24938__1.24938	1262911__R6GI18__BN557_01377
ERR1913049.24995__1.24995	1897011__A0A1Q6RH97__BHW41_01945
ERR1913049.25214__1.25214	39491__A0A396FF17__EUR_31400
ERR1913049.25243__1.25243	74426__sufB
ERR1913049.25308__1.25308	328813__A0A1Y3QRL5__B5G41_11625
ERR1913049.25850__1.25850	901__B6WWW5__DESPIGER_2454
ERR1913049.26020__1.26020	39485__C4Z028__ERS852492_00100
ERR1913049.26087__1.26087	28117__B0MXL6__ALIPUT_01851
ERR1913049.26157__1.26157	1262911__R6GLA5__BN557_01456
ERR1913049.26363__1.26363	1262927__R7EX56__BN677_00089
ERR1913049.26395__1.26395	1235835__R9LCU2__C814_02677
ERR1913049.26572__1.26572	1897011__A0A1Q6RGA1__BHW41_02610
ERR1913049.26889__1.26889	28117__B0MYP3__BHV66_04995
ERR1913049.27177__1.27177	214856__I3YMC8__ERS852447_02666
ERR1913049.27703__1.27703	39491__A0A174K1W6__DXB99_15020
ERR1913049.28124__1.28124	1501391__GCA_000786575.1_00150
ERR1913049.28286__1.28286	1897011__A0A1Q6RFI5__BHW41_03555
ERR1913049.28527__1.28527	1501391__GCA_000786575.1_00026
ERR1913049.28619__1.28619	1160721__W0U436__BHW50_10710
ERR1913049.28949__1.28949	28117__B0MYP3__BHV66_04995
ERR1913049.29009__1.29009	1262927__R7EX56__BN677_00089
ERR1913049.29080__1.29080	246787__A0A0P0GS73__HMPREF1062_06327
ERR1913049.29361__1.29361	1897011__A0A1Q6RH29__BHW41_01570
ERR1913049.29411__1.29411	166486__D4KNM9__ERS852572_00072
ERR1913049.29560__1.29560	901__B6WTR4__DESPIGER_1248
ERR1913049.29732__1.29732	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913049.30061__1.30061	1897011__A0A1Q6RH97__BHW41_01945
ERR1913049.30374__1.30374	328814__GCA_004558275.1_00391
ERR1913049.30791__1.30791	204516__U6RPN2__HMPREF1534_00368
ERR1913049.30793__1.30793	1262777__R5VJB6__BN512_01511
ERR1913049.30913__1.30913	1897011__A0A1Q6RE67__BHW41_04635
ERR1913049.31193__1.31193	1897011__A0A1Q6REA0__BHW41_04660
ERR1913049.31198__1.31198	1262911__R6H2J2__BN557_01228
ERR1913049.31362__1.31362	360807__A0A0M6X1Y4__ROSEINA2194_02133
ERR1913049.31391__1.31391	28117__R7JPX7__BHV66_00900
ERR1913049.31489__1.31489	552398__T5S086__HMPREF0866_01580
ERR1913049.32164__1.32164	28117__B0MYP3__BHV66_04995
ERR1913049.32100__1.32100	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913049.32354__1.32354	1501391__GCA_000786575.1_00158
ERR1913049.32394__1.32394	1262992__R5D952__BN795_00714
ERR1913049.32532__1.32532	246787__A0A0P0GNB7__xyl4
ERR1913049.32586__1.32586	1262911__R6GZX7__BN557_00838
ERR1913049.32674__1.32674	853__D4K7X0__DW905_09540
ERR1913049.32737__1.32737	328813__A0A1Y3QQL4__B5G41_13930
ERR1913049.32777__1.32777	1262927__R7EX56__BN677_00089
ERR1913049.33492__1.33492	47678__R5U7A9__C5Z00_03635
ERR1913049.33672__1.33672	1262927__R7EX56__BN677_00089
ERR1913049.33774__1.33774	674529__R6V187__DXB21_21665
ERR1913049.33871__1.33871	47678__A5ZEP5__CGC64_03450
ERR1913049.34272__1.34272	216816__D6ZXY6__BL105A_0298
ERR1913049.34662__1.34662	674529__R6V7P0__SAMN05444400_102331
ERR1913049.34945__1.34945	166486__A0A173VSA0__ROSINTL182_06124
ERR1913049.34993__1.34993	901__A0A1K1LG50__DESPIG_01817
ERR1913049.35056__1.35056	901__B6WRH4__DESPIGER_0368
ERR1913049.35250__1.35250	901__B6WV45__DESPIGER_1962
ERR1913049.35272__1.35272	28117__B0N028__BHV66_05935
ERR1913049.35400__1.35400	214856__A0A174EQR4__rsmA
ERR1913049.35568__1.35568	901__B6WR27__lnt
ERR1913049.35730__1.35730	674529__R6V0V1__DXB21_06395
ERR1913049.36189__1.36189	328814__GCA_004558275.1_01745
ERR1913049.36472__1.36472	820__A7VAS1__HMPREF2141_03259
ERR1913049.36882__1.36882	901__B6WVN9__DESPIG_02157
ERR1913049.36893__1.36893	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913049.36968__1.36968	1297617__A0A0S2W267__IB211_01043c
ERR1913049.37463__1.37463	394340__clpC1
ERR1913049.37748__1.37748	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913049.37782__1.37782	1262911__R6GZX7__BN557_00838
ERR1913049.37955__1.37955	1796646__A0A1B1S8E7__ADH68_13145
ERR1913049.38020__1.38020	901__B6WRB3__DESPIGER_0300
ERR1913049.38031__1.38031	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913049.38764__1.38764	46228__V8CF50__tig
ERR1913049.38770__1.38770	626930__F3PVE3__HMPREF9446_02721
ERR1913049.38970__1.38970	901__B6WVE0__DESPIG_02056
ERR1913049.39265__1.39265	1262927__R7EX56__BN677_00089
ERR1913049.39536__1.39536	1262886__R6Q946__BN563_00499
ERR1913049.40255__1.40255	1897011__A0A1Q6REW8__BHW41_04435
ERR1913049.40546__1.40546	1897011__A0A1Q6RI93__BHW41_01175
ERR1913049.40625__1.40625	1628085__A0A2U1B3Y8__C7386_12130
ERR1913049.40976__1.40976	853__D4K7X0__DW905_09540
ERR1913049.41169__1.41169	745368__A0A1T4WPN5__SAMN02745178_00931
ERR1913049.41377__1.41377	1263044__GCA_000433375.1_01438
ERR1913049.41412__1.41412	1263000__R5ESM1__BN466_01440
ERR1913049.41568__1.41568	1262886__R6QHT6__BN563_00625
ERR1913049.41600__1.41600	821__A0A174NM17__lacZ_6
ERR1913049.41776__1.41776	39492__D4JV86__spoIIE
ERR1913049.41879__1.41879	1262889__R7HEB0__BN634_01682
ERR1913049.41966__1.41966	1263030__R5CXA0__BN705_00395
ERR1913049.42072__1.42072	817__A0A081TWW5__M141_1211
ERR1913049.42128__1.42128	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913049.42346__1.42346	292800__G9YPX7__ERS852518_06690
ERR1913049.42954__1.42954	901__B6WTT7__DESPIG_01494
ERR1913049.43092__1.43092	214856__I3YMN6__Alfi_1938
ERR1913049.43233__1.43233	28117__B0MTV0__BHV66_06395
ERR1913049.43244__1.43244	1263000__R5ESM1__BN466_01440
ERR1913049.43456__1.43456	853__A0A174C5M1__CGS58_04460
ERR1913049.43835__1.43835	28117__B0MXW9__ALIPUT_01981
ERR1913049.43885__1.43885	901__B6WY04__BHW59_00740
ERR1913049.43906__1.43906	1897011__A0A1Q6REV3__BHW41_04080
ERR1913049.44625__1.44625	28117__B0MTW8__ALIPUT_00502
ERR1913049.44664__1.44664	28117__R7JIJ8__BHV66_01635
ERR1913049.44826__1.44826	418240__C6JAJ8__ERS852478_03436
ERR1913049.45016__1.45016	28117__R7JPX7__BHV66_00900
ERR1913049.45080__1.45080	821__I9R3W6__DXC16_12455
ERR1913049.45284__1.45284	1897011__A0A1Q6RE67__BHW41_04635
ERR1913049.45260__1.45260	901__B6WTT7__DESPIG_01494
ERR1913049.45542__1.45542	901__B6WR31__DESPIG_00511
ERR1913049.45664__1.45664	46503__K5ZAK9__NCTC13052_03308
ERR1913049.45667__1.45667	552398__T5S086__HMPREF0866_01580
ERR1913049.45740__1.45740	853__A0A173RZ39__C4N22_01650
ERR1913049.45867__1.45867	901__B6WWQ9__DESPIG_02528
ERR1913049.46607__1.46607	901__A0A1K1LGQ2__DESPIG_02072
ERR1913049.46654__1.46654	1262927__R7EX56__BN677_00089
ERR1913049.46679__1.46679	1262911__R6GKS1__BN557_00184
ERR1913049.46802__1.46802	871324__A0A1M6KRZ5__SAMN05444350_14031
ERR1913049.46854__1.46854	853__A0A2A7B9I6__DW855_13690
ERR1913049.47216__1.47216	1262927__R7EX56__BN677_00089
ERR1913049.47266__1.47266	901__B6WXD6__DHV46_02215
ERR1913049.47272__1.47272	46228__V8C7P7__HMPREF1202_01523
ERR1913049.47413__1.47413	301301__G2T152__RHOM_05005
ERR1913049.47452__1.47452	901__B6WX15__DESPIG_02640
ERR1913049.47651__1.47651	1683__C4FFP8__BIFANG_03162
ERR1913049.48021__1.48021	820__A0A174TRB5__DXD40_11305
ERR1913049.48386__1.48386	1263000__R5EC87__BN466_00713
ERR1913049.48458__1.48458	821__A0A174NSU0__BVU_3144
ERR1913049.48462__1.48462	901__B6WR17__DHV46_00835
ERR1913049.49274__1.49274	853__A0A2A7ATM9__DWZ89_13645
ERR1913049.49363__1.49363	1263000__R5ETL6__BN466_01607
ERR1913049.49427__1.49427	1628085__A0A2U1B477__C7386_12136
ERR1913049.49561__1.49561	28117__B0MY40__BHV66_05170
ERR1913049.49693__1.49693	1628085__A0A1C6CK16__C7386_11434
ERR1913049.49751__1.49751	1628085__A0A2U1BGQ7__C7386_101108
ERR1913049.49905__1.49905	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913049.49968__1.49968	901__B6WTW8__DESPIGER_1202
ERR1913049.50335__1.50335	821__A0A396F598__CUU_3259
ERR1913049.50661__1.50661	1897011__A0A1Q6REW8__BHW41_04435
ERR1913049.50665__1.50665	1262911__R6GW73__BN557_00128
ERR1913049.51210__1.51210	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913049.51257__1.51257	901__A0A1K1LG50__DESPIG_01817
ERR1913049.51352__1.51352	446660__GCA_003428235.1_00249
ERR1913049.51408__1.51408	446660__GCA_003428235.1_00291
ERR1913049.51463__1.51463	901__B6WTW8__DESPIGER_1202
ERR1913049.51995__1.51995	572010__argF
ERR1913049.52529__1.52529	853__A0A3E2V168__FAEPRAM212_00929
ERR1913049.52740__1.52740	28052__R7NB47__msbA_2
ERR1913049.52893__1.52893	166486__D4KZY5__ROSINTL182_07635
ERR1913049.53082__1.53082	28117__B0N028__BHV66_05935
ERR1913049.53332__1.53332	216816__C2GUV2__APC1478_0430
ERR1913049.53719__1.53719	328814__GCA_004558275.1_01001
ERR1913049.53923__1.53923	901__B6WX14__mviN
ERR1913049.54098__1.54098	1262824__R6RMR2__BN719_02646
ERR1913049.54418__1.54418	74426__group_1871
ERR1913049.54557__1.54557	28117__B0MTH2__ALIPUT_00061
ERR1913049.54626__1.54626	29361__B6FKH5__CLONEX_00621
ERR1913049.54637__1.54637	1262927__R7EX56__BN677_00089
ERR1913049.54674__1.54674	1263000__R5EFY3__BN466_01416
ERR1913049.54735__1.54735	901__B6WV45__DESPIGER_1962
ERR1913049.54946__1.54946	821__A0A3E4XY72__NCTC10583_01067
ERR1913049.55274__1.55274	1262886__R6REZ5__BN563_01087
ERR1913049.55539__1.55539	1897011__A0A1Q6RG95__BHW41_02720
ERR1913049.55659__1.55659	1263000__R5EGY7__BN466_01478
ERR1913049.56090__1.56090	166486__D4KZ45__ROSINTL182_05738
ERR1913049.56131__1.56131	1262927__R7EX56__BN677_00089
ERR1913049.56457__1.56457	39496__A5Z5I2__EUBVEN_00963
ERR1913049.56903__1.56903	28117__B0MXU0__BHV66_07550
ERR1913049.56952__1.56952	28117__B0MY34__BHV66_05195
ERR1913049.57098__1.57098	901__A0A1K1LG50__DESPIG_01817
ERR1913049.57175__1.57175	1262911__R6GI18__BN557_01377
ERR1913049.57226__1.57226	216816__A0A0S2ML20__B5780_2007
ERR1913049.57351__1.57351	901__B6WRB3__DESPIGER_0300
ERR1913049.57374__1.57374	1262992__R5DCM8__BN795_01561
ERR1913049.57389__1.57389	853__A0A173T0Y8__CGS54_07215
ERR1913049.57421__1.57421	1262927__R7EX56__BN677_00089
ERR1913049.57608__1.57608	1297617__A0A2U1CDC7__C7373_103221
ERR1913049.57783__1.57783	28117__B0MTV5__BHV66_06415
ERR1913049.57968__1.57968	47678__R5U8S9__DW706_06260
ERR1913049.58059__1.58059	1262893__R5H7Y7__BN782_00665
ERR1913049.58071__1.58071	39485__A0A174YW66__ERS852490_03040
ERR1913049.58125__1.58125	1262927__R7EX56__BN677_00089
ERR1913049.58422__1.58422	901__B6WUY7__DHV46_11425
ERR1913049.58515__1.58515	820__A0A374QGD2__ERS852421_02382
ERR1913049.58750__1.58750	1263000__R5ETL6__BN466_01607
ERR1913049.58869__1.58869	328814__GCA_004558275.1_01620
ERR1913049.59075__1.59075	1262927__R7EX56__BN677_00089
ERR1913049.59378__1.59378	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913049.59694__1.59694	39485__A0A174Z2N7__EUBELI_02062
ERR1913049.60053__1.60053	39485__C4Z6I9__ERS852492_02038
ERR1913049.60094__1.60094	552398__F4XHN7__HMPREF0866_03141
ERR1913049.60100__1.60100	1150298__A0A174N5I7__ERS852498_01953
ERR1913049.60252__1.60252	74426__pdxS
ERR1913049.60662__1.60662	853__A0A173YYY4__DWZ04_09420
ERR1913049.60789__1.60789	2108523__A0A2P2F7Y8__LAWASA_2127
ERR1913049.61012__1.61012	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913049.61135__1.61135	74426__argF
ERR1913049.61141__1.61141	28117__B0MTV5__BHV66_06415
ERR1913049.61274__1.61274	853__A0A2A6Z8X1__FPR_03410
ERR1913049.61498__1.61498	46228__V8BM45__DXD17_14355
ERR1913049.61948__1.61948	821__A0A174NSU0__BVU_3144
ERR1913049.62075__1.62075	28117__B0MSS1__ALIPUT_00273
ERR1913049.62175__1.62175	1263000__R5EQI3__BN466_00125
ERR1913049.62267__1.62267	1263000__R5EF36__BN466_01303
ERR1913049.62301__1.62301	172901__A0A2U1AZZ4__C8D82_1126
ERR1913049.62523__1.62523	28117__B0MU76__ALIPUT_00202
ERR1913049.62565__1.62565	216816__B3DNW2__BL171B_07980
ERR1913049.62587__1.62587	1897011__A0A1Q6RE56__BHW41_04765
ERR1913049.62799__1.62799	853__C7H7F5__DWZ46_01780
ERR1913049.63026__1.63026	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913049.63300__1.63300	821__A0A174RA14__M099_1655
ERR1913049.63312__1.63312	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913049.63431__1.63431	28117__B0MTS2__ALIPUT_00159
ERR1913049.63472__1.63472	28117__B0MTV3__BHV66_06405
ERR1913049.63545__1.63545	47678__I9EFP9__DXB67_08530
ERR1913049.63637__1.63637	1262927__R7EX56__BN677_00089
ERR1913049.63803__1.63803	214856__A0A175A6T5__ERS852447_02658
ERR1913049.64261__1.64261	820__A7VAS1__HMPREF2141_03259
ERR1913049.64481__1.64481	1263000__R5EGY6__BN466_00973
ERR1913049.64578__1.64578	1262911__R6GTN3__BN557_01365
ERR1913049.64635__1.64635	821__D4VD59__BHV80_04260
ERR1913049.64797__1.64797	384638__B7APN3__BACPEC_00639
ERR1913049.64930__1.64930	1897011__A0A1Q6RH29__BHW41_01570
ERR1913049.65571__1.65571	28117__B0MTV5__BHV66_06415
ERR1913049.65758__1.65758	853__A0A174C5M1__CGS58_04460
ERR1913049.65777__1.65777	1262824__R6RQ49__BN719_02290
ERR1913049.65813__1.65813	1262927__R7EX56__BN677_00089
ERR1913049.65979__1.65979	1262911__R6GW73__BN557_00128
ERR1913049.65995__1.65995	901__B6WQ99__BHW59_02695
ERR1913049.66215__1.66215	28118__F9Z7U8__DF785_12305
ERR1913049.66354__1.66354	166486__D4KX29__ROSINTL182_09734
ERR1913049.66480__1.66480	901__B6WXI1__DESPIGER_1636
ERR1913049.66504__1.66504	552398__F4XCR9__HMPREF0866_01636
ERR1913049.66553__1.66553	1263000__R5EDV4__BN466_01097
ERR1913049.66548__1.66548	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913049.66636__1.66636	1262911__R6GNY6__BN557_00004
ERR1913049.67049__1.67049	1262927__R7EX56__BN677_00089
ERR1913049.67203__1.67203	216816__E8MVM4__APC1480_1562
ERR1913049.67636__1.67636	901__B6WTQ4__DESPIGER_1255
ERR1913049.67702__1.67702	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913049.67983__1.67983	1263000__R5EFJ5__BN466_01372
ERR1913049.68172__1.68172	820__A0A173YYG4__evgS_3
ERR1913049.68417__1.68417	446660__GCA_003428235.1_00331
ERR1913049.68449__1.68449	39485__R5ZPP8__EUBELI_20334
ERR1913049.68512__1.68512	1897011__A0A1Q6RDY0__BHW41_05385
ERR1913049.69021__1.69021	39488__R5G6A7__DXD91_05835
ERR1913049.69562__1.69562	901__B6WTQ4__DESPIGER_1255
ERR1913049.69774__1.69774	1262927__R7EX56__BN677_00089
ERR1913049.69888__1.69888	1262911__R6GZX7__BN557_00838
ERR1913049.70222__1.70222	214856__I3YPI7__pepD_1
ERR1913049.70473__1.70473	418240__C6J879__ERS852523_04053
ERR1913049.70481__1.70481	1262992__R5DAK8__BN795_01248
ERR1913049.70635__1.70635	820__A0A3E4W980__M093_3873
