ERR1913049.341__1.341	1262886__R6QAT8__BN563_00993
ERR1913049.7833__1.7833	853__A0A2A7B1Y7__C7K05_11930
ERR1913049.7960__1.7960	1262927__R7EX56__BN677_00089
ERR1913049.7937__1.7937	853__D4K7X0__DW905_09540
ERR1913049.8039__1.8039	446660__GCA_003428235.1_01424
ERR1913049.8112__1.8112	818__A0A3E5H5M0__SAMN05216253_12081
ERR1913049.8149__1.8149	216816__C2GUV2__APC1478_0430
ERR1913049.8457__1.8457	301301__G2T5Z5__RHOM_15985
ERR1913049.8586__1.8586	28052__R7NB47__msbA_2
ERR1913049.8630__1.8630	216816__C2GUV2__APC1478_0430
ERR1913049.8606__1.8606	853__E2ZGD9__C7J97_11715
ERR1913049.8612__1.8612	1897011__A0A1Q6RCL1__BHW41_06190
ERR1913049.8830__1.8830	61171__B9Y2L8__HOLDEFILI_00043
ERR1913049.8859__1.8859	901__B6WR13__DHV46_00815
ERR1913049.8815__1.8815	674529__A0A3E5GMA1__DXB21_05535
ERR1913049.8860__1.8860	28117__B0MVL5__BHV66_01660
ERR1913049.8887__1.8887	1897011__A0A1Q6RH12__BHW41_01505
ERR1913049.8899__1.8899	821__A0A0P0L8F8__ERS852509_03705
ERR1913049.8902__1.8902	1897011__A0A1Q6RC30__BHW41_06700
ERR1913049.9186__1.9186	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913049.9266__1.9266	214856__A0A174CRY5__ERS852559_01060
ERR1913049.9281__1.9281	901__B6WY04__BHW59_00740
ERR1913049.9656__1.9656	1150298__A0A174K7D2__ERS852498_01147
ERR1913049.9989__1.9989	820__A0A139KIL9__DXC68_05945
ERR1913049.10164__1.10164	1501391__GCA_000786575.1_00025
ERR1913049.10325__1.10325	1262911__R6GI18__BN557_01377
ERR1913049.10427__1.10427	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913049.10537__1.10537	820__A0A174CG08__DXB62_13215
ERR1913049.10615__1.10615	446660__GCA_003428235.1_00802
ERR1913049.10698__1.10698	1262927__R7EX56__BN677_00089
ERR1913049.10774__1.10774	46228__V8CB66__RUMLAC_02810
ERR1913049.10847__1.10847	28117__B0MXR1__BHV66_08035
ERR1913049.10919__1.10919	1897011__A0A1Q6RI45__BHW41_00970
ERR1913049.10958__1.10958	166486__D4KZC1__btr_1
ERR1913049.10975__1.10975	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913049.11162__1.11162	821__A0A0P0M6M0__M097_4734
ERR1913049.11263__1.11263	1262911__R6H1A6__BN557_01286
ERR1913049.11336__1.11336	1897011__A0A1Q6RC34__BHW41_06455
ERR1913049.11716__1.11716	901__B6WXI1__DESPIGER_1636
ERR1913049.11753__1.11753	2108523__A0A2P2FC97__LAWASA_3643
ERR1913049.12122__1.12122	901__B6WXG1__DHV46_02130
ERR1913049.12835__1.12835	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913049.12888__1.12888	1263044__GCA_000433375.1_03400
ERR1913049.13008__1.13008	1262927__R7EX56__BN677_00089
ERR1913049.13048__1.13048	214856__A0A174H6R3__ERS852447_02809
ERR1913049.13182__1.13182	216816__A0A1V8RHV4__DXD44_06445
ERR1913049.13247__1.13247	328814__GCA_004558275.1_00835
ERR1913049.13258__1.13258	817__D1JTT8__M117_2630
ERR1913049.13518__1.13518	853__A0A3E2V168__FAEPRAM212_00929
ERR1913049.13766__1.13766	1262927__R7EX56__BN677_00089
ERR1913049.13871__1.13871	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913049.14271__1.14271	1780376__A0A143XQT4__BN3659_01658
ERR1913049.14442__1.14442	28117__R7JJM9__ALIPUT_00662
ERR1913049.14497__1.14497	376805__F0R8B1__Bacsa_3573
ERR1913049.14707__1.14707	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913049.15056__1.15056	1263000__R5EGY6__BN466_00973
ERR1913049.15085__1.15085	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913049.15478__1.15478	853__C7H7F8__yccM_1
ERR1913049.15563__1.15563	1235835__R9LCU2__C814_02677
ERR1913049.15648__1.15648	853__A0A173SUU8__CGS54_06840
ERR1913049.15706__1.15706	1150298__A0A174PLY5__ERS852406_01056
ERR1913049.15765__1.15765	28117__B0N028__BHV66_05935
ERR1913049.15833__1.15833	28117__B0MVL5__BHV66_01660
ERR1913049.15851__1.15851	166486__C7GCP5__ROSINTL182_07683
ERR1913049.16074__1.16074	1262886__R6QNU9__BN563_00617
ERR1913049.16099__1.16099	901__B6WVD2__DESPIGER_2029
ERR1913049.16112__1.16112	821__A6L0C7__ERS852556_03520
ERR1913049.16155__1.16155	1262927__R7EX56__BN677_00089
ERR1913049.16280__1.16280	47678__R5UPZ8__ERS852494_01752
ERR1913049.16378__1.16378	1897011__A0A1Q6RH61__BHW41_01970
ERR1913049.16395__1.16395	1263000__R5EQI3__BN466_00125
ERR1913049.16493__1.16493	28117__B0MWC6__BHV66_00965
ERR1913049.16522__1.16522	487174__K0WRR5__DDY40_06130
ERR1913049.16656__1.16656	626929__F3PGY0__SAMN05444376_1243
ERR1913049.16823__1.16823	901__B6WVF5__DESPIGER_2047
ERR1913049.17207__1.17207	901__B6WWQ9__DESPIG_02528
ERR1913049.17399__1.17399	821__A0A0P0LFP6__C5Z04_13890
ERR1913049.17418__1.17418	74426__argF
ERR1913049.17460__1.17460	1262886__R6QSD5__BN563_01674
ERR1913049.17561__1.17561	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913049.17564__1.17564	901__B6WPS9__DHV46_04165
ERR1913049.17605__1.17605	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913049.17718__1.17718	901__A0A1K1LG50__DESPIG_01817
ERR1913049.18594__1.18594	1262911__R6HJV5__BN557_00309
ERR1913049.18637__1.18637	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913049.18696__1.18696	35755__A0A0F6R1S3__UL82_09485
ERR1913049.18736__1.18736	1263044__GCA_000433375.1_01140
ERR1913049.18925__1.18925	853__A0A2A7B1Y7__C7K05_11930
ERR1913049.19420__1.19420	1262942__R7QX64__BN520_01187
ERR1913049.19690__1.19690	821__E5UY21__C800_02204
ERR1913049.19733__1.19733	28117__B0MXL6__ALIPUT_01851
ERR1913049.19826__1.19826	376805__F0R8B1__Bacsa_3573
ERR1913049.19849__1.19849	28052__R7NEM3__fabD
ERR1913049.20024__1.20024	1235835__R9LCU2__C814_02677
ERR1913049.20231__1.20231	1897011__A0A1Q6RI45__BHW41_00970
ERR1913049.20284__1.20284	901__B6WRH4__DESPIGER_0368
ERR1913049.20471__1.20471	292800__A0A174N232__ADH75_10840
ERR1913049.20597__1.20597	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913049.20608__1.20608	166486__D4KYB5__mcp3_2
ERR1913049.20646__1.20646	28117__B0MUL5__ALIPUT_00722
ERR1913049.20755__1.20755	35833__E5Y6S3__HMPREF0179_01886
ERR1913049.20956__1.20956	46228__B5CQI4__RUMLAC_01730
ERR1913049.21193__1.21193	28117__B0MXW9__ALIPUT_01981
ERR1913049.21416__1.21416	901__B6WVN3__DHV46_02690
ERR1913049.21435__1.21435	394340__glnA_1
ERR1913049.21473__1.21473	901__B6WXF1__DESPIGER_1660
ERR1913049.21596__1.21596	1263000__R5EGY6__BN466_00973
ERR1913049.21759__1.21759	745368__A0A1T4XS74__SAMN02745178_02179
ERR1913049.21831__1.21831	1262927__R7EX56__BN677_00089
ERR1913049.21879__1.21879	1262927__R7EX56__BN677_00089
ERR1913049.21899__1.21899	328814__GCA_004558275.1_00291
ERR1913049.22669__1.22669	28117__B0MY36__BHV66_05185
ERR1913049.22792__1.22792	446660__GCA_003428235.1_00994
ERR1913049.23064__1.23064	853__A0A3E2V168__FAEPRAM212_00929
ERR1913049.23103__1.23103	901__B6WRB3__DESPIGER_0300
ERR1913049.23325__1.23325	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913049.23386__1.23386	1262911__R6H1A6__BN557_01286
ERR1913049.23371__1.23371	1262927__R7EX56__BN677_00089
ERR1913049.23372__1.23372	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913049.23491__1.23491	1897011__A0A1Q6REX0__BHW41_04225
ERR1913049.23519__1.23519	853__A0A3E2V168__FAEPRAM212_00929
ERR1913049.23699__1.23699	214856__A0A174EJT5__mnmA
ERR1913049.23919__1.23919	47678__A5ZEX0__DW706_08045
ERR1913049.24260__1.24260	853__A0A3E2U7E6__ERS852582_01640
ERR1913049.24522__1.24522	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913049.24648__1.24648	301301__A0A395V8T7__ERS852391_01243
ERR1913049.24748__1.24748	166486__D4L456__rpfG_10
ERR1913049.24853__1.24853	1262911__R6H0U7__BN557_01104
ERR1913049.25214__1.25214	39491__A0A396FF17__EUR_31400
ERR1913049.25308__1.25308	328813__A0A1Y3QRL5__B5G41_11625
ERR1913049.25671__1.25671	853__C7H7F8__yccM_1
ERR1913049.25901__1.25901	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913049.26020__1.26020	39485__C4Z028__ERS852492_00100
ERR1913049.26254__1.26254	1263000__R5EDV4__BN466_01097
ERR1913049.26395__1.26395	1235835__R9LCU2__C814_02677
ERR1913049.26887__1.26887	301301__G2SX00__RHOM_09015
ERR1913049.26889__1.26889	28117__B0MYP3__BHV66_04995
ERR1913049.27157__1.27157	821__A0A395UNT8__DXD64_15275
ERR1913049.27177__1.27177	214856__I3YMC8__ERS852447_02666
ERR1913049.27426__1.27426	1262927__R7EX56__BN677_00089
ERR1913049.27456__1.27456	901__A0A1K1LGQ2__DESPIG_02072
ERR1913049.27585__1.27585	166486__D4L0Q4__ERS852572_03675
ERR1913049.27608__1.27608	28117__B0MTS2__ALIPUT_00159
ERR1913049.27703__1.27703	39491__A0A174K1W6__DXB99_15020
ERR1913049.28124__1.28124	1501391__GCA_000786575.1_00150
ERR1913049.28286__1.28286	1897011__A0A1Q6RFI5__BHW41_03555
ERR1913049.28527__1.28527	1501391__GCA_000786575.1_00026
ERR1913049.28528__1.28528	214856__A0A173YXX1__ERS852559_01651
ERR1913049.28619__1.28619	1160721__W0U436__BHW50_10710
ERR1913049.29073__1.29073	2108523__A0A2P2F586__LAWASA_1166
ERR1913049.29080__1.29080	246787__A0A0P0GS73__HMPREF1062_06327
ERR1913049.29333__1.29333	1263000__R5ELA0__BN466_02255
ERR1913049.29411__1.29411	166486__D4KNM9__ERS852572_00072
ERR1913049.29560__1.29560	901__B6WTR4__DESPIGER_1248
ERR1913049.29524__1.29524	1262911__R6HHR1__BN557_01622
ERR1913049.29732__1.29732	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913049.29965__1.29965	1897011__A0A1Q6RG85__BHW41_02670
ERR1913049.30061__1.30061	1897011__A0A1Q6RH97__BHW41_01945
ERR1913049.30361__1.30361	936548__J1LNX5__HMPREF1136_0350
ERR1913049.30374__1.30374	328814__GCA_004558275.1_00391
ERR1913049.30791__1.30791	204516__U6RPN2__HMPREF1534_00368
ERR1913049.30913__1.30913	1897011__A0A1Q6RE67__BHW41_04635
ERR1913049.31193__1.31193	1897011__A0A1Q6REA0__BHW41_04660
ERR1913049.31489__1.31489	552398__T5S086__HMPREF0866_01580
ERR1913049.32100__1.32100	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913049.32164__1.32164	28117__B0MYP3__BHV66_04995
ERR1913049.32354__1.32354	1501391__GCA_000786575.1_00158
ERR1913049.32532__1.32532	246787__A0A0P0GNB7__xyl4
ERR1913049.32674__1.32674	853__D4K7X0__DW905_09540
ERR1913049.32737__1.32737	328813__A0A1Y3QQL4__B5G41_13930
ERR1913049.32777__1.32777	1262927__R7EX56__BN677_00089
ERR1913049.33050__1.33050	1262911__R6H2J2__BN557_01228
ERR1913049.33274__1.33274	823__A0A174U5E4__BDI_3390
ERR1913049.33492__1.33492	47678__R5U7A9__C5Z00_03635
ERR1913049.33672__1.33672	1262927__R7EX56__BN677_00089
ERR1913049.33774__1.33774	674529__R6V187__DXB21_21665
ERR1913049.33819__1.33819	1897011__A0A1Q6REX8__BHW41_04475
ERR1913049.33871__1.33871	47678__A5ZEP5__CGC64_03450
ERR1913049.33904__1.33904	853__A0A174BA00__DW905_01145
ERR1913049.34009__1.34009	166486__R6AZI2__ydaF
ERR1913049.34014__1.34014	292800__A0A1C7FKU8__B5F52_03705
ERR1913049.34272__1.34272	216816__D6ZXY6__BL105A_0298
ERR1913049.34319__1.34319	214856__R6XTZ7__ERS852447_02314
ERR1913049.34666__1.34666	74426__group_4808
ERR1913049.34945__1.34945	166486__A0A173VSA0__ROSINTL182_06124
ERR1913049.34993__1.34993	901__A0A1K1LG50__DESPIG_01817
ERR1913049.35056__1.35056	901__B6WRH4__DESPIGER_0368
ERR1913049.35272__1.35272	28117__B0N028__BHV66_05935
ERR1913049.35568__1.35568	901__B6WR27__lnt
ERR1913049.35595__1.35595	901__B6WXK9__DESPIG_02836
ERR1913049.35723__1.35723	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913049.35730__1.35730	674529__R6V0V1__DXB21_06395
ERR1913049.35759__1.35759	901__B6WUW8__DESPIGER_1921
ERR1913049.36112__1.36112	328814__GCA_004558275.1_01621
ERR1913049.36120__1.36120	1262911__R6HLR5__BN557_00628
ERR1913049.36189__1.36189	328814__GCA_004558275.1_01745
ERR1913049.36472__1.36472	820__A7VAS1__HMPREF2141_03259
ERR1913049.36739__1.36739	214856__A0A174CRY5__ERS852559_01060
ERR1913049.36882__1.36882	901__B6WVN9__DESPIG_02157
ERR1913049.36968__1.36968	1297617__A0A0S2W267__IB211_01043c
ERR1913049.37070__1.37070	1262911__R6GP42__BN557_00222
ERR1913049.37748__1.37748	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913049.37782__1.37782	1262911__R6GZX7__BN557_00838
ERR1913049.37955__1.37955	1796646__A0A1B1S8E7__ADH68_13145
ERR1913049.38031__1.38031	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913049.38136__1.38136	166486__D4KY48__gmr_5
ERR1913049.38150__1.38150	901__B6WVN9__DESPIG_02157
ERR1913049.38328__1.38328	1263000__R5EDV4__BN466_01097
ERR1913049.38764__1.38764	46228__V8CF50__tig
ERR1913049.38970__1.38970	901__B6WVE0__DESPIG_02056
ERR1913049.39056__1.39056	901__B6WRK6__DESPIGER_0403
ERR1913049.39304__1.39304	301301__A0A395V957__RHOM_14115
ERR1913049.39265__1.39265	1262927__R7EX56__BN677_00089
ERR1913049.39277__1.39277	39491__D6E408__EUBREC_1466
ERR1913049.39392__1.39392	39491__A0A173QT73__alaS_2
ERR1913049.39443__1.39443	853__A0A173RZ39__C4N22_01650
ERR1913049.39497__1.39497	1262992__R5D6F1__BN795_00820
ERR1913049.39536__1.39536	1262886__R6Q946__BN563_00499
ERR1913049.39616__1.39616	572010__lepA
ERR1913049.39928__1.39928	328814__GCA_004558275.1_01000
ERR1913049.40005__1.40005	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913049.40077__1.40077	552398__T5S086__HMPREF0866_01580
ERR1913049.40255__1.40255	1897011__A0A1Q6REW8__BHW41_04435
ERR1913049.40546__1.40546	1897011__A0A1Q6RI93__BHW41_01175
ERR1913049.40976__1.40976	853__D4K7X0__DW905_09540
ERR1913049.41512__1.41512	1262927__R7EX56__BN677_00089
ERR1913049.41815__1.41815	1262927__R7EX56__BN677_00089
ERR1913049.41776__1.41776	39492__D4JV86__spoIIE
ERR1913049.41879__1.41879	1262889__R7HEB0__BN634_01682
ERR1913049.41966__1.41966	1263030__R5CXA0__BN705_00395
ERR1913049.42072__1.42072	817__A0A081TWW5__M141_1211
ERR1913049.42128__1.42128	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913049.42346__1.42346	292800__G9YPX7__ERS852518_06690
ERR1913049.42954__1.42954	901__B6WTT7__DESPIG_01494
ERR1913049.43244__1.43244	1263000__R5ESM1__BN466_01440
ERR1913049.43456__1.43456	853__A0A174C5M1__CGS58_04460
ERR1913049.43673__1.43673	204516__U6RJY4__HMPREF1534_01494
ERR1913049.43663__1.43663	47678__A5ZEA3__ERS852558_00257
ERR1913049.43710__1.43710	214856__A0A174CRY5__ERS852559_01060
ERR1913049.43835__1.43835	28117__B0MXW9__ALIPUT_01981
ERR1913049.43906__1.43906	1897011__A0A1Q6REV3__BHW41_04080
ERR1913049.43963__1.43963	166486__D4L1L1__ROSINTL182_05277
ERR1913049.44274__1.44274	674529__R6V9C9__DXB21_16435
ERR1913049.44352__1.44352	1262911__R6GN99__BN557_01784
ERR1913049.44541__1.44541	1263000__R5ESM1__BN466_01440
ERR1913049.44625__1.44625	28117__B0MTW8__ALIPUT_00502
ERR1913049.44664__1.44664	28117__R7JIJ8__BHV66_01635
ERR1913049.44887__1.44887	292800__G9YPN8__A4U99_03635
ERR1913049.45016__1.45016	28117__R7JPX7__BHV66_00900
ERR1913049.45080__1.45080	246787__A0A108TGJ4__AA416_00453
ERR1913049.45477__1.45477	820__A0A174CK74__DXB48_07060
ERR1913049.45520__1.45520	33043__A0A173ZEP9__araC_1
ERR1913049.45542__1.45542	901__B6WR31__DESPIG_00511
ERR1913049.45664__1.45664	46503__K5ZAK9__NCTC13052_03308
ERR1913049.45719__1.45719	1796613__A0A1C7GZG2__ADH74_03485
ERR1913049.46321__1.46321	357276__I9QBT7__BSEG_03340
ERR1913049.46420__1.46420	1262911__R6GN99__BN557_01784
ERR1913049.46607__1.46607	901__A0A1K1LGQ2__DESPIG_02072
ERR1913049.46620__1.46620	172901__A0A2U1B0B0__C8D82_11295
ERR1913049.46747__1.46747	301301__A0A395VDQ5__RHOM_08975
ERR1913049.46802__1.46802	871324__A0A1M6KRZ5__SAMN05444350_14031
ERR1913049.46854__1.46854	853__A0A2A7B9I6__DW855_13690
ERR1913049.47216__1.47216	1262927__R7EX56__BN677_00089
ERR1913049.47266__1.47266	901__B6WXD6__DHV46_02215
ERR1913049.47268__1.47268	901__B6WQT6__DESPIG_00415
ERR1913049.47272__1.47272	46228__V8C7P7__HMPREF1202_01523
ERR1913049.47519__1.47519	61171__B9Y5T9__HOLDEFILI_01171
ERR1913049.47562__1.47562	1262927__R7EX56__BN677_00089
ERR1913049.47651__1.47651	1683__C4FFP8__BIFANG_03162
ERR1913049.47864__1.47864	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913049.47916__1.47916	1262927__R7EX56__BN677_00089
ERR1913049.48021__1.48021	820__A0A174TRB5__DXD40_11305
ERR1913049.48179__1.48179	1796646__A0A1B1S8E7__ADH68_13145
ERR1913049.48386__1.48386	1263000__R5EC87__BN466_00713
ERR1913049.48458__1.48458	821__A0A174NSU0__BVU_3144
ERR1913049.48462__1.48462	901__B6WR17__DHV46_00835
ERR1913049.48486__1.48486	301301__A0A395VEV6__RHOM_05260
ERR1913049.49101__1.49101	821__E5UMZ6__BVU_1450
ERR1913049.49165__1.49165	1262989__R6YI44__BN815_02217
ERR1913049.49427__1.49427	1628085__A0A2U1B477__C7386_12136
ERR1913049.49353__1.49353	46228__B5CNG6__RUMLAC_01002
ERR1913049.49561__1.49561	28117__B0MY40__BHV66_05170
ERR1913049.49576__1.49576	821__A0A174NVL6__NCTC10583_01782
ERR1913049.49693__1.49693	1628085__A0A1C6CK16__C7386_11434
ERR1913049.49868__1.49868	1262927__R7EX56__BN677_00089
ERR1913049.49905__1.49905	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913049.49968__1.49968	901__B6WTW8__DESPIGER_1202
ERR1913049.50335__1.50335	821__A0A396F598__CUU_3259
ERR1913049.50661__1.50661	1897011__A0A1Q6REW8__BHW41_04435
ERR1913049.50665__1.50665	1262911__R6GW73__BN557_00128
ERR1913049.50700__1.50700	147206__GCF_000156215.1_00140
ERR1913049.51257__1.51257	901__A0A1K1LG50__DESPIG_01817
ERR1913049.51408__1.51408	446660__GCA_003428235.1_00291
ERR1913049.51463__1.51463	901__B6WTW8__DESPIGER_1202
ERR1913049.51523__1.51523	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913049.51673__1.51673	28117__B0MSS9__BHV66_06085
ERR1913049.51929__1.51929	1263000__R5EKR4__BN466_01609
ERR1913049.51995__1.51995	572010__argF
ERR1913049.52422__1.52422	39485__R5ZT06__EUBELI_20526
ERR1913049.52522__1.52522	1262927__R7EX56__BN677_00089
ERR1913049.52529__1.52529	853__A0A3E2V168__FAEPRAM212_00929
ERR1913049.52585__1.52585	1262743__R5C9G8__BN727_01341
ERR1913049.52740__1.52740	28052__R7NB47__msbA_2
ERR1913049.52835__1.52835	901__B6WY04__BHW59_00740
ERR1913049.52893__1.52893	166486__D4KZY5__ROSINTL182_07635
ERR1913049.53082__1.53082	28117__B0N028__BHV66_05935
ERR1913049.53332__1.53332	216816__C2GUV2__APC1478_0430
ERR1913049.53569__1.53569	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913049.53719__1.53719	328814__GCA_004558275.1_01000
ERR1913049.53861__1.53861	1262753__R5B0C5__BN813_01872
ERR1913049.53923__1.53923	901__B6WX14__mviN
ERR1913049.54098__1.54098	1262824__R6RMR2__BN719_02646
ERR1913049.54557__1.54557	28117__B0MTH2__ALIPUT_00061
ERR1913049.54637__1.54637	1262927__R7EX56__BN677_00089
ERR1913049.54674__1.54674	1263000__R5EFY3__BN466_01416
ERR1913049.54735__1.54735	901__B6WV45__DESPIGER_1962
ERR1913049.54808__1.54808	901__A0A1K1LGQ2__DESPIG_02072
ERR1913049.54820__1.54820	1262927__R7EX56__BN677_00089
ERR1913049.54946__1.54946	821__A0A3E4XY72__NCTC10583_01067
ERR1913049.55274__1.55274	1262886__R6REZ5__BN563_01087
ERR1913049.55298__1.55298	216816__B7GQF0__CE170_00160
ERR1913049.55455__1.55455	821__A0A3E4KIM1__M097_3660
ERR1913049.55539__1.55539	1897011__A0A1Q6RG95__BHW41_02720
ERR1913049.55659__1.55659	1263000__R5EGY7__BN466_01478
ERR1913049.55745__1.55745	853__A0A173SUU8__CGS54_06840
ERR1913049.55757__1.55757	1263000__R5EF36__BN466_01303
ERR1913049.56090__1.56090	166486__D4KZ45__ROSINTL182_05738
ERR1913049.56094__1.56094	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913049.56131__1.56131	1262927__R7EX56__BN677_00089
ERR1913049.56457__1.56457	39496__A5Z5I2__EUBVEN_00963
ERR1913049.56483__1.56483	1897011__A0A1Q6RDX0__BHW41_05325
ERR1913049.56578__1.56578	172901__A0A2U1ASG0__C8D82_12144
ERR1913049.56903__1.56903	28117__B0MXU0__BHV66_07550
ERR1913049.56952__1.56952	28117__B0MY34__BHV66_05195
ERR1913049.57175__1.57175	1262911__R6GI18__BN557_01377
ERR1913049.57178__1.57178	901__A0A1K1LI09__BHW59_05710
ERR1913049.57351__1.57351	901__B6WRB3__DESPIGER_0300
ERR1913049.57370__1.57370	901__B6WQG2__DHV46_07300
ERR1913049.57374__1.57374	1262992__R5DCM8__BN795_01561
ERR1913049.57389__1.57389	853__A0A173T0Y8__CGS54_07215
ERR1913049.57421__1.57421	1262927__R7EX56__BN677_00089
ERR1913049.57663__1.57663	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913049.57783__1.57783	28117__B0MTV5__BHV66_06415
ERR1913049.57823__1.57823	147206__GCF_000156215.1_01776
ERR1913049.57859__1.57859	1262777__R5W4Q6__BN512_01452
ERR1913049.58071__1.58071	39485__A0A174YW66__ERS852490_03040
ERR1913049.58072__1.58072	817__A0A1C0WFC5__M112_2994
ERR1913049.58125__1.58125	1262927__R7EX56__BN677_00089
ERR1913049.58499__1.58499	901__B6WR17__DHV46_00835
ERR1913049.58515__1.58515	820__A0A374QGD2__ERS852421_02382
ERR1913049.58545__1.58545	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913049.58750__1.58750	1263000__R5ETL6__BN466_01607
ERR1913049.58869__1.58869	328814__GCA_004558275.1_01620
ERR1913049.58836__1.58836	1297617__A0A0S2W0X1__IB211_00621
ERR1913049.58925__1.58925	1262777__R5VKZ4__BN512_01842
ERR1913049.59378__1.59378	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913049.59694__1.59694	39485__A0A174Z2N7__EUBELI_02062
ERR1913049.59700__1.59700	1263000__R5EQI3__BN466_00125
ERR1913049.59894__1.59894	29361__B6FKH5__CLONEX_00621
ERR1913049.59931__1.59931	28117__B0MY40__BHV66_05170
ERR1913049.59989__1.59989	853__A0A3E2V168__FAEPRAM212_00929
ERR1913049.60053__1.60053	39485__C4Z6I9__ERS852492_02038
ERR1913049.60060__1.60060	46228__V8C8N0__RUMLAC_01038
ERR1913049.60100__1.60100	1150298__A0A174N5I7__ERS852498_01953
ERR1913049.60252__1.60252	74426__pdxS
ERR1913049.60611__1.60611	166486__C7GAX1__ERS852572_03188
ERR1913049.60618__1.60618	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913049.60662__1.60662	853__A0A173YYY4__DWZ04_09420
ERR1913049.60789__1.60789	2108523__A0A2P2F7Y8__LAWASA_2127
ERR1913049.61005__1.61005	376805__F0R8B1__Bacsa_3573
