ERR1913141.6__1.6	1681__A0A0E2ZCN8__DXD31_01560
ERR1913141.5294__1.5294	820__A7V470__HMPREF1072_02076
ERR1913141.5345__1.5345	1263000__R5EQI3__BN466_00125
ERR1913141.5522__1.5522	47678__R5U7A9__C5Z00_03635
ERR1913141.5570__1.5570	1262882__R5MSP5__BN519_01637
ERR1913141.5578__1.5578	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913141.5839__1.5839	818__A0A139KKJ5__Btheta7330_00072
ERR1913141.5858__1.5858	33039__R6NZL9__RTO_21970
ERR1913141.5898__1.5898	371601__I9A9L7__CW1_3649
ERR1913141.5960__1.5960	1263000__R5EUM2__BN466_01747
ERR1913141.5965__1.5965	239935__R6JCH3__CXT95_08205
ERR1913141.6043__1.6043	1501391__GCA_000786575.1_00120
ERR1913141.6174__1.6174	818__Q8A5L6__BT_2223
ERR1913141.6267__1.6267	360807__A0A173UZ94__ssuC_2
ERR1913141.6343__1.6343	651822__GCA_000210715.1_00753
ERR1913141.6356__1.6356	820__A0A174CG08__DXB62_13215
ERR1913141.6366__1.6366	39492__D4JV86__spoIIE
ERR1913141.6369__1.6369	214856__A0A173YXX1__ERS852559_01651
ERR1913141.6509__1.6509	1262882__R5MM25__BN519_00600
ERR1913141.6594__1.6594	820__A0A139K5E7__DXC68_09550
ERR1913141.6573__1.6573	357276__A0A0K2HG61__BACDOR_02028
ERR1913141.6669__1.6669	823__E1YQ32__DXC05_04185
ERR1913141.6670__1.6670	100884__E7GAX5__DXB26_11370
ERR1913141.6778__1.6778	820__A0A139K4W5__HMPREF2141_02394
ERR1913141.6936__1.6936	1262882__R5MSI5__BN519_01596
ERR1913141.7066__1.7066	239935__A0A2N8IVK9__CXU08_03750
ERR1913141.7196__1.7196	239935__A0A2N8HB50__CXU17_02615
ERR1913141.7241__1.7241	818__A0A3E5GY47__SAMN02910322_02002
ERR1913141.7287__1.7287	239935__A0A2N8HHB6__B5G29_11500
ERR1913141.7251__1.7251	1681__E4V7X5__BBNG_00264
ERR1913141.7309__1.7309	1550024__G9RWE0__TQ39_04155
ERR1913141.7331__1.7331	820__A0A3E4RU03__M093_0563
ERR1913141.7459__1.7459	820__A0A1T4IYF4__mprA_1
ERR1913141.7500__1.7500	820__A0A174NUS8__DXC80_12885
ERR1913141.7506__1.7506	820__A0A3E4RU03__M093_0563
ERR1913141.7615__1.7615	328814__GCA_004558275.1_00034
ERR1913141.7784__1.7784	47678__A5ZJ80__BACCAC_02965
ERR1913141.7808__1.7808	357276__I8WPR6__EL88_06675
ERR1913141.7920__1.7920	47678__R5UES7__sipS
ERR1913141.7878__1.7878	1501391__GCA_000786575.1_00129
ERR1913141.8231__1.8231	239935__A0A2N8HT44__CXT84_11035
ERR1913141.8321__1.8321	239935__A0A2N8HDT1__CXT94_05270
ERR1913141.8360__1.8360	239935__A0A2N8IIB9__CXU04_01970
ERR1913141.8459__1.8459	239935__R7DVW2__CXU02_03915
ERR1913141.8642__1.8642	357276__B6W5Q9__HMPREF1063_03125
ERR1913141.8714__1.8714	820__A0A1T4IY71__HMPREF2141_02402
ERR1913141.8833__1.8833	239935__A0A2N8HBM4__CXT85_06270
ERR1913141.8954__1.8954	239935__A0A2N8J2P6__ADH72_06730
ERR1913141.9070__1.9070	818__Q8A3R2__C799_03293
ERR1913141.9153__1.9153	1262882__R5N1H7__BN519_00735
ERR1913141.9294__1.9294	1501391__GCA_000786575.1_00038
ERR1913141.9242__1.9242	884684__GCA_002892425.1_01408
ERR1913141.9459__1.9459	239935__A0A2N8IMC9__CXU09_02095
ERR1913141.9589__1.9589	1501391__GCA_000786575.1_00056
ERR1913141.9590__1.9590	357276__B6VW91__BACDOR_01584
ERR1913141.9614__1.9614	40520__A0A396A356__DXB81_07630
ERR1913141.9685__1.9685	328814__GCA_004558275.1_00076
ERR1913141.9767__1.9767	46506__A0A108TDB0__DXC34_12240
ERR1913141.9809__1.9809	40518__R5DQW8__sipW_2
ERR1913141.10094__1.10094	394340__hgdC
ERR1913141.10163__1.10163	820__A0A174G065__DXB62_08975
ERR1913141.10256__1.10256	1262882__R5MZF2__BN519_00592
ERR1913141.10261__1.10261	820__A0A3E4G493__ERS417307_00253
ERR1913141.10438__1.10438	820__A7V092__hldE
ERR1913141.10558__1.10558	820__A0A139K4W1__M093_0353
ERR1913141.10621__1.10621	239935__A0A2N8HPX2__CXT90_09930
ERR1913141.10712__1.10712	1263000__R5EKY1__BN466_02098
ERR1913141.10882__1.10882	116085__D4J571__DW747_06990
ERR1913141.10933__1.10933	47678__R5U8S9__DW706_06260
ERR1913141.11311__1.11311	820__A0A174G065__DXB62_08975
ERR1913141.11348__1.11348	820__A0A139KIL9__DXC68_05945
ERR1913141.11361__1.11361	39491__A0A396FPV7__ERS852580_01177
ERR1913141.11396__1.11396	820__A0A174F0C1__nreB
ERR1913141.11640__1.11640	820__A0A139K426__B5G17_09115
ERR1913141.11656__1.11656	1501391__GCA_000786575.1_00098
ERR1913141.11797__1.11797	239935__A0A2N8ITG2__Amuc_0335
ERR1913141.12056__1.12056	239935__A0A2N8IMD6__CXU03_05585
ERR1913141.12130__1.12130	1501391__GCA_000786575.1_00129
ERR1913141.12189__1.12189	46506__B0NM04__DXC41_13195
ERR1913141.12253__1.12253	1262882__R5MH55__BN519_00725
ERR1913141.12293__1.12293	1262882__R5N089__BN519_00546
ERR1913141.12942__1.12942	357276__I9FGI3__EL88_12385
ERR1913141.13198__1.13198	357276__A0A0K2HI25__DXD47_04465
ERR1913141.13311__1.13311	46506__B0NPY3__BACSTE_02000
ERR1913141.13353__1.13353	47678__R5UAI1__BACCAC_01922
ERR1913141.13401__1.13401	1262882__R5N345__BN519_01034
ERR1913141.13506__1.13506	820__A0A174CG08__DXB62_13215
ERR1913141.13680__1.13680	47678__R5U325__HMPREF1061_03209
ERR1913141.13714__1.13714	1263000__R5EF36__BN466_01303
ERR1913141.13730__1.13730	853__C7H1R8__DW905_06675
ERR1913141.13847__1.13847	820__A0A3E4WCX3__C801_02709
ERR1913141.13893__1.13893	1262882__R5MYS0__BN519_00284
ERR1913141.13925__1.13925	357276__I8WC65__EL88_00520
ERR1913141.13999__1.13999	1262882__R5MNC1__BN519_00818
ERR1913141.14020__1.14020	47678__R5UES7__sipS
ERR1913141.14033__1.14033	357276__I9RAC4__BSEG_00561
ERR1913141.14086__1.14086	239935__A0A3F3K985__CXT98_05805
ERR1913141.14093__1.14093	239935__A0A2N8IMC9__CXU09_02095
ERR1913141.14317__1.14317	39492__D4JTL0__EUBSIR_01428
ERR1913141.14331__1.14331	1262911__R6H2J2__BN557_01228
ERR1913141.14717__1.14717	394340__DmdB
ERR1913141.14887__1.14887	1897011__A0A1Q6RI93__BHW41_01175
ERR1913141.14987__1.14987	338188__A0A174JXM7__ERS852397_03350
ERR1913141.14992__1.14992	214856__A0A174C683__ERS852559_00523
ERR1913141.15183__1.15183	820__A0A374QGD2__ERS852421_02382
ERR1913141.15422__1.15422	239935__A0A2N8IRL2__CXU06_01170
ERR1913141.15429__1.15429	1262911__R6GKS1__BN557_00184
ERR1913141.15354__1.15354	301301__A0A395V4X8__ERS852391_01546
ERR1913141.15457__1.15457	1780381__A0A143ZNY3__mntP_2
ERR1913141.15679__1.15679	394340__atpA
ERR1913141.15759__1.15759	357276__A0A076IS26__EL88_15950
ERR1913141.15762__1.15762	40520__R7DB69__lgt_1
ERR1913141.15966__1.15966	1262882__R5MFA5__BN519_00331
ERR1913141.16164__1.16164	371601__A0A1H4GXQ8__CW1_1432
ERR1913141.16381__1.16381	47678__R5UES3__CGC64_00760
ERR1913141.16451__1.16451	239935__A0A2N8ITX2__CXT86_11265
ERR1913141.16580__1.16580	1262882__R5MIW5__BN519_00945
ERR1913141.16568__1.16568	1262882__R5MK82__BN519_00260
ERR1913141.16647__1.16647	292800__A0A096B9D4__HMPREF0372_02292
ERR1913141.16666__1.16666	818__A0A139L1D5__BT_2967
ERR1913141.16817__1.16817	239935__A0A2N8I9P4__CXT85_05050
ERR1913141.16934__1.16934	562__P77294__fimG
ERR1913141.17529__1.17529	1262882__R5MJJ9__BN519_01035
ERR1913141.17553__1.17553	39492__D4JT68__spoIIIE
ERR1913141.17599__1.17599	239935__A0A2N8IMC3__CXT96_03840
ERR1913141.17660__1.17660	1262882__R5MSI5__BN519_01596
ERR1913141.17758__1.17758	239935__A0A2N8INK7__Amuc_0521
ERR1913141.18258__1.18258	1550024__A0A3B9WFC7__ASJ35_09200
ERR1913141.18315__1.18315	820__A0A139KJR5__M093_4469
ERR1913141.18345__1.18345	1262911__R6H2B5__BN557_01151
ERR1913141.18355__1.18355	239935__A0A2N8IMD6__CXU03_05585
ERR1913141.18556__1.18556	818__Q8A2L4__Btheta7330_05011
ERR1913141.18563__1.18563	820__A0A3E4W4Y7__B5G17_02055
ERR1913141.18646__1.18646	239935__A0A2N8IKW7__pstA
ERR1913141.18709__1.18709	239935__A0A139TPD4__CXT86_06450
ERR1913141.18700__1.18700	1262882__R5N0C3__BN519_00731
ERR1913141.18768__1.18768	1262882__R5N587__BN519_01643
ERR1913141.18851__1.18851	1897011__A0A1Q6RFI5__BHW41_03555
ERR1913141.18903__1.18903	1897011__A0A1Q6RIQ3__BHW41_00450
ERR1913141.19072__1.19072	1550024__A0A0W7TVC5__TQ39_00835
ERR1913141.19115__1.19115	820__A7VAR9__ERS852421_00197
ERR1913141.19104__1.19104	1501391__GCA_000786575.1_00067
ERR1913141.19416__1.19416	1262882__R5MZ41__BN519_00356
ERR1913141.19420__1.19420	818__A0A2J6AAG0__C5Z03_04510
ERR1913141.19492__1.19492	239935__A0A2N8HB50__CXU17_02615
ERR1913141.19544__1.19544	239935__B2UL21__CXT98_03395
ERR1913141.19553__1.19553	820__A0A174F0C1__nreB
ERR1913141.19711__1.19711	1501391__GCA_000786575.1_00016
ERR1913141.19763__1.19763	357276__A0A0K2HJA6__DXD47_07320
ERR1913141.19861__1.19861	371601__I9UUB0__SAMN04487924_11836
ERR1913141.19978__1.19978	1262882__R5MJJ9__BN519_01035
ERR1913141.19949__1.19949	820__A0A396EXA7__DXB37_15530
ERR1913141.19956__1.19956	1262882__R5N4G2__BN519_01273
ERR1913141.19968__1.19968	1501391__GCA_000786575.1_00146
ERR1913141.19999__1.19999	1262882__R5N211__BN519_01033
ERR1913141.20166__1.20166	820__A0A3E4PYB0__yejM
ERR1913141.20202__1.20202	39492__D4MIY5__EUBSIR_00233
ERR1913141.20275__1.20275	40520__R7D9L9__DXC87_14715
ERR1913141.20325__1.20325	820__A0A3E4G826__C801_01612
ERR1913141.20376__1.20376	820__A0A1T4IYF4__mprA_1
ERR1913141.20397__1.20397	820__A0A3E4VZT7__DXB48_16145
ERR1913141.20447__1.20447	165179__A0A174IPI3__CFT61_10940
ERR1913141.20502__1.20502	1262980__R5C0H7__BN814_00054
ERR1913141.21071__1.21071	1501391__GCA_000786575.1_00076
ERR1913141.21072__1.21072	328814__GCA_004558275.1_02279
ERR1913141.21360__1.21360	410072__C0BBL2__DXD67_02635
ERR1913141.21477__1.21477	328814__GCA_004558275.1_01001
ERR1913141.21497__1.21497	239935__A0A2N8HT44__CXT84_11035
ERR1913141.21498__1.21498	818__A0A139L1D5__BT_2967
ERR1913141.21655__1.21655	1263107__GCA_000436995.1_00055
ERR1913141.21743__1.21743	88431__A0A3D0EY52__ERS852573_01763
ERR1913141.21902__1.21902	1262911__R6H2J2__BN557_01228
ERR1913141.21909__1.21909	1501391__GCA_000786575.1_00158
ERR1913141.21979__1.21979	410072__C0B9G6__ERS852481_03113
ERR1913141.21962__1.21962	239935__A0A2N8HT68__ADH72_00510
ERR1913141.22087__1.22087	1897011__A0A1Q6RG48__BHW41_02345
ERR1913141.22300__1.22300	360807__A0A173YJ94__ERS852444_03492
ERR1913141.22314__1.22314	239935__R7E524__CXT91_06180
ERR1913141.22450__1.22450	47678__A5ZBL9__C5Z00_18710
ERR1913141.22580__1.22580	47678__R5UAF6__ERS852494_02966
ERR1913141.22875__1.22875	239935__A0A139TPD4__CXT86_06450
ERR1913141.22912__1.22912	46506__R6LDN0__HMPREF1181_03103
ERR1913141.22988__1.22988	1263000__R5EK63__BN466_02075
ERR1913141.23176__1.23176	74426__groL
ERR1913141.23259__1.23259	239935__A0A2N8IFA0__CXT92_02050
ERR1913141.23384__1.23384	147206__GCF_000156215.1_01776
ERR1913141.23390__1.23390	357276__I9G0T7__BACDOR_04266
ERR1913141.23466__1.23466	74426__nifJ
ERR1913141.23479__1.23479	1262882__R5MZZ3__BN519_00482
ERR1913141.23587__1.23587	820__A0A139K426__B5G17_09115
ERR1913141.23643__1.23643	239935__A0A139TPD4__CXT86_06450
ERR1913141.23808__1.23808	1501391__GCA_000786575.1_00062
ERR1913141.23820__1.23820	1501391__GCA_000786575.1_00155
ERR1913141.24513__1.24513	818__A0A0P0F004__SAMN02910322_02925
ERR1913141.24912__1.24912	40520__R7DCV6__ERS852394_02102
ERR1913141.25144__1.25144	1263000__R5EKT2__BN466_02168
ERR1913141.25330__1.25330	116085__D4JA07__DW747_02915
ERR1913141.25631__1.25631	818__A0A0P0EV21__NCTC13706_01181
ERR1913141.25984__1.25984	239935__A0A139TPD4__CXT86_06450
ERR1913141.26002__1.26002	820__R9I324__HMPREF2141_02414
ERR1913141.26034__1.26034	328814__GCA_004558275.1_00999
ERR1913141.26311__1.26311	820__A0A139KIL9__DXC68_05945
ERR1913141.26344__1.26344	47678__R5UWN2__BACCAC_01649
ERR1913141.26438__1.26438	820__A0A173WUD7__DXB48_08055
ERR1913141.26453__1.26453	1262882__R5MYP8__BN519_00439
ERR1913141.26618__1.26618	820__A0A3E4VZY4__ERS852554_01211
ERR1913141.26916__1.26916	28116__I8YA52__M088_0798
ERR1913141.27175__1.27175	1378168__V2YA11__N510_02528
ERR1913141.27246__1.27246	820__A0A3E4W6P0__gmhA
ERR1913141.27339__1.27339	820__A0A139JRH8__HMPREF2141_04326
ERR1913141.27517__1.27517	39488__C0EX25__DXD91_11965
ERR1913141.27548__1.27548	1681__K2IQY4__RY70_39
ERR1913141.27636__1.27636	820__A7VAR9__ERS852421_00197
ERR1913141.27648__1.27648	46506__R6B8Z4__SAMN05444283_11711
ERR1913141.27870__1.27870	239935__A0A2N8HEH9__CXU07_11710
ERR1913141.27873__1.27873	239935__R6J4Y4__CXU17_09810
ERR1913141.27963__1.27963	1262882__R5N4F5__BN519_01266
ERR1913141.27970__1.27970	328814__GCA_004558275.1_00036
ERR1913141.27893__1.27893	818__A0A3E5H650__C799_01514
ERR1913141.27896__1.27896	239935__A0A2N8HB50__CXU17_02615
ERR1913141.28082__1.28082	820__R9HP61__DXC91_01090
ERR1913141.28294__1.28294	338188__A0A174ADB6__rfbE
ERR1913141.28404__1.28404	1263000__R5EGY7__BN466_01478
ERR1913141.28438__1.28438	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913141.28520__1.28520	239935__R6J5N6__CXT99_10770
ERR1913141.28558__1.28558	1262882__R5MGX3__BN519_00046
ERR1913141.29424__1.29424	239935__A0A2N8HZW2__A4V05_11120
ERR1913141.29515__1.29515	820__A0A174CG08__DXB62_13215
ERR1913141.29698__1.29698	820__A0A174EV88__HMPREF1072_01427
ERR1913141.29759__1.29759	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913141.29995__1.29995	1263006__R6LN71__BN515_01528
ERR1913141.30123__1.30123	239935__A0A2N8IU45__DEF40_02365
ERR1913141.30607__1.30607	33039__A0A173VTT4__frdB_1
ERR1913141.30670__1.30670	357276__A0A1Y3Z6X3__GV66_07715
ERR1913141.30687__1.30687	239935__A0A139TPD4__CXT86_06450
ERR1913141.30858__1.30858	33039__D4M398__ERS852530_00575
ERR1913141.30914__1.30914	1262882__R5MQ63__BN519_01173
ERR1913141.30987__1.30987	820__A0A3E4RU03__M093_0563
ERR1913141.31011__1.31011	47678__R5U325__HMPREF1061_03209
ERR1913141.31031__1.31031	239935__A0A2N8IHY1__CXU06_00035
ERR1913141.31058__1.31058	820__A0A139K5A6__DXB48_12175
ERR1913141.31482__1.31482	239935__A0A2N8IKW7__pstA
ERR1913141.31544__1.31544	40518__R5DME2__DXD86_07315
ERR1913141.31636__1.31636	1262911__R6H212__BN557_01031
ERR1913141.31762__1.31762	1262882__R5MGI7__BN519_00643
ERR1913141.31786__1.31786	301302__A0A0M6WBZ5__spr
ERR1913141.31787__1.31787	1263000__R5EXT3__BN466_02213
ERR1913141.31914__1.31914	820__A0A3E4G493__ERS417307_00253
ERR1913141.31955__1.31955	1432052__A0A1E3AY78__BEI62_20790
ERR1913141.32200__1.32200	239935__A0A2N8HH03__CXU09_08875
ERR1913141.32456__1.32456	46503__K6A7H7__DCY29_03460
ERR1913141.32572__1.32572	1262882__R5MJZ7__BN519_01272
ERR1913141.32672__1.32672	338188__R6S978__HMPREF1057_03708
ERR1913141.32685__1.32685	820__A0A139K5E7__DXC68_09550
ERR1913141.32830__1.32830	147206__GCF_000156215.1_01775
ERR1913141.32892__1.32892	818__A0A3E5HHE1__Btheta7330_00796
ERR1913141.32971__1.32971	1550024__G9RVU1__TQ39_06560
ERR1913141.33048__1.33048	1501391__GCA_000786575.1_00069
ERR1913141.33054__1.33054	239935__R7E524__CXT91_06180
ERR1913141.33163__1.33163	239935__A0A2N8I6R6__CXU04_04335
ERR1913141.33185__1.33185	239935__A0A2N8IYM5__CXT84_05130
ERR1913141.33372__1.33372	357276__A0A076IS26__EL88_15950
ERR1913141.33459__1.33459	1501391__GCA_000786575.1_00055
ERR1913141.33599__1.33599	40518__R5DX93__DXD93_03055
ERR1913141.33627__1.33627	239935__A0A139TM51__CXT91_12120
ERR1913141.33782__1.33782	1262882__R5ML49__BN519_01361
ERR1913141.34524__1.34524	1501391__GCA_000786575.1_00057
ERR1913141.34569__1.34569	239935__A0A139TPD4__CXT86_06450
ERR1913141.34644__1.34644	1550024__G9RQ35__ASJ35_06570
ERR1913141.34680__1.34680	671266__GCA_004801615.1_02259
ERR1913141.34894__1.34894	328814__GCA_004558275.1_00036
ERR1913141.34858__1.34858	820__A7V470__HMPREF1072_02076
ERR1913141.35169__1.35169	818__R6VB25__BSIG_5053
ERR1913141.35250__1.35250	239935__A0A2N8IKW7__pstA
ERR1913141.35263__1.35263	820__A0A3E4G3J9__ERS852459_02265
ERR1913141.35270__1.35270	1897011__A0A1Q6REW8__BHW41_04435
ERR1913141.35321__1.35321	39492__D4JUD7__EUBSIR_01877
ERR1913141.35399__1.35399	40518__R5DT16__ysdC_2
ERR1913141.35645__1.35645	239935__A0A2N8ITG2__Amuc_0335
ERR1913141.35773__1.35773	1262882__R5MND9__BN519_00831
ERR1913141.35859__1.35859	820__A0A3E4G8F8__ERS852421_01645
ERR1913141.35812__1.35812	820__A0A174Q0F0__DXB48_08080
ERR1913141.35815__1.35815	239935__A0A139TT05__CXU09_03335
ERR1913141.35931__1.35931	1681__A0A133KR12__SAMN05216254_0148
ERR1913141.36097__1.36097	820__A0A139KJR5__M093_4469
ERR1913141.36228__1.36228	239935__A0A2N8I3Z7__CXU05_10555
ERR1913141.36152__1.36152	239935__A0A139TTZ7__CXU14_07900
ERR1913141.36259__1.36259	1262882__R5MIW5__BN519_00945
ERR1913141.36348__1.36348	821__A0A395VIK7__BVU_1225
ERR1913141.36491__1.36491	1263000__R5EGP9__BN466_01419
ERR1913141.36431__1.36431	239935__R6J4Y4__CXU17_09810
ERR1913141.36434__1.36434	820__A0A3E4VXP2__yesR
ERR1913141.36951__1.36951	40518__R5DQW8__sipW_2
ERR1913141.37117__1.37117	820__A0A174F0C1__nreB
ERR1913141.37261__1.37261	40518__R5DUG7__sbcC
ERR1913141.37323__1.37323	39492__D4JRZ7__smc
ERR1913141.37368__1.37368	1501391__GCA_000786575.1_00141
ERR1913141.37448__1.37448	1263000__R5EHB0__BN466_01647
ERR1913141.37490__1.37490	239935__A0A139TM51__CXT91_12120
ERR1913141.37655__1.37655	239935__A0A2N8IMC3__CXT96_03840
ERR1913141.37786__1.37786	239935__A0A3F3KBB8__CXU16_06755
ERR1913141.37897__1.37897	1262882__R5N3H1__BN519_01121
ERR1913141.38226__1.38226	1262882__R5MLP0__BN519_01597
ERR1913141.38231__1.38231	820__A0A139JUD3__DXC91_19380
ERR1913141.38196__1.38196	1501391__GCA_000786575.1_00056
ERR1913141.38518__1.38518	239935__A0A2N8J1K0__CXT97_05765
ERR1913141.38711__1.38711	239935__A0A2N8HDT1__CXT94_05270
ERR1913141.38828__1.38828	39492__D4MJF6__EUBSIR_02251
ERR1913141.38757__1.38757	40518__R5DR72__RBL236_02110
ERR1913141.38861__1.38861	820__A0A174VD39__DXD90_12235
ERR1913141.39048__1.39048	214856__R6XNE7__ERS852447_02267
ERR1913141.39174__1.39174	1520815__A0A1I3M701__SAMN02910435_01018
ERR1913141.39141__1.39141	446660__GCA_003428235.1_01417
ERR1913141.39257__1.39257	46506__A0A108TBL0__BACSTE_01998
ERR1913141.39371__1.39371	39492__D4JW10__pppA
ERR1913141.39449__1.39449	357276__B6VVS0__HMPREF1064_03951
ERR1913141.39792__1.39792	1262882__R5MM90__BN519_01721
ERR1913141.40018__1.40018	1981510__A0A2K9P4E1__B9O19_01989
ERR1913141.40174__1.40174	46506__A0A108TAK3__fepA_3
ERR1913141.40179__1.40179	1501391__GCA_000786575.1_00092
ERR1913141.40381__1.40381	820__I9TWZ7__DXC80_10550
ERR1913141.40492__1.40492	239935__A0A2N8I9P4__CXT85_05050
ERR1913141.40560__1.40560	239935__A0A2N8IMD6__CXU03_05585
ERR1913141.40597__1.40597	165179__D1PAN5__PREVCOP_04260
ERR1913141.40654__1.40654	1501391__GCA_000786575.1_00132
ERR1913141.40904__1.40904	328814__GCA_004558275.1_00018
ERR1913141.40955__1.40955	1262882__R5MGX3__BN519_00046
ERR1913141.41015__1.41015	820__A0A173W419__DXC68_17760
ERR1913141.41232__1.41232	46503__R6XDP9__ERS852463_01752
ERR1913141.41497__1.41497	1262882__R5MYS0__BN519_00284
ERR1913141.41648__1.41648	239935__A0A2N8HHB6__B5G29_11500
ERR1913141.41662__1.41662	357276__I9RAC4__BSEG_00561
ERR1913141.41883__1.41883	338188__C9L0Q4__BACFIN_08177
ERR1913141.41897__1.41897	1501391__GCA_000786575.1_00132
ERR1913141.41904__1.41904	357276__I9R994__BACDOR_04044
ERR1913141.42154__1.42154	1501391__GCA_000786575.1_00120
ERR1913141.42348__1.42348	1550024__G9RTE9__ASJ35_09555
ERR1913141.42642__1.42642	1550024__A0A3B9WI73__ASJ35_03410
ERR1913141.42598__1.42598	1262882__R5MFA5__BN519_00331
ERR1913141.42645__1.42645	239935__A0A2N8HPS5__Amuc_0950
ERR1913141.42830__1.42830	818__D7I7V5__BJP75_001030
ERR1913141.42855__1.42855	239935__A0A2N8IF99__lpdA
ERR1913141.42904__1.42904	818__C6ILT7__BSIG_2708
ERR1913141.42998__1.42998	35833__E5YA05__HMPREF0179_03023
ERR1913141.43000__1.43000	820__A7VAR9__ERS852421_00197
ERR1913141.43099__1.43099	239935__A0A3F3K9J9__DEF40_00940
ERR1913141.43253__1.43253	28118__A0A1Y3Y204__NCTC10826_02015
ERR1913141.43254__1.43254	239935__R6JCH3__CXT95_08205
ERR1913141.43211__1.43211	338188__A0A1Q6HA80__ERS852397_00522
ERR1913141.43224__1.43224	47678__R5V1A3__BACCAC_02796
ERR1913141.43304__1.43304	820__R9HP61__DXC91_01090
ERR1913141.43359__1.43359	1262992__R5D0E5__BN795_01570
ERR1913141.43449__1.43449	239935__A0A2N8IRW0__A4V05_11620
ERR1913141.43500__1.43500	39491__C4ZAT2__ERE_28440
ERR1913141.43736__1.43736	820__R9HP61__DXC91_01090
ERR1913141.43782__1.43782	47678__A5ZG68__ERS852494_02968
ERR1913141.43914__1.43914	357276__A0A174L570__GV66_05720
ERR1913141.44004__1.44004	47678__R5UT83__DW706_09750
ERR1913141.44242__1.44242	239935__A0A2N8HHB6__B5G29_11500
ERR1913141.44246__1.44246	1897011__A0A1Q6RFB9__BHW41_03520
ERR1913141.44268__1.44268	47678__R5U3A7__ERS852494_02965
ERR1913141.44288__1.44288	820__A0A3E4PYB0__yejM
ERR1913141.44352__1.44352	40518__R5E1J7__RBL236_02062
ERR1913141.44774__1.44774	239935__A0A2N8HH03__CXU09_08875
ERR1913141.44855__1.44855	853__A0A2A7B1Y7__C7K05_11930
ERR1913141.45090__1.45090	820__A0A174A6K0__M093_0079
