ERR1913223.13__1.13	28111__E5WZR2__HMPREF1016_02168
ERR1913223.5386__1.5386	1262913__R7JGK9__BN646_01865
ERR1913223.5405__1.5405	45851__D4S283__BUTYVIB_02205
ERR1913223.5721__1.5721	45851__D4S200__BHV86_07815
ERR1913223.5677__1.5677	45851__D4RWC1__BHV86_06985
ERR1913223.5738__1.5738	1262760__R5LS15__BN758_01474
ERR1913223.5753__1.5753	1735__B7CBN6__EUBIFOR_01611
ERR1913223.5824__1.5824	45851__D4RYQ0__BUTYVIB_00958
ERR1913223.6105__1.6105	165179__D1PFV4__PREVCOP_06112
ERR1913223.6263__1.6263	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913223.6314__1.6314	33043__D5HGR0__rpfC_2
ERR1913223.6349__1.6349	39485__A0A174YMM2__ERS852490_01019
ERR1913223.6420__1.6420	45851__D4S366__BUTYVIB_02552
ERR1913223.6446__1.6446	165179__D1PHV2__PREVCOP_06822
ERR1913223.6567__1.6567	853__A0A173XRA8__CGS56_09290
ERR1913223.6771__1.6771	1262930__R6A6G2__BN693_00683
ERR1913223.6927__1.6927	1262882__R5MQ68__BN519_01178
ERR1913223.7023__1.7023	165179__D1PEW8__DXB80_13775
ERR1913223.7212__1.7212	1262992__R5CXM8__BN795_01024
ERR1913223.7367__1.7367	572010__group_1842
ERR1913223.7416__1.7416	45851__R5LYT8__BUTYVIB_02538
ERR1913223.7483__1.7483	901__B6WTS6__DESPIG_01483
ERR1913223.7805__1.7805	1150298__A0A174R4D7__tmpC_2
ERR1913223.7924__1.7924	39485__R5ZSH7__EUBELI_00953
ERR1913223.7976__1.7976	45851__D4S366__BUTYVIB_02552
ERR1913223.8172__1.8172	821__A0A174AYT0__DXC02_03530
ERR1913223.8401__1.8401	45851__D4RYB8__BHV86_01965
ERR1913223.8453__1.8453	39485__A0A174YW66__ERS852490_03040
ERR1913223.8620__1.8620	165179__A0A174IPI3__CFT61_10940
ERR1913223.8865__1.8865	2173__A0A1D2WU54__METSMIALI_00342
ERR1913223.9007__1.9007	821__E5UPR6__SAMN04487923_101768
ERR1913223.9099__1.9099	1262760__R5L619__BN758_00730
ERR1913223.9250__1.9250	1262760__R5L7M6__BN758_01020
ERR1913223.9502__1.9502	40519__U2KT09__RUMCAL_01667
ERR1913223.9713__1.9713	165179__A0A174UTZ7__DXC61_06705
ERR1913223.9726__1.9726	39485__A0A174Z9M2__yhbU_1
ERR1913223.9902__1.9902	357276__I9QBT7__BSEG_03340
ERR1913223.10104__1.10104	2173__A0A1D2WUQ6__METSMIF1_02304
ERR1913223.10340__1.10340	1262886__R6RFG9__BN563_01276
ERR1913223.10363__1.10363	418240__A0A173WVP8__acm
ERR1913223.10696__1.10696	1262945__R6YWN0__BN600_01989
ERR1913223.10706__1.10706	33043__D5HH51__ERS852386_00147
ERR1913223.10769__1.10769	39485__C4Z467__ERS852490_01684
ERR1913223.10847__1.10847	33043__A0A174BZH6__ERS852400_01477
ERR1913223.10909__1.10909	46228__V8C9Q0__srtB
ERR1913223.10910__1.10910	853__A0A174C5M1__CGS58_04460
ERR1913223.11010__1.11010	100886__A0A174IUT3__CATMIT_01308
ERR1913223.11148__1.11148	1262882__R5N2A9__BN519_00921
ERR1913223.11432__1.11432	853__C7H7F5__DWZ46_01780
ERR1913223.11533__1.11533	45851__D4S069__spoIVA
ERR1913223.11576__1.11576	45851__D4S080__BHV86_10275
ERR1913223.11662__1.11662	39491__A0A395V1T9__DXD13_03310
ERR1913223.11774__1.11774	45851__D4RZ84__BUTYVIB_01149
ERR1913223.12297__1.12297	165179__A0A3E5AI09__DXC61_05815
ERR1913223.12300__1.12300	45851__D4S069__spoIVA
ERR1913223.12348__1.12348	1262825__R5E9N9__BN724_00335
ERR1913223.12542__1.12542	45851__D4RZF4__BUTYVIB_01220
ERR1913223.12566__1.12566	45851__D4RXM8__BHV86_03015
ERR1913223.13313__1.13313	357276__B6W5Q9__HMPREF1063_03125
ERR1913223.13580__1.13580	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913223.13793__1.13793	45851__R5LHP6__BUTYVIB_00994
ERR1913223.13825__1.13825	1263107__GCA_000436995.1_00132
ERR1913223.13851__1.13851	33039__A0A174Z8F8__ERS852530_05419
ERR1913223.13930__1.13930	45851__D4RZ84__BUTYVIB_01149
ERR1913223.14107__1.14107	39485__C4Z028__ERS852492_00100
ERR1913223.14215__1.14215	33043__A0A174AEP1__apr
ERR1913223.14269__1.14269	45851__D4S0D7__BUTYVIB_01556
ERR1913223.14420__1.14420	1262882__R5N526__BN519_01603
ERR1913223.14692__1.14692	165179__A0A174W369__PREVCOP_04548
ERR1913223.14797__1.14797	165179__D1P9T6__PREVCOP_04016
ERR1913223.14861__1.14861	165179__A0A3E4SID1__DXB80_01945
ERR1913223.14893__1.14893	821__A0A396F9T7__M097_3427
ERR1913223.14846__1.14846	1262825__R5EHM5__BN724_01843
ERR1913223.14851__1.14851	1262958__R7GWR4__BN645_01313
ERR1913223.14916__1.14916	1262945__R6Z2E6__BN600_01343
ERR1913223.14972__1.14972	39492__D4JWB3__EUBSIR_00040
ERR1913223.15050__1.15050	1897011__A0A1Q6REW8__BHW41_04435
ERR1913223.15436__1.15436	2173__A0A1D2WU48__Msm_1454
ERR1913223.15540__1.15540	310298__B3JH76__BACCOP_01230
ERR1913223.15568__1.15568	165179__A0A174NK27__PREVCOP_06433
ERR1913223.15569__1.15569	1262761__R6QUA1__BN606_00618
ERR1913223.15792__1.15792	853__A0A173TAZ8__DWZ46_14590
ERR1913223.15873__1.15873	39485__C4Z390__EUBELI_01689
ERR1913223.15909__1.15909	165179__D1PHV2__PREVCOP_06822
ERR1913223.16168__1.16168	100886__E2NNQ5__CATMIT_00187
ERR1913223.16242__1.16242	1262760__R5LA23__BN758_00598
ERR1913223.16195__1.16195	33039__D4M340__sleB_2
ERR1913223.16226__1.16226	884684__GCA_002892425.1_01408
ERR1913223.16346__1.16346	39485__A0A174Z4K7__dosC_2
ERR1913223.16322__1.16322	33039__A0A173RPT9__ERS852502_02389
ERR1913223.16668__1.16668	39485__C4Z1S0__ERS852492_00886
ERR1913223.16901__1.16901	45851__D4S1R7__BUTYVIB_02039
ERR1913223.17040__1.17040	45851__D4RWC1__BHV86_06985
ERR1913223.17052__1.17052	1262816__R6CDS9__BN687_01538
ERR1913223.17177__1.17177	1262760__R5L7U3__BN758_01171
ERR1913223.17454__1.17454	33039__D4LZZ3__psf-1
ERR1913223.17486__1.17486	1262882__R5N1N6__BN519_00968
ERR1913223.17604__1.17604	39485__A0A174YS20__EUBELI_20202
ERR1913223.17715__1.17715	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913223.17723__1.17723	1262761__R6R840__BN606_01433
ERR1913223.17832__1.17832	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913223.18015__1.18015	853__A0A2A7B9I6__DW855_13690
ERR1913223.18161__1.18161	45851__R5LRP4__BUTYVIB_00447
ERR1913223.18221__1.18221	1262761__R6QYZ5__BN606_00402
ERR1913223.18248__1.18248	45851__D4RWN6__BUTYVIB_00072
ERR1913223.18542__1.18542	1262886__R6Q6Q1__BN563_00546
ERR1913223.18711__1.18711	165179__R6XIF8__DXC61_07265
ERR1913223.18758__1.18758	45851__D4S0T7__BHV86_09275
ERR1913223.18749__1.18749	1628085__A0A1C5ZVV6__C7386_11323
ERR1913223.18817__1.18817	853__A0A174C5M1__CGS58_04460
ERR1913223.18854__1.18854	1262911__R6GPB5__BN557_00842
ERR1913223.18986__1.18986	853__A8S882__C4N23_07600
ERR1913223.19326__1.19326	821__A0A174WBC9__ERS852556_03145
ERR1913223.19528__1.19528	1262911__R6GPB5__BN557_00842
ERR1913223.19843__1.19843	328814__GCA_004558275.1_00992
ERR1913223.19976__1.19976	1262924__R7HRJ9__BN585_00557
ERR1913223.20069__1.20069	39491__A0A173TM76__DXB72_10535
ERR1913223.20152__1.20152	1262825__R5ECH5__BN724_02253
ERR1913223.20153__1.20153	301302__R5UH47__M72_02301
ERR1913223.20419__1.20419	1897011__A0A1Q6RHB1__BHW41_01830
ERR1913223.20515__1.20515	1262760__R5LCK1__BN758_01101
ERR1913223.20891__1.20891	1897011__A0A1Q6RE67__BHW41_04635
ERR1913223.21262__1.21262	1284775__A0A095Y4Z7__HMPREF1640_07200
ERR1913223.21387__1.21387	45851__D4RZ17__BUTYVIB_01081
ERR1913223.21467__1.21467	1262825__R5E9W7__BN724_00536
ERR1913223.21510__1.21510	1262825__R5ED22__BN724_01434
ERR1913223.21612__1.21612	165179__R6C5D6__PREVCOP_04658
ERR1913223.21913__1.21913	39485__A0A174ZQT9__EUBELI_20278
ERR1913223.21949__1.21949	1262825__R5EE92__BN724_00743
ERR1913223.21963__1.21963	165179__D1PGU8__PREVCOP_06463
ERR1913223.22261__1.22261	39485__A0A174YWE7__EUBELI_00979
ERR1913223.22278__1.22278	39485__C4Z028__ERS852492_00100
ERR1913223.22315__1.22315	45851__D4RXC9__BUTYVIB_00480
ERR1913223.22612__1.22612	165179__D1PCT4__DXB80_09470
ERR1913223.22860__1.22860	1262961__R6DV64__BN710_01224
ERR1913223.22884__1.22884	384639__GCA_003096855.1_00972
ERR1913223.22995__1.22995	165179__D1P8V8__DXC61_01940
ERR1913223.23110__1.23110	39485__C4Z6V7__walK
ERR1913223.23186__1.23186	39485__A0A174ZBK4__ERS852490_01585
ERR1913223.23315__1.23315	1262825__R5ELY8__BN724_02320
ERR1913223.23340__1.23340	165179__A0A174SR12__DXB80_04410
ERR1913223.23404__1.23404	45851__D4RWR5__BHV86_06295
ERR1913223.23518__1.23518	165179__D1PDJ4__DXB80_08505
ERR1913223.23479__1.23479	165179__D1PCT4__DXB80_09470
ERR1913223.23494__1.23494	853__A0A3E2U7E6__ERS852582_01640
ERR1913223.23563__1.23563	165179__A0A229I443__DXB80_10950
ERR1913223.23575__1.23575	46503__A7AH78__DD461_04085
ERR1913223.23674__1.23674	165179__A0A3E5A5E5__DXC61_13965
ERR1913223.23737__1.23737	1262760__R5LYQ1__BN758_00266
ERR1913223.23794__1.23794	45851__D4RYG8__BUTYVIB_00874
ERR1913223.23854__1.23854	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913223.23813__1.23813	39491__A0A395UYA6__EUBREC_0408
ERR1913223.23894__1.23894	100886__R7GJP9__amiC
ERR1913223.24021__1.24021	2022527__A0A264Y8H4__CHL74_05375
ERR1913223.24347__1.24347	1262886__R6RDI4__BN563_00643
ERR1913223.24489__1.24489	1965604__A0A1Y4F7S6__B5F54_02770
ERR1913223.24506__1.24506	1262886__R6QCG3__BN563_00145
ERR1913223.24515__1.24515	39485__A0A174YSU1__ERS852492_00576
ERR1913223.24867__1.24867	165179__D1PEW8__DXB80_13775
ERR1913223.24878__1.24878	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913223.25269__1.25269	39485__A0A174YMC1__recN
ERR1913223.25534__1.25534	165179__A0A174IYW3__DXC61_01235
ERR1913223.25546__1.25546	1262761__R6QSF1__BN606_01341
ERR1913223.25965__1.25965	45851__R5LRP4__BUTYVIB_00447
ERR1913223.26011__1.26011	39492__B0MPL6__EUBSIR_01779
ERR1913223.26062__1.26062	1263006__R6LUX0__BN515_01610
ERR1913223.26255__1.26255	39485__A0A175A403__EUBELI_20577
ERR1913223.26283__1.26283	2022527__A0A264YB65__CHL74_00110
ERR1913223.26711__1.26711	165179__A0A3E5EDS1__DXC61_03115
ERR1913223.26732__1.26732	45851__D4RW69__BUTYVIB_00200
ERR1913223.26896__1.26896	853__A0A173XRA8__CGS56_09290
ERR1913223.27294__1.27294	1680__A0A0B5BL52__ERS852382_00480
ERR1913223.27393__1.27393	165179__R6XIF8__DXC61_07265
ERR1913223.27348__1.27348	1262536__GeneID:16385454
ERR1913223.27353__1.27353	1262988__R7N4U5__BN816_00495
ERR1913223.27358__1.27358	39485__C4Z2I5__ERS852492_02214
ERR1913223.27374__1.27374	45851__D4S1R7__BUTYVIB_02039
ERR1913223.27440__1.27440	40519__U2KW56__RUMCAL_01316
ERR1913223.27682__1.27682	45851__D4S283__BUTYVIB_02205
ERR1913223.27694__1.27694	1262760__R5LXH5__BN758_02208
ERR1913223.27930__1.27930	39488__A0A174CJ01__DXD91_03830
ERR1913223.28093__1.28093	905__D2RK10__SAMN02910455_00010
ERR1913223.28414__1.28414	39491__A0A174M1X5__DXB99_18695
ERR1913223.28708__1.28708	45851__D4RWC6__BHV86_07010
ERR1913223.28816__1.28816	1262886__R6QAM6__BN563_01696
ERR1913223.28818__1.28818	1262882__R5MIY9__BN519_01097
ERR1913223.28803__1.28803	45851__D4RZF5__BUTYVIB_01221
ERR1913223.29019__1.29019	39485__A0A174YWE7__EUBELI_00979
ERR1913223.29046__1.29046	45851__D4RY08__BUTYVIB_00711
ERR1913223.29285__1.29285	45851__D4RZD5__BUTYVIB_01201
ERR1913223.29326__1.29326	39488__A0A374NTX6__DXD91_03400
ERR1913223.29509__1.29509	1680__A0A3E4SB79__BAD_1517
ERR1913223.30672__1.30672	853__E2ZJT1__C4N23_03535
ERR1913223.30731__1.30731	626929__F3PM80__HMPREF9445_02977
ERR1913223.30815__1.30815	165179__A0A3E5E920__DXB80_11625
ERR1913223.30832__1.30832	45851__R5LVD9__BHV86_05140
ERR1913223.31091__1.31091	820__A0A174KKV6__DXC07_02635
ERR1913223.31166__1.31166	39491__A0A396FMT0__EUBREC_3020
ERR1913223.31219__1.31219	1262825__R5DYW1__BN724_00868
ERR1913223.31394__1.31394	1262825__R5E5W0__BN724_01760
ERR1913223.31496__1.31496	45851__D4RY62__BHV86_05035
ERR1913223.31573__1.31573	371601__D7J0R3__SAMN04487924_11751
ERR1913223.31821__1.31821	1150298__A0A174QZ74__ERS852406_01102
ERR1913223.31918__1.31918	1262882__R5N3T7__BN519_01188
ERR1913223.31961__1.31961	33039__D4M6R8__bglB_8
ERR1913223.32195__1.32195	649756__B0NXP9__ERS852520_02793
ERR1913223.32188__1.32188	39485__C4Z6V1__ERS852492_02640
ERR1913223.32253__1.32253	39488__A0A374N3K6__EHLA_0222
ERR1913223.32345__1.32345	165179__A0A174SA26__PREVCOP_05758
ERR1913223.32440__1.32440	45851__D4RZF5__BUTYVIB_01221
ERR1913223.32442__1.32442	39485__A0A1Q6PGI7__pehX_3
ERR1913223.32474__1.32474	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913223.32694__1.32694	1262761__R6RU22__BN606_01110
ERR1913223.33120__1.33120	1262882__R5MRT2__BN519_01494
ERR1913223.33153__1.33153	28118__R6F051__NCTC10826_00301
ERR1913223.33469__1.33469	1262992__R5D1K9__BN795_01025
ERR1913223.33261__1.33261	1262911__R6GPC5__BN557_00852
ERR1913223.33523__1.33523	39485__A0A174Z551__glnL
ERR1913223.33535__1.33535	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913223.33549__1.33549	39485__A0A1Q6PG30__ERS852492_00010
ERR1913223.34005__1.34005	39485__A0A1Q6PHD7__ERS852492_01801
ERR1913223.34396__1.34396	39485__A0A174ZNW9__luxQ_1
ERR1913223.34438__1.34438	33039__D4M379__selB
ERR1913223.34679__1.34679	712121__L1PFE4__HMPREF9061_01327
ERR1913223.34691__1.34691	2173__R7PV46__BK798_00245
ERR1913223.34820__1.34820	33043__A0A173ZZF8__sbp_2
ERR1913223.34929__1.34929	1262760__R5LSJ2__BN758_01510
ERR1913223.35023__1.35023	1897011__A0A1Q6RE92__BHW41_04980
ERR1913223.35003__1.35003	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913223.35094__1.35094	1262760__R5LYI8__BN758_00227
ERR1913223.35161__1.35161	45851__D4S141__BHV86_05760
ERR1913223.35211__1.35211	165179__D1PER3__DXB80_11525
ERR1913223.35555__1.35555	165179__A0A3E4SID1__DXB80_01945
ERR1913223.35565__1.35565	39491__A0A395ZHW9__DXC13_02590
ERR1913223.35660__1.35660	45851__D4S1E0__BUTYVIB_01910
ERR1913223.35767__1.35767	45851__D4S1R9__BHV86_08150
ERR1913223.35976__1.35976	39485__C4Z6V1__ERS852492_02640
ERR1913223.36241__1.36241	45851__D4S1P1__BHV86_08290
ERR1913223.36446__1.36446	39485__A0A174Z851__cdaR_1
ERR1913223.36721__1.36721	45851__D4RYU0__BHV86_05340
ERR1913223.36698__1.36698	39485__C4Z0G6__spoIVB
ERR1913223.36948__1.36948	39492__A0A174ZHV5__msbA_2
ERR1913223.37037__1.37037	39485__A0A174YNW2__cph2_3
ERR1913223.37115__1.37115	1262803__R6NVS3__BN649_00019
ERR1913223.37146__1.37146	1262886__R6RDI4__BN563_00643
ERR1913223.37269__1.37269	39485__A0A174YSS6__trxB_2
ERR1913223.37359__1.37359	39485__C4Z355__ERS852490_01971
ERR1913223.37415__1.37415	1680__A0A076JNH5__DXC60_03835
ERR1913223.37772__1.37772	1262825__R5EHM5__BN724_01843
ERR1913223.38139__1.38139	821__A0A173XDD3__DXB82_17180
ERR1913223.38151__1.38151	39485__A0A174Z9M2__yhbU_1
ERR1913223.38348__1.38348	165179__A0A3E5EBQ2__DXC61_01930
ERR1913223.38464__1.38464	165179__R6C3K4__PREVCOP_05795
ERR1913223.38617__1.38617	45851__D4RZC5__BUTYVIB_01191
ERR1913223.38818__1.38818	1262760__R5LTZ6__BN758_01715
ERR1913223.38877__1.38877	853__A0A2A6Z8X1__FPR_03410
ERR1913223.38922__1.38922	1547597__A0A0C3N9Y2__IE90_06270
ERR1913223.38932__1.38932	61171__B9Y5T8__HOLDEFILI_01170
ERR1913223.39468__1.39468	45851__D4RWC5__BHV86_07005
ERR1913223.39482__1.39482	1262882__R5ML49__BN519_01361
ERR1913223.39506__1.39506	45851__D4RXN5__BUTYVIB_00586
ERR1913223.39571__1.39571	39488__C0F0P8__EUBHAL_03272
ERR1913223.39583__1.39583	39485__A0A174YSU1__ERS852492_00576
ERR1913223.39806__1.39806	45851__D4S247__BUTYVIB_02169
ERR1913223.40866__1.40866	1262882__R5N089__BN519_00546
ERR1913223.40960__1.40960	33043__A8SWL7__ERS852386_02506
ERR1913223.41086__1.41086	2173__A0A1D2WVA1__Msm_0411
ERR1913223.41409__1.41409	820__A0A174VD39__DXD90_12235
ERR1913223.41503__1.41503	165179__R6CJG8__DXC61_09290
ERR1913223.41666__1.41666	384638__B7APR1__BACPEC_00667
ERR1913223.41757__1.41757	1262825__R5E9U6__BN724_00394
ERR1913223.41761__1.41761	1262924__R7HND0__BN585_00157
ERR1913223.41847__1.41847	1263107__GCA_000436995.1_00223
ERR1913223.42343__1.42343	39485__A0A174Z2K9__ERS852490_02052
ERR1913223.42348__1.42348	39485__A0A1Q6PGI7__pehX_3
ERR1913223.42358__1.42358	45851__D4RWC6__BHV86_07010
ERR1913223.42417__1.42417	28025__A0A315RYG2__BASA_0183
ERR1913223.42736__1.42736	544645__A0A3E4SUL6__DXC42_18480
ERR1913223.43286__1.43286	1262825__R5E7C9__BN724_01626
ERR1913223.43418__1.43418	45851__D4RYQ0__BUTYVIB_00958
ERR1913223.43423__1.43423	45851__D4S0F7__BUTYVIB_01576
ERR1913223.43567__1.43567	45851__D4RZ27__BHV86_03325
ERR1913223.43577__1.43577	33043__A0A174EE68__rimP
ERR1913223.43578__1.43578	1262777__R5W3H1__BN512_01087
ERR1913223.43666__1.43666	1262760__R5LN70__BN758_00719
ERR1913223.43714__1.43714	39485__A0A174YWE7__EUBELI_00979
ERR1913223.43753__1.43753	1150298__A0A174TF64__ERS852406_00108
ERR1913223.43756__1.43756	1262816__R6C2E4__BN687_01567
ERR1913223.44066__1.44066	39485__A0A174Z9M2__yhbU_1
ERR1913223.44111__1.44111	100886__A0A174MQV9__ERS852383_06058
ERR1913223.44552__1.44552	39485__A0A174ZKZ4__spoIIQ_1
ERR1913223.44620__1.44620	572010__rpoB
ERR1913223.44740__1.44740	418240__A0A173Y0F1__ERS852478_01157
ERR1913223.45032__1.45032	1262882__R5MKV8__BN519_01281
ERR1913223.45283__1.45283	45851__D4RZ40__BHV86_03390
ERR1913223.45408__1.45408	2173__A0A1D2WT83__METSMIF1_03309
ERR1913223.45692__1.45692	1262882__R5N3H1__BN519_01121
ERR1913223.45720__1.45720	100886__E2NRR0__CATMIT_01266
ERR1913223.45852__1.45852	1262882__R5N2E1__BN519_01117
ERR1913223.45812__1.45812	45851__D4S200__BHV86_07815
ERR1913223.45863__1.45863	45851__D4S0C7__BHV86_10030
ERR1913223.46081__1.46081	45851__D4S2U9__BHV86_05685
ERR1913223.46137__1.46137	1262825__R5E849__BN724_01960
ERR1913223.46220__1.46220	33043__D5HIU3__ERS852386_01914
ERR1913223.46619__1.46619	39491__A0A174LTW7__DXD13_08720
ERR1913223.46672__1.46672	165179__D1PHC0__PREVCOP_06640
ERR1913223.46893__1.46893	2033405__A0A2L2WP67__PvtlMGM1_1949
ERR1913223.47006__1.47006	165179__D1P9T6__PREVCOP_04016
ERR1913223.47035__1.47035	853__E2ZJT1__C4N23_03535
ERR1913223.47214__1.47214	1262929__R6F141__BN691_00686
ERR1913223.47588__1.47588	821__R6F3Y1__SAMN04487923_104318
ERR1913223.47934__1.47934	45851__D4RY78__BUTYVIB_00783
ERR1913223.48170__1.48170	1897011__A0A1Q6RE52__BHW41_04690
ERR1913223.48244__1.48244	45851__D4S1J6__BHV86_08535
ERR1913223.48370__1.48370	39485__C4Z389__ERS852490_01920
ERR1913223.48591__1.48591	45851__D4S141__BHV86_05760
ERR1913223.48608__1.48608	1042156__F7V3A8__HipB
ERR1913223.48891__1.48891	165179__A0A3E5EBY9__CFT61_01220
ERR1913223.49021__1.49021	363265__G6AVR7__HMPREF0673_00706
ERR1913223.49122__1.49122	1262760__R5L619__BN758_00730
ERR1913223.49198__1.49198	39485__C4Z028__ERS852492_00100
ERR1913223.49319__1.49319	1262961__R6DWK7__BN710_00104
ERR1913223.49372__1.49372	39488__A0A174IFL3__DXD91_00270
ERR1913223.49552__1.49552	1262988__R7N6Z9__BN816_02572
ERR1913223.49598__1.49598	165179__A0A174SR12__DXB80_04410
ERR1913223.49763__1.49763	39491__A0A395ZHW9__DXC13_02590
ERR1913223.49866__1.49866	45851__R5LJL1__BHV86_09305
ERR1913223.49898__1.49898	1262945__R6YM76__BN600_01248
ERR1913223.49900__1.49900	1262825__R5E6F3__BN724_01497
ERR1913223.50036__1.50036	165179__A0A3E5E189__PREVCOP_06699
ERR1913223.50332__1.50332	1262760__R5LQT5__BN758_01258
ERR1913223.50499__1.50499	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913223.50663__1.50663	2173__R7PYR7__BK798_01375
ERR1913223.51161__1.51161	1262954__R7FFL0__BN611_01717
ERR1913223.51225__1.51225	1263006__R6LU28__BN515_01365
ERR1913223.51294__1.51294	28118__F9Z8E3__SAMEA44545918_03282
ERR1913223.51601__1.51601	1378168__V2YA11__N510_02528
ERR1913223.51682__1.51682	39485__A0A1Q6PH92__cbbX
ERR1913223.51690__1.51690	45851__D4S1R9__BHV86_08150
ERR1913223.51735__1.51735	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913223.51810__1.51810	1150298__R7JL35__ERS852498_02809
ERR1913223.51930__1.51930	820__A7V092__hldE
ERR1913223.51934__1.51934	1262760__R5LSJ2__BN758_01510
ERR1913223.51968__1.51968	45851__D4RYQ9__BUTYVIB_00967
ERR1913223.51984__1.51984	1262825__R5DZJ8__BN724_01044
ERR1913223.52141__1.52141	1262761__R6QHZ3__BN606_00478
ERR1913223.52187__1.52187	1262882__R5MT42__BN519_01729
ERR1913223.52207__1.52207	39491__A0A395ZDC6__addB
ERR1913223.52543__1.52543	1262825__R5EKK9__BN724_00408
ERR1913223.52729__1.52729	853__A0A173RZ39__C4N22_01650
ERR1913223.52954__1.52954	39485__C4Z6Z5__EUBELI_20593
ERR1913223.53692__1.53692	39485__R5ZHA7__ERS852490_00039
ERR1913223.53833__1.53833	39491__A0A395UWA3__DXB69_11805
ERR1913223.54063__1.54063	2173__A0A1D2WTP5__BK798_02785
ERR1913223.54093__1.54093	165179__D1P9T6__PREVCOP_04016
ERR1913223.54276__1.54276	1263006__R6LU28__BN515_01365
ERR1913223.54543__1.54543	1262760__R5LAU9__BN758_00738
ERR1913223.54584__1.54584	1262988__R7N1R3__BN816_02101
ERR1913223.54625__1.54625	821__A0A0P0M2J4__DXD46_10295
