ERR1913299.35__1.35	28052__A0A174HF53__ERS852499_00436
ERR1913299.4166__1.4166	39491__A0A395ZG74__licR
ERR1913299.4207__1.4207	39492__D4JW10__pppA
ERR1913299.4256__1.4256	357276__D1K526__GV66_17250
ERR1913299.4263__1.4263	1262911__R6GPC5__BN557_00852
ERR1913299.4321__1.4321	39491__A0A395UYL9__ERS852417_00624
ERR1913299.4358__1.4358	823__D7IUM6__M091_1082
ERR1913299.4419__1.4419	820__A0A3E4W084__BACUNI_04042
ERR1913299.4451__1.4451	291644__R5JMN9__HMPREF1532_00991
ERR1913299.4573__1.4573	649756__R5Z1V8__HMPREF0369_01554
ERR1913299.4600__1.4600	820__A7V470__HMPREF1072_02076
ERR1913299.4652__1.4652	820__A0A174CG08__DXB62_13215
ERR1913299.4708__1.4708	40518__R5DUJ5__DXD83_01635
ERR1913299.4683__1.4683	40518__R5DQK2__DXD93_03730
ERR1913299.4824__1.4824	823__A0A174DZM1__DDY96_10310
ERR1913299.4756__1.4756	39492__D4JTF2__mutS2
ERR1913299.4853__1.4853	1262746__R5SS80__BN750_02125
ERR1913299.4857__1.4857	28052__R7NBQ0__ERS852499_01073
ERR1913299.4909__1.4909	357276__I8WPR6__EL88_06675
ERR1913299.4991__1.4991	820__A0A174G065__DXB62_08975
ERR1913299.5032__1.5032	1150298__A0A173YHI7__ERS852406_00466
ERR1913299.5039__1.5039	39492__A0A174ZHV5__msbA_2
ERR1913299.5097__1.5097	357276__C3REQ8__GV66_09740
ERR1913299.5133__1.5133	166486__A0A173VSA0__ROSINTL182_06124
ERR1913299.5197__1.5197	39491__A0A3E4YFT8__DXB69_10940
ERR1913299.5224__1.5224	823__A0A174XJM9__CEQ22_007230
ERR1913299.5427__1.5427	39496__A5Z5I2__EUBVEN_00963
ERR1913299.5442__1.5442	39492__D4JRV7__EUBSIR_01513
ERR1913299.5483__1.5483	1150298__R7JRK4__ERS852406_01648
ERR1913299.5832__1.5832	28052__R7NBT0__mltF
ERR1913299.5840__1.5840	39492__D4JSU6__dacB_3
ERR1913299.5873__1.5873	820__A0A139K9Q2__DXD40_08795
ERR1913299.5882__1.5882	239935__A0A2N8IUU3__CXU18_08060
ERR1913299.6010__1.6010	626929__R6M5B4__B5F97_02215
ERR1913299.6102__1.6102	204516__U6RAM4__HMPREF1534_03439
ERR1913299.6172__1.6172	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913299.6236__1.6236	204516__U6RAL8__HMPREF1534_03434
ERR1913299.6442__1.6442	853__A0A173T0Y8__CGS54_07215
ERR1913299.6509__1.6509	39491__A0A395UYA6__EUBREC_0408
ERR1913299.6568__1.6568	39491__A0A396FE96__EUR_00280
ERR1913299.6538__1.6538	47678__R5UTU5__CGC64_07175
ERR1913299.6593__1.6593	328814__GCA_004558275.1_01976
ERR1913299.6691__1.6691	823__D0TJX4__M095_1560
ERR1913299.6881__1.6881	39492__D4MMZ8__ERS852540_01407
ERR1913299.6958__1.6958	706562__GCA_900112995.1_00651
ERR1913299.7010__1.7010	820__A7V9F9__B5G17_14640
ERR1913299.7039__1.7039	239935__A0A2N8IU45__DEF40_02365
ERR1913299.7180__1.7180	239935__A0A2N8HAQ1__DEF40_05290
ERR1913299.7224__1.7224	39492__D4JWY1__rnfA_1
ERR1913299.7312__1.7312	39492__D4JR31__EUBSIR_00106
ERR1913299.7408__1.7408	823__A0A395YSW8__CF162_05645
ERR1913299.7490__1.7490	166486__A0A173RAP7__ROSINTL182_07969
ERR1913299.7513__1.7513	853__A0A3E2V168__FAEPRAM212_00929
ERR1913299.7641__1.7641	39492__D4JWY5__rpe
ERR1913299.7692__1.7692	1262886__R6QGN8__BN563_00318
ERR1913299.7711__1.7711	39491__A0A395UVM9__DXB76_04540
ERR1913299.7880__1.7880	823__A0A073IAS1__M091_0201
ERR1913299.8019__1.8019	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913299.8032__1.8032	239935__A0A2N8IHY1__CXU06_00035
ERR1913299.8038__1.8038	40518__R5DXH2__DXD83_10135
ERR1913299.8144__1.8144	823__A0A355XIK0__CEQ22_011965
ERR1913299.8173__1.8173	39492__D4JUL4__ERS852540_01381
ERR1913299.8184__1.8184	357276__A0A0K2HI25__DXD47_04465
ERR1913299.8435__1.8435	357276__B6VW91__BACDOR_01584
ERR1913299.8455__1.8455	39492__D4MIK7__EUBSIR_00676
ERR1913299.8578__1.8578	39492__D4JWA3__ERS852540_01332
ERR1913299.8586__1.8586	39485__A0A175A273__plsX_2
ERR1913299.8695__1.8695	28052__A0A174GLS7__cmpC
ERR1913299.8737__1.8737	39492__D4JSA4__ERS852540_00596
ERR1913299.8836__1.8836	384639__GCA_003096855.1_00253
ERR1913299.8848__1.8848	39491__A0A396FUZ3__phoR_1
ERR1913299.8954__1.8954	39491__A0A395ZG74__licR
ERR1913299.8968__1.8968	357276__B6W5Q7__DXD47_13945
ERR1913299.9207__1.9207	39492__D4JQL8__ywpJ
ERR1913299.9210__1.9210	39491__D6DXZ8__DXB72_15035
ERR1913299.9240__1.9240	28117__B0MT84__ALIPUT_00402
ERR1913299.9342__1.9342	39492__D4JRV7__EUBSIR_01513
ERR1913299.9433__1.9433	357276__A0A076IS73__GV66_00410
ERR1913299.9509__1.9509	853__A0A173YYY4__DWZ04_09420
ERR1913299.9564__1.9564	39492__A0A174Z2N0__EUBSIR_01615
ERR1913299.9498__1.9498	820__A0A139JRH8__HMPREF2141_04326
ERR1913299.9732__1.9732	39491__A0A396FRK0__ERS852417_00541
ERR1913299.9877__1.9877	39491__A0A173TFQ1__rsmF
ERR1913299.9888__1.9888	28052__R7NAP6__ERS852499_01969
ERR1913299.10468__1.10468	239935__A0A2N8IKW7__pstA
ERR1913299.10487__1.10487	39488__A0A174IFL3__DXD91_00270
ERR1913299.10539__1.10539	88431__A0A174GCE2__ERS852423_01397
ERR1913299.10544__1.10544	239935__A0A2N8I390__CXU16_10675
ERR1913299.10631__1.10631	823__A0A355XN36__DXB14_02385
ERR1913299.10636__1.10636	40518__R5DPA7__RBATCC27255_01319
ERR1913299.10689__1.10689	39491__A0A395V1R3__T1815_08181
ERR1913299.10803__1.10803	301302__R5UUM8__ganB_1
ERR1913299.10807__1.10807	39492__D4JQU6__ERS852540_02194
ERR1913299.10963__1.10963	357276__C3R9Y0__HMPREF1064_01889
ERR1913299.11015__1.11015	357276__A0A076IN21__BSEG_03078
ERR1913299.11040__1.11040	39492__D4JQY4__EUBSIR_01325
ERR1913299.10993__1.10993	39492__D4JSS9__btuF
ERR1913299.11057__1.11057	357276__I9QWD4__DXD47_15075
ERR1913299.11063__1.11063	39491__A0A396FUZ3__phoR_1
ERR1913299.11207__1.11207	301302__A0A0M6WGI7__M72_20931
ERR1913299.11241__1.11241	745368__A0A1T4Y0J9__SAMN02745178_02604
ERR1913299.11234__1.11234	204516__U6RAM4__HMPREF1534_03439
ERR1913299.11258__1.11258	291644__I9HP97__HMPREF1532_00061
ERR1913299.11265__1.11265	39491__A0A396FUZ3__phoR_1
ERR1913299.11275__1.11275	820__A7V470__HMPREF1072_02076
ERR1913299.11332__1.11332	39492__D4JUD7__EUBSIR_01877
ERR1913299.11440__1.11440	1150298__A0A174FT27__ERS852535_01803
ERR1913299.11485__1.11485	39492__D4JWX2__accB
ERR1913299.11462__1.11462	39492__D4JWI6__EUBSIR_01073
ERR1913299.11639__1.11639	820__A0A139KIL9__DXC68_05945
ERR1913299.11658__1.11658	357276__A0A0M1W1I8__ABI39_13620
ERR1913299.11731__1.11731	39492__D4JR20__trmD
ERR1913299.11687__1.11687	204516__U6RNE3__HMPREF1534_00331
ERR1913299.11736__1.11736	410072__A0A174Q9M2__DXD67_05965
ERR1913299.11755__1.11755	820__A0A174F0C1__nreB
ERR1913299.11762__1.11762	357276__B6W5Q7__DXD47_13945
ERR1913299.11823__1.11823	357276__B6VXX7__HMPREF1063_02683
ERR1913299.11919__1.11919	33039__D4M4L0__ERS852577_02891
ERR1913299.12012__1.12012	39492__D4JRM9__bglB_2
ERR1913299.12069__1.12069	820__A0A374Q854__HMPREF1073_03281
ERR1913299.12059__1.12059	357276__A0A076J8M3__ABI39_13695
ERR1913299.12163__1.12163	28052__A0A174JFU5__yhbU_1
ERR1913299.12095__1.12095	310298__B3JFI7__BACCOP_00636
ERR1913299.12131__1.12131	1262915__R6HDY7__BN574_00301
ERR1913299.12219__1.12219	39492__D4JVW2__EUBSIR_02285
ERR1913299.12230__1.12230	301302__A0A173RZU9__M72_23561
ERR1913299.12243__1.12243	820__A0A3E4QZJ7__C801_01798
ERR1913299.12308__1.12308	1263107__GCA_000436995.1_00225
ERR1913299.12342__1.12342	1262886__R6QNV6__BN563_00627
ERR1913299.12374__1.12374	301302__A0A0M6W9I4__M72_19871
ERR1913299.12401__1.12401	820__A0A174VD39__DXD90_12235
ERR1913299.12418__1.12418	39492__D4JQL8__ywpJ
ERR1913299.12462__1.12462	820__A7V8C2__ERS852554_01338
ERR1913299.12532__1.12532	357276__I8WPR6__EL88_06675
ERR1913299.12676__1.12676	357276__B6W5Q7__DXD47_13945
ERR1913299.12734__1.12734	39492__A0A174ZP27__EUBSIR_00033
ERR1913299.12743__1.12743	28111__E5WZR2__HMPREF1016_02168
ERR1913299.12816__1.12816	166486__D4L337__msbA_4
ERR1913299.12931__1.12931	166486__D4KXZ7__ROSINTL182_05052
ERR1913299.12984__1.12984	357276__A0A076IRX7__HMPREF1064_00526
ERR1913299.12961__1.12961	40518__R5DZB3__RB5AMG_01719
ERR1913299.12977__1.12977	39492__D4JWM0__atpF
ERR1913299.13073__1.13073	357276__B6VUQ5__B5F00_10940
ERR1913299.13091__1.13091	357276__A0A076IRV2__BACDOR_02822
ERR1913299.13103__1.13103	1855371__A0A1I2BEE3__SAMN05216563_10687
ERR1913299.13390__1.13390	1262886__R6QKQ6__BN563_01547
ERR1913299.13498__1.13498	28052__R7NCE8__cph2_1
ERR1913299.13527__1.13527	357276__B6W5Q7__DXD47_13945
ERR1913299.13654__1.13654	357276__A0A0M1VZG8__HMPREF1064_01655
ERR1913299.13725__1.13725	820__A0A173YYG4__evgS_3
ERR1913299.13857__1.13857	338188__A0A173XHS4__BACFIN_08438
ERR1913299.13869__1.13869	39492__D4JWD3__EUBSIR_00151
ERR1913299.14035__1.14035	357276__C3REQ8__GV66_09740
ERR1913299.14041__1.14041	823__A0A174VHT1__DHP27_04775
ERR1913299.14047__1.14047	39491__A0A396FFW0__ERE_10580
ERR1913299.14064__1.14064	1262886__R6QGN8__BN563_00318
ERR1913299.14170__1.14170	301302__R5VEI6__cysA_2
ERR1913299.14219__1.14219	39491__A0A395ZG74__licR
ERR1913299.14199__1.14199	39492__D4JSS4__ERS852540_02517
ERR1913299.14218__1.14218	301302__R5VGE0__ERS852420_00121
ERR1913299.14403__1.14403	39491__R6TQ09__DXC13_03010
ERR1913299.14568__1.14568	39492__D4JR20__trmD
ERR1913299.14586__1.14586	820__I9J701__ERS852510_01809
ERR1913299.14667__1.14667	1262915__R6ICM3__BN574_00148
ERR1913299.14723__1.14723	821__A0A3E4WAR6__DXD64_10735
ERR1913299.14636__1.14636	1262911__R6H174__BN557_01246
ERR1913299.14650__1.14650	1262911__R6H174__BN557_01246
ERR1913299.14797__1.14797	1262886__R6Q953__BN563_01252
ERR1913299.14845__1.14845	853__A0A2J4JL53__CRH10_10795
ERR1913299.14909__1.14909	1262911__R6GT12__BN557_01070
ERR1913299.14921__1.14921	239935__A0A2N8ILG3__CXT93_10135
ERR1913299.14924__1.14924	820__A0A174QLF0__SAMN05444418_109151
ERR1913299.15032__1.15032	28111__R5JUE8__HMPREF1016_02680
ERR1913299.14986__1.14986	29361__B6FRT6__CLONEX_02860
ERR1913299.15157__1.15157	166486__D4KYB5__mcp3_2
ERR1913299.15211__1.15211	166486__D4L457__ROSINTL182_07087
ERR1913299.15266__1.15266	39492__D4JV70__EUBSIR_01253
ERR1913299.15286__1.15286	820__A0A3E4IGA7__DXD40_07110
ERR1913299.15326__1.15326	1150298__R7JTX5__ERS852535_01291
ERR1913299.15345__1.15345	1150298__A0A174N5I7__ERS852498_01953
ERR1913299.15427__1.15427	39492__D4JRP0__yetF
ERR1913299.15447__1.15447	39492__D4JWY7__EUBSIR_01655
ERR1913299.15455__1.15455	39491__A0A396FF66__DXD95_01810
ERR1913299.15490__1.15490	204516__U6RFU0__HMPREF1534_02545
ERR1913299.15547__1.15547	239935__R6JD78__CXU05_09250
ERR1913299.15648__1.15648	820__A0A396EXA7__DXB37_15530
ERR1913299.15705__1.15705	39491__A0A396FP46__cobD_2
ERR1913299.15631__1.15631	1262743__R5C7B5__BN727_00586
ERR1913299.15733__1.15733	166486__C7G8R8__ROSINTL182_06294
ERR1913299.15817__1.15817	39492__D4JT87__clpC
ERR1913299.15865__1.15865	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913299.15994__1.15994	28052__A0A174GS61__ERS852451_00341
ERR1913299.16026__1.16026	39492__D4JSG7__EUBSIR_01006
ERR1913299.16046__1.16046	301302__A0A0M6WTB1__M72_11101
ERR1913299.16106__1.16106	166486__D4L334__mcp3_1
ERR1913299.16118__1.16118	39492__D4JT68__spoIIIE
ERR1913299.16233__1.16233	39491__A0A396FF66__DXD95_01810
ERR1913299.16250__1.16250	39492__D4JU57__EUBSIR_00802
ERR1913299.16325__1.16325	39492__D4MMN2__EUBSIR_00964
ERR1913299.16363__1.16363	28052__R7NAP6__ERS852499_01969
ERR1913299.16375__1.16375	820__A0A396EUU8__luxQ_3
ERR1913299.16377__1.16377	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913299.16409__1.16409	39491__A0A396FRK0__ERS852417_00541
ERR1913299.16477__1.16477	39492__D4JU81__xseA
ERR1913299.16552__1.16552	357276__A0A076INK2__BSEG_04225
ERR1913299.16613__1.16613	40518__R5E5I9__yvhJ_2
ERR1913299.16647__1.16647	301302__R5V671__M72_27831
ERR1913299.16669__1.16669	28117__B0MT73__ALIPUT_00412
ERR1913299.16689__1.16689	39492__D4JR31__EUBSIR_00106
ERR1913299.16746__1.16746	820__A7V8C2__ERS852554_01338
ERR1913299.16747__1.16747	39492__R6RT40__prkC_3
ERR1913299.16795__1.16795	39492__A0A174ZHV5__msbA_2
ERR1913299.16781__1.16781	39492__D4JVX0__udk
ERR1913299.16807__1.16807	214856__I3YMB7__Alfi_1811
ERR1913299.16876__1.16876	357276__B6W5Q7__DXD47_13945
ERR1913299.17014__1.17014	39491__A0A396FNY7__LD38_16155
ERR1913299.17044__1.17044	39491__C4Z8S1__DXB76_06750
ERR1913299.17113__1.17113	166486__D4KUE4__ROSINTL182_08606
ERR1913299.17184__1.17184	823__C7XA51__BDI_0499
ERR1913299.17194__1.17194	338188__K5CL54__HMPREF1057_02531
ERR1913299.17237__1.17237	1965560__A0A1Y4RA23__B5E82_17535
ERR1913299.17292__1.17292	823__A0A355XP97__M092_2525
ERR1913299.17316__1.17316	166486__D4L1P3__ERS852572_00760
ERR1913299.17318__1.17318	823__A6LHU5__M092_0203
ERR1913299.17366__1.17366	820__I9TWZ7__DXC80_10550
ERR1913299.17453__1.17453	39492__D4JXA0__ERS852540_02538
ERR1913299.17465__1.17465	39492__R6SA81__EUBSIR_00402
ERR1913299.17436__1.17436	39492__R6SPM9__pheT
ERR1913299.17566__1.17566	39491__A0A396FNY7__LD38_16155
ERR1913299.17567__1.17567	357276__I9R4T1__IY41_06800
ERR1913299.17574__1.17574	39491__C4ZAT2__ERE_28440
ERR1913299.17579__1.17579	39492__D4JWB3__EUBSIR_00040
ERR1913299.17757__1.17757	39492__D4JQP0__ypeB
ERR1913299.17877__1.17877	706562__GCA_900112995.1_02104
ERR1913299.17908__1.17908	820__A0A139K024__B5G17_02060
ERR1913299.17984__1.17984	823__A0A355XH29__lolE_1
ERR1913299.18012__1.18012	39492__D4JQS6__ykoD
ERR1913299.18151__1.18151	39491__A0A174K1W6__DXB99_15020
ERR1913299.18227__1.18227	706562__GCA_900112995.1_01870
ERR1913299.18362__1.18362	28052__A0A174YNE8__ERS852451_00845
ERR1913299.18303__1.18303	823__A0A1Y4I349__DXB14_09300
ERR1913299.18418__1.18418	301302__A0A0M6WVL0__celA
ERR1913299.18455__1.18455	357276__B6W5Q7__DXD47_13945
ERR1913299.18463__1.18463	39492__D4MIX3__ERS852540_01230
ERR1913299.18467__1.18467	39492__D4JWX2__accB
ERR1913299.18470__1.18470	47678__R5UME6__BACCAC_01239
ERR1913299.18717__1.18717	1796613__A0A1C7H6N8__ADH74_01350
ERR1913299.18928__1.18928	2173__R7PXA1__Msm_1180
ERR1913299.18992__1.18992	820__A0A1Q6IDS8__chtA
ERR1913299.19256__1.19256	39492__D4JUP6__ERS852540_01404
ERR1913299.19442__1.19442	28052__A0A174M373__speA_2
ERR1913299.19467__1.19467	28052__A0A174KNE1__ptsI_2
ERR1913299.19479__1.19479	39492__D4JRV7__EUBSIR_01513
ERR1913299.19493__1.19493	39492__D4JSG7__EUBSIR_01006
ERR1913299.19505__1.19505	357276__A0A076IYG1__B5F95_22465
ERR1913299.19540__1.19540	1150298__A0A174PC05__ERS852498_00682
ERR1913299.19547__1.19547	853__A0A2J4JL53__CRH10_10795
ERR1913299.19671__1.19671	39491__C4Z9D4__DXD95_00055
ERR1913299.19735__1.19735	39492__D4JVC7__yfgF
ERR1913299.19848__1.19848	39491__A0A395ZE48__DXB76_02395
ERR1913299.19958__1.19958	39492__D4JRX9__sepF
ERR1913299.20081__1.20081	204516__U6R9H3__HMPREF1534_03348
ERR1913299.20084__1.20084	40518__R5DY98__mepA_5
ERR1913299.20065__1.20065	166486__D4KZ45__ROSINTL182_05738
ERR1913299.20331__1.20331	39491__A0A395ZBW8__DXC13_08840
ERR1913299.20339__1.20339	39492__D4JR08__ERS852540_02467
ERR1913299.20346__1.20346	39492__D4JRZ7__smc
ERR1913299.20418__1.20418	39492__D4MIK7__EUBSIR_00676
ERR1913299.20426__1.20426	39492__D4JTW7__EUBSIR_00859
ERR1913299.20754__1.20754	357276__A0A076ITU4__EL88_22160
ERR1913299.20755__1.20755	239935__A0A2N8IEP3__CXT84_03735
ERR1913299.20865__1.20865	39491__D4JMW8__ERS852497_01971
ERR1913299.20980__1.20980	818__A0A139JW76__BJP75_002555
ERR1913299.21043__1.21043	853__D4JY61__C4N21_10560
ERR1913299.21046__1.21046	39492__D4JRV5__acrR_2
ERR1913299.21131__1.21131	40518__R5DLU0__fmt
ERR1913299.21132__1.21132	39491__A0A396FNY7__LD38_16155
ERR1913299.21146__1.21146	39492__D4JR08__ERS852540_02467
ERR1913299.21186__1.21186	39492__D4JWI6__EUBSIR_01073
ERR1913299.21290__1.21290	823__A0A355XKQ8__DHP27_04010
ERR1913299.21316__1.21316	39492__D4JV86__spoIIE
ERR1913299.21326__1.21326	239935__A0A2N8IRL2__CXU06_01170
ERR1913299.21417__1.21417	28052__A0A174M373__speA_2
ERR1913299.21488__1.21488	28111__R5JN40__HMPREF1016_01803
ERR1913299.21529__1.21529	39492__D4JWX2__accB
ERR1913299.21586__1.21586	39491__A0A395UZZ5__htpG_1
ERR1913299.21666__1.21666	239935__A0A2N8IMC3__CXT96_03840
ERR1913299.21628__1.21628	39491__A0A396FFW0__ERE_10580
ERR1913299.21866__1.21866	649756__A0A173T5Y7__HMPREF0369_02769
ERR1913299.21917__1.21917	204516__U6RKS4__HMPREF1534_01431
ERR1913299.22014__1.22014	39492__D4JXA0__ERS852540_02538
ERR1913299.22063__1.22063	1262911__R6H1B2__BN557_00840
ERR1913299.22100__1.22100	820__A0A173YYG4__evgS_3
ERR1913299.22188__1.22188	820__A0A174F0C1__nreB
ERR1913299.22269__1.22269	28111__R5JUJ8__nanA_2
ERR1913299.22203__1.22203	39492__D4JQS6__ykoD
ERR1913299.22309__1.22309	1262911__R6GZX7__BN557_00838
ERR1913299.22341__1.22341	28052__R6JVH3__ERS852499_00454
ERR1913299.22374__1.22374	166486__D4L2C5__ERS852572_01688
ERR1913299.22598__1.22598	39492__D4JV86__spoIIE
ERR1913299.22613__1.22613	39491__A0A396FSN2__EUBREC_0707
ERR1913299.22713__1.22713	1262911__R6H2J2__BN557_01228
ERR1913299.22670__1.22670	1150298__A0A174S2H3__spoIIQ
ERR1913299.22788__1.22788	39492__D4JS46__EUBSIR_02553
ERR1913299.22955__1.22955	357276__E5UTL1__HMPREF1065_03551
ERR1913299.22925__1.22925	823__A6LDT7__CEQ22_002595
ERR1913299.22930__1.22930	1472761__GCA_002159295.1_00731
ERR1913299.22971__1.22971	39485__A0A174ZA72__glgB_1
ERR1913299.22972__1.22972	39492__D4JRM4__tap_5
ERR1913299.23053__1.23053	1263107__GCA_000436995.1_00166
ERR1913299.23029__1.23029	39491__A0A173SH34__EUR_24920
ERR1913299.23159__1.23159	39492__D4JTG7__EUBSIR_00572
ERR1913299.23296__1.23296	823__A0A174LWY0__lepB
ERR1913299.23394__1.23394	357276__A0A076INK2__BSEG_04225
ERR1913299.23519__1.23519	28052__A0A174JZ61__ERS852451_01201
ERR1913299.23526__1.23526	39492__D4JQS6__ykoD
ERR1913299.23577__1.23577	40518__R5DUU8__DXD86_08440
ERR1913299.23803__1.23803	39491__A0A396FNY7__LD38_16155
ERR1913299.23819__1.23819	821__R9HFW2__DXD01_00365
ERR1913299.23930__1.23930	239935__A0A2N8HZW2__A4V05_11120
ERR1913299.23951__1.23951	1150298__A0A174QNY9__ERS852498_01028
ERR1913299.24018__1.24018	39492__R6SPM9__pheT
ERR1913299.24048__1.24048	39492__R6RT40__prkC_3
ERR1913299.24151__1.24151	649756__D4MTX1__DCR88_05080
ERR1913299.24183__1.24183	820__A0A174QLF0__SAMN05444418_109151
ERR1913299.24316__1.24316	820__A0A3E4G493__ERS417307_00253
ERR1913299.24522__1.24522	28116__R6JI94__ERS852555_01222
ERR1913299.24538__1.24538	823__A0A174DZM1__DDY96_10310
ERR1913299.24540__1.24540	818__A0A396E9L6__C799_02774
ERR1913299.24567__1.24567	39492__D4JVG7__ERS852540_00946
ERR1913299.24592__1.24592	1150298__R7JRC8__ERS852535_02456
ERR1913299.24670__1.24670	357276__A0A076IS26__EL88_15950
ERR1913299.24748__1.24748	28111__E5X121__BACEGG_03113
ERR1913299.24833__1.24833	820__A0A3E4WCC2__lptB_1
ERR1913299.24868__1.24868	39492__B0MNU1__ERS852540_02349
ERR1913299.24857__1.24857	39492__D4JRZ7__smc
ERR1913299.24949__1.24949	1512__U2C3Q6__HMPREF9474_01866
ERR1913299.24938__1.24938	39492__D4JRM9__bglB_2
ERR1913299.25053__1.25053	292800__G9YSF9__ERS852504_03368
ERR1913299.25117__1.25117	674529__R6V9C9__DXB21_16435
ERR1913299.25172__1.25172	291644__I9HLV6__ERS852428_02603
ERR1913299.25173__1.25173	291644__I8YWU4__HMPREF1532_01473
ERR1913299.25184__1.25184	239935__A0A139TVJ4__CXT86_02020
ERR1913299.25263__1.25263	301302__R5UNC5__M72_02681
ERR1913299.25304__1.25304	1262743__R5C054__BN727_01980
ERR1913299.25372__1.25372	821__R6F3Y1__SAMN04487923_104318
ERR1913299.25401__1.25401	357276__I8WBQ9__HMPREF1065_03212
ERR1913299.25416__1.25416	301302__A0A0M6WZT5__M72_18331
ERR1913299.25467__1.25467	39492__D4JWD3__EUBSIR_00151
ERR1913299.25511__1.25511	39491__A0A396FPV7__ERS852580_01177
ERR1913299.25515__1.25515	820__A0A139KEW8__DXB64_06405
ERR1913299.25462__1.25462	39492__D4JW10__pppA
