ERR1913204.80__1.80	1262882__R5ML49__BN519_01361
ERR1913204.9159__1.9159	239935__R6J5N6__CXT99_10770
ERR1913204.9233__1.9233	214856__I3YPQ0__ERS852447_01379
ERR1913204.9248__1.9248	214856__A0A175A6T5__ERS852447_02658
ERR1913204.9324__1.9324	214856__R6Z288__ERS852447_00734
ERR1913204.9360__1.9360	214856__R5UN64__ERS852447_02669
ERR1913204.9602__1.9602	214856__I3YPQ0__ERS852447_01379
ERR1913204.9570__1.9570	301302__R5VFU2__xynA1
ERR1913204.9634__1.9634	1262882__R5MSQ8__BN519_01647
ERR1913204.9760__1.9760	214856__R6XKW1__ERS852559_01141
ERR1913204.9775__1.9775	214856__R6XTZ7__ERS852447_02314
ERR1913204.9921__1.9921	214856__I3YPQ0__ERS852447_01379
ERR1913204.10158__1.10158	487174__K0XLH2__HMPREF9448_01152
ERR1913204.10305__1.10305	214856__A0A173YXX1__ERS852559_01651
ERR1913204.10499__1.10499	301302__R5UKF2__M72_19701
ERR1913204.10504__1.10504	301301__A0A395V5W5__RHOM_01200
ERR1913204.10598__1.10598	214856__R6Y9P5__ERS852559_01811
ERR1913204.10700__1.10700	328814__GCA_004558275.1_01002
ERR1913204.10807__1.10807	1262882__R5MFR3__BN519_00473
ERR1913204.10993__1.10993	214856__R6Z288__ERS852447_00734
ERR1913204.10933__1.10933	410072__C0B733__ERS852525_00482
ERR1913204.11143__1.11143	214856__R5UN64__ERS852447_02669
ERR1913204.11485__1.11485	239935__A0A139TPU7__CXT91_06575
ERR1913204.11488__1.11488	214856__A0A173YDP1__ERS852559_00120
ERR1913204.11538__1.11538	214856__R6XS46__ERS852559_00812
ERR1913204.11475__1.11475	214856__A0A174CRY5__ERS852559_01060
ERR1913204.11598__1.11598	214856__R6XNE7__ERS852447_02267
ERR1913204.11662__1.11662	214856__A0A174CRY5__ERS852559_01060
ERR1913204.11787__1.11787	214856__R6Y7P0__ERS852447_00307
ERR1913204.12147__1.12147	214856__R6XKT4__ERS852559_01719
ERR1913204.12220__1.12220	214856__I3YPP9__Alfi_2707
ERR1913204.12437__1.12437	39492__D4JR08__ERS852540_02467
ERR1913204.12484__1.12484	239935__R6J9Y2__CXT85_07000
ERR1913204.12685__1.12685	47678__R5UAI1__BACCAC_01922
ERR1913204.12658__1.12658	487174__K0X7X4__DIT83_09125
ERR1913204.12664__1.12664	239935__A0A2N8I3Z7__CXU05_10555
ERR1913204.12744__1.12744	487174__K0XBH1__DIT83_01445
ERR1913204.12840__1.12840	1262882__R5N0M6__BN519_00794
ERR1913204.12851__1.12851	357276__A0A076IS26__EL88_15950
ERR1913204.12871__1.12871	1550024__A0A0D8J136__TQ39_12150
ERR1913204.12997__1.12997	39492__D4JWI6__EUBSIR_01073
ERR1913204.13067__1.13067	239935__A0A2N8IU45__DEF40_02365
ERR1913204.13111__1.13111	853__A0A173YYY4__DWZ04_09420
ERR1913204.13114__1.13114	239935__R7DVW2__CXU02_03915
ERR1913204.13141__1.13141	214856__I3YPP3__Alfi_2701
ERR1913204.13267__1.13267	1501391__GCA_000786575.1_00110
ERR1913204.13330__1.13330	39496__A5Z8C5__EUBVEN_01966
ERR1913204.13432__1.13432	328813__A0A1Y3QZ64__B5G41_14235
ERR1913204.13449__1.13449	818__A0A3E5GYI4__NCTC10582_00013
ERR1913204.13392__1.13392	1262882__R5MK03__BN519_01277
ERR1913204.13360__1.13360	674529__R6UTR5__DXB21_06400
ERR1913204.13522__1.13522	214856__R6XTZ7__ERS852447_02314
ERR1913204.13532__1.13532	214856__R6XNE7__ERS852447_02267
ERR1913204.13542__1.13542	1262963__R6C7W6__BN718_00713
ERR1913204.13546__1.13546	214856__R6XKT4__ERS852559_01719
ERR1913204.13550__1.13550	821__D4VD59__BHV80_04260
ERR1913204.13551__1.13551	47678__R5V127__HMPREF1061_04334
ERR1913204.13563__1.13563	1262882__R5MMP8__BN519_01654
ERR1913204.13594__1.13594	214856__R6XS46__ERS852559_00812
ERR1913204.13673__1.13673	1965560__A0A1Y4RFR5__B5E82_15700
ERR1913204.13718__1.13718	301302__A0A0M6W9I4__M72_19871
ERR1913204.13805__1.13805	214856__I3YPN9__ERS852447_01389
ERR1913204.13818__1.13818	1262882__R5MND9__BN519_00831
ERR1913204.14143__1.14143	239935__A0A2N8HHY4__DEF40_10850
ERR1913204.14230__1.14230	214856__R6XP73__ERS852447_00886
ERR1913204.14238__1.14238	214856__R6XKT4__ERS852559_01719
ERR1913204.14348__1.14348	487174__K0XM88__DDY40_02935
ERR1913204.14482__1.14482	821__D4VD59__BHV80_04260
ERR1913204.14583__1.14583	1262911__R6GZX7__BN557_00838
ERR1913204.14684__1.14684	1262882__R5N0Q5__BN519_00642
ERR1913204.14787__1.14787	214856__I3YPR2__Alfi_2720
ERR1913204.14868__1.14868	39492__D4JTU4__ykfG
ERR1913204.14917__1.14917	214856__I3YPP2__Alfi_2700
ERR1913204.15122__1.15122	214856__I3YPN9__ERS852447_01389
ERR1913204.15219__1.15219	239935__A0A139TMD2__CXU18_02250
ERR1913204.15233__1.15233	357276__A0A076IRZ5__BACDOR_00630
ERR1913204.15306__1.15306	1262882__R5N0H9__BN519_00764
ERR1913204.15294__1.15294	214856__R6Y2Y4__ERS852447_01086
ERR1913204.15424__1.15424	487174__K0X1H0__DDY40_11080
ERR1913204.15664__1.15664	1262882__R5N1L4__BN519_00757
ERR1913204.15667__1.15667	214856__R6Y6H8__ERS852447_01719
ERR1913204.15732__1.15732	214856__A0A173Z1B0__ERS852447_00765
ERR1913204.15913__1.15913	818__A0A174VV39__BT_3492
ERR1913204.15882__1.15882	214856__R6YC22__ERS852447_01215
ERR1913204.16116__1.16116	301302__R5VCU3__cbiK_2
ERR1913204.16200__1.16200	1150298__A0A173ZYU8__sipT_2
ERR1913204.16272__1.16272	1262882__R5MJJ9__BN519_01035
ERR1913204.16298__1.16298	357276__A0A076IS26__EL88_15950
ERR1913204.16535__1.16535	1262882__R5MYX5__BN519_00333
ERR1913204.16768__1.16768	2108523__A0A2P2F3W3__LAWASA_692
ERR1913204.16807__1.16807	214856__R6YC22__ERS852447_01215
ERR1913204.17116__1.17116	487174__K0X6Z7__DDY40_11525
ERR1913204.17152__1.17152	487174__K0XES7__HMPREF9448_00566
ERR1913204.17330__1.17330	214856__A0A174EQR4__rsmA
ERR1913204.17257__1.17257	214856__I3YPP0__ERS852447_01388
ERR1913204.17290__1.17290	239935__A0A2N8HDT1__CXT94_05270
ERR1913204.17364__1.17364	1262882__R5MY46__BN519_00355
ERR1913204.17548__1.17548	214856__I3YPQ3__Alfi_2711
ERR1913204.17604__1.17604	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913204.17699__1.17699	214856__I3YPR6__Alfi_2724
ERR1913204.17778__1.17778	33025__A0A395JHB7__C8D73_101754
ERR1913204.17863__1.17863	214856__I3YMN6__Alfi_1938
ERR1913204.17882__1.17882	1262882__R5N4I5__BN519_01288
ERR1913204.18002__1.18002	301302__A0A173QV75__M72_03601
ERR1913204.18247__1.18247	214856__A0A174ZLX0__ERS852559_00738
ERR1913204.18309__1.18309	818__A0A174RFL1__ERS852511_03380
ERR1913204.18339__1.18339	239935__A0A2N8IVR0__CXT87_07115
ERR1913204.18398__1.18398	214856__R6Y2Y4__ERS852447_01086
ERR1913204.18405__1.18405	28118__F9Z4Y7__DF785_06945
ERR1913204.18466__1.18466	214856__A0A174ZLW6__ERS852559_01424
ERR1913204.18621__1.18621	1501391__GCA_000786575.1_00055
ERR1913204.18696__1.18696	214856__A0A174EJT5__mnmA
ERR1913204.18757__1.18757	39492__D4JV38__EUBSIR_01205
ERR1913204.18804__1.18804	29361__B6FKH5__CLONEX_00621
ERR1913204.18868__1.18868	1235835__R9LCU2__C814_02677
ERR1913204.18978__1.18978	214856__I3YPQ0__ERS852447_01379
ERR1913204.19130__1.19130	1262882__R5MIQ8__BN519_01036
ERR1913204.19132__1.19132	291645__I8WZT8__HMPREF1068_04327
ERR1913204.19161__1.19161	1262882__R5MKU7__BN519_01276
ERR1913204.19256__1.19256	214856__A0A174CRY5__ERS852559_01060
ERR1913204.19337__1.19337	214856__A0A175A6T5__ERS852447_02658
ERR1913204.19667__1.19667	214856__I3YPN0__ERS852447_01398
ERR1913204.19693__1.19693	1501391__GCA_000786575.1_00123
ERR1913204.20424__1.20424	1262882__R5MLP5__BN519_01602
ERR1913204.20636__1.20636	214856__A0A175A6T5__ERS852447_02658
ERR1913204.20701__1.20701	1262882__R5MFK5__BN519_00378
ERR1913204.20784__1.20784	1262882__R5MND9__BN519_00831
ERR1913204.20840__1.20840	214856__R6XP73__ERS852447_00886
ERR1913204.20813__1.20813	487174__K0X551__HMPREF9448_02151
ERR1913204.20947__1.20947	39492__R6RT40__prkC_3
ERR1913204.20957__1.20957	410072__C0B9A6__yvhJ
ERR1913204.21190__1.21190	1262911__R6H1A6__BN557_01286
ERR1913204.21358__1.21358	853__A0A173YYY4__DWZ04_09420
ERR1913204.21449__1.21449	1262882__R5MFY4__BN519_00529
ERR1913204.21595__1.21595	28118__F9Z408__NCTC10826_01194
ERR1913204.21789__1.21789	214856__R5UN64__ERS852447_02669
ERR1913204.21863__1.21863	1501391__GCA_000786575.1_00043
ERR1913204.22026__1.22026	214856__A0A173YXX1__ERS852559_01651
ERR1913204.22198__1.22198	214856__R5UN64__ERS852447_02669
ERR1913204.22288__1.22288	487174__K0WT65__HMPREF9448_02407
ERR1913204.22411__1.22411	1501391__GCA_000786575.1_00074
ERR1913204.22696__1.22696	33025__A0A395JEP7__C8D73_10844
ERR1913204.22781__1.22781	216816__B7GPE8__I118_0062
ERR1913204.22959__1.22959	214856__I3YMB7__Alfi_1811
ERR1913204.23046__1.23046	28118__R6F633__speG
ERR1913204.23253__1.23253	214856__A0A173W3Y5__ERS852559_02032
ERR1913204.23445__1.23445	214856__A0A174CRY5__ERS852559_01060
ERR1913204.23558__1.23558	214856__A0A174CRY5__ERS852559_01060
ERR1913204.23638__1.23638	371601__D7J175__DXD03_05675
ERR1913204.23716__1.23716	214856__I3YPQ4__Alfi_2712
ERR1913204.23719__1.23719	214856__R6XS46__ERS852559_00812
ERR1913204.23760__1.23760	1501391__GCA_000786575.1_00092
ERR1913204.23906__1.23906	239935__R7E524__CXT91_06180
ERR1913204.24277__1.24277	47678__R5UHH8__HMPREF1061_02584
ERR1913204.24314__1.24314	239935__R6IZU4__CXT87_08085
ERR1913204.24685__1.24685	88431__A0A174KCR9__DXB16_06030
ERR1913204.24711__1.24711	239935__B2URG9__CXU00_11290
ERR1913204.24739__1.24739	1262882__R5N2A9__BN519_00921
ERR1913204.24829__1.24829	214856__I3YPR5__ERS852447_01364
ERR1913204.24952__1.24952	214856__I3YK71__ERS852559_02472
ERR1913204.25417__1.25417	214856__I3YMC8__ERS852447_02666
ERR1913204.25456__1.25456	239935__A0A2N8HT44__CXT84_11035
ERR1913204.25703__1.25703	214856__I3YPP0__ERS852447_01388
ERR1913204.25740__1.25740	214856__A0A173YXX1__ERS852559_01651
ERR1913204.25754__1.25754	487174__K0WX10__DIT83_10030
ERR1913204.25770__1.25770	214856__I3YPI7__pepD_1
ERR1913204.25796__1.25796	214856__I3YPQ0__ERS852447_01379
ERR1913204.26150__1.26150	1262882__R5MHX6__BN519_00733
ERR1913204.26256__1.26256	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913204.26330__1.26330	39492__D4JWY7__EUBSIR_01655
ERR1913204.26427__1.26427	214856__R6Y1K2__ERS852447_02306
ERR1913204.26468__1.26468	853__A0A3E2U7E6__ERS852582_01640
ERR1913204.26529__1.26529	214856__I3YPP1__Alfi_2699
ERR1913204.26596__1.26596	214856__R6XQX8__ERS852559_02550
ERR1913204.26656__1.26656	1262882__R5MEK3__BN519_00296
ERR1913204.26630__1.26630	214856__A0A173YXX1__ERS852559_01651
ERR1913204.26724__1.26724	214856__R6XS46__ERS852559_00812
ERR1913204.26727__1.26727	239935__R6JCH3__CXT95_08205
ERR1913204.26781__1.26781	214856__R6YC22__ERS852447_01215
ERR1913204.26793__1.26793	239935__A0A2N8IV82__CXT99_06735
ERR1913204.26905__1.26905	239935__R6IZU4__CXT87_08085
ERR1913204.26907__1.26907	1501391__GCA_000786575.1_00085
ERR1913204.27196__1.27196	1262882__R5MKV8__BN519_01281
ERR1913204.27301__1.27301	214856__I3YMN6__Alfi_1938
ERR1913204.27330__1.27330	1897011__A0A1Q6RC19__BHW41_06415
ERR1913204.27386__1.27386	556259__I0PYJ6__BSGG_5210
ERR1913204.27439__1.27439	214856__I3YMC8__ERS852447_02666
ERR1913204.27483__1.27483	328814__GCA_004558275.1_00986
ERR1913204.27640__1.27640	471189__GCA_003340385.1_00338
ERR1913204.27655__1.27655	214856__R6XP73__ERS852447_00886
ERR1913204.27934__1.27934	47678__R5UUQ0__C5Z00_15605
ERR1913204.28000__1.28000	214856__I3YPN3__ERS852447_01395
ERR1913204.28183__1.28183	239935__R7E524__CXT91_06180
ERR1913204.28245__1.28245	214856__A0A174AYS4__ERS852447_01192
ERR1913204.28283__1.28283	1501391__GCA_000786575.1_00097
ERR1913204.28573__1.28573	823__A6LBY1__ERS852380_00510
ERR1913204.28663__1.28663	214856__R5UN64__ERS852447_02669
ERR1913204.28688__1.28688	214856__R6Z288__ERS852447_00734
ERR1913204.28700__1.28700	214856__A0A173YXX1__ERS852559_01651
ERR1913204.29031__1.29031	487174__K0X3V7__DIT83_01400
ERR1913204.29243__1.29243	818__E5C5U7__SAMN05216253_101163
ERR1913204.29288__1.29288	301302__R5UUM8__ganB_1
ERR1913204.29303__1.29303	214856__R6Z5D0__resA_4
ERR1913204.29365__1.29365	487174__K0X177__HMPREF9448_00818
ERR1913204.29420__1.29420	410072__A0A173WM89__DXD67_03705
ERR1913204.29540__1.29540	214856__I3YPP0__ERS852447_01388
ERR1913204.29595__1.29595	39492__D4JQS7__ERS852540_01645
ERR1913204.29649__1.29649	1501391__GCA_000786575.1_00116
ERR1913204.29885__1.29885	214856__R6Y7P0__ERS852447_00307
ERR1913204.30026__1.30026	214856__R6Z7Q9__ERS852447_02172
ERR1913204.29997__1.29997	214856__R6YD52__ERS852447_02171
ERR1913204.30134__1.30134	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913204.30202__1.30202	214856__R6Z5D0__resA_4
ERR1913204.30229__1.30229	214856__R6XKW1__ERS852559_01141
ERR1913204.30265__1.30265	239935__A0A2N8IRW0__A4V05_11620
ERR1913204.30288__1.30288	1262882__R5MEN2__BN519_00200
ERR1913204.30300__1.30300	1262882__R5MFR3__BN519_00473
ERR1913204.30374__1.30374	1501391__GCA_000786575.1_00138
ERR1913204.30522__1.30522	487174__K0WV19__HMPREF9448_01820
ERR1913204.30660__1.30660	1262882__R5MEN2__BN519_00200
ERR1913204.30692__1.30692	39496__A5Z5I2__EUBVEN_00963
ERR1913204.30757__1.30757	214856__R6Y8K1__ERS852447_02509
ERR1913204.30819__1.30819	214856__I3YPQ3__Alfi_2711
ERR1913204.30836__1.30836	2108523__A0A2P2F828__LAWASA_2158
ERR1913204.30910__1.30910	649756__B0P4Q3__ERS852425_01640
ERR1913204.31020__1.31020	1262882__R5MEW7__BN519_00010
ERR1913204.31416__1.31416	487174__K0WZA7__DDY40_11890
ERR1913204.31362__1.31362	1501391__GCA_000786575.1_00128
ERR1913204.31543__1.31543	214856__I3YMB7__Alfi_1811
ERR1913204.31526__1.31526	1262882__R5MFY4__BN519_00529
ERR1913204.31650__1.31650	214856__R6Y9P5__ERS852559_01811
ERR1913204.31740__1.31740	301302__R5UQW7__ERS852420_02102
ERR1913204.31845__1.31845	39492__D4JRR5__ERS852540_02089
ERR1913204.31850__1.31850	214856__A0A174CRY5__ERS852559_01060
ERR1913204.31878__1.31878	214856__R6Y1K2__ERS852447_02306
ERR1913204.31928__1.31928	487174__K0X488__HMPREF9448_00323
ERR1913204.31935__1.31935	214856__R6XS02__ERS852447_01685
ERR1913204.32343__1.32343	818__A0A0P0F2P7__BT_1771
ERR1913204.32500__1.32500	1262911__R6GPC5__BN557_00852
ERR1913204.32584__1.32584	818__A0A3E5HN72__C799_03359
ERR1913204.32750__1.32750	1262882__R5MLK3__BN519_00491
ERR1913204.32756__1.32756	39492__D4JRM9__bglB_2
ERR1913204.32782__1.32782	239935__A0A2N8IVR0__CXT87_07115
ERR1913204.32864__1.32864	214856__A0A174CRY5__ERS852559_01060
ERR1913204.33054__1.33054	214856__R6Z186__ERS852447_00718
ERR1913204.33203__1.33203	214856__I3YK71__ERS852559_02472
ERR1913204.33197__1.33197	214856__A0A174EQR4__rsmA
ERR1913204.33289__1.33289	301302__R5UMN4__M72_24341
ERR1913204.33323__1.33323	239935__A0A2N8IMC3__CXT96_03840
ERR1913204.33449__1.33449	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913204.33377__1.33377	214856__A0A174CRY5__ERS852559_01060
ERR1913204.33470__1.33470	47678__R5U8Y1__BACCAC_02615
ERR1913204.33609__1.33609	1235835__R9LCU2__C814_02677
ERR1913204.33569__1.33569	1262882__R5MNC1__BN519_00818
ERR1913204.33686__1.33686	1897011__A0A1Q6REU8__BHW41_04300
ERR1913204.33780__1.33780	649756__D4MWA6__HMPREF0369_02259
ERR1913204.33788__1.33788	239935__A0A2N8ITX2__CXT86_11265
ERR1913204.33993__1.33993	1501391__GCA_000786575.1_00107
ERR1913204.34023__1.34023	239935__A0A2N8IV82__CXT99_06735
ERR1913204.34031__1.34031	239935__A0A2N8HH03__CXU09_08875
ERR1913204.34045__1.34045	1262744__R6FST0__BN744_00381
ERR1913204.34103__1.34103	214856__I3YPQ6__Alfi_2714
ERR1913204.34375__1.34375	328813__A0A1Y3QZ64__B5G41_14235
ERR1913204.34482__1.34482	239935__R6IZU4__CXT87_08085
ERR1913204.34505__1.34505	487174__K0X3V7__DIT83_01400
ERR1913204.34740__1.34740	214856__I3YPP3__Alfi_2701
ERR1913204.34852__1.34852	214856__R6YD52__ERS852447_02171
ERR1913204.35037__1.35037	214856__I3YMC8__ERS852447_02666
ERR1913204.35066__1.35066	1262882__R5MFY4__BN519_00529
ERR1913204.35112__1.35112	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913204.35162__1.35162	1262911__R6GT76__BN557_01150
ERR1913204.35177__1.35177	214856__I3YMC8__ERS852447_02666
ERR1913204.35203__1.35203	649756__D4MU34__DO83_08115
ERR1913204.35252__1.35252	214856__R6Y6H8__ERS852447_01719
ERR1913204.35320__1.35320	214856__R6XTZ7__ERS852447_02314
ERR1913204.35335__1.35335	214856__A0A175A6T5__ERS852447_02658
ERR1913204.35471__1.35471	1262882__R5MJJ9__BN519_01035
ERR1913204.35505__1.35505	487174__K0WY34__DDY40_07435
ERR1913204.35518__1.35518	1262882__R5MEK3__BN519_00296
ERR1913204.35566__1.35566	487174__K0XES7__HMPREF9448_00566
ERR1913204.35702__1.35702	1262889__R7HB69__BN634_01104
ERR1913204.35719__1.35719	1262743__R5C054__BN727_01980
ERR1913204.35785__1.35785	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913204.36061__1.36061	47678__R5UFW6__ERS852558_01575
ERR1913204.36082__1.36082	853__A0A173XRA8__CGS56_09290
ERR1913204.36034__1.36034	214856__R6Z5D0__resA_4
ERR1913204.36113__1.36113	1235790__S0J8L6__C805_00148
ERR1913204.36168__1.36168	1262743__R5C054__BN727_01980
ERR1913204.36232__1.36232	239935__A0A2N8HBM4__CXT85_06270
ERR1913204.36253__1.36253	1501391__GCA_000786575.1_00131
ERR1913204.36418__1.36418	1262882__R5N5S3__BN519_00085
ERR1913204.36504__1.36504	214856__A0A174ZB00__ERS852559_00631
ERR1913204.36613__1.36613	214856__R6Y8K1__ERS852447_02509
ERR1913204.36616__1.36616	487174__K0XKD7__HMPREF9448_01550
ERR1913204.36623__1.36623	1262882__R5MEM1__BN519_00313
ERR1913204.36720__1.36720	1262911__R6H0U7__BN557_01104
ERR1913204.36951__1.36951	1897011__A0A1Q6RE52__BHW41_04690
ERR1913204.37006__1.37006	214856__R6Z288__ERS852447_00734
ERR1913204.37186__1.37186	818__A0A174SHK6__ERS852511_01161
ERR1913204.37294__1.37294	214856__I3YPI7__pepD_1
ERR1913204.37357__1.37357	239935__R7DVW2__CXU02_03915
ERR1913204.37441__1.37441	1262882__R5N1L4__BN519_00757
ERR1913204.37504__1.37504	239935__A0A2N8IVR0__CXT87_07115
ERR1913204.37805__1.37805	214856__I3YPQ8__ERS852447_01371
ERR1913204.37889__1.37889	214856__I3YPI7__pepD_1
ERR1913204.37865__1.37865	214856__A0A175A6T5__ERS852447_02658
ERR1913204.37955__1.37955	28116__A0A395VSP8__ERS852555_02642
ERR1913204.37989__1.37989	1262882__R5MIQ8__BN519_01036
ERR1913204.38001__1.38001	487174__K0XA11__DDY40_03585
ERR1913204.38060__1.38060	487174__K0X2Y1__lepB
ERR1913204.38140__1.38140	214856__R6Z4Q8__ERS852447_00885
ERR1913204.38141__1.38141	214856__R6Z320__ERS852447_02148
ERR1913204.38144__1.38144	214856__I3YPI7__pepD_1
ERR1913204.38263__1.38263	239935__A0A2N8HMQ8__pgsA
ERR1913204.38399__1.38399	239935__A0A2N8HUU6__CXT90_06150
ERR1913204.38391__1.38391	216816__A0A374SVM3__BLSL_0492
ERR1913204.38436__1.38436	556259__E5C609__BSGG_0172
ERR1913204.38545__1.38545	853__A0A3E2U7E6__ERS852582_01640
ERR1913204.38639__1.38639	328814__GCA_004558275.1_00075
ERR1913204.38719__1.38719	1150298__A0A174F5Z9__cpsB
ERR1913204.38794__1.38794	487174__K0XBH1__DIT83_01445
ERR1913204.38807__1.38807	214856__A0A174C683__ERS852559_00523
ERR1913204.38956__1.38956	214856__R6Z288__ERS852447_00734
ERR1913204.39024__1.39024	214856__R6XNE7__ERS852447_02267
ERR1913204.39037__1.39037	1262882__R5N5W2__BN519_00074
ERR1913204.39490__1.39490	216816__E8MH24__APS65_02760
